,ELOVL6_DEL,RAD50_MUT,TP53_MUT,ITPR2_MUT,THSD4_AMP,AGMO_AMP,MIR491_DEL,OR8B2_DEL,BARX2_DEL,FLJ39051_DEL,HEPACAM_DEL,CCDC146_AMP,MLLT3_DEL,KCNJ5_DEL,TEK_MUT,OR8B8_DEL,COL23A1_DEL,PRKY_DEL,LOC283174_DEL,TRIM49_DEL,TTTY22_DEL,EPHA5_MUT,MIR4474_DEL,NCAPD3_DEL,TTTY12_DEL,PATE4_DEL,HYLS1_DEL,PTPLAD2_DEL,PHTF2_AMP,FOCAD_DEL
522,7.0,20.0,16.0,16546.0,54.0,870.0,17.0,51.0,37.0,21.0,50.0,320.0,97.0,18.0,17089.0,39.0,547.0,42.0,75.0,435.0,440.0,109.0,110.0,85.0,60.0,95.0,297.0,303.0,471.0,203.0
571,11.0,17.0,0.0,8796.0,922.0,269.0,79.0,361.0,354.0,8.0,6.0,38.0,387.0,57.0,264.0,363.0,10189.0,299.0,8426.0,2363.0,399.0,138.0,43.0,357.0,1440.0,445.0,54.0,228.0,105.0,2713.0
620,1.0,19.0,0.0,103.0,595.0,51.0,10669.0,74.0,301.0,520.0,75.0,137.0,11382.0,111.0,1708.0,80.0,140.0,3.0,115.0,1000.0,22.0,3341.0,19097.0,112.0,99.0,118.0,119.0,3661.0,1171.0,187.0
669,5.0,101.0,356.0,3.0,0.0,552.0,110.0,63.0,239.0,305.0,64.0,46.0,5077.0,40.0,1001.0,65.0,85.0,55.0,57.0,997.0,20.0,338.0,99.0,81.0,9.0,304.0,86.0,3388.0,399.0,402.0
718,8.0,0.0,46.0,15462.0,226.0,19.0,21.0,47.0,453.0,74.0,63.0,2.0,2696.0,49.0,22.0,43.0,9.0,6.0,171.0,483.0,82.0,101.0,299.0,627.0,45.0,601.0,169.0,35.0,120.0,10.0
767,303.0,40.0,24.0,118.0,3.0,102.0,259.0,55.0,224.0,52.0,56.0,16.0,229.0,11.0,627.0,58.0,486.0,28.0,77.0,2859.0,141.0,46.0,586.0,71.0,2.0,352.0,75.0,4980.0,23.0,430.0
816,2.0,6.0,44.0,19.0,39.0,4.0,73.0,130.0,29.0,92.0,129.0,22073.0,48.0,128.0,105.0,140.0,18.0,10.0,175.0,63.0,0.0,1058.0,86.0,59.0,231.0,174.0,669.0,15.0,545.0,131.0
865,3.0,4.0,554.0,74.0,5.0,812.0,124.0,48.0,28.0,524.0,67.0,10.0,2358.0,164.0,41.0,6451.0,21.0,33.0,528.0,61.0,731.0,157.0,1495.0,135.0,6.0,525.0,136.0,25.0,978.0,39.0
914,198.0,16807.0,7.0,526.0,17.0,55.0,37.0,395.0,6.0,80.0,122.0,51.0,11339.0,276.0,185.0,130.0,196.0,68.0,83.0,15.0,42.0,382.0,78.0,121.0,769.0,90.0,85.0,706.0,111.0,179.0
963,6.0,30.0,0.0,59.0,40.0,37.0,361.0,49.0,23.0,28.0,60.0,8.0,43.0,83.0,3.0,64.0,330.0,63.0,102.0,7.0,19.0,113.0,231.0,401.0,81.0,411.0,103.0,374.0,80.0,349.0
1012,1.0,21.0,84.0,675.0,19.0,0.0,329.0,4.0,10.0,2.0,40.0,11.0,3816.0,23.0,141.0,8.0,139.0,18.0,41.0,70.0,3.0,612.0,30.0,9.0,88.0,43.0,61.0,111.0,119.0,143.0
1061,5.0,2216.0,16.0,13184.0,172.0,58.0,26.0,31.0,50.0,11.0,24.0,45.0,0.0,15.0,649.0,68.0,2.0,1.0,75.0,10.0,56.0,63.0,30.0,323.0,8.0,32.0,481.0,117.0,25.0,1177.0
1110,114.0,213.0,66.0,187.0,3683.0,76.0,94.0,35.0,24.0,6.0,45.0,39.0,314.0,10.0,3312.0,28.0,77.0,551.0,44.0,33.0,7218.0,3329.0,19141.0,27.0,510.0,40.0,59.0,93.0,55.0,215.0
1159,7.0,45.0,3.0,2.0,1927.0,1.0,9.0,102.0,65.0,55.0,6645.0,133.0,276.0,85.0,833.0,22.0,123.0,337.0,53.0,40.0,1407.0,128.0,36.0,543.0,234.0,108.0,565.0,20.0,329.0,180.0
1208,9.0,26.0,0.0,59.0,1706.0,37.0,53.0,23.0,35.0,2.0,72.0,500.0,195.0,64.0,65.0,27.0,169.0,84.0,81.0,866.0,34.0,148.0,8.0,77.0,151.0,46.0,97.0,5.0,33.0,94.0
1257,60.0,4.0,0.0,2.0,13.0,10.0,26.0,122.0,18.0,6.0,86.0,83.0,215.0,268.0,444.0,100.0,42.0,2421.0,338.0,1374.0,15.0,158.0,9.0,30.0,289.0,57.0,31.0,4545.0,34.0,142.0
1306,14.0,52.0,0.0,3425.0,6.0,10.0,4.0,12.0,49.0,68.0,30.0,29.0,15.0,40.0,2332.0,57.0,8.0,22.0,70.0,300.0,45.0,41.0,18.0,67.0,9.0,69.0,98.0,308.0,2.0,31.0
1355,1.0,17.0,0.0,168.0,16.0,139.0,14.0,56.0,43.0,29.0,57.0,103.0,489.0,19.0,17122.0,5.0,8.0,212.0,62.0,178.0,27.0,601.0,153.0,49.0,199.0,61.0,54.0,11445.0,1026.0,3709.0
1404,10.0,0.0,31.0,83.0,39.0,3527.0,8412.0,8.0,95.0,15.0,49.0,21625.0,14.0,9.0,48.0,62.0,17.0,4.0,51.0,365.0,56.0,3.0,43.0,46.0,2.0,12.0,61.0,340.0,241.0,129.0
1453,1.0,31.0,25.0,70.0,0.0,36.0,10.0,62.0,82.0,117.0,39.0,11.0,3172.0,71.0,156.0,29.0,7.0,58.0,95.0,89.0,169.0,122.0,107.0,93.0,13083.0,378.0,96.0,110.0,23.0,174.0
1502,11.0,0.0,214.0,342.0,29.0,15732.0,13.0,5431.0,81.0,152.0,557.0,74.0,68.0,121.0,189.0,202.0,9059.0,3152.0,127.0,1598.0,6212.0,7.0,55.0,48.0,113.0,414.0,133.0,1266.0,23.0,1045.0
1551,47.0,3.0,169.0,54.0,220.0,0.0,71.0,59.0,64.0,86.0,294.0,1.0,39.0,67.0,34.0,77.0,4.0,127.0,373.0,25.0,2003.0,94.0,106.0,27.0,1574.0,379.0,469.0,70.0,24.0,238.0
1600,9867.0,0.0,94.0,1.0,3401.0,17.0,6.0,49.0,26.0,128.0,31.0,150.0,169.0,143.0,71.0,101.0,14.0,162.0,441.0,2645.0,561.0,56.0,3.0,6057.0,48.0,439.0,562.0,60.0,171.0,107.0
1649,2.0,1.0,171.0,12.0,61.0,432.0,27.0,113.0,511.0,4640.0,140.0,182.0,3.0,195.0,655.0,7187.0,8.0,271.0,7453.0,234.0,150.0,10.0,17.0,845.0,51.0,610.0,5879.0,22.0,470.0,70.0
1698,7948.0,0.0,13.0,3.0,1.0,292.0,14.0,56.0,41.0,272.0,20.0,245.0,4.0,75.0,26.0,53.0,2.0,787.0,67.0,71.0,6185.0,310.0,120.0,6360.0,43.0,273.0,95.0,312.0,29.0,183.0
1747,2346.0,24.0,617.0,8.0,3616.0,61.0,182.0,25.0,18.0,123.0,86.0,1.0,65.0,34.0,88.0,10.0,140.0,35.0,119.0,2.0,6202.0,5.0,169.0,126.0,8832.0,5447.0,6861.0,5538.0,21.0,533.0
1796,11.0,3.0,34.0,1002.0,9.0,17.0,325.0,26.0,74.0,100.0,79.0,105.0,649.0,78.0,42.0,10.0,0.0,16.0,108.0,372.0,871.0,28.0,20914.0,38.0,5.0,399.0,543.0,3288.0,33.0,10947.0
1845,53.0,34.0,1.0,48.0,0.0,82.0,7.0,36.0,30.0,5.0,77.0,37.0,11.0,4840.0,3.0,83.0,157.0,55.0,332.0,10.0,84.0,13.0,192.0,285.0,47.0,330.0,411.0,62.0,858.0,392.0
1894,13.0,3.0,173.0,0.0,55.0,15787.0,8.0,411.0,10390.0,698.0,5528.0,101.0,185.0,110.0,35.0,54.0,79.0,547.0,510.0,18.0,2542.0,7.0,131.0,1341.0,103.0,377.0,5097.0,613.0,108.0,184.0
1943,219.0,17.0,3.0,2.0,99.0,590.0,9.0,27.0,6.0,391.0,75.0,28.0,18.0,307.0,4.0,7598.0,166.0,873.0,393.0,19.0,427.0,16.0,59.0,5663.0,66.0,388.0,552.0,287.0,91.0,458.0
1992,78.0,3.0,7.0,6.0,0.0,19.0,96.0,56.0,33.0,5.0,60.0,102.0,439.0,12.0,2.0,74.0,703.0,12445.0,41.0,1.0,827.0,20.0,408.0,17.0,109.0,40.0,50.0,76.0,35.0,86.0
2041,1.0,0.0,92.0,3.0,16.0,383.0,239.0,70.0,20.0,19.0,12.0,44.0,831.0,8.0,25.0,60.0,271.0,75.0,32.0,80.0,61.0,22.0,234.0,5.0,13.0,31.0,45.0,134.0,48.0,54.0
2090,81.0,0.0,76.0,68.0,6.0,18.0,129.0,75.0,30.0,7.0,93.0,685.0,3645.0,9.0,19.0,342.0,749.0,2025.0,43.0,480.0,139.0,8.0,535.0,5.0,695.0,41.0,64.0,3447.0,642.0,14.0
2139,5.0,4.0,45.0,9.0,107.0,110.0,31.0,243.0,44.0,18.0,61.0,340.0,1082.0,26.0,17111.0,242.0,191.0,32.0,27.0,2.0,12.0,55.0,319.0,112.0,3399.0,48.0,22.0,5320.0,24.0,93.0
2188,30.0,1209.0,25.0,6.0,0.0,21.0,435.0,88.0,73.0,3.0,77.0,57.0,18.0,23.0,279.0,78.0,20.0,12738.0,43.0,152.0,2626.0,16777.0,41.0,26.0,95.0,44.0,61.0,81.0,97.0,47.0
2237,36.0,0.0,3.0,1.0,13.0,987.0,64.0,61.0,5.0,27.0,74.0,63.0,125.0,20.0,17076.0,58.0,89.0,267.0,37.0,185.0,48.0,96.0,145.0,11.0,66.0,39.0,55.0,56.0,24.0,582.0
2286,5.0,14.0,0.0,543.0,20.0,10.0,15.0,57.0,9.0,25.0,62.0,78.0,140.0,38.0,18.0,243.0,34.0,37.0,31.0,36.0,51.0,7.0,17.0,29.0,326.0,12.0,47.0,28.0,3.0,111.0
2335,28.0,19.0,14.0,12.0,4.0,630.0,91.0,375.0,37.0,54.0,86.0,24.0,1029.0,60.0,10.0,92.0,40.0,278.0,27.0,150.0,411.0,386.0,8.0,296.0,10081.0,45.0,64.0,97.0,195.0,553.0
2384,7893.0,1.0,117.0,35.0,72.0,0.0,81.0,66.0,34.0,26.0,50.0,186.0,931.0,7.0,118.0,48.0,82.0,68.0,39.0,3145.0,99.0,4.0,88.0,80.0,24.0,42.0,51.0,4740.0,11.0,347.0
2433,79.0,4.0,2.0,12.0,0.0,101.0,13060.0,46.0,19.0,5.0,51.0,47.0,351.0,39.0,15.0,307.0,48.0,438.0,34.0,17.0,1262.0,14.0,776.0,10.0,194.0,32.0,44.0,147.0,21.0,266.0
2482,5.0,0.0,14.0,108.0,30.0,6.0,28.0,117.0,368.0,125.0,106.0,204.0,4.0,458.0,79.0,56.0,17.0,32.0,109.0,1.0,45.0,60.0,123.0,5318.0,443.0,147.0,316.0,195.0,395.0,24.0
2531,16.0,0.0,3.0,1.0,12.0,8.0,22.0,18.0,245.0,177.0,528.0,21.0,10.0,405.0,5.0,411.0,11.0,53.0,532.0,9.0,46.0,247.0,123.0,438.0,23.0,800.0,4963.0,2.0,83.0,167.0
2580,87.0,1.0,124.0,4.0,0.0,12.0,11.0,48.0,314.0,5123.0,99.0,93.0,6.0,3541.0,71.0,459.0,296.0,236.0,150.0,100.0,2442.0,54.0,3.0,2539.0,209.0,519.0,149.0,10.0,22470.0,108.0
2629,17.0,3.0,112.0,140.0,1.0,4.0,27.0,126.0,31.0,115.0,105.0,634.0,9.0,352.0,143.0,47.0,136.0,7.0,128.0,418.0,58.0,14.0,116.0,7267.0,454.0,94.0,5542.0,2.0,113.0,1288.0
2678,11.0,39.0,2.0,20.0,33.0,19.0,57.0,59.0,391.0,630.0,108.0,1771.0,18.0,3600.0,6.0,382.0,74.0,215.0,140.0,312.0,1149.0,17.0,20003.0,627.0,67.0,629.0,6661.0,3.0,22711.0,1.0
2727,127.0,10.0,16.0,15.0,8.0,33.0,19.0,13.0,50.0,989.0,1104.0,557.0,0.0,662.0,61.0,467.0,5.0,14.0,741.0,80.0,3414.0,62.0,59.0,5383.0,205.0,4115.0,5173.0,2.0,22482.0,417.0
2776,5.0,6.0,2.0,8.0,168.0,47.0,568.0,126.0,18.0,224.0,5327.0,526.0,1.0,151.0,90.0,373.0,3.0,12722.0,349.0,142.0,3464.0,223.0,11.0,2398.0,1099.0,214.0,6152.0,0.0,72.0,46.0
2825,12.0,1.0,18.0,171.0,162.0,770.0,22.0,100.0,228.0,35.0,148.0,2833.0,0.0,30.0,213.0,149.0,154.0,379.0,81.0,3336.0,1529.0,3.0,17.0,324.0,41.0,36.0,103.0,8.0,94.0,2.0
2874,53.0,4.0,21.0,293.0,2.0,1.0,57.0,29.0,65.0,384.0,5353.0,2030.0,0.0,42.0,22.0,63.0,103.0,35.0,115.0,185.0,3395.0,9.0,8.0,97.0,38.0,4205.0,67.0,6.0,2593.0,77.0
2923,21.0,0.0,1.0,6.0,81.0,4.0,17.0,543.0,10541.0,733.0,735.0,5.0,13.0,3758.0,85.0,8364.0,60.0,1082.0,214.0,49.0,6225.0,134.0,33.0,516.0,230.0,831.0,6874.0,126.0,35.0,7.0
2972,27.0,40.0,599.0,9.0,20.0,100.0,26.0,118.0,324.0,163.0,54.0,28.0,16.0,35.0,12.0,75.0,216.0,2.0,126.0,22.0,6.0,79.0,89.0,513.0,3.0,127.0,5283.0,613.0,64.0,110.0
3021,2.0,1.0,106.0,163.0,845.0,50.0,20.0,45.0,94.0,230.0,5816.0,30.0,292.0,128.0,3.0,197.0,154.0,9.0,585.0,136.0,23.0,5.0,87.0,6286.0,18.0,183.0,5855.0,140.0,366.0,285.0
3070,105.0,119.0,2.0,0.0,403.0,1.0,44.0,94.0,12.0,451.0,136.0,32.0,298.0,81.0,6.0,97.0,29.0,321.0,124.0,21.0,6984.0,51.0,250.0,7188.0,43.0,450.0,5368.0,37.0,5.0,762.0
3119,11.0,22.0,89.0,4.0,3.0,6.0,208.0,33.0,63.0,50.0,87.0,278.0,120.0,101.0,0.0,32.0,166.0,18.0,95.0,2.0,74.0,49.0,200.0,37.0,7.0,94.0,118.0,1650.0,55.0,69.0
3168,6.0,12.0,5.0,0.0,1511.0,10.0,57.0,5892.0,37.0,4837.0,5710.0,63.0,3365.0,647.0,2.0,5922.0,184.0,4.0,7126.0,36.0,3.0,34.0,45.0,6214.0,13.0,913.0,5737.0,35.0,17.0,358.0
3217,129.0,138.0,25.0,10.0,5.0,15800.0,136.0,60.0,71.0,327.0,59.0,30.0,11.0,262.0,6.0,232.0,35.0,12.0,82.0,1.0,28.0,14.0,20871.0,23.0,66.0,329.0,83.0,58.0,21.0,29.0
3266,573.0,60.0,9.0,0.0,124.0,193.0,165.0,17.0,73.0,88.0,38.0,35.0,3807.0,112.0,3.0,226.0,154.0,139.0,355.0,5.0,77.0,389.0,81.0,56.0,8.0,354.0,5499.0,48.0,15.0,97.0
3315,10.0,59.0,0.0,114.0,60.0,66.0,3.0,121.0,69.0,8.0,30.0,15135.0,22.0,45.0,2.0,366.0,1151.0,6.0,216.0,48.0,87.0,532.0,1.0,19.0,21.0,56.0,64.0,246.0,104.0,51.0
3364,10.0,13.0,673.0,36.0,16.0,14.0,80.0,29.0,60.0,188.0,50.0,23.0,12.0,101.0,1.0,8107.0,59.0,74.0,517.0,19.0,26.0,4.0,415.0,132.0,32.0,520.0,688.0,3421.0,131.0,2.0
3413,1.0,148.0,3.0,2.0,7.0,9.0,309.0,220.0,20.0,159.0,488.0,68.0,4300.0,99.0,0.0,508.0,13.0,6.0,6443.0,26.0,5.0,47.0,38.0,78.0,223.0,523.0,718.0,55.0,16.0,88.0
3462,39.0,1695.0,2334.0,135.0,57.0,3.0,38.0,28.0,23.0,47.0,96.0,183.0,9.0,79.0,17109.0,419.0,118.0,44.0,104.0,63.0,14.0,3338.0,332.0,113.0,7.0,442.0,600.0,170.0,12.0,37.0
3511,3.0,28.0,38.0,13.0,3485.0,1.0,148.0,234.0,58.0,23.0,21.0,176.0,130.0,71.0,17125.0,24.0,20.0,11.0,70.0,50.0,44.0,275.0,193.0,230.0,22.0,34.0,83.0,1108.0,115.0,10.0
3560,2.0,483.0,421.0,900.0,404.0,34.0,13.0,5.0,9.0,12.0,15.0,6.0,30.0,11.0,129.0,10.0,220.0,37.0,48.0,70.0,201.0,16827.0,19065.0,6416.0,102.0,46.0,58.0,7.0,51.0,22.0
3609,7.0,150.0,899.0,6.0,23.0,0.0,1.0,41.0,228.0,36.0,69.0,151.0,4.0,65.0,132.0,31.0,8.0,27.0,87.0,1002.0,161.0,2137.0,12.0,328.0,17.0,90.0,91.0,29.0,64.0,126.0
3658,6.0,45.0,17139.0,30.0,28.0,4.0,5.0,13.0,152.0,17.0,47.0,41.0,0.0,16.0,176.0,37.0,185.0,7.0,50.0,84.0,1182.0,150.0,8.0,61.0,48.0,49.0,67.0,15.0,9.0,99.0
3707,11.0,9.0,448.0,1.0,111.0,0.0,135.0,7.0,33.0,12.0,26.0,62.0,11696.0,30.0,280.0,116.0,21.0,40.0,42.0,84.0,475.0,16774.0,1326.0,53.0,72.0,43.0,37.0,19.0,22585.0,81.0
3756,3.0,16824.0,601.0,1.0,98.0,73.0,12.0,19.0,21.0,20.0,17.0,65.0,0.0,44.0,14.0,55.0,9.0,109.0,35.0,57.0,245.0,3425.0,67.0,46.0,61.0,10.0,48.0,99.0,42.0,36.0
3805,86.0,283.0,1344.0,12.0,19.0,1.0,83.0,105.0,103.0,43.0,85.0,26.0,89.0,48.0,3.0,304.0,160.0,20.0,213.0,156.0,54.0,102.0,1010.0,192.0,5.0,42.0,59.0,3142.0,14232.0,12093.0
3854,0.0,60.0,37.0,81.0,136.0,3.0,5.0,13.0,259.0,86.0,63.0,142.0,61.0,44.0,536.0,272.0,192.0,12.0,1558.0,135.0,6338.0,585.0,27.0,73.0,8.0,345.0,440.0,359.0,23.0,6.0
3903,35.0,132.0,285.0,1.0,164.0,11.0,652.0,70.0,31.0,26.0,27.0,3.0,61.0,53.0,74.0,254.0,9.0,98.0,73.0,547.0,56.0,830.0,6.0,310.0,157.0,72.0,96.0,0.0,559.0,10926.0
3952,0.0,82.0,3.0,474.0,22983.0,11.0,90.0,68.0,25.0,41.0,74.0,16.0,81.0,160.0,128.0,261.0,79.0,1987.0,115.0,162.0,2546.0,9.0,1152.0,109.0,848.0,4.0,56.0,17.0,80.0,6.0
4001,48.0,11.0,5.0,13.0,382.0,143.0,113.0,54.0,24.0,524.0,47.0,1.0,14.0,478.0,18.0,17.0,6.0,576.0,6495.0,245.0,43.0,46.0,3.0,7177.0,16.0,666.0,664.0,4.0,22709.0,0.0
4050,36.0,16760.0,4.0,3.0,144.0,0.0,40.0,10.0,35.0,5.0,57.0,42.0,126.0,13.0,18.0,6.0,20.0,12669.0,28.0,12486.0,5669.0,498.0,165.0,31.0,131.0,58.0,346.0,357.0,67.0,24.0
4099,70.0,1.0,0.0,274.0,911.0,68.0,51.0,22.0,258.0,97.0,84.0,181.0,161.0,85.0,66.0,3.0,4.0,24.0,80.0,53.0,134.0,573.0,421.0,88.0,587.0,79.0,392.0,6.0,567.0,46.0
4148,24.0,41.0,1.0,4.0,190.0,27.0,10.0,18.0,44.0,13.0,42.0,8.0,15.0,53.0,2.0,3.0,5.0,708.0,85.0,281.0,276.0,9.0,525.0,80.0,249.0,394.0,486.0,0.0,100.0,7.0
4197,109.0,2848.0,2.0,219.0,5.0,72.0,0.0,27.0,207.0,75.0,68.0,53.0,67.0,168.0,709.0,13.0,188.0,36.0,74.0,3236.0,313.0,14.0,17.0,303.0,21.0,25.0,379.0,15.0,279.0,7.0
4246,138.0,8.0,25.0,504.0,269.0,27.0,100.0,10.0,39.0,13.0,21.0,412.0,264.0,70.0,874.0,15.0,1.0,177.0,286.0,3368.0,811.0,12.0,30.0,31.0,314.0,60.0,346.0,36.0,237.0,276.0
4295,294.0,2.0,5.0,1201.0,123.0,0.0,136.0,12.0,169.0,20.0,49.0,15.0,99.0,62.0,8.0,50.0,14.0,129.0,53.0,1.0,371.0,603.0,58.0,252.0,132.0,55.0,75.0,261.0,461.0,3.0
4344,114.0,34.0,7.0,6.0,27.0,827.0,32.0,15.0,17.0,21.0,53.0,47.0,55.0,42.0,2.0,1.0,109.0,1758.0,9.0,309.0,7155.0,36.0,35.0,46.0,10051.0,19.0,314.0,4.0,43.0,33.0
4393,16.0,7.0,28.0,11171.0,52.0,538.0,9.0,12.0,108.0,13.0,20.0,78.0,4.0,61.0,8.0,0.0,5.0,1280.0,30.0,67.0,59.0,19.0,3.0,33.0,10158.0,22.0,29.0,1.0,66.0,6.0
4442,14.0,19.0,0.0,44.0,12.0,1.0,25.0,51.0,11.0,70.0,8.0,33.0,32.0,233.0,34.0,7308.0,76.0,117.0,67.0,1749.0,4.0,6.0,54.0,285.0,1939.0,283.0,69.0,81.0,90.0,12938.0
4491,10.0,0.0,8.0,39.0,3.0,1.0,22.0,15.0,147.0,13.0,40.0,18.0,14.0,4837.0,1075.0,9.0,443.0,148.0,33.0,606.0,6.0,5.0,17.0,157.0,57.0,177.0,227.0,43.0,187.0,61.0
4540,17.0,1.0,11.0,1014.0,4.0,0.0,6.0,10.0,50.0,96.0,90.0,19.0,173.0,82.0,43.0,15.0,737.0,140.0,100.0,12563.0,8.0,2416.0,141.0,104.0,37.0,97.0,121.0,684.0,95.0,20.0
4589,13.0,28.0,2363.0,173.0,70.0,46.0,4.0,10.0,193.0,51.0,49.0,231.0,30.0,81.0,14.0,50.0,186.0,34.0,67.0,11.0,3.0,26.0,74.0,31.0,12.0,75.0,40.0,1207.0,133.0,237.0
4638,3.0,12.0,22.0,85.0,37.0,5.0,76.0,161.0,20.0,135.0,150.0,33.0,36.0,105.0,19.0,114.0,51.0,4.0,136.0,14.0,0.0,1.0,27.0,107.0,9.0,5163.0,881.0,204.0,199.0,61.0
4687,135.0,11.0,12.0,6.0,16.0,1.0,381.0,43.0,27.0,131.0,111.0,181.0,314.0,101.0,1705.0,117.0,812.0,72.0,121.0,1835.0,0.0,56.0,2401.0,82.0,268.0,431.0,547.0,123.0,167.0,7.0
4736,2.0,4.0,11.0,0.0,3.0,147.0,225.0,22.0,27.0,9.0,74.0,101.0,465.0,57.0,5.0,82.0,170.0,243.0,26.0,1918.0,864.0,389.0,75.0,13.0,2048.0,19.0,104.0,15.0,460.0,992.0
4785,194.0,8.0,3.0,26.0,1.0,2.0,37.0,227.0,178.0,259.0,14.0,449.0,13.0,54.0,1450.0,4.0,745.0,157.0,19.0,183.0,0.0,81.0,457.0,262.0,74.0,49.0,66.0,11.0,218.0,12.0
4834,52.0,18.0,5.0,12.0,0.0,17738.0,48.0,77.0,43.0,14.0,73.0,27.0,15.0,20.0,13726.0,273.0,95.0,32.0,10.0,147.0,1.0,76.0,31.0,54.0,19.0,44.0,57.0,70.0,153.0,23.0
4883,1.0,29.0,13.0,17.0,11.0,4.0,21.0,19.0,77.0,9.0,12.0,147.0,14.0,15.0,287.0,10.0,352.0,103.0,55.0,271.0,0.0,7.0,24.0,52.0,92.0,56.0,74.0,4795.0,32.0,43.0
