,Akt_pS473,CDK1,Smad3,c-Jun_pS73,YB-1_pS102,PRAS40_pT246,PRDX1,HER3,PKC-pan_BetaII_pS660,FRA1,Raptor,Heregulin,JNK2,MEK1_pS217_S221,Cyclin_E1,Acetyl-a-Tubulin (Lys40),beta Actin,TFRC,Annexin 1,MAPK_pT202_Y204,Annexin_VII,AR,p21,Src_pY416,4E-BP1_pS65,p62 Lck ligand,PDK1_pS241,Paxillin,PDCD4,p90RSK_pT573
3779,2.0,5.0,34.0,0.0,10.0,27.0,15.0,4.0,9.0,20.0,12.0,135.0,140.0,14.0,154.0,118.0,99.0,7.0,8.0,141.0,109.0,1.0,48.0,6.0,112.0,21.0,63.0,19.0,61.0,42.0
3828,0.0,1.0,4.0,103.0,164.0,32.0,38.0,11.0,25.0,162.0,19.0,2.0,35.0,28.0,34.0,30.0,12.0,5.0,3.0,135.0,36.0,37.0,33.0,76.0,31.0,45.0,44.0,46.0,59.0,48.0
3877,3.0,24.0,16.0,10.0,164.0,8.0,5.0,6.0,15.0,31.0,90.0,23.0,32.0,29.0,33.0,30.0,13.0,36.0,37.0,137.0,2.0,1.0,57.0,77.0,126.0,21.0,43.0,47.0,46.0,49.0
3926,0.0,5.0,1.0,2.0,9.0,88.0,87.0,10.0,7.0,15.0,25.0,141.0,11.0,13.0,153.0,8.0,106.0,3.0,6.0,12.0,29.0,27.0,53.0,43.0,115.0,44.0,23.0,38.0,37.0,40.0
3975,0.0,17.0,2.0,12.0,164.0,20.0,19.0,8.0,1.0,3.0,84.0,23.0,29.0,32.0,153.0,26.0,99.0,38.0,34.0,25.0,124.0,35.0,5.0,15.0,115.0,9.0,42.0,48.0,47.0,51.0
4024,0.0,4.0,2.0,11.0,6.0,82.0,81.0,19.0,5.0,160.0,74.0,133.0,138.0,143.0,23.0,30.0,96.0,1.0,35.0,140.0,3.0,33.0,57.0,64.0,32.0,24.0,51.0,25.0,40.0,44.0
4073,2.0,12.0,0.0,6.0,164.0,27.0,9.0,134.0,60.0,29.0,13.0,5.0,140.0,8.0,10.0,31.0,99.0,25.0,123.0,142.0,24.0,124.0,48.0,74.0,28.0,40.0,22.0,18.0,36.0,41.0
4122,2.0,15.0,0.0,5.0,25.0,18.0,3.0,9.0,8.0,16.0,60.0,134.0,35.0,27.0,19.0,118.0,105.0,38.0,4.0,28.0,123.0,1.0,46.0,24.0,114.0,7.0,14.0,51.0,49.0,53.0
4171,2.0,106.0,1.0,3.0,0.0,25.0,24.0,27.0,10.0,9.0,28.0,133.0,139.0,92.0,18.0,117.0,98.0,8.0,123.0,141.0,6.0,34.0,56.0,74.0,33.0,48.0,36.0,12.0,40.0,44.0
4220,0.0,28.0,1.0,5.0,4.0,14.0,13.0,133.0,27.0,24.0,9.0,16.0,138.0,17.0,26.0,2.0,101.0,3.0,34.0,140.0,33.0,30.0,53.0,76.0,114.0,46.0,23.0,41.0,42.0,45.0
4269,4.0,13.0,8.0,2.0,164.0,15.0,9.0,21.0,17.0,7.0,83.0,14.0,5.0,10.0,11.0,31.0,19.0,3.0,1.0,141.0,30.0,126.0,47.0,35.0,36.0,53.0,42.0,44.0,45.0,50.0
4318,2.0,0.0,1.0,5.0,10.0,14.0,4.0,3.0,12.0,161.0,83.0,134.0,139.0,143.0,13.0,35.0,6.0,30.0,9.0,27.0,32.0,8.0,57.0,69.0,26.0,49.0,37.0,43.0,41.0,46.0
4367,1.0,12.0,9.0,18.0,16.0,82.0,14.0,0.0,4.0,2.0,5.0,138.0,25.0,8.0,154.0,31.0,102.0,6.0,124.0,7.0,125.0,3.0,48.0,73.0,34.0,19.0,91.0,45.0,49.0,43.0
4416,1.0,11.0,8.0,0.0,2.0,28.0,21.0,4.0,19.0,18.0,7.0,137.0,14.0,143.0,5.0,32.0,27.0,10.0,31.0,3.0,9.0,33.0,49.0,90.0,114.0,36.0,61.0,17.0,43.0,40.0
4465,35.0,4.0,1.0,12.0,164.0,89.0,88.0,0.0,21.0,161.0,18.0,8.0,37.0,27.0,2.0,7.0,6.0,38.0,39.0,32.0,3.0,124.0,40.0,30.0,115.0,22.0,46.0,51.0,50.0,55.0
4514,1.0,26.0,0.0,102.0,164.0,23.0,22.0,29.0,60.0,160.0,16.0,134.0,140.0,2.0,24.0,4.0,99.0,70.0,7.0,3.0,37.0,5.0,46.0,74.0,113.0,27.0,45.0,52.0,50.0,54.0
4563,8.0,16.0,2.0,6.0,9.0,22.0,80.0,3.0,60.0,5.0,93.0,25.0,138.0,32.0,21.0,0.0,4.0,7.0,35.0,1.0,125.0,37.0,52.0,62.0,116.0,23.0,48.0,57.0,56.0,53.0
4612,2.0,13.0,11.0,103.0,164.0,29.0,89.0,9.0,8.0,1.0,17.0,21.0,138.0,3.0,25.0,0.0,99.0,32.0,33.0,6.0,5.0,124.0,52.0,73.0,114.0,42.0,41.0,15.0,43.0,45.0
4661,1.0,129.0,2.0,0.0,3.0,77.0,78.0,9.0,83.0,10.0,12.0,134.0,7.0,143.0,20.0,8.0,102.0,30.0,5.0,29.0,4.0,31.0,26.0,73.0,27.0,49.0,50.0,36.0,55.0,54.0
4710,2.0,6.0,5.0,0.0,34.0,3.0,27.0,154.0,44.0,14.0,29.0,16.0,147.0,12.0,9.0,4.0,39.0,7.0,37.0,1.0,35.0,38.0,23.0,87.0,36.0,25.0,56.0,26.0,58.0,61.0
4759,1.0,24.0,0.0,4.0,14.0,18.0,16.0,36.0,59.0,7.0,82.0,34.0,31.0,2.0,21.0,6.0,103.0,69.0,126.0,5.0,112.0,3.0,26.0,37.0,115.0,10.0,50.0,39.0,55.0,51.0
4808,2.0,7.0,4.0,3.0,0.0,10.0,15.0,136.0,79.0,8.0,70.0,22.0,13.0,28.0,12.0,118.0,99.0,35.0,11.0,1.0,124.0,109.0,45.0,33.0,112.0,6.0,88.0,59.0,87.0,19.0
4857,8.0,0.0,26.0,108.0,27.0,14.0,13.0,7.0,16.0,20.0,11.0,25.0,9.0,10.0,5.0,6.0,21.0,29.0,2.0,1.0,124.0,4.0,17.0,32.0,114.0,23.0,19.0,38.0,37.0,41.0
