,hsa-miR-125a-3p,hsa-miR-10b,hsa-miR-934,hsa-miR-483-3p,hsa-miR-361-5p,hsa-miR-645,hsa-miR-555,hsa-miR-34a,hsa-miR-662,hsa-miR-484,hsa-miR-124,hsa-miR-620,hsa-miR-146b-3p,hsa-miR-491-5p,hsa-miR-582-5p,hsa-miR-548c-5p,hsa-miR-1259,hsa-miR-453,hsa-miR-891a,hsa-miR-143,hsa-miR-550,hsa-miR-326,hsa-miR-1913,hsa-miR-578,hsa-miR-1185,hsa-miR-499-3p,hsa-miR-1248,hsa-miR-937,hsa-miR-147b,hsa-miR-1977
1142,9.0,68.0,22.0,6.0,3.0,4.0,8.0,23.0,0.0,24.0,10.0,66.0,7.0,28.0,39.0,16.0,50.0,13.0,71.0,42.0,15.0,140.0,2.0,33.0,29.0,25.0,54.0,45.0,74.0,17.0
1191,66.0,15.0,1.0,11.0,12.0,20.0,6.0,0.0,30.0,3.0,2.0,35.0,5.0,73.0,62.0,44.0,86.0,32.0,138.0,21.0,31.0,7.0,13.0,36.0,37.0,45.0,125.0,72.0,29.0,41.0
1240,29.0,77.0,6.0,9.0,23.0,19.0,1.0,3.0,2.0,99.0,18.0,12.0,36.0,0.0,47.0,108.0,67.0,62.0,10.0,26.0,8.0,150.0,24.0,41.0,89.0,74.0,13.0,59.0,4.0,34.0
1289,36.0,30.0,51.0,3.0,5.0,10.0,1.0,0.0,8.0,50.0,31.0,80.0,13.0,6.0,89.0,52.0,32.0,57.0,2.0,105.0,62.0,65.0,14.0,132.0,19.0,15.0,29.0,23.0,7.0,63.0
1338,27.0,71.0,4.0,31.0,63.0,0.0,6.0,8.0,1.0,7.0,18.0,34.0,17.0,2.0,87.0,39.0,45.0,28.0,14.0,78.0,20.0,42.0,107.0,3.0,11.0,44.0,128.0,81.0,10.0,85.0
1387,79.0,7.0,6.0,11.0,10.0,5.0,1.0,0.0,3.0,18.0,52.0,9.0,4.0,150.0,89.0,36.0,44.0,88.0,14.0,26.0,143.0,22.0,8.0,2.0,25.0,84.0,70.0,117.0,12.0,85.0
1436,49.0,55.0,20.0,10.0,3.0,11.0,1.0,13.0,0.0,31.0,4.0,47.0,34.0,29.0,85.0,35.0,2.0,52.0,21.0,44.0,366.0,48.0,42.0,22.0,8.0,61.0,153.0,60.0,17.0,50.0
1485,1.0,45.0,0.0,20.0,57.0,19.0,6.0,50.0,12.0,102.0,23.0,7.0,17.0,15.0,2.0,128.0,8.0,170.0,34.0,3.0,29.0,59.0,72.0,144.0,79.0,41.0,107.0,35.0,67.0,24.0
1534,3.0,44.0,0.0,25.0,20.0,5.0,16.0,4.0,77.0,32.0,99.0,19.0,13.0,17.0,7.0,33.0,26.0,10.0,36.0,62.0,1.0,42.0,12.0,23.0,30.0,63.0,84.0,50.0,40.0,97.0
1583,1.0,33.0,0.0,12.0,13.0,10.0,6.0,5.0,74.0,11.0,102.0,15.0,2.0,190.0,23.0,67.0,31.0,84.0,35.0,38.0,97.0,39.0,7.0,28.0,18.0,99.0,20.0,16.0,47.0,61.0
1632,26.0,34.0,3.0,20.0,21.0,19.0,6.0,30.0,102.0,40.0,1.0,0.0,22.0,54.0,18.0,58.0,11.0,42.0,29.0,17.0,4.0,126.0,44.0,15.0,2.0,193.0,52.0,24.0,45.0,114.0
1681,1.0,39.0,8.0,0.0,7.0,27.0,3.0,10.0,113.0,23.0,55.0,25.0,12.0,96.0,2.0,6.0,66.0,89.0,13.0,19.0,56.0,22.0,78.0,30.0,5.0,99.0,125.0,64.0,44.0,74.0
1730,1.0,7.0,9.0,4.0,13.0,12.0,3.0,0.0,89.0,49.0,5.0,2.0,14.0,29.0,21.0,8.0,77.0,57.0,30.0,11.0,59.0,25.0,40.0,75.0,27.0,117.0,61.0,20.0,28.0,43.0
1779,0.0,22.0,12.0,27.0,24.0,58.0,26.0,1.0,134.0,51.0,4.0,25.0,42.0,405.0,14.0,39.0,40.0,76.0,194.0,9.0,11.0,84.0,73.0,15.0,66.0,142.0,43.0,47.0,67.0,35.0
1828,0.0,28.0,2.0,31.0,1.0,7.0,10.0,35.0,116.0,126.0,5.0,41.0,26.0,73.0,3.0,40.0,29.0,61.0,37.0,9.0,95.0,20.0,19.0,79.0,43.0,198.0,121.0,23.0,32.0,46.0
1877,1.0,64.0,0.0,13.0,12.0,4.0,36.0,5.0,74.0,77.0,17.0,11.0,2.0,38.0,26.0,65.0,14.0,43.0,19.0,3.0,55.0,28.0,32.0,50.0,9.0,112.0,16.0,10.0,76.0,59.0
1926,0.0,52.0,1.0,19.0,16.0,12.0,7.0,2.0,9.0,17.0,15.0,11.0,4.0,25.0,14.0,32.0,68.0,5.0,10.0,40.0,48.0,36.0,46.0,79.0,23.0,99.0,66.0,96.0,13.0,61.0
1975,6.0,5.0,8.0,0.0,7.0,145.0,1.0,22.0,2.0,12.0,14.0,38.0,69.0,3.0,30.0,60.0,9.0,13.0,99.0,32.0,53.0,19.0,61.0,102.0,230.0,20.0,4.0,51.0,41.0,50.0
2024,10.0,6.0,4.0,9.0,150.0,32.0,5.0,47.0,1.0,0.0,19.0,24.0,83.0,7.0,2.0,102.0,78.0,42.0,35.0,11.0,18.0,13.0,17.0,213.0,185.0,23.0,26.0,149.0,108.0,34.0
2073,14.0,5.0,22.0,4.0,46.0,38.0,23.0,31.0,2.0,3.0,43.0,39.0,57.0,0.0,10.0,90.0,7.0,19.0,71.0,54.0,36.0,35.0,34.0,63.0,59.0,21.0,29.0,42.0,52.0,6.0
2122,42.0,3.0,13.0,4.0,1.0,88.0,8.0,99.0,16.0,7.0,21.0,81.0,44.0,14.0,6.0,33.0,138.0,136.0,64.0,5.0,51.0,30.0,25.0,153.0,248.0,54.0,89.0,11.0,65.0,2.0
2171,8.0,9.0,12.0,1.0,51.0,113.0,5.0,13.0,2.0,0.0,21.0,43.0,114.0,6.0,4.0,29.0,30.0,31.0,63.0,20.0,41.0,19.0,7.0,75.0,286.0,14.0,44.0,237.0,104.0,25.0
2220,24.0,7.0,19.0,0.0,12.0,115.0,26.0,5.0,4.0,2.0,38.0,28.0,20.0,3.0,85.0,41.0,9.0,104.0,48.0,31.0,101.0,51.0,55.0,91.0,46.0,23.0,15.0,25.0,187.0,1.0
2269,13.0,2.0,26.0,5.0,43.0,6.0,1.0,14.0,3.0,0.0,41.0,25.0,83.0,17.0,9.0,53.0,218.0,72.0,34.0,4.0,45.0,89.0,67.0,31.0,129.0,55.0,77.0,10.0,35.0,107.0
2318,10.0,4.0,71.0,3.0,17.0,24.0,1.0,19.0,0.0,29.0,45.0,33.0,36.0,47.0,26.0,107.0,80.0,2.0,185.0,41.0,46.0,83.0,169.0,118.0,182.0,131.0,15.0,226.0,27.0,13.0
2367,44.0,10.0,77.0,7.0,15.0,75.0,0.0,72.0,4.0,9.0,13.0,8.0,169.0,1.0,5.0,19.0,47.0,113.0,27.0,34.0,39.0,50.0,22.0,6.0,185.0,58.0,167.0,49.0,213.0,2.0
2416,3.0,6.0,18.0,0.0,63.0,9.0,17.0,28.0,1.0,8.0,102.0,132.0,75.0,2.0,4.0,144.0,16.0,62.0,5.0,79.0,42.0,11.0,54.0,27.0,201.0,12.0,7.0,159.0,43.0,176.0
2465,0.0,8.0,25.0,69.0,3.0,19.0,2.0,10.0,57.0,16.0,1.0,76.0,53.0,18.0,36.0,43.0,14.0,61.0,4.0,186.0,5.0,17.0,35.0,24.0,12.0,135.0,75.0,80.0,52.0,26.0
2514,28.0,37.0,53.0,103.0,67.0,19.0,4.0,15.0,12.0,1.0,11.0,130.0,215.0,25.0,42.0,22.0,159.0,66.0,46.0,73.0,27.0,62.0,92.0,2.0,16.0,202.0,26.0,111.0,101.0,40.0
2563,12.0,25.0,8.0,32.0,10.0,75.0,4.0,31.0,177.0,1.0,0.0,28.0,22.0,70.0,24.0,37.0,66.0,27.0,3.0,41.0,21.0,9.0,5.0,17.0,6.0,50.0,110.0,144.0,82.0,58.0
2612,7.0,50.0,4.0,27.0,1.0,87.0,3.0,49.0,16.0,76.0,6.0,72.0,135.0,5.0,11.0,2.0,15.0,96.0,0.0,92.0,17.0,75.0,19.0,23.0,12.0,25.0,183.0,26.0,83.0,18.0
2661,2.0,80.0,10.0,15.0,5.0,4.0,21.0,25.0,12.0,9.0,0.0,126.0,93.0,7.0,27.0,30.0,13.0,51.0,1.0,218.0,63.0,6.0,28.0,3.0,49.0,39.0,61.0,41.0,85.0,57.0
2710,2.0,1.0,8.0,52.0,5.0,4.0,0.0,84.0,66.0,12.0,27.0,67.0,31.0,16.0,132.0,13.0,41.0,11.0,3.0,49.0,76.0,62.0,30.0,43.0,7.0,75.0,94.0,47.0,45.0,14.0
2759,95.0,5.0,1.0,22.0,10.0,23.0,16.0,40.0,21.0,8.0,25.0,27.0,97.0,54.0,53.0,14.0,123.0,89.0,2.0,78.0,70.0,49.0,7.0,0.0,4.0,61.0,73.0,38.0,45.0,117.0
2808,5.0,16.0,8.0,17.0,4.0,11.0,28.0,19.0,14.0,21.0,0.0,2.0,124.0,15.0,10.0,129.0,69.0,38.0,1.0,81.0,41.0,90.0,13.0,26.0,3.0,35.0,52.0,37.0,114.0,51.0
2857,5.0,2.0,39.0,26.0,9.0,7.0,0.0,66.0,41.0,11.0,3.0,91.0,35.0,70.0,15.0,86.0,62.0,43.0,10.0,72.0,99.0,93.0,38.0,36.0,24.0,222.0,138.0,57.0,34.0,4.0
2906,0.0,1.0,34.0,37.0,4.0,35.0,5.0,140.0,67.0,8.0,7.0,18.0,71.0,31.0,28.0,25.0,47.0,17.0,3.0,185.0,29.0,10.0,30.0,11.0,19.0,124.0,26.0,111.0,96.0,15.0
2955,0.0,4.0,46.0,6.0,10.0,1.0,18.0,5.0,34.0,7.0,32.0,43.0,15.0,25.0,21.0,66.0,179.0,13.0,44.0,31.0,9.0,189.0,187.0,42.0,61.0,67.0,89.0,8.0,2.0,53.0
3004,1.0,62.0,59.0,0.0,29.0,54.0,2.0,53.0,17.0,26.0,40.0,52.0,18.0,23.0,4.0,19.0,152.0,3.0,221.0,35.0,6.0,125.0,188.0,129.0,16.0,28.0,49.0,36.0,160.0,50.0
3053,3.0,14.0,5.0,1.0,44.0,13.0,61.0,8.0,6.0,45.0,37.0,68.0,19.0,0.0,25.0,40.0,69.0,17.0,50.0,42.0,4.0,258.0,376.0,172.0,41.0,2.0,34.0,55.0,54.0,91.0
3102,0.0,11.0,1.0,22.0,27.0,3.0,13.0,41.0,172.0,65.0,37.0,25.0,16.0,47.0,5.0,114.0,95.0,28.0,20.0,80.0,23.0,77.0,222.0,119.0,146.0,18.0,67.0,61.0,7.0,241.0
3151,0.0,15.0,12.0,31.0,6.0,2.0,11.0,26.0,33.0,14.0,16.0,91.0,35.0,8.0,54.0,22.0,10.0,69.0,98.0,72.0,70.0,150.0,114.0,17.0,28.0,3.0,73.0,1.0,29.0,99.0
3200,2.0,45.0,71.0,3.0,34.0,6.0,32.0,30.0,19.0,43.0,13.0,63.0,4.0,29.0,105.0,40.0,187.0,59.0,54.0,33.0,22.0,124.0,243.0,8.0,62.0,7.0,148.0,0.0,36.0,198.0
3249,2.0,12.0,50.0,5.0,8.0,35.0,17.0,0.0,14.0,1.0,51.0,25.0,4.0,123.0,144.0,90.0,199.0,6.0,332.0,3.0,10.0,143.0,266.0,7.0,44.0,45.0,27.0,68.0,9.0,81.0
3298,0.0,14.0,80.0,17.0,30.0,1.0,19.0,5.0,47.0,128.0,42.0,28.0,4.0,43.0,75.0,44.0,27.0,48.0,52.0,7.0,22.0,176.0,171.0,6.0,83.0,54.0,37.0,3.0,10.0,137.0
3347,2.0,15.0,8.0,5.0,37.0,0.0,22.0,3.0,28.0,34.0,17.0,16.0,32.0,4.0,30.0,95.0,54.0,45.0,75.0,39.0,12.0,191.0,169.0,110.0,53.0,18.0,93.0,11.0,7.0,1.0
3396,0.0,101.0,47.0,12.0,9.0,1.0,30.0,11.0,2.0,44.0,15.0,27.0,17.0,26.0,20.0,74.0,134.0,32.0,60.0,41.0,38.0,141.0,191.0,45.0,37.0,3.0,68.0,34.0,108.0,58.0
3445,2.0,1.0,0.0,31.0,6.0,5.0,51.0,41.0,50.0,17.0,12.0,32.0,19.0,52.0,105.0,8.0,113.0,61.0,49.0,36.0,29.0,80.0,21.0,65.0,126.0,24.0,76.0,66.0,68.0,14.0
3494,3.0,2.0,0.0,1.0,9.0,86.0,15.0,26.0,50.0,82.0,40.0,17.0,10.0,149.0,131.0,69.0,4.0,188.0,20.0,14.0,5.0,56.0,24.0,57.0,25.0,12.0,13.0,121.0,49.0,6.0
3543,0.0,2.0,1.0,6.0,3.0,26.0,25.0,36.0,51.0,24.0,50.0,15.0,11.0,112.0,22.0,17.0,18.0,28.0,58.0,30.0,104.0,48.0,23.0,195.0,29.0,73.0,12.0,164.0,187.0,13.0
3592,6.0,9.0,0.0,4.0,20.0,2.0,78.0,16.0,70.0,14.0,28.0,1.0,10.0,17.0,106.0,47.0,72.0,15.0,58.0,30.0,8.0,42.0,13.0,284.0,114.0,5.0,19.0,100.0,83.0,50.0
3641,2.0,0.0,1.0,5.0,3.0,10.0,65.0,19.0,48.0,24.0,27.0,30.0,13.0,272.0,22.0,67.0,60.0,59.0,178.0,6.0,118.0,108.0,16.0,153.0,154.0,41.0,78.0,12.0,64.0,25.0
3690,1.0,2.0,0.0,5.0,3.0,9.0,6.0,36.0,23.0,11.0,32.0,8.0,21.0,40.0,84.0,53.0,28.0,55.0,38.0,15.0,124.0,99.0,54.0,179.0,56.0,12.0,71.0,228.0,156.0,19.0
3739,5.0,1.0,0.0,3.0,4.0,13.0,65.0,141.0,64.0,22.0,37.0,20.0,43.0,40.0,58.0,84.0,26.0,24.0,68.0,18.0,33.0,21.0,6.0,256.0,116.0,9.0,45.0,67.0,52.0,2.0
3788,1.0,4.0,0.0,3.0,6.0,2.0,117.0,83.0,125.0,14.0,15.0,27.0,57.0,68.0,22.0,18.0,20.0,9.0,89.0,29.0,43.0,19.0,38.0,222.0,193.0,5.0,13.0,41.0,122.0,26.0
3837,1.0,4.0,0.0,2.0,3.0,5.0,97.0,20.0,39.0,34.0,51.0,13.0,9.0,60.0,49.0,68.0,12.0,57.0,27.0,32.0,24.0,31.0,10.0,86.0,165.0,6.0,142.0,175.0,167.0,40.0
3886,1.0,14.0,2.0,3.0,4.0,8.0,84.0,43.0,86.0,30.0,11.0,24.0,21.0,23.0,85.0,66.0,68.0,88.0,6.0,34.0,89.0,37.0,9.0,429.0,181.0,15.0,20.0,28.0,175.0,13.0
3935,0.0,5.0,2.0,52.0,123.0,17.0,3.0,29.0,1.0,51.0,78.0,84.0,113.0,10.0,20.0,8.0,7.0,28.0,45.0,54.0,12.0,24.0,77.0,13.0,4.0,38.0,34.0,21.0,6.0,33.0
3984,4.0,24.0,33.0,128.0,30.0,7.0,21.0,0.0,1.0,42.0,72.0,138.0,29.0,27.0,116.0,2.0,178.0,35.0,129.0,12.0,84.0,22.0,146.0,16.0,20.0,209.0,43.0,14.0,5.0,36.0
4033,3.0,4.0,22.0,33.0,17.0,0.0,1.0,5.0,7.0,10.0,51.0,147.0,116.0,49.0,55.0,15.0,133.0,8.0,48.0,70.0,58.0,2.0,128.0,71.0,35.0,168.0,13.0,14.0,28.0,98.0
4082,0.0,20.0,5.0,130.0,56.0,13.0,11.0,7.0,14.0,28.0,59.0,140.0,161.0,83.0,153.0,2.0,21.0,1.0,127.0,155.0,25.0,22.0,77.0,44.0,64.0,9.0,17.0,49.0,10.0,62.0
4131,0.0,6.0,25.0,38.0,28.0,2.0,16.0,3.0,1.0,13.0,77.0,27.0,36.0,4.0,109.0,19.0,14.0,23.0,153.0,100.0,7.0,17.0,84.0,29.0,31.0,53.0,34.0,9.0,50.0,32.0
4180,0.0,8.0,3.0,100.0,126.0,60.0,6.0,2.0,7.0,21.0,114.0,117.0,33.0,72.0,179.0,1.0,11.0,35.0,282.0,30.0,209.0,40.0,279.0,26.0,81.0,34.0,19.0,43.0,36.0,52.0
4229,2.0,4.0,3.0,31.0,67.0,7.0,35.0,42.0,1.0,38.0,77.0,209.0,50.0,27.0,76.0,26.0,18.0,12.0,235.0,80.0,22.0,43.0,64.0,49.0,47.0,9.0,0.0,6.0,19.0,112.0
4278,0.0,5.0,1.0,40.0,122.0,2.0,4.0,25.0,21.0,13.0,27.0,24.0,76.0,81.0,17.0,6.0,54.0,19.0,85.0,9.0,14.0,46.0,153.0,10.0,18.0,137.0,112.0,3.0,7.0,100.0
4327,7.0,32.0,2.0,73.0,82.0,1.0,3.0,0.0,4.0,24.0,65.0,15.0,19.0,41.0,68.0,8.0,12.0,6.0,183.0,119.0,5.0,18.0,108.0,10.0,11.0,23.0,22.0,9.0,13.0,52.0
4376,1.0,52.0,17.0,27.0,37.0,4.0,7.0,3.0,6.0,28.0,9.0,276.0,106.0,43.0,277.0,0.0,182.0,10.0,159.0,112.0,54.0,49.0,134.0,26.0,61.0,24.0,14.0,2.0,56.0,21.0
4425,7.0,2.0,73.0,15.0,10.0,0.0,49.0,1.0,24.0,33.0,3.0,18.0,63.0,9.0,6.0,30.0,43.0,107.0,59.0,22.0,31.0,35.0,21.0,50.0,5.0,25.0,28.0,13.0,8.0,72.0
4474,6.0,4.0,12.0,2.0,0.0,1.0,13.0,22.0,80.0,26.0,30.0,15.0,100.0,3.0,14.0,29.0,16.0,27.0,39.0,211.0,18.0,28.0,31.0,5.0,7.0,8.0,23.0,84.0,19.0,76.0
4523,1.0,3.0,13.0,18.0,0.0,7.0,26.0,11.0,62.0,205.0,25.0,16.0,44.0,14.0,61.0,5.0,45.0,36.0,10.0,100.0,92.0,51.0,98.0,47.0,6.0,48.0,2.0,17.0,9.0,20.0
4572,3.0,1.0,10.0,2.0,4.0,6.0,9.0,43.0,161.0,123.0,48.0,35.0,20.0,28.0,13.0,51.0,0.0,21.0,46.0,237.0,144.0,32.0,93.0,183.0,23.0,5.0,15.0,61.0,66.0,16.0
4621,15.0,1.0,34.0,4.0,0.0,10.0,26.0,3.0,42.0,97.0,96.0,6.0,35.0,25.0,11.0,14.0,53.0,43.0,17.0,47.0,84.0,29.0,5.0,77.0,27.0,46.0,79.0,28.0,30.0,48.0
4670,6.0,3.0,18.0,4.0,0.0,2.0,93.0,16.0,32.0,72.0,35.0,36.0,15.0,1.0,24.0,45.0,75.0,10.0,178.0,151.0,37.0,33.0,70.0,61.0,44.0,7.0,11.0,23.0,71.0,25.0
4719,13.0,0.0,1.0,8.0,4.0,36.0,5.0,33.0,65.0,143.0,59.0,3.0,186.0,2.0,12.0,22.0,82.0,111.0,16.0,9.0,53.0,50.0,105.0,212.0,84.0,21.0,55.0,29.0,15.0,81.0
4768,3.0,16.0,14.0,38.0,2.0,4.0,102.0,6.0,22.0,106.0,33.0,0.0,5.0,8.0,31.0,11.0,29.0,30.0,108.0,17.0,24.0,57.0,54.0,65.0,28.0,13.0,43.0,41.0,44.0,66.0
4817,7.0,36.0,33.0,1.0,0.0,4.0,13.0,2.0,103.0,90.0,22.0,9.0,12.0,32.0,188.0,27.0,19.0,25.0,24.0,102.0,39.0,20.0,82.0,62.0,6.0,3.0,57.0,14.0,10.0,28.0
4866,4.0,1.0,7.0,5.0,3.0,0.0,38.0,11.0,45.0,55.0,8.0,12.0,20.0,28.0,9.0,6.0,15.0,27.0,147.0,48.0,131.0,22.0,69.0,30.0,40.0,29.0,16.0,70.0,42.0,110.0
