,hsa-miR-142-5p,hsa-let-7e,hsa-miR-21,hsa-miR-22,hsa-miR-193a-5p,hsa-miR-574-5p,hsa-miR-224,hsa-miR-24,hsa-miR-206,hsa-miR-30a,hsa-miR-223,hsa-miR-548m,hsa-miR-92a,hsa-miR-2115,hsa-miR-31,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-744,hsa-miR-10a,hsa-miR-34a,hsa-miR-545,hsa-miR-422a,hsa-miR-1269,hsa-miR-147b,hsa-miR-626,hsa-miR-675,hsa-miR-766,hsa-miR-151-3p,hsa-miR-135b,hsa-miR-155
3301,0.0,2.0,1.0,5.0,10.0,13.0,14.0,3.0,7.0,6.0,9.0,11.0,24.0,43.0,17.0,19.0,4.0,116.0,77.0,26.0,21.0,46.0,40.0,48.0,604.0,193.0,137.0,51.0,78.0,30.0
3350,0.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,13.0,29.0,10.0,12.0,17.0,207.0,24.0,73.0,9.0,2.0,80.0,142.0,37.0,60.0,50.0,53.0,106.0,19.0,51.0,48.0,213.0,118.0
3399,0.0,1.0,3.0,49.0,6.0,14.0,8.0,2.0,236.0,10.0,4.0,22.0,36.0,80.0,13.0,5.0,72.0,7.0,17.0,9.0,45.0,33.0,86.0,94.0,38.0,238.0,12.0,40.0,21.0,43.0
3448,0.0,1.0,2.0,7.0,5.0,4.0,58.0,12.0,8.0,11.0,32.0,33.0,6.0,3.0,9.0,40.0,31.0,44.0,10.0,42.0,19.0,157.0,135.0,46.0,34.0,23.0,67.0,73.0,26.0,39.0
3497,1.0,0.0,3.0,59.0,13.0,21.0,12.0,26.0,22.0,2.0,10.0,4.0,162.0,23.0,90.0,28.0,505.0,46.0,9.0,29.0,34.0,20.0,14.0,31.0,19.0,39.0,71.0,63.0,7.0,76.0
3546,1.0,0.0,4.0,17.0,2.0,3.0,5.0,13.0,8.0,15.0,12.0,7.0,30.0,10.0,49.0,20.0,117.0,11.0,23.0,9.0,44.0,172.0,22.0,25.0,21.0,6.0,16.0,208.0,35.0,126.0
3595,1.0,0.0,3.0,4.0,33.0,5.0,23.0,60.0,47.0,2.0,12.0,9.0,14.0,57.0,61.0,31.0,107.0,25.0,40.0,109.0,28.0,29.0,20.0,147.0,44.0,41.0,6.0,159.0,19.0,266.0
3644,1.0,0.0,2.0,5.0,3.0,7.0,17.0,20.0,9.0,6.0,218.0,15.0,19.0,13.0,119.0,10.0,80.0,42.0,14.0,297.0,75.0,18.0,21.0,70.0,116.0,4.0,8.0,54.0,16.0,340.0
3693,0.0,1.0,5.0,11.0,13.0,4.0,17.0,18.0,16.0,2.0,7.0,3.0,28.0,9.0,23.0,29.0,190.0,40.0,14.0,82.0,19.0,27.0,31.0,104.0,8.0,12.0,36.0,90.0,15.0,170.0
3742,0.0,1.0,2.0,3.0,7.0,6.0,17.0,29.0,263.0,4.0,18.0,5.0,9.0,34.0,11.0,12.0,296.0,28.0,23.0,54.0,158.0,63.0,62.0,52.0,270.0,25.0,14.0,447.0,24.0,40.0
3791,0.0,1.0,2.0,3.0,11.0,6.0,9.0,19.0,20.0,15.0,111.0,34.0,22.0,12.0,5.0,65.0,8.0,138.0,14.0,27.0,221.0,106.0,81.0,391.0,37.0,10.0,30.0,64.0,13.0,80.0
3840,0.0,1.0,2.0,3.0,10.0,4.0,5.0,13.0,19.0,6.0,7.0,8.0,47.0,15.0,16.0,32.0,27.0,33.0,9.0,14.0,118.0,153.0,112.0,36.0,23.0,17.0,30.0,94.0,51.0,158.0
3889,2.0,0.0,1.0,9.0,13.0,5.0,6.0,24.0,31.0,8.0,27.0,4.0,22.0,69.0,10.0,11.0,15.0,19.0,33.0,25.0,65.0,105.0,21.0,74.0,104.0,129.0,124.0,78.0,52.0,146.0
3938,0.0,1.0,6.0,10.0,22.0,4.0,8.0,16.0,3.0,7.0,9.0,39.0,2.0,21.0,12.0,5.0,17.0,25.0,15.0,35.0,230.0,19.0,50.0,11.0,13.0,47.0,212.0,311.0,366.0,14.0
3987,0.0,1.0,3.0,10.0,11.0,2.0,22.0,9.0,8.0,15.0,7.0,47.0,13.0,69.0,5.0,18.0,4.0,32.0,24.0,6.0,38.0,12.0,16.0,102.0,23.0,139.0,36.0,72.0,39.0,49.0
4036,1.0,0.0,8.0,15.0,2.0,9.0,3.0,6.0,7.0,19.0,92.0,30.0,5.0,394.0,38.0,14.0,24.0,11.0,53.0,25.0,121.0,10.0,47.0,17.0,73.0,33.0,61.0,21.0,152.0,159.0
4085,0.0,1.0,20.0,16.0,7.0,3.0,17.0,30.0,2.0,5.0,57.0,50.0,6.0,8.0,42.0,53.0,24.0,21.0,13.0,82.0,33.0,4.0,516.0,12.0,18.0,26.0,185.0,101.0,43.0,35.0
4134,1.0,0.0,5.0,6.0,8.0,4.0,14.0,35.0,3.0,7.0,47.0,16.0,2.0,12.0,20.0,21.0,48.0,143.0,27.0,25.0,57.0,10.0,316.0,102.0,18.0,205.0,272.0,157.0,72.0,23.0
4183,0.0,1.0,3.0,15.0,5.0,6.0,8.0,16.0,2.0,13.0,12.0,24.0,29.0,78.0,20.0,22.0,457.0,37.0,19.0,10.0,72.0,4.0,14.0,11.0,186.0,21.0,30.0,49.0,90.0,65.0
4232,0.0,1.0,3.0,18.0,14.0,7.0,5.0,10.0,2.0,13.0,17.0,25.0,6.0,8.0,4.0,63.0,30.0,15.0,9.0,105.0,93.0,11.0,46.0,23.0,99.0,88.0,36.0,56.0,39.0,252.0
4281,1.0,0.0,9.0,3.0,6.0,4.0,7.0,21.0,37.0,5.0,10.0,57.0,16.0,28.0,20.0,34.0,188.0,126.0,18.0,11.0,44.0,2.0,52.0,67.0,22.0,185.0,97.0,47.0,170.0,12.0
