,BRAF_MUT,BRAF.V600E_MUT,KRAS_MUT,KRAS.G12_13_MUT,TTN_MUT,BRAF.MC_MUT,FAM21A_DEL,HLA-H_DEL,KIAA1217_DEL,MIR548AI_DEL,NRAS_MUT,CDC73_AMP,RHD_DEL,TNK2_MUT,HLA-DRB1_AMP,FAM35B_DEL,UNC13C_MUT,SORD_AMP,ZNF423_MUT,NBPF16_DEL,LINC00226_AMP,FAM66A_DEL,LGALS9C_DEL,MITF_AMP,LOC728875_DEL,MACROD2_AMP,DMBT1_DEL,RBFOX1_DEL,ATG10_DEL,SNTG2_DEL
1010,0.0,2.0,3.0,4.0,1.0,8.0,5.0,13.0,6.0,143.0,7.0,142.0,10.0,24.0,184.0,9.0,20.0,29.0,14.0,11.0,200.0,15.0,192.0,49.0,301.0,1580.0,115.0,87.0,104.0,131.0
1059,0.0,1.0,2.0,3.0,4.0,10.0,5.0,29.0,6.0,19.0,7.0,65.0,12.0,14.0,109.0,8.0,24.0,51.0,11.0,33.0,2812.0,9.0,46.0,47.0,50.0,545.0,59.0,26.0,182.0,236.0
1108,0.0,2.0,1.0,3.0,4.0,6.0,15.0,7.0,5.0,35.0,16.0,506.0,10.0,20.0,48.0,8.0,31.0,14.0,11.0,13.0,674.0,84.0,424.0,82.0,43.0,383.0,166.0,25.0,52.0,53.0
1157,0.0,3.0,1.0,4.0,2.0,7.0,5.0,32.0,9.0,10.0,20.0,98.0,11.0,33.0,5362.0,8.0,65.0,23.0,14.0,27.0,437.0,36.0,41.0,83.0,18.0,2406.0,106.0,156.0,59.0,116.0
1206,0.0,1.0,2.0,3.0,6.0,4.0,19.0,12.0,5.0,7.0,9.0,1139.0,36.0,28.0,58.0,8.0,88.0,87.0,17.0,22.0,221.0,16.0,18.0,37.0,38.0,1387.0,210.0,65.0,47.0,238.0
1255,0.0,2.0,3.0,4.0,1.0,5.0,10.0,15.0,7.0,24.0,6.0,57.0,20.0,12.0,74.0,11.0,18.0,19.0,16.0,63.0,375.0,28.0,14.0,44.0,195.0,206.0,46.0,40.0,361.0,35.0
1304,0.0,1.0,2.0,3.0,5.0,7.0,10.0,14.0,4.0,11.0,6.0,74.0,17.0,13.0,105.0,27.0,19.0,16.0,12.0,31.0,4018.0,43.0,22.0,35.0,24.0,221.0,272.0,125.0,86.0,173.0
1353,0.0,1.0,2.0,3.0,11.0,7.0,4.0,172.0,24.0,59.0,5.0,25.0,72.0,13.0,29.0,6.0,12.0,9.0,38.0,57.0,53.0,16.0,96.0,295.0,180.0,260.0,708.0,14.0,46.0,20.0
1402,0.0,1.0,2.0,5.0,4.0,3.0,6.0,22.0,12.0,10.0,7.0,244.0,11.0,18.0,127.0,8.0,24.0,23.0,14.0,9.0,75.0,31.0,19.0,45.0,38.0,9539.0,154.0,86.0,84.0,462.0
1451,0.0,1.0,2.0,5.0,4.0,3.0,13.0,6.0,10.0,31.0,14.0,82.0,18.0,49.0,90.0,16.0,39.0,33.0,9.0,12.0,143.0,1144.0,25.0,52.0,47.0,1244.0,43.0,57.0,74.0,99.0
1500,0.0,3.0,1.0,4.0,7.0,33.0,2.0,15.0,6.0,32.0,21.0,42.0,74.0,44.0,5.0,1005.0,36.0,12.0,13.0,39.0,99.0,4503.0,53.0,77.0,17.0,27.0,8.0,30.0,112.0,86.0
1549,0.0,1.0,3.0,5.0,8.0,7.0,2.0,6.0,12.0,38.0,30.0,15.0,29.0,40.0,63.0,318.0,11.0,4.0,13.0,86.0,55.0,1001.0,144.0,25.0,50.0,37.0,33.0,27.0,39.0,102.0
1598,0.0,4.0,2.0,3.0,15.0,8.0,1.0,5.0,39.0,67.0,30.0,37.0,125.0,20.0,6.0,225.0,7.0,33.0,111.0,89.0,131.0,40.0,9.0,143.0,56.0,77.0,114.0,41.0,153.0,49.0
1647,0.0,1.0,4.0,9.0,14.0,6.0,2.0,3.0,7.0,11.0,17.0,12.0,84.0,39.0,19.0,757.0,10.0,8.0,102.0,1428.0,15.0,622.0,33.0,29.0,156.0,25.0,5.0,262.0,21.0,150.0
1696,0.0,1.0,4.0,6.0,5.0,7.0,3.0,2.0,9.0,8.0,21.0,18.0,614.0,26.0,30.0,399.0,20.0,11.0,121.0,68.0,12.0,136.0,10.0,40.0,506.0,28.0,13.0,38.0,53.0,58.0
1745,0.0,1.0,3.0,8.0,2.0,4.0,5.0,6.0,9.0,16.0,14.0,21.0,32.0,24.0,13.0,217.0,11.0,7.0,48.0,62.0,15.0,283.0,50.0,20.0,51.0,30.0,10.0,45.0,23.0,96.0
1794,0.0,1.0,2.0,4.0,7.0,5.0,3.0,6.0,12.0,21.0,11.0,25.0,161.0,23.0,33.0,240.0,8.0,9.0,42.0,35.0,57.0,568.0,15.0,24.0,113.0,46.0,10.0,28.0,41.0,74.0
1843,0.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,12.0,152.0,24.0,17.0,32.0,25.0,8.0,138.0,9.0,11.0,45.0,310.0,68.0,159.0,10.0,26.0,113.0,61.0,47.0,29.0,192.0,213.0
1892,0.0,3.0,10.0,8.0,26.0,4.0,1.0,6.0,14.0,15.0,25.0,7.0,19.0,48.0,3317.0,127.0,13.0,2.0,21.0,63.0,36.0,440.0,205.0,41.0,823.0,22.0,39.0,35.0,24.0,43.0
1941,0.0,1.0,2.0,3.0,7.0,5.0,4.0,8.0,9.0,27.0,14.0,10.0,25.0,67.0,16.0,202.0,21.0,6.0,86.0,20.0,32.0,132.0,28.0,23.0,51.0,49.0,18.0,13.0,151.0,41.0
1990,0.0,5.0,3.0,4.0,14.0,10.0,2.0,36.0,1.0,16.0,6.0,45.0,3968.0,11.0,7.0,42.0,25.0,46.0,375.0,29.0,321.0,31.0,26.0,130.0,50.0,1397.0,700.0,78.0,9.0,44.0
2039,0.0,1.0,4.0,3.0,19.0,8.0,2.0,5.0,12.0,43.0,166.0,6.0,102.0,29.0,15.0,695.0,7.0,22.0,250.0,14.0,16.0,209.0,122.0,39.0,202.0,56.0,44.0,32.0,26.0,17.0
2088,0.0,2.0,1.0,3.0,4.0,5.0,19.0,11.0,16.0,7.0,12.0,9.0,48.0,27.0,6.0,80.0,54.0,35.0,127.0,272.0,29.0,10.0,21.0,148.0,32.0,49.0,55.0,23.0,69.0,50.0
2137,0.0,1.0,2.0,3.0,6.0,4.0,9.0,24.0,14.0,26.0,28.0,5.0,43.0,46.0,7.0,38.0,23.0,22.0,1053.0,8.0,12.0,11.0,63.0,214.0,32.0,111.0,91.0,51.0,27.0,31.0
2186,0.0,3.0,1.0,2.0,4.0,7.0,6.0,28.0,45.0,13.0,15.0,5.0,98.0,39.0,25.0,40.0,49.0,43.0,908.0,20.0,11.0,29.0,71.0,267.0,119.0,172.0,79.0,50.0,35.0,12.0
2235,0.0,1.0,2.0,3.0,5.0,6.0,7.0,44.0,10.0,27.0,14.0,4.0,21.0,30.0,8.0,11.0,55.0,15.0,1233.0,23.0,153.0,12.0,16.0,224.0,9.0,53.0,98.0,105.0,31.0,22.0
2284,0.0,6.0,1.0,2.0,7.0,11.0,3.0,25.0,17.0,52.0,10.0,5.0,292.0,9.0,4.0,20.0,15.0,852.0,485.0,32.0,14.0,16.0,36.0,273.0,12.0,81.0,58.0,23.0,61.0,98.0
2333,0.0,2.0,1.0,3.0,8.0,5.0,4.0,18.0,6.0,19.0,14.0,11.0,63.0,21.0,12.0,27.0,17.0,187.0,851.0,34.0,26.0,49.0,9.0,110.0,57.0,54.0,13.0,23.0,22.0,10.0
2382,0.0,3.0,1.0,2.0,18.0,6.0,4.0,34.0,25.0,9.0,8.0,5.0,151.0,23.0,24.0,22.0,29.0,21.0,1842.0,28.0,17.0,7.0,67.0,169.0,10.0,42.0,20.0,11.0,39.0,15.0
2431,0.0,3.0,1.0,2.0,16.0,11.0,4.0,36.0,5.0,130.0,23.0,8.0,148.0,18.0,6.0,112.0,24.0,94.0,1005.0,15.0,54.0,7.0,193.0,1491.0,10.0,43.0,22.0,12.0,25.0,33.0
2480,0.0,1.0,3.0,5.0,2.0,6.0,10.0,8.0,108.0,9.0,11.0,12.0,13.0,27.0,18.0,57.0,14.0,334.0,22.0,90.0,470.0,39.0,16.0,28.0,32.0,19.0,122.0,637.0,68.0,15.0
2529,0.0,1.0,2.0,4.0,28.0,3.0,5.0,7.0,10.0,74.0,12.0,22.0,9.0,26.0,17.0,31.0,37.0,43.0,36.0,271.0,178.0,44.0,42.0,50.0,125.0,21.0,19.0,45.0,53.0,13.0
2578,0.0,1.0,5.0,7.0,14.0,3.0,4.0,6.0,43.0,12.0,19.0,10.0,26.0,25.0,9.0,20.0,54.0,55.0,39.0,175.0,469.0,98.0,30.0,31.0,61.0,11.0,241.0,69.0,71.0,22.0
2627,0.0,1.0,2.0,3.0,5.0,4.0,12.0,11.0,13.0,67.0,18.0,19.0,7.0,27.0,16.0,366.0,56.0,37.0,49.0,185.0,89.0,74.0,10.0,43.0,100.0,17.0,21.0,83.0,72.0,45.0
2676,0.0,1.0,4.0,7.0,3.0,6.0,16.0,2.0,293.0,9.0,8.0,27.0,19.0,67.0,10.0,25.0,31.0,57.0,35.0,759.0,2344.0,17.0,29.0,24.0,43.0,18.0,13.0,351.0,81.0,12.0
2725,0.0,1.0,2.0,3.0,6.0,5.0,9.0,13.0,63.0,8.0,12.0,14.0,7.0,29.0,21.0,33.0,93.0,587.0,27.0,167.0,103.0,17.0,37.0,32.0,34.0,72.0,50.0,113.0,46.0,11.0
2774,0.0,1.0,2.0,3.0,5.0,7.0,16.0,6.0,27.0,18.0,12.0,15.0,4.0,43.0,39.0,75.0,19.0,169.0,21.0,946.0,2571.0,40.0,28.0,24.0,17.0,11.0,81.0,64.0,61.0,22.0
2823,0.0,3.0,1.0,2.0,4.0,5.0,10.0,9.0,22.0,18.0,12.0,8.0,6.0,56.0,27.0,7.0,97.0,67.0,64.0,182.0,186.0,17.0,23.0,37.0,13.0,26.0,65.0,323.0,213.0,11.0
2872,0.0,1.0,2.0,4.0,5.0,7.0,6.0,9.0,37.0,27.0,8.0,26.0,36.0,21.0,31.0,64.0,20.0,58.0,543.0,337.0,185.0,13.0,108.0,102.0,98.0,16.0,56.0,32.0,45.0,12.0
2921,0.0,1.0,3.0,4.0,5.0,2.0,9.0,18.0,39.0,36.0,10.0,184.0,12.0,16.0,8.0,42.0,47.0,176.0,99.0,673.0,131.0,27.0,11.0,17.0,29.0,411.0,51.0,38.0,40.0,32.0
2970,0.0,1.0,2.0,3.0,4.0,8.0,39.0,7.0,23.0,6.0,9.0,10.0,11.0,32.0,28.0,24.0,97.0,123.0,31.0,16.0,118.0,5.0,47.0,54.0,12.0,20.0,99.0,182.0,170.0,49.0
3019,0.0,1.0,2.0,3.0,4.0,5.0,19.0,9.0,14.0,10.0,7.0,8.0,157.0,17.0,11.0,15.0,30.0,33.0,32.0,23.0,72.0,26.0,182.0,16.0,69.0,6.0,858.0,36.0,46.0,50.0
3068,0.0,1.0,3.0,6.0,5.0,2.0,23.0,10.0,9.0,21.0,32.0,16.0,20.0,28.0,36.0,76.0,169.0,13.0,53.0,25.0,51.0,141.0,172.0,14.0,62.0,22.0,77.0,84.0,78.0,26.0
3117,0.0,1.0,3.0,4.0,18.0,5.0,7.0,6.0,2.0,11.0,14.0,9.0,17.0,23.0,42.0,26.0,19.0,21.0,70.0,48.0,45.0,13.0,74.0,20.0,39.0,12.0,16.0,97.0,61.0,29.0
3166,0.0,2.0,10.0,12.0,1.0,5.0,56.0,4.0,22.0,3.0,11.0,36.0,102.0,18.0,13.0,6.0,21.0,7.0,44.0,26.0,8.0,60.0,178.0,16.0,9.0,25.0,23.0,130.0,45.0,33.0
3215,0.0,1.0,2.0,3.0,10.0,4.0,6.0,22.0,5.0,35.0,8.0,13.0,50.0,12.0,16.0,11.0,15.0,32.0,668.0,14.0,99.0,7.0,176.0,27.0,60.0,17.0,36.0,113.0,71.0,51.0
3264,0.0,1.0,3.0,6.0,2.0,5.0,17.0,4.0,26.0,8.0,9.0,24.0,14.0,27.0,7.0,12.0,182.0,13.0,114.0,56.0,242.0,21.0,69.0,23.0,46.0,19.0,18.0,257.0,324.0,113.0
3313,0.0,3.0,1.0,2.0,6.0,8.0,12.0,10.0,4.0,5.0,20.0,9.0,36.0,25.0,94.0,30.0,67.0,16.0,93.0,21.0,151.0,7.0,84.0,14.0,34.0,19.0,24.0,1603.0,69.0,27.0
3362,0.0,1.0,2.0,3.0,8.0,4.0,12.0,7.0,5.0,9.0,6.0,13.0,54.0,39.0,37.0,16.0,57.0,14.0,34.0,36.0,30.0,23.0,196.0,17.0,62.0,15.0,25.0,193.0,192.0,10.0
3411,0.0,1.0,3.0,5.0,2.0,6.0,14.0,9.0,4.0,8.0,7.0,25.0,116.0,17.0,10.0,46.0,22.0,12.0,58.0,11.0,34.0,89.0,97.0,20.0,50.0,21.0,29.0,94.0,37.0,81.0
3460,0.0,4.0,1.0,3.0,9.0,8.0,2.0,6.0,5.0,42.0,15.0,10.0,40.0,12.0,13.0,18.0,14.0,520.0,20.0,7.0,11.0,21.0,83.0,43.0,57.0,32.0,114.0,110.0,118.0,17.0
3509,0.0,4.0,1.0,3.0,16.0,11.0,2.0,5.0,6.0,9.0,14.0,8.0,178.0,12.0,15.0,13.0,39.0,17.0,48.0,7.0,45.0,10.0,38.0,133.0,23.0,43.0,243.0,34.0,56.0,22.0
3558,0.0,3.0,2.0,5.0,46.0,7.0,1.0,4.0,6.0,12.0,9.0,30.0,40.0,15.0,16.0,23.0,45.0,144.0,39.0,11.0,104.0,13.0,8.0,43.0,14.0,29.0,314.0,215.0,157.0,20.0
3607,0.0,3.0,2.0,4.0,7.0,6.0,1.0,5.0,9.0,11.0,18.0,20.0,24.0,14.0,28.0,49.0,31.0,157.0,43.0,13.0,199.0,15.0,17.0,27.0,39.0,23.0,346.0,226.0,118.0,10.0
3656,0.0,1.0,2.0,7.0,3.0,6.0,4.0,5.0,15.0,9.0,10.0,48.0,45.0,18.0,8.0,11.0,61.0,324.0,90.0,52.0,21.0,26.0,13.0,20.0,920.0,66.0,147.0,207.0,254.0,56.0
3705,0.0,1.0,3.0,4.0,191.0,6.0,2.0,7.0,5.0,20.0,8.0,192.0,27.0,13.0,11.0,9.0,61.0,1782.0,75.0,10.0,66.0,14.0,12.0,26.0,326.0,77.0,4774.0,246.0,47.0,202.0
3754,0.0,2.0,3.0,6.0,25.0,7.0,1.0,8.0,4.0,5.0,21.0,35.0,200.0,15.0,22.0,40.0,33.0,20.0,39.0,18.0,37.0,16.0,84.0,19.0,61.0,34.0,212.0,480.0,73.0,45.0
3803,0.0,1.0,2.0,4.0,10.0,5.0,3.0,6.0,7.0,21.0,52.0,50.0,42.0,61.0,30.0,28.0,22.0,9924.0,18.0,20.0,29.0,8.0,48.0,31.0,9.0,32.0,94.0,117.0,37.0,14.0
3852,0.0,1.0,4.0,6.0,17.0,5.0,2.0,15.0,3.0,8.0,14.0,251.0,27.0,13.0,18.0,12.0,34.0,1993.0,28.0,11.0,16.0,22.0,19.0,40.0,32.0,98.0,45.0,37.0,106.0,123.0
3901,0.0,2.0,3.0,4.0,10.0,5.0,1.0,6.0,8.0,27.0,42.0,29.0,23.0,17.0,7.0,115.0,57.0,24.0,43.0,9.0,16.0,22.0,14.0,31.0,462.0,18.0,179.0,130.0,46.0,21.0
3950,0.0,3.0,1.0,5.0,2.0,6.0,20.0,11.0,4.0,10.0,9.0,49.0,19.0,37.0,399.0,35.0,18.0,8.0,25.0,34.0,43.0,21.0,79.0,130.0,17.0,12.0,74.0,13.0,30.0,89.0
3999,0.0,2.0,4.0,5.0,1.0,3.0,34.0,14.0,9.0,8.0,7.0,105.0,10.0,41.0,54.0,18.0,19.0,17.0,21.0,35.0,30.0,44.0,88.0,38.0,6.0,67.0,53.0,25.0,37.0,71.0
4048,0.0,2.0,1.0,3.0,4.0,5.0,9.0,6.0,18.0,7.0,14.0,17.0,38.0,54.0,288.0,16.0,45.0,42.0,19.0,44.0,21.0,52.0,113.0,20.0,67.0,15.0,333.0,46.0,58.0,29.0
4097,0.0,4.0,2.0,5.0,3.0,1.0,12.0,31.0,8.0,15.0,11.0,54.0,6.0,45.0,232.0,48.0,16.0,20.0,43.0,36.0,50.0,27.0,39.0,22.0,9.0,120.0,86.0,14.0,17.0,249.0
4146,0.0,1.0,4.0,5.0,3.0,2.0,20.0,32.0,8.0,6.0,12.0,68.0,27.0,59.0,60.0,46.0,44.0,461.0,18.0,72.0,74.0,37.0,5029.0,35.0,7.0,97.0,115.0,13.0,16.0,469.0
4195,0.0,2.0,1.0,5.0,6.0,4.0,10.0,7.0,8.0,3.0,9.0,157.0,83.0,31.0,1537.0,93.0,13.0,49.0,25.0,132.0,28.0,16.0,53.0,54.0,125.0,20.0,221.0,15.0,12.0,87.0
4244,0.0,1.0,4.0,7.0,2.0,3.0,48.0,9.0,66.0,6.0,12.0,19.0,8.0,100.0,318.0,16.0,20.0,24.0,50.0,1198.0,14.0,34.0,193.0,26.0,41.0,28.0,33.0,18.0,80.0,32.0
4293,0.0,3.0,2.0,4.0,1.0,5.0,86.0,7.0,30.0,21.0,13.0,25.0,8.0,120.0,153.0,10.0,18.0,69.0,17.0,27.0,43.0,65.0,4083.0,62.0,6.0,9.0,41.0,19.0,85.0,97.0
4342,1.0,4.0,2.0,5.0,0.0,3.0,15.0,6.0,9.0,24.0,17.0,52.0,21.0,37.0,507.0,51.0,35.0,12.0,25.0,40.0,7.0,65.0,34.0,48.0,16.0,19.0,13.0,11.0,18.0,161.0
4391,0.0,3.0,2.0,4.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,23.0,37.0,25.0,170.0,18.0,14.0,70.0,11.0,38.0,32.0,24.0,428.0,41.0,15.0,19.0,42.0,27.0,26.0,168.0
4440,0.0,1.0,5.0,10.0,3.0,6.0,20.0,19.0,7.0,2.0,4.0,97.0,35.0,39.0,102.0,48.0,77.0,14.0,29.0,28.0,30.0,192.0,59.0,43.0,177.0,711.0,9.0,181.0,31.0,154.0
4489,0.0,3.0,2.0,9.0,36.0,5.0,10.0,4.0,11.0,1.0,6.0,50.0,37.0,38.0,724.0,33.0,90.0,13.0,16.0,20.0,19.0,52.0,31.0,40.0,99.0,107.0,26.0,78.0,15.0,364.0
4538,0.0,1.0,2.0,4.0,40.0,3.0,10.0,13.0,12.0,8.0,11.0,23.0,9.0,33.0,35.0,29.0,22.0,14.0,44.0,28.0,7.0,53.0,86.0,129.0,39.0,47.0,5.0,68.0,32.0,225.0
4587,0.0,1.0,7.0,11.0,23.0,2.0,19.0,3.0,8.0,4.0,5.0,14.0,6.0,58.0,127.0,15.0,30.0,9.0,25.0,135.0,27.0,67.0,16.0,33.0,12700.0,56.0,10.0,45.0,70.0,287.0
4636,0.0,1.0,4.0,13.0,19.0,3.0,22.0,6.0,11.0,2.0,5.0,21.0,10.0,33.0,375.0,16.0,48.0,23.0,27.0,32.0,14.0,45.0,17.0,96.0,64.0,25.0,7.0,51.0,43.0,125.0
4685,0.0,1.0,3.0,6.0,15.0,2.0,9.0,5.0,4.0,7.0,19.0,10.0,13.0,63.0,107.0,18.0,29.0,8.0,127.0,27.0,16.0,32.0,136.0,24.0,38.0,28.0,11.0,356.0,17.0,90.0
4734,0.0,1.0,2.0,4.0,7.0,3.0,10.0,5.0,45.0,12.0,37.0,20.0,6.0,89.0,99.0,78.0,9.0,27.0,39.0,54.0,13.0,74.0,28.0,32.0,421.0,226.0,8.0,123.0,26.0,96.0
4783,0.0,2.0,3.0,5.0,26.0,6.0,23.0,4.0,8.0,1.0,7.0,9.0,14.0,37.0,121.0,17.0,34.0,452.0,19.0,29.0,31.0,20.0,5166.0,62.0,18.0,33.0,11.0,84.0,42.0,158.0
4832,0.0,2.0,1.0,3.0,16.0,4.0,14.0,10.0,12.0,6.0,11.0,8.0,5.0,48.0,183.0,22.0,34.0,9.0,13.0,49.0,51.0,82.0,206.0,40.0,21.0,70.0,19.0,23.0,26.0,261.0
4881,0.0,1.0,6.0,8.0,10.0,2.0,36.0,14.0,20.0,5.0,7.0,15.0,24.0,44.0,151.0,48.0,72.0,13.0,34.0,40.0,3.0,27.0,39.0,29.0,153.0,51.0,12.0,628.0,11.0,150.0
