,C-Raf_pS338,Beclin,RAD51,HSP70,Rb_pS807_S811,G6PD,Akt,CDK1,MSH6,beta-Catenin_pT41_S45,TTF1,Caspase-7_cleavedD198,MIG-6,Fibronectin,4E-BP1_pT70,MDM2_pS166,beta-Catenin,VAV1,SHP-2_pY542,AMPK_pT172,Src,p90RSK_pT359_S363,Heregulin,IGFBP2,YAP_pS127,PEA15,eEF2,Src_pY416,4E-BP1_pT37_T46,Paxillin
490,3.0,2.0,1.0,9.0,0.0,21.0,24.0,15.0,8.0,46.0,29.0,18.0,6.0,5.0,11.0,27.0,51.0,56.0,105.0,25.0,57.0,23.0,72.0,140.0,4.0,20.0,28.0,44.0,7.0,10.0
539,1.0,0.0,39.0,19.0,15.0,49.0,48.0,43.0,2.0,55.0,89.0,11.0,85.0,22.0,56.0,80.0,13.0,12.0,3.0,121.0,109.0,91.0,110.0,54.0,28.0,142.0,32.0,143.0,62.0,26.0
588,0.0,3.0,13.0,1.0,8.0,7.0,59.0,10.0,12.0,23.0,52.0,47.0,32.0,5.0,27.0,67.0,22.0,68.0,33.0,35.0,15.0,17.0,6.0,46.0,106.0,30.0,93.0,2.0,53.0,4.0
637,2.0,0.0,3.0,6.0,7.0,11.0,46.0,71.0,5.0,21.0,56.0,15.0,142.0,16.0,25.0,9.0,19.0,41.0,26.0,27.0,18.0,23.0,50.0,55.0,64.0,40.0,39.0,1.0,89.0,12.0
686,0.0,3.0,10.0,4.0,1.0,15.0,29.0,42.0,17.0,46.0,20.0,5.0,21.0,25.0,13.0,32.0,30.0,100.0,7.0,14.0,35.0,147.0,40.0,161.0,23.0,12.0,52.0,2.0,53.0,8.0
735,1.0,7.0,0.0,28.0,33.0,3.0,25.0,23.0,58.0,2.0,9.0,14.0,42.0,34.0,52.0,10.0,12.0,36.0,17.0,16.0,48.0,81.0,4.0,50.0,15.0,32.0,67.0,26.0,74.0,6.0
784,7.0,0.0,6.0,14.0,1.0,31.0,21.0,45.0,62.0,19.0,22.0,65.0,9.0,5.0,104.0,18.0,3.0,17.0,53.0,23.0,16.0,148.0,25.0,11.0,12.0,122.0,87.0,2.0,32.0,4.0
833,1.0,12.0,0.0,18.0,5.0,28.0,38.0,20.0,15.0,4.0,114.0,11.0,110.0,37.0,87.0,21.0,9.0,10.0,49.0,33.0,79.0,149.0,81.0,151.0,39.0,45.0,23.0,2.0,7.0,62.0
882,1.0,10.0,0.0,8.0,2.0,17.0,7.0,14.0,86.0,16.0,92.0,54.0,38.0,44.0,28.0,52.0,3.0,83.0,19.0,69.0,13.0,71.0,21.0,78.0,108.0,4.0,73.0,9.0,57.0,113.0
931,0.0,5.0,1.0,3.0,2.0,26.0,23.0,21.0,113.0,33.0,118.0,6.0,11.0,149.0,42.0,85.0,127.0,29.0,18.0,13.0,27.0,9.0,7.0,70.0,19.0,31.0,78.0,4.0,66.0,79.0
980,0.0,3.0,22.0,30.0,4.0,10.0,54.0,17.0,23.0,2.0,11.0,50.0,57.0,33.0,58.0,12.0,1.0,13.0,44.0,52.0,36.0,20.0,98.0,93.0,119.0,39.0,14.0,114.0,49.0,48.0
1029,0.0,10.0,5.0,12.0,8.0,7.0,17.0,45.0,22.0,6.0,3.0,82.0,11.0,85.0,1.0,9.0,4.0,2.0,94.0,53.0,35.0,31.0,121.0,147.0,16.0,14.0,55.0,62.0,28.0,70.0
1078,0.0,1.0,25.0,10.0,3.0,9.0,59.0,26.0,2.0,34.0,4.0,57.0,62.0,75.0,28.0,20.0,18.0,36.0,93.0,6.0,41.0,11.0,46.0,119.0,48.0,30.0,12.0,39.0,16.0,87.0
1127,0.0,2.0,55.0,5.0,10.0,7.0,1.0,41.0,3.0,28.0,34.0,60.0,43.0,38.0,15.0,9.0,58.0,22.0,63.0,12.0,83.0,4.0,112.0,126.0,46.0,21.0,86.0,85.0,77.0,45.0
1176,0.0,2.0,56.0,1.0,4.0,14.0,73.0,3.0,21.0,55.0,12.0,11.0,31.0,86.0,46.0,7.0,91.0,27.0,30.0,18.0,22.0,83.0,45.0,82.0,10.0,95.0,15.0,75.0,16.0,92.0
1225,0.0,1.0,25.0,17.0,2.0,6.0,10.0,3.0,15.0,5.0,7.0,109.0,24.0,39.0,4.0,69.0,26.0,97.0,43.0,14.0,58.0,83.0,93.0,113.0,152.0,11.0,28.0,126.0,34.0,57.0
1274,0.0,5.0,15.0,55.0,13.0,3.0,109.0,4.0,20.0,30.0,1.0,85.0,64.0,6.0,2.0,14.0,40.0,51.0,161.0,23.0,93.0,67.0,31.0,160.0,11.0,25.0,71.0,56.0,74.0,62.0
1323,0.0,2.0,157.0,1.0,5.0,29.0,58.0,62.0,12.0,8.0,10.0,14.0,13.0,4.0,3.0,6.0,25.0,11.0,81.0,7.0,69.0,124.0,46.0,134.0,117.0,71.0,97.0,110.0,9.0,145.0
1372,0.0,2.0,8.0,4.0,1.0,20.0,47.0,80.0,33.0,10.0,3.0,7.0,93.0,6.0,9.0,5.0,43.0,57.0,15.0,12.0,113.0,61.0,109.0,150.0,60.0,11.0,46.0,100.0,85.0,82.0
1421,0.0,2.0,4.0,1.0,5.0,24.0,149.0,6.0,26.0,25.0,18.0,13.0,118.0,14.0,3.0,110.0,9.0,29.0,36.0,35.0,27.0,11.0,23.0,114.0,63.0,40.0,62.0,79.0,19.0,126.0
1470,0.0,2.0,9.0,5.0,126.0,26.0,43.0,14.0,7.0,13.0,6.0,1.0,54.0,34.0,31.0,15.0,4.0,60.0,27.0,36.0,18.0,17.0,11.0,16.0,79.0,103.0,32.0,19.0,90.0,78.0
1519,2.0,0.0,16.0,4.0,7.0,8.0,31.0,6.0,10.0,21.0,39.0,3.0,1.0,9.0,5.0,25.0,11.0,108.0,47.0,71.0,12.0,72.0,45.0,77.0,102.0,64.0,17.0,41.0,65.0,24.0
1568,20.0,10.0,25.0,0.0,2.0,72.0,12.0,3.0,14.0,6.0,19.0,4.0,23.0,8.0,41.0,5.0,59.0,70.0,24.0,16.0,13.0,94.0,29.0,15.0,56.0,140.0,44.0,88.0,28.0,39.0
1617,0.0,1.0,27.0,22.0,11.0,13.0,15.0,6.0,121.0,2.0,63.0,9.0,12.0,40.0,8.0,20.0,26.0,52.0,125.0,54.0,38.0,53.0,88.0,16.0,47.0,105.0,14.0,122.0,152.0,42.0
1666,2.0,8.0,7.0,3.0,9.0,19.0,49.0,11.0,65.0,28.0,21.0,5.0,0.0,26.0,22.0,10.0,29.0,16.0,4.0,12.0,73.0,20.0,33.0,25.0,54.0,69.0,122.0,32.0,110.0,87.0
1715,12.0,1.0,6.0,36.0,15.0,25.0,3.0,5.0,8.0,44.0,55.0,23.0,0.0,53.0,9.0,7.0,30.0,42.0,14.0,106.0,29.0,11.0,38.0,27.0,127.0,34.0,24.0,59.0,52.0,26.0
1764,0.0,7.0,2.0,9.0,1.0,16.0,25.0,8.0,91.0,4.0,140.0,12.0,5.0,65.0,3.0,45.0,11.0,15.0,22.0,44.0,10.0,67.0,31.0,33.0,134.0,20.0,127.0,39.0,41.0,19.0
1813,2.0,1.0,31.0,9.0,0.0,3.0,42.0,13.0,67.0,14.0,30.0,7.0,15.0,130.0,21.0,152.0,6.0,8.0,115.0,18.0,12.0,4.0,26.0,35.0,87.0,25.0,50.0,89.0,41.0,39.0
1862,3.0,1.0,124.0,57.0,4.0,7.0,11.0,0.0,58.0,6.0,45.0,2.0,12.0,47.0,84.0,73.0,22.0,35.0,19.0,8.0,5.0,9.0,70.0,131.0,91.0,62.0,150.0,52.0,145.0,80.0
1911,3.0,1.0,2.0,4.0,9.0,7.0,15.0,6.0,78.0,41.0,10.0,52.0,30.0,5.0,17.0,109.0,0.0,97.0,21.0,144.0,73.0,93.0,102.0,90.0,13.0,68.0,107.0,59.0,136.0,23.0
1960,2.0,0.0,20.0,5.0,1.0,18.0,107.0,9.0,3.0,22.0,6.0,14.0,12.0,109.0,48.0,7.0,89.0,29.0,33.0,79.0,32.0,91.0,111.0,21.0,27.0,8.0,100.0,127.0,19.0,150.0
2009,0.0,2.0,11.0,5.0,6.0,1.0,44.0,3.0,21.0,43.0,25.0,47.0,7.0,74.0,19.0,28.0,52.0,71.0,75.0,37.0,83.0,38.0,10.0,4.0,17.0,148.0,63.0,118.0,20.0,94.0
2058,3.0,0.0,77.0,2.0,4.0,13.0,63.0,1.0,18.0,20.0,17.0,43.0,7.0,162.0,151.0,16.0,11.0,78.0,24.0,35.0,33.0,65.0,74.0,8.0,48.0,52.0,75.0,98.0,26.0,114.0
2107,4.0,0.0,2.0,3.0,1.0,6.0,9.0,23.0,8.0,90.0,11.0,26.0,94.0,82.0,80.0,5.0,44.0,92.0,76.0,38.0,74.0,88.0,78.0,7.0,12.0,67.0,13.0,43.0,34.0,45.0
2156,1.0,3.0,6.0,7.0,4.0,0.0,27.0,2.0,13.0,58.0,8.0,14.0,5.0,95.0,51.0,9.0,30.0,44.0,21.0,17.0,77.0,63.0,66.0,10.0,32.0,15.0,99.0,72.0,90.0,68.0
2205,5.0,0.0,8.0,7.0,6.0,2.0,1.0,12.0,4.0,34.0,14.0,27.0,3.0,19.0,25.0,11.0,55.0,31.0,10.0,26.0,23.0,106.0,111.0,20.0,67.0,105.0,17.0,24.0,81.0,107.0
2254,0.0,6.0,19.0,8.0,12.0,4.0,160.0,3.0,34.0,9.0,68.0,100.0,2.0,50.0,26.0,1.0,15.0,37.0,7.0,30.0,84.0,145.0,13.0,27.0,57.0,152.0,14.0,24.0,38.0,53.0
2303,5.0,0.0,7.0,6.0,4.0,2.0,22.0,1.0,75.0,17.0,24.0,70.0,3.0,69.0,25.0,42.0,19.0,103.0,31.0,30.0,106.0,134.0,38.0,15.0,35.0,13.0,80.0,64.0,118.0,45.0
2352,0.0,4.0,13.0,5.0,3.0,1.0,24.0,2.0,7.0,26.0,17.0,125.0,135.0,57.0,25.0,8.0,10.0,48.0,20.0,86.0,108.0,161.0,105.0,6.0,43.0,46.0,128.0,16.0,45.0,31.0
2401,1.0,0.0,25.0,2.0,3.0,5.0,7.0,9.0,20.0,19.0,13.0,35.0,78.0,52.0,103.0,14.0,23.0,89.0,8.0,130.0,76.0,164.0,21.0,17.0,87.0,53.0,12.0,102.0,158.0,50.0
2450,3.0,0.0,4.0,5.0,1.0,36.0,2.0,42.0,19.0,28.0,13.0,10.0,149.0,8.0,114.0,33.0,116.0,54.0,24.0,60.0,12.0,56.0,17.0,31.0,27.0,51.0,45.0,58.0,81.0,26.0
2499,2.0,1.0,0.0,20.0,3.0,6.0,16.0,19.0,45.0,55.0,14.0,48.0,5.0,7.0,8.0,35.0,9.0,31.0,11.0,72.0,24.0,29.0,4.0,43.0,17.0,52.0,30.0,62.0,22.0,32.0
2548,1.0,5.0,2.0,23.0,0.0,11.0,14.0,4.0,12.0,75.0,13.0,46.0,122.0,69.0,9.0,36.0,52.0,58.0,16.0,59.0,21.0,32.0,8.0,42.0,25.0,129.0,51.0,18.0,60.0,6.0
2597,3.0,1.0,10.0,6.0,5.0,134.0,14.0,16.0,7.0,20.0,0.0,53.0,42.0,12.0,55.0,11.0,51.0,27.0,102.0,121.0,65.0,31.0,15.0,40.0,2.0,119.0,37.0,8.0,38.0,24.0
2646,4.0,1.0,0.0,2.0,3.0,6.0,56.0,18.0,28.0,71.0,27.0,24.0,40.0,42.0,34.0,9.0,33.0,10.0,95.0,158.0,8.0,23.0,7.0,65.0,39.0,87.0,47.0,13.0,26.0,17.0
2695,0.0,10.0,1.0,4.0,3.0,13.0,8.0,141.0,22.0,16.0,2.0,18.0,19.0,106.0,52.0,6.0,12.0,11.0,108.0,136.0,111.0,9.0,7.0,27.0,101.0,14.0,40.0,61.0,159.0,5.0
2744,2.0,0.0,21.0,4.0,3.0,32.0,47.0,61.0,10.0,19.0,15.0,20.0,22.0,9.0,1.0,31.0,41.0,84.0,6.0,5.0,11.0,80.0,103.0,30.0,8.0,33.0,18.0,50.0,63.0,45.0
2793,9.0,5.0,15.0,39.0,2.0,21.0,37.0,43.0,47.0,7.0,34.0,6.0,13.0,35.0,0.0,4.0,92.0,97.0,24.0,60.0,51.0,27.0,3.0,10.0,8.0,25.0,28.0,61.0,69.0,94.0
2842,2.0,0.0,18.0,35.0,4.0,8.0,1.0,38.0,26.0,12.0,36.0,23.0,90.0,16.0,7.0,11.0,72.0,24.0,93.0,62.0,3.0,58.0,15.0,28.0,9.0,32.0,70.0,27.0,33.0,117.0
2891,1.0,0.0,66.0,3.0,14.0,49.0,4.0,6.0,65.0,28.0,2.0,72.0,8.0,63.0,16.0,24.0,70.0,7.0,107.0,40.0,34.0,101.0,51.0,5.0,20.0,58.0,23.0,143.0,15.0,71.0
2940,3.0,0.0,2.0,73.0,11.0,1.0,27.0,6.0,5.0,92.0,34.0,83.0,163.0,4.0,15.0,33.0,18.0,10.0,8.0,137.0,47.0,35.0,17.0,40.0,70.0,65.0,30.0,84.0,122.0,7.0
2989,4.0,0.0,28.0,9.0,32.0,103.0,64.0,15.0,2.0,18.0,6.0,10.0,86.0,66.0,1.0,25.0,21.0,5.0,26.0,16.0,39.0,71.0,19.0,22.0,7.0,129.0,33.0,36.0,102.0,8.0
3038,1.0,0.0,84.0,2.0,4.0,10.0,14.0,69.0,5.0,67.0,11.0,94.0,95.0,36.0,29.0,8.0,18.0,12.0,88.0,13.0,54.0,129.0,28.0,16.0,56.0,85.0,91.0,3.0,99.0,87.0
3087,0.0,1.0,2.0,17.0,47.0,31.0,29.0,107.0,27.0,149.0,3.0,13.0,14.0,12.0,6.0,5.0,7.0,37.0,4.0,57.0,54.0,140.0,16.0,19.0,33.0,94.0,86.0,10.0,91.0,83.0
3136,3.0,0.0,98.0,24.0,11.0,41.0,9.0,135.0,25.0,60.0,13.0,27.0,5.0,42.0,15.0,1.0,31.0,28.0,30.0,18.0,7.0,37.0,20.0,44.0,2.0,85.0,147.0,6.0,118.0,46.0
3185,0.0,2.0,3.0,1.0,10.0,38.0,19.0,8.0,20.0,6.0,23.0,161.0,117.0,108.0,11.0,72.0,32.0,67.0,55.0,24.0,61.0,13.0,30.0,7.0,16.0,160.0,137.0,5.0,88.0,22.0
3234,0.0,5.0,4.0,1.0,40.0,7.0,10.0,71.0,34.0,83.0,2.0,3.0,74.0,47.0,13.0,12.0,145.0,6.0,52.0,9.0,90.0,111.0,97.0,19.0,25.0,64.0,85.0,17.0,94.0,31.0
3283,4.0,3.0,1.0,5.0,8.0,128.0,24.0,26.0,7.0,23.0,6.0,11.0,19.0,73.0,10.0,0.0,13.0,80.0,22.0,83.0,35.0,42.0,9.0,2.0,41.0,121.0,132.0,12.0,46.0,74.0
3332,0.0,1.0,32.0,6.0,22.0,60.0,93.0,3.0,57.0,15.0,2.0,26.0,79.0,9.0,25.0,21.0,18.0,14.0,23.0,137.0,16.0,67.0,5.0,27.0,33.0,100.0,138.0,64.0,92.0,34.0
3381,0.0,15.0,9.0,62.0,1.0,16.0,5.0,22.0,7.0,10.0,21.0,26.0,25.0,4.0,11.0,34.0,51.0,3.0,43.0,151.0,2.0,60.0,12.0,23.0,31.0,77.0,132.0,17.0,105.0,67.0
3430,3.0,8.0,2.0,1.0,10.0,6.0,5.0,15.0,4.0,60.0,68.0,0.0,23.0,20.0,35.0,107.0,39.0,11.0,73.0,28.0,103.0,27.0,53.0,93.0,70.0,33.0,32.0,26.0,31.0,34.0
3479,1.0,10.0,0.0,2.0,44.0,16.0,3.0,5.0,8.0,69.0,54.0,11.0,25.0,26.0,106.0,94.0,73.0,7.0,9.0,121.0,28.0,22.0,101.0,96.0,32.0,43.0,40.0,128.0,122.0,88.0
3528,13.0,1.0,2.0,0.0,3.0,4.0,10.0,30.0,38.0,20.0,6.0,12.0,8.0,9.0,65.0,42.0,103.0,21.0,7.0,53.0,15.0,31.0,22.0,90.0,24.0,23.0,40.0,116.0,91.0,80.0
3577,2.0,1.0,4.0,5.0,46.0,0.0,3.0,11.0,68.0,15.0,33.0,75.0,14.0,9.0,106.0,8.0,70.0,12.0,7.0,22.0,49.0,39.0,38.0,65.0,26.0,10.0,101.0,40.0,126.0,35.0
3626,8.0,25.0,5.0,1.0,6.0,10.0,0.0,30.0,61.0,33.0,9.0,3.0,150.0,11.0,77.0,14.0,2.0,4.0,66.0,88.0,18.0,37.0,27.0,39.0,68.0,13.0,17.0,100.0,16.0,87.0
3675,4.0,20.0,0.0,1.0,10.0,2.0,3.0,125.0,75.0,80.0,26.0,18.0,11.0,43.0,107.0,13.0,32.0,47.0,25.0,97.0,57.0,65.0,22.0,44.0,111.0,6.0,5.0,52.0,66.0,147.0
3724,11.0,1.0,0.0,13.0,3.0,17.0,112.0,37.0,52.0,12.0,73.0,27.0,64.0,8.0,7.0,16.0,53.0,2.0,84.0,97.0,45.0,30.0,14.0,31.0,56.0,26.0,54.0,92.0,5.0,75.0
3773,1.0,7.0,3.0,17.0,12.0,21.0,5.0,6.0,53.0,10.0,60.0,0.0,15.0,4.0,37.0,78.0,73.0,13.0,143.0,43.0,34.0,8.0,59.0,86.0,64.0,42.0,14.0,25.0,96.0,70.0
3822,0.0,7.0,3.0,18.0,8.0,2.0,52.0,21.0,112.0,15.0,6.0,1.0,5.0,95.0,58.0,131.0,19.0,56.0,80.0,37.0,72.0,16.0,77.0,30.0,150.0,13.0,41.0,22.0,39.0,100.0
3871,24.0,8.0,3.0,6.0,0.0,1.0,19.0,91.0,23.0,13.0,60.0,80.0,9.0,17.0,29.0,36.0,53.0,58.0,104.0,10.0,34.0,56.0,154.0,14.0,37.0,47.0,41.0,39.0,59.0,105.0
3920,3.0,2.0,16.0,44.0,99.0,20.0,5.0,56.0,9.0,123.0,125.0,1.0,144.0,121.0,0.0,8.0,120.0,6.0,117.0,35.0,7.0,27.0,87.0,34.0,40.0,29.0,145.0,156.0,4.0,22.0
3969,0.0,1.0,30.0,12.0,45.0,5.0,3.0,6.0,23.0,50.0,51.0,33.0,13.0,15.0,8.0,29.0,117.0,20.0,56.0,28.0,37.0,9.0,24.0,66.0,43.0,18.0,120.0,16.0,21.0,36.0
4018,7.0,2.0,87.0,17.0,8.0,12.0,18.0,61.0,0.0,34.0,52.0,1.0,118.0,20.0,3.0,38.0,46.0,6.0,119.0,43.0,79.0,96.0,64.0,35.0,58.0,42.0,16.0,95.0,26.0,45.0
4067,3.0,8.0,2.0,36.0,9.0,95.0,5.0,106.0,0.0,108.0,88.0,1.0,52.0,24.0,4.0,48.0,83.0,21.0,42.0,30.0,7.0,131.0,74.0,41.0,107.0,20.0,86.0,33.0,13.0,53.0
4116,10.0,7.0,26.0,59.0,66.0,89.0,3.0,30.0,0.0,83.0,132.0,22.0,67.0,13.0,2.0,43.0,52.0,19.0,45.0,20.0,9.0,15.0,48.0,34.0,29.0,78.0,63.0,117.0,12.0,94.0
4165,7.0,2.0,3.0,25.0,10.0,26.0,8.0,71.0,16.0,156.0,22.0,0.0,62.0,49.0,1.0,65.0,41.0,29.0,24.0,78.0,50.0,51.0,12.0,28.0,67.0,75.0,36.0,115.0,47.0,70.0
4214,6.0,4.0,7.0,31.0,83.0,12.0,0.0,17.0,1.0,63.0,78.0,3.0,13.0,14.0,30.0,143.0,151.0,43.0,24.0,32.0,26.0,9.0,2.0,28.0,50.0,60.0,44.0,8.0,41.0,18.0
4263,3.0,0.0,23.0,4.0,37.0,40.0,1.0,45.0,10.0,42.0,27.0,16.0,85.0,9.0,5.0,39.0,113.0,20.0,6.0,43.0,58.0,2.0,11.0,18.0,50.0,7.0,22.0,17.0,29.0,106.0
4312,25.0,5.0,8.0,12.0,114.0,19.0,1.0,53.0,90.0,138.0,70.0,4.0,47.0,40.0,0.0,94.0,52.0,9.0,16.0,17.0,142.0,2.0,10.0,58.0,15.0,21.0,50.0,73.0,82.0,88.0
4361,0.0,6.0,32.0,3.0,114.0,31.0,2.0,38.0,4.0,99.0,74.0,1.0,27.0,29.0,21.0,17.0,26.0,70.0,8.0,23.0,36.0,45.0,5.0,48.0,10.0,19.0,33.0,163.0,104.0,109.0
4410,2.0,0.0,4.0,9.0,42.0,6.0,28.0,20.0,24.0,5.0,25.0,8.0,11.0,91.0,3.0,22.0,1.0,26.0,109.0,15.0,35.0,10.0,23.0,96.0,58.0,34.0,144.0,83.0,7.0,47.0
4459,0.0,3.0,5.0,9.0,4.0,8.0,1.0,24.0,6.0,7.0,106.0,36.0,33.0,12.0,14.0,40.0,2.0,10.0,30.0,52.0,71.0,28.0,75.0,41.0,132.0,68.0,79.0,22.0,44.0,56.0
4508,0.0,8.0,19.0,10.0,7.0,32.0,9.0,5.0,31.0,1.0,22.0,46.0,35.0,4.0,81.0,57.0,2.0,68.0,36.0,13.0,87.0,6.0,61.0,147.0,66.0,84.0,49.0,134.0,51.0,82.0
4557,2.0,0.0,3.0,6.0,7.0,11.0,5.0,27.0,56.0,1.0,161.0,77.0,23.0,9.0,8.0,116.0,13.0,38.0,74.0,44.0,16.0,94.0,137.0,36.0,84.0,93.0,40.0,57.0,58.0,102.0
4606,0.0,1.0,3.0,5.0,34.0,14.0,6.0,25.0,38.0,2.0,20.0,26.0,15.0,13.0,28.0,132.0,18.0,69.0,4.0,27.0,45.0,42.0,92.0,66.0,160.0,79.0,16.0,74.0,108.0,95.0
4655,1.0,2.0,0.0,11.0,3.0,36.0,15.0,51.0,19.0,10.0,42.0,18.0,13.0,6.0,9.0,58.0,7.0,24.0,48.0,54.0,88.0,67.0,79.0,59.0,151.0,110.0,75.0,65.0,41.0,86.0
4704,0.0,2.0,7.0,12.0,26.0,20.0,16.0,25.0,5.0,9.0,22.0,121.0,19.0,8.0,1.0,23.0,14.0,6.0,115.0,4.0,98.0,10.0,101.0,134.0,159.0,11.0,43.0,21.0,29.0,124.0
4753,0.0,5.0,2.0,65.0,6.0,10.0,7.0,14.0,11.0,1.0,48.0,45.0,4.0,9.0,52.0,8.0,3.0,25.0,28.0,19.0,94.0,27.0,46.0,92.0,102.0,21.0,18.0,12.0,101.0,87.0
4802,0.0,1.0,5.0,4.0,23.0,37.0,11.0,24.0,8.0,7.0,45.0,33.0,13.0,2.0,10.0,20.0,3.0,17.0,26.0,93.0,76.0,41.0,35.0,51.0,75.0,36.0,78.0,15.0,12.0,98.0
4851,0.0,6.0,1.0,10.0,50.0,24.0,2.0,15.0,5.0,3.0,9.0,109.0,17.0,22.0,33.0,32.0,8.0,21.0,62.0,28.0,118.0,11.0,101.0,81.0,93.0,14.0,89.0,20.0,7.0,123.0
