,MIR3167_DEL,LOC284395_AMP,CHD1_MUT,RYR3_DEL,TSHZ3_AMP,DDX25_DEL,LINC00202_DEL,DDX12P_DEL,HLA-DQB1_AMP,LOC100873065_DEL,UPK3B_AMP,DLG2_AMP,UBE2Q2P3_AMP,POU4F1-AS1_DEL,TYW1_AMP,FFAR3_DEL,PTPRN2_AMP,BMPR2_AMP,FOCAD_DEL,DLGAP1_DEL,BRAF_MUT,FAM35B_DEL,PARG_AMP,RBM33_AMP,LINC00226_AMP,LAMA1_MUT,LINC00665_AMP,LRP5L_DEL,DST_MUT,LOC348120_AMP
3316,18.0,16.0,16143.0,23.0,9.0,246.0,5.0,55.0,62.0,112.0,19203.0,39.0,52.0,19.0,126.0,50.0,47.0,59.0,57.0,132.0,16567.0,79.0,30.0,17150.0,136.0,15893.0,15796.0,142.0,78.0,119.0
3365,20966.0,11.0,16143.0,63.0,21668.0,4.0,28.0,25.0,47.0,46.0,19199.0,113.0,57.0,37.0,160.0,405.0,48.0,133.0,9167.0,84.0,71.0,68.0,13.0,17149.0,159.0,96.0,15795.0,54.0,16569.0,102.0
3414,0.0,13.0,16140.0,106.0,21669.0,23.0,90.0,2324.0,21.0,58.0,19194.0,13230.0,55.0,60.0,113.0,146.0,132.0,23873.0,9163.0,7615.0,16573.0,64.0,19254.0,17145.0,123.0,15890.0,31.0,125.0,111.0,72.0
3463,20985.0,7.0,16142.0,20.0,48.0,290.0,16.0,2.0,55.0,121.0,19200.0,51.0,57.0,39.0,188.0,480.0,29.0,86.0,31.0,34.0,83.0,176.0,64.0,214.0,165.0,59.0,15796.0,58.0,16573.0,15067.0
3512,20946.0,46.0,56.0,8.0,100.0,5.0,75.0,59.0,23.0,45.0,145.0,74.0,122.0,170.0,63.0,105.0,21637.0,48.0,148.0,68.0,1.0,191.0,134.0,79.0,92.0,15923.0,15831.0,114.0,94.0,120.0
3561,20948.0,2.0,7.0,20.0,0.0,42.0,2957.0,3.0,77.0,146.0,118.0,83.0,15435.0,84.0,154.0,477.0,67.0,15.0,49.0,80.0,58.0,145.0,25.0,173.0,116.0,62.0,14.0,121.0,16576.0,79.0
3610,20951.0,22.0,20.0,11.0,21660.0,8.0,2964.0,0.0,71.0,10.0,19.0,79.0,98.0,38.0,48.0,119.0,21640.0,81.0,70.0,9.0,82.0,1734.0,34.0,130.0,125.0,15924.0,131.0,43.0,16580.0,142.0
3659,20966.0,12678.0,9.0,63.0,41.0,20.0,115.0,15.0,72.0,19773.0,19180.0,76.0,162.0,34.0,80.0,169.0,55.0,23928.0,75.0,86.0,99.0,178.0,108.0,56.0,127.0,158.0,7.0,73.0,16575.0,15069.0
3708,20966.0,12678.0,2.0,15.0,87.0,21.0,2953.0,8.0,57.0,83.0,11.0,34.0,106.0,20258.0,48.0,128.0,21635.0,95.0,33.0,31.0,77.0,123.0,73.0,113.0,102.0,79.0,14.0,10.0,88.0,15070.0
3757,20966.0,13.0,11.0,11866.0,14.0,8.0,33.0,1.0,36.0,152.0,45.0,48.0,15309.0,80.0,169.0,77.0,21637.0,49.0,138.0,74.0,29.0,90.0,32.0,135.0,123.0,15944.0,15794.0,7903.0,144.0,15067.0
3806,20966.0,90.0,6.0,57.0,11.0,309.0,35.0,2336.0,109.0,60.0,19184.0,37.0,89.0,20005.0,52.0,128.0,58.0,173.0,101.0,47.0,64.0,1735.0,20.0,76.0,104.0,166.0,2.0,110.0,172.0,192.0
3855,20945.0,12672.0,16144.0,9.0,0.0,299.0,2954.0,2330.0,37.0,52.0,19202.0,13244.0,64.0,59.0,173.0,191.0,21635.0,57.0,65.0,54.0,32.0,1723.0,51.0,106.0,110.0,80.0,15795.0,7904.0,82.0,15062.0
3904,20967.0,12676.0,5.0,10.0,21656.0,278.0,17.0,8.0,57.0,144.0,19201.0,55.0,15311.0,73.0,154.0,53.0,21636.0,23926.0,65.0,42.0,44.0,117.0,16.0,141.0,134.0,183.0,23.0,48.0,171.0,15068.0
3953,20965.0,10.0,14.0,56.0,33.0,270.0,37.0,30.0,36.0,73.0,23.0,93.0,15184.0,20255.0,91.0,85.0,21625.0,154.0,55.0,3.0,16575.0,118.0,19261.0,98.0,181.0,132.0,15790.0,80.0,104.0,145.0
4002,0.0,12675.0,49.0,22.0,54.0,35.0,38.0,50.0,32.0,84.0,12.0,58.0,15309.0,129.0,80.0,111.0,143.0,23929.0,9173.0,53.0,45.0,104.0,19265.0,130.0,62.0,15918.0,4.0,79.0,196.0,132.0
4051,13.0,12669.0,27.0,14.0,21668.0,223.0,57.0,2329.0,40.0,136.0,131.0,29.0,112.0,99.0,62.0,455.0,46.0,85.0,125.0,7616.0,16562.0,24.0,19257.0,52.0,119.0,42.0,15792.0,95.0,45.0,15056.0
4100,0.0,18.0,16142.0,11862.0,21650.0,70.0,80.0,68.0,48.0,93.0,11.0,13228.0,133.0,59.0,78.0,164.0,67.0,116.0,84.0,7620.0,16566.0,86.0,19264.0,49.0,184.0,15918.0,10.0,7907.0,134.0,82.0
4149,17.0,5.0,1.0,103.0,21658.0,33.0,34.0,3.0,56.0,112.0,19180.0,70.0,15262.0,20003.0,140.0,101.0,109.0,23931.0,9175.0,55.0,123.0,83.0,19269.0,75.0,82.0,15919.0,93.0,7908.0,173.0,115.0
4198,0.0,7.0,1.0,5.0,21649.0,264.0,52.0,2328.0,89.0,50.0,19197.0,13237.0,142.0,123.0,120.0,62.0,42.0,23934.0,127.0,7621.0,16570.0,186.0,19260.0,57.0,155.0,144.0,21.0,88.0,76.0,128.0
4247,20964.0,112.0,16143.0,9.0,13.0,244.0,12.0,14.0,31.0,79.0,41.0,13238.0,44.0,87.0,34.0,92.0,53.0,63.0,27.0,8.0,16568.0,126.0,19266.0,198.0,90.0,39.0,6.0,86.0,49.0,168.0
4296,20965.0,12663.0,7.0,11864.0,0.0,259.0,9.0,72.0,20.0,59.0,19196.0,13226.0,31.0,20253.0,19.0,62.0,102.0,23900.0,33.0,7614.0,93.0,134.0,19256.0,17141.0,63.0,71.0,38.0,7903.0,16566.0,15058.0
4345,20965.0,3.0,5.0,9.0,21651.0,271.0,49.0,34.0,54.0,76.0,19201.0,74.0,130.0,20255.0,90.0,60.0,97.0,170.0,9169.0,10.0,96.0,215.0,19263.0,50.0,113.0,30.0,12.0,118.0,207.0,143.0
4394,20944.0,12657.0,2.0,52.0,21655.0,267.0,44.0,21.0,34.0,17.0,6.0,93.0,98.0,20258.0,139.0,137.0,33.0,23930.0,32.0,7620.0,83.0,1733.0,19269.0,85.0,116.0,86.0,24.0,7909.0,43.0,161.0
4443,20965.0,15.0,16143.0,33.0,39.0,300.0,30.0,2332.0,14383.0,19776.0,182.0,104.0,15310.0,20259.0,48.0,478.0,21635.0,125.0,130.0,7620.0,59.0,115.0,157.0,17150.0,159.0,99.0,15796.0,7909.0,143.0,96.0
4492,20944.0,0.0,16152.0,15.0,21.0,286.0,53.0,27.0,85.0,19773.0,69.0,78.0,15429.0,20256.0,54.0,140.0,158.0,95.0,75.0,153.0,55.0,1723.0,91.0,17149.0,157.0,64.0,52.0,159.0,67.0,79.0
4541,20982.0,3.0,16139.0,6.0,0.0,26.0,99.0,2315.0,89.0,19787.0,53.0,125.0,69.0,20251.0,21320.0,55.0,44.0,4.0,131.0,7615.0,30.0,124.0,19261.0,17141.0,183.0,71.0,15787.0,46.0,95.0,75.0
4590,20964.0,24.0,16144.0,37.0,13.0,273.0,94.0,19.0,57.0,149.0,117.0,156.0,15312.0,20259.0,21330.0,132.0,21635.0,87.0,227.0,7625.0,16576.0,107.0,19268.0,17154.0,175.0,138.0,15797.0,134.0,158.0,58.0
4639,1.0,0.0,5.0,20.0,21.0,26.0,2949.0,2324.0,29.0,80.0,97.0,13235.0,161.0,20255.0,21327.0,145.0,13.0,53.0,83.0,7618.0,84.0,120.0,19263.0,199.0,62.0,124.0,42.0,7906.0,88.0,200.0
4688,20967.0,12678.0,16145.0,24.0,5.0,258.0,38.0,17.0,130.0,95.0,44.0,121.0,15434.0,149.0,22.0,369.0,70.0,23873.0,86.0,7620.0,155.0,1734.0,75.0,17154.0,103.0,64.0,15801.0,41.0,102.0,181.0
4737,8.0,1.0,55.0,9.0,41.0,296.0,95.0,4.0,68.0,176.0,25.0,93.0,125.0,20258.0,191.0,79.0,80.0,23930.0,205.0,119.0,16555.0,27.0,88.0,17154.0,149.0,104.0,15814.0,7908.0,91.0,82.0
4786,20944.0,12677.0,4.0,10.0,12.0,76.0,3024.0,3.0,27.0,53.0,70.0,24.0,94.0,20257.0,71.0,59.0,123.0,44.0,114.0,7622.0,29.0,1721.0,83.0,17154.0,158.0,74.0,15813.0,7910.0,96.0,109.0
4835,20948.0,10.0,13.0,17.0,104.0,14.0,51.0,2333.0,32.0,19779.0,19162.0,67.0,15432.0,20003.0,87.0,45.0,156.0,23935.0,9178.0,7620.0,82.0,1754.0,38.0,17152.0,160.0,83.0,80.0,7908.0,174.0,86.0
4884,1.0,12675.0,16142.0,11.0,9.0,16.0,68.0,2335.0,121.0,47.0,75.0,94.0,110.0,88.0,21331.0,100.0,21644.0,112.0,9174.0,15.0,41.0,1734.0,130.0,17154.0,162.0,97.0,15794.0,7910.0,166.0,154.0
