,hsa-miR-425,hsa-let-7e,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-1257,hsa-miR-149,hsa-miR-155,hsa-miR-518c,hsa-miR-218,hsa-miR-106b,hcmv-miR-US33-3p,hsa-miR-330-3p,hsa-miR-302a,hsa-miR-642,hsa-miR-1977,hsa-miR-630,hsa-miR-302b,hsa-miR-769-5p,hsa-miR-297,hsa-miR-101,hsa-miR-320d,hsa-miR-10b,hsa-miR-24,hsa-miR-551a,hsa-miR-1469,hsa-miR-578,hsa-miR-128,hsa-miR-944,hsa-miR-147b,hsa-miR-323-3p
504,18.0,1.0,216.0,2.0,21.0,4.0,5.0,258.0,27.0,3.0,95.0,115.0,37.0,24.0,245.0,11.0,233.0,0.0,241.0,35.0,50.0,17.0,22.0,584.0,15.0,87.0,28.0,34.0,315.0,78.0
553,0.0,7.0,5.0,91.0,21.0,11.0,8.0,1.0,25.0,31.0,203.0,37.0,12.0,6.0,333.0,40.0,3.0,2.0,9.0,17.0,330.0,262.0,63.0,607.0,393.0,160.0,4.0,81.0,23.0,22.0
602,9.0,0.0,31.0,167.0,1.0,6.0,13.0,10.0,7.0,340.0,5.0,2.0,14.0,39.0,188.0,29.0,88.0,4.0,82.0,18.0,218.0,12.0,65.0,410.0,32.0,64.0,16.0,203.0,17.0,157.0
651,7.0,0.0,11.0,23.0,19.0,5.0,78.0,1.0,116.0,4.0,14.0,32.0,22.0,51.0,25.0,53.0,79.0,6.0,83.0,2.0,552.0,242.0,15.0,534.0,35.0,12.0,10.0,17.0,67.0,150.0
700,3.0,0.0,34.0,20.0,6.0,15.0,19.0,21.0,18.0,2.0,8.0,13.0,11.0,287.0,39.0,29.0,311.0,75.0,81.0,1.0,334.0,91.0,4.0,409.0,7.0,385.0,489.0,133.0,274.0,52.0
749,10.0,0.0,5.0,9.0,7.0,12.0,24.0,18.0,1.0,8.0,52.0,63.0,11.0,41.0,3.0,70.0,44.0,27.0,354.0,21.0,53.0,61.0,108.0,66.0,117.0,115.0,16.0,110.0,140.0,283.0
798,1.0,0.0,64.0,23.0,8.0,22.0,38.0,12.0,79.0,5.0,51.0,2.0,45.0,10.0,69.0,422.0,39.0,6.0,20.0,3.0,288.0,62.0,25.0,371.0,56.0,35.0,124.0,74.0,37.0,296.0
847,3.0,0.0,2.0,53.0,9.0,11.0,4.0,93.0,28.0,1.0,17.0,37.0,125.0,134.0,318.0,157.0,10.0,18.0,36.0,24.0,276.0,98.0,20.0,173.0,23.0,71.0,88.0,5.0,26.0,128.0
896,2.0,0.0,13.0,37.0,6.0,16.0,12.0,9.0,22.0,43.0,8.0,119.0,5.0,52.0,246.0,529.0,1.0,41.0,11.0,66.0,49.0,28.0,572.0,212.0,45.0,459.0,188.0,111.0,33.0,254.0
945,107.0,0.0,84.0,73.0,82.0,1.0,5.0,109.0,11.0,12.0,88.0,7.0,2.0,40.0,13.0,100.0,37.0,9.0,55.0,6.0,376.0,3.0,158.0,163.0,67.0,89.0,77.0,104.0,119.0,81.0
994,6.0,11.0,9.0,0.0,26.0,37.0,158.0,30.0,16.0,33.0,4.0,275.0,8.0,70.0,51.0,39.0,485.0,64.0,1.0,3.0,104.0,38.0,2.0,7.0,351.0,424.0,28.0,355.0,282.0,182.0
1043,4.0,101.0,1.0,2.0,169.0,128.0,106.0,39.0,183.0,21.0,22.0,0.0,9.0,28.0,42.0,31.0,14.0,73.0,5.0,29.0,462.0,12.0,83.0,15.0,303.0,375.0,77.0,273.0,53.0,84.0
1092,6.0,22.0,2.0,29.0,8.0,34.0,459.0,13.0,37.0,0.0,16.0,53.0,68.0,170.0,161.0,20.0,31.0,5.0,39.0,1.0,69.0,603.0,80.0,47.0,374.0,201.0,11.0,191.0,162.0,105.0
1141,12.0,579.0,13.0,51.0,1.0,8.0,2.0,54.0,156.0,5.0,214.0,27.0,6.0,212.0,26.0,34.0,140.0,43.0,0.0,44.0,20.0,593.0,84.0,98.0,150.0,259.0,77.0,228.0,378.0,389.0
1190,3.0,318.0,0.0,53.0,79.0,2.0,74.0,132.0,117.0,14.0,1.0,151.0,60.0,44.0,4.0,213.0,15.0,32.0,6.0,57.0,8.0,478.0,65.0,139.0,52.0,104.0,529.0,153.0,59.0,273.0
1239,4.0,66.0,3.0,10.0,0.0,15.0,27.0,8.0,205.0,6.0,557.0,51.0,186.0,2.0,9.0,28.0,201.0,7.0,96.0,13.0,26.0,168.0,39.0,29.0,536.0,56.0,44.0,361.0,249.0,23.0
1288,19.0,22.0,163.0,3.0,4.0,1.0,309.0,34.0,170.0,8.0,0.0,248.0,21.0,206.0,7.0,406.0,251.0,36.0,51.0,522.0,16.0,65.0,2.0,61.0,73.0,47.0,18.0,69.0,20.0,274.0
1337,1.0,43.0,69.0,27.0,376.0,0.0,100.0,22.0,9.0,5.0,4.0,259.0,79.0,161.0,20.0,146.0,151.0,18.0,66.0,81.0,14.0,29.0,11.0,8.0,373.0,26.0,83.0,198.0,88.0,214.0
1386,1.0,18.0,52.0,16.0,17.0,11.0,146.0,46.0,381.0,0.0,21.0,73.0,8.0,221.0,28.0,36.0,120.0,35.0,32.0,296.0,6.0,254.0,628.0,108.0,429.0,150.0,2.0,14.0,139.0,43.0
1435,0.0,5.0,38.0,1.0,2.0,24.0,346.0,8.0,28.0,23.0,54.0,221.0,4.0,183.0,6.0,196.0,96.0,202.0,44.0,236.0,63.0,349.0,17.0,59.0,191.0,50.0,46.0,142.0,186.0,479.0
1484,13.0,11.0,6.0,0.0,12.0,64.0,337.0,1.0,22.0,164.0,42.0,173.0,55.0,14.0,57.0,16.0,578.0,47.0,108.0,20.0,24.0,10.0,52.0,31.0,322.0,209.0,261.0,58.0,277.0,9.0
1533,0.0,45.0,15.0,3.0,11.0,36.0,226.0,6.0,5.0,235.0,433.0,176.0,23.0,19.0,47.0,43.0,26.0,7.0,61.0,74.0,53.0,27.0,38.0,13.0,185.0,429.0,547.0,14.0,10.0,1.0
1582,0.0,72.0,75.0,67.0,127.0,464.0,153.0,10.0,23.0,343.0,33.0,454.0,27.0,43.0,119.0,7.0,174.0,26.0,56.0,41.0,21.0,2.0,150.0,120.0,53.0,103.0,78.0,60.0,151.0,59.0
1631,0.0,2.0,6.0,31.0,14.0,564.0,162.0,1.0,50.0,15.0,12.0,24.0,46.0,10.0,178.0,45.0,254.0,25.0,122.0,17.0,32.0,174.0,425.0,173.0,51.0,428.0,26.0,566.0,280.0,11.0
1680,1.0,101.0,62.0,3.0,5.0,119.0,12.0,181.0,6.0,28.0,10.0,9.0,18.0,30.0,45.0,0.0,555.0,27.0,76.0,54.0,11.0,35.0,305.0,369.0,73.0,4.0,586.0,276.0,108.0,291.0
1729,0.0,112.0,2.0,20.0,22.0,363.0,1.0,56.0,5.0,87.0,331.0,406.0,79.0,78.0,23.0,52.0,66.0,15.0,73.0,425.0,21.0,116.0,47.0,36.0,150.0,202.0,458.0,417.0,67.0,4.0
1778,0.0,77.0,5.0,14.0,91.0,81.0,72.0,8.0,15.0,149.0,261.0,58.0,214.0,12.0,173.0,6.0,116.0,43.0,34.0,385.0,21.0,60.0,67.0,26.0,16.0,55.0,39.0,92.0,408.0,38.0
1827,0.0,18.0,5.0,6.0,47.0,74.0,65.0,25.0,37.0,30.0,103.0,370.0,51.0,21.0,1.0,10.0,239.0,27.0,8.0,407.0,142.0,134.0,297.0,228.0,12.0,40.0,280.0,48.0,408.0,86.0
1876,0.0,12.0,4.0,9.0,324.0,51.0,5.0,8.0,13.0,42.0,199.0,17.0,143.0,616.0,102.0,150.0,40.0,556.0,6.0,43.0,21.0,177.0,14.0,593.0,268.0,37.0,443.0,2.0,103.0,252.0
1925,12.0,48.0,53.0,0.0,63.0,50.0,22.0,17.0,4.0,16.0,26.0,35.0,473.0,155.0,299.0,1.0,31.0,258.0,5.0,194.0,69.0,46.0,2.0,274.0,160.0,3.0,94.0,91.0,10.0,404.0
1974,28.0,0.0,7.0,19.0,72.0,131.0,53.0,9.0,92.0,16.0,1.0,38.0,45.0,20.0,12.0,49.0,159.0,75.0,156.0,22.0,33.0,18.0,14.0,405.0,37.0,6.0,3.0,350.0,139.0,56.0
2023,47.0,2.0,90.0,0.0,36.0,15.0,43.0,4.0,21.0,513.0,165.0,9.0,11.0,41.0,190.0,134.0,5.0,27.0,83.0,35.0,213.0,12.0,6.0,136.0,18.0,111.0,72.0,222.0,61.0,279.0
2072,3.0,6.0,92.0,59.0,7.0,30.0,26.0,37.0,167.0,183.0,316.0,1.0,139.0,109.0,161.0,18.0,19.0,62.0,5.0,560.0,43.0,9.0,119.0,357.0,402.0,35.0,38.0,362.0,77.0,320.0
2121,2.0,135.0,13.0,9.0,43.0,177.0,96.0,6.0,4.0,32.0,296.0,52.0,60.0,206.0,133.0,29.0,219.0,203.0,1.0,392.0,434.0,10.0,12.0,105.0,371.0,364.0,24.0,454.0,217.0,7.0
2170,36.0,2.0,48.0,105.0,34.0,314.0,24.0,1.0,154.0,539.0,14.0,587.0,47.0,41.0,43.0,49.0,9.0,425.0,51.0,391.0,140.0,10.0,11.0,263.0,63.0,7.0,185.0,5.0,23.0,4.0
2219,8.0,6.0,4.0,54.0,11.0,369.0,9.0,7.0,1.0,30.0,25.0,402.0,31.0,207.0,120.0,49.0,26.0,16.0,3.0,200.0,245.0,125.0,64.0,44.0,10.0,20.0,111.0,28.0,88.0,107.0
2268,39.0,86.0,3.0,76.0,6.0,173.0,55.0,25.0,14.0,121.0,64.0,15.0,35.0,57.0,63.0,22.0,189.0,475.0,93.0,54.0,165.0,82.0,397.0,9.0,271.0,453.0,134.0,8.0,20.0,87.0
2317,1.0,8.0,190.0,5.0,194.0,84.0,3.0,6.0,10.0,263.0,2.0,4.0,36.0,47.0,34.0,26.0,46.0,21.0,14.0,289.0,249.0,12.0,22.0,326.0,418.0,231.0,425.0,452.0,174.0,17.0
2366,26.0,6.0,8.0,1.0,46.0,55.0,9.0,4.0,161.0,170.0,12.0,72.0,49.0,29.0,45.0,2.0,5.0,250.0,21.0,43.0,53.0,14.0,22.0,19.0,166.0,40.0,164.0,13.0,97.0,11.0
2415,1.0,326.0,537.0,43.0,154.0,22.0,2.0,33.0,18.0,84.0,39.0,46.0,208.0,7.0,41.0,3.0,0.0,70.0,12.0,310.0,52.0,19.0,23.0,82.0,451.0,72.0,142.0,60.0,281.0,9.0
2464,5.0,52.0,14.0,11.0,58.0,59.0,21.0,28.0,196.0,1.0,23.0,121.0,25.0,20.0,286.0,241.0,10.0,62.0,13.0,0.0,35.0,38.0,9.0,46.0,71.0,27.0,3.0,183.0,31.0,118.0
2513,6.0,9.0,129.0,0.0,3.0,23.0,4.0,25.0,10.0,8.0,15.0,103.0,7.0,54.0,112.0,205.0,343.0,51.0,133.0,91.0,43.0,26.0,19.0,55.0,42.0,57.0,2.0,59.0,60.0,174.0
2562,10.0,7.0,27.0,2.0,264.0,4.0,40.0,11.0,103.0,1.0,98.0,33.0,18.0,214.0,64.0,444.0,26.0,67.0,57.0,196.0,15.0,9.0,87.0,20.0,35.0,153.0,3.0,39.0,248.0,370.0
2611,2.0,6.0,32.0,0.0,372.0,5.0,4.0,26.0,449.0,3.0,133.0,346.0,1.0,22.0,174.0,17.0,31.0,198.0,266.0,40.0,52.0,15.0,120.0,7.0,8.0,44.0,176.0,151.0,101.0,87.0
2660,0.0,7.0,5.0,1.0,8.0,10.0,20.0,25.0,14.0,3.0,96.0,67.0,13.0,16.0,33.0,366.0,32.0,563.0,6.0,71.0,112.0,36.0,18.0,2.0,81.0,406.0,40.0,480.0,63.0,117.0
2709,9.0,0.0,317.0,1.0,18.0,60.0,14.0,93.0,139.0,6.0,3.0,103.0,69.0,5.0,375.0,119.0,41.0,256.0,132.0,200.0,212.0,52.0,77.0,15.0,174.0,8.0,64.0,42.0,13.0,137.0
2758,1.0,2.0,10.0,8.0,27.0,26.0,6.0,531.0,13.0,0.0,70.0,88.0,110.0,5.0,348.0,45.0,136.0,397.0,107.0,64.0,234.0,52.0,33.0,22.0,48.0,37.0,3.0,9.0,106.0,23.0
2807,16.0,17.0,0.0,21.0,3.0,47.0,24.0,9.0,8.0,2.0,20.0,7.0,51.0,243.0,348.0,351.0,315.0,171.0,41.0,45.0,6.0,73.0,326.0,74.0,566.0,1.0,84.0,82.0,11.0,38.0
2856,31.0,14.0,103.0,2.0,5.0,3.0,7.0,16.0,12.0,0.0,97.0,503.0,32.0,86.0,44.0,307.0,20.0,56.0,19.0,27.0,261.0,120.0,8.0,1.0,35.0,6.0,468.0,30.0,29.0,451.0
2905,52.0,0.0,3.0,5.0,8.0,15.0,161.0,28.0,26.0,33.0,22.0,18.0,66.0,11.0,21.0,16.0,37.0,132.0,273.0,93.0,2.0,17.0,290.0,4.0,12.0,283.0,74.0,46.0,316.0,80.0
2954,4.0,60.0,15.0,8.0,93.0,0.0,86.0,9.0,246.0,10.0,56.0,254.0,3.0,240.0,13.0,65.0,459.0,400.0,109.0,25.0,14.0,102.0,24.0,40.0,80.0,85.0,113.0,1.0,475.0,5.0
3003,13.0,0.0,233.0,9.0,11.0,5.0,8.0,1.0,80.0,7.0,129.0,14.0,46.0,108.0,42.0,23.0,39.0,62.0,164.0,363.0,114.0,258.0,143.0,594.0,2.0,33.0,130.0,153.0,98.0,35.0
3052,9.0,7.0,57.0,1.0,320.0,0.0,6.0,13.0,201.0,27.0,587.0,8.0,2.0,63.0,33.0,74.0,550.0,20.0,273.0,30.0,166.0,147.0,572.0,335.0,238.0,132.0,21.0,137.0,19.0,38.0
3101,1.0,4.0,33.0,2.0,14.0,26.0,0.0,149.0,277.0,9.0,405.0,186.0,288.0,45.0,21.0,53.0,6.0,67.0,8.0,97.0,56.0,629.0,282.0,11.0,245.0,77.0,108.0,7.0,117.0,23.0
3150,1.0,62.0,15.0,0.0,93.0,18.0,57.0,105.0,377.0,45.0,250.0,17.0,22.0,3.0,24.0,65.0,446.0,90.0,587.0,40.0,27.0,160.0,231.0,7.0,254.0,25.0,123.0,9.0,4.0,26.0
3199,3.0,51.0,1.0,0.0,241.0,11.0,20.0,16.0,191.0,22.0,160.0,42.0,12.0,59.0,6.0,118.0,45.0,75.0,53.0,15.0,127.0,530.0,70.0,409.0,23.0,63.0,510.0,197.0,130.0,80.0
3248,6.0,14.0,43.0,2.0,9.0,241.0,21.0,123.0,489.0,99.0,111.0,117.0,79.0,365.0,5.0,33.0,119.0,11.0,66.0,13.0,8.0,245.0,124.0,274.0,183.0,54.0,38.0,105.0,92.0,10.0
3297,8.0,4.0,29.0,12.0,6.0,72.0,0.0,63.0,423.0,61.0,59.0,38.0,62.0,16.0,44.0,15.0,56.0,209.0,30.0,1.0,619.0,242.0,9.0,299.0,17.0,305.0,105.0,2.0,77.0,216.0
3346,0.0,1.0,9.0,39.0,17.0,4.0,16.0,141.0,20.0,114.0,93.0,186.0,227.0,22.0,60.0,19.0,30.0,127.0,48.0,47.0,284.0,106.0,23.0,88.0,64.0,54.0,470.0,37.0,46.0,43.0
3395,11.0,113.0,5.0,4.0,1.0,2.0,16.0,23.0,431.0,70.0,310.0,40.0,13.0,60.0,19.0,109.0,79.0,9.0,421.0,3.0,577.0,443.0,78.0,174.0,50.0,81.0,166.0,46.0,278.0,17.0
3444,84.0,0.0,10.0,82.0,29.0,5.0,467.0,47.0,103.0,182.0,19.0,107.0,1.0,30.0,45.0,33.0,164.0,4.0,27.0,581.0,3.0,8.0,64.0,207.0,71.0,277.0,52.0,18.0,25.0,17.0
3493,73.0,4.0,0.0,146.0,14.0,117.0,11.0,103.0,92.0,62.0,2.0,20.0,69.0,12.0,13.0,31.0,46.0,72.0,7.0,199.0,71.0,80.0,5.0,223.0,1.0,23.0,227.0,17.0,106.0,81.0
3542,7.0,0.0,6.0,15.0,8.0,13.0,113.0,56.0,12.0,87.0,116.0,132.0,60.0,59.0,4.0,105.0,29.0,3.0,37.0,49.0,78.0,424.0,20.0,195.0,10.0,110.0,156.0,34.0,2.0,35.0
3591,14.0,0.0,1.0,23.0,12.0,3.0,6.0,42.0,60.0,34.0,25.0,98.0,18.0,31.0,4.0,41.0,529.0,233.0,147.0,397.0,39.0,608.0,63.0,137.0,10.0,282.0,82.0,16.0,19.0,420.0
3640,2.0,1.0,0.0,6.0,109.0,21.0,231.0,39.0,77.0,3.0,35.0,9.0,15.0,129.0,16.0,10.0,55.0,4.0,391.0,593.0,61.0,208.0,193.0,66.0,18.0,38.0,7.0,62.0,80.0,265.0
3689,4.0,0.0,1.0,2.0,160.0,268.0,69.0,90.0,13.0,129.0,236.0,39.0,3.0,12.0,11.0,53.0,106.0,43.0,6.0,166.0,212.0,46.0,20.0,466.0,193.0,7.0,34.0,19.0,10.0,543.0
3738,5.0,0.0,1.0,2.0,391.0,13.0,79.0,25.0,98.0,10.0,31.0,9.0,28.0,3.0,8.0,65.0,12.0,18.0,4.0,57.0,196.0,500.0,37.0,69.0,58.0,342.0,24.0,346.0,34.0,38.0
3787,27.0,3.0,6.0,1.0,160.0,37.0,367.0,18.0,199.0,102.0,13.0,36.0,101.0,17.0,0.0,189.0,26.0,5.0,21.0,23.0,167.0,433.0,44.0,290.0,32.0,325.0,16.0,464.0,263.0,8.0
3836,6.0,0.0,35.0,11.0,5.0,136.0,42.0,1.0,4.0,131.0,78.0,21.0,102.0,145.0,17.0,9.0,7.0,10.0,23.0,12.0,51.0,417.0,20.0,93.0,154.0,34.0,100.0,273.0,171.0,37.0
3885,0.0,6.0,17.0,8.0,187.0,20.0,274.0,237.0,157.0,13.0,444.0,280.0,29.0,11.0,108.0,145.0,59.0,56.0,12.0,9.0,121.0,249.0,445.0,81.0,62.0,220.0,2.0,350.0,460.0,15.0
3934,2.0,0.0,277.0,331.0,5.0,32.0,8.0,257.0,31.0,345.0,14.0,33.0,311.0,7.0,255.0,99.0,335.0,23.0,578.0,321.0,6.0,21.0,193.0,16.0,11.0,30.0,12.0,382.0,218.0,206.0
3983,11.0,3.0,29.0,47.0,6.0,131.0,15.0,96.0,2.0,183.0,74.0,4.0,32.0,1.0,145.0,18.0,20.0,33.0,69.0,223.0,60.0,22.0,0.0,99.0,45.0,14.0,604.0,289.0,57.0,40.0
4032,18.0,1.0,12.0,4.0,3.0,60.0,116.0,64.0,20.0,92.0,25.0,0.0,67.0,7.0,129.0,31.0,35.0,22.0,14.0,61.0,150.0,13.0,2.0,39.0,362.0,10.0,40.0,283.0,53.0,128.0
4081,36.0,0.0,429.0,126.0,6.0,24.0,12.0,7.0,10.0,397.0,53.0,4.0,232.0,94.0,418.0,2.0,79.0,90.0,73.0,325.0,44.0,13.0,30.0,239.0,502.0,8.0,551.0,192.0,265.0,525.0
4130,9.0,1.0,32.0,3.0,121.0,27.0,52.0,225.0,53.0,160.0,4.0,55.0,37.0,10.0,41.0,0.0,17.0,194.0,36.0,216.0,109.0,2.0,16.0,38.0,273.0,29.0,86.0,61.0,125.0,304.0
4179,3.0,0.0,7.0,77.0,8.0,33.0,45.0,39.0,28.0,14.0,121.0,18.0,63.0,17.0,386.0,67.0,6.0,35.0,201.0,604.0,43.0,2.0,22.0,66.0,210.0,119.0,72.0,166.0,54.0,20.0
4228,49.0,0.0,19.0,15.0,92.0,4.0,30.0,12.0,13.0,108.0,48.0,2.0,236.0,17.0,260.0,34.0,33.0,57.0,111.0,107.0,368.0,21.0,29.0,147.0,39.0,87.0,79.0,114.0,64.0,274.0
4277,21.0,3.0,32.0,45.0,12.0,27.0,241.0,10.0,1.0,209.0,20.0,8.0,103.0,218.0,26.0,101.0,31.0,89.0,569.0,313.0,29.0,62.0,19.0,15.0,568.0,48.0,448.0,378.0,17.0,491.0
4326,10.0,0.0,1.0,200.0,3.0,7.0,295.0,250.0,4.0,416.0,484.0,8.0,187.0,6.0,443.0,287.0,509.0,208.0,550.0,195.0,18.0,57.0,14.0,122.0,106.0,178.0,74.0,16.0,476.0,78.0
4375,6.0,0.0,2.0,86.0,32.0,17.0,11.0,15.0,9.0,44.0,35.0,1.0,160.0,60.0,608.0,24.0,10.0,132.0,466.0,221.0,42.0,73.0,144.0,20.0,564.0,107.0,281.0,72.0,131.0,39.0
4424,1.0,35.0,51.0,5.0,0.0,82.0,412.0,60.0,27.0,2.0,61.0,12.0,47.0,72.0,170.0,16.0,19.0,68.0,227.0,3.0,239.0,33.0,214.0,15.0,70.0,191.0,109.0,10.0,48.0,211.0
4473,7.0,16.0,26.0,1.0,148.0,2.0,36.0,43.0,25.0,115.0,72.0,27.0,88.0,4.0,22.0,297.0,205.0,81.0,565.0,0.0,47.0,19.0,20.0,6.0,160.0,605.0,284.0,3.0,314.0,269.0
4522,8.0,14.0,9.0,26.0,69.0,5.0,25.0,55.0,0.0,85.0,1.0,18.0,11.0,83.0,6.0,53.0,223.0,29.0,89.0,39.0,4.0,23.0,68.0,10.0,70.0,15.0,64.0,3.0,132.0,585.0
4571,4.0,104.0,45.0,51.0,13.0,72.0,40.0,0.0,14.0,17.0,1.0,102.0,26.0,7.0,43.0,314.0,10.0,19.0,156.0,5.0,63.0,9.0,105.0,20.0,6.0,332.0,33.0,70.0,338.0,30.0
4620,0.0,17.0,240.0,21.0,5.0,33.0,11.0,57.0,3.0,8.0,1.0,42.0,6.0,40.0,2.0,118.0,82.0,48.0,27.0,43.0,61.0,14.0,71.0,96.0,148.0,359.0,123.0,4.0,483.0,117.0
4669,6.0,53.0,34.0,54.0,24.0,2.0,0.0,4.0,109.0,43.0,5.0,28.0,29.0,14.0,3.0,130.0,8.0,568.0,208.0,84.0,502.0,11.0,39.0,9.0,51.0,55.0,116.0,142.0,76.0,66.0
4718,6.0,28.0,31.0,9.0,7.0,22.0,0.0,11.0,39.0,119.0,92.0,16.0,43.0,20.0,2.0,169.0,36.0,145.0,213.0,3.0,63.0,283.0,108.0,12.0,42.0,312.0,34.0,81.0,14.0,10.0
4767,215.0,42.0,68.0,26.0,129.0,10.0,6.0,222.0,70.0,24.0,0.0,586.0,45.0,1.0,30.0,5.0,7.0,301.0,248.0,112.0,117.0,136.0,311.0,2.0,33.0,55.0,209.0,18.0,155.0,165.0
4816,2.0,19.0,12.0,49.0,3.0,0.0,39.0,51.0,4.0,80.0,11.0,73.0,26.0,6.0,5.0,387.0,28.0,81.0,253.0,15.0,52.0,17.0,177.0,10.0,450.0,90.0,211.0,24.0,44.0,92.0
4865,40.0,0.0,43.0,6.0,18.0,2.0,29.0,233.0,99.0,24.0,20.0,49.0,197.0,59.0,7.0,293.0,46.0,136.0,17.0,76.0,163.0,78.0,465.0,31.0,32.0,11.0,4.0,19.0,25.0,308.0
