,BRAF.V600E_MUT,BRAF_MUT,BRAF.MC_MUT,DIAPH2_DEL,OR51A2_AMP,FLT1_MUT,ESPNP_DEL,PLCL1_DEL,FZD1_MUT,DPP6_DEL,TTN_MUT,KGFLP2_DEL,SYT12_AMP,MGC21881_DEL,TBL1X_DEL,YY1AP1_AMP,RABGAP1L_AMP,GUCY1A2_MUT,MAD1L1_DEL,MIR4728_AMP,CYP4F12_DEL,OR4N4_DEL,IKZF3_AMP,NR2F2_DEL,PGAP3_AMP,MAML3_MUT,MIEN1_AMP,FAM86DP_DEL,PRH1-PRR4_DEL,RYR2_AMP
518,0.0,1.0,231.0,380.0,391.0,114.0,2.0,71.0,17017.0,176.0,719.0,52.0,368.0,4206.0,20.0,34.0,988.0,1871.0,9518.0,16329.0,8131.0,60.0,38.0,406.0,141.0,17070.0,386.0,4.0,840.0,41.0
567,0.0,1.0,2.0,16.0,1097.0,11.0,19.0,5.0,382.0,1451.0,36.0,11921.0,19292.0,1286.0,8001.0,9.0,709.0,51.0,9532.0,16339.0,301.0,2741.0,103.0,2569.0,19762.0,16967.0,707.0,197.0,20937.0,15.0
616,0.0,1.0,27.0,391.0,68.0,4.0,106.0,90.0,16994.0,29.0,2012.0,89.0,19535.0,467.0,462.0,2.0,190.0,16434.0,2060.0,1084.0,2194.0,2215.0,13525.0,471.0,1575.0,16937.0,1015.0,39.0,206.0,775.0
665,0.0,1.0,258.0,12.0,21.0,29.0,13.0,63.0,11.0,1234.0,17066.0,128.0,481.0,172.0,8023.0,91.0,959.0,403.0,9619.0,286.0,8208.0,806.0,195.0,84.0,19796.0,34.0,23159.0,878.0,20876.0,21887.0
714,0.0,1.0,2.0,4484.0,1463.0,15.0,558.0,104.0,83.0,99.0,6.0,64.0,19301.0,9.0,7987.0,13.0,52.0,580.0,826.0,59.0,97.0,85.0,13608.0,1080.0,996.0,16951.0,631.0,803.0,19.0,119.0
763,0.0,1.0,817.0,25.0,749.0,189.0,100.0,92.0,392.0,2674.0,16.0,1736.0,38.0,33.0,7945.0,739.0,1602.0,16413.0,1045.0,136.0,8117.0,6462.0,181.0,8002.0,841.0,6.0,1637.0,235.0,1782.0,2595.0
812,1.0,0.0,276.0,4514.0,27.0,359.0,6.0,96.0,113.0,224.0,2668.0,34.0,19303.0,512.0,187.0,13.0,1120.0,351.0,2105.0,16354.0,8159.0,6274.0,13624.0,68.0,644.0,550.0,23153.0,8003.0,20930.0,478.0
861,1.0,0.0,498.0,22.0,243.0,27.0,2.0,10338.0,24.0,11.0,412.0,11895.0,19785.0,3821.0,7972.0,424.0,104.0,51.0,1274.0,16212.0,8151.0,2442.0,404.0,2194.0,19887.0,38.0,23221.0,1179.0,410.0,137.0
910,6.0,0.0,7.0,4583.0,101.0,32.0,1.0,5.0,17000.0,463.0,332.0,2086.0,19771.0,2.0,7974.0,22591.0,78.0,1550.0,9565.0,35.0,1294.0,886.0,13591.0,7990.0,19849.0,172.0,144.0,7910.0,719.0,71.0
959,0.0,1.0,274.0,4511.0,15368.0,1700.0,7.0,374.0,16977.0,79.0,21.0,11820.0,19788.0,2266.0,7913.0,371.0,19650.0,137.0,9584.0,16297.0,8106.0,11.0,13509.0,296.0,246.0,584.0,23221.0,40.0,2576.0,21999.0
1008,1.0,0.0,6.0,4.0,1764.0,2.0,951.0,80.0,48.0,129.0,54.0,12076.0,22990.0,698.0,3.0,1224.0,36.0,321.0,739.0,7.0,12190.0,173.0,307.0,34.0,165.0,2026.0,665.0,1526.0,516.0,144.0
1057,0.0,1.0,16.0,939.0,194.0,3.0,374.0,612.0,109.0,2709.0,13.0,182.0,76.0,3759.0,64.0,22601.0,8.0,1246.0,800.0,16202.0,163.0,3644.0,13583.0,1333.0,19848.0,16464.0,1009.0,9752.0,497.0,33.0
1106,0.0,1.0,9016.0,3.0,380.0,10.0,13.0,335.0,2372.0,261.0,124.0,2719.0,9.0,4754.0,2.0,2453.0,432.0,250.0,1071.0,16289.0,1093.0,2452.0,13629.0,59.0,307.0,559.0,23231.0,27.0,20763.0,1462.0
1155,0.0,4.0,3.0,4586.0,153.0,5.0,39.0,101.0,2589.0,4599.0,62.0,8122.0,102.0,3386.0,285.0,22585.0,402.0,1738.0,322.0,16306.0,766.0,1133.0,13547.0,2043.0,19869.0,1.0,23216.0,306.0,20886.0,21929.0
1204,0.0,1.0,14.0,2.0,366.0,16609.0,5.0,10200.0,1560.0,87.0,104.0,199.0,80.0,4403.0,7943.0,1352.0,176.0,32.0,485.0,35.0,8124.0,242.0,249.0,1304.0,2022.0,1888.0,47.0,7880.0,337.0,21986.0
1253,1.0,0.0,71.0,965.0,506.0,110.0,559.0,140.0,52.0,167.0,2.0,11902.0,262.0,4424.0,178.0,121.0,2101.0,389.0,1175.0,142.0,168.0,6220.0,13613.0,1856.0,19755.0,3.0,57.0,8011.0,449.0,229.0
1302,1.0,0.0,208.0,320.0,2062.0,72.0,6260.0,50.0,30.0,1026.0,17.0,11.0,19763.0,222.0,1085.0,22597.0,1680.0,13.0,9613.0,16355.0,176.0,7.0,170.0,143.0,185.0,648.0,166.0,7939.0,51.0,1668.0
1351,1.0,0.0,9105.0,201.0,1043.0,9.0,679.0,148.0,15.0,2558.0,17067.0,245.0,648.0,3466.0,1379.0,22116.0,47.0,16453.0,813.0,16348.0,234.0,2732.0,1611.0,8095.0,444.0,61.0,1782.0,907.0,918.0,21993.0
1400,1.0,0.0,7.0,31.0,652.0,49.0,39.0,94.0,16981.0,420.0,24.0,2645.0,19284.0,4614.0,7996.0,433.0,372.0,110.0,1599.0,1119.0,8158.0,6979.0,188.0,1841.0,701.0,952.0,23119.0,212.0,642.0,2062.0
1449,1.0,0.0,2.0,4584.0,2247.0,52.0,79.0,10196.0,1468.0,197.0,1238.0,11846.0,19760.0,3599.0,1533.0,406.0,139.0,16407.0,43.0,778.0,118.0,2601.0,13599.0,724.0,19878.0,145.0,23110.0,27.0,20883.0,1467.0
1498,1.0,0.0,2.0,30.0,13587.0,1363.0,6553.0,624.0,792.0,2121.0,189.0,12372.0,23267.0,24.0,8480.0,355.0,19434.0,2376.0,1212.0,16801.0,11.0,114.0,2636.0,1626.0,1449.0,16.0,864.0,8503.0,51.0,1315.0
1547,2.0,0.0,4.0,7.0,81.0,22.0,6083.0,39.0,113.0,102.0,17079.0,168.0,221.0,66.0,536.0,3.0,78.0,16462.0,992.0,24.0,746.0,1103.0,409.0,596.0,2229.0,1.0,23159.0,269.0,703.0,1117.0
1596,2.0,1.0,0.0,48.0,2589.0,51.0,206.0,487.0,16992.0,14.0,353.0,8239.0,294.0,3.0,571.0,5.0,31.0,16416.0,761.0,16216.0,162.0,170.0,1934.0,57.0,19871.0,12.0,23098.0,47.0,7.0,22004.0
1645,1.0,0.0,69.0,83.0,100.0,2.0,226.0,602.0,28.0,904.0,217.0,962.0,19781.0,108.0,7927.0,3.0,564.0,810.0,1034.0,278.0,295.0,97.0,432.0,8033.0,14.0,145.0,23115.0,836.0,18.0,2727.0
1694,1.0,0.0,22.0,2.0,896.0,2171.0,34.0,1649.0,17032.0,5753.0,651.0,2195.0,19299.0,4614.0,7971.0,689.0,19697.0,16453.0,379.0,256.0,828.0,646.0,13577.0,8074.0,19754.0,73.0,2006.0,407.0,1185.0,21990.0
1743,4.0,0.0,10.0,3.0,781.0,16633.0,270.0,1279.0,17000.0,72.0,99.0,213.0,535.0,23.0,7976.0,2577.0,19664.0,195.0,1007.0,16318.0,38.0,2.0,13601.0,772.0,19858.0,53.0,23080.0,162.0,498.0,2253.0
1792,2.0,1.0,0.0,328.0,690.0,68.0,18.0,1899.0,514.0,3.0,617.0,336.0,19288.0,28.0,64.0,10.0,19681.0,16420.0,20.0,852.0,2127.0,165.0,4.0,345.0,19754.0,2234.0,512.0,941.0,20915.0,608.0
1841,2.0,0.0,1.0,3.0,15463.0,10.0,6294.0,885.0,16989.0,116.0,41.0,429.0,19285.0,669.0,166.0,40.0,617.0,557.0,65.0,157.0,1074.0,184.0,107.0,8020.0,19745.0,441.0,23150.0,7929.0,25.0,1321.0
1890,0.0,1.0,37.0,7.0,74.0,6.0,3640.0,10706.0,16982.0,18.0,2212.0,421.0,19776.0,60.0,475.0,1508.0,415.0,1744.0,9073.0,154.0,8468.0,123.0,80.0,114.0,19859.0,15.0,517.0,1089.0,20879.0,78.0
1939,0.0,1.0,4.0,215.0,26.0,16588.0,928.0,10587.0,340.0,950.0,108.0,8073.0,19762.0,2.0,9716.0,6.0,67.0,729.0,79.0,16165.0,8128.0,2513.0,962.0,9748.0,19796.0,20.0,421.0,29.0,20758.0,9.0
1988,1.0,3.0,6079.0,140.0,5.0,15.0,0.0,1181.0,127.0,2.0,334.0,285.0,19758.0,173.0,208.0,102.0,174.0,16424.0,976.0,16197.0,240.0,6.0,1019.0,2184.0,389.0,16939.0,454.0,10068.0,2656.0,186.0
2037,1.0,0.0,5685.0,9.0,68.0,31.0,18.0,55.0,3.0,613.0,12.0,11.0,7.0,328.0,8033.0,627.0,14.0,16415.0,1166.0,16297.0,203.0,2099.0,26.0,8069.0,180.0,16928.0,1077.0,881.0,1579.0,23.0
2086,1.0,0.0,6009.0,5.0,7.0,14.0,3.0,39.0,38.0,6.0,16981.0,2.0,142.0,484.0,770.0,22140.0,19648.0,573.0,833.0,16340.0,534.0,2902.0,362.0,77.0,175.0,16926.0,229.0,10248.0,2341.0,93.0
2135,0.0,1.0,11.0,328.0,2.0,4.0,15.0,8.0,37.0,10.0,415.0,43.0,289.0,12.0,174.0,687.0,64.0,32.0,2209.0,16317.0,8097.0,192.0,13596.0,250.0,645.0,205.0,628.0,7946.0,2647.0,254.0
2184,1.0,0.0,9023.0,5539.0,2.0,755.0,161.0,69.0,20.0,31.0,366.0,1897.0,104.0,1993.0,77.0,22592.0,5.0,16415.0,9442.0,16314.0,2170.0,431.0,13542.0,41.0,19846.0,16919.0,544.0,878.0,3.0,21938.0
2233,1.0,0.0,26.0,31.0,2.0,1151.0,42.0,18.0,34.0,4499.0,124.0,81.0,79.0,12.0,16.0,22558.0,562.0,16395.0,9569.0,16281.0,1198.0,138.0,61.0,52.0,482.0,16935.0,23243.0,7868.0,9.0,21939.0
2282,1.0,0.0,17.0,13.0,2.0,16612.0,4.0,60.0,84.0,126.0,55.0,9.0,695.0,214.0,3.0,22606.0,39.0,1769.0,129.0,16311.0,8120.0,6181.0,13536.0,1467.0,119.0,16453.0,704.0,7886.0,20859.0,33.0
2331,0.0,1.0,6.0,139.0,15.0,586.0,94.0,11.0,41.0,70.0,199.0,10.0,307.0,1520.0,7952.0,707.0,1218.0,631.0,895.0,16264.0,8127.0,213.0,13536.0,9.0,19848.0,23.0,23114.0,25.0,32.0,257.0
2380,3.0,0.0,7.0,1.0,2.0,72.0,9.0,596.0,4.0,235.0,457.0,657.0,19768.0,964.0,161.0,176.0,39.0,1308.0,321.0,16298.0,635.0,43.0,413.0,35.0,19805.0,16912.0,1669.0,944.0,20647.0,1555.0
2429,124.0,0.0,8968.0,1.0,41.0,16581.0,136.0,10136.0,16956.0,303.0,1021.0,11797.0,26.0,89.0,7877.0,22605.0,18684.0,1783.0,1064.0,697.0,1626.0,707.0,32.0,4.0,724.0,16891.0,613.0,7815.0,173.0,1318.0
2478,1.0,0.0,333.0,84.0,27.0,762.0,5.0,319.0,16998.0,2258.0,17016.0,40.0,55.0,10.0,2174.0,2087.0,19658.0,2332.0,4.0,16326.0,3.0,1404.0,475.0,7975.0,155.0,988.0,992.0,1747.0,20881.0,22000.0
2527,1.0,0.0,9071.0,230.0,1083.0,1439.0,190.0,75.0,47.0,4615.0,769.0,696.0,191.0,14.0,642.0,1141.0,19662.0,23.0,2.0,16199.0,8128.0,1446.0,13601.0,8033.0,19865.0,16462.0,274.0,2281.0,875.0,21941.0
2576,0.0,1.0,31.0,1470.0,33.0,2462.0,4.0,296.0,14.0,46.0,479.0,3.0,19784.0,304.0,149.0,938.0,19169.0,16385.0,83.0,880.0,8140.0,2493.0,894.0,1761.0,19863.0,309.0,1004.0,145.0,1478.0,21990.0
2625,0.0,35.0,953.0,21.0,15464.0,907.0,923.0,28.0,22.0,316.0,1456.0,104.0,19765.0,1398.0,49.0,76.0,867.0,173.0,200.0,520.0,15.0,6214.0,360.0,1009.0,1168.0,58.0,23111.0,7921.0,85.0,22003.0
2674,0.0,1.0,34.0,158.0,100.0,16664.0,868.0,2.0,109.0,58.0,541.0,3.0,19763.0,1160.0,253.0,558.0,19661.0,535.0,66.0,16208.0,1597.0,445.0,13603.0,8035.0,19881.0,74.0,21.0,15.0,20886.0,26.0
2723,0.0,1.0,9061.0,4476.0,23.0,2.0,1573.0,8.0,18.0,4598.0,661.0,16.0,19791.0,409.0,135.0,2681.0,1280.0,9.0,12.0,16324.0,620.0,6190.0,106.0,36.0,19881.0,16949.0,219.0,98.0,151.0,29.0
2772,0.0,1.0,19.0,2529.0,34.0,1570.0,6244.0,17.0,112.0,253.0,721.0,1516.0,19529.0,2473.0,63.0,1747.0,19624.0,168.0,2089.0,16253.0,8138.0,614.0,439.0,1187.0,548.0,1498.0,488.0,187.0,1821.0,30.0
2821,1.0,0.0,1569.0,69.0,140.0,358.0,438.0,15.0,236.0,216.0,2369.0,11849.0,6.0,1084.0,2385.0,2686.0,1178.0,44.0,46.0,474.0,94.0,532.0,2551.0,528.0,416.0,49.0,459.0,414.0,1234.0,470.0
2870,0.0,1.0,31.0,181.0,260.0,70.0,42.0,2.0,48.0,159.0,331.0,22.0,3.0,3422.0,1857.0,22611.0,18703.0,14.0,662.0,85.0,6.0,6165.0,13523.0,7974.0,19810.0,16941.0,214.0,7.0,2349.0,937.0
2919,1.0,0.0,39.0,1001.0,58.0,251.0,23.0,372.0,19.0,353.0,17006.0,11790.0,18.0,4662.0,7908.0,2341.0,18697.0,115.0,63.0,16273.0,8084.0,475.0,1359.0,32.0,19811.0,155.0,23200.0,67.0,20649.0,2480.0
2968,0.0,1.0,3.0,156.0,6.0,7.0,4.0,56.0,17013.0,61.0,235.0,2397.0,36.0,3435.0,721.0,50.0,19649.0,27.0,9623.0,1688.0,19.0,6167.0,13552.0,7987.0,19870.0,16957.0,23105.0,34.0,20910.0,21942.0
3017,1.0,0.0,2.0,2604.0,83.0,94.0,2790.0,4.0,17000.0,5253.0,1597.0,98.0,425.0,1168.0,272.0,22628.0,1334.0,1167.0,8648.0,449.0,198.0,3581.0,434.0,992.0,1066.0,16710.0,23219.0,899.0,20869.0,137.0
3066,1.0,0.0,3.0,4.0,2.0,6.0,167.0,10344.0,992.0,5589.0,2350.0,2198.0,19307.0,273.0,7978.0,384.0,432.0,319.0,9643.0,16338.0,88.0,8.0,5.0,8007.0,19869.0,16944.0,23115.0,654.0,29.0,870.0
3115,15.0,1.0,8.0,78.0,2.0,0.0,12.0,51.0,6.0,1319.0,1000.0,11861.0,303.0,2063.0,87.0,23.0,1410.0,1576.0,7.0,130.0,8128.0,522.0,1560.0,1716.0,19845.0,113.0,105.0,1488.0,20862.0,116.0
3164,21.0,0.0,26.0,115.0,870.0,72.0,100.0,52.0,16960.0,5492.0,62.0,7635.0,1.0,1844.0,2.0,566.0,19647.0,58.0,5.0,47.0,140.0,3105.0,6.0,661.0,19870.0,16455.0,346.0,131.0,179.0,21990.0
3213,1.0,0.0,3.0,8.0,2.0,135.0,13.0,10250.0,16954.0,4456.0,623.0,138.0,87.0,1847.0,7887.0,103.0,77.0,16372.0,9551.0,22.0,8065.0,495.0,828.0,66.0,300.0,1671.0,23236.0,7824.0,286.0,25.0
3262,0.0,1.0,24.0,70.0,12.0,5.0,8.0,189.0,17015.0,1203.0,227.0,15.0,11.0,683.0,2.0,57.0,19660.0,2461.0,55.0,824.0,27.0,174.0,965.0,789.0,19881.0,16476.0,653.0,7883.0,7.0,21967.0
3311,1.0,3.0,2.0,168.0,0.0,12.0,173.0,551.0,1444.0,16.0,17020.0,2469.0,19788.0,4348.0,213.0,4.0,490.0,28.0,8.0,16305.0,5.0,185.0,1619.0,7992.0,319.0,1974.0,132.0,7873.0,64.0,21937.0
3360,0.0,1.0,8.0,2.0,10.0,16609.0,6206.0,10323.0,16762.0,75.0,26.0,190.0,291.0,679.0,1186.0,235.0,778.0,16416.0,3.0,512.0,5.0,6906.0,535.0,1238.0,86.0,16950.0,35.0,7926.0,20897.0,498.0
3409,1.0,0.0,7.0,4497.0,15365.0,12.0,2.0,5.0,1494.0,2090.0,9.0,1111.0,286.0,3770.0,98.0,81.0,1165.0,1554.0,106.0,19.0,103.0,6212.0,48.0,242.0,422.0,802.0,23200.0,1719.0,6.0,21945.0
3458,3.0,0.0,1.0,41.0,8.0,165.0,1965.0,25.0,1461.0,2658.0,17050.0,540.0,424.0,821.0,228.0,6.0,7.0,533.0,55.0,15.0,8139.0,2442.0,27.0,716.0,19854.0,57.0,67.0,235.0,267.0,21996.0
3507,12.0,0.0,2.0,49.0,16.0,1861.0,62.0,10229.0,16966.0,127.0,2078.0,98.0,19736.0,256.0,38.0,917.0,13.0,1805.0,3.0,124.0,1205.0,6218.0,13489.0,1203.0,183.0,354.0,323.0,299.0,2383.0,21984.0
3556,1.0,0.0,11.0,46.0,77.0,49.0,3.0,921.0,1479.0,4573.0,783.0,249.0,19762.0,48.0,5.0,1273.0,22.0,214.0,9608.0,12.0,677.0,560.0,92.0,28.0,438.0,795.0,807.0,7886.0,1625.0,21971.0
3605,0.0,11.0,3.0,41.0,46.0,222.0,6220.0,25.0,43.0,6321.0,1287.0,233.0,19762.0,4378.0,85.0,644.0,21.0,16435.0,254.0,16342.0,8108.0,2063.0,1193.0,1202.0,849.0,16932.0,642.0,68.0,2241.0,289.0
3654,31.0,4.0,3.0,5.0,8.0,9.0,6189.0,454.0,85.0,112.0,193.0,538.0,407.0,4361.0,7877.0,120.0,1.0,79.0,785.0,7.0,8059.0,6889.0,13538.0,244.0,19867.0,1431.0,95.0,7903.0,20886.0,0.0
3703,6.0,4.0,0.0,1449.0,115.0,1295.0,101.0,5.0,33.0,1180.0,16990.0,1067.0,511.0,1899.0,51.0,20.0,1046.0,598.0,1495.0,35.0,8061.0,6170.0,1138.0,3.0,283.0,1684.0,23102.0,11.0,188.0,117.0
3752,1.0,0.0,9.0,72.0,2.0,12.0,358.0,538.0,97.0,80.0,2574.0,867.0,450.0,59.0,796.0,22594.0,736.0,347.0,38.0,16323.0,8142.0,791.0,61.0,62.0,176.0,16880.0,30.0,339.0,17.0,10.0
3801,0.0,1.0,3.0,4.0,7.0,102.0,40.0,10317.0,65.0,18.0,20.0,8120.0,223.0,1067.0,2.0,215.0,63.0,97.0,251.0,16293.0,8082.0,140.0,873.0,163.0,332.0,880.0,23221.0,26.0,913.0,117.0
3850,0.0,1.0,7.0,4.0,5.0,39.0,6.0,10.0,1384.0,53.0,969.0,2709.0,68.0,87.0,236.0,1213.0,114.0,365.0,1305.0,635.0,1253.0,3252.0,2.0,231.0,17.0,43.0,681.0,378.0,20895.0,46.0
3899,1.0,0.0,494.0,11.0,167.0,262.0,2688.0,458.0,336.0,18.0,104.0,11819.0,102.0,3279.0,111.0,36.0,3.0,16393.0,1533.0,6.0,8053.0,226.0,31.0,7949.0,19788.0,1446.0,867.0,97.0,2137.0,2228.0
3948,6.0,7.0,2.0,56.0,0.0,1787.0,2558.0,170.0,49.0,409.0,73.0,1.0,3.0,42.0,605.0,2641.0,99.0,16437.0,114.0,16319.0,22.0,2677.0,13529.0,185.0,4.0,1648.0,15.0,904.0,221.0,21969.0
3997,0.0,502.0,8.0,4461.0,5.0,16642.0,427.0,116.0,73.0,189.0,354.0,17.0,19539.0,1309.0,7982.0,459.0,1540.0,1845.0,9522.0,412.0,468.0,284.0,13581.0,530.0,40.0,16474.0,23115.0,66.0,3.0,21973.0
4046,4.0,173.0,3.0,217.0,28.0,10.0,740.0,14.0,54.0,1097.0,1352.0,166.0,686.0,4651.0,7910.0,324.0,149.0,6.0,1249.0,13.0,30.0,283.0,2.0,454.0,20.0,460.0,502.0,933.0,826.0,22006.0
4095,0.0,2.0,1354.0,1.0,18.0,1003.0,6281.0,745.0,1022.0,72.0,17044.0,258.0,19291.0,381.0,2378.0,1340.0,19720.0,9.0,1695.0,741.0,75.0,6197.0,550.0,327.0,644.0,16492.0,199.0,2577.0,10.0,21868.0
4144,0.0,1.0,9.0,355.0,894.0,623.0,106.0,135.0,20.0,48.0,17024.0,16.0,151.0,193.0,100.0,391.0,30.0,269.0,239.0,2.0,152.0,21.0,13585.0,7989.0,44.0,121.0,23079.0,81.0,575.0,613.0
4193,0.0,1.0,4.0,6.0,35.0,72.0,916.0,10241.0,7.0,1002.0,408.0,27.0,19352.0,156.0,8002.0,18.0,301.0,1492.0,80.0,46.0,836.0,6260.0,13635.0,8015.0,3.0,90.0,749.0,259.0,31.0,21870.0
4242,0.0,1.0,27.0,9.0,21.0,342.0,797.0,12211.0,102.0,1761.0,7.0,9877.0,19768.0,399.0,38.0,247.0,1392.0,359.0,217.0,141.0,1843.0,11.0,540.0,10071.0,13.0,3.0,836.0,10190.0,1045.0,21931.0
4291,1.0,0.0,5.0,2.0,15390.0,954.0,280.0,1204.0,102.0,308.0,30.0,95.0,19317.0,3870.0,120.0,1154.0,150.0,80.0,303.0,168.0,247.0,1139.0,46.0,34.0,224.0,350.0,23086.0,1291.0,2685.0,977.0
4340,1.0,0.0,26.0,71.0,926.0,16638.0,2755.0,12415.0,242.0,3.0,152.0,404.0,19744.0,28.0,7.0,22594.0,12.0,1445.0,1138.0,313.0,147.0,276.0,66.0,947.0,74.0,51.0,23212.0,576.0,20889.0,104.0
4389,1.0,0.0,1653.0,288.0,11.0,16592.0,2685.0,1790.0,1091.0,341.0,1124.0,35.0,19736.0,12.0,9596.0,576.0,18672.0,478.0,385.0,36.0,517.0,2658.0,691.0,1036.0,210.0,464.0,330.0,93.0,87.0,21925.0
4438,4.0,2.0,0.0,1071.0,2663.0,948.0,25.0,474.0,52.0,2723.0,2085.0,1.0,62.0,259.0,386.0,739.0,730.0,698.0,47.0,128.0,8140.0,20.0,41.0,96.0,19802.0,16465.0,18.0,7985.0,169.0,2426.0
4487,0.0,2.0,4.0,20.0,1133.0,727.0,550.0,1503.0,65.0,64.0,343.0,11889.0,34.0,353.0,15.0,356.0,19647.0,80.0,1764.0,9.0,718.0,663.0,13611.0,399.0,585.0,189.0,33.0,1295.0,54.0,802.0
4536,0.0,1.0,4.0,10.0,2025.0,38.0,6.0,9.0,1453.0,5214.0,3.0,60.0,175.0,236.0,166.0,65.0,271.0,570.0,11.0,16306.0,725.0,5.0,83.0,1554.0,539.0,16934.0,23211.0,2354.0,18.0,212.0
4585,0.0,1.0,13.0,181.0,15415.0,902.0,34.0,723.0,54.0,5617.0,166.0,8240.0,1524.0,14.0,5.0,29.0,828.0,16407.0,67.0,198.0,1394.0,4.0,165.0,15.0,442.0,76.0,23217.0,9748.0,69.0,7.0
4634,1.0,0.0,32.0,45.0,15.0,526.0,658.0,10388.0,93.0,4518.0,8.0,917.0,19297.0,3498.0,8028.0,59.0,19723.0,204.0,9684.0,12.0,1931.0,6292.0,33.0,541.0,133.0,10.0,424.0,7965.0,142.0,16.0
4683,2.0,0.0,185.0,5533.0,11.0,16639.0,25.0,119.0,16.0,5542.0,34.0,644.0,14.0,4.0,7906.0,1034.0,44.0,2519.0,544.0,3.0,8080.0,18.0,13.0,87.0,19856.0,16951.0,2568.0,7933.0,39.0,393.0
4732,2.0,0.0,38.0,4530.0,3.0,132.0,104.0,10202.0,232.0,188.0,756.0,47.0,266.0,3381.0,644.0,23.0,1338.0,10.0,21.0,30.0,14.0,1.0,8.0,1113.0,19870.0,6.0,40.0,25.0,1750.0,438.0
4781,1.0,0.0,9874.0,532.0,3.0,77.0,31.0,4581.0,1008.0,2676.0,985.0,23.0,162.0,89.0,12755.0,270.0,181.0,132.0,71.0,344.0,570.0,22.0,11.0,19.0,719.0,13369.0,437.0,776.0,19887.0,254.0
4830,1.0,0.0,9.0,5551.0,3.0,25.0,50.0,30.0,182.0,5512.0,4.0,248.0,15.0,877.0,545.0,80.0,301.0,16437.0,34.0,16352.0,133.0,64.0,10.0,345.0,19863.0,72.0,5.0,10194.0,1366.0,22009.0
4879,0.0,1.0,7.0,23.0,15413.0,33.0,19.0,551.0,170.0,462.0,2058.0,9.0,2.0,524.0,7966.0,578.0,684.0,1499.0,9533.0,16232.0,1237.0,57.0,1590.0,3.0,78.0,16725.0,23092.0,2133.0,1051.0,45.0
