,Caspase-7_cleavedD198,Chk1,MSH6,GAPDH,Stathmin,Lck,PTEN,RAD51,PDCD4,Notch1,4E-BP1,Beclin,Src_pY416,MDMX_MDM4(BetIHC-00108),Caveolin-1,p53,FRA1,Smad4,Chk1_pS345,EGFR,PKC-pan_BetaII_pS660,GSK3-alpha-beta,PEA15_pS116,p70S6K_pT389,GSK3-alpha-beta_pS21_S9,eEF2,TAZ,4E-BP1_pT37_T46,PKC-alpha,Rb_pS807_S811
3382,1.0,15.0,21.0,17.0,3.0,9.0,2.0,12.0,10.0,37.0,8.0,28.0,14.0,0.0,53.0,13.0,5.0,27.0,42.0,7.0,23.0,25.0,43.0,22.0,55.0,34.0,33.0,16.0,35.0,56.0
3431,1.0,0.0,2.0,3.0,7.0,27.0,20.0,14.0,10.0,12.0,5.0,19.0,4.0,11.0,6.0,8.0,23.0,35.0,22.0,9.0,28.0,16.0,21.0,32.0,31.0,33.0,47.0,62.0,39.0,26.0
3480,1.0,0.0,2.0,3.0,33.0,18.0,28.0,15.0,5.0,10.0,29.0,21.0,7.0,6.0,8.0,20.0,13.0,12.0,9.0,26.0,45.0,36.0,19.0,16.0,17.0,40.0,4.0,78.0,34.0,37.0
3529,2.0,0.0,5.0,3.0,21.0,19.0,1.0,14.0,6.0,12.0,13.0,22.0,11.0,8.0,10.0,9.0,56.0,37.0,27.0,4.0,32.0,26.0,7.0,25.0,17.0,28.0,65.0,71.0,35.0,38.0
3578,1.0,11.0,0.0,5.0,2.0,12.0,22.0,6.0,3.0,8.0,9.0,33.0,4.0,18.0,16.0,15.0,19.0,28.0,7.0,20.0,48.0,21.0,32.0,29.0,54.0,46.0,13.0,43.0,40.0,27.0
3627,1.0,0.0,9.0,4.0,14.0,11.0,12.0,7.0,26.0,6.0,5.0,13.0,3.0,22.0,28.0,15.0,19.0,24.0,18.0,17.0,32.0,34.0,31.0,10.0,39.0,25.0,16.0,47.0,43.0,73.0
3676,5.0,2.0,0.0,1.0,8.0,24.0,30.0,9.0,12.0,7.0,13.0,10.0,6.0,22.0,11.0,36.0,25.0,21.0,27.0,15.0,53.0,32.0,14.0,3.0,34.0,35.0,37.0,76.0,56.0,23.0
3725,9.0,0.0,3.0,1.0,33.0,8.0,2.0,4.0,20.0,14.0,17.0,10.0,6.0,5.0,7.0,25.0,12.0,13.0,23.0,42.0,40.0,15.0,28.0,53.0,26.0,75.0,41.0,24.0,46.0,22.0
3774,1.0,0.0,7.0,2.0,8.0,6.0,3.0,18.0,5.0,16.0,12.0,27.0,4.0,15.0,10.0,21.0,13.0,28.0,19.0,26.0,40.0,46.0,22.0,30.0,20.0,37.0,25.0,45.0,52.0,32.0
3823,2.0,3.0,5.0,1.0,8.0,21.0,9.0,13.0,0.0,6.0,27.0,14.0,15.0,7.0,20.0,40.0,18.0,29.0,24.0,4.0,50.0,23.0,52.0,12.0,36.0,57.0,31.0,26.0,42.0,56.0
3872,2.0,5.0,0.0,4.0,10.0,25.0,36.0,8.0,7.0,11.0,6.0,9.0,1.0,45.0,14.0,20.0,29.0,17.0,13.0,3.0,83.0,22.0,38.0,27.0,35.0,30.0,39.0,51.0,68.0,19.0
3921,0.0,1.0,2.0,10.0,3.0,12.0,6.0,13.0,18.0,9.0,26.0,8.0,16.0,21.0,4.0,15.0,14.0,5.0,30.0,42.0,25.0,29.0,39.0,7.0,11.0,40.0,36.0,52.0,33.0,79.0
3970,0.0,5.0,1.0,12.0,2.0,3.0,13.0,14.0,11.0,15.0,20.0,9.0,17.0,19.0,7.0,8.0,4.0,21.0,10.0,113.0,6.0,24.0,65.0,30.0,32.0,53.0,35.0,41.0,27.0,46.0
4019,2.0,0.0,1.0,25.0,9.0,20.0,11.0,29.0,8.0,4.0,7.0,16.0,3.0,54.0,15.0,39.0,22.0,6.0,5.0,45.0,42.0,26.0,14.0,19.0,34.0,47.0,57.0,63.0,46.0,62.0
4068,1.0,0.0,4.0,21.0,2.0,8.0,10.0,15.0,42.0,5.0,12.0,9.0,11.0,25.0,3.0,7.0,14.0,13.0,30.0,38.0,28.0,23.0,26.0,18.0,6.0,36.0,73.0,58.0,34.0,45.0
4117,1.0,0.0,31.0,2.0,4.0,21.0,3.0,17.0,13.0,9.0,6.0,20.0,11.0,8.0,10.0,15.0,7.0,18.0,19.0,36.0,26.0,22.0,51.0,5.0,12.0,56.0,16.0,54.0,34.0,52.0
4166,0.0,1.0,12.0,4.0,10.0,6.0,15.0,24.0,13.0,9.0,32.0,23.0,3.0,8.0,2.0,21.0,5.0,7.0,19.0,62.0,37.0,41.0,14.0,25.0,11.0,53.0,26.0,48.0,43.0,72.0
4215,0.0,4.0,7.0,14.0,1.0,8.0,6.0,2.0,20.0,9.0,17.0,31.0,28.0,12.0,5.0,27.0,10.0,3.0,25.0,49.0,23.0,26.0,46.0,15.0,30.0,41.0,42.0,19.0,52.0,86.0
4264,2.0,0.0,9.0,7.0,5.0,3.0,1.0,11.0,19.0,18.0,20.0,14.0,12.0,16.0,4.0,13.0,8.0,6.0,42.0,58.0,27.0,25.0,48.0,30.0,21.0,57.0,39.0,32.0,33.0,35.0
4313,0.0,4.0,20.0,2.0,11.0,25.0,7.0,17.0,23.0,30.0,9.0,6.0,8.0,29.0,1.0,3.0,5.0,12.0,14.0,16.0,47.0,26.0,64.0,21.0,13.0,60.0,19.0,43.0,38.0,31.0
4362,12.0,0.0,11.0,33.0,2.0,3.0,10.0,6.0,29.0,26.0,1.0,14.0,20.0,34.0,21.0,4.0,13.0,5.0,17.0,91.0,24.0,31.0,63.0,7.0,9.0,83.0,23.0,61.0,32.0,71.0
4411,3.0,0.0,27.0,1.0,8.0,12.0,2.0,6.0,28.0,20.0,13.0,14.0,11.0,33.0,26.0,5.0,7.0,29.0,37.0,35.0,21.0,30.0,42.0,57.0,53.0,45.0,76.0,48.0,64.0,10.0
4460,2.0,1.0,9.0,18.0,15.0,14.0,11.0,20.0,8.0,17.0,0.0,16.0,7.0,29.0,34.0,4.0,10.0,21.0,44.0,53.0,6.0,13.0,41.0,45.0,33.0,28.0,62.0,19.0,32.0,38.0
4509,2.0,4.0,23.0,0.0,13.0,33.0,7.0,10.0,9.0,8.0,1.0,11.0,15.0,26.0,24.0,18.0,3.0,29.0,31.0,41.0,12.0,46.0,43.0,16.0,39.0,50.0,101.0,60.0,37.0,30.0
4558,2.0,5.0,4.0,0.0,18.0,24.0,6.0,7.0,13.0,8.0,1.0,3.0,11.0,29.0,19.0,12.0,16.0,15.0,34.0,26.0,25.0,35.0,44.0,17.0,54.0,55.0,96.0,40.0,76.0,10.0
4607,1.0,0.0,21.0,2.0,20.0,4.0,9.0,25.0,10.0,6.0,5.0,7.0,8.0,34.0,17.0,16.0,12.0,41.0,24.0,36.0,23.0,28.0,31.0,19.0,27.0,72.0,54.0,32.0,53.0,29.0
4656,21.0,2.0,36.0,1.0,9.0,20.0,10.0,19.0,3.0,12.0,0.0,5.0,8.0,16.0,13.0,23.0,30.0,4.0,52.0,42.0,17.0,32.0,41.0,35.0,47.0,101.0,107.0,15.0,60.0,38.0
4705,14.0,4.0,6.0,5.0,22.0,2.0,0.0,3.0,11.0,7.0,1.0,9.0,32.0,43.0,24.0,8.0,31.0,26.0,68.0,42.0,49.0,40.0,36.0,17.0,28.0,18.0,84.0,21.0,15.0,54.0
4754,0.0,1.0,10.0,12.0,19.0,2.0,9.0,11.0,6.0,4.0,5.0,3.0,18.0,15.0,20.0,7.0,27.0,26.0,28.0,30.0,48.0,44.0,36.0,17.0,24.0,77.0,65.0,51.0,42.0,35.0
4803,10.0,1.0,15.0,2.0,55.0,6.0,11.0,7.0,27.0,9.0,14.0,5.0,0.0,33.0,12.0,43.0,30.0,3.0,25.0,123.0,22.0,101.0,28.0,4.0,53.0,32.0,97.0,38.0,48.0,29.0
4852,9.0,6.0,33.0,7.0,8.0,4.0,0.0,26.0,1.0,10.0,2.0,3.0,23.0,21.0,12.0,16.0,11.0,17.0,24.0,37.0,43.0,31.0,29.0,68.0,13.0,47.0,49.0,28.0,59.0,51.0
