,HLA-H_DEL,RBFOX1_DEL,PTEN_DEL,DMRTA1_DEL,GOLGA6L10_AMP,ETS1_DEL,LOC390660_AMP,GRIN2A_DEL,FOXN3-AS2_DEL,GRIK4_DEL,TMEM230_DEL,GRIN2D_DEL,GRIN2B_DEL,ZCCHC4_DEL,WDR91_DEL,ABR_DEL,MED4_DEL,ZBTB44_DEL,LINC00339_DEL,TIMM21_DEL,LINC00652_DEL,CCDC59_DEL,SETD2_DEL,MRPL18_DEL,NDUFAF4_DEL,CCDC113_DEL,THYN1_DEL,MRPL15_DEL,STXBP6_DEL,CHMP4A_DEL
524,18.0,2.0,11401.0,32.0,36.0,7.0,43.0,49.0,52.0,55.0,57.0,48.0,47.0,51.0,50.0,56.0,70.0,53.0,61.0,63.0,72.0,69.0,58.0,74.0,71.0,54.0,66.0,64.0,62.0,75.0
573,24.0,12.0,11401.0,3.0,2.0,5749.0,13773.0,50.0,48.0,47.0,58.0,63.0,55.0,70.0,68.0,71.0,51.0,67.0,69.0,52.0,56.0,49.0,61.0,60.0,53.0,62.0,64.0,72.0,45.0,46.0
622,23.0,9277.0,11401.0,0.0,37.0,5752.0,4.0,52.0,51.0,49.0,55.0,56.0,66.0,59.0,58.0,48.0,57.0,63.0,46.0,50.0,61.0,60.0,54.0,64.0,67.0,65.0,62.0,53.0,47.0,43.0
671,767.0,10.0,11400.0,46.0,24078.0,5753.0,2.0,56.0,47.0,49.0,58.0,72.0,65.0,57.0,71.0,50.0,59.0,66.0,55.0,69.0,61.0,60.0,63.0,62.0,48.0,64.0,67.0,68.0,70.0,73.0
720,3.0,13.0,0.0,29.0,24079.0,23.0,2.0,48.0,49.0,52.0,51.0,55.0,50.0,67.0,68.0,112.0,56.0,65.0,70.0,66.0,60.0,54.0,63.0,61.0,59.0,64.0,58.0,62.0,69.0,57.0
769,774.0,9344.0,11400.0,26.0,32.0,13.0,31.0,51.0,49.0,48.0,54.0,47.0,53.0,58.0,66.0,46.0,68.0,74.0,59.0,61.0,71.0,75.0,73.0,72.0,69.0,57.0,65.0,63.0,60.0,67.0
818,2.0,9296.0,0.0,10789.0,24077.0,21.0,37.0,53.0,63.0,72.0,51.0,49.0,52.0,46.0,54.0,104.0,60.0,55.0,70.0,68.0,56.0,61.0,57.0,58.0,59.0,71.0,65.0,66.0,69.0,62.0
867,0.0,20.0,31.0,10791.0,24079.0,5755.0,43.0,93.0,76.0,96.0,52.0,53.0,72.0,47.0,45.0,75.0,67.0,49.0,60.0,62.0,69.0,66.0,56.0,71.0,68.0,50.0,65.0,63.0,61.0,73.0
916,1.0,13.0,11401.0,30.0,0.0,5754.0,13678.0,49.0,60.0,72.0,47.0,45.0,48.0,52.0,50.0,116.0,61.0,62.0,59.0,55.0,66.0,58.0,69.0,68.0,71.0,70.0,54.0,53.0,57.0,56.0
965,2.0,1.0,12.0,39.0,24077.0,5750.0,3.0,61.0,71.0,47.0,64.0,67.0,62.0,45.0,68.0,48.0,69.0,70.0,53.0,46.0,58.0,66.0,54.0,49.0,63.0,59.0,60.0,57.0,52.0,65.0
1014,774.0,9279.0,11403.0,10791.0,24077.0,20.0,13867.0,81.0,82.0,73.0,79.0,78.0,80.0,76.0,77.0,62.0,67.0,75.0,187.0,127.0,71.0,66.0,74.0,72.0,70.0,83.0,108.0,126.0,188.0,65.0
1063,769.0,19.0,14.0,10790.0,24085.0,5751.0,33.0,54.0,47.0,48.0,50.0,51.0,52.0,56.0,55.0,96.0,66.0,65.0,62.0,57.0,69.0,64.0,72.0,70.0,73.0,58.0,59.0,71.0,61.0,60.0
1112,23.0,30.0,11.0,33.0,24075.0,5750.0,13771.0,95.0,74.0,98.0,51.0,53.0,49.0,56.0,54.0,99.0,52.0,64.0,65.0,61.0,59.0,55.0,67.0,70.0,63.0,66.0,71.0,60.0,62.0,58.0
1161,13.0,9277.0,27.0,10790.0,24079.0,5752.0,13893.0,46.0,47.0,48.0,50.0,52.0,53.0,66.0,67.0,94.0,56.0,65.0,55.0,61.0,58.0,54.0,70.0,63.0,57.0,64.0,59.0,60.0,68.0,69.0
1210,6.0,24.0,11399.0,31.0,24076.0,5751.0,13773.0,53.0,54.0,55.0,48.0,51.0,49.0,57.0,52.0,73.0,71.0,72.0,63.0,65.0,66.0,70.0,60.0,62.0,58.0,59.0,68.0,67.0,64.0,69.0
1259,25.0,9343.0,2.0,10784.0,43.0,5746.0,44.0,48.0,50.0,93.0,53.0,47.0,49.0,56.0,69.0,72.0,54.0,60.0,55.0,58.0,67.0,64.0,65.0,66.0,68.0,61.0,62.0,59.0,57.0,63.0
1308,772.0,3.0,11.0,10785.0,37.0,17.0,13646.0,53.0,47.0,54.0,51.0,49.0,52.0,42.0,48.0,45.0,71.0,41.0,63.0,66.0,73.0,70.0,65.0,57.0,75.0,50.0,68.0,67.0,64.0,69.0
1357,768.0,0.0,22.0,1.0,24078.0,5754.0,13774.0,114.0,115.0,116.0,112.0,89.0,113.0,87.0,88.0,117.0,56.0,76.0,49.0,51.0,60.0,55.0,62.0,61.0,57.0,63.0,53.0,52.0,50.0,54.0
1406,0.0,9275.0,11398.0,10785.0,24085.0,5744.0,13771.0,45.0,53.0,46.0,52.0,49.0,51.0,48.0,47.0,97.0,74.0,50.0,63.0,65.0,71.0,69.0,55.0,72.0,70.0,73.0,67.0,66.0,64.0,68.0
1455,16.0,12.0,27.0,10789.0,33.0,5747.0,13650.0,54.0,52.0,51.0,68.0,59.0,55.0,67.0,66.0,49.0,48.0,45.0,46.0,61.0,56.0,53.0,63.0,58.0,69.0,64.0,57.0,65.0,50.0,62.0
1504,5.0,18.0,3.0,44.0,24077.0,20.0,33.0,54.0,53.0,48.0,57.0,55.0,69.0,62.0,61.0,49.0,65.0,63.0,51.0,47.0,59.0,64.0,66.0,68.0,67.0,70.0,58.0,56.0,50.0,60.0
1553,0.0,18.0,11403.0,10791.0,9.0,14.0,13893.0,112.0,113.0,114.0,88.0,87.0,111.0,62.0,66.0,115.0,54.0,61.0,48.0,50.0,57.0,63.0,59.0,58.0,55.0,60.0,52.0,51.0,49.0,53.0
1602,0.0,43.0,6.0,40.0,24076.0,24.0,29.0,44.0,49.0,46.0,69.0,51.0,48.0,67.0,68.0,47.0,60.0,66.0,53.0,55.0,62.0,59.0,64.0,63.0,61.0,65.0,57.0,56.0,54.0,58.0
1651,17.0,20.0,11402.0,10790.0,45.0,14.0,13894.0,80.0,82.0,103.0,58.0,57.0,77.0,55.0,56.0,81.0,75.0,60.0,68.0,70.0,61.0,74.0,50.0,49.0,78.0,52.0,72.0,71.0,69.0,73.0
1700,2.0,14.0,11400.0,20.0,1.0,0.0,13864.0,58.0,59.0,60.0,56.0,54.0,57.0,53.0,62.0,61.0,55.0,52.0,82.0,84.0,48.0,63.0,50.0,49.0,47.0,51.0,65.0,85.0,83.0,87.0
1749,26.0,11.0,42.0,10788.0,37.0,5750.0,13864.0,49.0,48.0,47.0,62.0,54.0,51.0,67.0,69.0,52.0,60.0,65.0,50.0,68.0,57.0,61.0,53.0,56.0,59.0,70.0,64.0,66.0,55.0,63.0
1798,1.0,9279.0,11402.0,2.0,24079.0,10.0,0.0,51.0,56.0,75.0,57.0,48.0,50.0,52.0,58.0,79.0,73.0,54.0,66.0,68.0,60.0,72.0,49.0,76.0,77.0,55.0,70.0,69.0,67.0,71.0
1847,0.0,9280.0,11404.0,36.0,24081.0,5753.0,28.0,99.0,100.0,101.0,73.0,119.0,98.0,50.0,71.0,102.0,70.0,49.0,64.0,66.0,51.0,54.0,47.0,46.0,52.0,48.0,68.0,67.0,65.0,69.0
1896,31.0,9392.0,24.0,0.0,24079.0,28.0,13867.0,52.0,51.0,50.0,59.0,70.0,55.0,79.0,81.0,45.0,72.0,78.0,63.0,65.0,74.0,80.0,76.0,75.0,73.0,77.0,67.0,66.0,64.0,71.0
1945,1.0,9412.0,11395.0,3.0,34.0,31.0,13772.0,53.0,61.0,51.0,68.0,67.0,69.0,71.0,66.0,50.0,59.0,65.0,116.0,54.0,62.0,58.0,63.0,70.0,60.0,64.0,56.0,55.0,99.0,57.0
1994,18.0,22.0,11401.0,0.0,37.0,5.0,13866.0,47.0,46.0,51.0,50.0,53.0,49.0,56.0,54.0,52.0,69.0,48.0,61.0,63.0,71.0,68.0,73.0,72.0,70.0,74.0,66.0,65.0,62.0,67.0
2043,4.0,26.0,11400.0,28.0,31.0,5754.0,13652.0,48.0,49.0,50.0,46.0,63.0,47.0,86.0,65.0,51.0,80.0,66.0,73.0,75.0,82.0,79.0,84.0,83.0,81.0,85.0,77.0,76.0,74.0,78.0
2092,36.0,10.0,11398.0,1.0,22.0,5753.0,13867.0,78.0,80.0,81.0,75.0,74.0,77.0,72.0,73.0,82.0,127.0,69.0,178.0,180.0,125.0,186.0,67.0,108.0,126.0,68.0,182.0,181.0,179.0,184.0
2141,0.0,9274.0,11397.0,6.0,24075.0,15.0,3.0,75.0,98.0,99.0,62.0,55.0,74.0,50.0,53.0,100.0,59.0,49.0,69.0,67.0,44.0,60.0,47.0,46.0,58.0,48.0,65.0,66.0,68.0,63.0
2190,1.0,6.0,11403.0,10792.0,30.0,5755.0,13867.0,96.0,97.0,98.0,93.0,52.0,72.0,49.0,51.0,99.0,65.0,53.0,64.0,58.0,59.0,66.0,69.0,56.0,63.0,54.0,67.0,55.0,68.0,70.0
2239,0.0,9299.0,11402.0,10790.0,42.0,22.0,13867.0,53.0,51.0,49.0,59.0,73.0,66.0,70.0,72.0,50.0,61.0,68.0,55.0,69.0,58.0,63.0,62.0,71.0,60.0,64.0,67.0,74.0,75.0,65.0
2288,765.0,9297.0,2.0,3.0,24085.0,22.0,39.0,50.0,49.0,47.0,53.0,62.0,51.0,67.0,69.0,45.0,54.0,66.0,55.0,63.0,56.0,57.0,70.0,71.0,68.0,65.0,60.0,61.0,64.0,59.0
2337,19.0,2.0,41.0,10788.0,34.0,5746.0,13772.0,53.0,51.0,91.0,67.0,57.0,54.0,63.0,59.0,70.0,61.0,46.0,55.0,62.0,47.0,56.0,49.0,48.0,68.0,60.0,65.0,64.0,58.0,66.0
2386,0.0,9298.0,11399.0,31.0,32.0,5755.0,13773.0,48.0,49.0,62.0,53.0,73.0,52.0,54.0,55.0,74.0,59.0,71.0,65.0,63.0,61.0,58.0,68.0,66.0,60.0,69.0,56.0,72.0,64.0,57.0
2435,25.0,13.0,11397.0,10785.0,24085.0,26.0,0.0,70.0,69.0,68.0,51.0,73.0,63.0,54.0,53.0,62.0,64.0,60.0,115.0,49.0,66.0,59.0,71.0,67.0,65.0,47.0,55.0,50.0,100.0,56.0
2484,12.0,1.0,29.0,10786.0,41.0,13.0,47.0,48.0,49.0,56.0,52.0,53.0,51.0,76.0,55.0,77.0,69.0,58.0,59.0,63.0,72.0,67.0,57.0,74.0,70.0,75.0,65.0,64.0,60.0,66.0
2533,17.0,9296.0,11398.0,10787.0,24075.0,8.0,27.0,75.0,77.0,106.0,51.0,56.0,48.0,55.0,45.0,79.0,59.0,54.0,63.0,65.0,47.0,74.0,50.0,49.0,53.0,52.0,70.0,69.0,64.0,73.0
2582,0.0,2.0,11397.0,10786.0,36.0,5751.0,32.0,46.0,50.0,49.0,53.0,67.0,60.0,52.0,66.0,48.0,59.0,65.0,116.0,54.0,68.0,58.0,63.0,62.0,61.0,64.0,56.0,55.0,100.0,57.0
2631,22.0,9275.0,11400.0,44.0,24075.0,5748.0,29.0,55.0,49.0,50.0,47.0,70.0,46.0,59.0,58.0,51.0,69.0,57.0,54.0,56.0,68.0,66.0,63.0,67.0,48.0,62.0,61.0,60.0,52.0,64.0
2680,0.0,21.0,11400.0,10788.0,24076.0,43.0,1.0,47.0,71.0,92.0,46.0,48.0,49.0,51.0,60.0,73.0,63.0,69.0,56.0,58.0,65.0,62.0,67.0,66.0,64.0,68.0,61.0,59.0,57.0,70.0
2729,23.0,9411.0,7.0,37.0,1.0,5750.0,13650.0,47.0,67.0,106.0,52.0,53.0,49.0,57.0,55.0,70.0,50.0,59.0,63.0,62.0,64.0,48.0,65.0,46.0,60.0,68.0,56.0,58.0,66.0,54.0
2778,0.0,6.0,11398.0,10787.0,29.0,5748.0,30.0,73.0,74.0,75.0,70.0,69.0,72.0,65.0,68.0,55.0,57.0,64.0,182.0,184.0,59.0,79.0,62.0,60.0,58.0,63.0,208.0,123.0,183.0,121.0
2827,31.0,9348.0,11402.0,6.0,24078.0,30.0,3.0,76.0,77.0,62.0,74.0,73.0,75.0,72.0,80.0,63.0,125.0,70.0,181.0,184.0,64.0,199.0,67.0,65.0,103.0,69.0,126.0,185.0,182.0,127.0
2876,35.0,17.0,11400.0,10789.0,21.0,5752.0,13891.0,77.0,78.0,80.0,75.0,74.0,76.0,73.0,82.0,81.0,85.0,70.0,182.0,185.0,65.0,168.0,67.0,66.0,64.0,69.0,187.0,186.0,184.0,126.0
2925,33.0,14.0,38.0,10791.0,21.0,1.0,13865.0,111.0,91.0,114.0,50.0,57.0,89.0,56.0,63.0,115.0,54.0,48.0,88.0,59.0,65.0,53.0,60.0,58.0,55.0,64.0,51.0,49.0,67.0,52.0
2974,766.0,18.0,1.0,31.0,24075.0,21.0,41.0,48.0,55.0,50.0,58.0,57.0,53.0,62.0,59.0,52.0,70.0,63.0,51.0,72.0,56.0,68.0,65.0,66.0,71.0,64.0,61.0,60.0,49.0,67.0
3023,1.0,9278.0,11401.0,10788.0,24076.0,5751.0,32.0,49.0,50.0,51.0,55.0,71.0,63.0,54.0,70.0,53.0,62.0,68.0,117.0,57.0,72.0,61.0,66.0,65.0,64.0,67.0,59.0,58.0,56.0,60.0
3072,33.0,15.0,0.0,14.0,24085.0,9.0,40.0,60.0,61.0,74.0,58.0,57.0,59.0,53.0,55.0,85.0,47.0,62.0,81.0,83.0,49.0,46.0,51.0,50.0,48.0,52.0,63.0,65.0,82.0,54.0
3121,32.0,4.0,1.0,2.0,21.0,17.0,13676.0,61.0,65.0,85.0,59.0,58.0,60.0,56.0,57.0,87.0,47.0,55.0,82.0,64.0,49.0,46.0,62.0,51.0,48.0,53.0,63.0,74.0,83.0,54.0
3170,0.0,21.0,35.0,10795.0,40.0,9.0,43.0,117.0,111.0,114.0,104.0,84.0,106.0,61.0,62.0,116.0,53.0,60.0,77.0,73.0,56.0,52.0,58.0,57.0,54.0,59.0,49.0,65.0,80.0,50.0
3219,1.0,21.0,18.0,0.0,24073.0,34.0,31.0,45.0,49.0,50.0,47.0,68.0,46.0,67.0,52.0,48.0,60.0,66.0,53.0,55.0,62.0,59.0,64.0,63.0,61.0,65.0,57.0,56.0,54.0,58.0
3268,2.0,17.0,5.0,0.0,24085.0,14.0,13864.0,76.0,96.0,99.0,52.0,51.0,73.0,49.0,50.0,101.0,74.0,47.0,66.0,68.0,75.0,72.0,54.0,56.0,59.0,48.0,70.0,69.0,67.0,71.0
3317,11.0,19.0,11404.0,2.0,24082.0,5756.0,3.0,102.0,103.0,104.0,119.0,79.0,80.0,57.0,58.0,105.0,47.0,56.0,70.0,72.0,59.0,78.0,52.0,60.0,50.0,54.0,77.0,76.0,71.0,62.0
3366,22.0,9276.0,1.0,10789.0,24080.0,5749.0,13891.0,51.0,52.0,54.0,55.0,47.0,50.0,45.0,46.0,75.0,67.0,49.0,60.0,62.0,57.0,66.0,58.0,73.0,69.0,74.0,64.0,63.0,61.0,65.0
3415,0.0,9275.0,2.0,3.0,24075.0,5747.0,4.0,68.0,54.0,43.0,65.0,61.0,67.0,59.0,60.0,44.0,64.0,57.0,47.0,45.0,63.0,66.0,56.0,58.0,70.0,69.0,62.0,53.0,46.0,55.0
3464,0.0,17.0,35.0,10789.0,3.0,5752.0,13892.0,54.0,55.0,57.0,61.0,62.0,53.0,49.0,50.0,58.0,51.0,48.0,78.0,80.0,44.0,63.0,46.0,45.0,43.0,47.0,64.0,81.0,79.0,83.0
3513,23.0,13.0,9.0,34.0,35.0,5749.0,13889.0,55.0,49.0,48.0,58.0,72.0,71.0,60.0,59.0,53.0,70.0,62.0,51.0,57.0,67.0,69.0,64.0,65.0,56.0,63.0,66.0,61.0,52.0,68.0
3562,1.0,14.0,0.0,43.0,24078.0,2.0,30.0,54.0,55.0,45.0,59.0,64.0,58.0,67.0,65.0,53.0,56.0,46.0,97.0,48.0,60.0,66.0,62.0,61.0,57.0,63.0,52.0,47.0,49.0,44.0
3611,1.0,3.0,2.0,10789.0,24077.0,0.0,13772.0,48.0,49.0,52.0,46.0,51.0,47.0,54.0,70.0,50.0,63.0,69.0,56.0,58.0,65.0,62.0,67.0,53.0,64.0,68.0,60.0,59.0,57.0,61.0
3660,20.0,9277.0,9.0,10790.0,33.0,29.0,35.0,55.0,54.0,52.0,62.0,69.0,68.0,67.0,46.0,50.0,66.0,63.0,47.0,53.0,57.0,58.0,51.0,56.0,64.0,59.0,61.0,60.0,48.0,65.0
3709,0.0,1.0,9.0,43.0,2.0,5752.0,13653.0,51.0,50.0,47.0,54.0,70.0,62.0,68.0,69.0,52.0,63.0,67.0,55.0,57.0,64.0,61.0,66.0,65.0,71.0,72.0,59.0,58.0,56.0,60.0
3758,2.0,27.0,34.0,18.0,36.0,5750.0,13676.0,46.0,56.0,52.0,50.0,51.0,57.0,75.0,54.0,53.0,66.0,74.0,119.0,115.0,76.0,65.0,72.0,70.0,68.0,73.0,61.0,60.0,198.0,62.0
3807,1.0,12.0,0.0,4.0,35.0,23.0,13677.0,70.0,72.0,73.0,68.0,67.0,69.0,62.0,75.0,44.0,65.0,61.0,63.0,55.0,59.0,66.0,57.0,58.0,64.0,60.0,74.0,47.0,52.0,71.0
3856,0.0,9297.0,5.0,10787.0,4.0,7.0,13865.0,47.0,46.0,44.0,50.0,67.0,68.0,65.0,66.0,41.0,58.0,64.0,51.0,53.0,60.0,57.0,62.0,61.0,59.0,63.0,55.0,54.0,52.0,56.0
3905,0.0,9.0,11397.0,10786.0,30.0,42.0,25.0,45.0,46.0,47.0,49.0,70.0,50.0,69.0,52.0,48.0,62.0,68.0,55.0,57.0,64.0,61.0,66.0,65.0,63.0,71.0,59.0,58.0,56.0,60.0
3954,0.0,9346.0,4.0,2.0,45.0,5751.0,40.0,50.0,47.0,51.0,53.0,71.0,62.0,69.0,70.0,46.0,72.0,68.0,56.0,58.0,65.0,63.0,73.0,66.0,64.0,67.0,60.0,59.0,57.0,61.0
4003,0.0,9344.0,13.0,10791.0,2.0,5750.0,33.0,49.0,47.0,93.0,54.0,55.0,51.0,69.0,57.0,72.0,67.0,58.0,61.0,70.0,64.0,46.0,60.0,62.0,65.0,59.0,56.0,53.0,50.0,68.0
4052,5.0,1.0,3.0,4.0,24078.0,5747.0,0.0,53.0,55.0,47.0,54.0,51.0,49.0,56.0,50.0,95.0,68.0,48.0,59.0,62.0,70.0,66.0,58.0,73.0,69.0,45.0,64.0,63.0,61.0,65.0
4101,1.0,9300.0,0.0,46.0,40.0,5755.0,13895.0,59.0,66.0,48.0,58.0,71.0,73.0,69.0,70.0,56.0,50.0,68.0,55.0,49.0,61.0,62.0,65.0,63.0,60.0,74.0,67.0,72.0,57.0,64.0
4150,1.0,9277.0,0.0,10790.0,35.0,21.0,41.0,55.0,52.0,47.0,57.0,54.0,56.0,59.0,58.0,53.0,61.0,63.0,46.0,50.0,64.0,60.0,66.0,65.0,62.0,68.0,48.0,51.0,49.0,69.0
4199,0.0,15.0,38.0,12.0,2.0,5747.0,6.0,56.0,57.0,58.0,54.0,53.0,55.0,51.0,52.0,59.0,65.0,50.0,79.0,81.0,63.0,66.0,47.0,46.0,64.0,49.0,83.0,82.0,80.0,84.0
4248,0.0,9277.0,20.0,10788.0,4.0,10.0,13773.0,88.0,89.0,112.0,55.0,63.0,64.0,61.0,62.0,113.0,53.0,60.0,66.0,47.0,65.0,52.0,58.0,57.0,54.0,59.0,49.0,48.0,56.0,51.0
4297,3.0,9391.0,11398.0,0.0,43.0,11.0,41.0,58.0,56.0,55.0,60.0,63.0,59.0,68.0,65.0,52.0,61.0,69.0,207.0,108.0,70.0,57.0,72.0,44.0,66.0,71.0,50.0,45.0,111.0,54.0
4346,1.0,9279.0,31.0,10792.0,24.0,5752.0,23.0,63.0,61.0,50.0,80.0,79.0,81.0,74.0,78.0,45.0,66.0,73.0,186.0,200.0,68.0,65.0,71.0,69.0,67.0,72.0,86.0,126.0,127.0,64.0
4395,1.0,9294.0,0.0,37.0,35.0,24.0,13649.0,72.0,49.0,54.0,61.0,64.0,59.0,68.0,65.0,52.0,50.0,70.0,58.0,69.0,63.0,47.0,66.0,53.0,73.0,57.0,67.0,71.0,60.0,48.0
4444,17.0,9344.0,33.0,30.0,24072.0,6.0,13649.0,52.0,51.0,72.0,54.0,55.0,53.0,59.0,58.0,82.0,76.0,60.0,187.0,68.0,78.0,75.0,64.0,65.0,77.0,61.0,73.0,70.0,66.0,80.0
4493,0.0,9297.0,8.0,47.0,2.0,22.0,13890.0,97.0,98.0,99.0,94.0,52.0,74.0,48.0,50.0,100.0,61.0,51.0,70.0,72.0,58.0,62.0,71.0,57.0,59.0,49.0,64.0,65.0,66.0,63.0
4542,16.0,9345.0,11400.0,36.0,32.0,20.0,13865.0,50.0,48.0,62.0,53.0,54.0,51.0,64.0,55.0,73.0,60.0,57.0,67.0,61.0,72.0,58.0,69.0,66.0,63.0,71.0,70.0,59.0,65.0,56.0
4591,0.0,9391.0,9.0,1.0,36.0,14.0,38.0,45.0,54.0,53.0,47.0,49.0,46.0,51.0,50.0,71.0,70.0,52.0,61.0,63.0,72.0,69.0,65.0,58.0,57.0,55.0,67.0,66.0,62.0,68.0
4640,0.0,9275.0,23.0,1.0,4.0,20.0,13773.0,74.0,58.0,76.0,72.0,71.0,73.0,68.0,70.0,77.0,61.0,67.0,179.0,181.0,63.0,60.0,65.0,64.0,62.0,66.0,121.0,182.0,180.0,163.0
4689,44.0,9411.0,11396.0,1.0,36.0,5748.0,33.0,70.0,71.0,69.0,72.0,59.0,64.0,49.0,56.0,62.0,68.0,73.0,118.0,116.0,67.0,63.0,65.0,66.0,48.0,50.0,60.0,57.0,165.0,61.0
4738,21.0,9295.0,12.0,34.0,24085.0,0.0,5.0,58.0,57.0,56.0,62.0,64.0,59.0,67.0,70.0,54.0,60.0,68.0,99.0,53.0,63.0,69.0,66.0,65.0,61.0,55.0,50.0,46.0,45.0,48.0
4787,24.0,9298.0,11399.0,0.0,36.0,18.0,46.0,65.0,55.0,50.0,56.0,72.0,73.0,70.0,71.0,47.0,62.0,69.0,57.0,48.0,66.0,61.0,67.0,74.0,63.0,68.0,59.0,58.0,64.0,60.0
4836,7.0,9344.0,11395.0,0.0,24085.0,6.0,39.0,62.0,65.0,66.0,57.0,55.0,61.0,51.0,52.0,59.0,63.0,53.0,43.0,45.0,60.0,64.0,56.0,58.0,67.0,54.0,49.0,46.0,50.0,68.0
4885,2.0,9277.0,11402.0,3.0,24079.0,0.0,29.0,55.0,54.0,49.0,60.0,61.0,56.0,66.0,65.0,48.0,53.0,68.0,71.0,72.0,64.0,52.0,70.0,67.0,59.0,69.0,50.0,58.0,57.0,73.0
