,hsa-miR-1977,hsa-miR-142-5p,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-590-5p,hsa-miR-378,hsa-miR-214,hsa-miR-92a,hsa-miR-196b,hsa-miR-1308,hsa-miR-130a,hsa-miR-935,hsa-miR-491-3p,hsa-miR-1296,hcmv-miR-US5-1,hsa-miR-31,hsa-miR-643,hsa-miR-563,hsa-miR-15b,hsv1-miR-H7,hsa-miR-93,hsa-miR-320c,hsa-miR-616,hsa-miR-422a,hsa-miR-128,hsa-miR-597,hsa-miR-620,hsa-miR-578,hsa-miR-205
507,0.0,2.0,22.0,3.0,5.0,1.0,8.0,9.0,4.0,11.0,10.0,92.0,16.0,26.0,46.0,17.0,20.0,14.0,13.0,18.0,12.0,19.0,30.0,49.0,21.0,35.0,7.0,45.0,44.0,23.0
556,0.0,2.0,26.0,1.0,4.0,3.0,7.0,20.0,10.0,37.0,8.0,48.0,18.0,21.0,70.0,11.0,16.0,17.0,83.0,38.0,28.0,27.0,32.0,41.0,39.0,50.0,9.0,6.0,54.0,14.0
605,2.0,1.0,8.0,3.0,5.0,0.0,4.0,14.0,12.0,6.0,11.0,24.0,21.0,9.0,31.0,30.0,7.0,16.0,29.0,37.0,22.0,25.0,42.0,26.0,20.0,60.0,10.0,39.0,41.0,17.0
654,0.0,4.0,16.0,1.0,2.0,3.0,24.0,6.0,8.0,7.0,11.0,27.0,9.0,14.0,47.0,22.0,23.0,17.0,42.0,38.0,13.0,19.0,36.0,29.0,39.0,68.0,10.0,5.0,49.0,28.0
703,1.0,2.0,8.0,3.0,4.0,0.0,11.0,5.0,9.0,13.0,23.0,6.0,7.0,14.0,34.0,36.0,12.0,31.0,28.0,43.0,17.0,29.0,22.0,33.0,16.0,84.0,10.0,48.0,59.0,32.0
752,0.0,2.0,4.0,3.0,5.0,1.0,8.0,6.0,12.0,72.0,9.0,31.0,20.0,21.0,33.0,30.0,39.0,28.0,22.0,37.0,13.0,26.0,38.0,27.0,11.0,91.0,14.0,24.0,59.0,17.0
801,0.0,1.0,4.0,2.0,5.0,3.0,6.0,9.0,18.0,8.0,10.0,36.0,17.0,16.0,44.0,48.0,12.0,33.0,35.0,27.0,15.0,26.0,28.0,19.0,23.0,52.0,7.0,20.0,54.0,62.0
850,0.0,3.0,13.0,2.0,6.0,1.0,4.0,7.0,11.0,5.0,14.0,47.0,24.0,20.0,15.0,19.0,9.0,33.0,25.0,65.0,12.0,16.0,28.0,17.0,18.0,63.0,8.0,10.0,187.0,36.0
899,1.0,3.0,10.0,0.0,6.0,2.0,20.0,8.0,14.0,5.0,9.0,27.0,21.0,15.0,33.0,31.0,17.0,25.0,18.0,39.0,4.0,29.0,22.0,12.0,30.0,54.0,7.0,76.0,32.0,65.0
948,3.0,6.0,5.0,1.0,4.0,0.0,7.0,9.0,12.0,8.0,27.0,67.0,22.0,23.0,55.0,15.0,21.0,34.0,41.0,59.0,20.0,39.0,32.0,69.0,19.0,52.0,2.0,10.0,56.0,82.0
997,2.0,5.0,1.0,36.0,0.0,4.0,8.0,9.0,3.0,20.0,73.0,26.0,13.0,39.0,21.0,16.0,27.0,22.0,46.0,10.0,11.0,7.0,23.0,24.0,45.0,43.0,52.0,19.0,56.0,28.0
1046,1.0,3.0,0.0,47.0,4.0,2.0,9.0,5.0,10.0,8.0,15.0,7.0,13.0,20.0,14.0,12.0,37.0,24.0,29.0,6.0,18.0,16.0,17.0,27.0,39.0,31.0,59.0,26.0,34.0,22.0
1095,3.0,1.0,0.0,9.0,4.0,2.0,19.0,6.0,10.0,8.0,57.0,22.0,24.0,45.0,11.0,14.0,48.0,13.0,26.0,16.0,5.0,7.0,15.0,31.0,43.0,27.0,117.0,46.0,12.0,35.0
1144,3.0,1.0,0.0,75.0,2.0,5.0,7.0,4.0,18.0,22.0,61.0,19.0,6.0,13.0,11.0,17.0,37.0,33.0,20.0,12.0,15.0,26.0,21.0,25.0,38.0,47.0,71.0,23.0,29.0,27.0
1193,4.0,2.0,0.0,8.0,1.0,3.0,17.0,5.0,9.0,11.0,28.0,6.0,13.0,15.0,14.0,7.0,10.0,19.0,16.0,18.0,46.0,12.0,22.0,29.0,86.0,31.0,73.0,33.0,41.0,78.0
1242,5.0,1.0,0.0,21.0,2.0,3.0,6.0,9.0,10.0,4.0,26.0,39.0,17.0,23.0,8.0,13.0,50.0,16.0,22.0,11.0,52.0,7.0,24.0,197.0,44.0,41.0,70.0,37.0,66.0,33.0
1291,4.0,1.0,0.0,9.0,3.0,7.0,8.0,6.0,12.0,19.0,33.0,32.0,5.0,40.0,13.0,14.0,49.0,18.0,10.0,45.0,23.0,16.0,36.0,43.0,22.0,11.0,109.0,34.0,17.0,35.0
1340,4.0,1.0,0.0,9.0,2.0,3.0,10.0,5.0,12.0,8.0,38.0,22.0,25.0,26.0,28.0,24.0,15.0,13.0,16.0,14.0,7.0,11.0,23.0,34.0,41.0,33.0,48.0,20.0,52.0,72.0
1389,1.0,4.0,0.0,30.0,6.0,5.0,3.0,2.0,14.0,23.0,55.0,9.0,11.0,12.0,13.0,20.0,32.0,15.0,94.0,10.0,26.0,8.0,18.0,22.0,7.0,43.0,141.0,37.0,19.0,29.0
1438,9.0,2.0,1.0,5.0,0.0,4.0,7.0,15.0,6.0,3.0,66.0,54.0,17.0,12.0,27.0,8.0,20.0,13.0,22.0,10.0,14.0,23.0,18.0,26.0,38.0,37.0,71.0,32.0,16.0,35.0
1487,0.0,11.0,6.0,2.0,3.0,1.0,4.0,8.0,13.0,12.0,5.0,14.0,38.0,55.0,15.0,17.0,25.0,10.0,27.0,18.0,51.0,21.0,23.0,36.0,46.0,40.0,24.0,19.0,109.0,48.0
1536,1.0,9.0,3.0,0.0,6.0,2.0,5.0,7.0,11.0,29.0,20.0,12.0,31.0,13.0,14.0,18.0,21.0,16.0,8.0,53.0,47.0,34.0,28.0,58.0,46.0,43.0,4.0,15.0,67.0,24.0
1585,0.0,7.0,5.0,3.0,4.0,1.0,6.0,2.0,11.0,9.0,13.0,25.0,17.0,14.0,36.0,15.0,31.0,23.0,8.0,51.0,27.0,30.0,32.0,19.0,39.0,65.0,22.0,10.0,41.0,53.0
1634,5.0,1.0,0.0,6.0,4.0,2.0,3.0,7.0,9.0,13.0,20.0,17.0,12.0,18.0,21.0,10.0,16.0,14.0,8.0,29.0,19.0,34.0,23.0,27.0,15.0,66.0,35.0,11.0,40.0,49.0
1683,0.0,2.0,10.0,5.0,3.0,1.0,4.0,21.0,6.0,16.0,9.0,12.0,28.0,13.0,37.0,8.0,33.0,14.0,11.0,47.0,41.0,26.0,42.0,32.0,35.0,58.0,20.0,17.0,55.0,38.0
1732,1.0,5.0,6.0,9.0,0.0,4.0,2.0,8.0,10.0,19.0,27.0,21.0,17.0,32.0,112.0,14.0,11.0,7.0,12.0,28.0,22.0,39.0,20.0,13.0,41.0,30.0,26.0,3.0,86.0,49.0
1781,0.0,7.0,10.0,5.0,2.0,1.0,6.0,4.0,12.0,11.0,9.0,58.0,18.0,21.0,51.0,13.0,15.0,8.0,40.0,36.0,33.0,43.0,44.0,47.0,23.0,64.0,30.0,34.0,29.0,74.0
1830,0.0,4.0,5.0,1.0,10.0,3.0,9.0,8.0,6.0,2.0,11.0,20.0,15.0,16.0,14.0,17.0,45.0,13.0,7.0,19.0,34.0,29.0,25.0,42.0,37.0,43.0,23.0,12.0,93.0,40.0
1879,2.0,1.0,5.0,6.0,4.0,0.0,8.0,14.0,3.0,7.0,26.0,44.0,57.0,16.0,21.0,11.0,28.0,10.0,19.0,17.0,38.0,20.0,31.0,25.0,37.0,36.0,22.0,18.0,73.0,76.0
1928,1.0,3.0,11.0,13.0,7.0,0.0,15.0,18.0,5.0,2.0,24.0,22.0,17.0,14.0,26.0,20.0,96.0,12.0,6.0,99.0,4.0,40.0,10.0,27.0,29.0,56.0,34.0,9.0,90.0,58.0
1977,0.0,6.0,3.0,2.0,1.0,12.0,11.0,5.0,13.0,16.0,19.0,7.0,22.0,15.0,25.0,21.0,14.0,55.0,10.0,29.0,40.0,45.0,18.0,37.0,17.0,31.0,8.0,24.0,26.0,20.0
2026,2.0,4.0,0.0,6.0,1.0,28.0,3.0,8.0,13.0,62.0,7.0,5.0,9.0,46.0,22.0,26.0,16.0,12.0,18.0,23.0,33.0,14.0,19.0,17.0,34.0,30.0,32.0,58.0,24.0,31.0
2075,0.0,6.0,2.0,7.0,4.0,5.0,16.0,9.0,20.0,8.0,1.0,11.0,13.0,30.0,22.0,23.0,15.0,21.0,10.0,18.0,31.0,27.0,49.0,19.0,40.0,17.0,12.0,33.0,35.0,25.0
2124,0.0,6.0,1.0,2.0,4.0,44.0,5.0,3.0,8.0,21.0,7.0,20.0,61.0,50.0,18.0,13.0,23.0,28.0,14.0,22.0,11.0,26.0,47.0,15.0,19.0,24.0,10.0,59.0,73.0,37.0
2173,4.0,6.0,1.0,8.0,3.0,13.0,11.0,2.0,18.0,10.0,0.0,9.0,26.0,25.0,40.0,21.0,65.0,41.0,37.0,23.0,47.0,20.0,19.0,29.0,31.0,28.0,15.0,22.0,42.0,16.0
2222,0.0,15.0,4.0,8.0,2.0,7.0,11.0,3.0,23.0,10.0,9.0,5.0,31.0,41.0,26.0,16.0,34.0,33.0,1.0,37.0,32.0,30.0,22.0,25.0,24.0,13.0,12.0,60.0,19.0,14.0
2271,0.0,3.0,4.0,2.0,10.0,5.0,12.0,8.0,15.0,6.0,7.0,51.0,23.0,30.0,19.0,21.0,33.0,46.0,1.0,45.0,20.0,31.0,17.0,9.0,18.0,34.0,16.0,28.0,39.0,50.0
2320,1.0,12.0,2.0,0.0,3.0,9.0,49.0,5.0,16.0,10.0,7.0,6.0,17.0,31.0,25.0,24.0,14.0,37.0,15.0,39.0,18.0,30.0,26.0,21.0,71.0,29.0,13.0,41.0,4.0,64.0
2369,2.0,11.0,0.0,7.0,3.0,23.0,5.0,10.0,9.0,24.0,20.0,12.0,19.0,48.0,15.0,8.0,25.0,22.0,1.0,32.0,65.0,29.0,31.0,30.0,13.0,28.0,36.0,72.0,37.0,14.0
2418,0.0,8.0,2.0,15.0,3.0,19.0,9.0,10.0,29.0,5.0,11.0,4.0,25.0,18.0,22.0,34.0,21.0,23.0,1.0,30.0,44.0,32.0,17.0,16.0,13.0,28.0,7.0,81.0,70.0,20.0
2467,11.0,0.0,12.0,7.0,6.0,4.0,5.0,3.0,9.0,16.0,13.0,35.0,18.0,15.0,10.0,22.0,14.0,19.0,2.0,39.0,30.0,46.0,8.0,31.0,70.0,26.0,321.0,278.0,1.0,21.0
2516,15.0,1.0,6.0,0.0,4.0,2.0,3.0,7.0,11.0,19.0,17.0,41.0,8.0,16.0,13.0,14.0,21.0,24.0,5.0,39.0,38.0,60.0,29.0,40.0,26.0,32.0,65.0,88.0,9.0,22.0
2565,5.0,11.0,1.0,0.0,2.0,7.0,8.0,4.0,18.0,36.0,6.0,19.0,17.0,14.0,10.0,35.0,3.0,22.0,20.0,48.0,51.0,54.0,16.0,75.0,33.0,26.0,23.0,57.0,9.0,69.0
2614,13.0,1.0,4.0,6.0,2.0,0.0,5.0,18.0,9.0,402.0,3.0,28.0,12.0,53.0,15.0,20.0,31.0,21.0,10.0,23.0,36.0,30.0,16.0,50.0,11.0,44.0,118.0,25.0,32.0,8.0
2663,3.0,8.0,6.0,1.0,0.0,9.0,2.0,4.0,12.0,15.0,20.0,13.0,17.0,24.0,11.0,21.0,5.0,22.0,7.0,45.0,30.0,61.0,23.0,31.0,29.0,43.0,57.0,70.0,10.0,34.0
2712,1.0,0.0,8.0,15.0,3.0,10.0,16.0,2.0,19.0,27.0,11.0,54.0,17.0,22.0,14.0,20.0,12.0,38.0,7.0,29.0,46.0,87.0,30.0,56.0,18.0,60.0,77.0,282.0,4.0,6.0
2761,5.0,1.0,11.0,9.0,2.0,0.0,3.0,4.0,6.0,26.0,10.0,49.0,15.0,12.0,51.0,14.0,18.0,19.0,68.0,38.0,27.0,39.0,13.0,67.0,21.0,34.0,54.0,85.0,7.0,25.0
2810,2.0,5.0,4.0,6.0,3.0,0.0,1.0,7.0,9.0,27.0,12.0,26.0,16.0,33.0,8.0,19.0,13.0,28.0,22.0,41.0,34.0,39.0,21.0,51.0,15.0,38.0,57.0,76.0,10.0,14.0
2859,2.0,0.0,4.0,1.0,5.0,9.0,3.0,7.0,8.0,12.0,14.0,13.0,11.0,16.0,24.0,15.0,10.0,34.0,18.0,42.0,41.0,37.0,19.0,56.0,25.0,59.0,33.0,93.0,6.0,96.0
2908,7.0,0.0,9.0,19.0,1.0,8.0,3.0,2.0,11.0,5.0,6.0,47.0,49.0,10.0,4.0,13.0,20.0,30.0,31.0,66.0,77.0,26.0,16.0,33.0,45.0,18.0,24.0,39.0,54.0,88.0
2957,2.0,3.0,1.0,7.0,0.0,5.0,9.0,6.0,11.0,17.0,23.0,41.0,86.0,13.0,4.0,22.0,47.0,35.0,101.0,53.0,29.0,18.0,38.0,16.0,32.0,27.0,49.0,19.0,26.0,28.0
3006,1.0,5.0,0.0,6.0,7.0,4.0,3.0,8.0,12.0,9.0,14.0,10.0,23.0,19.0,11.0,21.0,38.0,13.0,64.0,44.0,34.0,26.0,27.0,15.0,18.0,28.0,33.0,32.0,49.0,317.0
3055,1.0,0.0,6.0,16.0,2.0,3.0,4.0,5.0,10.0,12.0,11.0,8.0,60.0,26.0,9.0,23.0,21.0,25.0,102.0,38.0,20.0,18.0,37.0,39.0,44.0,43.0,13.0,14.0,7.0,57.0
3104,6.0,8.0,1.0,5.0,0.0,3.0,2.0,4.0,26.0,9.0,17.0,13.0,48.0,39.0,15.0,23.0,51.0,24.0,139.0,30.0,14.0,16.0,34.0,27.0,29.0,25.0,54.0,20.0,7.0,49.0
3153,2.0,0.0,4.0,29.0,1.0,3.0,5.0,6.0,10.0,7.0,23.0,11.0,46.0,26.0,19.0,24.0,33.0,22.0,126.0,67.0,12.0,17.0,37.0,8.0,25.0,15.0,13.0,9.0,96.0,53.0
3202,5.0,0.0,6.0,7.0,3.0,8.0,2.0,1.0,14.0,71.0,12.0,66.0,77.0,13.0,9.0,34.0,75.0,19.0,44.0,31.0,32.0,30.0,42.0,21.0,29.0,23.0,35.0,15.0,150.0,59.0
3251,5.0,2.0,0.0,3.0,1.0,4.0,6.0,7.0,11.0,10.0,13.0,8.0,27.0,20.0,18.0,26.0,71.0,24.0,82.0,51.0,17.0,31.0,45.0,12.0,28.0,36.0,47.0,9.0,32.0,25.0
3300,2.0,4.0,9.0,7.0,1.0,8.0,0.0,5.0,12.0,3.0,6.0,17.0,37.0,20.0,15.0,22.0,30.0,18.0,47.0,49.0,11.0,29.0,38.0,10.0,31.0,19.0,21.0,14.0,16.0,97.0
3349,2.0,1.0,0.0,8.0,4.0,6.0,3.0,5.0,7.0,9.0,37.0,36.0,35.0,58.0,19.0,20.0,29.0,12.0,73.0,22.0,21.0,26.0,44.0,55.0,11.0,14.0,54.0,27.0,25.0,28.0
3398,0.0,5.0,6.0,8.0,2.0,7.0,1.0,3.0,4.0,13.0,9.0,37.0,38.0,11.0,29.0,14.0,482.0,26.0,72.0,33.0,32.0,15.0,30.0,16.0,36.0,28.0,23.0,24.0,31.0,17.0
3447,11.0,5.0,2.0,9.0,7.0,6.0,1.0,10.0,16.0,3.0,38.0,12.0,8.0,0.0,68.0,23.0,15.0,20.0,93.0,13.0,14.0,36.0,19.0,26.0,21.0,37.0,32.0,25.0,4.0,435.0
3496,14.0,0.0,4.0,2.0,10.0,5.0,1.0,3.0,7.0,8.0,66.0,9.0,12.0,11.0,21.0,23.0,6.0,16.0,18.0,15.0,61.0,41.0,34.0,22.0,13.0,29.0,44.0,36.0,19.0,332.0
3545,13.0,0.0,6.0,11.0,2.0,1.0,3.0,15.0,8.0,7.0,34.0,4.0,16.0,5.0,42.0,19.0,10.0,12.0,23.0,9.0,35.0,21.0,55.0,27.0,30.0,25.0,22.0,91.0,14.0,394.0
3594,10.0,2.0,9.0,0.0,4.0,8.0,3.0,15.0,7.0,13.0,35.0,6.0,5.0,1.0,73.0,12.0,23.0,17.0,44.0,11.0,20.0,41.0,33.0,16.0,19.0,31.0,22.0,46.0,18.0,324.0
3643,5.0,1.0,0.0,4.0,10.0,9.0,2.0,8.0,6.0,15.0,42.0,16.0,21.0,3.0,58.0,11.0,23.0,13.0,18.0,7.0,34.0,14.0,28.0,33.0,17.0,31.0,36.0,61.0,19.0,374.0
3692,6.0,3.0,21.0,0.0,4.0,1.0,2.0,8.0,9.0,22.0,42.0,5.0,26.0,7.0,33.0,10.0,20.0,16.0,67.0,11.0,47.0,18.0,41.0,19.0,15.0,14.0,35.0,60.0,12.0,398.0
3741,16.0,0.0,9.0,1.0,15.0,4.0,2.0,6.0,7.0,18.0,388.0,19.0,8.0,3.0,48.0,13.0,5.0,12.0,33.0,10.0,21.0,25.0,27.0,20.0,14.0,61.0,22.0,32.0,46.0,376.0
3790,17.0,2.0,3.0,4.0,5.0,1.0,0.0,6.0,10.0,57.0,53.0,15.0,9.0,7.0,50.0,20.0,25.0,24.0,40.0,8.0,34.0,23.0,30.0,18.0,13.0,29.0,21.0,19.0,14.0,421.0
3839,11.0,1.0,8.0,0.0,4.0,9.0,2.0,10.0,6.0,28.0,77.0,3.0,5.0,7.0,85.0,23.0,13.0,18.0,12.0,15.0,72.0,35.0,24.0,14.0,19.0,38.0,41.0,40.0,16.0,373.0
3888,19.0,1.0,4.0,2.0,7.0,18.0,15.0,16.0,3.0,10.0,59.0,14.0,22.0,0.0,17.0,11.0,5.0,23.0,93.0,13.0,30.0,29.0,20.0,31.0,36.0,33.0,34.0,26.0,28.0,340.0
3937,10.0,5.0,1.0,0.0,7.0,2.0,16.0,9.0,41.0,4.0,103.0,32.0,25.0,8.0,14.0,30.0,26.0,24.0,57.0,12.0,6.0,28.0,21.0,22.0,76.0,17.0,63.0,27.0,3.0,20.0
3986,1.0,4.0,2.0,0.0,7.0,8.0,13.0,9.0,29.0,3.0,20.0,30.0,22.0,12.0,6.0,19.0,5.0,56.0,47.0,35.0,15.0,17.0,16.0,34.0,99.0,24.0,42.0,10.0,11.0,44.0
4035,2.0,6.0,3.0,1.0,4.0,5.0,26.0,7.0,24.0,0.0,17.0,8.0,15.0,10.0,9.0,54.0,21.0,20.0,30.0,35.0,16.0,23.0,25.0,37.0,81.0,18.0,36.0,22.0,11.0,12.0
4084,8.0,12.0,1.0,0.0,6.0,2.0,19.0,9.0,13.0,7.0,23.0,15.0,14.0,4.0,21.0,16.0,11.0,53.0,41.0,32.0,17.0,24.0,18.0,35.0,85.0,29.0,45.0,3.0,5.0,10.0
4133,2.0,4.0,1.0,0.0,5.0,3.0,16.0,6.0,14.0,33.0,10.0,30.0,9.0,44.0,17.0,35.0,7.0,22.0,41.0,11.0,13.0,15.0,12.0,29.0,87.0,24.0,25.0,38.0,8.0,19.0
4182,3.0,11.0,1.0,2.0,5.0,4.0,24.0,7.0,22.0,0.0,10.0,16.0,14.0,8.0,12.0,30.0,9.0,37.0,44.0,26.0,20.0,15.0,27.0,29.0,55.0,17.0,41.0,31.0,6.0,13.0
4231,3.0,9.0,2.0,0.0,7.0,1.0,23.0,4.0,25.0,8.0,14.0,6.0,20.0,21.0,10.0,51.0,34.0,36.0,40.0,5.0,11.0,26.0,30.0,33.0,83.0,29.0,81.0,35.0,15.0,69.0
4280,7.0,1.0,3.0,0.0,8.0,4.0,32.0,17.0,11.0,10.0,2.0,30.0,22.0,35.0,16.0,51.0,6.0,21.0,37.0,12.0,5.0,36.0,13.0,23.0,440.0,34.0,40.0,20.0,14.0,15.0
4329,3.0,12.0,1.0,0.0,5.0,2.0,51.0,9.0,32.0,4.0,16.0,10.0,6.0,27.0,15.0,29.0,46.0,45.0,59.0,25.0,7.0,14.0,20.0,21.0,37.0,50.0,31.0,22.0,19.0,8.0
4378,2.0,5.0,1.0,0.0,4.0,3.0,14.0,16.0,11.0,10.0,6.0,67.0,42.0,25.0,44.0,7.0,20.0,31.0,107.0,9.0,21.0,22.0,26.0,17.0,32.0,23.0,60.0,30.0,28.0,33.0
4427,0.0,1.0,4.0,10.0,11.0,6.0,2.0,5.0,7.0,12.0,9.0,13.0,15.0,3.0,18.0,20.0,23.0,44.0,37.0,22.0,19.0,28.0,26.0,17.0,43.0,36.0,27.0,16.0,100.0,63.0
4476,0.0,5.0,6.0,2.0,10.0,4.0,1.0,12.0,8.0,13.0,16.0,23.0,3.0,21.0,9.0,19.0,66.0,34.0,7.0,26.0,52.0,45.0,32.0,24.0,20.0,28.0,43.0,88.0,108.0,15.0
4525,1.0,4.0,18.0,5.0,2.0,3.0,0.0,10.0,13.0,59.0,7.0,57.0,6.0,21.0,26.0,22.0,54.0,29.0,50.0,8.0,25.0,23.0,12.0,11.0,32.0,24.0,31.0,40.0,30.0,44.0
4574,3.0,0.0,1.0,18.0,6.0,4.0,2.0,20.0,8.0,22.0,5.0,15.0,47.0,17.0,10.0,19.0,33.0,14.0,9.0,7.0,46.0,16.0,30.0,31.0,39.0,13.0,21.0,42.0,178.0,94.0
4623,0.0,1.0,5.0,12.0,6.0,7.0,2.0,10.0,9.0,23.0,4.0,20.0,13.0,16.0,40.0,27.0,18.0,48.0,8.0,31.0,44.0,26.0,25.0,17.0,15.0,33.0,14.0,19.0,52.0,53.0
4672,2.0,0.0,20.0,11.0,3.0,6.0,1.0,14.0,25.0,22.0,9.0,8.0,45.0,7.0,15.0,34.0,18.0,36.0,27.0,4.0,49.0,33.0,17.0,12.0,24.0,19.0,38.0,51.0,94.0,39.0
4721,2.0,8.0,1.0,5.0,0.0,3.0,4.0,7.0,22.0,11.0,9.0,16.0,6.0,35.0,26.0,23.0,10.0,20.0,15.0,14.0,34.0,30.0,33.0,17.0,41.0,25.0,31.0,44.0,105.0,53.0
4770,0.0,4.0,2.0,3.0,8.0,5.0,1.0,6.0,16.0,26.0,29.0,13.0,10.0,31.0,7.0,42.0,21.0,28.0,14.0,22.0,44.0,59.0,9.0,18.0,27.0,41.0,25.0,51.0,68.0,49.0
4819,3.0,0.0,18.0,16.0,4.0,1.0,2.0,23.0,22.0,34.0,7.0,21.0,20.0,36.0,19.0,43.0,12.0,26.0,13.0,24.0,41.0,30.0,28.0,5.0,17.0,25.0,51.0,8.0,77.0,29.0
4868,1.0,4.0,7.0,2.0,8.0,3.0,6.0,11.0,26.0,0.0,14.0,13.0,17.0,5.0,16.0,42.0,15.0,34.0,32.0,24.0,23.0,35.0,29.0,22.0,50.0,10.0,12.0,25.0,30.0,91.0
