,ETV4,CMTM7,S100A4,SPRY2,SH3TC2,TOR4A,SPRY4,ABO,TRPV2,HOXB7,ETV5,HMGA2,TMEM101,TMC6,DUSP6,MYEOV,SPRY1,SNX18P16,ITGA6,EVPL,FERMT1,NPAS2,SLC16A3,ACOT11,SLC17A9,NRROS,EMP1,RP11-114H23.1,INPP1,IL20RA
990,0.0,1.0,3.0,4.0,26.0,5.0,9.0,24.0,6.0,2.0,10.0,11.0,34.0,14.0,22.0,7.0,28.0,8.0,53.0,17.0,19.0,183.0,82.0,12.0,35.0,25.0,38.0,36.0,54.0,55.0
1039,0.0,1.0,2.0,11.0,7.0,4.0,5.0,19.0,3.0,8.0,15.0,100.0,30.0,27.0,32.0,6.0,99.0,12.0,21.0,31.0,13.0,24.0,40.0,20.0,10.0,26.0,75.0,25.0,41.0,46.0
1088,0.0,1.0,2.0,3.0,8.0,4.0,16.0,12.0,6.0,5.0,19.0,38.0,47.0,13.0,14.0,27.0,9.0,23.0,50.0,28.0,37.0,42.0,21.0,39.0,7.0,10.0,25.0,54.0,29.0,71.0
1137,0.0,1.0,14.0,2.0,8.0,5.0,6.0,9.0,3.0,7.0,12.0,4.0,36.0,16.0,15.0,40.0,10.0,61.0,37.0,33.0,18.0,41.0,35.0,67.0,11.0,19.0,24.0,13.0,44.0,48.0
1186,0.0,1.0,2.0,5.0,7.0,4.0,12.0,3.0,8.0,6.0,11.0,21.0,19.0,16.0,18.0,56.0,26.0,20.0,75.0,86.0,44.0,193.0,25.0,15.0,13.0,28.0,38.0,69.0,41.0,39.0
1235,0.0,1.0,8.0,4.0,3.0,2.0,6.0,15.0,10.0,33.0,12.0,11.0,41.0,9.0,49.0,37.0,21.0,16.0,27.0,24.0,22.0,25.0,17.0,7.0,60.0,23.0,39.0,105.0,57.0,109.0
1284,1.0,0.0,5.0,7.0,3.0,8.0,9.0,32.0,2.0,4.0,25.0,19.0,12.0,14.0,34.0,20.0,83.0,6.0,10.0,13.0,15.0,30.0,17.0,24.0,16.0,28.0,33.0,29.0,27.0,62.0
1333,0.0,2.0,4.0,3.0,11.0,1.0,8.0,6.0,5.0,7.0,26.0,9.0,41.0,29.0,35.0,13.0,32.0,19.0,31.0,36.0,10.0,49.0,28.0,27.0,30.0,128.0,73.0,60.0,34.0,21.0
1382,0.0,1.0,3.0,4.0,5.0,2.0,7.0,6.0,12.0,9.0,11.0,10.0,25.0,15.0,41.0,22.0,21.0,14.0,30.0,56.0,13.0,84.0,24.0,47.0,16.0,38.0,53.0,37.0,35.0,49.0
1431,0.0,1.0,2.0,10.0,5.0,3.0,13.0,20.0,16.0,7.0,11.0,19.0,30.0,8.0,37.0,36.0,4.0,42.0,25.0,17.0,21.0,41.0,6.0,31.0,170.0,18.0,9.0,54.0,33.0,67.0
1480,0.0,1.0,3.0,2.0,4.0,27.0,6.0,11.0,9.0,124.0,16.0,5.0,26.0,58.0,19.0,17.0,8.0,7.0,18.0,40.0,20.0,12.0,25.0,34.0,43.0,10.0,23.0,13.0,47.0,36.0
1529,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,26.0,10.0,17.0,16.0,55.0,42.0,8.0,22.0,13.0,28.0,30.0,56.0,18.0,61.0,12.0,66.0,38.0,9.0,105.0,45.0,20.0,47.0
1578,0.0,2.0,7.0,1.0,15.0,28.0,4.0,8.0,10.0,3.0,13.0,16.0,23.0,56.0,5.0,22.0,6.0,11.0,14.0,17.0,20.0,44.0,37.0,30.0,546.0,33.0,34.0,48.0,43.0,47.0
1627,0.0,3.0,1.0,2.0,18.0,35.0,16.0,17.0,25.0,12.0,28.0,20.0,23.0,38.0,31.0,5.0,6.0,14.0,51.0,21.0,22.0,103.0,13.0,30.0,44.0,10.0,40.0,134.0,91.0,66.0
1676,0.0,1.0,3.0,2.0,11.0,13.0,15.0,6.0,12.0,4.0,17.0,7.0,50.0,35.0,33.0,10.0,9.0,8.0,29.0,26.0,22.0,46.0,18.0,16.0,140.0,24.0,34.0,61.0,38.0,66.0
1725,1.0,3.0,2.0,0.0,12.0,17.0,8.0,9.0,4.0,10.0,22.0,51.0,44.0,86.0,18.0,5.0,13.0,7.0,52.0,63.0,14.0,47.0,6.0,32.0,189.0,21.0,29.0,132.0,49.0,99.0
1774,0.0,5.0,2.0,1.0,3.0,12.0,7.0,4.0,78.0,15.0,14.0,70.0,22.0,41.0,19.0,11.0,9.0,49.0,8.0,16.0,10.0,42.0,18.0,27.0,90.0,36.0,86.0,39.0,40.0,85.0
1823,0.0,1.0,7.0,2.0,4.0,8.0,5.0,6.0,12.0,18.0,14.0,10.0,22.0,27.0,13.0,35.0,11.0,29.0,9.0,21.0,28.0,23.0,16.0,44.0,82.0,46.0,70.0,64.0,25.0,51.0
1872,0.0,12.0,3.0,1.0,2.0,15.0,7.0,10.0,9.0,20.0,19.0,6.0,35.0,61.0,11.0,4.0,5.0,57.0,23.0,36.0,18.0,54.0,27.0,14.0,155.0,24.0,17.0,30.0,56.0,52.0
1921,0.0,4.0,5.0,1.0,10.0,6.0,7.0,11.0,30.0,17.0,20.0,8.0,34.0,35.0,9.0,36.0,3.0,13.0,24.0,25.0,18.0,26.0,23.0,27.0,188.0,29.0,21.0,71.0,84.0,65.0
1970,1.0,0.0,23.0,11.0,4.0,6.0,17.0,10.0,3.0,18.0,16.0,9.0,2.0,19.0,26.0,12.0,36.0,20.0,15.0,21.0,22.0,53.0,47.0,37.0,27.0,131.0,49.0,101.0,145.0,51.0
2019,1.0,0.0,11.0,8.0,9.0,28.0,13.0,3.0,5.0,4.0,17.0,23.0,2.0,25.0,6.0,14.0,50.0,54.0,20.0,33.0,38.0,46.0,43.0,56.0,22.0,72.0,51.0,118.0,31.0,63.0
2068,0.0,1.0,20.0,13.0,2.0,31.0,9.0,3.0,6.0,11.0,10.0,18.0,5.0,35.0,23.0,39.0,45.0,70.0,8.0,38.0,36.0,54.0,73.0,19.0,52.0,85.0,17.0,66.0,56.0,16.0
2117,1.0,0.0,7.0,4.0,3.0,21.0,15.0,2.0,9.0,12.0,17.0,16.0,13.0,30.0,35.0,26.0,34.0,45.0,10.0,23.0,25.0,33.0,57.0,24.0,43.0,66.0,18.0,157.0,51.0,29.0
2166,0.0,1.0,7.0,9.0,4.0,17.0,10.0,2.0,3.0,6.0,11.0,14.0,5.0,12.0,39.0,37.0,34.0,19.0,16.0,57.0,29.0,27.0,36.0,24.0,80.0,44.0,28.0,261.0,55.0,23.0
2215,0.0,1.0,13.0,25.0,11.0,113.0,15.0,4.0,2.0,7.0,22.0,104.0,12.0,30.0,24.0,3.0,758.0,10.0,6.0,32.0,21.0,34.0,211.0,28.0,19.0,47.0,196.0,54.0,52.0,31.0
2264,1.0,0.0,21.0,3.0,2.0,18.0,7.0,6.0,12.0,10.0,11.0,8.0,5.0,13.0,16.0,27.0,28.0,31.0,4.0,178.0,61.0,15.0,131.0,65.0,20.0,73.0,115.0,235.0,29.0,19.0
2313,1.0,0.0,5.0,8.0,2.0,67.0,14.0,3.0,9.0,12.0,15.0,17.0,6.0,20.0,7.0,19.0,41.0,195.0,4.0,22.0,33.0,11.0,683.0,30.0,18.0,25.0,46.0,112.0,90.0,31.0
2362,0.0,1.0,12.0,9.0,3.0,29.0,11.0,6.0,10.0,17.0,8.0,16.0,4.0,23.0,18.0,13.0,28.0,26.0,14.0,40.0,59.0,36.0,85.0,68.0,22.0,25.0,61.0,278.0,44.0,54.0
2411,1.0,0.0,37.0,5.0,3.0,29.0,18.0,2.0,10.0,6.0,9.0,22.0,4.0,21.0,44.0,20.0,36.0,12.0,8.0,54.0,14.0,19.0,386.0,52.0,224.0,35.0,30.0,90.0,109.0,23.0
2460,1.0,0.0,2.0,4.0,5.0,3.0,8.0,9.0,7.0,43.0,17.0,11.0,10.0,44.0,12.0,65.0,35.0,22.0,6.0,29.0,28.0,14.0,18.0,27.0,13.0,33.0,40.0,16.0,36.0,110.0
2509,0.0,2.0,1.0,4.0,7.0,5.0,6.0,8.0,12.0,3.0,23.0,11.0,9.0,13.0,17.0,29.0,19.0,18.0,26.0,16.0,44.0,14.0,15.0,54.0,62.0,22.0,30.0,64.0,35.0,32.0
2558,0.0,5.0,1.0,4.0,14.0,2.0,6.0,8.0,3.0,30.0,21.0,22.0,9.0,28.0,17.0,13.0,86.0,11.0,19.0,38.0,37.0,25.0,7.0,41.0,10.0,70.0,34.0,73.0,31.0,105.0
2607,0.0,1.0,3.0,2.0,7.0,4.0,13.0,10.0,9.0,6.0,19.0,5.0,39.0,14.0,22.0,145.0,51.0,25.0,15.0,48.0,47.0,33.0,34.0,8.0,61.0,84.0,12.0,62.0,28.0,53.0
2656,0.0,6.0,1.0,3.0,7.0,4.0,9.0,14.0,16.0,2.0,32.0,10.0,15.0,28.0,23.0,29.0,11.0,22.0,8.0,27.0,37.0,5.0,19.0,21.0,82.0,43.0,20.0,45.0,25.0,30.0
2705,2.0,1.0,0.0,3.0,5.0,10.0,4.0,17.0,11.0,19.0,9.0,14.0,15.0,12.0,16.0,31.0,7.0,6.0,13.0,165.0,37.0,21.0,20.0,8.0,59.0,58.0,23.0,18.0,29.0,55.0
2754,0.0,2.0,1.0,3.0,30.0,7.0,8.0,4.0,6.0,12.0,14.0,23.0,33.0,21.0,10.0,16.0,101.0,17.0,18.0,48.0,19.0,11.0,27.0,26.0,49.0,108.0,42.0,46.0,32.0,58.0
2803,3.0,4.0,2.0,18.0,5.0,0.0,24.0,7.0,8.0,1.0,20.0,57.0,9.0,15.0,98.0,21.0,77.0,14.0,6.0,22.0,13.0,45.0,10.0,19.0,142.0,153.0,35.0,68.0,23.0,61.0
2852,0.0,2.0,1.0,3.0,6.0,5.0,8.0,12.0,14.0,42.0,13.0,20.0,7.0,4.0,9.0,44.0,16.0,52.0,15.0,28.0,41.0,21.0,17.0,10.0,31.0,143.0,114.0,34.0,45.0,85.0
2901,0.0,4.0,3.0,1.0,17.0,2.0,6.0,7.0,5.0,9.0,16.0,12.0,11.0,20.0,14.0,80.0,10.0,13.0,28.0,19.0,29.0,22.0,23.0,8.0,89.0,36.0,47.0,65.0,33.0,25.0
2950,1.0,0.0,9.0,2.0,7.0,10.0,5.0,3.0,37.0,41.0,18.0,4.0,14.0,15.0,20.0,246.0,17.0,26.0,19.0,44.0,111.0,12.0,36.0,21.0,13.0,74.0,95.0,34.0,47.0,58.0
2999,0.0,1.0,8.0,9.0,7.0,5.0,6.0,4.0,27.0,11.0,12.0,14.0,17.0,3.0,2.0,46.0,24.0,88.0,10.0,21.0,67.0,13.0,71.0,31.0,37.0,53.0,38.0,78.0,20.0,15.0
3048,0.0,1.0,5.0,8.0,12.0,2.0,9.0,4.0,18.0,59.0,22.0,23.0,35.0,3.0,16.0,26.0,85.0,11.0,29.0,68.0,47.0,15.0,13.0,32.0,50.0,207.0,27.0,177.0,104.0,71.0
3097,1.0,0.0,11.0,6.0,12.0,2.0,10.0,3.0,14.0,8.0,13.0,9.0,30.0,4.0,19.0,33.0,36.0,17.0,27.0,56.0,41.0,5.0,16.0,22.0,83.0,43.0,29.0,115.0,25.0,31.0
3146,0.0,1.0,2.0,16.0,5.0,11.0,9.0,4.0,21.0,62.0,7.0,12.0,63.0,3.0,22.0,14.0,126.0,55.0,19.0,6.0,44.0,36.0,39.0,10.0,15.0,28.0,47.0,24.0,58.0,46.0
3195,0.0,1.0,3.0,4.0,6.0,12.0,2.0,7.0,26.0,14.0,9.0,8.0,16.0,10.0,17.0,21.0,20.0,28.0,19.0,11.0,80.0,13.0,39.0,15.0,34.0,61.0,27.0,50.0,92.0,49.0
3244,0.0,2.0,13.0,8.0,3.0,6.0,4.0,1.0,28.0,75.0,9.0,7.0,17.0,11.0,5.0,105.0,15.0,60.0,16.0,43.0,70.0,35.0,18.0,10.0,55.0,47.0,19.0,41.0,32.0,27.0
3293,0.0,1.0,7.0,8.0,6.0,4.0,13.0,3.0,9.0,11.0,10.0,2.0,17.0,5.0,26.0,50.0,45.0,18.0,36.0,37.0,106.0,14.0,12.0,38.0,21.0,39.0,35.0,61.0,77.0,40.0
3342,0.0,1.0,2.0,6.0,7.0,3.0,8.0,4.0,32.0,23.0,11.0,22.0,17.0,5.0,9.0,64.0,14.0,31.0,58.0,38.0,100.0,13.0,20.0,26.0,18.0,56.0,50.0,47.0,15.0,40.0
3391,1.0,2.0,4.0,12.0,7.0,3.0,15.0,0.0,25.0,14.0,5.0,10.0,16.0,6.0,22.0,105.0,51.0,8.0,27.0,18.0,56.0,35.0,26.0,13.0,30.0,72.0,29.0,20.0,37.0,21.0
3440,1.0,3.0,13.0,0.0,6.0,15.0,5.0,10.0,4.0,8.0,11.0,7.0,14.0,61.0,9.0,35.0,2.0,30.0,16.0,27.0,26.0,73.0,40.0,29.0,72.0,17.0,12.0,76.0,98.0,47.0
3489,0.0,1.0,9.0,2.0,5.0,8.0,4.0,29.0,3.0,15.0,13.0,25.0,7.0,41.0,10.0,19.0,11.0,18.0,20.0,12.0,6.0,42.0,71.0,37.0,35.0,30.0,31.0,38.0,80.0,73.0
3538,0.0,5.0,19.0,2.0,7.0,8.0,4.0,14.0,3.0,12.0,10.0,6.0,13.0,22.0,16.0,95.0,1.0,79.0,18.0,24.0,23.0,47.0,83.0,27.0,59.0,21.0,17.0,150.0,64.0,45.0
3587,0.0,1.0,24.0,2.0,8.0,14.0,6.0,17.0,7.0,18.0,9.0,5.0,10.0,34.0,4.0,71.0,3.0,270.0,20.0,13.0,23.0,15.0,83.0,65.0,19.0,27.0,11.0,22.0,64.0,40.0
3636,0.0,1.0,14.0,2.0,8.0,10.0,3.0,13.0,4.0,16.0,12.0,11.0,17.0,20.0,7.0,90.0,5.0,42.0,38.0,35.0,27.0,39.0,59.0,63.0,159.0,74.0,6.0,82.0,51.0,36.0
3685,0.0,1.0,14.0,2.0,4.0,10.0,7.0,15.0,8.0,5.0,13.0,6.0,12.0,16.0,9.0,132.0,3.0,35.0,23.0,19.0,17.0,18.0,52.0,41.0,106.0,29.0,11.0,50.0,116.0,31.0
3734,0.0,1.0,12.0,2.0,7.0,13.0,5.0,14.0,3.0,11.0,8.0,9.0,10.0,29.0,6.0,46.0,4.0,26.0,23.0,28.0,16.0,150.0,85.0,33.0,42.0,17.0,24.0,36.0,126.0,49.0
3783,0.0,3.0,13.0,4.0,9.0,8.0,6.0,16.0,5.0,29.0,10.0,1.0,11.0,19.0,7.0,123.0,2.0,58.0,12.0,18.0,25.0,14.0,23.0,36.0,111.0,48.0,15.0,31.0,102.0,78.0
3832,0.0,4.0,15.0,1.0,3.0,9.0,11.0,12.0,5.0,36.0,14.0,18.0,13.0,20.0,6.0,111.0,2.0,69.0,19.0,33.0,38.0,60.0,49.0,40.0,30.0,25.0,27.0,128.0,43.0,28.0
3881,0.0,1.0,12.0,3.0,2.0,38.0,4.0,18.0,6.0,10.0,13.0,5.0,17.0,23.0,7.0,42.0,8.0,87.0,11.0,14.0,35.0,56.0,33.0,30.0,71.0,15.0,9.0,25.0,29.0,46.0
3930,2.0,0.0,6.0,1.0,7.0,14.0,5.0,24.0,4.0,3.0,30.0,46.0,78.0,10.0,23.0,16.0,18.0,145.0,8.0,51.0,22.0,11.0,114.0,48.0,34.0,40.0,225.0,21.0,75.0,27.0
3979,0.0,2.0,6.0,1.0,7.0,4.0,8.0,5.0,3.0,13.0,18.0,39.0,12.0,14.0,26.0,17.0,22.0,24.0,72.0,93.0,20.0,40.0,227.0,62.0,21.0,11.0,225.0,99.0,57.0,35.0
4028,0.0,1.0,3.0,4.0,23.0,5.0,8.0,6.0,2.0,29.0,30.0,37.0,25.0,12.0,14.0,7.0,18.0,9.0,10.0,15.0,11.0,28.0,24.0,20.0,87.0,19.0,122.0,116.0,31.0,21.0
4077,2.0,0.0,12.0,3.0,5.0,1.0,19.0,11.0,4.0,36.0,16.0,93.0,15.0,6.0,31.0,34.0,44.0,7.0,22.0,24.0,30.0,41.0,9.0,27.0,14.0,37.0,383.0,43.0,92.0,40.0
4126,0.0,1.0,13.0,5.0,10.0,2.0,7.0,30.0,3.0,6.0,20.0,22.0,25.0,11.0,28.0,4.0,27.0,23.0,14.0,36.0,15.0,9.0,16.0,40.0,158.0,21.0,71.0,196.0,63.0,18.0
4175,1.0,0.0,8.0,6.0,11.0,9.0,5.0,4.0,2.0,29.0,27.0,52.0,31.0,25.0,28.0,10.0,33.0,12.0,21.0,42.0,54.0,3.0,91.0,61.0,24.0,14.0,90.0,35.0,19.0,22.0
4224,1.0,2.0,4.0,3.0,7.0,5.0,22.0,9.0,0.0,6.0,45.0,85.0,54.0,8.0,56.0,11.0,31.0,12.0,52.0,37.0,17.0,23.0,24.0,36.0,20.0,10.0,103.0,39.0,41.0,32.0
4273,0.0,1.0,11.0,4.0,10.0,8.0,14.0,17.0,5.0,25.0,23.0,26.0,147.0,15.0,42.0,2.0,21.0,16.0,20.0,9.0,12.0,7.0,94.0,34.0,24.0,19.0,47.0,18.0,38.0,64.0
4322,2.0,0.0,6.0,3.0,15.0,4.0,11.0,8.0,1.0,10.0,47.0,46.0,29.0,12.0,39.0,40.0,16.0,13.0,35.0,20.0,24.0,5.0,50.0,28.0,38.0,17.0,412.0,22.0,81.0,18.0
4371,0.0,1.0,28.0,6.0,13.0,21.0,12.0,9.0,2.0,11.0,44.0,32.0,63.0,7.0,16.0,3.0,69.0,5.0,51.0,30.0,19.0,10.0,110.0,36.0,199.0,29.0,134.0,60.0,42.0,14.0
4420,1.0,2.0,0.0,3.0,4.0,8.0,10.0,13.0,5.0,18.0,32.0,80.0,16.0,12.0,67.0,14.0,28.0,6.0,135.0,23.0,22.0,29.0,7.0,35.0,24.0,73.0,15.0,53.0,104.0,48.0
4469,0.0,2.0,3.0,1.0,4.0,25.0,5.0,6.0,34.0,41.0,20.0,15.0,40.0,12.0,37.0,7.0,10.0,11.0,147.0,17.0,22.0,13.0,42.0,16.0,8.0,52.0,24.0,14.0,76.0,78.0
4518,0.0,2.0,1.0,4.0,3.0,15.0,8.0,7.0,21.0,92.0,16.0,22.0,34.0,12.0,37.0,14.0,17.0,10.0,105.0,19.0,25.0,5.0,40.0,29.0,6.0,27.0,20.0,9.0,60.0,46.0
4567,0.0,1.0,3.0,2.0,4.0,8.0,7.0,6.0,15.0,87.0,28.0,10.0,29.0,5.0,30.0,14.0,9.0,17.0,45.0,23.0,36.0,21.0,26.0,13.0,11.0,49.0,19.0,12.0,78.0,41.0
4616,0.0,2.0,1.0,3.0,5.0,6.0,12.0,7.0,13.0,18.0,19.0,8.0,54.0,10.0,24.0,4.0,16.0,9.0,277.0,15.0,23.0,49.0,21.0,48.0,20.0,26.0,11.0,34.0,122.0,59.0
4665,0.0,2.0,1.0,3.0,7.0,5.0,10.0,11.0,12.0,17.0,35.0,9.0,38.0,14.0,25.0,20.0,4.0,8.0,327.0,51.0,75.0,6.0,24.0,18.0,22.0,46.0,21.0,13.0,103.0,26.0
4714,0.0,1.0,2.0,4.0,6.0,13.0,10.0,5.0,12.0,3.0,44.0,16.0,33.0,8.0,23.0,7.0,18.0,11.0,102.0,62.0,28.0,20.0,15.0,37.0,64.0,115.0,25.0,68.0,69.0,27.0
4763,1.0,2.0,0.0,3.0,4.0,10.0,6.0,9.0,12.0,5.0,39.0,22.0,29.0,15.0,7.0,8.0,11.0,24.0,165.0,17.0,40.0,21.0,16.0,32.0,18.0,70.0,25.0,19.0,97.0,41.0
4812,0.0,1.0,2.0,3.0,6.0,22.0,7.0,4.0,24.0,17.0,38.0,25.0,60.0,10.0,23.0,29.0,8.0,36.0,82.0,5.0,27.0,9.0,26.0,21.0,30.0,37.0,15.0,19.0,76.0,13.0
4861,0.0,1.0,3.0,2.0,7.0,12.0,6.0,4.0,14.0,35.0,23.0,5.0,15.0,11.0,20.0,19.0,8.0,13.0,105.0,29.0,49.0,9.0,33.0,30.0,46.0,44.0,26.0,47.0,205.0,16.0
