,CES1P1_DEL,CDC73_AMP,MCEE_AMP,CREBBP_MUT,HLA-DRB6_AMP,GSTTP2_DEL,KALRN_MUT,EP300_MUT,ZNF705G_AMP,ZBTB20_AMP,KRTAP9-3_AMP,HLA-DRB1_AMP,ATM_MUT,SLC25A37_AMP,HLA-H_DEL,LGALS9C_DEL,CADM2_DEL,ADAM5_DEL,RABGAP1L_DEL,LOC390705_DEL,POM121L8P_DEL,GSTT1_DEL,PCDH15_MUT,LOC391322_DEL,SORL1_MUT,FMN2_AMP,RBFOX3_DEL,ADAM3A_DEL,NKAIN3_DEL,FLNC_MUT
766,5.0,3.0,9.0,4.0,0.0,17.0,2.0,6.0,15.0,14.0,58.0,8.0,12.0,46.0,29.0,49.0,91.0,35.0,10.0,65.0,23.0,31.0,1.0,30.0,131.0,21.0,147.0,50.0,34.0,25.0
815,6.0,0.0,2.0,18.0,1.0,22.0,3.0,19.0,4.0,8.0,13.0,7.0,16.0,10.0,31.0,586.0,15.0,23.0,34.0,39.0,52.0,83.0,27.0,84.0,33.0,5.0,26.0,40.0,41.0,17.0
864,26.0,8.0,0.0,20.0,4.0,1.0,2.0,61.0,83.0,13.0,35.0,21.0,10.0,160.0,7.0,93.0,75.0,46.0,3.0,12.0,37.0,6.0,14.0,5.0,28.0,32.0,41.0,67.0,36.0,39.0
913,11.0,3.0,10.0,6.0,2.0,15.0,0.0,9.0,35.0,7.0,17.0,14.0,5.0,28.0,4.0,63.0,18.0,36.0,27.0,12.0,20.0,41.0,16.0,42.0,13.0,1.0,34.0,51.0,61.0,24.0
962,4.0,0.0,6.0,8.0,5.0,10.0,9.0,12.0,22.0,13.0,15.0,7.0,54.0,97.0,55.0,141.0,25.0,11.0,3.0,1.0,43.0,66.0,32.0,65.0,24.0,2.0,20.0,19.0,35.0,16.0
1011,73.0,0.0,4.0,3.0,13.0,24.0,26.0,6.0,16.0,7.0,43.0,23.0,56.0,1.0,29.0,12.0,5.0,14.0,86.0,18.0,764.0,358.0,9.0,359.0,10.0,21.0,184.0,20.0,44.0,55.0
1060,434.0,2.0,1.0,8.0,4.0,14.0,15.0,43.0,25.0,49.0,7.0,32.0,223.0,3.0,17.0,24.0,9.0,21.0,82.0,22.0,10590.0,163.0,76.0,162.0,19.0,1187.0,48.0,20.0,16.0,264.0
1109,94.0,5.0,49.0,1.0,4.0,12.0,18.0,16.0,28.0,20.0,43.0,8.0,60.0,3.0,29.0,48.0,11.0,39.0,93.0,45.0,90.0,167.0,21.0,166.0,25.0,19.0,36.0,58.0,27.0,68.0
1158,1261.0,0.0,28.0,10.0,7.0,1.0,42.0,8.0,24.0,63.0,12.0,15.0,163.0,5.0,31.0,40.0,3.0,27.0,13.0,2.0,485.0,17.0,64.0,18.0,19.0,47.0,186.0,34.0,30.0,53.0
1207,22.0,8.0,18.0,21.0,4.0,7.0,32.0,29.0,50.0,2.0,86.0,6.0,240.0,5.0,13.0,26.0,16.0,179.0,37.0,1.0,356.0,66.0,14496.0,67.0,27.0,20.0,110.0,277.0,19.0,152.0
1256,19.0,5.0,11.0,1.0,4.0,9.0,10.0,13.0,48.0,7.0,50.0,20.0,166.0,8.0,39.0,43.0,29.0,40.0,18.0,3.0,96.0,85.0,32.0,84.0,14.0,30.0,82.0,57.0,16.0,31.0
1305,64.0,0.0,23.0,2.0,10.0,5.0,17.0,6.0,25.0,32.0,12.0,16.0,212.0,1.0,9.0,147.0,7.0,3.0,38.0,4.0,249.0,75.0,776.0,74.0,19.0,91.0,48.0,8.0,41.0,94.0
1354,148.0,5.0,12.0,0.0,17.0,6.0,11.0,7.0,9.0,119.0,8.0,31.0,121.0,13.0,21.0,62.0,32.0,15.0,14.0,16.0,154.0,27.0,139.0,28.0,40.0,54.0,153.0,24.0,18.0,44.0
1403,124.0,0.0,6.0,5.0,2.0,11.0,31.0,8.0,15.0,21.0,3.0,4.0,197.0,10.0,23.0,17.0,9.0,39.0,26.0,30.0,69.0,148.0,46.0,149.0,13.0,572.0,295.0,55.0,57.0,66.0
1452,55.0,2.0,4.0,1.0,9.0,3.0,14.0,12.0,8.0,19.0,7.0,27.0,41.0,0.0,116.0,155.0,5.0,44.0,30.0,24.0,153.0,37.0,69.0,38.0,15.0,167.0,32.0,70.0,17.0,63.0
1501,0.0,11.0,1.0,23.0,9.0,4.0,37.0,10.0,13.0,5.0,17.0,32.0,33.0,44.0,16.0,66.0,30.0,3.0,21.0,52.0,81.0,14.0,7.0,15.0,74.0,1496.0,19.0,2.0,8.0,98.0
1550,4.0,0.0,1.0,9.0,10.0,2.0,30.0,19.0,59.0,3.0,21.0,88.0,47.0,110.0,5.0,76.0,15.0,33.0,34.0,8.0,194.0,26.0,6.0,27.0,29.0,19211.0,35.0,41.0,7.0,37.0
1599,1.0,3.0,15.0,12.0,5.0,0.0,186.0,4.0,168.0,7.0,77.0,43.0,103.0,6.0,45.0,86.0,26.0,19.0,423.0,2.0,837.0,9.0,17.0,10.0,29.0,56.0,18.0,30.0,28.0,64.0
1648,3.0,1.0,5.0,12.0,0.0,2.0,25.0,24.0,27.0,7.0,104.0,8.0,21.0,30.0,4.0,20.0,76.0,29.0,87.0,88.0,43.0,10.0,44.0,9.0,123.0,34.0,15.0,50.0,14.0,26.0
1697,0.0,4.0,2.0,9.0,3.0,1.0,6.0,22.0,223.0,8.0,16.0,29.0,23.0,164.0,5.0,118.0,31.0,11.0,144.0,10.0,103.0,12.0,14.0,13.0,41.0,300.0,7.0,20.0,18.0,37.0
1746,0.0,1.0,2.0,20.0,3.0,6.0,67.0,25.0,142.0,8.0,207.0,32.0,61.0,52.0,15.0,71.0,24.0,5.0,21.0,258.0,943.0,13.0,18.0,14.0,54.0,206.0,36.0,7.0,4.0,22.0
1795,0.0,2.0,1.0,18.0,3.0,15.0,22.0,4.0,17.0,25.0,51.0,41.0,44.0,440.0,6.0,86.0,76.0,11.0,35.0,125.0,129.0,118.0,5.0,119.0,8.0,49.0,47.0,21.0,9.0,34.0
1844,2.0,1.0,3.0,169.0,0.0,8.0,22.0,17.0,73.0,5.0,25.0,6.0,217.0,171.0,18.0,47.0,29.0,44.0,54.0,16.0,78.0,12.0,19.0,13.0,10.0,166.0,11.0,57.0,7.0,46.0
1893,3.0,7.0,2.0,43.0,20.0,0.0,13.0,11.0,141.0,6.0,70.0,126.0,16.0,19.0,1.0,90.0,31.0,18.0,129.0,68.0,812.0,4.0,8.0,5.0,39.0,199.0,25.0,26.0,12.0,50.0
1942,2.0,6.0,0.0,34.0,1.0,15.0,20.0,9.0,24.0,11.0,148.0,7.0,25.0,74.0,3.0,52.0,90.0,5.0,16.0,399.0,587.0,42.0,17.0,41.0,49.0,1347.0,50.0,10.0,39.0,40.0
1991,4.0,0.0,6.0,1.0,39.0,92.0,2.0,10.0,8.0,3.0,5.0,47.0,23.0,88.0,95.0,9.0,34.0,71.0,11.0,45.0,12.0,89.0,16.0,90.0,7.0,46.0,28.0,123.0,56.0,59.0
2040,0.0,4.0,6.0,8.0,19.0,43.0,13.0,18.0,12.0,7.0,28.0,117.0,41.0,31.0,90.0,2.0,3.0,10.0,5.0,46.0,17.0,144.0,16.0,145.0,36.0,14.0,20.0,15.0,35.0,78.0
2089,2.0,1.0,10.0,4.0,22.0,21.0,3.0,0.0,13.0,28.0,39.0,49.0,29.0,35.0,160.0,15.0,8.0,12.0,16.0,765.0,14.0,87.0,11.0,86.0,5.0,44.0,105.0,20.0,81.0,40.0
2138,19.0,2.0,0.0,25.0,20.0,21.0,1.0,50.0,12.0,4.0,8.0,39.0,134.0,74.0,18.0,11.0,5.0,29.0,13.0,34.0,10.0,90.0,156.0,91.0,7.0,36.0,28.0,46.0,17.0,100.0
2187,2.0,0.0,25.0,7.0,6.0,31.0,10.0,4.0,1.0,3.0,14.0,19.0,15.0,148.0,34.0,27.0,11.0,69.0,22.0,8.0,16.0,153.0,52.0,152.0,12.0,79.0,20.0,109.0,26.0,143.0
2236,8.0,0.0,1.0,3.0,10.0,7.0,2.0,4.0,20.0,21.0,23.0,24.0,30.0,375.0,154.0,5.0,9.0,17.0,6.0,55.0,19.0,33.0,38.0,34.0,12.0,73.0,65.0,16.0,26.0,82.0
2285,2.0,3.0,5.0,0.0,19.0,7.0,15.0,8.0,24.0,41.0,10.0,14.0,54.0,83.0,28.0,1.0,11.0,16.0,45.0,34.0,90.0,37.0,50.0,38.0,6.0,13.0,68.0,29.0,39.0,70.0
2334,9.0,2.0,3.0,14.0,60.0,5.0,1.0,6.0,16.0,13.0,34.0,158.0,27.0,48.0,12.0,0.0,31.0,44.0,8.0,178.0,4.0,42.0,35.0,43.0,17.0,95.0,32.0,67.0,20.0,18.0
2383,0.0,2.0,5.0,3.0,27.0,24.0,13.0,9.0,16.0,4.0,33.0,66.0,18.0,387.0,20.0,1.0,15.0,269.0,12.0,220.0,6.0,80.0,21.0,79.0,30.0,7.0,28.0,523.0,26.0,166.0
2432,4.0,2.0,11.0,1.0,46.0,30.0,6.0,7.0,5.0,15.0,9.0,67.0,33.0,27.0,22.0,43.0,3.0,114.0,0.0,18.0,29.0,372.0,37.0,373.0,12.0,38.0,20.0,176.0,21.0,58.0
2481,1.0,8.0,20.0,4.0,14.0,16.0,10.0,11.0,0.0,47.0,40.0,15.0,2.0,24.0,50.0,41.0,30.0,13.0,17.0,9.0,58.0,35.0,22.0,34.0,26.0,119.0,25.0,19.0,27.0,31.0
2530,1.0,12.0,17.0,4.0,2.0,37.0,7.0,19.0,6.0,25.0,167.0,3.0,5.0,40.0,43.0,24.0,56.0,29.0,20.0,0.0,32.0,641.0,35.0,642.0,22.0,9.0,30.0,28.0,48.0,27.0
2579,5.0,12.0,7.0,0.0,33.0,2.0,43.0,16.0,4.0,14.0,86.0,35.0,8.0,11.0,20.0,15.0,57.0,1.0,19.0,25.0,13.0,17.0,27.0,18.0,31.0,276.0,89.0,3.0,77.0,30.0
2628,11.0,37.0,3.0,13.0,2.0,18.0,0.0,34.0,4.0,33.0,215.0,1.0,12.0,14.0,92.0,30.0,25.0,7.0,6.0,5.0,26.0,36.0,130.0,35.0,88.0,43.0,53.0,10.0,60.0,58.0
2677,2.0,18.0,7.0,3.0,16.0,10.0,4.0,5.0,0.0,64.0,219.0,15.0,1.0,12.0,23.0,47.0,35.0,19.0,14.0,6.0,17.0,73.0,53.0,74.0,31.0,11.0,39.0,29.0,26.0,27.0
2726,12.0,38.0,32.0,1.0,2.0,7.0,0.0,57.0,6.0,218.0,30.0,3.0,5.0,16.0,58.0,109.0,14.0,37.0,9.0,28.0,18.0,52.0,90.0,51.0,33.0,1120.0,88.0,50.0,67.0,8.0
2775,16.0,9.0,3.0,2.0,10.0,4.0,0.0,23.0,18.0,28.0,121.0,13.0,1.0,125.0,12.0,35.0,19.0,122.0,83.0,31.0,27.0,14.0,21.0,15.0,59.0,56.0,43.0,167.0,32.0,26.0
2824,4.0,5.0,11.0,18.0,3.0,8.0,1.0,9.0,2.0,94.0,36.0,7.0,0.0,12.0,68.0,144.0,26.0,28.0,15.0,50.0,20.0,21.0,10.0,22.0,16.0,145.0,30.0,35.0,48.0,25.0
2873,36.0,18.0,24.0,1.0,10.0,3.0,2.0,4.0,8.0,78.0,119.0,11.0,0.0,12.0,41.0,23.0,22.0,19.0,27.0,9.0,17.0,16.0,21.0,15.0,59.0,55.0,25.0,26.0,38.0,20.0
2922,3.0,12.0,2.0,5.0,32.0,4.0,7.0,51.0,0.0,11.0,52.0,24.0,6.0,9.0,14.0,26.0,46.0,15.0,22.0,18.0,34.0,39.0,28.0,38.0,27.0,2241.0,19.0,21.0,42.0,17.0
2971,0.0,1.0,7.0,15.0,13.0,6.0,35.0,4.0,11.0,3.0,19.0,49.0,5.0,2.0,63.0,501.0,138.0,10.0,60.0,97.0,14.0,26.0,18.0,27.0,42.0,91.0,12.0,21.0,37.0,30.0
3020,0.0,2.0,13.0,4.0,1.0,8.0,5.0,19.0,15.0,21.0,6.0,10.0,3.0,9.0,124.0,199.0,26.0,7.0,12.0,129.0,63.0,135.0,20.0,134.0,32.0,117.0,65.0,17.0,14.0,36.0
3069,0.0,8.0,5.0,11.0,2.0,7.0,10.0,3.0,4.0,17.0,101.0,16.0,1.0,6.0,495.0,475.0,14.0,220.0,22.0,9.0,15.0,38.0,18.0,37.0,19.0,66.0,44.0,496.0,13.0,20.0
3118,0.0,3.0,7.0,13.0,27.0,2.0,25.0,1.0,4.0,12.0,44.0,97.0,10.0,11.0,42.0,393.0,15.0,26.0,39.0,14.0,8.0,6.0,9.0,5.0,20.0,107.0,31.0,45.0,18.0,74.0
3167,0.0,1.0,4.0,19.0,2.0,33.0,8.0,5.0,7.0,9.0,6.0,3.0,16.0,10.0,48.0,91.0,14.0,18.0,13.0,23.0,26.0,129.0,39.0,128.0,11.0,12.0,20.0,24.0,25.0,44.0
3216,0.0,8.0,9.0,18.0,6.0,1.0,21.0,13.0,31.0,12.0,10.0,16.0,4.0,7.0,67.0,50.0,20.0,135.0,14.0,231.0,19.0,3.0,11.0,2.0,15.0,60.0,24.0,136.0,71.0,191.0
3265,0.0,8.0,5.0,4.0,7.0,9.0,59.0,1.0,12.0,160.0,24.0,11.0,6.0,2.0,699.0,15.0,13.0,3.0,18.0,16.0,21.0,71.0,22.0,70.0,50.0,25.0,14.0,10.0,82.0,35.0
3314,0.0,3.0,5.0,20.0,8.0,2.0,19.0,9.0,6.0,74.0,93.0,21.0,7.0,1.0,79.0,355.0,106.0,16.0,4.0,23.0,11.0,13.0,64.0,12.0,61.0,15.0,18.0,26.0,10.0,37.0
3363,0.0,1.0,5.0,6.0,10.0,2.0,12.0,17.0,26.0,64.0,41.0,29.0,3.0,4.0,71.0,74.0,24.0,36.0,27.0,11.0,16.0,8.0,33.0,7.0,53.0,707.0,18.0,61.0,20.0,19.0
3412,0.0,4.0,7.0,8.0,58.0,3.0,6.0,17.0,31.0,5.0,62.0,145.0,2.0,1.0,88.0,65.0,29.0,14.0,20.0,15.0,10.0,12.0,33.0,13.0,44.0,34.0,27.0,24.0,16.0,59.0
3461,1.0,24.0,2.0,3.0,6.0,4.0,0.0,21.0,5.0,84.0,144.0,12.0,25.0,48.0,13.0,8.0,28.0,451.0,118.0,22.0,10.0,19.0,31.0,20.0,43.0,15.0,46.0,989.0,33.0,14.0
3510,0.0,7.0,9.0,3.0,4.0,36.0,5.0,10.0,1.0,35.0,15.0,16.0,25.0,8.0,29.0,2.0,30.0,6.0,14.0,31.0,26.0,185.0,40.0,186.0,73.0,64.0,21.0,11.0,311.0,76.0
3559,0.0,5.0,4.0,1.0,11.0,16.0,3.0,2.0,13.0,130.0,25.0,41.0,12.0,131.0,118.0,7.0,21.0,210.0,37.0,27.0,22.0,53.0,229.0,54.0,79.0,28.0,33.0,448.0,61.0,23.0
3608,0.0,6.0,4.0,2.0,3.0,20.0,1.0,12.0,13.0,11.0,203.0,9.0,7.0,18.0,21.0,8.0,22.0,85.0,104.0,143.0,5.0,62.0,77.0,63.0,38.0,39.0,28.0,121.0,90.0,78.0
3657,0.0,38.0,4.0,3.0,13.0,24.0,1.0,8.0,12.0,85.0,65.0,42.0,5.0,69.0,6.0,11.0,7.0,31.0,45.0,10.0,29.0,96.0,50.0,97.0,66.0,2.0,39.0,52.0,67.0,25.0
3706,0.0,2.0,1.0,4.0,8.0,22.0,5.0,10.0,16.0,354.0,15.0,25.0,64.0,26.0,23.0,18.0,7.0,6.0,58.0,3.0,79.0,43.0,53.0,44.0,38.0,24.0,50.0,12.0,63.0,206.0
3755,0.0,1.0,2.0,40.0,5.0,21.0,3.0,57.0,16.0,11.0,15.0,12.0,17.0,34.0,22.0,6.0,95.0,35.0,7.0,65.0,33.0,30.0,227.0,29.0,173.0,75.0,18.0,63.0,67.0,164.0
3804,0.0,6.0,2.0,7.0,9.0,5.0,1.0,13.0,11.0,738.0,50.0,18.0,3.0,20.0,29.0,16.0,45.0,104.0,4.0,12.0,59.0,24.0,46.0,25.0,53.0,36.0,10.0,182.0,44.0,21.0
3853,1.0,17.0,2.0,5.0,6.0,4.0,0.0,3.0,209.0,411.0,50.0,25.0,16.0,893.0,19.0,9.0,59.0,208.0,70.0,90.0,15.0,8.0,82.0,7.0,65.0,14.0,60.0,381.0,61.0,49.0
3902,0.0,7.0,2.0,6.0,24.0,15.0,1.0,5.0,4.0,321.0,92.0,71.0,17.0,26.0,358.0,3.0,14.0,62.0,38.0,286.0,22.0,49.0,19.0,48.0,16.0,9.0,265.0,63.0,65.0,42.0
3951,13.0,2.0,24.0,1.0,25.0,28.0,7.0,4.0,0.0,12.0,6.0,43.0,31.0,9.0,3.0,10.0,96.0,14.0,30.0,113.0,59.0,21.0,75.0,22.0,67.0,8.0,35.0,15.0,447.0,36.0
4000,5.0,2.0,0.0,13.0,9.0,21.0,16.0,18.0,6.0,17.0,1.0,32.0,24.0,113.0,7.0,11.0,35.0,26.0,70.0,52.0,655.0,43.0,46.0,44.0,53.0,8.0,59.0,27.0,94.0,92.0
4049,0.0,3.0,4.0,2.0,14.0,13.0,11.0,9.0,12.0,6.0,18.0,26.0,16.0,32.0,7.0,1.0,76.0,500.0,2355.0,102.0,59.0,22.0,24.0,23.0,33.0,8.0,75.0,499.0,50.0,36.0
4098,1.0,0.0,5.0,2.0,16.0,11.0,6.0,4.0,15.0,13.0,95.0,72.0,27.0,78.0,18.0,22.0,161.0,895.0,66.0,75.0,193.0,23.0,19.0,24.0,14.0,9.0,37.0,896.0,52.0,30.0
4147,5.0,3.0,8.0,22.0,6.0,4.0,21.0,35.0,2.0,7.0,31.0,20.0,15.0,45.0,0.0,1.0,38.0,182.0,94.0,23.0,58.0,9.0,33.0,10.0,25.0,136.0,56.0,181.0,44.0,54.0
4196,0.0,1.0,7.0,5.0,2.0,3.0,46.0,31.0,18.0,17.0,10.0,13.0,22.0,115.0,4.0,6.0,56.0,71.0,119.0,15.0,66.0,9.0,38.0,8.0,36.0,12.0,23.0,70.0,90.0,67.0
4245,20.0,0.0,3.0,7.0,1.0,18.0,4.0,5.0,12.0,17.0,30.0,6.0,34.0,15.0,8.0,22.0,344.0,51.0,98.0,19.0,86.0,27.0,37.0,26.0,111.0,14.0,25.0,52.0,123.0,80.0
4294,7.0,6.0,0.0,5.0,15.0,4.0,2.0,1.0,14.0,86.0,13.0,54.0,9.0,18.0,3.0,10.0,279.0,41.0,1128.0,8.0,55.0,12.0,45.0,11.0,65.0,17.0,29.0,42.0,56.0,21.0
4343,0.0,1.0,19.0,3.0,4.0,5.0,11.0,6.0,9.0,13.0,7.0,18.0,12.0,24.0,2.0,14.0,899.0,32.0,442.0,50.0,46.0,15.0,8.0,16.0,36.0,25.0,35.0,33.0,137.0,38.0
4392,6.0,2.0,3.0,4.0,17.0,7.0,12.0,23.0,5.0,59.0,26.0,60.0,20.0,110.0,0.0,1.0,364.0,25.0,221.0,44.0,52.0,14.0,62.0,13.0,39.0,51.0,19.0,24.0,71.0,81.0
4441,6.0,7.0,5.0,17.0,1.0,36.0,41.0,11.0,38.0,0.0,3.0,2.0,166.0,59.0,138.0,28.0,40.0,4.0,33.0,94.0,76.0,45.0,263.0,46.0,31.0,292.0,25.0,8.0,21.0,75.0
4490,5.0,1.0,0.0,13.0,17.0,26.0,4.0,2.0,14.0,7.0,9.0,12.0,30.0,66.0,53.0,11.0,90.0,3.0,33.0,19.0,16.0,22.0,24.0,23.0,35.0,54.0,31.0,8.0,32.0,10.0
4539,3.0,0.0,2.0,5.0,4.0,28.0,67.0,8.0,13.0,1.0,14.0,7.0,9.0,173.0,68.0,34.0,32.0,126.0,35.0,56.0,16.0,17.0,20.0,18.0,10.0,41.0,61.0,222.0,52.0,45.0
4588,0.0,3.0,5.0,1.0,2.0,52.0,15.0,8.0,6.0,7.0,4.0,9.0,79.0,60.0,151.0,24.0,32.0,22.0,11.0,39.0,12.0,96.0,58.0,95.0,21.0,31.0,68.0,30.0,17.0,45.0
4637,3.0,8.0,0.0,1.0,33.0,13.0,22.0,4.0,39.0,6.0,2.0,72.0,21.0,37.0,224.0,7.0,16.0,10.0,222.0,15.0,49.0,18.0,40.0,19.0,65.0,60.0,43.0,17.0,5.0,52.0
4686,1.0,3.0,10.0,4.0,15.0,34.0,9.0,5.0,0.0,2.0,7.0,29.0,64.0,40.0,809.0,49.0,46.0,37.0,20.0,8.0,32.0,30.0,28.0,31.0,17.0,33.0,27.0,38.0,16.0,19.0
4735,1.0,2.0,5.0,6.0,4.0,31.0,32.0,11.0,49.0,0.0,17.0,9.0,84.0,28.0,7.0,63.0,19.0,13.0,21.0,15.0,22.0,54.0,72.0,55.0,43.0,3.0,33.0,25.0,37.0,68.0
4784,0.0,3.0,1.0,4.0,5.0,12.0,8.0,6.0,19.0,2.0,14.0,13.0,97.0,11.0,64.0,9.0,42.0,24.0,28.0,10.0,16.0,36.0,33.0,37.0,27.0,21.0,38.0,43.0,23.0,41.0
4833,3.0,6.0,7.0,5.0,19.0,8.0,28.0,22.0,9.0,4.0,17.0,33.0,34.0,2.0,101.0,21.0,79.0,0.0,12.0,11.0,43.0,25.0,16.0,26.0,41.0,38.0,49.0,1.0,88.0,36.0
4882,0.0,2.0,4.0,3.0,6.0,16.0,24.0,13.0,18.0,14.0,5.0,8.0,74.0,40.0,499.0,19.0,59.0,21.0,35.0,10.0,47.0,75.0,108.0,76.0,27.0,44.0,20.0,31.0,17.0,23.0
