,GABA,pantothenate,beta-alanine,niacinamide,adenosine,DHAP/glyceraldehyde 3P,valerylcarnitine,cis/trans-hydroxyproline,inosine,putrescine,alpha-glycerophosphocholine,C16:0 LPE,homocysteine,C18:0 LPC,creatine,N-carbamoyl-beta-alanine,C18:0 LPE,carnitine,SDMA/ADMA,cotinine,creatinine,serotonin,5-HIAA,glutamine,C22:6 LPC,C22:6 LPE,C22:6 CE,hypoxanthine,2-deoxyadenosine,cytidine
514,0.0,1.0,2.0,7.0,9.0,4.0,8.0,12.0,6.0,3.0,13.0,27.0,5.0,11.0,20.0,18.0,16.0,26.0,17.0,23.0,47.0,52.0,28.0,45.0,22.0,21.0,25.0,10.0,49.0,15.0
563,1.0,0.0,7.0,6.0,5.0,3.0,8.0,2.0,11.0,4.0,19.0,27.0,9.0,14.0,28.0,22.0,13.0,18.0,23.0,20.0,16.0,26.0,17.0,30.0,25.0,24.0,31.0,10.0,21.0,33.0
612,0.0,1.0,2.0,3.0,4.0,7.0,8.0,9.0,11.0,5.0,20.0,15.0,10.0,25.0,19.0,40.0,16.0,12.0,22.0,41.0,18.0,24.0,46.0,51.0,14.0,17.0,23.0,6.0,48.0,28.0
661,1.0,0.0,7.0,5.0,6.0,2.0,8.0,3.0,10.0,4.0,13.0,33.0,26.0,37.0,19.0,17.0,15.0,11.0,18.0,42.0,20.0,21.0,22.0,24.0,55.0,47.0,28.0,9.0,53.0,30.0
710,1.0,0.0,4.0,7.0,5.0,3.0,23.0,10.0,8.0,2.0,24.0,26.0,9.0,18.0,17.0,13.0,42.0,44.0,45.0,21.0,19.0,14.0,47.0,16.0,46.0,35.0,28.0,6.0,20.0,31.0
759,0.0,1.0,3.0,4.0,2.0,7.0,8.0,9.0,10.0,5.0,18.0,20.0,11.0,43.0,17.0,47.0,15.0,12.0,19.0,24.0,16.0,21.0,22.0,26.0,46.0,14.0,28.0,6.0,52.0,30.0
808,0.0,1.0,6.0,3.0,10.0,8.0,5.0,4.0,7.0,2.0,19.0,22.0,27.0,11.0,18.0,45.0,13.0,20.0,21.0,25.0,17.0,46.0,23.0,44.0,47.0,16.0,29.0,9.0,26.0,31.0
857,1.0,4.0,0.0,3.0,5.0,9.0,6.0,7.0,12.0,2.0,13.0,22.0,14.0,8.0,20.0,19.0,18.0,24.0,25.0,23.0,21.0,15.0,16.0,26.0,48.0,28.0,29.0,10.0,47.0,31.0
906,2.0,0.0,5.0,6.0,10.0,8.0,9.0,3.0,4.0,1.0,12.0,35.0,24.0,19.0,13.0,21.0,33.0,11.0,49.0,41.0,18.0,22.0,17.0,15.0,16.0,34.0,26.0,7.0,44.0,28.0
955,0.0,1.0,5.0,3.0,8.0,6.0,4.0,7.0,9.0,2.0,14.0,20.0,16.0,18.0,15.0,13.0,21.0,17.0,12.0,25.0,43.0,11.0,10.0,29.0,19.0,22.0,24.0,42.0,51.0,38.0
1004,0.0,1.0,3.0,4.0,10.0,2.0,9.0,5.0,8.0,6.0,7.0,22.0,18.0,11.0,20.0,19.0,13.0,36.0,24.0,23.0,21.0,14.0,15.0,16.0,51.0,53.0,28.0,12.0,50.0,30.0
1053,0.0,1.0,3.0,2.0,4.0,10.0,5.0,7.0,6.0,9.0,12.0,36.0,25.0,14.0,19.0,23.0,33.0,8.0,15.0,42.0,20.0,18.0,48.0,22.0,51.0,31.0,27.0,32.0,24.0,11.0
1102,1.0,0.0,2.0,4.0,7.0,5.0,3.0,6.0,32.0,25.0,12.0,22.0,28.0,11.0,19.0,26.0,20.0,8.0,16.0,23.0,21.0,15.0,17.0,33.0,24.0,46.0,41.0,9.0,45.0,10.0
1151,2.0,0.0,3.0,1.0,5.0,10.0,6.0,4.0,9.0,11.0,16.0,25.0,27.0,7.0,13.0,22.0,14.0,8.0,21.0,44.0,26.0,19.0,18.0,37.0,17.0,53.0,29.0,12.0,24.0,31.0
1200,0.0,1.0,4.0,3.0,5.0,10.0,9.0,6.0,31.0,12.0,13.0,14.0,17.0,11.0,21.0,18.0,24.0,2.0,20.0,33.0,47.0,19.0,22.0,16.0,55.0,41.0,26.0,8.0,51.0,7.0
1249,2.0,1.0,0.0,3.0,4.0,6.0,12.0,5.0,10.0,7.0,18.0,11.0,27.0,34.0,16.0,20.0,22.0,8.0,21.0,19.0,15.0,23.0,24.0,13.0,48.0,25.0,29.0,14.0,45.0,9.0
1298,5.0,0.0,3.0,2.0,21.0,1.0,11.0,9.0,6.0,4.0,19.0,8.0,16.0,15.0,7.0,17.0,13.0,22.0,23.0,25.0,20.0,39.0,61.0,18.0,26.0,50.0,27.0,12.0,54.0,10.0
1347,1.0,5.0,2.0,0.0,11.0,4.0,10.0,3.0,37.0,6.0,25.0,24.0,17.0,7.0,9.0,8.0,14.0,12.0,16.0,22.0,19.0,15.0,27.0,26.0,49.0,58.0,29.0,13.0,18.0,30.0
1396,3.0,0.0,2.0,1.0,8.0,4.0,7.0,5.0,33.0,10.0,24.0,22.0,25.0,9.0,21.0,20.0,13.0,6.0,18.0,23.0,53.0,17.0,16.0,14.0,57.0,42.0,43.0,32.0,19.0,11.0
1445,0.0,1.0,2.0,3.0,5.0,7.0,13.0,4.0,8.0,14.0,12.0,24.0,31.0,10.0,23.0,27.0,36.0,6.0,28.0,19.0,22.0,30.0,55.0,40.0,47.0,38.0,42.0,9.0,20.0,18.0
1494,4.0,0.0,1.0,13.0,5.0,3.0,49.0,6.0,2.0,7.0,8.0,22.0,18.0,10.0,27.0,26.0,19.0,25.0,16.0,24.0,21.0,17.0,15.0,11.0,23.0,14.0,30.0,36.0,52.0,9.0
1543,4.0,0.0,3.0,18.0,2.0,1.0,26.0,10.0,5.0,25.0,9.0,23.0,7.0,47.0,11.0,17.0,21.0,6.0,16.0,12.0,20.0,13.0,24.0,29.0,49.0,27.0,14.0,36.0,22.0,31.0
1592,3.0,0.0,4.0,18.0,5.0,1.0,8.0,6.0,2.0,10.0,12.0,41.0,9.0,22.0,15.0,20.0,7.0,40.0,21.0,17.0,14.0,24.0,25.0,35.0,51.0,19.0,48.0,13.0,49.0,23.0
1641,3.0,1.0,0.0,21.0,4.0,2.0,9.0,13.0,5.0,6.0,12.0,16.0,11.0,15.0,20.0,22.0,17.0,27.0,48.0,10.0,50.0,25.0,26.0,14.0,49.0,53.0,24.0,36.0,18.0,31.0
1690,5.0,0.0,2.0,25.0,3.0,1.0,28.0,7.0,4.0,8.0,6.0,22.0,11.0,12.0,19.0,17.0,21.0,24.0,15.0,10.0,18.0,16.0,13.0,26.0,23.0,51.0,29.0,35.0,57.0,9.0
1739,3.0,0.0,1.0,17.0,4.0,2.0,22.0,5.0,6.0,47.0,7.0,13.0,16.0,8.0,19.0,23.0,26.0,45.0,15.0,10.0,20.0,52.0,12.0,18.0,14.0,42.0,27.0,34.0,51.0,9.0
1788,0.0,4.0,3.0,6.0,1.0,2.0,24.0,10.0,5.0,7.0,12.0,22.0,27.0,13.0,19.0,14.0,9.0,23.0,17.0,21.0,18.0,16.0,51.0,35.0,48.0,50.0,29.0,33.0,20.0,11.0
1837,4.0,0.0,1.0,17.0,3.0,2.0,23.0,6.0,5.0,8.0,12.0,27.0,29.0,26.0,7.0,16.0,13.0,21.0,15.0,28.0,18.0,22.0,38.0,42.0,47.0,48.0,14.0,36.0,20.0,9.0
1886,2.0,1.0,3.0,9.0,4.0,0.0,22.0,8.0,5.0,10.0,6.0,23.0,11.0,25.0,16.0,15.0,20.0,21.0,14.0,19.0,45.0,13.0,12.0,26.0,51.0,54.0,28.0,37.0,18.0,30.0
1935,0.0,1.0,4.0,24.0,5.0,3.0,23.0,6.0,2.0,27.0,11.0,26.0,10.0,17.0,19.0,8.0,39.0,47.0,16.0,21.0,20.0,14.0,15.0,18.0,13.0,56.0,28.0,7.0,44.0,9.0
1984,2.0,0.0,1.0,11.0,26.0,4.0,9.0,8.0,3.0,5.0,18.0,7.0,33.0,22.0,15.0,10.0,42.0,20.0,31.0,23.0,27.0,34.0,44.0,6.0,24.0,40.0,21.0,46.0,25.0,30.0
2033,0.0,5.0,3.0,4.0,8.0,6.0,1.0,10.0,2.0,14.0,9.0,11.0,29.0,22.0,21.0,13.0,20.0,27.0,46.0,25.0,23.0,26.0,30.0,15.0,18.0,19.0,50.0,47.0,24.0,16.0
2082,1.0,0.0,2.0,4.0,11.0,6.0,3.0,9.0,5.0,14.0,8.0,13.0,30.0,24.0,18.0,22.0,21.0,17.0,23.0,26.0,29.0,25.0,28.0,10.0,27.0,19.0,43.0,33.0,20.0,16.0
2131,1.0,8.0,4.0,3.0,7.0,5.0,6.0,9.0,0.0,2.0,11.0,27.0,31.0,25.0,17.0,22.0,19.0,24.0,21.0,30.0,29.0,34.0,32.0,13.0,26.0,51.0,45.0,33.0,18.0,15.0
2180,2.0,0.0,1.0,4.0,11.0,7.0,3.0,9.0,5.0,24.0,10.0,16.0,34.0,25.0,17.0,18.0,27.0,21.0,33.0,22.0,19.0,35.0,46.0,48.0,26.0,28.0,56.0,38.0,32.0,12.0
2229,1.0,0.0,2.0,5.0,8.0,3.0,6.0,7.0,4.0,11.0,19.0,9.0,29.0,23.0,28.0,24.0,13.0,26.0,45.0,22.0,21.0,27.0,18.0,17.0,20.0,38.0,39.0,16.0,25.0,42.0
2278,0.0,1.0,2.0,4.0,8.0,6.0,5.0,9.0,3.0,11.0,19.0,13.0,33.0,17.0,28.0,21.0,14.0,23.0,32.0,15.0,27.0,34.0,35.0,10.0,22.0,29.0,45.0,44.0,26.0,25.0
2327,3.0,0.0,6.0,1.0,10.0,14.0,5.0,11.0,4.0,2.0,20.0,13.0,31.0,28.0,22.0,19.0,24.0,15.0,18.0,25.0,29.0,16.0,32.0,41.0,26.0,21.0,27.0,43.0,23.0,30.0
2376,0.0,1.0,2.0,4.0,12.0,6.0,3.0,7.0,5.0,15.0,20.0,10.0,21.0,17.0,29.0,19.0,31.0,25.0,18.0,24.0,22.0,41.0,32.0,11.0,28.0,27.0,33.0,8.0,23.0,36.0
2425,1.0,3.0,0.0,5.0,27.0,4.0,12.0,10.0,2.0,16.0,15.0,13.0,30.0,25.0,28.0,11.0,24.0,19.0,23.0,29.0,26.0,22.0,34.0,6.0,20.0,31.0,47.0,9.0,21.0,33.0
2474,0.0,1.0,2.0,5.0,6.0,3.0,27.0,12.0,7.0,4.0,9.0,13.0,29.0,8.0,23.0,16.0,19.0,17.0,54.0,20.0,47.0,26.0,21.0,10.0,52.0,22.0,18.0,46.0,48.0,15.0
2523,0.0,1.0,2.0,4.0,5.0,9.0,23.0,27.0,12.0,3.0,25.0,6.0,11.0,24.0,18.0,7.0,19.0,22.0,15.0,20.0,41.0,17.0,16.0,35.0,54.0,37.0,29.0,34.0,47.0,30.0
2572,0.0,1.0,2.0,17.0,4.0,5.0,7.0,28.0,3.0,6.0,8.0,9.0,18.0,24.0,19.0,11.0,25.0,23.0,48.0,21.0,46.0,15.0,16.0,12.0,50.0,20.0,30.0,35.0,27.0,13.0
2621,1.0,3.0,0.0,2.0,4.0,15.0,14.0,24.0,31.0,5.0,19.0,11.0,7.0,17.0,26.0,20.0,28.0,39.0,43.0,13.0,54.0,22.0,23.0,8.0,57.0,61.0,55.0,30.0,47.0,12.0
2670,0.0,2.0,1.0,3.0,7.0,12.0,33.0,15.0,4.0,5.0,9.0,6.0,14.0,10.0,20.0,19.0,18.0,23.0,24.0,22.0,49.0,16.0,17.0,13.0,57.0,54.0,45.0,27.0,21.0,29.0
2719,1.0,0.0,2.0,3.0,5.0,8.0,28.0,15.0,7.0,4.0,26.0,19.0,17.0,21.0,20.0,9.0,29.0,24.0,44.0,22.0,54.0,16.0,14.0,11.0,41.0,55.0,30.0,13.0,45.0,36.0
2768,0.0,1.0,2.0,3.0,6.0,9.0,14.0,5.0,16.0,4.0,23.0,12.0,30.0,28.0,22.0,8.0,25.0,18.0,27.0,19.0,21.0,29.0,32.0,13.0,54.0,56.0,47.0,34.0,46.0,17.0
2817,0.0,1.0,2.0,5.0,3.0,7.0,21.0,27.0,4.0,8.0,16.0,9.0,10.0,12.0,25.0,13.0,24.0,20.0,14.0,17.0,47.0,43.0,15.0,32.0,23.0,18.0,46.0,29.0,44.0,34.0
2866,0.0,4.0,1.0,2.0,3.0,12.0,24.0,35.0,13.0,5.0,16.0,8.0,10.0,39.0,18.0,11.0,25.0,23.0,15.0,21.0,19.0,27.0,28.0,29.0,58.0,47.0,26.0,14.0,20.0,6.0
2915,0.0,1.0,3.0,2.0,5.0,4.0,11.0,13.0,9.0,6.0,25.0,21.0,17.0,22.0,18.0,8.0,19.0,23.0,24.0,20.0,47.0,10.0,15.0,12.0,57.0,53.0,46.0,35.0,42.0,29.0
2964,0.0,5.0,2.0,4.0,3.0,1.0,9.0,8.0,6.0,11.0,15.0,22.0,13.0,40.0,16.0,30.0,24.0,10.0,31.0,12.0,28.0,34.0,35.0,17.0,33.0,26.0,48.0,29.0,45.0,14.0
3013,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,13.0,14.0,9.0,10.0,28.0,11.0,19.0,12.0,21.0,20.0,17.0,26.0,22.0,23.0,27.0,24.0,18.0,29.0,42.0,52.0,36.0
3062,0.0,1.0,2.0,7.0,5.0,4.0,6.0,3.0,15.0,11.0,17.0,13.0,10.0,26.0,9.0,16.0,31.0,23.0,30.0,21.0,19.0,29.0,36.0,41.0,27.0,46.0,18.0,45.0,20.0,8.0
3111,1.0,2.0,0.0,3.0,5.0,6.0,11.0,4.0,9.0,8.0,12.0,14.0,7.0,27.0,20.0,18.0,29.0,13.0,17.0,22.0,28.0,15.0,24.0,31.0,21.0,23.0,16.0,33.0,52.0,41.0
3160,0.0,2.0,1.0,3.0,5.0,7.0,6.0,9.0,11.0,4.0,13.0,10.0,8.0,18.0,17.0,45.0,38.0,16.0,41.0,33.0,22.0,14.0,15.0,19.0,23.0,37.0,26.0,34.0,46.0,29.0
3209,1.0,2.0,0.0,3.0,4.0,6.0,8.0,7.0,10.0,9.0,15.0,11.0,5.0,26.0,29.0,24.0,22.0,23.0,25.0,27.0,28.0,18.0,38.0,44.0,19.0,20.0,32.0,36.0,54.0,12.0
3258,1.0,2.0,0.0,5.0,4.0,18.0,8.0,3.0,6.0,10.0,12.0,7.0,13.0,30.0,9.0,15.0,40.0,11.0,22.0,29.0,24.0,45.0,32.0,35.0,25.0,20.0,28.0,39.0,48.0,17.0
3307,0.0,2.0,1.0,3.0,4.0,6.0,5.0,11.0,9.0,12.0,15.0,7.0,10.0,28.0,20.0,19.0,24.0,26.0,18.0,13.0,21.0,38.0,32.0,42.0,27.0,23.0,46.0,30.0,29.0,8.0
3356,2.0,3.0,0.0,5.0,6.0,4.0,1.0,8.0,35.0,9.0,25.0,10.0,12.0,23.0,17.0,15.0,18.0,24.0,11.0,21.0,19.0,16.0,13.0,26.0,22.0,28.0,29.0,34.0,20.0,7.0
3405,2.0,1.0,0.0,3.0,9.0,4.0,10.0,6.0,7.0,12.0,22.0,21.0,13.0,43.0,8.0,24.0,26.0,14.0,25.0,44.0,19.0,30.0,29.0,32.0,17.0,45.0,35.0,15.0,52.0,5.0
3454,3.0,2.0,0.0,1.0,6.0,7.0,8.0,4.0,11.0,9.0,10.0,15.0,27.0,13.0,22.0,26.0,5.0,21.0,20.0,25.0,23.0,19.0,18.0,29.0,17.0,41.0,49.0,16.0,24.0,14.0
3503,0.0,5.0,3.0,2.0,9.0,1.0,4.0,22.0,6.0,11.0,7.0,17.0,26.0,14.0,13.0,48.0,8.0,44.0,25.0,20.0,19.0,21.0,47.0,12.0,18.0,38.0,28.0,36.0,45.0,30.0
3552,0.0,6.0,1.0,2.0,3.0,11.0,4.0,5.0,10.0,20.0,16.0,15.0,18.0,17.0,12.0,27.0,9.0,30.0,28.0,21.0,22.0,34.0,47.0,42.0,24.0,25.0,50.0,8.0,29.0,19.0
3601,1.0,6.0,3.0,0.0,2.0,5.0,4.0,10.0,8.0,9.0,13.0,12.0,11.0,14.0,27.0,20.0,7.0,40.0,19.0,26.0,22.0,16.0,55.0,30.0,41.0,21.0,25.0,28.0,24.0,18.0
3650,0.0,4.0,1.0,5.0,6.0,2.0,3.0,7.0,8.0,11.0,24.0,13.0,19.0,16.0,15.0,49.0,9.0,23.0,42.0,22.0,25.0,45.0,47.0,18.0,46.0,30.0,38.0,14.0,21.0,34.0
3699,0.0,1.0,2.0,3.0,4.0,8.0,5.0,28.0,12.0,27.0,10.0,9.0,13.0,11.0,21.0,48.0,6.0,19.0,25.0,17.0,20.0,16.0,51.0,45.0,23.0,53.0,50.0,47.0,18.0,35.0
3748,4.0,2.0,0.0,6.0,10.0,9.0,3.0,1.0,7.0,14.0,8.0,12.0,18.0,16.0,22.0,47.0,5.0,21.0,19.0,27.0,23.0,25.0,17.0,26.0,39.0,36.0,29.0,43.0,24.0,15.0
3797,0.0,4.0,1.0,2.0,5.0,10.0,6.0,15.0,3.0,16.0,9.0,12.0,31.0,27.0,11.0,19.0,8.0,24.0,18.0,21.0,29.0,37.0,32.0,43.0,28.0,26.0,20.0,7.0,23.0,41.0
3846,0.0,5.0,1.0,4.0,3.0,6.0,2.0,8.0,10.0,23.0,17.0,7.0,29.0,15.0,9.0,47.0,27.0,24.0,21.0,18.0,19.0,25.0,20.0,30.0,28.0,43.0,51.0,11.0,26.0,14.0
3895,0.0,2.0,1.0,7.0,3.0,6.0,21.0,9.0,33.0,12.0,11.0,8.0,28.0,5.0,13.0,17.0,4.0,20.0,14.0,19.0,26.0,15.0,16.0,34.0,23.0,24.0,53.0,32.0,47.0,35.0
3944,2.0,0.0,1.0,3.0,5.0,4.0,8.0,7.0,11.0,10.0,9.0,27.0,29.0,26.0,19.0,17.0,21.0,23.0,16.0,22.0,48.0,14.0,24.0,12.0,46.0,25.0,15.0,36.0,20.0,6.0
3993,3.0,0.0,1.0,4.0,2.0,8.0,6.0,5.0,36.0,10.0,7.0,9.0,17.0,19.0,13.0,12.0,21.0,27.0,14.0,26.0,15.0,16.0,18.0,29.0,20.0,22.0,25.0,11.0,49.0,31.0
4042,2.0,1.0,0.0,3.0,5.0,10.0,4.0,18.0,14.0,11.0,8.0,13.0,30.0,20.0,9.0,19.0,23.0,16.0,26.0,46.0,21.0,41.0,45.0,7.0,22.0,24.0,28.0,36.0,50.0,17.0
4091,3.0,1.0,0.0,6.0,4.0,8.0,7.0,2.0,14.0,22.0,10.0,13.0,28.0,5.0,19.0,16.0,25.0,9.0,18.0,21.0,27.0,50.0,60.0,11.0,46.0,26.0,24.0,15.0,48.0,12.0
4140,0.0,1.0,2.0,6.0,3.0,9.0,4.0,11.0,8.0,16.0,7.0,5.0,10.0,13.0,29.0,23.0,20.0,15.0,24.0,17.0,19.0,27.0,14.0,31.0,48.0,28.0,26.0,12.0,52.0,33.0
4189,2.0,1.0,0.0,5.0,3.0,7.0,6.0,4.0,9.0,8.0,10.0,12.0,30.0,11.0,19.0,17.0,15.0,23.0,54.0,21.0,20.0,37.0,32.0,46.0,28.0,27.0,18.0,35.0,22.0,42.0
4238,1.0,4.0,0.0,5.0,2.0,3.0,6.0,7.0,10.0,25.0,9.0,8.0,16.0,18.0,13.0,12.0,20.0,26.0,45.0,11.0,14.0,17.0,53.0,31.0,19.0,21.0,24.0,36.0,15.0,34.0
4287,2.0,1.0,0.0,5.0,3.0,6.0,9.0,4.0,7.0,19.0,11.0,12.0,29.0,26.0,17.0,16.0,8.0,22.0,15.0,20.0,18.0,23.0,52.0,43.0,27.0,13.0,14.0,33.0,47.0,37.0
4336,2.0,1.0,0.0,5.0,4.0,6.0,14.0,8.0,12.0,11.0,7.0,3.0,29.0,23.0,21.0,19.0,28.0,9.0,18.0,26.0,24.0,47.0,27.0,13.0,25.0,20.0,16.0,10.0,53.0,41.0
4385,4.0,1.0,0.0,6.0,3.0,2.0,5.0,7.0,8.0,26.0,18.0,25.0,11.0,9.0,20.0,16.0,24.0,27.0,15.0,12.0,21.0,30.0,37.0,43.0,48.0,23.0,28.0,29.0,45.0,31.0
4434,1.0,0.0,3.0,5.0,6.0,2.0,4.0,42.0,8.0,18.0,15.0,23.0,17.0,21.0,13.0,53.0,11.0,19.0,50.0,27.0,14.0,20.0,28.0,31.0,22.0,51.0,26.0,10.0,46.0,9.0
4483,0.0,1.0,4.0,6.0,3.0,2.0,11.0,8.0,7.0,30.0,21.0,28.0,18.0,16.0,12.0,23.0,9.0,14.0,24.0,27.0,32.0,15.0,26.0,38.0,35.0,43.0,22.0,19.0,20.0,13.0
4532,1.0,0.0,2.0,5.0,3.0,4.0,7.0,6.0,10.0,17.0,12.0,22.0,16.0,20.0,15.0,46.0,9.0,19.0,50.0,18.0,25.0,13.0,14.0,26.0,21.0,44.0,49.0,30.0,42.0,36.0
4581,0.0,1.0,3.0,5.0,12.0,2.0,4.0,6.0,8.0,28.0,7.0,11.0,29.0,25.0,20.0,46.0,9.0,17.0,23.0,15.0,19.0,27.0,14.0,31.0,48.0,21.0,26.0,41.0,16.0,33.0
4630,1.0,0.0,3.0,11.0,6.0,2.0,4.0,10.0,39.0,27.0,8.0,28.0,29.0,24.0,22.0,19.0,17.0,20.0,18.0,44.0,23.0,13.0,25.0,31.0,21.0,49.0,14.0,12.0,26.0,33.0
4679,0.0,1.0,2.0,14.0,4.0,3.0,6.0,7.0,31.0,20.0,8.0,24.0,17.0,22.0,25.0,40.0,5.0,21.0,45.0,19.0,26.0,11.0,15.0,10.0,23.0,44.0,61.0,29.0,18.0,35.0
4728,0.0,1.0,2.0,10.0,5.0,4.0,3.0,8.0,9.0,23.0,16.0,12.0,17.0,6.0,20.0,52.0,7.0,21.0,19.0,22.0,29.0,30.0,37.0,33.0,24.0,25.0,28.0,14.0,11.0,40.0
4777,1.0,0.0,2.0,7.0,5.0,3.0,4.0,9.0,10.0,24.0,26.0,8.0,19.0,13.0,20.0,51.0,6.0,25.0,17.0,23.0,27.0,18.0,21.0,29.0,55.0,36.0,30.0,15.0,22.0,11.0
4826,0.0,1.0,2.0,9.0,4.0,5.0,3.0,6.0,8.0,22.0,7.0,28.0,30.0,27.0,16.0,61.0,26.0,24.0,45.0,21.0,17.0,23.0,37.0,43.0,19.0,48.0,14.0,12.0,20.0,33.0
4875,0.0,1.0,3.0,7.0,2.0,5.0,4.0,10.0,9.0,43.0,6.0,11.0,28.0,18.0,27.0,52.0,16.0,22.0,19.0,17.0,20.0,23.0,24.0,14.0,26.0,40.0,30.0,15.0,25.0,12.0
