,hsa-miR-105,hsa-miR-1248,hsa-miR-34a,hsa-miR-541,hsa-miR-148a,hsa-miR-888,hsa-miR-206,hsa-miR-1236,hsa-miR-26a,hsa-miR-136,hsa-miR-223,hsa-miR-616,hsa-miR-877,hsa-miR-142-5p,hsa-miR-1262,hsa-miR-1256,hsa-miR-190,hsa-miR-652,hsa-miR-609,hsa-miR-323-5p,hsa-miR-513a-3p,hsa-miR-553,hsa-miR-623,hsa-miR-143,hsa-miR-375,hsa-miR-550,hsa-miR-412,hsa-miR-924,hsa-miR-103,hsa-miR-1297
2710,1.0,2.0,0.0,4.0,85.0,3.0,5.0,17.0,6.0,37.0,32.0,8.0,30.0,12.0,31.0,75.0,38.0,66.0,94.0,13.0,26.0,20.0,131.0,60.0,10.0,11.0,229.0,36.0,23.0,39.0
2759,1.0,11.0,13.0,10.0,4.0,5.0,25.0,0.0,17.0,30.0,15.0,34.0,41.0,2.0,12.0,7.0,69.0,47.0,6.0,27.0,29.0,3.0,22.0,60.0,20.0,14.0,141.0,32.0,21.0,87.0
2808,2.0,6.0,17.0,3.0,4.0,0.0,18.0,12.0,5.0,23.0,28.0,35.0,46.0,21.0,34.0,10.0,11.0,33.0,22.0,9.0,31.0,19.0,43.0,32.0,29.0,8.0,231.0,71.0,37.0,61.0
2857,0.0,3.0,12.0,7.0,2.0,18.0,32.0,6.0,5.0,59.0,16.0,13.0,61.0,8.0,9.0,21.0,27.0,26.0,33.0,28.0,23.0,11.0,20.0,17.0,4.0,1.0,157.0,15.0,41.0,46.0
2906,0.0,1.0,3.0,8.0,7.0,2.0,17.0,67.0,20.0,62.0,12.0,14.0,100.0,6.0,38.0,4.0,69.0,28.0,54.0,10.0,40.0,5.0,29.0,9.0,16.0,74.0,34.0,65.0,33.0,64.0
2955,2.0,9.0,13.0,0.0,1.0,3.0,7.0,16.0,41.0,18.0,31.0,53.0,25.0,4.0,12.0,19.0,21.0,47.0,61.0,48.0,6.0,28.0,23.0,32.0,57.0,14.0,34.0,114.0,36.0,39.0
3004,5.0,7.0,59.0,0.0,1.0,2.0,3.0,23.0,10.0,21.0,16.0,53.0,69.0,24.0,15.0,11.0,76.0,58.0,22.0,39.0,8.0,33.0,13.0,43.0,132.0,9.0,36.0,41.0,18.0,19.0
3053,8.0,29.0,1.0,0.0,3.0,4.0,6.0,28.0,26.0,141.0,19.0,16.0,14.0,37.0,18.0,40.0,20.0,12.0,108.0,74.0,7.0,32.0,17.0,39.0,57.0,21.0,24.0,72.0,34.0,33.0
3102,2.0,8.0,41.0,0.0,1.0,5.0,10.0,63.0,20.0,19.0,33.0,65.0,17.0,14.0,62.0,27.0,23.0,58.0,67.0,34.0,6.0,35.0,24.0,108.0,110.0,4.0,28.0,115.0,22.0,38.0
3151,5.0,9.0,1.0,12.0,7.0,8.0,4.0,54.0,78.0,44.0,97.0,3.0,22.0,11.0,19.0,31.0,10.0,155.0,222.0,72.0,6.0,21.0,16.0,29.0,57.0,0.0,23.0,163.0,39.0,56.0
3200,5.0,3.0,4.0,0.0,1.0,2.0,8.0,9.0,19.0,56.0,63.0,10.0,21.0,17.0,14.0,24.0,95.0,42.0,20.0,18.0,15.0,37.0,6.0,93.0,68.0,77.0,11.0,177.0,30.0,31.0
3249,7.0,1.0,2.0,0.0,3.0,6.0,4.0,8.0,63.0,20.0,36.0,12.0,11.0,10.0,41.0,43.0,72.0,34.0,61.0,27.0,5.0,24.0,17.0,79.0,80.0,28.0,23.0,129.0,53.0,56.0
3298,3.0,5.0,10.0,0.0,11.0,1.0,2.0,16.0,13.0,17.0,78.0,4.0,12.0,23.0,67.0,109.0,90.0,37.0,69.0,79.0,8.0,18.0,19.0,31.0,40.0,15.0,9.0,20.0,134.0,36.0
3347,2.0,11.0,7.0,1.0,0.0,4.0,3.0,13.0,5.0,16.0,48.0,6.0,22.0,24.0,8.0,9.0,63.0,31.0,30.0,76.0,10.0,20.0,66.0,115.0,162.0,51.0,37.0,292.0,28.0,19.0
