,oxalate,GABA,C16:0 LPE,niacinamide,C22:6 LPE,cotinine,3-phosphoglycerate,adenosine,pyroglutamic acid,5-HIAA,serotonin,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,sarcosine,C34:4 PC,beta-alanine,C18:0 LPC,2-deoxyadenosine,alpha-glycerophosphate,C18:0 LPE,isocitrate,C22:6 LPC,malondialdehyde,C36:1 DAG,UMP,inositol,1-methylnicotinamide,pantothenate,dCMP,inosine
2281,3.0,10.0,0.0,1.0,4.0,18.0,19.0,27.0,17.0,13.0,9.0,60.0,30.0,14.0,7.0,40.0,25.0,8.0,22.0,6.0,43.0,38.0,56.0,11.0,2.0,16.0,12.0,50.0,45.0,48.0
2330,0.0,1.0,7.0,16.0,6.0,11.0,13.0,8.0,19.0,4.0,14.0,15.0,47.0,20.0,5.0,37.0,21.0,62.0,2.0,40.0,29.0,38.0,50.0,23.0,58.0,3.0,48.0,61.0,30.0,28.0
2379,2.0,7.0,1.0,6.0,3.0,28.0,4.0,23.0,17.0,0.0,61.0,12.0,15.0,19.0,36.0,38.0,21.0,9.0,20.0,8.0,45.0,22.0,56.0,10.0,53.0,65.0,34.0,30.0,48.0,32.0
2428,10.0,6.0,24.0,4.0,13.0,3.0,2.0,8.0,33.0,7.0,1.0,20.0,40.0,26.0,0.0,36.0,35.0,12.0,16.0,11.0,17.0,27.0,22.0,14.0,28.0,29.0,34.0,53.0,47.0,15.0
2477,53.0,12.0,0.0,14.0,36.0,1.0,22.0,18.0,17.0,64.0,6.0,20.0,11.0,9.0,27.0,7.0,35.0,19.0,24.0,33.0,47.0,43.0,59.0,41.0,54.0,58.0,5.0,30.0,2.0,31.0
2526,31.0,64.0,37.0,6.0,33.0,21.0,22.0,8.0,1.0,63.0,3.0,13.0,14.0,18.0,4.0,19.0,0.0,17.0,34.0,36.0,48.0,41.0,59.0,26.0,35.0,58.0,40.0,32.0,24.0,53.0
2575,5.0,2.0,24.0,0.0,29.0,17.0,43.0,10.0,7.0,4.0,14.0,60.0,35.0,18.0,6.0,42.0,1.0,31.0,45.0,21.0,22.0,40.0,65.0,36.0,8.0,12.0,39.0,28.0,9.0,25.0
2624,46.0,10.0,20.0,5.0,0.0,8.0,19.0,18.0,4.0,63.0,7.0,6.0,14.0,37.0,1.0,3.0,2.0,35.0,21.0,30.0,22.0,32.0,57.0,33.0,49.0,56.0,38.0,47.0,25.0,28.0
2673,28.0,60.0,0.0,10.0,34.0,4.0,22.0,18.0,15.0,2.0,3.0,6.0,12.0,1.0,35.0,39.0,19.0,11.0,9.0,27.0,24.0,21.0,20.0,26.0,31.0,55.0,14.0,33.0,8.0,51.0
2722,0.0,2.0,3.0,7.0,43.0,25.0,13.0,20.0,65.0,9.0,22.0,15.0,19.0,10.0,34.0,14.0,23.0,21.0,26.0,44.0,4.0,30.0,58.0,38.0,8.0,57.0,36.0,32.0,48.0,51.0
2771,1.0,14.0,2.0,5.0,41.0,3.0,46.0,18.0,0.0,20.0,15.0,7.0,38.0,10.0,8.0,43.0,11.0,4.0,24.0,21.0,26.0,44.0,58.0,39.0,28.0,65.0,56.0,30.0,49.0,9.0
2820,7.0,60.0,6.0,3.0,27.0,17.0,8.0,0.0,2.0,11.0,5.0,20.0,35.0,16.0,4.0,18.0,31.0,54.0,10.0,26.0,24.0,40.0,19.0,37.0,53.0,12.0,33.0,51.0,32.0,28.0
2869,0.0,53.0,20.0,17.0,22.0,1.0,8.0,19.0,21.0,23.0,2.0,3.0,57.0,24.0,11.0,7.0,25.0,5.0,44.0,39.0,43.0,12.0,31.0,13.0,30.0,55.0,6.0,29.0,10.0,32.0
2918,5.0,17.0,7.0,0.0,3.0,32.0,24.0,18.0,55.0,15.0,16.0,20.0,23.0,2.0,1.0,42.0,13.0,64.0,8.0,26.0,47.0,12.0,56.0,40.0,37.0,6.0,39.0,4.0,9.0,51.0
2967,3.0,6.0,30.0,9.0,5.0,21.0,0.0,1.0,10.0,12.0,61.0,19.0,20.0,42.0,26.0,7.0,34.0,44.0,45.0,36.0,23.0,22.0,16.0,38.0,52.0,17.0,40.0,2.0,24.0,51.0
3016,8.0,12.0,26.0,16.0,11.0,4.0,0.0,1.0,15.0,13.0,2.0,14.0,18.0,29.0,35.0,21.0,27.0,24.0,19.0,34.0,43.0,32.0,59.0,38.0,3.0,58.0,30.0,25.0,46.0,51.0
3065,29.0,7.0,1.0,14.0,6.0,15.0,0.0,4.0,48.0,52.0,12.0,13.0,9.0,19.0,5.0,35.0,36.0,3.0,40.0,21.0,39.0,20.0,26.0,43.0,2.0,25.0,17.0,11.0,37.0,64.0
3114,25.0,17.0,8.0,63.0,2.0,4.0,0.0,1.0,5.0,6.0,18.0,16.0,19.0,40.0,3.0,42.0,7.0,11.0,12.0,31.0,45.0,10.0,57.0,34.0,9.0,56.0,37.0,26.0,28.0,22.0
3163,16.0,5.0,13.0,17.0,1.0,3.0,0.0,10.0,20.0,6.0,21.0,62.0,9.0,24.0,14.0,11.0,32.0,30.0,18.0,28.0,43.0,26.0,8.0,39.0,2.0,58.0,35.0,25.0,46.0,51.0
3212,2.0,10.0,39.0,62.0,22.0,65.0,3.0,1.0,43.0,9.0,14.0,61.0,12.0,37.0,5.0,38.0,36.0,13.0,30.0,20.0,46.0,18.0,16.0,29.0,0.0,58.0,33.0,23.0,49.0,51.0
3261,1.0,14.0,30.0,64.0,9.0,24.0,2.0,4.0,25.0,0.0,13.0,15.0,12.0,44.0,8.0,26.0,28.0,21.0,3.0,31.0,27.0,29.0,23.0,43.0,7.0,34.0,6.0,10.0,49.0,33.0
3310,2.0,18.0,24.0,5.0,1.0,4.0,3.0,9.0,16.0,7.0,19.0,62.0,39.0,8.0,26.0,34.0,31.0,65.0,10.0,28.0,15.0,40.0,58.0,11.0,29.0,57.0,36.0,50.0,46.0,25.0
3359,9.0,18.0,6.0,62.0,7.0,1.0,10.0,26.0,0.0,20.0,5.0,60.0,4.0,24.0,32.0,22.0,37.0,44.0,11.0,28.0,45.0,42.0,23.0,33.0,25.0,31.0,2.0,8.0,19.0,13.0
3408,26.0,9.0,5.0,1.0,20.0,64.0,0.0,6.0,10.0,24.0,54.0,4.0,14.0,16.0,21.0,17.0,7.0,12.0,35.0,19.0,46.0,18.0,53.0,41.0,8.0,34.0,23.0,27.0,47.0,43.0
3457,1.0,15.0,8.0,5.0,0.0,4.0,14.0,21.0,18.0,20.0,9.0,16.0,2.0,3.0,11.0,28.0,41.0,65.0,44.0,10.0,25.0,38.0,57.0,6.0,26.0,19.0,40.0,51.0,32.0,49.0
3506,0.0,14.0,12.0,4.0,10.0,1.0,2.0,16.0,5.0,24.0,13.0,3.0,19.0,20.0,8.0,21.0,22.0,62.0,33.0,9.0,11.0,17.0,52.0,38.0,48.0,6.0,66.0,27.0,36.0,41.0
3555,4.0,1.0,9.0,20.0,40.0,5.0,0.0,2.0,6.0,23.0,14.0,21.0,8.0,7.0,10.0,11.0,12.0,17.0,26.0,16.0,29.0,15.0,48.0,43.0,27.0,28.0,56.0,3.0,32.0,33.0
