,CORO2A,TSTD1,C1orf186,SLFN13,FZD6,AKR1E2,SYTL1,ZBED6CL,PLAGL1,ZNF185,OCIAD2,GALNT14,CASP10,PRSS16,MLK4,HNF1B,RAB3D,RP11-390F4.3,ADRB2,STXBP2,ELOVL7,RP11-973H7.3,XDH,ZDHHC12,EVPL,TNK1,TBC1D2,B3GNT4,S100A2,DENND2C
2215,0.0,4.0,8.0,1.0,2.0,65.0,55.0,3.0,42.0,96.0,7.0,114.0,5.0,30.0,51.0,52.0,63.0,21.0,43.0,28.0,15.0,71.0,165.0,70.0,13.0,24.0,18.0,100.0,39.0,20.0
2264,0.0,5.0,7.0,1.0,8.0,92.0,14.0,4.0,11.0,21.0,40.0,34.0,9.0,35.0,6.0,26.0,17.0,98.0,80.0,20.0,33.0,117.0,339.0,29.0,39.0,109.0,16.0,42.0,50.0,409.0
2313,0.0,1.0,3.0,5.0,2.0,106.0,17.0,35.0,33.0,40.0,26.0,308.0,8.0,6.0,7.0,31.0,49.0,48.0,172.0,16.0,9.0,138.0,111.0,98.0,34.0,64.0,30.0,19.0,55.0,36.0
2362,0.0,4.0,13.0,2.0,3.0,67.0,11.0,1.0,61.0,66.0,14.0,115.0,12.0,26.0,59.0,99.0,65.0,22.0,24.0,10.0,28.0,78.0,218.0,64.0,25.0,39.0,15.0,20.0,55.0,31.0
2411,0.0,2.0,13.0,1.0,5.0,8.0,3.0,4.0,19.0,97.0,21.0,124.0,9.0,22.0,48.0,79.0,47.0,23.0,64.0,7.0,30.0,71.0,185.0,40.0,6.0,81.0,15.0,77.0,261.0,18.0
2460,0.0,5.0,21.0,8.0,10.0,4.0,14.0,25.0,32.0,1.0,24.0,31.0,28.0,7.0,3.0,2.0,58.0,20.0,244.0,86.0,23.0,27.0,99.0,9.0,47.0,22.0,36.0,33.0,500.0,59.0
2509,5.0,19.0,7.0,3.0,6.0,1.0,4.0,37.0,36.0,2.0,29.0,0.0,13.0,10.0,21.0,51.0,160.0,41.0,182.0,84.0,30.0,93.0,27.0,39.0,23.0,69.0,147.0,68.0,300.0,56.0
2558,0.0,4.0,5.0,72.0,19.0,31.0,1.0,638.0,8.0,2.0,203.0,9.0,28.0,14.0,7.0,18.0,42.0,41.0,189.0,81.0,17.0,53.0,46.0,20.0,57.0,98.0,37.0,49.0,252.0,13.0
2607,2.0,4.0,3.0,10.0,26.0,22.0,1.0,29.0,18.0,0.0,60.0,19.0,14.0,6.0,21.0,20.0,37.0,8.0,165.0,124.0,25.0,33.0,9.0,12.0,32.0,54.0,97.0,24.0,679.0,34.0
2656,10.0,3.0,9.0,34.0,17.0,1.0,0.0,35.0,69.0,12.0,46.0,16.0,25.0,14.0,13.0,26.0,32.0,100.0,588.0,93.0,23.0,43.0,45.0,36.0,19.0,54.0,109.0,148.0,772.0,84.0
2705,0.0,4.0,3.0,15.0,6.0,11.0,23.0,17.0,7.0,2.0,146.0,22.0,10.0,41.0,1.0,13.0,105.0,38.0,194.0,52.0,24.0,48.0,215.0,8.0,27.0,37.0,42.0,35.0,315.0,74.0
2754,6.0,10.0,0.0,4.0,13.0,5.0,3.0,22.0,17.0,1.0,19.0,2.0,75.0,15.0,7.0,8.0,131.0,47.0,166.0,268.0,36.0,40.0,33.0,56.0,45.0,90.0,62.0,86.0,361.0,134.0
2803,0.0,6.0,4.0,9.0,48.0,24.0,1.0,19.0,8.0,2.0,49.0,21.0,15.0,16.0,5.0,14.0,63.0,31.0,22.0,153.0,17.0,73.0,72.0,56.0,43.0,50.0,40.0,29.0,401.0,394.0
2852,2.0,1.0,6.0,3.0,11.0,23.0,7.0,39.0,28.0,4.0,16.0,8.0,9.0,12.0,10.0,18.0,37.0,41.0,513.0,126.0,54.0,47.0,26.0,15.0,25.0,55.0,86.0,72.0,230.0,38.0
2901,2.0,3.0,0.0,22.0,32.0,1.0,4.0,17.0,108.0,5.0,18.0,33.0,13.0,9.0,8.0,14.0,132.0,15.0,55.0,512.0,7.0,30.0,69.0,52.0,94.0,80.0,134.0,25.0,157.0,20.0
2950,0.0,2.0,3.0,17.0,6.0,24.0,12.0,30.0,1.0,8.0,55.0,39.0,14.0,19.0,4.0,5.0,11.0,25.0,21.0,75.0,7.0,27.0,37.0,22.0,51.0,64.0,65.0,10.0,29.0,48.0
2999,1.0,5.0,2.0,241.0,7.0,27.0,63.0,88.0,0.0,23.0,41.0,17.0,25.0,18.0,3.0,8.0,35.0,12.0,38.0,80.0,28.0,34.0,20.0,45.0,69.0,93.0,183.0,39.0,11.0,40.0
3048,1.0,2.0,4.0,51.0,5.0,148.0,22.0,24.0,0.0,103.0,61.0,11.0,30.0,10.0,8.0,3.0,18.0,19.0,43.0,21.0,7.0,27.0,102.0,13.0,200.0,55.0,75.0,6.0,15.0,67.0
3097,0.0,2.0,3.0,17.0,13.0,18.0,11.0,124.0,1.0,6.0,139.0,8.0,20.0,14.0,5.0,7.0,9.0,43.0,89.0,83.0,12.0,31.0,16.0,15.0,27.0,32.0,82.0,19.0,24.0,51.0
3146,1.0,11.0,3.0,10.0,5.0,25.0,9.0,120.0,0.0,18.0,64.0,14.0,20.0,91.0,8.0,21.0,35.0,34.0,22.0,54.0,6.0,23.0,15.0,37.0,70.0,47.0,83.0,19.0,16.0,24.0
3195,1.0,2.0,3.0,25.0,8.0,16.0,26.0,45.0,0.0,14.0,20.0,32.0,15.0,21.0,4.0,6.0,12.0,24.0,34.0,57.0,5.0,44.0,18.0,27.0,41.0,89.0,115.0,9.0,29.0,28.0
3244,0.0,2.0,8.0,27.0,3.0,32.0,29.0,38.0,1.0,19.0,28.0,34.0,21.0,45.0,5.0,6.0,18.0,4.0,110.0,62.0,7.0,31.0,26.0,17.0,96.0,54.0,61.0,20.0,68.0,112.0
3293,0.0,2.0,4.0,32.0,9.0,15.0,5.0,29.0,1.0,33.0,26.0,10.0,25.0,30.0,11.0,8.0,47.0,3.0,34.0,54.0,23.0,103.0,35.0,76.0,31.0,60.0,163.0,7.0,24.0,22.0
3342,0.0,2.0,3.0,13.0,6.0,26.0,16.0,31.0,1.0,12.0,203.0,47.0,10.0,17.0,9.0,11.0,19.0,14.0,58.0,68.0,4.0,51.0,32.0,42.0,36.0,49.0,65.0,30.0,22.0,176.0
3391,5.0,1.0,2.0,24.0,25.0,57.0,17.0,195.0,0.0,20.0,75.0,22.0,14.0,29.0,8.0,3.0,71.0,10.0,107.0,163.0,6.0,19.0,21.0,11.0,95.0,55.0,237.0,23.0,33.0,31.0
