,VAV1,Akt_pS473,Chk1_pS345,alpha-Catenin,Chk1,Stathmin,Claudin-7,HER3,Heregulin,SF2,YAP_pS127,Bax,Transglutaminase,Lck,p62 Lck ligand,VHL,MAPK_pT202_Y204,beta-Catenin,CD49b,Raptor,MSH6,Beclin,G6PD,ACC_pS79,RAD51,GATA3,XBP1,Chk2,GSK3_pS9,Bcl-2
931,6.0,2.0,3.0,10.0,34.0,15.0,23.0,4.0,25.0,24.0,0.0,27.0,1.0,107.0,33.0,16.0,8.0,116.0,28.0,18.0,50.0,36.0,86.0,37.0,19.0,22.0,158.0,9.0,41.0,43.0
980,0.0,4.0,48.0,6.0,3.0,1.0,86.0,11.0,2.0,66.0,22.0,53.0,77.0,75.0,32.0,60.0,12.0,7.0,17.0,16.0,35.0,150.0,8.0,29.0,40.0,5.0,39.0,26.0,47.0,38.0
1029,1.0,0.0,8.0,2.0,4.0,6.0,12.0,18.0,3.0,17.0,40.0,23.0,74.0,42.0,14.0,5.0,31.0,44.0,41.0,80.0,28.0,82.0,11.0,87.0,9.0,37.0,19.0,94.0,50.0,24.0
1078,1.0,3.0,46.0,6.0,11.0,2.0,15.0,24.0,0.0,40.0,41.0,34.0,69.0,16.0,65.0,8.0,19.0,33.0,14.0,5.0,51.0,63.0,4.0,37.0,26.0,13.0,25.0,12.0,82.0,47.0
1127,0.0,1.0,9.0,8.0,2.0,3.0,19.0,15.0,4.0,10.0,12.0,20.0,17.0,38.0,18.0,35.0,37.0,27.0,7.0,13.0,6.0,81.0,24.0,44.0,96.0,5.0,23.0,68.0,45.0,88.0
1176,1.0,0.0,14.0,46.0,2.0,3.0,4.0,25.0,15.0,9.0,5.0,69.0,30.0,107.0,23.0,20.0,80.0,98.0,41.0,75.0,21.0,38.0,86.0,12.0,79.0,7.0,6.0,24.0,11.0,59.0
1225,0.0,1.0,6.0,20.0,4.0,11.0,15.0,30.0,3.0,17.0,38.0,39.0,52.0,10.0,21.0,23.0,9.0,35.0,16.0,75.0,5.0,58.0,47.0,34.0,134.0,19.0,18.0,28.0,2.0,126.0
1274,1.0,2.0,27.0,3.0,9.0,12.0,21.0,11.0,0.0,17.0,31.0,39.0,34.0,14.0,19.0,87.0,7.0,61.0,50.0,16.0,49.0,30.0,26.0,13.0,82.0,35.0,4.0,20.0,8.0,70.0
1323,0.0,1.0,58.0,18.0,46.0,2.0,8.0,23.0,3.0,64.0,16.0,38.0,14.0,29.0,39.0,4.0,15.0,36.0,37.0,32.0,9.0,27.0,7.0,110.0,52.0,12.0,28.0,13.0,5.0,51.0
1372,1.0,0.0,20.0,7.0,5.0,2.0,6.0,11.0,4.0,107.0,3.0,25.0,22.0,40.0,28.0,12.0,8.0,30.0,59.0,48.0,110.0,96.0,103.0,32.0,44.0,45.0,26.0,72.0,18.0,85.0
1421,2.0,0.0,17.0,3.0,4.0,1.0,10.0,13.0,6.0,49.0,22.0,8.0,88.0,74.0,9.0,35.0,76.0,15.0,93.0,73.0,29.0,114.0,28.0,34.0,45.0,18.0,89.0,21.0,5.0,44.0
1470,3.0,1.0,10.0,31.0,0.0,21.0,29.0,6.0,7.0,19.0,37.0,57.0,12.0,24.0,50.0,5.0,49.0,18.0,22.0,42.0,40.0,17.0,20.0,15.0,2.0,25.0,102.0,11.0,55.0,88.0
1519,1.0,0.0,29.0,69.0,14.0,24.0,16.0,13.0,9.0,44.0,12.0,2.0,50.0,5.0,22.0,18.0,33.0,3.0,15.0,130.0,57.0,17.0,19.0,28.0,7.0,38.0,53.0,97.0,39.0,99.0
1568,3.0,1.0,14.0,90.0,0.0,30.0,2.0,32.0,10.0,38.0,4.0,5.0,33.0,6.0,15.0,7.0,27.0,118.0,36.0,58.0,74.0,13.0,8.0,72.0,18.0,9.0,43.0,73.0,20.0,16.0
1617,0.0,2.0,3.0,77.0,17.0,15.0,4.0,1.0,27.0,44.0,14.0,11.0,7.0,45.0,19.0,10.0,5.0,23.0,6.0,87.0,21.0,24.0,83.0,30.0,8.0,36.0,115.0,58.0,50.0,29.0
1666,2.0,0.0,9.0,54.0,112.0,36.0,4.0,3.0,5.0,27.0,14.0,1.0,26.0,38.0,19.0,99.0,16.0,31.0,32.0,93.0,20.0,29.0,102.0,17.0,10.0,40.0,34.0,6.0,45.0,13.0
1715,0.0,1.0,24.0,122.0,5.0,76.0,3.0,8.0,14.0,35.0,2.0,16.0,12.0,18.0,106.0,45.0,6.0,23.0,7.0,41.0,82.0,10.0,32.0,13.0,4.0,51.0,19.0,77.0,44.0,22.0
1764,14.0,2.0,3.0,5.0,0.0,18.0,24.0,11.0,7.0,4.0,1.0,6.0,15.0,59.0,44.0,20.0,50.0,8.0,22.0,37.0,69.0,34.0,27.0,60.0,39.0,13.0,19.0,95.0,126.0,94.0
1813,6.0,3.0,2.0,160.0,0.0,12.0,50.0,9.0,19.0,14.0,18.0,1.0,16.0,108.0,5.0,62.0,7.0,17.0,76.0,8.0,21.0,137.0,4.0,10.0,24.0,25.0,85.0,64.0,70.0,44.0
1862,2.0,1.0,3.0,31.0,0.0,5.0,12.0,14.0,9.0,20.0,7.0,22.0,6.0,73.0,13.0,19.0,29.0,50.0,18.0,56.0,23.0,88.0,4.0,27.0,15.0,87.0,41.0,74.0,17.0,40.0
1911,5.0,0.0,9.0,18.0,100.0,3.0,11.0,20.0,21.0,2.0,6.0,12.0,1.0,56.0,8.0,42.0,103.0,34.0,14.0,48.0,144.0,27.0,10.0,4.0,87.0,32.0,35.0,81.0,45.0,61.0
1960,0.0,1.0,2.0,6.0,5.0,23.0,10.0,11.0,137.0,3.0,85.0,51.0,21.0,12.0,13.0,78.0,22.0,28.0,33.0,19.0,40.0,92.0,4.0,35.0,136.0,24.0,57.0,16.0,17.0,34.0
2009,4.0,2.0,0.0,5.0,1.0,26.0,8.0,3.0,33.0,6.0,17.0,18.0,28.0,65.0,25.0,35.0,50.0,20.0,7.0,97.0,47.0,156.0,10.0,30.0,32.0,15.0,81.0,11.0,27.0,115.0
2058,0.0,1.0,2.0,7.0,6.0,3.0,14.0,9.0,71.0,5.0,15.0,48.0,12.0,8.0,22.0,140.0,11.0,26.0,4.0,31.0,20.0,115.0,54.0,27.0,21.0,36.0,117.0,25.0,34.0,29.0
2107,7.0,0.0,1.0,12.0,4.0,31.0,10.0,5.0,34.0,2.0,50.0,64.0,9.0,11.0,37.0,69.0,20.0,54.0,56.0,18.0,14.0,59.0,24.0,15.0,33.0,16.0,53.0,135.0,105.0,61.0
2156,1.0,0.0,6.0,48.0,4.0,49.0,44.0,16.0,162.0,2.0,118.0,46.0,7.0,15.0,17.0,111.0,5.0,78.0,28.0,10.0,19.0,130.0,35.0,42.0,103.0,30.0,39.0,64.0,23.0,71.0
2205,0.0,1.0,4.0,51.0,7.0,17.0,3.0,32.0,59.0,8.0,20.0,102.0,11.0,6.0,10.0,164.0,2.0,21.0,58.0,9.0,34.0,22.0,14.0,61.0,46.0,35.0,97.0,63.0,76.0,42.0
2254,1.0,0.0,2.0,103.0,85.0,6.0,11.0,38.0,143.0,13.0,66.0,111.0,4.0,3.0,68.0,44.0,17.0,76.0,14.0,5.0,91.0,58.0,15.0,24.0,50.0,77.0,39.0,12.0,29.0,30.0
2303,1.0,0.0,31.0,21.0,3.0,8.0,23.0,68.0,41.0,37.0,19.0,10.0,12.0,84.0,30.0,129.0,2.0,66.0,36.0,49.0,14.0,92.0,28.0,7.0,26.0,13.0,35.0,70.0,5.0,82.0
2352,1.0,0.0,2.0,14.0,25.0,6.0,3.0,106.0,121.0,26.0,89.0,131.0,7.0,39.0,76.0,20.0,67.0,11.0,16.0,32.0,63.0,61.0,9.0,90.0,113.0,38.0,80.0,27.0,12.0,28.0
2401,1.0,0.0,2.0,12.0,3.0,11.0,40.0,41.0,151.0,7.0,29.0,30.0,8.0,53.0,15.0,52.0,120.0,13.0,17.0,6.0,117.0,10.0,26.0,43.0,85.0,35.0,27.0,60.0,24.0,14.0
2450,4.0,2.0,1.0,0.0,12.0,14.0,6.0,5.0,65.0,52.0,22.0,13.0,28.0,36.0,10.0,9.0,35.0,7.0,3.0,20.0,107.0,24.0,37.0,71.0,33.0,50.0,55.0,98.0,31.0,47.0
2499,7.0,1.0,8.0,0.0,11.0,55.0,4.0,2.0,16.0,64.0,87.0,19.0,35.0,32.0,127.0,10.0,12.0,14.0,5.0,34.0,48.0,51.0,6.0,24.0,45.0,95.0,40.0,37.0,105.0,28.0
2548,8.0,3.0,0.0,11.0,1.0,7.0,4.0,12.0,46.0,6.0,53.0,2.0,33.0,29.0,16.0,18.0,68.0,9.0,35.0,73.0,20.0,37.0,5.0,38.0,89.0,31.0,159.0,23.0,26.0,103.0
2597,4.0,1.0,0.0,6.0,5.0,60.0,27.0,8.0,79.0,2.0,63.0,3.0,7.0,25.0,56.0,10.0,22.0,67.0,24.0,30.0,50.0,61.0,11.0,14.0,21.0,36.0,12.0,65.0,126.0,19.0
2646,9.0,0.0,1.0,2.0,3.0,35.0,41.0,4.0,109.0,18.0,30.0,14.0,6.0,67.0,23.0,13.0,8.0,86.0,21.0,103.0,5.0,31.0,7.0,22.0,59.0,84.0,38.0,49.0,158.0,76.0
2695,1.0,0.0,3.0,11.0,4.0,16.0,10.0,9.0,6.0,12.0,84.0,22.0,23.0,20.0,15.0,14.0,25.0,30.0,47.0,76.0,29.0,49.0,5.0,8.0,59.0,103.0,100.0,7.0,34.0,19.0
2744,18.0,1.0,0.0,4.0,8.0,6.0,7.0,3.0,44.0,9.0,30.0,149.0,50.0,39.0,10.0,27.0,63.0,5.0,2.0,113.0,15.0,107.0,24.0,36.0,51.0,54.0,136.0,86.0,17.0,72.0
2793,5.0,0.0,6.0,1.0,20.0,11.0,4.0,2.0,14.0,7.0,19.0,16.0,25.0,49.0,33.0,3.0,36.0,8.0,18.0,152.0,26.0,80.0,50.0,13.0,54.0,27.0,56.0,75.0,39.0,59.0
2842,20.0,7.0,1.0,4.0,5.0,12.0,10.0,0.0,37.0,3.0,14.0,58.0,29.0,41.0,15.0,8.0,6.0,2.0,9.0,34.0,11.0,87.0,43.0,67.0,27.0,59.0,85.0,16.0,23.0,79.0
2891,11.0,0.0,4.0,7.0,95.0,34.0,17.0,1.0,27.0,8.0,6.0,16.0,20.0,12.0,9.0,31.0,135.0,15.0,10.0,29.0,3.0,33.0,5.0,26.0,80.0,69.0,23.0,2.0,129.0,18.0
2940,0.0,12.0,2.0,1.0,6.0,9.0,3.0,15.0,4.0,74.0,7.0,10.0,21.0,11.0,32.0,68.0,16.0,5.0,17.0,8.0,19.0,20.0,51.0,138.0,28.0,13.0,14.0,90.0,160.0,110.0
2989,12.0,5.0,14.0,48.0,1.0,3.0,2.0,9.0,4.0,26.0,6.0,7.0,21.0,22.0,154.0,53.0,8.0,0.0,46.0,17.0,10.0,13.0,15.0,131.0,25.0,74.0,68.0,33.0,40.0,110.0
3038,0.0,1.0,38.0,8.0,16.0,67.0,2.0,29.0,42.0,44.0,10.0,5.0,21.0,9.0,14.0,18.0,4.0,6.0,20.0,28.0,58.0,7.0,78.0,103.0,13.0,56.0,3.0,22.0,48.0,97.0
3087,2.0,3.0,10.0,51.0,57.0,4.0,0.0,8.0,17.0,33.0,6.0,11.0,35.0,16.0,23.0,95.0,26.0,1.0,41.0,7.0,25.0,5.0,117.0,106.0,9.0,73.0,15.0,45.0,138.0,14.0
3136,3.0,0.0,6.0,47.0,21.0,17.0,2.0,19.0,7.0,16.0,18.0,9.0,27.0,8.0,33.0,54.0,5.0,4.0,72.0,26.0,12.0,1.0,61.0,109.0,15.0,90.0,11.0,31.0,71.0,48.0
3185,0.0,3.0,2.0,36.0,33.0,1.0,6.0,28.0,9.0,15.0,21.0,47.0,22.0,7.0,86.0,8.0,13.0,4.0,109.0,32.0,30.0,5.0,42.0,69.0,62.0,64.0,11.0,17.0,60.0,39.0
3234,3.0,6.0,17.0,0.0,5.0,1.0,10.0,69.0,8.0,24.0,7.0,16.0,29.0,28.0,31.0,45.0,38.0,2.0,103.0,20.0,11.0,21.0,74.0,111.0,27.0,51.0,4.0,88.0,67.0,14.0
3283,1.0,6.0,3.0,18.0,5.0,0.0,11.0,16.0,7.0,4.0,9.0,25.0,110.0,2.0,85.0,31.0,27.0,10.0,59.0,12.0,33.0,14.0,60.0,79.0,24.0,128.0,8.0,77.0,35.0,15.0
3332,1.0,0.0,2.0,16.0,28.0,7.0,4.0,29.0,13.0,26.0,23.0,10.0,52.0,11.0,55.0,51.0,5.0,9.0,71.0,8.0,19.0,6.0,42.0,88.0,12.0,126.0,3.0,134.0,105.0,21.0
3381,0.0,1.0,16.0,38.0,49.0,7.0,12.0,32.0,8.0,17.0,11.0,13.0,10.0,18.0,6.0,162.0,3.0,2.0,25.0,22.0,27.0,62.0,72.0,164.0,4.0,24.0,5.0,53.0,55.0,42.0
3430,0.0,16.0,9.0,1.0,26.0,3.0,6.0,12.0,18.0,2.0,13.0,71.0,31.0,8.0,139.0,60.0,30.0,17.0,14.0,21.0,53.0,5.0,40.0,4.0,29.0,105.0,39.0,69.0,35.0,10.0
3479,0.0,6.0,15.0,5.0,1.0,10.0,3.0,52.0,20.0,16.0,108.0,96.0,11.0,9.0,17.0,13.0,51.0,105.0,14.0,19.0,18.0,67.0,114.0,7.0,4.0,54.0,30.0,42.0,40.0,35.0
3528,0.0,1.0,11.0,30.0,10.0,21.0,3.0,5.0,24.0,36.0,89.0,154.0,7.0,45.0,73.0,23.0,20.0,15.0,19.0,63.0,65.0,8.0,96.0,6.0,17.0,49.0,13.0,42.0,39.0,4.0
3577,7.0,5.0,28.0,12.0,13.0,8.0,2.0,10.0,36.0,24.0,46.0,14.0,16.0,121.0,17.0,4.0,30.0,40.0,9.0,15.0,1.0,6.0,123.0,56.0,3.0,51.0,0.0,93.0,42.0,87.0
3626,1.0,5.0,0.0,12.0,7.0,3.0,82.0,139.0,2.0,34.0,55.0,19.0,17.0,11.0,29.0,6.0,8.0,41.0,25.0,46.0,37.0,15.0,76.0,10.0,23.0,50.0,36.0,31.0,14.0,65.0
3675,2.0,7.0,20.0,0.0,1.0,13.0,9.0,68.0,6.0,4.0,99.0,31.0,43.0,5.0,22.0,23.0,14.0,50.0,35.0,16.0,29.0,24.0,75.0,17.0,3.0,27.0,19.0,32.0,10.0,15.0
3724,1.0,5.0,4.0,2.0,15.0,8.0,3.0,18.0,13.0,44.0,146.0,33.0,38.0,25.0,36.0,50.0,17.0,30.0,110.0,7.0,24.0,23.0,114.0,31.0,0.0,10.0,16.0,27.0,40.0,55.0
3773,0.0,2.0,5.0,12.0,4.0,6.0,3.0,39.0,1.0,25.0,92.0,60.0,20.0,44.0,31.0,46.0,10.0,14.0,82.0,21.0,15.0,16.0,80.0,36.0,9.0,13.0,27.0,18.0,8.0,26.0
3822,0.0,10.0,2.0,9.0,7.0,18.0,1.0,42.0,14.0,8.0,73.0,35.0,15.0,6.0,12.0,32.0,4.0,38.0,93.0,16.0,54.0,3.0,84.0,43.0,5.0,51.0,30.0,11.0,47.0,24.0
3871,0.0,1.0,5.0,2.0,11.0,3.0,8.0,7.0,29.0,17.0,36.0,31.0,12.0,9.0,70.0,6.0,94.0,13.0,53.0,10.0,69.0,43.0,18.0,14.0,106.0,16.0,21.0,58.0,33.0,40.0
3920,0.0,1.0,31.0,6.0,11.0,35.0,22.0,12.0,13.0,7.0,2.0,3.0,17.0,8.0,89.0,18.0,39.0,30.0,14.0,16.0,105.0,5.0,70.0,42.0,41.0,40.0,47.0,23.0,98.0,96.0
3969,0.0,3.0,2.0,1.0,37.0,10.0,19.0,8.0,32.0,5.0,14.0,21.0,4.0,80.0,13.0,101.0,23.0,15.0,93.0,17.0,20.0,36.0,64.0,9.0,47.0,6.0,18.0,138.0,74.0,7.0
4018,0.0,1.0,2.0,15.0,63.0,31.0,9.0,5.0,4.0,6.0,30.0,7.0,8.0,3.0,57.0,51.0,28.0,49.0,14.0,23.0,16.0,38.0,125.0,34.0,21.0,85.0,27.0,12.0,110.0,41.0
4067,0.0,1.0,2.0,11.0,40.0,10.0,18.0,8.0,71.0,9.0,64.0,6.0,12.0,4.0,49.0,23.0,45.0,63.0,14.0,13.0,21.0,7.0,47.0,17.0,20.0,72.0,5.0,32.0,26.0,38.0
4116,1.0,2.0,0.0,3.0,15.0,46.0,4.0,12.0,7.0,33.0,34.0,59.0,6.0,5.0,32.0,23.0,141.0,64.0,17.0,26.0,13.0,22.0,47.0,9.0,21.0,115.0,63.0,103.0,156.0,18.0
4165,0.0,1.0,6.0,4.0,46.0,18.0,7.0,12.0,48.0,2.0,63.0,9.0,27.0,8.0,10.0,20.0,103.0,16.0,25.0,62.0,26.0,14.0,76.0,17.0,31.0,15.0,84.0,140.0,44.0,22.0
4214,0.0,4.0,3.0,9.0,31.0,20.0,15.0,6.0,8.0,10.0,43.0,5.0,18.0,13.0,17.0,72.0,1.0,11.0,12.0,2.0,16.0,64.0,138.0,32.0,95.0,44.0,47.0,107.0,111.0,23.0
4263,0.0,1.0,4.0,2.0,3.0,32.0,11.0,5.0,61.0,17.0,29.0,75.0,10.0,7.0,14.0,18.0,41.0,67.0,53.0,23.0,51.0,35.0,56.0,6.0,31.0,19.0,45.0,38.0,74.0,153.0
4312,0.0,5.0,4.0,8.0,27.0,12.0,3.0,9.0,14.0,6.0,41.0,13.0,18.0,28.0,32.0,102.0,49.0,23.0,1.0,19.0,77.0,103.0,26.0,7.0,22.0,11.0,47.0,40.0,72.0,57.0
4361,0.0,9.0,11.0,1.0,3.0,77.0,5.0,2.0,25.0,136.0,14.0,36.0,22.0,54.0,13.0,29.0,39.0,33.0,19.0,117.0,71.0,20.0,52.0,4.0,132.0,30.0,38.0,126.0,26.0,37.0
4410,4.0,0.0,3.0,46.0,34.0,2.0,69.0,1.0,5.0,36.0,8.0,11.0,10.0,55.0,6.0,14.0,100.0,15.0,37.0,7.0,142.0,74.0,13.0,64.0,47.0,38.0,22.0,20.0,30.0,81.0
4459,2.0,7.0,3.0,8.0,6.0,0.0,27.0,9.0,87.0,4.0,1.0,10.0,19.0,58.0,12.0,34.0,28.0,15.0,24.0,121.0,39.0,11.0,48.0,103.0,55.0,20.0,131.0,64.0,46.0,16.0
4508,2.0,0.0,3.0,10.0,43.0,4.0,6.0,12.0,22.0,28.0,5.0,1.0,31.0,26.0,53.0,51.0,24.0,9.0,96.0,117.0,35.0,8.0,67.0,101.0,39.0,14.0,65.0,52.0,21.0,74.0
4557,2.0,0.0,10.0,12.0,11.0,5.0,29.0,4.0,1.0,21.0,3.0,47.0,14.0,7.0,15.0,45.0,109.0,51.0,87.0,19.0,33.0,8.0,30.0,49.0,56.0,23.0,89.0,76.0,25.0,37.0
4606,1.0,0.0,2.0,4.0,6.0,7.0,34.0,3.0,18.0,16.0,9.0,12.0,28.0,38.0,130.0,11.0,51.0,8.0,153.0,81.0,42.0,5.0,93.0,15.0,47.0,30.0,111.0,20.0,149.0,19.0
4655,1.0,2.0,14.0,4.0,8.0,5.0,37.0,3.0,31.0,12.0,0.0,9.0,6.0,44.0,54.0,73.0,83.0,7.0,45.0,26.0,43.0,36.0,17.0,22.0,90.0,16.0,64.0,109.0,136.0,40.0
4704,4.0,0.0,1.0,3.0,19.0,8.0,22.0,2.0,10.0,13.0,12.0,41.0,30.0,6.0,71.0,17.0,65.0,33.0,126.0,118.0,23.0,48.0,67.0,24.0,105.0,29.0,55.0,14.0,114.0,20.0
4753,13.0,1.0,14.0,20.0,22.0,8.0,18.0,2.0,6.0,51.0,28.0,0.0,37.0,19.0,42.0,5.0,88.0,24.0,29.0,23.0,50.0,7.0,17.0,10.0,40.0,33.0,100.0,74.0,115.0,108.0
4802,2.0,0.0,4.0,6.0,13.0,11.0,29.0,1.0,3.0,69.0,10.0,5.0,14.0,7.0,138.0,12.0,48.0,90.0,114.0,36.0,43.0,18.0,24.0,28.0,39.0,23.0,44.0,83.0,58.0,54.0
4851,9.0,0.0,4.0,16.0,5.0,2.0,7.0,1.0,6.0,17.0,3.0,37.0,28.0,22.0,32.0,13.0,33.0,8.0,116.0,38.0,29.0,25.0,35.0,31.0,47.0,10.0,132.0,93.0,20.0,42.0
