,Chk1,Lck,4E-BP1,Stathmin,Caspase-7_cleavedD198,MSH6,Src_pY416,MDMX_MDM4(BetIHC-00108),PTEN,FRA1,GAPDH,VAV1,PDCD4,RAD51,eEF2,4E-BP1_pT37_T46,p53,ETS-1,Beclin,Rb_pS807_S811,PEA15_pS116,p70S6K_pT389,p90RSK_pT359_S363,PAI-1,Paxillin,PDK1_pS241,p38_MAPK,p27,p27_pT157,p38_pT180_Y182
1130,0.0,1.0,4.0,2.0,3.0,6.0,13.0,9.0,10.0,16.0,19.0,15.0,7.0,14.0,12.0,8.0,11.0,18.0,5.0,17.0,24.0,28.0,25.0,27.0,30.0,29.0,32.0,34.0,33.0,44.0
1179,0.0,1.0,2.0,5.0,3.0,12.0,8.0,10.0,19.0,9.0,16.0,4.0,20.0,13.0,7.0,14.0,24.0,128.0,6.0,17.0,18.0,26.0,23.0,28.0,32.0,31.0,34.0,47.0,35.0,46.0
1228,0.0,2.0,5.0,1.0,7.0,11.0,8.0,40.0,3.0,21.0,4.0,6.0,22.0,14.0,9.0,17.0,10.0,15.0,12.0,13.0,43.0,20.0,23.0,27.0,28.0,25.0,18.0,30.0,42.0,26.0
1277,0.0,3.0,6.0,1.0,2.0,11.0,9.0,7.0,5.0,113.0,10.0,21.0,8.0,4.0,14.0,17.0,43.0,13.0,16.0,65.0,28.0,31.0,25.0,30.0,26.0,27.0,34.0,36.0,35.0,32.0
1326,0.0,1.0,6.0,2.0,3.0,17.0,8.0,10.0,4.0,16.0,13.0,7.0,29.0,5.0,12.0,11.0,19.0,14.0,9.0,15.0,18.0,25.0,22.0,30.0,26.0,27.0,44.0,33.0,32.0,28.0
1375,0.0,1.0,4.0,3.0,2.0,6.0,8.0,5.0,11.0,9.0,14.0,12.0,15.0,10.0,7.0,18.0,23.0,17.0,19.0,16.0,24.0,41.0,28.0,38.0,34.0,32.0,46.0,44.0,30.0,45.0
1424,0.0,10.0,2.0,1.0,4.0,6.0,7.0,3.0,73.0,8.0,13.0,9.0,22.0,17.0,12.0,11.0,34.0,16.0,18.0,68.0,23.0,5.0,28.0,31.0,32.0,37.0,36.0,38.0,50.0,49.0
1473,0.0,1.0,6.0,2.0,4.0,3.0,53.0,5.0,21.0,20.0,18.0,14.0,17.0,8.0,13.0,24.0,12.0,11.0,15.0,77.0,10.0,7.0,45.0,29.0,28.0,25.0,38.0,40.0,39.0,46.0
1522,1.0,0.0,2.0,3.0,4.0,8.0,10.0,5.0,6.0,23.0,122.0,21.0,18.0,68.0,13.0,107.0,20.0,7.0,22.0,65.0,11.0,17.0,44.0,31.0,29.0,43.0,41.0,33.0,42.0,39.0
1571,0.0,1.0,4.0,2.0,7.0,6.0,18.0,3.0,17.0,20.0,15.0,22.0,12.0,8.0,9.0,13.0,19.0,11.0,24.0,77.0,10.0,5.0,35.0,33.0,30.0,72.0,21.0,45.0,27.0,42.0
1620,0.0,1.0,14.0,2.0,5.0,4.0,11.0,6.0,8.0,10.0,125.0,22.0,15.0,9.0,7.0,18.0,31.0,12.0,94.0,20.0,17.0,3.0,28.0,26.0,29.0,27.0,33.0,34.0,46.0,32.0
1669,0.0,2.0,1.0,4.0,10.0,3.0,57.0,7.0,11.0,115.0,14.0,19.0,18.0,21.0,8.0,6.0,13.0,16.0,9.0,68.0,12.0,5.0,27.0,24.0,26.0,29.0,32.0,34.0,46.0,31.0
1718,0.0,1.0,3.0,2.0,4.0,18.0,21.0,6.0,19.0,16.0,9.0,7.0,12.0,14.0,10.0,8.0,32.0,13.0,17.0,67.0,22.0,11.0,29.0,27.0,30.0,141.0,34.0,36.0,35.0,33.0
1767,0.0,2.0,3.0,1.0,5.0,6.0,26.0,4.0,24.0,117.0,16.0,15.0,8.0,21.0,12.0,7.0,14.0,11.0,25.0,69.0,10.0,9.0,30.0,28.0,27.0,32.0,34.0,48.0,35.0,47.0
1816,0.0,1.0,2.0,8.0,3.0,4.0,19.0,5.0,26.0,23.0,24.0,6.0,15.0,11.0,7.0,9.0,16.0,10.0,13.0,59.0,12.0,17.0,21.0,50.0,51.0,79.0,28.0,31.0,27.0,36.0
1865,0.0,1.0,4.0,2.0,3.0,5.0,15.0,6.0,16.0,11.0,118.0,24.0,14.0,13.0,7.0,19.0,17.0,9.0,21.0,26.0,12.0,10.0,48.0,33.0,31.0,38.0,39.0,42.0,41.0,49.0
1914,0.0,1.0,10.0,3.0,5.0,6.0,20.0,4.0,7.0,120.0,22.0,53.0,8.0,11.0,14.0,15.0,48.0,16.0,27.0,69.0,9.0,2.0,34.0,31.0,35.0,38.0,49.0,40.0,39.0,37.0
1963,0.0,2.0,3.0,1.0,5.0,15.0,7.0,4.0,12.0,6.0,20.0,9.0,10.0,13.0,131.0,14.0,34.0,25.0,28.0,71.0,17.0,8.0,47.0,30.0,32.0,144.0,36.0,38.0,37.0,35.0
2012,0.0,4.0,1.0,6.0,3.0,11.0,2.0,14.0,8.0,9.0,16.0,7.0,10.0,69.0,15.0,5.0,17.0,127.0,12.0,66.0,19.0,25.0,24.0,22.0,27.0,23.0,30.0,32.0,31.0,43.0
2061,2.0,1.0,6.0,3.0,0.0,8.0,4.0,9.0,14.0,7.0,5.0,25.0,13.0,20.0,121.0,24.0,47.0,19.0,12.0,71.0,10.0,22.0,32.0,21.0,31.0,30.0,36.0,38.0,37.0,35.0
2110,0.0,3.0,7.0,4.0,2.0,6.0,1.0,11.0,50.0,9.0,5.0,14.0,23.0,15.0,19.0,8.0,48.0,20.0,10.0,13.0,12.0,17.0,33.0,34.0,31.0,32.0,37.0,35.0,38.0,36.0
2159,4.0,0.0,2.0,1.0,3.0,8.0,6.0,11.0,7.0,5.0,13.0,9.0,22.0,10.0,14.0,15.0,29.0,122.0,93.0,19.0,35.0,28.0,27.0,26.0,30.0,25.0,32.0,34.0,33.0,45.0
2208,1.0,2.0,4.0,3.0,0.0,7.0,5.0,8.0,14.0,11.0,9.0,12.0,10.0,23.0,26.0,15.0,16.0,130.0,20.0,70.0,13.0,31.0,33.0,29.0,34.0,40.0,19.0,37.0,36.0,35.0
2257,1.0,6.0,7.0,3.0,0.0,5.0,2.0,4.0,25.0,9.0,14.0,20.0,23.0,74.0,10.0,16.0,15.0,129.0,24.0,71.0,22.0,21.0,35.0,34.0,33.0,32.0,40.0,43.0,48.0,39.0
2306,0.0,7.0,2.0,5.0,1.0,6.0,4.0,9.0,3.0,10.0,12.0,13.0,20.0,18.0,130.0,21.0,15.0,134.0,11.0,79.0,14.0,17.0,44.0,29.0,23.0,28.0,32.0,45.0,33.0,31.0
2355,1.0,2.0,4.0,3.0,0.0,13.0,5.0,6.0,12.0,16.0,9.0,11.0,25.0,15.0,10.0,7.0,19.0,14.0,17.0,68.0,8.0,30.0,23.0,29.0,26.0,27.0,33.0,31.0,34.0,32.0
2404,0.0,4.0,2.0,7.0,1.0,3.0,5.0,14.0,8.0,10.0,18.0,9.0,13.0,22.0,16.0,17.0,23.0,25.0,6.0,66.0,12.0,24.0,29.0,30.0,31.0,133.0,28.0,45.0,33.0,32.0
2453,0.0,2.0,6.0,4.0,3.0,1.0,7.0,5.0,68.0,10.0,9.0,46.0,8.0,11.0,15.0,13.0,23.0,119.0,19.0,16.0,27.0,17.0,22.0,24.0,25.0,128.0,28.0,30.0,41.0,26.0
2502,1.0,0.0,2.0,8.0,3.0,4.0,7.0,11.0,19.0,6.0,12.0,10.0,5.0,17.0,18.0,9.0,16.0,22.0,13.0,65.0,25.0,30.0,26.0,28.0,29.0,130.0,44.0,34.0,33.0,31.0
2551,0.0,1.0,3.0,9.0,2.0,7.0,4.0,8.0,17.0,12.0,15.0,5.0,6.0,14.0,16.0,11.0,18.0,23.0,91.0,24.0,10.0,33.0,43.0,29.0,28.0,140.0,37.0,40.0,39.0,36.0
2600,0.0,1.0,3.0,4.0,2.0,7.0,5.0,6.0,16.0,18.0,10.0,19.0,12.0,9.0,13.0,8.0,45.0,23.0,20.0,14.0,15.0,34.0,33.0,30.0,29.0,62.0,39.0,27.0,42.0,38.0
2649,0.0,1.0,3.0,12.0,2.0,6.0,4.0,5.0,16.0,9.0,17.0,7.0,8.0,13.0,15.0,10.0,28.0,123.0,11.0,65.0,76.0,26.0,25.0,29.0,23.0,44.0,31.0,33.0,32.0,43.0
2698,0.0,1.0,2.0,8.0,4.0,6.0,13.0,10.0,7.0,3.0,16.0,5.0,12.0,9.0,11.0,15.0,43.0,133.0,94.0,14.0,24.0,27.0,26.0,21.0,28.0,23.0,31.0,29.0,32.0,30.0
2747,0.0,1.0,3.0,19.0,5.0,10.0,4.0,7.0,16.0,6.0,8.0,2.0,9.0,14.0,11.0,13.0,15.0,20.0,21.0,66.0,18.0,34.0,33.0,30.0,29.0,130.0,47.0,40.0,38.0,36.0
2796,0.0,1.0,2.0,6.0,4.0,5.0,8.0,10.0,14.0,22.0,13.0,7.0,3.0,11.0,17.0,12.0,19.0,18.0,90.0,23.0,16.0,29.0,28.0,44.0,60.0,46.0,15.0,32.0,43.0,26.0
2845,1.0,2.0,0.0,4.0,13.0,11.0,7.0,10.0,8.0,123.0,9.0,5.0,3.0,15.0,12.0,6.0,14.0,126.0,22.0,74.0,25.0,19.0,34.0,31.0,29.0,26.0,18.0,41.0,40.0,38.0
2894,0.0,2.0,3.0,9.0,1.0,11.0,5.0,12.0,74.0,14.0,10.0,17.0,8.0,6.0,13.0,4.0,33.0,124.0,23.0,69.0,30.0,32.0,45.0,28.0,27.0,29.0,18.0,35.0,46.0,34.0
2943,0.0,3.0,2.0,8.0,6.0,1.0,5.0,4.0,15.0,7.0,10.0,50.0,11.0,14.0,12.0,9.0,23.0,18.0,93.0,22.0,42.0,31.0,30.0,21.0,28.0,25.0,37.0,39.0,38.0,34.0
2992,0.0,6.0,12.0,1.0,5.0,7.0,9.0,2.0,4.0,3.0,14.0,59.0,11.0,10.0,13.0,8.0,15.0,18.0,92.0,19.0,23.0,27.0,25.0,20.0,28.0,29.0,32.0,44.0,33.0,43.0
3041,0.0,4.0,11.0,1.0,2.0,3.0,15.0,16.0,7.0,12.0,6.0,59.0,5.0,13.0,9.0,8.0,25.0,23.0,92.0,76.0,45.0,27.0,14.0,30.0,28.0,79.0,42.0,33.0,32.0,21.0
3090,1.0,2.0,10.0,0.0,3.0,5.0,6.0,9.0,11.0,8.0,16.0,51.0,4.0,24.0,7.0,13.0,12.0,18.0,26.0,14.0,67.0,33.0,22.0,30.0,32.0,49.0,35.0,47.0,36.0,46.0
3139,1.0,8.0,11.0,0.0,3.0,2.0,15.0,10.0,7.0,13.0,9.0,51.0,4.0,16.0,18.0,5.0,23.0,6.0,96.0,12.0,26.0,45.0,25.0,29.0,28.0,30.0,33.0,35.0,46.0,32.0
3188,1.0,3.0,12.0,0.0,4.0,8.0,11.0,2.0,7.0,5.0,19.0,57.0,9.0,13.0,14.0,6.0,18.0,126.0,94.0,74.0,26.0,17.0,22.0,28.0,27.0,24.0,31.0,33.0,32.0,30.0
3237,0.0,10.0,13.0,1.0,7.0,8.0,6.0,12.0,2.0,11.0,3.0,51.0,5.0,26.0,15.0,16.0,4.0,124.0,98.0,14.0,33.0,19.0,25.0,32.0,24.0,31.0,18.0,36.0,35.0,45.0
3286,0.0,4.0,10.0,1.0,2.0,7.0,8.0,3.0,12.0,6.0,15.0,58.0,5.0,20.0,19.0,14.0,11.0,13.0,96.0,22.0,17.0,27.0,26.0,24.0,28.0,25.0,31.0,45.0,32.0,44.0
3335,0.0,5.0,4.0,3.0,1.0,17.0,11.0,8.0,9.0,2.0,12.0,46.0,6.0,19.0,7.0,13.0,15.0,125.0,92.0,74.0,69.0,27.0,23.0,25.0,29.0,43.0,31.0,33.0,32.0,42.0
3384,4.0,5.0,2.0,0.0,1.0,8.0,11.0,3.0,6.0,9.0,14.0,18.0,13.0,19.0,7.0,10.0,12.0,127.0,20.0,78.0,22.0,34.0,33.0,32.0,30.0,27.0,38.0,40.0,39.0,47.0
3433,0.0,8.0,2.0,6.0,1.0,3.0,4.0,5.0,12.0,20.0,9.0,13.0,10.0,11.0,16.0,21.0,37.0,23.0,97.0,7.0,15.0,35.0,43.0,33.0,32.0,29.0,42.0,22.0,26.0,40.0
3482,0.0,3.0,8.0,21.0,2.0,6.0,1.0,4.0,70.0,11.0,7.0,13.0,12.0,10.0,9.0,23.0,40.0,114.0,24.0,5.0,20.0,15.0,34.0,35.0,44.0,31.0,25.0,43.0,45.0,41.0
3531,0.0,5.0,2.0,10.0,11.0,1.0,4.0,7.0,3.0,26.0,12.0,18.0,6.0,8.0,17.0,25.0,23.0,13.0,91.0,9.0,15.0,22.0,29.0,30.0,28.0,46.0,43.0,33.0,32.0,27.0
3580,0.0,4.0,2.0,7.0,6.0,1.0,3.0,10.0,18.0,11.0,9.0,47.0,14.0,5.0,13.0,12.0,27.0,24.0,91.0,8.0,43.0,23.0,28.0,25.0,26.0,33.0,21.0,32.0,31.0,42.0
3629,0.0,5.0,4.0,6.0,1.0,3.0,2.0,8.0,15.0,10.0,11.0,49.0,29.0,7.0,9.0,14.0,33.0,20.0,93.0,17.0,22.0,12.0,27.0,26.0,32.0,31.0,34.0,38.0,37.0,45.0
3678,0.0,11.0,6.0,4.0,5.0,2.0,1.0,10.0,24.0,16.0,3.0,13.0,18.0,9.0,7.0,22.0,47.0,19.0,26.0,8.0,20.0,12.0,30.0,28.0,31.0,29.0,34.0,36.0,32.0,33.0
3727,0.0,2.0,8.0,11.0,1.0,4.0,7.0,10.0,5.0,12.0,6.0,20.0,32.0,3.0,14.0,15.0,43.0,21.0,23.0,9.0,48.0,42.0,39.0,38.0,35.0,30.0,37.0,46.0,28.0,45.0
3776,0.0,2.0,1.0,10.0,4.0,8.0,3.0,6.0,7.0,11.0,5.0,16.0,9.0,14.0,15.0,13.0,48.0,20.0,93.0,12.0,17.0,34.0,35.0,23.0,32.0,79.0,41.0,43.0,42.0,39.0
3825,0.0,9.0,3.0,2.0,8.0,1.0,6.0,4.0,12.0,17.0,16.0,14.0,7.0,5.0,20.0,11.0,42.0,23.0,29.0,13.0,50.0,30.0,49.0,34.0,33.0,36.0,44.0,47.0,45.0,43.0
3874,0.0,7.0,1.0,2.0,4.0,3.0,5.0,11.0,16.0,19.0,18.0,15.0,20.0,10.0,6.0,14.0,34.0,22.0,23.0,9.0,31.0,26.0,46.0,29.0,27.0,30.0,36.0,37.0,47.0,35.0
3923,0.0,2.0,4.0,7.0,16.0,3.0,9.0,11.0,13.0,6.0,10.0,1.0,21.0,8.0,12.0,25.0,18.0,124.0,15.0,68.0,67.0,19.0,28.0,30.0,32.0,51.0,37.0,39.0,38.0,35.0
3972,0.0,1.0,10.0,3.0,4.0,2.0,7.0,17.0,12.0,5.0,8.0,14.0,23.0,11.0,15.0,20.0,6.0,121.0,24.0,64.0,66.0,39.0,38.0,34.0,33.0,46.0,29.0,48.0,47.0,44.0
4021,0.0,5.0,3.0,4.0,7.0,2.0,1.0,26.0,25.0,10.0,11.0,15.0,18.0,27.0,17.0,24.0,9.0,29.0,101.0,28.0,19.0,23.0,33.0,42.0,41.0,36.0,52.0,50.0,51.0,45.0
4070,0.0,1.0,2.0,6.0,10.0,4.0,9.0,11.0,15.0,3.0,20.0,12.0,23.0,18.0,13.0,24.0,5.0,123.0,27.0,17.0,50.0,37.0,36.0,34.0,33.0,39.0,40.0,42.0,41.0,35.0
4119,0.0,1.0,2.0,4.0,5.0,22.0,3.0,6.0,7.0,9.0,11.0,10.0,24.0,17.0,14.0,16.0,8.0,128.0,30.0,15.0,29.0,18.0,31.0,77.0,54.0,76.0,36.0,38.0,37.0,35.0
4168,0.0,1.0,9.0,6.0,4.0,10.0,2.0,7.0,15.0,3.0,8.0,5.0,11.0,22.0,16.0,25.0,13.0,130.0,21.0,72.0,31.0,20.0,24.0,34.0,35.0,134.0,37.0,39.0,38.0,49.0
4217,0.0,3.0,2.0,1.0,8.0,9.0,7.0,4.0,11.0,12.0,15.0,5.0,29.0,6.0,23.0,13.0,22.0,27.0,96.0,70.0,80.0,17.0,32.0,34.0,33.0,50.0,37.0,40.0,38.0,36.0
4266,0.0,1.0,5.0,8.0,15.0,16.0,3.0,6.0,2.0,4.0,7.0,14.0,33.0,13.0,19.0,17.0,10.0,128.0,21.0,18.0,49.0,29.0,34.0,31.0,32.0,37.0,35.0,39.0,38.0,36.0
4315,0.0,7.0,4.0,11.0,2.0,25.0,1.0,15.0,12.0,3.0,9.0,6.0,37.0,22.0,24.0,18.0,5.0,119.0,16.0,21.0,78.0,23.0,34.0,31.0,33.0,48.0,26.0,35.0,36.0,47.0
4364,0.0,3.0,1.0,2.0,20.0,8.0,13.0,14.0,9.0,6.0,26.0,11.0,17.0,22.0,25.0,28.0,4.0,133.0,24.0,71.0,49.0,12.0,32.0,31.0,30.0,37.0,27.0,38.0,36.0,35.0
4413,0.0,3.0,1.0,2.0,6.0,11.0,4.0,15.0,8.0,12.0,13.0,7.0,27.0,10.0,18.0,23.0,19.0,24.0,99.0,5.0,26.0,29.0,32.0,28.0,30.0,64.0,47.0,36.0,35.0,31.0
4462,0.0,2.0,1.0,4.0,5.0,6.0,3.0,20.0,8.0,21.0,11.0,17.0,13.0,15.0,12.0,7.0,10.0,122.0,23.0,16.0,64.0,30.0,29.0,31.0,32.0,37.0,18.0,36.0,35.0,47.0
4511,0.0,4.0,2.0,3.0,7.0,12.0,11.0,27.0,5.0,24.0,8.0,1.0,14.0,10.0,16.0,112.0,26.0,125.0,15.0,9.0,71.0,13.0,49.0,50.0,51.0,72.0,25.0,32.0,31.0,29.0
4560,0.0,3.0,1.0,7.0,4.0,2.0,5.0,20.0,8.0,26.0,6.0,10.0,16.0,13.0,15.0,18.0,11.0,115.0,12.0,9.0,24.0,14.0,33.0,31.0,29.0,76.0,37.0,42.0,38.0,36.0
4609,0.0,2.0,1.0,6.0,4.0,7.0,3.0,12.0,5.0,122.0,8.0,9.0,10.0,67.0,22.0,11.0,26.0,124.0,15.0,13.0,43.0,16.0,25.0,24.0,27.0,23.0,21.0,31.0,30.0,42.0
4658,0.0,3.0,1.0,2.0,5.0,14.0,4.0,13.0,9.0,121.0,7.0,11.0,8.0,16.0,128.0,6.0,26.0,20.0,18.0,10.0,47.0,21.0,25.0,24.0,29.0,75.0,28.0,31.0,44.0,27.0
4707,0.0,2.0,1.0,4.0,17.0,6.0,9.0,22.0,3.0,121.0,10.0,5.0,18.0,12.0,11.0,7.0,14.0,13.0,23.0,8.0,19.0,15.0,30.0,29.0,28.0,41.0,20.0,39.0,38.0,35.0
4756,0.0,1.0,2.0,4.0,3.0,21.0,5.0,8.0,7.0,18.0,9.0,17.0,12.0,11.0,27.0,16.0,13.0,121.0,22.0,6.0,10.0,20.0,37.0,36.0,34.0,49.0,23.0,31.0,44.0,41.0
4805,0.0,2.0,4.0,6.0,3.0,7.0,1.0,16.0,5.0,118.0,12.0,25.0,23.0,9.0,11.0,24.0,46.0,17.0,19.0,15.0,14.0,8.0,28.0,27.0,31.0,30.0,36.0,39.0,37.0,35.0
4854,1.0,2.0,0.0,5.0,18.0,24.0,6.0,20.0,3.0,11.0,23.0,7.0,4.0,28.0,19.0,10.0,13.0,16.0,9.0,14.0,27.0,32.0,42.0,76.0,48.0,74.0,34.0,36.0,45.0,30.0
