,SOFT_TISSUE,GANGLIA,LIVER,OESOPHAGUS,OVARY,LARGE_INTESTINE,NERVOUS,LUNG,STOMACH,HAEMATOPOIETIC,BREAST,SKIN,PANCREAS,AERODIGESTIVE,PROSTATE,BONE,PLEURA,SALIVARY,THYROID,KIDNEY,URINARY,ENDOMETRIUM,BILIARY
684,17.0,0.0,4.0,3.0,1.0,9.0,2.0,6.0,7.0,11.0,5.0,10.0,8.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
733,17.0,0.0,3.0,7.0,2.0,9.0,4.0,5.0,10.0,8.0,6.0,12.0,11.0,13.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,1.0,22.0
782,0.0,1.0,5.0,2.0,3.0,9.0,4.0,6.0,10.0,12.0,7.0,11.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
831,17.0,0.0,1.0,6.0,3.0,8.0,2.0,4.0,10.0,11.0,5.0,9.0,7.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
880,17.0,1.0,2.0,7.0,4.0,11.0,5.0,3.0,8.0,10.0,6.0,9.0,12.0,13.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,0.0,22.0
929,17.0,0.0,2.0,6.0,1.0,8.0,3.0,5.0,11.0,9.0,4.0,10.0,7.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
978,17.0,0.0,2.0,8.0,1.0,10.0,4.0,5.0,6.0,7.0,3.0,9.0,11.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
1027,0.0,3.0,2.0,1.0,9.0,5.0,6.0,8.0,4.0,7.0,11.0,10.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,17.0,2.0,0.0,1.0,9.0,3.0,4.0,7.0,8.0,6.0,5.0,10.0,11.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
1125,18.0,12.0,1.0,2.0,5.0,3.0,4.0,6.0,9.0,11.0,7.0,10.0,8.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,0.0,21.0,22.0
1174,17.0,3.0,0.0,2.0,8.0,5.0,6.0,7.0,4.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,1.0,22.0
1223,17.0,2.0,1.0,0.0,6.0,8.0,4.0,3.0,5.0,9.0,7.0,10.0,11.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
1272,0.0,13.0,2.0,3.0,5.0,7.0,4.0,8.0,6.0,12.0,9.0,11.0,10.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
1321,17.0,2.0,1.0,0.0,10.0,3.0,5.0,9.0,4.0,6.0,8.0,11.0,7.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
1370,1.0,0.0,2.0,3.0,9.0,4.0,6.0,12.0,5.0,11.0,7.0,10.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,4.0,2.0,3.0,8.0,6.0,5.0,7.0,9.0,13.0,12.0,11.0,10.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,1.0,22.0
1468,1.0,12.0,2.0,0.0,4.0,7.0,3.0,8.0,5.0,10.0,6.0,11.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,1.0,2.0,5.0,3.0,4.0,9.0,6.0,7.0,10.0,8.0,13.0,11.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,0.0,20.0,21.0,22.0
1566,1.0,13.0,8.0,2.0,7.0,3.0,12.0,11.0,5.0,4.0,10.0,6.0,9.0,14.0,15.0,17.0,16.0,18.0,19.0,0.0,20.0,21.0,22.0
1615,0.0,1.0,11.0,4.0,5.0,6.0,9.0,10.0,3.0,2.0,12.0,7.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,0.0,2.0,1.0,12.0,9.0,6.0,3.0,10.0,4.0,5.0,11.0,8.0,7.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,0.0,2.0,1.0,7.0,8.0,3.0,11.0,10.0,4.0,5.0,12.0,6.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,0.0,3.0,9.0,7.0,10.0,5.0,13.0,11.0,4.0,6.0,12.0,8.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,2.0,21.0,22.0
1811,0.0,12.0,3.0,7.0,9.0,4.0,8.0,5.0,1.0,2.0,11.0,6.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,0.0,13.0,6.0,7.0,8.0,3.0,10.0,9.0,2.0,4.0,12.0,11.0,5.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
1909,17.0,0.0,7.0,2.0,8.0,3.0,9.0,10.0,6.0,5.0,11.0,4.0,1.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
1958,18.0,1.0,8.0,9.0,5.0,4.0,7.0,3.0,2.0,6.0,12.0,11.0,10.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
2007,0.0,1.0,6.0,2.0,5.0,3.0,8.0,11.0,7.0,4.0,9.0,10.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,0.0,13.0,8.0,1.0,5.0,3.0,7.0,9.0,2.0,4.0,6.0,10.0,11.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,0.0,13.0,4.0,1.0,6.0,3.0,8.0,10.0,2.0,5.0,9.0,7.0,11.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,2.0,7.0,4.0,6.0,3.0,11.0,10.0,5.0,8.0,9.0,13.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,1.0,20.0,21.0,22.0
2203,0.0,2.0,7.0,1.0,5.0,3.0,9.0,10.0,6.0,4.0,12.0,8.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2252,0.0,2.0,7.0,4.0,5.0,3.0,8.0,9.0,10.0,6.0,14.0,13.0,11.0,15.0,16.0,12.0,17.0,18.0,19.0,1.0,20.0,21.0,22.0
2301,0.0,14.0,5.0,3.0,9.0,2.0,7.0,10.0,6.0,4.0,8.0,12.0,13.0,15.0,16.0,11.0,17.0,18.0,19.0,1.0,20.0,21.0,22.0
2350,18.0,1.0,2.0,7.0,4.0,8.0,3.0,5.0,13.0,10.0,6.0,11.0,12.0,14.0,15.0,9.0,16.0,17.0,19.0,0.0,20.0,21.0,22.0
2399,17.0,0.0,1.0,6.0,2.0,8.0,3.0,5.0,7.0,9.0,4.0,11.0,12.0,13.0,14.0,10.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2448,0.0,13.0,1.0,3.0,2.0,4.0,8.0,11.0,6.0,5.0,7.0,12.0,9.0,14.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,0.0,12.0,6.0,1.0,3.0,2.0,5.0,8.0,4.0,7.0,9.0,11.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2546,0.0,14.0,4.0,2.0,8.0,3.0,11.0,9.0,6.0,5.0,10.0,7.0,12.0,15.0,16.0,13.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
2595,0.0,13.0,10.0,1.0,3.0,4.0,7.0,9.0,6.0,2.0,8.0,5.0,11.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,0.0,12.0,8.0,1.0,6.0,2.0,9.0,10.0,3.0,5.0,11.0,4.0,7.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2693,0.0,14.0,5.0,2.0,8.0,3.0,9.0,10.0,4.0,6.0,11.0,7.0,13.0,15.0,16.0,12.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
2742,0.0,14.0,2.0,3.0,4.0,5.0,11.0,10.0,8.0,7.0,6.0,9.0,13.0,15.0,16.0,12.0,21.0,17.0,18.0,19.0,20.0,1.0,22.0
2791,0.0,13.0,6.0,1.0,7.0,2.0,8.0,9.0,3.0,4.0,11.0,5.0,12.0,14.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,0.0,13.0,9.0,2.0,7.0,3.0,11.0,10.0,6.0,4.0,8.0,5.0,12.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
2889,18.0,13.0,4.0,1.0,3.0,2.0,6.0,11.0,5.0,7.0,9.0,8.0,12.0,14.0,15.0,10.0,16.0,17.0,19.0,20.0,0.0,21.0,22.0
2938,0.0,12.0,8.0,1.0,7.0,2.0,6.0,10.0,3.0,4.0,9.0,5.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,1.0,14.0,2.0,6.0,3.0,7.0,5.0,4.0,9.0,8.0,12.0,13.0,10.0,15.0,16.0,11.0,17.0,18.0,19.0,0.0,20.0,21.0,22.0
3036,3.0,0.0,2.0,8.0,4.0,5.0,6.0,7.0,9.0,10.0,14.0,13.0,12.0,15.0,16.0,11.0,17.0,18.0,19.0,1.0,20.0,21.0,22.0
3085,2.0,0.0,3.0,10.0,6.0,5.0,9.0,8.0,7.0,11.0,13.0,14.0,12.0,15.0,16.0,18.0,17.0,19.0,20.0,1.0,4.0,21.0,22.0
3134,1.0,0.0,2.0,4.0,3.0,7.0,6.0,5.0,10.0,8.0,13.0,12.0,11.0,14.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,18.0,0.0,2.0,5.0,4.0,3.0,8.0,7.0,9.0,6.0,12.0,11.0,10.0,13.0,14.0,16.0,15.0,17.0,19.0,1.0,20.0,21.0,22.0
3232,17.0,0.0,1.0,4.0,2.0,3.0,5.0,6.0,8.0,11.0,12.0,9.0,10.0,13.0,14.0,7.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3281,2.0,0.0,3.0,7.0,8.0,4.0,11.0,6.0,20.0,5.0,10.0,12.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,1.0,19.0,21.0,22.0
3330,2.0,14.0,3.0,10.0,6.0,9.0,5.0,7.0,4.0,8.0,13.0,12.0,11.0,15.0,16.0,1.0,17.0,18.0,19.0,0.0,20.0,21.0,22.0
3379,0.0,13.0,2.0,6.0,5.0,4.0,3.0,11.0,9.0,7.0,12.0,10.0,8.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,1.0,21.0,22.0
3428,17.0,0.0,1.0,2.0,4.0,3.0,7.0,8.0,5.0,9.0,6.0,12.0,11.0,13.0,14.0,10.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3477,17.0,2.0,10.0,8.0,7.0,3.0,12.0,4.0,9.0,5.0,11.0,13.0,6.0,14.0,15.0,1.0,21.0,16.0,18.0,19.0,20.0,0.0,22.0
3526,0.0,3.0,2.0,1.0,4.0,5.0,11.0,10.0,6.0,8.0,7.0,12.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,17.0,11.0,2.0,0.0,4.0,6.0,8.0,9.0,3.0,5.0,10.0,7.0,1.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
3624,18.0,1.0,3.0,5.0,2.0,4.0,6.0,7.0,12.0,10.0,8.0,11.0,9.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
3673,18.0,1.0,2.0,7.0,3.0,6.0,4.0,5.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
3722,18.0,1.0,3.0,4.0,2.0,10.0,7.0,8.0,5.0,9.0,12.0,6.0,11.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
3771,18.0,1.0,2.0,8.0,3.0,6.0,11.0,5.0,9.0,10.0,4.0,12.0,7.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
3820,1.0,2.0,4.0,7.0,3.0,8.0,5.0,6.0,9.0,11.0,12.0,13.0,10.0,14.0,15.0,17.0,16.0,18.0,19.0,0.0,20.0,21.0,22.0
3869,17.0,12.0,3.0,6.0,2.0,7.0,4.0,1.0,8.0,9.0,5.0,10.0,11.0,13.0,14.0,0.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3918,18.0,3.0,2.0,4.0,5.0,6.0,10.0,7.0,8.0,11.0,12.0,13.0,9.0,14.0,15.0,16.0,21.0,17.0,19.0,0.0,20.0,1.0,22.0
3967,0.0,13.0,1.0,3.0,2.0,6.0,4.0,5.0,7.0,11.0,10.0,12.0,9.0,14.0,15.0,8.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,0.0,13.0,1.0,6.0,3.0,2.0,5.0,4.0,10.0,7.0,8.0,11.0,12.0,14.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,17.0,12.0,2.0,1.0,0.0,6.0,3.0,5.0,8.0,11.0,4.0,10.0,9.0,13.0,14.0,7.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4114,0.0,12.0,3.0,6.0,1.0,2.0,4.0,5.0,8.0,10.0,7.0,11.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,0.0,13.0,4.0,1.0,3.0,2.0,10.0,7.0,5.0,11.0,8.0,12.0,6.0,14.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,0.0,13.0,3.0,5.0,4.0,2.0,6.0,11.0,8.0,9.0,10.0,12.0,7.0,14.0,15.0,1.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,0.0,12.0,1.0,8.0,3.0,2.0,6.0,5.0,9.0,11.0,4.0,10.0,7.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,17.0,12.0,1.0,6.0,2.0,4.0,5.0,3.0,8.0,11.0,7.0,10.0,9.0,13.0,14.0,0.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4359,0.0,12.0,1.0,7.0,2.0,5.0,3.0,6.0,11.0,10.0,4.0,9.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,0.0,13.0,6.0,2.0,4.0,1.0,5.0,8.0,3.0,7.0,9.0,12.0,11.0,14.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,18.0,13.0,1.0,7.0,3.0,5.0,2.0,4.0,8.0,11.0,6.0,10.0,12.0,14.0,15.0,9.0,16.0,17.0,19.0,0.0,20.0,21.0,22.0
4506,0.0,13.0,1.0,8.0,7.0,5.0,10.0,2.0,9.0,4.0,3.0,6.0,12.0,14.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4555,18.0,12.0,1.0,6.0,2.0,7.0,3.0,5.0,8.0,11.0,4.0,10.0,9.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
4604,17.0,0.0,2.0,4.0,5.0,1.0,7.0,6.0,9.0,3.0,8.0,10.0,12.0,13.0,14.0,11.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4653,18.0,1.0,3.0,6.0,2.0,7.0,5.0,4.0,8.0,11.0,10.0,12.0,13.0,14.0,15.0,9.0,16.0,17.0,19.0,0.0,20.0,21.0,22.0
4702,0.0,13.0,5.0,1.0,6.0,3.0,9.0,7.0,2.0,4.0,8.0,10.0,12.0,14.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,18.0,1.0,5.0,6.0,3.0,9.0,8.0,2.0,7.0,4.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,19.0,0.0,20.0,21.0,22.0
4800,0.0,12.0,2.0,3.0,1.0,7.0,8.0,10.0,4.0,6.0,5.0,9.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,0.0,12.0,2.0,3.0,4.0,10.0,9.0,8.0,1.0,5.0,11.0,7.0,6.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,17.0,11.0,6.0,0.0,5.0,2.0,7.0,8.0,1.0,3.0,9.0,4.0,10.0,12.0,14.0,15.0,21.0,16.0,18.0,19.0,20.0,13.0,22.0
