,hsa-miR-96,hsa-miR-224,hsa-miR-1306,hsa-miR-423-3p,hsa-miR-129-5p,hsa-miR-548a-3p,hsa-miR-95,ebv-miR-BART8,hsa-miR-921,hsa-miR-657,hsa-miR-548j,hsa-miR-616,hsa-miR-572,hsa-miR-34a,hsa-miR-607,hsa-miR-1979,hsa-miR-1973,hsa-miR-1201,hsa-miR-892a,hsa-miR-140-5p,hsa-miR-1911,hsa-miR-2115,ebv-miR-BART19-5p,hsa-miR-190b,hsa-miR-134,hsa-miR-564,hsa-miR-1200,ebv-miR-BART7,hsa-miR-520g,hsa-miR-193b
1195,31.0,72.0,35.0,26.0,0.0,58.0,34.0,92.0,77.0,340.0,84.0,114.0,83.0,606.0,25.0,61.0,4.0,442.0,89.0,110.0,71.0,88.0,65.0,36.0,141.0,59.0,51.0,140.0,63.0,407.0
1244,44.0,71.0,29.0,31.0,3.0,36.0,60.0,72.0,25.0,310.0,66.0,49.0,19.0,609.0,47.0,46.0,5.0,448.0,120.0,50.0,394.0,51.0,85.0,104.0,122.0,84.0,107.0,108.0,94.0,119.0
1293,71.0,89.0,25.0,32.0,12.0,27.0,49.0,48.0,26.0,306.0,73.0,160.0,44.0,609.0,45.0,91.0,0.0,448.0,42.0,103.0,424.0,10.0,117.0,425.0,88.0,78.0,127.0,87.0,69.0,30.0
1342,89.0,12.0,8.0,19.0,13.0,74.0,63.0,23.0,64.0,4.0,100.0,101.0,43.0,608.0,30.0,45.0,1.0,458.0,87.0,90.0,41.0,495.0,62.0,25.0,24.0,83.0,121.0,114.0,84.0,413.0
1391,16.0,8.0,20.0,520.0,466.0,23.0,67.0,27.0,6.0,25.0,84.0,331.0,38.0,606.0,57.0,83.0,5.0,442.0,98.0,101.0,131.0,144.0,251.0,160.0,99.0,80.0,44.0,69.0,70.0,410.0
1440,322.0,71.0,72.0,521.0,469.0,77.0,52.0,91.0,55.0,346.0,75.0,2.0,230.0,611.0,60.0,56.0,0.0,444.0,124.0,388.0,37.0,25.0,74.0,423.0,114.0,129.0,82.0,20.0,106.0,92.0
1489,22.0,72.0,391.0,518.0,80.0,47.0,20.0,70.0,26.0,348.0,141.0,48.0,154.0,67.0,56.0,38.0,411.0,19.0,90.0,45.0,55.0,34.0,74.0,39.0,99.0,124.0,116.0,13.0,530.0,415.0
1538,101.0,3.0,126.0,521.0,16.0,26.0,22.0,47.0,102.0,33.0,59.0,42.0,235.0,609.0,71.0,46.0,415.0,29.0,93.0,87.0,37.0,94.0,53.0,13.0,54.0,80.0,442.0,44.0,95.0,73.0
1587,51.0,92.0,82.0,33.0,125.0,21.0,18.0,103.0,259.0,300.0,34.0,26.0,205.0,608.0,152.0,95.0,411.0,447.0,40.0,137.0,64.0,36.0,48.0,10.0,97.0,197.0,96.0,91.0,531.0,416.0
1636,115.0,586.0,38.0,521.0,39.0,24.0,33.0,22.0,53.0,30.0,199.0,31.0,46.0,52.0,47.0,121.0,21.0,20.0,41.0,384.0,101.0,1.0,89.0,109.0,120.0,237.0,445.0,29.0,63.0,416.0
1685,17.0,586.0,11.0,0.0,45.0,35.0,36.0,12.0,55.0,46.0,7.0,47.0,215.0,611.0,209.0,96.0,97.0,444.0,76.0,62.0,63.0,2.0,50.0,27.0,87.0,68.0,13.0,93.0,131.0,415.0
1734,123.0,20.0,428.0,515.0,110.0,27.0,22.0,42.0,28.0,56.0,154.0,16.0,146.0,96.0,73.0,45.0,415.0,0.0,50.0,83.0,33.0,30.0,58.0,7.0,79.0,37.0,115.0,94.0,89.0,5.0
1783,29.0,77.0,427.0,24.0,468.0,9.0,26.0,15.0,78.0,130.0,212.0,67.0,37.0,61.0,40.0,20.0,411.0,445.0,115.0,378.0,83.0,142.0,91.0,46.0,110.0,27.0,42.0,119.0,145.0,415.0
1832,9.0,36.0,459.0,73.0,471.0,26.0,62.0,19.0,63.0,130.0,32.0,249.0,221.0,607.0,88.0,33.0,94.0,458.0,65.0,117.0,417.0,425.0,30.0,60.0,124.0,49.0,54.0,118.0,144.0,47.0
1881,14.0,7.0,467.0,57.0,471.0,41.0,23.0,61.0,49.0,306.0,40.0,17.0,42.0,87.0,108.0,110.0,415.0,16.0,52.0,153.0,71.0,130.0,73.0,29.0,140.0,43.0,104.0,147.0,117.0,418.0
1930,71.0,48.0,11.0,518.0,91.0,65.0,15.0,43.0,60.0,302.0,23.0,47.0,201.0,55.0,18.0,67.0,426.0,443.0,124.0,76.0,103.0,35.0,83.0,10.0,152.0,96.0,445.0,259.0,97.0,416.0
1979,27.0,10.0,45.0,8.0,25.0,69.0,46.0,26.0,22.0,16.0,28.0,9.0,79.0,43.0,159.0,34.0,412.0,29.0,20.0,380.0,91.0,425.0,97.0,148.0,64.0,81.0,139.0,92.0,136.0,416.0
2028,25.0,2.0,17.0,1.0,36.0,8.0,77.0,31.0,13.0,46.0,19.0,12.0,7.0,93.0,68.0,53.0,32.0,14.0,76.0,64.0,123.0,591.0,135.0,66.0,384.0,37.0,91.0,70.0,67.0,408.0
2077,35.0,4.0,429.0,41.0,69.0,106.0,26.0,58.0,81.0,63.0,259.0,19.0,22.0,609.0,57.0,153.0,427.0,10.0,34.0,104.0,116.0,594.0,118.0,87.0,162.0,99.0,443.0,158.0,51.0,416.0
2126,57.0,0.0,47.0,27.0,59.0,85.0,36.0,43.0,33.0,29.0,11.0,132.0,234.0,19.0,31.0,96.0,420.0,453.0,22.0,100.0,56.0,15.0,126.0,37.0,90.0,32.0,120.0,70.0,91.0,62.0
2175,104.0,0.0,23.0,1.0,47.0,31.0,32.0,27.0,60.0,17.0,13.0,52.0,211.0,44.0,145.0,133.0,412.0,10.0,21.0,110.0,75.0,50.0,82.0,83.0,160.0,80.0,59.0,106.0,132.0,88.0
2224,17.0,10.0,63.0,522.0,67.0,23.0,42.0,33.0,37.0,46.0,30.0,26.0,166.0,61.0,111.0,119.0,427.0,15.0,16.0,115.0,121.0,47.0,318.0,422.0,386.0,53.0,113.0,125.0,102.0,75.0
2273,69.0,9.0,21.0,23.0,465.0,17.0,29.0,19.0,39.0,44.0,0.0,91.0,216.0,602.0,327.0,128.0,15.0,11.0,30.0,25.0,89.0,35.0,112.0,71.0,382.0,81.0,441.0,328.0,68.0,111.0
2322,46.0,33.0,389.0,9.0,465.0,124.0,32.0,48.0,82.0,25.0,5.0,174.0,133.0,64.0,57.0,140.0,407.0,87.0,31.0,20.0,104.0,494.0,237.0,94.0,43.0,101.0,134.0,107.0,67.0,11.0
2371,17.0,586.0,31.0,0.0,106.0,49.0,59.0,62.0,56.0,76.0,194.0,9.0,20.0,608.0,120.0,111.0,69.0,13.0,140.0,130.0,95.0,398.0,128.0,147.0,42.0,66.0,46.0,87.0,50.0,67.0
2420,21.0,72.0,28.0,146.0,86.0,55.0,34.0,80.0,71.0,100.0,182.0,2.0,219.0,608.0,149.0,88.0,410.0,3.0,138.0,85.0,420.0,494.0,97.0,29.0,91.0,66.0,33.0,131.0,135.0,413.0
2469,11.0,25.0,67.0,5.0,144.0,49.0,42.0,66.0,109.0,57.0,50.0,172.0,208.0,568.0,111.0,48.0,0.0,61.0,46.0,95.0,63.0,382.0,121.0,99.0,137.0,97.0,40.0,140.0,106.0,437.0
2518,34.0,102.0,92.0,9.0,146.0,95.0,52.0,118.0,16.0,81.0,167.0,162.0,28.0,58.0,99.0,141.0,419.0,79.0,39.0,55.0,111.0,85.0,87.0,155.0,93.0,213.0,449.0,262.0,104.0,67.0
2567,10.0,21.0,54.0,514.0,30.0,42.0,28.0,89.0,47.0,302.0,221.0,316.0,154.0,14.0,247.0,100.0,8.0,443.0,99.0,27.0,70.0,81.0,171.0,25.0,136.0,162.0,83.0,236.0,77.0,410.0
2616,15.0,39.0,91.0,12.0,119.0,69.0,44.0,67.0,109.0,93.0,171.0,140.0,38.0,22.0,120.0,151.0,0.0,451.0,50.0,47.0,106.0,46.0,60.0,133.0,132.0,200.0,452.0,98.0,154.0,421.0
2665,264.0,72.0,35.0,20.0,95.0,22.0,28.0,80.0,51.0,108.0,189.0,141.0,71.0,14.0,53.0,69.0,5.0,24.0,59.0,65.0,109.0,420.0,81.0,110.0,52.0,203.0,37.0,41.0,125.0,377.0
2714,13.0,30.0,48.0,15.0,129.0,19.0,28.0,86.0,75.0,99.0,121.0,130.0,16.0,12.0,43.0,79.0,416.0,1.0,137.0,147.0,120.0,21.0,118.0,387.0,46.0,222.0,26.0,74.0,106.0,411.0
2763,32.0,584.0,16.0,6.0,11.0,54.0,21.0,59.0,13.0,44.0,71.0,322.0,2.0,51.0,88.0,68.0,55.0,119.0,25.0,97.0,418.0,39.0,110.0,28.0,136.0,82.0,444.0,87.0,75.0,412.0
2812,9.0,56.0,38.0,3.0,42.0,73.0,40.0,55.0,323.0,293.0,153.0,5.0,121.0,601.0,74.0,87.0,400.0,455.0,129.0,41.0,117.0,107.0,66.0,39.0,84.0,109.0,22.0,145.0,130.0,404.0
2861,4.0,54.0,82.0,2.0,42.0,103.0,56.0,55.0,62.0,94.0,11.0,153.0,52.0,601.0,64.0,68.0,407.0,67.0,96.0,136.0,92.0,66.0,99.0,14.0,71.0,222.0,24.0,108.0,81.0,410.0
2910,30.0,132.0,573.0,39.0,17.0,551.0,23.0,46.0,40.0,57.0,541.0,124.0,202.0,99.0,80.0,36.0,2.0,6.0,120.0,33.0,14.0,89.0,85.0,458.0,45.0,209.0,0.0,138.0,564.0,451.0
2959,19.0,378.0,25.0,21.0,34.0,20.0,32.0,84.0,36.0,51.0,183.0,154.0,88.0,42.0,24.0,82.0,482.0,33.0,113.0,54.0,492.0,23.0,135.0,72.0,466.0,77.0,152.0,259.0,52.0,35.0
3008,17.0,143.0,63.0,0.0,112.0,96.0,43.0,45.0,32.0,22.0,29.0,5.0,10.0,31.0,20.0,74.0,34.0,372.0,37.0,94.0,448.0,56.0,65.0,101.0,47.0,206.0,370.0,123.0,25.0,69.0
3057,12.0,592.0,19.0,515.0,150.0,71.0,26.0,43.0,6.0,129.0,63.0,33.0,8.0,52.0,86.0,67.0,403.0,436.0,147.0,69.0,97.0,51.0,90.0,141.0,379.0,92.0,29.0,47.0,36.0,94.0
3106,14.0,581.0,40.0,87.0,26.0,35.0,62.0,110.0,4.0,31.0,2.0,164.0,28.0,23.0,36.0,112.0,0.0,443.0,327.0,68.0,46.0,17.0,144.0,51.0,108.0,125.0,458.0,128.0,43.0,33.0
3155,62.0,77.0,6.0,516.0,123.0,35.0,32.0,103.0,41.0,125.0,95.0,36.0,209.0,59.0,25.0,114.0,55.0,19.0,113.0,66.0,411.0,97.0,104.0,118.0,377.0,126.0,440.0,29.0,20.0,26.0
3204,48.0,127.0,16.0,514.0,39.0,70.0,24.0,44.0,11.0,21.0,91.0,20.0,68.0,88.0,41.0,65.0,419.0,35.0,133.0,73.0,32.0,57.0,116.0,59.0,143.0,99.0,456.0,25.0,62.0,82.0
3253,31.0,586.0,41.0,519.0,29.0,8.0,32.0,342.0,59.0,349.0,118.0,325.0,16.0,3.0,66.0,92.0,56.0,7.0,111.0,381.0,421.0,397.0,129.0,42.0,386.0,30.0,459.0,43.0,33.0,414.0
3302,64.0,11.0,35.0,4.0,49.0,189.0,32.0,98.0,91.0,110.0,182.0,58.0,60.0,18.0,37.0,105.0,425.0,442.0,122.0,69.0,421.0,93.0,99.0,100.0,133.0,220.0,106.0,228.0,76.0,33.0
3351,65.0,145.0,11.0,612.0,41.0,54.0,59.0,104.0,53.0,57.0,216.0,159.0,72.0,6.0,35.0,394.0,396.0,15.0,99.0,58.0,33.0,114.0,108.0,76.0,113.0,154.0,38.0,255.0,56.0,401.0
3400,37.0,86.0,22.0,597.0,38.0,40.0,36.0,115.0,85.0,16.0,66.0,157.0,199.0,57.0,58.0,32.0,46.0,3.0,117.0,488.0,456.0,116.0,282.0,45.0,118.0,78.0,360.0,70.0,71.0,49.0
3449,12.0,9.0,24.0,71.0,1.0,26.0,55.0,14.0,58.0,113.0,62.0,27.0,89.0,605.0,110.0,60.0,69.0,63.0,328.0,74.0,111.0,426.0,109.0,147.0,149.0,117.0,444.0,139.0,103.0,49.0
3498,13.0,5.0,46.0,521.0,12.0,18.0,39.0,64.0,17.0,129.0,86.0,161.0,72.0,27.0,101.0,123.0,58.0,438.0,325.0,372.0,107.0,29.0,79.0,409.0,100.0,113.0,439.0,118.0,81.0,28.0
3547,110.0,33.0,57.0,16.0,10.0,28.0,18.0,49.0,14.0,99.0,201.0,72.0,194.0,41.0,84.0,75.0,89.0,445.0,106.0,114.0,31.0,399.0,145.0,143.0,88.0,107.0,460.0,324.0,132.0,5.0
3596,96.0,17.0,13.0,72.0,10.0,42.0,52.0,19.0,67.0,16.0,30.0,8.0,1.0,14.0,117.0,59.0,49.0,6.0,329.0,22.0,51.0,32.0,106.0,416.0,381.0,83.0,458.0,141.0,121.0,36.0
3645,260.0,4.0,9.0,5.0,33.0,14.0,30.0,60.0,40.0,100.0,99.0,112.0,35.0,611.0,111.0,120.0,3.0,23.0,41.0,110.0,53.0,144.0,76.0,395.0,12.0,84.0,126.0,101.0,537.0,42.0
3694,1.0,18.0,92.0,522.0,20.0,38.0,37.0,82.0,87.0,299.0,77.0,0.0,71.0,32.0,68.0,120.0,411.0,444.0,328.0,123.0,76.0,128.0,80.0,13.0,42.0,115.0,39.0,111.0,108.0,63.0
3743,31.0,63.0,21.0,5.0,10.0,40.0,36.0,64.0,15.0,68.0,14.0,90.0,215.0,56.0,82.0,50.0,417.0,441.0,326.0,380.0,69.0,392.0,134.0,407.0,385.0,126.0,442.0,89.0,113.0,9.0
3792,98.0,8.0,43.0,12.0,125.0,9.0,31.0,45.0,23.0,20.0,189.0,168.0,6.0,608.0,75.0,89.0,413.0,18.0,11.0,93.0,80.0,116.0,135.0,137.0,37.0,111.0,32.0,105.0,534.0,46.0
3841,15.0,44.0,81.0,2.0,125.0,18.0,32.0,41.0,13.0,139.0,98.0,163.0,40.0,611.0,71.0,50.0,417.0,459.0,334.0,132.0,9.0,51.0,86.0,394.0,61.0,122.0,445.0,11.0,531.0,115.0
3890,289.0,52.0,61.0,513.0,14.0,24.0,28.0,69.0,54.0,34.0,45.0,113.0,159.0,20.0,116.0,109.0,17.0,11.0,122.0,16.0,110.0,37.0,50.0,417.0,378.0,87.0,440.0,315.0,359.0,1.0
3939,5.0,17.0,19.0,519.0,41.0,25.0,57.0,65.0,49.0,301.0,152.0,3.0,78.0,40.0,92.0,44.0,77.0,441.0,119.0,100.0,412.0,45.0,138.0,37.0,384.0,203.0,21.0,60.0,139.0,32.0
3988,10.0,13.0,29.0,15.0,47.0,74.0,66.0,34.0,98.0,11.0,106.0,2.0,4.0,69.0,85.0,105.0,94.0,443.0,30.0,76.0,417.0,493.0,124.0,93.0,82.0,102.0,49.0,56.0,530.0,410.0
4037,8.0,31.0,3.0,5.0,125.0,82.0,64.0,33.0,30.0,11.0,36.0,14.0,16.0,629.0,23.0,47.0,72.0,29.0,19.0,55.0,73.0,141.0,107.0,48.0,85.0,96.0,81.0,78.0,27.0,112.0
4086,10.0,79.0,1.0,517.0,144.0,14.0,37.0,28.0,55.0,2.0,93.0,33.0,210.0,35.0,23.0,84.0,130.0,62.0,30.0,59.0,413.0,393.0,106.0,58.0,38.0,133.0,122.0,53.0,45.0,5.0
4135,30.0,63.0,45.0,523.0,79.0,71.0,43.0,23.0,18.0,21.0,215.0,163.0,22.0,607.0,92.0,70.0,4.0,442.0,39.0,74.0,416.0,498.0,112.0,418.0,102.0,52.0,31.0,58.0,537.0,76.0
4184,12.0,24.0,13.0,524.0,21.0,44.0,85.0,37.0,32.0,7.0,17.0,163.0,120.0,30.0,178.0,79.0,414.0,447.0,77.0,29.0,117.0,51.0,115.0,123.0,141.0,87.0,102.0,68.0,133.0,38.0
4233,69.0,38.0,8.0,521.0,20.0,104.0,29.0,54.0,21.0,19.0,86.0,40.0,5.0,30.0,108.0,75.0,63.0,437.0,28.0,46.0,419.0,420.0,100.0,103.0,76.0,133.0,438.0,56.0,164.0,41.0
4282,8.0,574.0,14.0,31.0,22.0,28.0,68.0,39.0,44.0,137.0,54.0,152.0,139.0,47.0,95.0,88.0,43.0,438.0,41.0,76.0,417.0,34.0,99.0,415.0,83.0,103.0,38.0,140.0,128.0,404.0
4331,1.0,31.0,16.0,615.0,131.0,55.0,59.0,25.0,81.0,34.0,41.0,6.0,115.0,86.0,119.0,47.0,38.0,369.0,29.0,84.0,474.0,378.0,69.0,24.0,111.0,90.0,72.0,133.0,158.0,93.0
4380,30.0,107.0,53.0,26.0,59.0,106.0,62.0,54.0,85.0,63.0,57.0,14.0,156.0,603.0,55.0,24.0,407.0,445.0,83.0,28.0,137.0,6.0,99.0,416.0,96.0,189.0,68.0,40.0,126.0,23.0
4429,5.0,85.0,17.0,523.0,4.0,81.0,117.0,18.0,112.0,35.0,44.0,74.0,181.0,135.0,48.0,66.0,49.0,9.0,335.0,64.0,31.0,11.0,133.0,420.0,130.0,120.0,145.0,233.0,140.0,414.0
4478,11.0,24.0,109.0,26.0,25.0,190.0,80.0,41.0,33.0,29.0,182.0,151.0,232.0,10.0,46.0,86.0,8.0,23.0,94.0,71.0,69.0,14.0,74.0,419.0,39.0,82.0,443.0,271.0,96.0,413.0
4527,31.0,13.0,387.0,515.0,9.0,24.0,36.0,57.0,84.0,134.0,23.0,29.0,18.0,5.0,53.0,80.0,422.0,6.0,142.0,143.0,72.0,54.0,74.0,145.0,27.0,117.0,441.0,102.0,109.0,78.0
4576,12.0,0.0,438.0,598.0,19.0,77.0,42.0,33.0,30.0,37.0,9.0,165.0,131.0,71.0,44.0,108.0,501.0,40.0,58.0,104.0,36.0,122.0,93.0,452.0,55.0,103.0,74.0,137.0,126.0,505.0
4625,23.0,579.0,459.0,513.0,3.0,8.0,47.0,38.0,71.0,121.0,27.0,149.0,216.0,605.0,73.0,50.0,0.0,14.0,76.0,91.0,85.0,93.0,105.0,72.0,142.0,169.0,6.0,118.0,58.0,46.0
4674,15.0,1.0,118.0,617.0,456.0,14.0,112.0,65.0,57.0,339.0,98.0,180.0,30.0,25.0,94.0,87.0,406.0,154.0,140.0,36.0,58.0,384.0,70.0,480.0,76.0,193.0,249.0,96.0,95.0,6.0
4723,0.0,9.0,30.0,517.0,3.0,22.0,60.0,4.0,29.0,55.0,205.0,159.0,13.0,606.0,103.0,102.0,410.0,24.0,238.0,70.0,38.0,394.0,99.0,420.0,80.0,26.0,456.0,131.0,73.0,83.0
4772,6.0,584.0,463.0,519.0,47.0,45.0,79.0,123.0,121.0,92.0,167.0,160.0,19.0,58.0,60.0,99.0,73.0,444.0,129.0,112.0,102.0,2.0,85.0,71.0,81.0,111.0,55.0,116.0,77.0,106.0
4821,58.0,30.0,467.0,40.0,45.0,29.0,73.0,72.0,337.0,82.0,98.0,173.0,75.0,606.0,78.0,85.0,15.0,11.0,143.0,145.0,52.0,14.0,106.0,36.0,65.0,123.0,450.0,100.0,108.0,422.0
4870,35.0,127.0,13.0,524.0,4.0,102.0,49.0,37.0,331.0,47.0,59.0,38.0,23.0,90.0,46.0,99.0,22.0,443.0,334.0,113.0,98.0,78.0,69.0,30.0,104.0,179.0,55.0,110.0,87.0,421.0
