,MAP2K4_DEL,POU5F1B_AMP,PRODH_DEL,CCL3L3_DEL,GRM5_DEL,MYH8_DEL,FAM21A_DEL,ANKRD36_AMP,BMPR2_AMP,FAM66D_DEL,NRXN3_DEL,ATR_MUT,LOC339166_DEL,DNAJC24_DEL,AMY2A_DEL,PPFIBP1_AMP,LOC284344_DEL,SIRPB1_AMP,DOCK10_AMP,SMARCA4_MUT,PRR5-ARHGAP8_DEL,LRP1B_DEL,ANKS1B_DEL,TAG_DEL,BTNL3_DEL,MGAM_DEL,FAM86B1_DEL,KIAA1217_DEL,CDKN2B-AS1_DEL,ASAH2_DEL
523,0.0,19.0,60.0,1.0,269.0,2154.0,20.0,46.0,48.0,55.0,7724.0,50.0,61.0,4283.0,113.0,11.0,3.0,90.0,45.0,16565.0,32.0,144.0,137.0,44.0,59.0,8848.0,53.0,77.0,186.0,152.0
572,5.0,12.0,25.0,1775.0,6.0,2135.0,43.0,38.0,107.0,58.0,7724.0,16450.0,34.0,4282.0,20.0,19297.0,71.0,76.0,63.0,18.0,108.0,77.0,45.0,55.0,125.0,121.0,8953.0,93.0,88.0,72.0
621,10903.0,22304.0,68.0,41.0,266.0,146.0,39.0,46.0,30.0,57.0,48.0,82.0,718.0,72.0,38.0,9.0,151.0,189.0,50.0,65.0,31.0,133.0,67.0,116.0,105.0,91.0,56.0,86.0,81.0,89.0
670,0.0,81.0,61.0,6.0,53.0,2139.0,97.0,14913.0,37.0,50.0,60.0,16452.0,28.0,80.0,70.0,34.0,66.0,87.0,54.0,16572.0,9688.0,10274.0,164.0,121.0,135.0,166.0,8956.0,128.0,187.0,143.0
719,0.0,22276.0,79.0,1779.0,274.0,2144.0,166.0,14918.0,34.0,20667.0,7732.0,77.0,697.0,75.0,78.0,19325.0,198.0,137.0,64.0,3.0,33.0,111.0,119.0,22.0,121.0,179.0,8973.0,144.0,81.0,92.0
768,9.0,8.0,35.0,16.0,24.0,2139.0,83.0,14910.0,23934.0,41.0,7727.0,54.0,58.0,32.0,120.0,19297.0,76.0,53.0,56.0,94.0,14.0,10268.0,156.0,97.0,108.0,157.0,8992.0,116.0,161.0,151.0
817,3.0,30.0,29.0,1.0,302.0,76.0,48.0,33.0,35.0,20663.0,100.0,38.0,649.0,133.0,6.0,65.0,47.0,89.0,75.0,59.0,146.0,102.0,113.0,136.0,74.0,99.0,8939.0,111.0,92.0,135.0
866,5.0,97.0,20.0,1781.0,246.0,155.0,85.0,35.0,10.0,11.0,7730.0,94.0,702.0,4295.0,22.0,23.0,151.0,197.0,55.0,75.0,71.0,74.0,153.0,117.0,156.0,125.0,8958.0,82.0,150.0,111.0
915,0.0,23.0,19.0,1785.0,3.0,2124.0,44.0,15.0,29.0,33.0,7730.0,81.0,59.0,167.0,1453.0,25.0,147.0,144.0,82.0,16551.0,50.0,46.0,60.0,86.0,134.0,109.0,8972.0,161.0,75.0,127.0
964,10905.0,22275.0,23.0,1784.0,7.0,43.0,65.0,59.0,23934.0,21.0,7728.0,16454.0,1.0,4297.0,1600.0,19298.0,73.0,49.0,55.0,66.0,48.0,69.0,149.0,175.0,77.0,125.0,8957.0,171.0,110.0,129.0
1013,10895.0,20.0,46.0,1769.0,6.0,5.0,61.0,73.0,12.0,72.0,44.0,16446.0,53.0,56.0,23.0,24.0,193.0,189.0,21432.0,16565.0,18.0,75.0,101.0,98.0,139.0,144.0,8939.0,155.0,30.0,93.0
1062,10893.0,8.0,30.0,29.0,3.0,6.0,40.0,14908.0,43.0,20680.0,64.0,23.0,47.0,15.0,55.0,66.0,85.0,175.0,106.0,24.0,28.0,75.0,104.0,124.0,71.0,8844.0,32.0,113.0,96.0,84.0
1111,10904.0,2.0,33.0,23.0,0.0,4.0,78.0,50.0,56.0,38.0,57.0,16450.0,655.0,28.0,30.0,19298.0,155.0,143.0,29.0,68.0,25.0,73.0,67.0,76.0,126.0,72.0,8942.0,74.0,54.0,107.0
1160,10902.0,11.0,38.0,1777.0,233.0,9.0,26.0,49.0,32.0,73.0,46.0,3.0,5.0,79.0,62.0,39.0,156.0,29.0,105.0,16567.0,15.0,85.0,107.0,75.0,144.0,55.0,103.0,88.0,123.0,108.0
1209,10894.0,43.0,44.0,17.0,38.0,119.0,67.0,28.0,31.0,45.0,107.0,33.0,23.0,71.0,46.0,19298.0,108.0,132.0,70.0,16550.0,36.0,103.0,92.0,74.0,145.0,75.0,49.0,68.0,18669.0,140.0
1258,10897.0,22272.0,32.0,118.0,268.0,2.0,45.0,65.0,43.0,47.0,27.0,61.0,616.0,37.0,33.0,41.0,79.0,146.0,21411.0,16562.0,9683.0,94.0,11572.0,104.0,73.0,52.0,8938.0,81.0,80.0,120.0
1307,10894.0,3.0,31.0,4.0,6.0,7.0,39.0,55.0,37.0,47.0,108.0,15.0,92.0,77.0,28.0,98.0,107.0,51.0,46.0,65.0,88.0,64.0,111.0,93.0,74.0,8845.0,68.0,102.0,163.0,159.0
1356,10896.0,120.0,61.0,137.0,6.0,11.0,57.0,35.0,51.0,130.0,7723.0,47.0,21.0,14.0,1420.0,19296.0,100.0,94.0,64.0,16547.0,41.0,77.0,88.0,138.0,140.0,84.0,23.0,134.0,18668.0,133.0
1405,10891.0,78.0,68.0,2.0,76.0,24.0,81.0,60.0,38.0,46.0,7723.0,16445.0,57.0,83.0,91.0,14.0,93.0,89.0,66.0,21.0,71.0,52.0,114.0,112.0,72.0,179.0,8998.0,113.0,56.0,94.0
1454,10908.0,22290.0,45.0,47.0,84.0,6.0,67.0,8.0,17.0,35.0,21.0,16454.0,40.0,85.0,98.0,28.0,93.0,124.0,112.0,32.0,90.0,65.0,56.0,137.0,96.0,8856.0,8960.0,142.0,49.0,128.0
1503,1.0,24.0,38.0,2251.0,271.0,29.0,69.0,34.0,111.0,118.0,80.0,3.0,76.0,109.0,86.0,73.0,108.0,49.0,68.0,16551.0,33.0,122.0,87.0,48.0,148.0,58.0,4.0,67.0,66.0,134.0
1552,39.0,22272.0,41.0,59.0,247.0,10.0,4.0,31.0,23926.0,97.0,40.0,67.0,106.0,160.0,29.0,99.0,1341.0,77.0,145.0,86.0,55.0,118.0,37.0,61.0,45.0,83.0,30.0,81.0,80.0,120.0
1601,10899.0,39.0,31.0,33.0,0.0,6.0,86.0,110.0,23870.0,24.0,84.0,17.0,89.0,60.0,37.0,19266.0,132.0,49.0,21452.0,73.0,9684.0,85.0,96.0,147.0,58.0,8845.0,8949.0,102.0,98.0,126.0
1650,13.0,133.0,23.0,5.0,18.0,2144.0,113.0,33.0,85.0,36.0,28.0,59.0,665.0,38.0,1588.0,19331.0,67.0,102.0,58.0,16550.0,129.0,10270.0,54.0,56.0,77.0,86.0,9.0,94.0,173.0,122.0
1699,0.0,22271.0,15.0,41.0,5.0,37.0,33.0,107.0,85.0,161.0,7.0,16467.0,77.0,22.0,27.0,30.0,75.0,155.0,119.0,40.0,156.0,139.0,126.0,43.0,115.0,168.0,8.0,44.0,96.0,49.0
1748,2.0,52.0,111.0,1786.0,267.0,2155.0,7.0,58.0,102.0,132.0,81.0,16484.0,25.0,118.0,22.0,21.0,26.0,96.0,92.0,20.0,35.0,127.0,11581.0,98.0,112.0,56.0,0.0,82.0,156.0,137.0
