,hsa-miR-10a,hsa-miR-21,hsa-miR-22,hsa-miR-766,hsa-miR-24,hsa-miR-126,hsa-miR-151-3p,ebv-miR-BART18-3p,hsa-miR-130a,hsa-miR-593,hsa-miR-142-5p,hsa-miR-574-5p,hsa-miR-29b,hsa-miR-216a,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hcmv-miR-US33-3p,hsa-let-7e,hsa-miR-1180,hsa-miR-1469,hsa-miR-545,hsa-miR-148a,hsa-miR-323-3p,hsa-miR-149,hsa-miR-301b,hsa-miR-34c-3p,hsa-miR-27b,hsa-miR-423-5p,hsa-miR-135b,hsa-miR-937,hsa-miR-31
553,0.0,4.0,30.0,6.0,2.0,9.0,27.0,3.0,14.0,1.0,34.0,108.0,21.0,11.0,66.0,23.0,13.0,531.0,18.0,94.0,226.0,8.0,78.0,32.0,16.0,15.0,25.0,100.0,110.0,19.0
602,0.0,6.0,2.0,4.0,5.0,21.0,24.0,1.0,20.0,31.0,37.0,16.0,32.0,25.0,57.0,11.0,8.0,338.0,46.0,439.0,13.0,18.0,62.0,14.0,10.0,29.0,59.0,115.0,38.0,80.0
651,0.0,14.0,23.0,5.0,3.0,13.0,1.0,21.0,20.0,2.0,47.0,25.0,24.0,178.0,15.0,16.0,82.0,49.0,230.0,494.0,261.0,4.0,51.0,207.0,93.0,34.0,77.0,305.0,136.0,37.0
700,0.0,13.0,7.0,103.0,10.0,148.0,278.0,6.0,9.0,79.0,195.0,41.0,218.0,24.0,19.0,3.0,2.0,31.0,501.0,250.0,29.0,5.0,541.0,211.0,124.0,40.0,214.0,28.0,22.0,98.0
749,0.0,27.0,12.0,50.0,1.0,5.0,9.0,3.0,7.0,2.0,42.0,263.0,194.0,60.0,4.0,35.0,14.0,101.0,433.0,187.0,56.0,48.0,13.0,177.0,142.0,10.0,23.0,138.0,284.0,117.0
798,0.0,7.0,4.0,54.0,2.0,3.0,107.0,1.0,26.0,8.0,370.0,419.0,218.0,10.0,5.0,135.0,242.0,111.0,273.0,308.0,180.0,14.0,553.0,28.0,19.0,44.0,540.0,211.0,9.0,21.0
847,0.0,4.0,51.0,44.0,2.0,19.0,1.0,3.0,18.0,29.0,43.0,121.0,40.0,35.0,5.0,11.0,37.0,23.0,32.0,383.0,57.0,338.0,64.0,16.0,31.0,30.0,75.0,46.0,167.0,7.0
896,0.0,4.0,20.0,22.0,1.0,11.0,40.0,3.0,6.0,2.0,381.0,433.0,25.0,46.0,19.0,209.0,62.0,33.0,606.0,423.0,123.0,23.0,141.0,7.0,61.0,26.0,59.0,237.0,45.0,14.0
945,0.0,6.0,4.0,13.0,1.0,15.0,8.0,17.0,10.0,5.0,169.0,14.0,2.0,95.0,64.0,49.0,30.0,85.0,162.0,264.0,114.0,137.0,289.0,75.0,11.0,28.0,383.0,54.0,156.0,108.0
994,0.0,8.0,2.0,1.0,164.0,186.0,21.0,7.0,4.0,3.0,6.0,40.0,467.0,14.0,503.0,12.0,154.0,161.0,464.0,135.0,478.0,19.0,89.0,10.0,165.0,74.0,240.0,62.0,46.0,56.0
1043,0.0,15.0,2.0,4.0,5.0,106.0,20.0,37.0,18.0,6.0,1.0,8.0,143.0,40.0,38.0,51.0,138.0,22.0,205.0,152.0,129.0,85.0,224.0,7.0,12.0,166.0,62.0,58.0,13.0,54.0
1092,1.0,30.0,0.0,7.0,9.0,438.0,8.0,63.0,2.0,5.0,3.0,131.0,269.0,16.0,103.0,22.0,33.0,21.0,322.0,13.0,183.0,51.0,18.0,53.0,6.0,154.0,12.0,10.0,125.0,17.0
1141,5.0,450.0,2.0,1.0,8.0,90.0,3.0,6.0,0.0,11.0,10.0,4.0,375.0,12.0,329.0,50.0,14.0,272.0,629.0,7.0,355.0,25.0,56.0,15.0,64.0,135.0,29.0,20.0,19.0,114.0
1190,0.0,40.0,2.0,3.0,12.0,7.0,4.0,8.0,22.0,23.0,1.0,35.0,108.0,10.0,26.0,14.0,38.0,17.0,278.0,15.0,71.0,68.0,81.0,19.0,417.0,87.0,73.0,6.0,39.0,30.0
1239,0.0,2.0,8.0,1.0,27.0,48.0,13.0,9.0,12.0,4.0,3.0,26.0,5.0,19.0,43.0,14.0,29.0,11.0,120.0,103.0,150.0,72.0,33.0,41.0,20.0,378.0,76.0,6.0,105.0,17.0
1288,1.0,89.0,3.0,0.0,2.0,61.0,173.0,16.0,79.0,6.0,11.0,8.0,7.0,14.0,33.0,26.0,189.0,94.0,5.0,38.0,141.0,13.0,15.0,429.0,224.0,338.0,42.0,21.0,211.0,336.0
1337,0.0,16.0,3.0,8.0,15.0,270.0,36.0,128.0,1.0,5.0,2.0,6.0,11.0,227.0,54.0,501.0,9.0,51.0,25.0,118.0,265.0,10.0,71.0,24.0,32.0,30.0,158.0,56.0,67.0,37.0
1386,0.0,5.0,20.0,1.0,2.0,84.0,290.0,8.0,13.0,42.0,23.0,26.0,27.0,32.0,3.0,47.0,301.0,257.0,494.0,35.0,29.0,178.0,109.0,4.0,60.0,56.0,158.0,125.0,11.0,117.0
1435,0.0,5.0,3.0,4.0,1.0,35.0,12.0,13.0,20.0,8.0,6.0,7.0,126.0,18.0,56.0,105.0,38.0,195.0,219.0,37.0,387.0,107.0,25.0,26.0,47.0,11.0,140.0,10.0,89.0,9.0
1484,0.0,2.0,14.0,57.0,5.0,1.0,6.0,12.0,34.0,3.0,10.0,20.0,8.0,50.0,89.0,9.0,33.0,31.0,17.0,32.0,11.0,26.0,52.0,44.0,493.0,103.0,27.0,43.0,62.0,24.0
1533,0.0,3.0,8.0,59.0,2.0,7.0,22.0,152.0,26.0,20.0,63.0,5.0,1.0,19.0,25.0,60.0,62.0,18.0,88.0,15.0,70.0,34.0,46.0,39.0,52.0,66.0,32.0,16.0,211.0,14.0
1582,0.0,3.0,24.0,16.0,1.0,56.0,4.0,9.0,32.0,7.0,196.0,43.0,2.0,12.0,27.0,15.0,141.0,26.0,42.0,231.0,28.0,92.0,35.0,50.0,17.0,67.0,83.0,8.0,115.0,14.0
1631,0.0,1.0,5.0,121.0,2.0,9.0,20.0,8.0,29.0,10.0,235.0,11.0,4.0,83.0,70.0,3.0,52.0,13.0,21.0,7.0,88.0,612.0,172.0,214.0,27.0,35.0,15.0,6.0,566.0,31.0
1680,0.0,1.0,7.0,30.0,3.0,9.0,14.0,4.0,11.0,5.0,147.0,15.0,20.0,118.0,29.0,2.0,23.0,80.0,25.0,31.0,263.0,317.0,187.0,288.0,103.0,22.0,268.0,101.0,18.0,21.0
1729,0.0,5.0,3.0,20.0,4.0,15.0,24.0,1.0,175.0,2.0,33.0,16.0,22.0,225.0,56.0,17.0,11.0,9.0,232.0,10.0,317.0,206.0,41.0,133.0,43.0,51.0,129.0,34.0,251.0,12.0
1778,0.0,1.0,20.0,22.0,7.0,3.0,4.0,17.0,30.0,39.0,16.0,8.0,29.0,40.0,32.0,5.0,229.0,2.0,26.0,83.0,13.0,378.0,82.0,73.0,58.0,33.0,309.0,6.0,12.0,24.0
1827,0.0,1.0,2.0,20.0,12.0,4.0,21.0,3.0,29.0,15.0,28.0,39.0,14.0,173.0,25.0,67.0,143.0,7.0,8.0,10.0,170.0,171.0,119.0,184.0,17.0,48.0,66.0,93.0,310.0,51.0
1876,0.0,1.0,4.0,14.0,7.0,15.0,6.0,21.0,19.0,13.0,18.0,26.0,11.0,29.0,5.0,22.0,474.0,2.0,9.0,10.0,41.0,39.0,25.0,12.0,23.0,161.0,106.0,30.0,42.0,45.0
1925,0.0,1.0,13.0,74.0,19.0,12.0,8.0,4.0,25.0,5.0,3.0,2.0,20.0,14.0,7.0,10.0,110.0,6.0,374.0,9.0,36.0,27.0,427.0,487.0,11.0,131.0,32.0,66.0,89.0,42.0
1974,1.0,13.0,0.0,2.0,3.0,7.0,12.0,149.0,5.0,58.0,371.0,139.0,17.0,76.0,11.0,41.0,21.0,9.0,26.0,36.0,23.0,351.0,118.0,22.0,208.0,274.0,406.0,34.0,400.0,79.0
2023,1.0,78.0,3.0,0.0,19.0,44.0,12.0,192.0,2.0,29.0,23.0,62.0,237.0,311.0,4.0,360.0,85.0,184.0,97.0,40.0,179.0,13.0,55.0,100.0,6.0,296.0,48.0,77.0,53.0,121.0
2072,2.0,6.0,9.0,0.0,41.0,21.0,7.0,170.0,1.0,418.0,26.0,3.0,31.0,355.0,8.0,11.0,349.0,5.0,29.0,94.0,91.0,62.0,117.0,363.0,15.0,88.0,246.0,209.0,318.0,157.0
2121,1.0,37.0,2.0,0.0,11.0,40.0,24.0,13.0,3.0,333.0,8.0,4.0,99.0,25.0,10.0,7.0,6.0,28.0,75.0,564.0,32.0,157.0,48.0,165.0,71.0,150.0,131.0,14.0,42.0,76.0
2170,1.0,13.0,31.0,4.0,2.0,5.0,3.0,45.0,0.0,415.0,14.0,10.0,74.0,325.0,22.0,94.0,8.0,19.0,46.0,179.0,6.0,41.0,127.0,286.0,83.0,55.0,71.0,39.0,288.0,292.0
2219,0.0,74.0,12.0,6.0,1.0,160.0,3.0,40.0,62.0,13.0,4.0,130.0,8.0,26.0,137.0,180.0,17.0,14.0,15.0,29.0,56.0,34.0,324.0,35.0,60.0,110.0,43.0,85.0,168.0,203.0
2268,0.0,5.0,2.0,14.0,42.0,24.0,94.0,8.0,3.0,137.0,1.0,25.0,33.0,92.0,6.0,18.0,4.0,10.0,20.0,512.0,12.0,54.0,136.0,293.0,304.0,159.0,29.0,225.0,315.0,84.0
2317,0.0,3.0,5.0,1.0,59.0,14.0,6.0,19.0,18.0,75.0,2.0,4.0,41.0,10.0,61.0,43.0,24.0,16.0,20.0,324.0,87.0,92.0,58.0,17.0,39.0,168.0,64.0,68.0,255.0,29.0
2366,0.0,26.0,62.0,2.0,12.0,33.0,3.0,42.0,259.0,17.0,1.0,77.0,302.0,44.0,6.0,5.0,21.0,10.0,20.0,13.0,8.0,37.0,39.0,69.0,66.0,40.0,19.0,250.0,188.0,340.0
2415,0.0,4.0,5.0,2.0,154.0,9.0,3.0,25.0,52.0,10.0,1.0,14.0,41.0,107.0,100.0,6.0,20.0,16.0,523.0,42.0,44.0,36.0,17.0,175.0,156.0,173.0,74.0,125.0,66.0,553.0
2464,0.0,2.0,24.0,4.0,7.0,3.0,10.0,62.0,56.0,41.0,102.0,481.0,93.0,390.0,113.0,155.0,27.0,25.0,17.0,59.0,1.0,36.0,96.0,31.0,172.0,413.0,30.0,39.0,157.0,161.0
2513,3.0,1.0,13.0,5.0,51.0,0.0,37.0,604.0,2.0,19.0,34.0,172.0,11.0,104.0,599.0,454.0,240.0,30.0,190.0,8.0,26.0,7.0,184.0,50.0,23.0,68.0,260.0,221.0,156.0,21.0
2562,6.0,0.0,8.0,3.0,18.0,1.0,2.0,10.0,4.0,30.0,22.0,13.0,32.0,7.0,34.0,483.0,15.0,68.0,5.0,25.0,20.0,11.0,43.0,44.0,49.0,300.0,23.0,74.0,62.0,184.0
2611,0.0,194.0,9.0,11.0,10.0,3.0,28.0,1.0,146.0,8.0,21.0,6.0,13.0,34.0,20.0,73.0,232.0,408.0,5.0,66.0,27.0,14.0,96.0,2.0,622.0,373.0,38.0,139.0,16.0,576.0
2660,3.0,4.0,2.0,0.0,6.0,39.0,82.0,11.0,13.0,1.0,34.0,33.0,7.0,10.0,322.0,285.0,90.0,338.0,79.0,228.0,58.0,9.0,17.0,112.0,62.0,290.0,32.0,98.0,31.0,69.0
2709,0.0,7.0,1.0,5.0,2.0,40.0,8.0,11.0,85.0,6.0,28.0,115.0,10.0,38.0,352.0,548.0,131.0,3.0,66.0,90.0,4.0,12.0,67.0,39.0,111.0,382.0,59.0,24.0,98.0,31.0
2758,6.0,1.0,3.0,29.0,35.0,11.0,5.0,129.0,7.0,20.0,57.0,123.0,9.0,2.0,590.0,342.0,183.0,213.0,26.0,89.0,8.0,63.0,70.0,0.0,160.0,56.0,4.0,79.0,60.0,242.0
2807,14.0,0.0,7.0,5.0,24.0,3.0,6.0,13.0,16.0,1.0,8.0,41.0,27.0,31.0,55.0,150.0,99.0,50.0,20.0,142.0,40.0,26.0,213.0,507.0,18.0,314.0,39.0,9.0,252.0,236.0
2856,10.0,0.0,2.0,45.0,4.0,6.0,3.0,37.0,145.0,26.0,5.0,28.0,1.0,8.0,90.0,129.0,419.0,212.0,23.0,195.0,18.0,71.0,21.0,9.0,220.0,73.0,35.0,16.0,170.0,13.0
2905,6.0,1.0,4.0,21.0,43.0,475.0,7.0,3.0,140.0,0.0,427.0,22.0,32.0,20.0,199.0,50.0,64.0,201.0,306.0,437.0,36.0,28.0,192.0,68.0,82.0,55.0,130.0,607.0,41.0,10.0
2954,0.0,2.0,5.0,3.0,1.0,10.0,7.0,6.0,41.0,40.0,24.0,4.0,22.0,12.0,216.0,544.0,170.0,177.0,125.0,293.0,95.0,127.0,91.0,48.0,146.0,162.0,72.0,139.0,13.0,200.0
3003,1.0,5.0,49.0,0.0,3.0,59.0,11.0,263.0,118.0,67.0,15.0,25.0,41.0,8.0,420.0,34.0,212.0,271.0,231.0,150.0,115.0,129.0,413.0,6.0,16.0,552.0,70.0,98.0,123.0,20.0
3052,1.0,0.0,7.0,10.0,2.0,25.0,11.0,48.0,46.0,61.0,6.0,3.0,23.0,4.0,52.0,26.0,22.0,14.0,211.0,50.0,51.0,177.0,103.0,183.0,28.0,94.0,58.0,76.0,92.0,17.0
3101,1.0,0.0,22.0,2.0,3.0,50.0,13.0,5.0,219.0,8.0,40.0,51.0,47.0,42.0,27.0,11.0,4.0,110.0,121.0,55.0,129.0,14.0,199.0,9.0,70.0,36.0,17.0,37.0,56.0,83.0
3150,2.0,0.0,3.0,4.0,1.0,77.0,8.0,7.0,6.0,15.0,12.0,19.0,349.0,10.0,177.0,95.0,20.0,474.0,25.0,111.0,5.0,54.0,31.0,23.0,9.0,621.0,151.0,154.0,135.0,92.0
3199,1.0,2.0,5.0,4.0,0.0,21.0,10.0,6.0,53.0,3.0,105.0,13.0,7.0,63.0,165.0,27.0,60.0,267.0,43.0,234.0,44.0,619.0,19.0,14.0,8.0,237.0,99.0,166.0,75.0,26.0
3248,0.0,4.0,54.0,1.0,10.0,32.0,219.0,3.0,14.0,36.0,157.0,23.0,13.0,8.0,5.0,227.0,544.0,71.0,42.0,204.0,11.0,173.0,43.0,2.0,15.0,107.0,72.0,12.0,290.0,301.0
3297,0.0,5.0,11.0,3.0,1.0,10.0,21.0,2.0,39.0,9.0,203.0,20.0,68.0,366.0,47.0,133.0,268.0,267.0,67.0,53.0,49.0,163.0,8.0,146.0,7.0,50.0,345.0,136.0,73.0,465.0
3346,0.0,1.0,37.0,3.0,2.0,112.0,26.0,4.0,14.0,106.0,121.0,177.0,5.0,153.0,6.0,337.0,240.0,546.0,19.0,278.0,21.0,166.0,72.0,29.0,32.0,13.0,68.0,31.0,293.0,225.0
3395,0.0,1.0,8.0,19.0,9.0,37.0,331.0,6.0,10.0,459.0,105.0,259.0,556.0,13.0,47.0,4.0,43.0,84.0,454.0,48.0,3.0,72.0,22.0,7.0,622.0,114.0,274.0,406.0,463.0,184.0
3444,0.0,1.0,3.0,6.0,9.0,36.0,11.0,8.0,2.0,14.0,12.0,4.0,214.0,21.0,7.0,377.0,13.0,18.0,91.0,10.0,71.0,455.0,50.0,304.0,20.0,22.0,55.0,15.0,103.0,5.0
3493,0.0,2.0,1.0,9.0,4.0,6.0,5.0,30.0,7.0,65.0,16.0,3.0,12.0,625.0,36.0,480.0,25.0,22.0,21.0,8.0,170.0,297.0,486.0,563.0,11.0,13.0,49.0,74.0,26.0,15.0
3542,0.0,1.0,2.0,17.0,6.0,9.0,8.0,7.0,3.0,24.0,38.0,4.0,315.0,131.0,30.0,210.0,19.0,27.0,122.0,14.0,120.0,13.0,54.0,193.0,55.0,34.0,12.0,23.0,52.0,15.0
3591,0.0,3.0,1.0,41.0,5.0,8.0,16.0,6.0,2.0,4.0,9.0,10.0,488.0,43.0,20.0,329.0,458.0,155.0,13.0,7.0,26.0,22.0,108.0,100.0,15.0,46.0,47.0,65.0,31.0,259.0
3640,0.0,3.0,6.0,8.0,16.0,1.0,46.0,74.0,11.0,13.0,12.0,5.0,156.0,56.0,10.0,15.0,21.0,20.0,4.0,7.0,17.0,55.0,30.0,86.0,19.0,82.0,2.0,159.0,9.0,54.0
3689,0.0,4.0,7.0,28.0,8.0,3.0,11.0,31.0,21.0,40.0,6.0,2.0,352.0,12.0,25.0,99.0,13.0,71.0,124.0,5.0,57.0,46.0,22.0,135.0,16.0,10.0,233.0,20.0,44.0,62.0
3738,0.0,13.0,1.0,10.0,22.0,5.0,6.0,45.0,14.0,11.0,9.0,2.0,4.0,15.0,19.0,74.0,7.0,26.0,16.0,3.0,99.0,136.0,149.0,175.0,81.0,92.0,44.0,56.0,18.0,52.0
3787,0.0,8.0,3.0,23.0,22.0,5.0,84.0,77.0,6.0,56.0,4.0,2.0,20.0,17.0,9.0,28.0,10.0,13.0,14.0,1.0,71.0,414.0,33.0,105.0,55.0,24.0,30.0,29.0,88.0,54.0
3836,0.0,3.0,13.0,9.0,11.0,6.0,61.0,32.0,2.0,10.0,5.0,4.0,38.0,36.0,23.0,35.0,16.0,15.0,14.0,26.0,238.0,511.0,47.0,284.0,8.0,7.0,1.0,72.0,43.0,24.0
3885,0.0,1.0,16.0,2.0,9.0,3.0,15.0,23.0,5.0,18.0,4.0,10.0,13.0,55.0,19.0,174.0,17.0,41.0,98.0,22.0,196.0,124.0,48.0,255.0,21.0,30.0,58.0,393.0,229.0,8.0
3934,1.0,0.0,7.0,2.0,30.0,17.0,15.0,4.0,23.0,51.0,177.0,31.0,10.0,11.0,5.0,18.0,206.0,25.0,71.0,572.0,40.0,14.0,9.0,16.0,13.0,112.0,287.0,159.0,65.0,21.0
3983,3.0,0.0,16.0,1.0,2.0,10.0,55.0,13.0,5.0,52.0,12.0,7.0,4.0,78.0,20.0,42.0,25.0,37.0,77.0,244.0,24.0,91.0,283.0,121.0,6.0,31.0,231.0,440.0,87.0,502.0
4032,1.0,0.0,21.0,2.0,41.0,130.0,32.0,18.0,60.0,62.0,16.0,6.0,3.0,4.0,39.0,31.0,252.0,119.0,26.0,263.0,28.0,251.0,235.0,183.0,83.0,96.0,521.0,458.0,266.0,30.0
4081,2.0,0.0,7.0,1.0,4.0,12.0,38.0,15.0,14.0,108.0,8.0,5.0,18.0,6.0,11.0,17.0,152.0,214.0,69.0,33.0,3.0,232.0,16.0,171.0,345.0,22.0,216.0,20.0,177.0,89.0
4130,3.0,0.0,4.0,1.0,22.0,7.0,2.0,9.0,33.0,34.0,5.0,98.0,8.0,100.0,99.0,129.0,42.0,76.0,17.0,18.0,97.0,390.0,10.0,64.0,138.0,28.0,446.0,117.0,23.0,238.0
4179,2.0,0.0,8.0,6.0,87.0,35.0,23.0,19.0,34.0,22.0,7.0,1.0,3.0,4.0,155.0,16.0,596.0,146.0,32.0,67.0,14.0,20.0,12.0,36.0,242.0,15.0,103.0,96.0,40.0,70.0
4228,4.0,17.0,2.0,0.0,5.0,216.0,9.0,3.0,88.0,34.0,55.0,6.0,131.0,11.0,46.0,1.0,512.0,111.0,14.0,7.0,123.0,40.0,67.0,117.0,26.0,24.0,143.0,41.0,8.0,246.0
4277,2.0,0.0,4.0,10.0,6.0,53.0,1.0,19.0,8.0,78.0,63.0,3.0,13.0,31.0,18.0,21.0,117.0,44.0,5.0,24.0,149.0,136.0,9.0,64.0,89.0,55.0,569.0,15.0,41.0,7.0
4326,0.0,1.0,3.0,15.0,61.0,23.0,21.0,2.0,115.0,99.0,79.0,6.0,7.0,24.0,22.0,463.0,215.0,178.0,8.0,65.0,4.0,18.0,393.0,105.0,33.0,430.0,406.0,129.0,49.0,51.0
4375,6.0,1.0,0.0,5.0,56.0,2.0,4.0,9.0,19.0,13.0,320.0,7.0,27.0,30.0,15.0,38.0,37.0,347.0,12.0,10.0,146.0,133.0,42.0,343.0,3.0,40.0,236.0,64.0,20.0,97.0
4424,0.0,5.0,1.0,6.0,99.0,3.0,9.0,31.0,43.0,4.0,2.0,8.0,198.0,163.0,180.0,298.0,74.0,528.0,492.0,62.0,209.0,108.0,112.0,7.0,46.0,118.0,582.0,45.0,73.0,25.0
4473,0.0,1.0,2.0,3.0,30.0,12.0,338.0,4.0,11.0,134.0,72.0,22.0,16.0,10.0,66.0,119.0,128.0,196.0,193.0,75.0,35.0,398.0,459.0,6.0,21.0,91.0,5.0,79.0,14.0,20.0
4522,1.0,63.0,0.0,4.0,6.0,18.0,7.0,9.0,5.0,2.0,23.0,10.0,78.0,29.0,39.0,20.0,106.0,49.0,28.0,275.0,47.0,179.0,456.0,8.0,81.0,495.0,376.0,268.0,159.0,57.0
4571,0.0,7.0,1.0,9.0,60.0,14.0,173.0,6.0,12.0,4.0,44.0,38.0,178.0,2.0,47.0,3.0,368.0,273.0,59.0,222.0,20.0,16.0,269.0,5.0,91.0,49.0,19.0,18.0,26.0,205.0
4620,0.0,1.0,6.0,15.0,13.0,14.0,101.0,3.0,4.0,10.0,2.0,7.0,12.0,24.0,9.0,25.0,22.0,20.0,278.0,321.0,152.0,44.0,217.0,5.0,98.0,91.0,19.0,17.0,149.0,141.0
4669,0.0,3.0,6.0,33.0,18.0,11.0,14.0,9.0,4.0,208.0,2.0,7.0,31.0,40.0,51.0,15.0,29.0,102.0,19.0,42.0,384.0,319.0,622.0,1.0,571.0,39.0,10.0,361.0,5.0,365.0
4718,0.0,1.0,2.0,4.0,26.0,8.0,7.0,23.0,14.0,3.0,13.0,27.0,34.0,6.0,16.0,12.0,32.0,341.0,219.0,60.0,15.0,180.0,102.0,31.0,69.0,152.0,10.0,104.0,33.0,149.0
4767,0.0,4.0,1.0,9.0,52.0,70.0,11.0,29.0,34.0,5.0,19.0,2.0,38.0,53.0,194.0,7.0,8.0,54.0,123.0,14.0,10.0,491.0,15.0,13.0,256.0,120.0,3.0,24.0,63.0,30.0
4816,0.0,1.0,5.0,8.0,19.0,7.0,2.0,16.0,14.0,12.0,11.0,3.0,22.0,10.0,4.0,9.0,15.0,103.0,53.0,27.0,23.0,478.0,17.0,35.0,177.0,157.0,13.0,20.0,29.0,28.0
4865,1.0,2.0,0.0,16.0,32.0,6.0,14.0,7.0,46.0,57.0,76.0,3.0,36.0,9.0,4.0,33.0,595.0,108.0,10.0,242.0,75.0,432.0,28.0,8.0,173.0,307.0,41.0,11.0,39.0,437.0
