,hsa-miR-142-5p,hsa-miR-223,hsa-miR-205,hsa-miR-199b-5p,hsa-miR-21,hsa-miR-31,hsa-miR-210,hsa-let-7e,hsa-miR-22,hsa-miR-147b,hsa-miR-200a,hsa-miR-1302,hsa-miR-27b,hsa-miR-130a,hsa-miR-30a,hsa-miR-574-5p,hsa-miR-224,hsa-miR-151-3p,hsa-miR-219-2-3p,hsa-miR-135b,hsa-miR-766,hsa-miR-592,hsa-miR-193b,hsa-let-7i,hsa-miR-193a-5p,kshv-miR-K12-4-3p,hsa-miR-149,hsa-miR-96,hsa-miR-518f,hcmv-miR-UL148D
2419,0.0,2.0,8.0,3.0,5.0,14.0,1.0,28.0,18.0,49.0,6.0,10.0,17.0,30.0,24.0,50.0,4.0,112.0,37.0,11.0,288.0,153.0,9.0,213.0,12.0,93.0,136.0,149.0,419.0,182.0
2468,0.0,7.0,1.0,2.0,6.0,15.0,9.0,13.0,8.0,38.0,4.0,16.0,5.0,147.0,55.0,14.0,17.0,67.0,70.0,23.0,10.0,11.0,47.0,3.0,22.0,81.0,21.0,114.0,59.0,18.0
2517,0.0,5.0,3.0,1.0,8.0,4.0,24.0,19.0,21.0,40.0,7.0,58.0,10.0,9.0,6.0,33.0,11.0,80.0,16.0,13.0,15.0,22.0,265.0,50.0,141.0,31.0,178.0,76.0,2.0,57.0
2566,0.0,1.0,8.0,3.0,13.0,10.0,4.0,7.0,40.0,17.0,12.0,25.0,21.0,44.0,9.0,34.0,6.0,88.0,100.0,5.0,53.0,166.0,22.0,2.0,31.0,145.0,51.0,24.0,11.0,111.0
2615,0.0,1.0,3.0,2.0,7.0,5.0,10.0,4.0,35.0,9.0,19.0,11.0,45.0,17.0,54.0,42.0,24.0,21.0,20.0,76.0,13.0,38.0,26.0,8.0,14.0,23.0,468.0,136.0,12.0,28.0
2664,0.0,1.0,3.0,2.0,6.0,42.0,5.0,24.0,18.0,35.0,8.0,4.0,13.0,26.0,113.0,50.0,7.0,100.0,15.0,12.0,16.0,37.0,29.0,19.0,10.0,39.0,33.0,38.0,11.0,57.0
2713,0.0,1.0,2.0,15.0,10.0,5.0,17.0,3.0,53.0,7.0,6.0,25.0,42.0,13.0,12.0,95.0,11.0,174.0,22.0,18.0,44.0,16.0,8.0,9.0,58.0,33.0,29.0,24.0,4.0,97.0
2762,0.0,8.0,1.0,9.0,2.0,6.0,23.0,13.0,15.0,189.0,14.0,7.0,5.0,16.0,11.0,28.0,43.0,114.0,17.0,19.0,32.0,109.0,10.0,12.0,27.0,98.0,40.0,364.0,3.0,34.0
2811,1.0,0.0,3.0,5.0,2.0,7.0,8.0,18.0,25.0,92.0,4.0,10.0,85.0,21.0,30.0,22.0,20.0,44.0,68.0,28.0,39.0,193.0,11.0,9.0,6.0,15.0,62.0,69.0,13.0,14.0
2860,0.0,6.0,4.0,12.0,9.0,25.0,3.0,1.0,21.0,18.0,14.0,7.0,90.0,13.0,11.0,22.0,5.0,15.0,28.0,10.0,19.0,111.0,16.0,2.0,8.0,78.0,309.0,89.0,23.0,17.0
