,KIAA1217_DEL,ZBTB20_AMP,DOCK10_AMP,BRAF_MUT,FMN2_AMP,BMPR2_AMP,GSTTP1_AMP,UNC13C_MUT,SORD_AMP,PTCH1_AMP,SESTD1_AMP,BCAS1_AMP,CDC73_AMP,ZNF705G_AMP,NRXN3_DEL,NRXN1_DEL,FAM35B_DEL,BCL2_DEL,MST1P9_AMP,FFAR3_DEL,PCCB_DEL,LINC00221_DEL,AMY2A_DEL,MGAM_DEL,BRAF.V600E_MUT,SIRPB1_AMP,ARHGAP22_DEL,BTNL3_DEL,SORL1_MUT,ATG10_DEL
960,8.0,1.0,0.0,6.0,2.0,14.0,24.0,21.0,56.0,36.0,9.0,17.0,30.0,5.0,50.0,86.0,90.0,38.0,20.0,165.0,105.0,91.0,27.0,380.0,10.0,11.0,33.0,3.0,45.0,42.0
1009,16.0,13.0,33.0,2.0,1.0,0.0,6.0,3.0,113.0,25.0,60.0,15.0,78.0,21.0,12.0,4.0,23.0,29.0,28.0,44.0,9.0,32.0,45.0,180.0,10.0,772.0,8.0,439.0,11.0,27.0
1058,12.0,8.0,17.0,7.0,2.0,6.0,1.0,4.0,0.0,9.0,48.0,5.0,11.0,3.0,18.0,14.0,79.0,266.0,10.0,53.0,16.0,74.0,33.0,1044.0,24.0,76.0,26.0,42.0,25.0,61.0
1107,17.0,6.0,10.0,2.0,71.0,1.0,9.0,8.0,0.0,20.0,11.0,18.0,3.0,15.0,97.0,36.0,14.0,111.0,5.0,22.0,13.0,19.0,30.0,48.0,21.0,78.0,25.0,54.0,16.0,96.0
1156,5.0,4.0,7.0,61.0,2.0,1.0,0.0,3.0,10.0,14.0,92.0,6.0,11.0,32.0,13.0,26.0,15.0,29.0,33.0,121.0,18.0,22.0,58.0,20.0,472.0,24.0,36.0,16.0,46.0,63.0
1205,3.0,26.0,4.0,1.0,9.0,5.0,0.0,8.0,7.0,14.0,6.0,17.0,19.0,2.0,13.0,16.0,43.0,25.0,23.0,77.0,12.0,18.0,55.0,36.0,11.0,79.0,37.0,208.0,15.0,129.0
1254,2.0,0.0,20.0,14.0,25.0,3.0,7.0,4.0,8.0,5.0,11.0,1.0,22.0,35.0,15.0,13.0,12.0,24.0,10.0,9.0,33.0,85.0,21.0,17.0,18.0,195.0,23.0,118.0,223.0,27.0
1303,13.0,4.0,5.0,7.0,0.0,1.0,3.0,20.0,17.0,14.0,38.0,31.0,44.0,42.0,32.0,21.0,12.0,39.0,28.0,16.0,30.0,43.0,23.0,99.0,26.0,47.0,22.0,8.0,18.0,36.0
1352,7.0,8.0,5.0,2.0,1.0,4.0,11.0,18.0,0.0,6.0,9.0,12.0,47.0,21.0,20.0,30.0,10.0,46.0,22.0,3.0,14.0,19.0,82.0,88.0,28.0,414.0,65.0,13.0,24.0,49.0
1401,47.0,13.0,4.0,6.0,34.0,0.0,8.0,12.0,2.0,22.0,309.0,7.0,16.0,3.0,33.0,9.0,1.0,26.0,5.0,11.0,422.0,14.0,65.0,19.0,24.0,48.0,101.0,15.0,58.0,146.0
1450,2.0,14.0,7.0,23.0,3.0,1.0,5.0,4.0,0.0,15.0,10.0,25.0,26.0,11.0,6.0,24.0,27.0,40.0,13.0,54.0,16.0,18.0,44.0,41.0,95.0,287.0,17.0,31.0,55.0,71.0
1499,0.0,12.0,3.0,46.0,21.0,20.0,1.0,38.0,6.0,7.0,13.0,18.0,69.0,103.0,17.0,4.0,25.0,9.0,71.0,36.0,5.0,26.0,24.0,66.0,148.0,16.0,35.0,332.0,60.0,41.0
1548,0.0,3.0,2.0,29.0,7.0,67.0,6.0,9.0,8.0,4.0,1.0,49.0,13.0,70.0,32.0,10.0,27.0,14.0,80.0,33.0,12.0,35.0,16.0,22.0,310.0,39.0,63.0,69.0,94.0,17.0
1597,2.0,0.0,5.0,10.0,8.0,23.0,3.0,39.0,7.0,11.0,12.0,87.0,25.0,103.0,19.0,20.0,81.0,21.0,41.0,72.0,27.0,57.0,13.0,16.0,74.0,62.0,18.0,6.0,78.0,35.0
1646,0.0,5.0,1.0,35.0,8.0,27.0,10.0,4.0,3.0,7.0,2.0,16.0,23.0,64.0,24.0,215.0,38.0,30.0,12.0,121.0,6.0,22.0,45.0,14.0,218.0,50.0,170.0,13.0,57.0,11.0
1695,0.0,2.0,1.0,30.0,9.0,8.0,4.0,37.0,24.0,3.0,5.0,26.0,31.0,32.0,29.0,14.0,36.0,13.0,49.0,15.0,25.0,65.0,11.0,12.0,77.0,53.0,46.0,109.0,167.0,10.0
1744,0.0,2.0,17.0,3.0,22.0,4.0,9.0,15.0,118.0,19.0,18.0,79.0,208.0,1.0,40.0,10.0,20.0,31.0,33.0,107.0,6.0,26.0,8.0,71.0,43.0,77.0,49.0,134.0,80.0,5.0
1793,1.0,2.0,5.0,41.0,82.0,10.0,4.0,28.0,0.0,34.0,3.0,25.0,9.0,21.0,14.0,12.0,263.0,92.0,32.0,349.0,27.0,182.0,58.0,79.0,237.0,18.0,17.0,16.0,249.0,11.0
1842,0.0,1.0,5.0,51.0,26.0,17.0,14.0,7.0,3.0,10.0,2.0,12.0,28.0,39.0,20.0,41.0,139.0,25.0,13.0,19.0,16.0,251.0,18.0,31.0,79.0,104.0,37.0,6.0,53.0,24.0
1891,0.0,28.0,2.0,38.0,459.0,16.0,3.0,31.0,318.0,11.0,9.0,22.0,13.0,4.0,20.0,29.0,296.0,10.0,154.0,64.0,5.0,14.0,92.0,42.0,126.0,1228.0,44.0,412.0,304.0,53.0
1940,2.0,4.0,1.0,22.0,9.0,17.0,12.0,10.0,0.0,5.0,13.0,32.0,6.0,8.0,21.0,19.0,23.0,24.0,40.0,27.0,28.0,29.0,14.0,30.0,144.0,3489.0,212.0,11.0,38.0,50.0
1989,1.0,2.0,0.0,3.0,9.0,5.0,8.0,4.0,63.0,6.0,29.0,11.0,17.0,334.0,21.0,14.0,116.0,10.0,64.0,43.0,30.0,16.0,28.0,15.0,12.0,52.0,210.0,1488.0,26.0,107.0
2038,6.0,1.0,2.0,5.0,0.0,8.0,44.0,4.0,18.0,3.0,27.0,9.0,29.0,129.0,16.0,144.0,76.0,11.0,89.0,122.0,20.0,7.0,26.0,10.0,36.0,268.0,1145.0,22.0,21.0,100.0
2087,1.0,5.0,2.0,0.0,4.0,7.0,50.0,3.0,48.0,8.0,55.0,35.0,49.0,111.0,12.0,14.0,44.0,15.0,117.0,13.0,18.0,10.0,38.0,41.0,9.0,70.0,263.0,81.0,21.0,86.0
2136,1.0,0.0,9.0,16.0,101.0,2.0,90.0,3.0,20.0,13.0,63.0,5.0,69.0,92.0,4.0,14.0,21.0,8.0,18.0,6.0,99.0,31.0,221.0,15.0,73.0,223.0,65.0,33.0,243.0,175.0
2185,6.0,0.0,24.0,2.0,56.0,3.0,67.0,1.0,46.0,9.0,4.0,10.0,18.0,54.0,113.0,58.0,57.0,37.0,43.0,32.0,49.0,8.0,30.0,5.0,7.0,173.0,80.0,39.0,16.0,63.0
2234,2.0,1.0,4.0,3.0,0.0,33.0,25.0,7.0,340.0,10.0,102.0,31.0,42.0,53.0,28.0,8.0,564.0,59.0,109.0,375.0,38.0,21.0,35.0,194.0,32.0,14.0,216.0,63.0,37.0,159.0
2283,4.0,0.0,3.0,6.0,1.0,2.0,8.0,9.0,97.0,11.0,146.0,13.0,45.0,50.0,20.0,7.0,88.0,23.0,48.0,61.0,26.0,12.0,25.0,10.0,15.0,49.0,142.0,172.0,16.0,100.0
2332,2.0,1.0,4.0,0.0,8.0,7.0,13.0,6.0,59.0,16.0,11.0,25.0,17.0,12.0,19.0,9.0,72.0,14.0,27.0,18.0,36.0,10.0,30.0,15.0,3.0,202.0,272.0,104.0,21.0,149.0
2381,4.0,3.0,0.0,5.0,68.0,21.0,50.0,1.0,25.0,10.0,70.0,7.0,40.0,6.0,32.0,20.0,107.0,17.0,93.0,24.0,105.0,8.0,27.0,19.0,30.0,59.0,291.0,49.0,36.0,123.0
2430,0.0,1.0,5.0,3.0,4.0,6.0,30.0,12.0,41.0,2.0,50.0,11.0,19.0,53.0,21.0,25.0,16.0,20.0,52.0,23.0,39.0,14.0,35.0,18.0,15.0,17.0,359.0,161.0,36.0,117.0
2479,10.0,6.0,1.0,21.0,0.0,30.0,3.0,9.0,5.0,7.0,4.0,28.0,8.0,44.0,16.0,32.0,96.0,97.0,39.0,194.0,26.0,150.0,17.0,514.0,120.0,2.0,84.0,74.0,11.0,23.0
2528,10.0,4.0,0.0,41.0,2.0,17.0,3.0,16.0,1.0,7.0,27.0,8.0,15.0,131.0,5.0,13.0,551.0,42.0,66.0,101.0,6.0,1714.0,22.0,407.0,69.0,9.0,25.0,105.0,14.0,39.0
2577,14.0,0.0,1.0,40.0,5.0,15.0,7.0,116.0,4.0,10.0,8.0,18.0,3.0,11.0,20.0,12.0,96.0,84.0,69.0,29.0,59.0,224.0,348.0,48.0,200.0,6.0,28.0,118.0,53.0,16.0
2626,4.0,6.0,0.0,12.0,5.0,142.0,1.0,13.0,9.0,3.0,7.0,8.0,2.0,11.0,38.0,17.0,90.0,95.0,56.0,23.0,32.0,94.0,20.0,181.0,52.0,16.0,35.0,154.0,22.0,39.0
2675,18.0,69.0,21.0,3.0,10.0,16.0,45.0,11.0,36.0,87.0,4.0,41.0,23.0,0.0,75.0,43.0,373.0,618.0,40.0,29.0,38.0,60.0,53.0,8392.0,9.0,2.0,24.0,169.0,12.0,46.0
2724,0.0,2.0,3.0,11.0,8.0,40.0,4.0,17.0,6.0,5.0,1.0,15.0,7.0,25.0,21.0,12.0,71.0,208.0,26.0,36.0,28.0,162.0,30.0,332.0,54.0,19.0,57.0,202.0,20.0,22.0
2773,32.0,4.0,5.0,6.0,1.0,27.0,16.0,9.0,37.0,2.0,8.0,7.0,10.0,14.0,44.0,28.0,29.0,155.0,53.0,20.0,36.0,81.0,13.0,405.0,38.0,0.0,74.0,22.0,25.0,42.0
2822,11.0,7.0,1.0,35.0,4.0,72.0,13.0,6.0,0.0,8.0,3.0,17.0,2.0,14.0,43.0,22.0,303.0,221.0,51.0,36.0,20.0,60.0,55.0,3516.0,288.0,9.0,67.0,26.0,44.0,21.0
2871,116.0,28.0,5.0,61.0,14.0,73.0,1.0,9.0,15.0,3.0,10.0,11.0,23.0,16.0,18.0,12.0,280.0,99.0,70.0,48.0,19.0,163.0,124.0,442.0,331.0,7.0,33.0,1087.0,45.0,41.0
2920,9.0,2.0,0.0,21.0,6.0,42.0,1.0,23.0,11.0,4.0,8.0,5.0,7.0,24.0,29.0,20.0,134.0,209.0,48.0,109.0,12.0,73.0,47.0,96.0,104.0,13.0,31.0,117.0,19.0,30.0
2969,1.0,0.0,3.0,10.0,8.0,5.0,12.0,26.0,36.0,65.0,35.0,47.0,13.0,7.0,21.0,9.0,4.0,17.0,16.0,6.0,105.0,117.0,52.0,387.0,48.0,20.0,24.0,11.0,92.0,44.0
3018,1.0,0.0,2.0,4.0,52.0,6.0,10.0,51.0,15.0,74.0,107.0,64.0,24.0,9.0,7.0,11.0,8.0,25.0,95.0,19.0,188.0,41.0,91.0,31.0,88.0,48.0,13.0,1268.0,246.0,202.0
3067,0.0,1.0,2.0,12.0,4.0,8.0,6.0,17.0,14.0,35.0,50.0,28.0,11.0,5.0,10.0,13.0,20.0,16.0,15.0,7.0,31.0,41.0,62.0,731.0,63.0,9.0,42.0,202.0,84.0,25.0
3116,2.0,3.0,0.0,32.0,6.0,10.0,1.0,58.0,14.0,38.0,13.0,37.0,4.0,73.0,5.0,16.0,35.0,8.0,46.0,70.0,28.0,166.0,65.0,52.0,610.0,8970.0,21.0,56.0,67.0,12.0
3165,9.0,0.0,4.0,5.0,8.0,3.0,47.0,22.0,2.0,10.0,24.0,13.0,7.0,1.0,38.0,105.0,41.0,1032.0,14.0,53.0,56.0,1205.0,45.0,1982.0,30.0,12.0,16.0,6.0,67.0,27.0
3214,0.0,2.0,1.0,3.0,15.0,6.0,54.0,23.0,8.0,19.0,27.0,20.0,16.0,4.0,7.0,12.0,10.0,17.0,25.0,9.0,238.0,33.0,94.0,76.0,22.0,15913.0,211.0,46.0,157.0,147.0
3263,0.0,1.0,3.0,19.0,6.0,2.0,92.0,10.0,7.0,24.0,56.0,8.0,74.0,12.0,20.0,31.0,5.0,13.0,18.0,11.0,25.0,454.0,29.0,126.0,71.0,15.0,16.0,14.0,153.0,62.0
3312,0.0,1.0,2.0,3.0,15.0,14.0,45.0,8.0,21.0,10.0,11.0,17.0,5.0,20.0,13.0,19.0,28.0,12.0,6.0,4.0,61.0,46.0,137.0,109.0,37.0,16.0,113.0,167.0,222.0,25.0
3361,1.0,0.0,6.0,17.0,64.0,4.0,11.0,14.0,38.0,63.0,22.0,24.0,8.0,13.0,7.0,5.0,9.0,15.0,16.0,3.0,71.0,92.0,243.0,55.0,244.0,189.0,23.0,83.0,256.0,67.0
3410,0.0,1.0,2.0,16.0,7.0,6.0,12.0,59.0,4.0,19.0,15.0,17.0,5.0,13.0,11.0,14.0,8.0,22.0,10.0,3.0,89.0,185.0,189.0,107.0,233.0,343.0,65.0,28.0,130.0,23.0
3459,32.0,3.0,25.0,6.0,0.0,5.0,10.0,21.0,1.0,44.0,15.0,16.0,9.0,67.0,8.0,31.0,617.0,164.0,17.0,30.0,12.0,73.0,22.0,53.0,47.0,24.0,26.0,7.0,29.0,65.0
3508,1.0,3.0,15.0,0.0,4.0,6.0,8.0,2.0,24.0,44.0,80.0,61.0,153.0,10.0,11.0,13.0,17.0,18.0,28.0,5.0,22.0,7.0,25.0,38.0,23.0,86.0,31.0,39.0,47.0,20.0
3557,6.0,2.0,1.0,3.0,0.0,4.0,5.0,15.0,12.0,33.0,18.0,26.0,63.0,66.0,9.0,7.0,120.0,23.0,38.0,22.0,8.0,11.0,20.0,10.0,25.0,128.0,52.0,46.0,19.0,16.0
3606,1.0,3.0,5.0,0.0,2.0,4.0,6.0,13.0,9.0,48.0,26.0,24.0,46.0,16.0,8.0,11.0,38.0,14.0,19.0,12.0,10.0,7.0,31.0,25.0,28.0,167.0,42.0,18.0,44.0,27.0
3655,3.0,5.0,31.0,1.0,22.0,4.0,13.0,2.0,39.0,26.0,6.0,16.0,58.0,11.0,14.0,23.0,27.0,19.0,21.0,10.0,20.0,7.0,101.0,12.0,15.0,366.0,56.0,206.0,152.0,45.0
3704,36.0,0.0,7.0,12.0,2.0,1.0,3.0,4.0,9.0,56.0,5.0,18.0,53.0,21.0,14.0,37.0,26.0,20.0,24.0,58.0,42.0,45.0,25.0,19.0,133.0,17.0,80.0,10.0,41.0,29.0
3753,2.0,11.0,4.0,12.0,8.0,3.0,37.0,30.0,0.0,42.0,141.0,17.0,274.0,6.0,7.0,38.0,5.0,9.0,13.0,14.0,98.0,41.0,60.0,40.0,39.0,22.0,66.0,1.0,92.0,15.0
3802,6.0,2.0,3.0,5.0,1.0,8.0,13.0,4.0,0.0,22.0,14.0,50.0,9.0,32.0,31.0,19.0,61.0,7.0,15.0,12.0,39.0,36.0,18.0,26.0,41.0,131.0,194.0,66.0,11.0,25.0
3851,0.0,7.0,4.0,6.0,2.0,8.0,42.0,3.0,1.0,13.0,5.0,20.0,21.0,25.0,18.0,38.0,23.0,79.0,10.0,16.0,12.0,14.0,30.0,19.0,66.0,112.0,50.0,9.0,46.0,37.0
3900,0.0,4.0,3.0,37.0,5.0,41.0,11.0,89.0,16.0,19.0,7.0,26.0,187.0,23.0,14.0,13.0,20.0,8.0,35.0,1.0,10.0,28.0,40.0,30.0,110.0,93.0,109.0,15.0,51.0,9.0
3949,0.0,1.0,6.0,4.0,5.0,17.0,29.0,11.0,12.0,2.0,19.0,8.0,26.0,21.0,54.0,33.0,7.0,18.0,23.0,15.0,34.0,49.0,32.0,31.0,3.0,16.0,58.0,193.0,56.0,206.0
3998,0.0,3.0,22.0,1.0,16.0,9.0,81.0,10.0,4.0,11.0,7.0,36.0,12.0,19.0,436.0,37.0,44.0,143.0,21.0,135.0,15.0,42.0,29.0,270.0,5.0,2.0,56.0,1491.0,80.0,79.0
4047,0.0,10.0,1.0,11.0,16.0,40.0,3.0,45.0,5.0,8.0,23.0,19.0,6.0,24.0,9.0,14.0,21.0,12.0,102.0,120.0,25.0,13.0,85.0,28.0,44.0,2.0,66.0,212.0,97.0,50.0
4096,0.0,1.0,5.0,2.0,3.0,19.0,10.0,18.0,8.0,4.0,15.0,14.0,22.0,28.0,29.0,11.0,12.0,21.0,24.0,23.0,25.0,20.0,35.0,31.0,9.0,7.0,36.0,395.0,85.0,51.0
4145,1.0,0.0,10.0,3.0,25.0,14.0,5.0,2.0,12.0,15.0,18.0,7.0,8.0,4.0,38.0,31.0,13.0,23.0,19.0,113.0,24.0,9.0,34.0,42.0,26.0,6.0,68.0,30.0,45.0,116.0
4194,0.0,4.0,1.0,8.0,5.0,40.0,13.0,25.0,3.0,2.0,22.0,18.0,11.0,15.0,29.0,34.0,9.0,31.0,12.0,28.0,44.0,14.0,58.0,27.0,38.0,7.0,79.0,47.0,24.0,70.0
4243,0.0,8.0,3.0,2.0,42.0,114.0,5.0,14.0,25.0,6.0,30.0,7.0,9.0,21.0,23.0,18.0,15.0,22.0,24.0,110.0,17.0,10.0,33.0,39.0,12.0,1.0,40.0,6640.0,83.0,47.0
4292,0.0,2.0,12.0,1.0,9.0,19.0,10.0,3.0,33.0,4.0,17.0,18.0,29.0,22.0,13.0,7.0,5.0,28.0,25.0,26.0,11.0,24.0,132.0,50.0,16.0,14.0,15.0,97.0,167.0,140.0
4341,0.0,8.0,4.0,6.0,3.0,10.0,9.0,70.0,228.0,7.0,16.0,31.0,12.0,33.0,22.0,15.0,34.0,17.0,769.0,50.0,23.0,24.0,46.0,27.0,11.0,2.0,36.0,153.0,42.0,79.0
4390,0.0,4.0,3.0,2.0,13.0,23.0,5.0,32.0,16.0,7.0,35.0,9.0,15.0,8.0,22.0,6.0,10.0,11.0,102.0,24.0,28.0,27.0,47.0,33.0,14.0,1.0,25.0,110.0,77.0,132.0
4439,7.0,9.0,60.0,6.0,47.0,1.0,46.0,13.0,25.0,45.0,3.0,17.0,19.0,32.0,116.0,230.0,34.0,89.0,24.0,23.0,49.0,37.0,35.0,5.0,8.0,18.0,94.0,30.0,93.0,197.0
4488,5.0,4.0,34.0,45.0,112.0,0.0,193.0,21.0,2.0,198.0,118.0,40.0,29.0,36.0,35.0,56.0,19.0,37.0,8.0,1.0,410.0,33.0,509.0,10.0,61.0,14.0,78.0,145.0,610.0,545.0
4537,12.0,1.0,33.0,17.0,4.0,6.0,103.0,3.0,0.0,2.0,10.0,11.0,8.0,39.0,49.0,225.0,249.0,191.0,25.0,47.0,14.0,83.0,30.0,93.0,26.0,7.0,28.0,2093.0,160.0,131.0
4586,11.0,0.0,38.0,10.0,60.0,1.0,68.0,4.0,2.0,29.0,7.0,8.0,16.0,61.0,32.0,103.0,47.0,30.0,105.0,34.0,6.0,43.0,23.0,5.0,13.0,210.0,9.0,336.0,59.0,55.0
4635,0.0,2.0,14.0,7.0,110.0,1.0,63.0,11.0,3.0,10.0,12.0,15.0,34.0,30.0,99.0,150.0,4.0,44.0,92.0,9.0,33.0,69.0,38.0,8.0,6.0,25.0,26.0,273.0,139.0,280.0
4684,5.0,1.0,16.0,24.0,93.0,0.0,94.0,9.0,3.0,13.0,2.0,27.0,4.0,48.0,60.0,154.0,7.0,29.0,12.0,6.0,17.0,75.0,54.0,10.0,32.0,134.0,47.0,163.0,26.0,153.0
4733,15.0,8.0,24.0,112.0,17.0,3.0,23.0,20.0,0.0,11.0,10.0,14.0,13.0,245.0,74.0,118.0,6.0,30.0,76.0,25.0,31.0,284.0,49.0,5.0,92.0,46.0,56.0,47.0,119.0,98.0
4782,5.0,4.0,7.0,23.0,55.0,0.0,63.0,16.0,3.0,12.0,1.0,6.0,21.0,97.0,50.0,662.0,9.0,41.0,17.0,11.0,14.0,39.0,108.0,8.0,28.0,76.0,53.0,132.0,88.0,244.0
4831,5.0,1.0,14.0,34.0,70.0,2.0,24.0,8.0,0.0,19.0,3.0,9.0,12.0,26.0,132.0,230.0,7.0,69.0,47.0,81.0,21.0,33.0,58.0,13.0,35.0,4.0,11.0,57.0,77.0,148.0
4880,5.0,4.0,15.0,128.0,119.0,1.0,33.0,9.0,0.0,12.0,3.0,16.0,25.0,82.0,56.0,381.0,10.0,34.0,64.0,46.0,11.0,70.0,32.0,6.0,92.0,30.0,79.0,114.0,60.0,175.0
