,TAZ,Bcl-2,SHP-2_pY542,Transglutaminase,Rad50,Annexin 1,Rb,p38_pT180_Y182,TSC1,CD31,Shc_pY317,Rb_pS807_S811,HER2,FoxM1,GATA3,Src,HER2_pY1248,Bcl-xL,NF2,RSK1-2-3,Caveolin-1,C-Raf_pS338,Beclin,Cyclin_D1,Bad_pS112,ACVRL1,Myosin IIa pS1943,p53,Gab2,AMPK_pT172
638,0.0,8.0,4.0,9.0,30.0,41.0,15.0,1.0,14.0,13.0,16.0,36.0,35.0,33.0,31.0,7.0,63.0,22.0,11.0,23.0,34.0,81.0,26.0,57.0,24.0,52.0,66.0,3.0,74.0,56.0
687,1.0,0.0,6.0,2.0,7.0,47.0,30.0,13.0,31.0,10.0,5.0,16.0,24.0,14.0,26.0,37.0,32.0,44.0,25.0,4.0,66.0,12.0,11.0,36.0,33.0,53.0,35.0,3.0,57.0,61.0
736,1.0,27.0,17.0,9.0,20.0,15.0,12.0,0.0,43.0,51.0,6.0,24.0,4.0,40.0,22.0,26.0,10.0,39.0,23.0,8.0,44.0,63.0,30.0,34.0,2.0,55.0,47.0,31.0,73.0,65.0
785,0.0,1.0,38.0,10.0,2.0,74.0,8.0,3.0,34.0,41.0,23.0,32.0,11.0,25.0,15.0,12.0,56.0,7.0,6.0,37.0,17.0,33.0,26.0,19.0,22.0,29.0,78.0,4.0,60.0,50.0
834,5.0,3.0,21.0,0.0,24.0,13.0,75.0,8.0,37.0,35.0,2.0,4.0,54.0,1.0,66.0,9.0,47.0,14.0,27.0,17.0,33.0,31.0,16.0,42.0,11.0,64.0,18.0,15.0,68.0,97.0
883,4.0,1.0,7.0,0.0,29.0,24.0,35.0,5.0,34.0,26.0,31.0,45.0,12.0,11.0,37.0,6.0,40.0,30.0,36.0,18.0,49.0,19.0,21.0,9.0,44.0,13.0,43.0,10.0,42.0,22.0
932,1.0,0.0,6.0,27.0,10.0,16.0,9.0,3.0,13.0,36.0,14.0,4.0,26.0,17.0,37.0,5.0,54.0,12.0,8.0,45.0,20.0,68.0,49.0,84.0,39.0,99.0,40.0,33.0,21.0,55.0
981,3.0,7.0,14.0,9.0,43.0,5.0,11.0,23.0,12.0,2.0,10.0,8.0,13.0,27.0,42.0,59.0,15.0,35.0,80.0,97.0,36.0,4.0,31.0,19.0,1.0,0.0,30.0,21.0,71.0,25.0
1030,0.0,21.0,9.0,1.0,2.0,19.0,58.0,3.0,4.0,8.0,7.0,35.0,12.0,15.0,56.0,25.0,17.0,27.0,70.0,106.0,33.0,23.0,14.0,6.0,22.0,26.0,31.0,55.0,93.0,20.0
1079,0.0,3.0,13.0,1.0,15.0,5.0,23.0,6.0,20.0,52.0,2.0,9.0,18.0,45.0,12.0,17.0,39.0,7.0,109.0,53.0,27.0,16.0,28.0,63.0,14.0,38.0,24.0,48.0,26.0,34.0
1128,4.0,0.0,17.0,1.0,36.0,18.0,34.0,8.0,40.0,2.0,28.0,37.0,10.0,33.0,6.0,54.0,9.0,20.0,91.0,29.0,23.0,11.0,16.0,19.0,5.0,15.0,50.0,22.0,74.0,27.0
1177,3.0,1.0,6.0,8.0,36.0,16.0,23.0,5.0,0.0,4.0,19.0,11.0,2.0,17.0,21.0,15.0,14.0,9.0,95.0,87.0,40.0,27.0,44.0,12.0,29.0,38.0,39.0,58.0,48.0,18.0
1226,16.0,4.0,22.0,0.0,38.0,23.0,35.0,8.0,9.0,39.0,40.0,14.0,1.0,61.0,11.0,2.0,12.0,33.0,64.0,65.0,27.0,5.0,6.0,25.0,3.0,15.0,59.0,72.0,37.0,31.0
1275,2.0,0.0,4.0,9.0,43.0,1.0,26.0,25.0,16.0,7.0,44.0,15.0,12.0,41.0,24.0,19.0,14.0,8.0,82.0,33.0,51.0,3.0,22.0,23.0,6.0,5.0,31.0,34.0,53.0,11.0
1324,17.0,3.0,33.0,1.0,10.0,0.0,31.0,20.0,28.0,7.0,30.0,35.0,15.0,29.0,25.0,11.0,48.0,37.0,40.0,71.0,36.0,24.0,32.0,2.0,18.0,21.0,44.0,43.0,46.0,42.0
1373,5.0,0.0,18.0,2.0,64.0,6.0,29.0,19.0,12.0,30.0,20.0,39.0,7.0,36.0,8.0,16.0,42.0,9.0,75.0,61.0,45.0,38.0,32.0,25.0,4.0,14.0,27.0,52.0,43.0,34.0
1422,0.0,15.0,10.0,3.0,22.0,1.0,23.0,33.0,14.0,6.0,46.0,42.0,27.0,24.0,11.0,4.0,31.0,2.0,63.0,53.0,51.0,8.0,5.0,18.0,17.0,19.0,20.0,49.0,70.0,97.0
1471,0.0,1.0,39.0,31.0,4.0,3.0,6.0,27.0,18.0,11.0,2.0,10.0,8.0,66.0,14.0,45.0,16.0,9.0,34.0,41.0,29.0,35.0,5.0,26.0,68.0,7.0,49.0,30.0,23.0,20.0
1520,5.0,0.0,38.0,42.0,15.0,1.0,13.0,2.0,31.0,16.0,6.0,18.0,12.0,32.0,19.0,53.0,10.0,14.0,21.0,33.0,25.0,36.0,40.0,28.0,44.0,4.0,17.0,57.0,7.0,54.0
1569,0.0,2.0,25.0,13.0,10.0,8.0,33.0,3.0,4.0,12.0,1.0,68.0,11.0,48.0,21.0,36.0,16.0,7.0,71.0,19.0,14.0,29.0,6.0,35.0,47.0,24.0,82.0,27.0,5.0,20.0
1618,1.0,0.0,10.0,9.0,6.0,2.0,19.0,4.0,24.0,12.0,3.0,42.0,7.0,41.0,22.0,27.0,14.0,34.0,120.0,11.0,17.0,25.0,5.0,40.0,23.0,13.0,48.0,37.0,18.0,56.0
1667,4.0,2.0,10.0,7.0,16.0,12.0,15.0,40.0,26.0,14.0,3.0,28.0,8.0,9.0,11.0,51.0,0.0,35.0,61.0,25.0,13.0,63.0,20.0,17.0,83.0,1.0,43.0,45.0,22.0,38.0
1716,0.0,1.0,19.0,8.0,18.0,21.0,5.0,6.0,11.0,10.0,2.0,14.0,13.0,24.0,48.0,25.0,4.0,9.0,56.0,45.0,7.0,40.0,41.0,15.0,12.0,3.0,54.0,23.0,50.0,93.0
1765,7.0,8.0,18.0,12.0,4.0,3.0,2.0,5.0,32.0,36.0,0.0,19.0,14.0,28.0,33.0,34.0,15.0,16.0,88.0,46.0,11.0,42.0,9.0,56.0,25.0,13.0,23.0,43.0,1.0,55.0
1814,0.0,7.0,29.0,14.0,11.0,9.0,24.0,6.0,3.0,31.0,1.0,15.0,4.0,16.0,33.0,127.0,2.0,23.0,64.0,13.0,10.0,42.0,18.0,27.0,66.0,8.0,45.0,26.0,5.0,52.0
1863,2.0,4.0,10.0,36.0,50.0,0.0,15.0,6.0,12.0,17.0,3.0,1.0,31.0,58.0,21.0,68.0,9.0,19.0,55.0,24.0,43.0,26.0,39.0,32.0,16.0,5.0,37.0,13.0,27.0,90.0
1912,2.0,6.0,16.0,5.0,18.0,1.0,13.0,15.0,11.0,3.0,0.0,45.0,14.0,4.0,12.0,30.0,10.0,21.0,9.0,51.0,26.0,47.0,7.0,39.0,56.0,17.0,41.0,20.0,23.0,46.0
1961,2.0,1.0,5.0,3.0,13.0,15.0,12.0,60.0,21.0,7.0,4.0,28.0,6.0,0.0,8.0,26.0,18.0,39.0,11.0,20.0,31.0,43.0,14.0,42.0,29.0,73.0,9.0,35.0,33.0,10.0
2010,1.0,2.0,13.0,6.0,9.0,4.0,12.0,74.0,43.0,20.0,28.0,30.0,8.0,21.0,35.0,0.0,17.0,15.0,3.0,11.0,39.0,36.0,33.0,10.0,29.0,44.0,26.0,53.0,55.0,41.0
2059,1.0,3.0,22.0,4.0,5.0,0.0,9.0,47.0,2.0,20.0,6.0,26.0,23.0,8.0,7.0,31.0,29.0,57.0,19.0,13.0,53.0,21.0,18.0,67.0,62.0,60.0,11.0,34.0,63.0,35.0
2108,0.0,4.0,3.0,14.0,25.0,13.0,7.0,74.0,2.0,29.0,8.0,26.0,5.0,16.0,12.0,34.0,15.0,17.0,10.0,42.0,27.0,51.0,18.0,53.0,54.0,28.0,1.0,31.0,37.0,80.0
2157,1.0,18.0,20.0,19.0,16.0,0.0,2.0,32.0,5.0,27.0,15.0,17.0,7.0,10.0,87.0,9.0,21.0,8.0,3.0,6.0,34.0,22.0,25.0,65.0,54.0,12.0,4.0,48.0,55.0,30.0
2206,9.0,7.0,4.0,2.0,14.0,6.0,1.0,56.0,19.0,30.0,10.0,43.0,23.0,16.0,34.0,38.0,27.0,25.0,3.0,46.0,15.0,49.0,33.0,20.0,18.0,61.0,5.0,73.0,52.0,41.0
2255,5.0,12.0,2.0,19.0,41.0,3.0,0.0,49.0,15.0,8.0,1.0,14.0,22.0,17.0,9.0,6.0,27.0,24.0,7.0,29.0,42.0,23.0,57.0,32.0,11.0,69.0,10.0,39.0,56.0,44.0
2304,5.0,1.0,2.0,19.0,32.0,0.0,12.0,30.0,4.0,31.0,20.0,47.0,28.0,52.0,39.0,40.0,18.0,46.0,7.0,42.0,36.0,16.0,14.0,45.0,48.0,102.0,3.0,6.0,9.0,53.0
2353,3.0,26.0,5.0,19.0,8.0,0.0,4.0,39.0,6.0,63.0,14.0,28.0,27.0,2.0,10.0,29.0,15.0,12.0,22.0,9.0,30.0,76.0,71.0,54.0,36.0,79.0,1.0,7.0,31.0,21.0
2402,4.0,0.0,5.0,3.0,9.0,1.0,16.0,67.0,11.0,25.0,2.0,36.0,12.0,19.0,20.0,7.0,18.0,43.0,21.0,13.0,59.0,15.0,8.0,29.0,61.0,14.0,10.0,24.0,49.0,54.0
2451,3.0,9.0,1.0,42.0,10.0,0.0,8.0,26.0,16.0,30.0,20.0,7.0,22.0,45.0,13.0,2.0,29.0,15.0,14.0,55.0,19.0,49.0,34.0,44.0,11.0,4.0,21.0,123.0,31.0,18.0
2500,35.0,5.0,8.0,31.0,14.0,15.0,18.0,12.0,6.0,4.0,7.0,3.0,13.0,37.0,25.0,0.0,40.0,41.0,50.0,100.0,24.0,21.0,27.0,33.0,47.0,2.0,26.0,90.0,10.0,23.0
2549,2.0,13.0,8.0,19.0,12.0,9.0,5.0,1.0,3.0,17.0,10.0,0.0,18.0,63.0,4.0,20.0,31.0,41.0,6.0,36.0,14.0,21.0,37.0,38.0,39.0,24.0,40.0,113.0,46.0,15.0
2598,5.0,4.0,0.0,33.0,7.0,2.0,17.0,20.0,1.0,16.0,10.0,6.0,13.0,35.0,29.0,3.0,14.0,15.0,8.0,51.0,43.0,22.0,34.0,23.0,25.0,21.0,26.0,106.0,45.0,49.0
2647,1.0,3.0,6.0,24.0,7.0,9.0,11.0,2.0,10.0,4.0,23.0,0.0,29.0,26.0,18.0,13.0,16.0,28.0,5.0,25.0,33.0,39.0,55.0,56.0,15.0,12.0,31.0,51.0,27.0,20.0
2696,12.0,1.0,13.0,35.0,8.0,2.0,9.0,36.0,27.0,3.0,19.0,5.0,24.0,40.0,0.0,6.0,30.0,7.0,4.0,10.0,15.0,18.0,21.0,29.0,64.0,16.0,39.0,116.0,32.0,20.0
2745,12.0,2.0,4.0,14.0,8.0,0.0,3.0,11.0,15.0,18.0,9.0,5.0,28.0,22.0,17.0,19.0,48.0,44.0,1.0,10.0,25.0,16.0,39.0,20.0,38.0,7.0,33.0,102.0,40.0,21.0
2794,6.0,4.0,1.0,46.0,13.0,3.0,7.0,11.0,21.0,10.0,9.0,0.0,15.0,45.0,12.0,5.0,24.0,34.0,8.0,25.0,16.0,32.0,27.0,19.0,23.0,14.0,28.0,59.0,31.0,17.0
2843,7.0,4.0,1.0,27.0,12.0,2.0,19.0,40.0,10.0,32.0,0.0,3.0,18.0,33.0,9.0,22.0,37.0,41.0,16.0,43.0,46.0,8.0,14.0,6.0,17.0,5.0,69.0,123.0,57.0,31.0
2892,4.0,14.0,19.0,36.0,9.0,3.0,22.0,7.0,24.0,12.0,8.0,0.0,13.0,16.0,31.0,2.0,38.0,17.0,33.0,45.0,1.0,74.0,60.0,28.0,5.0,62.0,42.0,43.0,65.0,20.0
2941,8.0,7.0,5.0,0.0,15.0,2.0,6.0,13.0,10.0,1.0,14.0,20.0,38.0,4.0,67.0,35.0,57.0,42.0,41.0,39.0,26.0,3.0,46.0,9.0,45.0,62.0,16.0,30.0,21.0,19.0
2990,4.0,6.0,15.0,0.0,3.0,21.0,5.0,9.0,8.0,17.0,10.0,23.0,24.0,1.0,29.0,22.0,18.0,12.0,33.0,11.0,16.0,14.0,43.0,40.0,20.0,76.0,34.0,26.0,49.0,41.0
3039,6.0,5.0,7.0,0.0,2.0,3.0,59.0,8.0,17.0,4.0,18.0,32.0,46.0,1.0,13.0,36.0,35.0,30.0,9.0,22.0,34.0,24.0,28.0,25.0,44.0,39.0,23.0,19.0,10.0,38.0
3088,20.0,1.0,4.0,0.0,5.0,3.0,18.0,27.0,19.0,9.0,26.0,45.0,14.0,12.0,29.0,38.0,25.0,13.0,43.0,31.0,58.0,10.0,6.0,24.0,35.0,28.0,40.0,11.0,22.0,16.0
3137,2.0,13.0,6.0,0.0,10.0,11.0,9.0,47.0,3.0,5.0,20.0,15.0,48.0,14.0,27.0,71.0,53.0,7.0,37.0,21.0,18.0,17.0,50.0,42.0,43.0,81.0,74.0,32.0,56.0,39.0
3186,4.0,1.0,13.0,21.0,9.0,19.0,2.0,3.0,8.0,15.0,18.0,17.0,37.0,5.0,20.0,30.0,38.0,52.0,39.0,36.0,27.0,55.0,10.0,60.0,46.0,7.0,35.0,44.0,23.0,16.0
3235,4.0,11.0,3.0,1.0,2.0,0.0,28.0,65.0,8.0,7.0,22.0,6.0,40.0,9.0,42.0,16.0,41.0,20.0,19.0,32.0,10.0,35.0,33.0,60.0,49.0,21.0,47.0,43.0,51.0,48.0
3284,10.0,1.0,11.0,3.0,7.0,2.0,12.0,37.0,25.0,16.0,18.0,4.0,63.0,17.0,14.0,68.0,56.0,48.0,15.0,6.0,30.0,0.0,9.0,29.0,32.0,47.0,21.0,5.0,70.0,90.0
3333,10.0,0.0,9.0,6.0,5.0,8.0,2.0,28.0,17.0,3.0,4.0,20.0,22.0,1.0,7.0,47.0,63.0,13.0,16.0,29.0,27.0,11.0,21.0,35.0,26.0,32.0,23.0,58.0,24.0,82.0
3382,3.0,11.0,13.0,0.0,1.0,5.0,16.0,49.0,14.0,2.0,10.0,6.0,20.0,4.0,15.0,37.0,36.0,33.0,65.0,26.0,28.0,18.0,25.0,27.0,67.0,87.0,54.0,56.0,24.0,21.0
3431,1.0,4.0,19.0,6.0,0.0,29.0,12.0,11.0,32.0,26.0,13.0,2.0,3.0,21.0,9.0,38.0,24.0,53.0,7.0,34.0,14.0,55.0,41.0,51.0,23.0,56.0,28.0,25.0,45.0,8.0
3480,1.0,5.0,17.0,9.0,0.0,12.0,7.0,16.0,13.0,34.0,8.0,4.0,2.0,6.0,15.0,21.0,19.0,42.0,45.0,29.0,46.0,33.0,22.0,47.0,24.0,38.0,14.0,26.0,31.0,10.0
3529,2.0,3.0,31.0,16.0,0.0,23.0,9.0,1.0,5.0,10.0,13.0,7.0,11.0,6.0,12.0,52.0,22.0,51.0,27.0,17.0,15.0,48.0,8.0,19.0,18.0,57.0,30.0,25.0,67.0,14.0
3578,0.0,26.0,10.0,17.0,1.0,23.0,9.0,14.0,7.0,16.0,15.0,5.0,12.0,6.0,31.0,43.0,30.0,85.0,46.0,18.0,11.0,45.0,44.0,71.0,27.0,25.0,29.0,3.0,19.0,8.0
3627,8.0,14.0,6.0,21.0,0.0,12.0,27.0,20.0,11.0,19.0,16.0,2.0,4.0,1.0,3.0,25.0,13.0,46.0,68.0,23.0,5.0,26.0,18.0,65.0,37.0,45.0,34.0,29.0,50.0,10.0
3676,8.0,25.0,18.0,32.0,0.0,13.0,6.0,24.0,11.0,12.0,4.0,1.0,21.0,2.0,10.0,29.0,31.0,27.0,15.0,9.0,5.0,33.0,16.0,64.0,48.0,60.0,54.0,20.0,26.0,7.0
3725,5.0,16.0,11.0,52.0,0.0,42.0,2.0,3.0,4.0,22.0,15.0,12.0,13.0,1.0,6.0,38.0,18.0,100.0,36.0,43.0,20.0,80.0,31.0,58.0,50.0,66.0,41.0,30.0,33.0,34.0
3774,8.0,24.0,10.0,48.0,3.0,62.0,9.0,2.0,1.0,18.0,31.0,5.0,6.0,4.0,20.0,26.0,16.0,39.0,32.0,0.0,12.0,42.0,27.0,28.0,86.0,54.0,17.0,37.0,22.0,11.0
3823,0.0,17.0,3.0,29.0,1.0,26.0,2.0,12.0,18.0,43.0,8.0,7.0,27.0,4.0,38.0,15.0,9.0,53.0,20.0,25.0,36.0,60.0,24.0,51.0,21.0,44.0,14.0,65.0,42.0,19.0
3872,1.0,27.0,24.0,17.0,0.0,18.0,3.0,32.0,15.0,13.0,2.0,7.0,25.0,6.0,64.0,46.0,53.0,34.0,5.0,4.0,16.0,20.0,54.0,38.0,22.0,84.0,28.0,44.0,72.0,23.0
3921,0.0,15.0,3.0,7.0,1.0,2.0,10.0,8.0,30.0,19.0,5.0,6.0,26.0,36.0,24.0,22.0,9.0,25.0,12.0,28.0,21.0,11.0,40.0,46.0,23.0,4.0,32.0,16.0,17.0,71.0
3970,0.0,3.0,7.0,10.0,21.0,5.0,24.0,12.0,6.0,41.0,32.0,26.0,18.0,4.0,33.0,22.0,9.0,19.0,2.0,14.0,16.0,37.0,68.0,17.0,13.0,54.0,64.0,29.0,11.0,27.0
4019,0.0,9.0,34.0,22.0,30.0,6.0,15.0,11.0,18.0,25.0,40.0,2.0,19.0,20.0,29.0,51.0,3.0,47.0,1.0,16.0,8.0,36.0,50.0,42.0,33.0,4.0,43.0,10.0,7.0,5.0
4068,12.0,6.0,5.0,0.0,4.0,1.0,28.0,11.0,37.0,7.0,32.0,10.0,29.0,2.0,77.0,20.0,3.0,23.0,19.0,9.0,13.0,22.0,30.0,41.0,8.0,31.0,34.0,18.0,14.0,25.0
4117,0.0,15.0,11.0,10.0,66.0,25.0,16.0,17.0,30.0,59.0,5.0,3.0,18.0,8.0,78.0,21.0,9.0,26.0,13.0,1.0,14.0,2.0,80.0,50.0,7.0,82.0,34.0,29.0,38.0,6.0
4166,1.0,0.0,4.0,10.0,2.0,17.0,7.0,12.0,16.0,13.0,35.0,6.0,11.0,3.0,38.0,60.0,5.0,8.0,29.0,21.0,19.0,70.0,24.0,45.0,44.0,15.0,32.0,23.0,54.0,9.0
4215,1.0,10.0,0.0,7.0,22.0,6.0,4.0,3.0,32.0,5.0,18.0,2.0,30.0,36.0,16.0,11.0,20.0,9.0,24.0,12.0,8.0,21.0,92.0,44.0,46.0,19.0,17.0,38.0,45.0,74.0
4264,23.0,9.0,3.0,5.0,13.0,6.0,2.0,1.0,31.0,16.0,18.0,15.0,33.0,0.0,19.0,27.0,41.0,8.0,10.0,7.0,4.0,26.0,54.0,20.0,29.0,30.0,32.0,47.0,76.0,39.0
4313,2.0,6.0,3.0,1.0,16.0,17.0,53.0,27.0,46.0,14.0,44.0,48.0,11.0,0.0,13.0,7.0,12.0,9.0,30.0,24.0,10.0,20.0,25.0,5.0,21.0,19.0,33.0,8.0,37.0,18.0
4362,0.0,7.0,8.0,18.0,5.0,3.0,12.0,4.0,9.0,2.0,22.0,1.0,20.0,11.0,13.0,30.0,6.0,15.0,17.0,19.0,29.0,73.0,33.0,14.0,27.0,23.0,16.0,41.0,31.0,37.0
4411,0.0,14.0,4.0,3.0,56.0,44.0,13.0,6.0,1.0,10.0,27.0,11.0,19.0,20.0,30.0,42.0,23.0,26.0,22.0,48.0,16.0,15.0,21.0,18.0,62.0,117.0,76.0,38.0,24.0,12.0
4460,3.0,18.0,13.0,0.0,51.0,7.0,27.0,36.0,21.0,4.0,28.0,40.0,10.0,24.0,8.0,30.0,25.0,50.0,35.0,73.0,39.0,1.0,22.0,32.0,47.0,68.0,37.0,58.0,29.0,26.0
4509,1.0,6.0,5.0,0.0,14.0,66.0,7.0,16.0,3.0,10.0,31.0,24.0,23.0,29.0,13.0,2.0,32.0,43.0,21.0,59.0,8.0,17.0,4.0,12.0,30.0,33.0,105.0,19.0,34.0,46.0
4558,0.0,1.0,5.0,7.0,14.0,31.0,2.0,13.0,6.0,30.0,38.0,8.0,17.0,20.0,4.0,32.0,23.0,28.0,10.0,25.0,39.0,18.0,3.0,11.0,15.0,44.0,53.0,26.0,16.0,50.0
4607,0.0,10.0,8.0,14.0,6.0,40.0,1.0,20.0,13.0,9.0,21.0,7.0,11.0,58.0,4.0,3.0,17.0,28.0,50.0,73.0,24.0,30.0,2.0,16.0,33.0,29.0,32.0,74.0,26.0,19.0
4656,0.0,22.0,18.0,2.0,13.0,33.0,12.0,1.0,6.0,38.0,15.0,21.0,8.0,7.0,27.0,17.0,16.0,24.0,47.0,76.0,20.0,50.0,11.0,26.0,29.0,32.0,55.0,39.0,10.0,5.0
4705,0.0,25.0,15.0,3.0,1.0,59.0,35.0,4.0,2.0,13.0,31.0,40.0,11.0,18.0,9.0,7.0,17.0,62.0,55.0,51.0,14.0,30.0,36.0,12.0,5.0,16.0,42.0,32.0,41.0,21.0
4754,18.0,25.0,14.0,24.0,41.0,4.0,5.0,15.0,20.0,0.0,39.0,8.0,32.0,33.0,9.0,6.0,27.0,3.0,40.0,49.0,17.0,42.0,23.0,21.0,56.0,45.0,81.0,64.0,12.0,54.0
4803,17.0,11.0,2.0,8.0,23.0,9.0,0.0,46.0,3.0,12.0,24.0,1.0,43.0,29.0,10.0,6.0,41.0,78.0,28.0,52.0,32.0,37.0,40.0,16.0,27.0,20.0,33.0,61.0,7.0,57.0
4852,6.0,20.0,4.0,0.0,41.0,25.0,31.0,17.0,12.0,3.0,35.0,19.0,14.0,8.0,10.0,101.0,2.0,21.0,43.0,5.0,18.0,26.0,9.0,15.0,40.0,48.0,32.0,24.0,13.0,16.0
