,XXbac-BPG181B23.7,MICALL1,VANGL2,PCDHB6,AMOT,SCD5,IL32,PCDHB2,CCND2,GALNT14,ZNF69,PTH2R,ZBED6CL,PPP1R14C,RIN2,TRIM35,PSAT1,S100A2,CTB-36O1.3,IQCA1,CCDC61,SH3BP1,ZNF192P1,TMEM117,TEX15,POU3F3,RP11-2B6.3,SETD6,RP11-215G15.5,ZNF853
990,2.0,3.0,0.0,25.0,149.0,4.0,37.0,48.0,9.0,133.0,27.0,28.0,34.0,15.0,77.0,44.0,312.0,64.0,19.0,5.0,22.0,47.0,82.0,155.0,46.0,12.0,244.0,7.0,89.0,20.0
1039,1.0,15.0,0.0,124.0,35.0,28.0,11.0,23.0,67.0,21.0,20.0,31.0,6.0,73.0,2.0,14.0,117.0,10.0,42.0,5.0,13.0,338.0,37.0,43.0,16.0,48.0,32.0,27.0,47.0,58.0
1088,1.0,29.0,0.0,123.0,58.0,3.0,4.0,33.0,37.0,56.0,22.0,14.0,30.0,26.0,18.0,10.0,38.0,70.0,61.0,11.0,20.0,163.0,6.0,15.0,27.0,23.0,100.0,7.0,124.0,48.0
1137,5.0,75.0,0.0,22.0,33.0,4.0,1.0,7.0,14.0,6.0,26.0,84.0,11.0,29.0,101.0,19.0,110.0,18.0,316.0,13.0,28.0,567.0,12.0,30.0,42.0,15.0,76.0,23.0,38.0,25.0
1186,4.0,8.0,1.0,95.0,20.0,0.0,2.0,316.0,22.0,165.0,5.0,314.0,9.0,178.0,32.0,26.0,125.0,12.0,36.0,56.0,109.0,447.0,13.0,27.0,18.0,7.0,50.0,49.0,141.0,11.0
1235,0.0,30.0,8.0,1.0,11.0,5.0,6.0,74.0,76.0,54.0,64.0,51.0,4.0,9.0,104.0,12.0,29.0,13.0,43.0,34.0,39.0,813.0,16.0,122.0,2.0,21.0,33.0,62.0,52.0,89.0
1284,1.0,29.0,7.0,33.0,3.0,12.0,15.0,54.0,348.0,57.0,4.0,14.0,9.0,27.0,25.0,21.0,144.0,16.0,60.0,24.0,93.0,392.0,30.0,11.0,84.0,2.0,111.0,0.0,52.0,101.0
1333,0.0,54.0,7.0,84.0,45.0,8.0,11.0,41.0,119.0,29.0,35.0,128.0,5.0,16.0,52.0,13.0,204.0,38.0,21.0,2.0,40.0,457.0,12.0,32.0,500.0,1.0,37.0,27.0,6.0,47.0
1382,1.0,166.0,0.0,66.0,35.0,10.0,39.0,5.0,56.0,53.0,9.0,130.0,20.0,14.0,25.0,75.0,113.0,16.0,24.0,2.0,19.0,494.0,27.0,262.0,83.0,18.0,6.0,12.0,49.0,51.0
1431,1.0,69.0,3.0,294.0,147.0,18.0,33.0,132.0,52.0,89.0,14.0,25.0,50.0,11.0,16.0,17.0,51.0,61.0,101.0,24.0,45.0,651.0,13.0,72.0,38.0,19.0,9.0,7.0,8.0,29.0
1480,1.0,5.0,9.0,0.0,17.0,19.0,4.0,10.0,2.0,21.0,72.0,148.0,54.0,114.0,87.0,64.0,50.0,117.0,3.0,163.0,61.0,37.0,158.0,23.0,31.0,63.0,78.0,27.0,47.0,30.0
1529,1.0,3.0,4.0,0.0,2.0,17.0,11.0,33.0,9.0,197.0,47.0,74.0,63.0,24.0,107.0,41.0,10.0,19.0,28.0,104.0,98.0,313.0,5.0,6.0,202.0,64.0,45.0,13.0,50.0,49.0
1578,3.0,12.0,2.0,1.0,7.0,37.0,29.0,8.0,20.0,0.0,24.0,69.0,4.0,136.0,142.0,386.0,64.0,71.0,130.0,75.0,26.0,202.0,52.0,15.0,10.0,16.0,55.0,27.0,90.0,166.0
1627,5.0,1.0,3.0,36.0,2.0,6.0,0.0,104.0,176.0,18.0,19.0,15.0,13.0,29.0,94.0,269.0,24.0,484.0,42.0,220.0,10.0,147.0,59.0,9.0,453.0,40.0,20.0,7.0,22.0,32.0
1676,6.0,8.0,2.0,5.0,0.0,26.0,1.0,23.0,14.0,16.0,7.0,270.0,25.0,35.0,33.0,44.0,139.0,124.0,3.0,67.0,18.0,72.0,90.0,10.0,143.0,42.0,62.0,81.0,112.0,31.0
1725,6.0,2.0,1.0,0.0,7.0,10.0,8.0,3.0,14.0,16.0,31.0,93.0,5.0,819.0,22.0,32.0,39.0,46.0,44.0,165.0,54.0,66.0,20.0,9.0,67.0,13.0,35.0,64.0,37.0,61.0
1774,4.0,3.0,0.0,2.0,1.0,5.0,15.0,16.0,7.0,31.0,11.0,77.0,22.0,95.0,125.0,44.0,87.0,108.0,8.0,157.0,27.0,164.0,28.0,6.0,947.0,41.0,34.0,49.0,55.0,14.0
1823,4.0,12.0,5.0,3.0,13.0,2.0,29.0,9.0,23.0,1.0,41.0,129.0,6.0,52.0,86.0,67.0,102.0,10.0,16.0,185.0,91.0,416.0,72.0,26.0,32.0,25.0,21.0,19.0,139.0,124.0
1872,12.0,2.0,3.0,0.0,7.0,21.0,5.0,1.0,6.0,10.0,18.0,110.0,14.0,39.0,13.0,15.0,519.0,38.0,31.0,88.0,23.0,28.0,67.0,11.0,59.0,49.0,42.0,54.0,75.0,37.0
1921,8.0,2.0,11.0,1.0,0.0,66.0,3.0,5.0,14.0,60.0,24.0,17.0,26.0,126.0,15.0,18.0,25.0,57.0,500.0,330.0,33.0,86.0,46.0,10.0,65.0,9.0,13.0,21.0,59.0,108.0
1970,1.0,5.0,30.0,6.0,4.0,2.0,11.0,18.0,10.0,0.0,13.0,14.0,12.0,115.0,19.0,83.0,174.0,17.0,7.0,43.0,22.0,50.0,119.0,185.0,338.0,131.0,16.0,222.0,37.0,55.0
2019,0.0,11.0,15.0,189.0,8.0,2.0,74.0,45.0,9.0,1.0,96.0,39.0,85.0,5.0,10.0,53.0,58.0,6.0,13.0,20.0,60.0,52.0,51.0,199.0,115.0,38.0,178.0,24.0,12.0,88.0
2068,2.0,3.0,32.0,300.0,8.0,1.0,13.0,65.0,4.0,0.0,105.0,35.0,70.0,30.0,6.0,21.0,19.0,41.0,14.0,117.0,380.0,39.0,204.0,53.0,86.0,193.0,305.0,16.0,43.0,321.0
2117,2.0,1.0,204.0,15.0,14.0,0.0,50.0,9.0,6.0,13.0,24.0,70.0,72.0,105.0,4.0,3.0,1289.0,29.0,8.0,56.0,41.0,53.0,203.0,71.0,119.0,57.0,22.0,27.0,49.0,116.0
2166,1.0,3.0,36.0,14.0,7.0,0.0,200.0,23.0,20.0,8.0,29.0,16.0,215.0,34.0,2.0,50.0,40.0,28.0,11.0,22.0,71.0,43.0,256.0,25.0,253.0,6.0,17.0,15.0,4.0,141.0
2215,1.0,3.0,8.0,19.0,30.0,0.0,110.0,9.0,7.0,2.0,53.0,89.0,163.0,23.0,35.0,65.0,16.0,6.0,4.0,33.0,87.0,122.0,51.0,12.0,204.0,42.0,46.0,11.0,66.0,43.0
2264,0.0,2.0,11.0,159.0,53.0,1.0,58.0,143.0,5.0,3.0,91.0,82.0,207.0,80.0,14.0,27.0,132.0,12.0,32.0,44.0,219.0,18.0,39.0,19.0,472.0,6.0,129.0,265.0,35.0,133.0
2313,0.0,1.0,3.0,11.0,5.0,6.0,8.0,4.0,21.0,2.0,135.0,69.0,118.0,50.0,19.0,23.0,127.0,32.0,17.0,88.0,148.0,14.0,80.0,26.0,44.0,22.0,89.0,24.0,95.0,71.0
2362,1.0,3.0,6.0,42.0,15.0,0.0,2.0,30.0,4.0,5.0,99.0,69.0,57.0,20.0,60.0,89.0,161.0,127.0,7.0,168.0,40.0,35.0,46.0,9.0,350.0,22.0,443.0,62.0,13.0,32.0
2411,2.0,5.0,56.0,42.0,13.0,4.0,0.0,73.0,23.0,24.0,30.0,37.0,3.0,22.0,31.0,62.0,35.0,14.0,27.0,6.0,17.0,58.0,52.0,21.0,72.0,7.0,36.0,122.0,29.0,84.0
2460,33.0,11.0,44.0,92.0,14.0,60.0,252.0,22.0,115.0,9.0,4.0,24.0,10.0,52.0,1.0,51.0,43.0,64.0,180.0,12.0,31.0,62.0,18.0,17.0,48.0,3.0,8.0,82.0,20.0,36.0
2509,20.0,7.0,53.0,0.0,16.0,62.0,5.0,2.0,405.0,74.0,45.0,14.0,6.0,85.0,18.0,19.0,11.0,31.0,338.0,12.0,13.0,123.0,60.0,37.0,78.0,10.0,3.0,121.0,65.0,40.0
2558,6.0,12.0,44.0,24.0,135.0,20.0,19.0,4.0,23.0,51.0,25.0,18.0,43.0,57.0,14.0,33.0,920.0,123.0,1228.0,11.0,30.0,108.0,224.0,27.0,267.0,16.0,32.0,5.0,1.0,34.0
2607,7.0,5.0,10.0,13.0,6.0,21.0,46.0,4.0,61.0,1.0,18.0,40.0,3.0,143.0,0.0,9.0,42.0,16.0,190.0,11.0,28.0,95.0,27.0,44.0,77.0,41.0,14.0,158.0,12.0,24.0
2656,18.0,3.0,2.0,19.0,0.0,5.0,140.0,93.0,114.0,1.0,10.0,12.0,4.0,85.0,44.0,86.0,21.0,61.0,144.0,90.0,34.0,119.0,38.0,56.0,30.0,8.0,11.0,226.0,174.0,14.0
2705,6.0,2.0,40.0,8.0,26.0,56.0,28.0,3.0,521.0,0.0,13.0,10.0,1.0,214.0,32.0,17.0,584.0,55.0,111.0,24.0,9.0,12.0,322.0,84.0,11.0,15.0,74.0,36.0,349.0,61.0
2754,5.0,6.0,46.0,14.0,11.0,33.0,45.0,10.0,58.0,0.0,1.0,62.0,3.0,125.0,96.0,56.0,17.0,39.0,197.0,4.0,28.0,68.0,100.0,49.0,24.0,29.0,50.0,232.0,27.0,89.0
2803,4.0,3.0,177.0,6.0,10.0,16.0,131.0,0.0,28.0,13.0,1.0,30.0,17.0,84.0,2.0,11.0,43.0,73.0,15.0,41.0,29.0,62.0,20.0,105.0,77.0,5.0,12.0,34.0,60.0,52.0
2852,22.0,1.0,50.0,29.0,3.0,15.0,38.0,44.0,246.0,36.0,26.0,17.0,4.0,71.0,39.0,81.0,105.0,12.0,159.0,30.0,47.0,48.0,99.0,173.0,84.0,21.0,41.0,42.0,8.0,65.0
2901,8.0,2.0,36.0,0.0,3.0,9.0,41.0,18.0,655.0,7.0,5.0,11.0,12.0,118.0,1.0,21.0,130.0,26.0,83.0,35.0,34.0,24.0,79.0,13.0,376.0,6.0,10.0,4.0,44.0,137.0
2950,14.0,8.0,13.0,71.0,5.0,25.0,110.0,80.0,41.0,10.0,0.0,36.0,15.0,1.0,23.0,55.0,44.0,7.0,12.0,87.0,184.0,24.0,96.0,34.0,49.0,66.0,19.0,9.0,21.0,294.0
2999,19.0,3.0,5.0,113.0,6.0,18.0,44.0,181.0,152.0,41.0,30.0,1.0,22.0,10.0,4.0,28.0,29.0,11.0,117.0,250.0,96.0,27.0,23.0,12.0,360.0,61.0,17.0,2.0,42.0,225.0
3048,3.0,2.0,30.0,23.0,1.0,139.0,18.0,6.0,45.0,22.0,10.0,8.0,4.0,98.0,7.0,14.0,542.0,0.0,99.0,87.0,150.0,32.0,47.0,60.0,37.0,119.0,66.0,93.0,182.0,209.0
3097,3.0,1.0,4.0,62.0,2.0,10.0,42.0,72.0,7.0,6.0,0.0,26.0,19.0,17.0,41.0,35.0,39.0,5.0,16.0,195.0,553.0,37.0,23.0,27.0,43.0,55.0,13.0,47.0,99.0,179.0
3146,3.0,1.0,2.0,23.0,0.0,66.0,13.0,7.0,221.0,114.0,4.0,6.0,16.0,9.0,5.0,55.0,29.0,18.0,15.0,89.0,230.0,25.0,10.0,93.0,61.0,21.0,26.0,47.0,138.0,51.0
3195,9.0,0.0,23.0,22.0,6.0,18.0,17.0,21.0,123.0,69.0,11.0,24.0,81.0,7.0,3.0,13.0,1.0,14.0,8.0,324.0,139.0,5.0,20.0,66.0,36.0,49.0,2.0,16.0,47.0,897.0
3244,14.0,3.0,4.0,58.0,2.0,23.0,9.0,29.0,171.0,234.0,6.0,38.0,15.0,7.0,20.0,8.0,12.0,98.0,66.0,755.0,109.0,37.0,96.0,67.0,62.0,18.0,21.0,0.0,245.0,95.0
3293,14.0,2.0,0.0,41.0,34.0,12.0,16.0,47.0,104.0,369.0,4.0,1.0,43.0,18.0,11.0,109.0,6.0,9.0,10.0,122.0,115.0,24.0,100.0,73.0,79.0,208.0,23.0,36.0,31.0,57.0
3342,3.0,0.0,12.0,61.0,19.0,125.0,67.0,31.0,55.0,124.0,87.0,5.0,11.0,62.0,1.0,29.0,8.0,14.0,35.0,163.0,603.0,7.0,44.0,90.0,21.0,43.0,17.0,10.0,283.0,913.0
3391,0.0,1.0,35.0,24.0,8.0,113.0,13.0,11.0,323.0,585.0,21.0,3.0,353.0,9.0,10.0,18.0,12.0,7.0,143.0,97.0,75.0,6.0,45.0,114.0,34.0,176.0,15.0,2.0,80.0,798.0
3440,5.0,7.0,0.0,13.0,24.0,10.0,6.0,3.0,45.0,139.0,12.0,64.0,34.0,15.0,41.0,18.0,151.0,378.0,26.0,22.0,53.0,43.0,76.0,33.0,37.0,148.0,222.0,32.0,219.0,14.0
3489,0.0,14.0,4.0,5.0,64.0,10.0,2.0,40.0,8.0,19.0,18.0,69.0,32.0,72.0,39.0,147.0,13.0,138.0,97.0,73.0,127.0,49.0,12.0,15.0,20.0,103.0,181.0,56.0,66.0,35.0
3538,5.0,9.0,34.0,1.0,25.0,13.0,38.0,2.0,45.0,3.0,26.0,10.0,28.0,41.0,63.0,97.0,18.0,321.0,73.0,22.0,15.0,175.0,33.0,0.0,23.0,158.0,551.0,51.0,52.0,49.0
3587,8.0,49.0,0.0,6.0,47.0,26.0,4.0,5.0,7.0,15.0,21.0,97.0,75.0,54.0,14.0,92.0,28.0,71.0,78.0,133.0,50.0,96.0,33.0,153.0,10.0,67.0,561.0,195.0,144.0,55.0
3636,4.0,12.0,2.0,0.0,26.0,15.0,1.0,25.0,9.0,16.0,18.0,75.0,397.0,136.0,60.0,110.0,11.0,53.0,34.0,30.0,105.0,19.0,72.0,10.0,36.0,190.0,310.0,89.0,65.0,62.0
3685,0.0,7.0,3.0,11.0,82.0,2.0,4.0,80.0,5.0,70.0,26.0,17.0,409.0,105.0,43.0,61.0,25.0,68.0,286.0,23.0,14.0,131.0,22.0,13.0,122.0,318.0,1808.0,241.0,50.0,8.0
3734,0.0,11.0,15.0,27.0,48.0,17.0,8.0,35.0,2.0,6.0,51.0,73.0,34.0,41.0,5.0,32.0,42.0,97.0,39.0,30.0,40.0,69.0,29.0,56.0,25.0,463.0,388.0,47.0,102.0,71.0
3783,18.0,11.0,19.0,20.0,109.0,5.0,13.0,23.0,2.0,17.0,1.0,88.0,32.0,36.0,77.0,26.0,21.0,118.0,45.0,4.0,31.0,148.0,16.0,8.0,58.0,121.0,53.0,963.0,163.0,33.0
3832,1.0,3.0,44.0,0.0,52.0,17.0,9.0,12.0,4.0,23.0,32.0,35.0,47.0,7.0,62.0,69.0,11.0,101.0,43.0,15.0,27.0,39.0,26.0,19.0,25.0,300.0,105.0,397.0,109.0,68.0
3881,0.0,3.0,6.0,10.0,59.0,12.0,25.0,29.0,8.0,60.0,34.0,119.0,136.0,18.0,42.0,64.0,14.0,93.0,51.0,7.0,47.0,31.0,33.0,28.0,15.0,395.0,104.0,105.0,112.0,56.0
3930,0.0,3.0,2.0,6.0,11.0,141.0,82.0,21.0,13.0,124.0,12.0,16.0,72.0,1.0,29.0,25.0,115.0,28.0,293.0,35.0,138.0,109.0,83.0,41.0,26.0,9.0,24.0,305.0,23.0,56.0
3979,10.0,0.0,1.0,1493.0,4.0,88.0,126.0,9.0,285.0,18.0,6.0,12.0,16.0,19.0,2.0,5.0,214.0,66.0,93.0,195.0,80.0,8.0,50.0,188.0,22.0,311.0,128.0,588.0,393.0,510.0
4028,11.0,0.0,1.0,7.0,3.0,34.0,68.0,16.0,17.0,172.0,10.0,253.0,9.0,5.0,66.0,4.0,362.0,219.0,102.0,74.0,33.0,56.0,97.0,154.0,51.0,26.0,104.0,280.0,109.0,29.0
4077,4.0,1.0,2.0,6.0,5.0,51.0,455.0,16.0,34.0,46.0,0.0,12.0,122.0,3.0,21.0,9.0,310.0,28.0,84.0,53.0,55.0,96.0,220.0,48.0,18.0,59.0,102.0,60.0,22.0,174.0
4126,2.0,0.0,3.0,8.0,6.0,51.0,69.0,5.0,48.0,15.0,4.0,16.0,146.0,29.0,18.0,19.0,192.0,62.0,14.0,36.0,46.0,31.0,175.0,22.0,79.0,33.0,118.0,361.0,66.0,68.0
4175,1.0,4.0,0.0,12.0,17.0,83.0,58.0,37.0,44.0,165.0,2.0,22.0,11.0,150.0,40.0,70.0,535.0,38.0,49.0,145.0,51.0,121.0,91.0,20.0,21.0,43.0,208.0,553.0,15.0,30.0
4224,1.0,3.0,0.0,9.0,2.0,112.0,16.0,6.0,35.0,60.0,4.0,11.0,33.0,8.0,50.0,15.0,76.0,111.0,164.0,20.0,157.0,36.0,24.0,141.0,12.0,13.0,78.0,541.0,82.0,158.0
4273,6.0,1.0,4.0,50.0,0.0,39.0,172.0,11.0,75.0,77.0,3.0,14.0,20.0,2.0,12.0,19.0,16.0,42.0,106.0,13.0,29.0,22.0,47.0,145.0,15.0,46.0,38.0,1273.0,43.0,23.0
4322,7.0,1.0,0.0,4.0,3.0,12.0,65.0,9.0,346.0,8.0,2.0,60.0,107.0,5.0,82.0,80.0,92.0,28.0,641.0,40.0,76.0,16.0,218.0,14.0,13.0,73.0,6.0,52.0,130.0,247.0
4371,11.0,6.0,8.0,29.0,14.0,307.0,45.0,1.0,99.0,63.0,27.0,13.0,40.0,3.0,64.0,80.0,537.0,2.0,1049.0,20.0,172.0,17.0,33.0,616.0,106.0,819.0,97.0,358.0,258.0,208.0
4420,0.0,4.0,59.0,19.0,74.0,11.0,8.0,52.0,30.0,5.0,75.0,1.0,21.0,27.0,33.0,20.0,10.0,17.0,12.0,187.0,71.0,3.0,747.0,291.0,24.0,105.0,70.0,2.0,201.0,6.0
4469,1.0,7.0,17.0,6.0,85.0,147.0,42.0,10.0,8.0,5.0,142.0,0.0,139.0,29.0,30.0,84.0,4.0,9.0,186.0,22.0,40.0,3.0,89.0,99.0,13.0,171.0,72.0,32.0,86.0,11.0
4518,0.0,5.0,45.0,1.0,419.0,14.0,9.0,4.0,6.0,13.0,156.0,2.0,258.0,26.0,222.0,84.0,25.0,20.0,3.0,22.0,43.0,21.0,132.0,51.0,82.0,114.0,234.0,92.0,250.0,15.0
4567,0.0,4.0,88.0,2.0,83.0,116.0,17.0,31.0,42.0,21.0,9.0,1.0,46.0,10.0,229.0,80.0,5.0,30.0,15.0,22.0,29.0,12.0,278.0,28.0,71.0,613.0,135.0,43.0,90.0,3.0
4616,1.0,9.0,138.0,6.0,56.0,42.0,46.0,7.0,171.0,8.0,126.0,0.0,99.0,13.0,180.0,214.0,20.0,34.0,3.0,16.0,22.0,4.0,199.0,45.0,12.0,71.0,162.0,35.0,251.0,52.0
4665,6.0,9.0,40.0,205.0,63.0,301.0,53.0,56.0,11.0,13.0,1.0,0.0,23.0,10.0,54.0,158.0,5.0,12.0,21.0,36.0,17.0,2.0,119.0,49.0,29.0,376.0,24.0,90.0,95.0,28.0
4714,2.0,4.0,95.0,1.0,57.0,75.0,8.0,65.0,10.0,6.0,26.0,0.0,70.0,27.0,235.0,34.0,3.0,9.0,82.0,25.0,17.0,7.0,99.0,21.0,12.0,428.0,121.0,387.0,64.0,60.0
4763,12.0,15.0,92.0,18.0,98.0,25.0,1.0,103.0,21.0,17.0,14.0,9.0,191.0,27.0,145.0,108.0,7.0,34.0,0.0,120.0,13.0,2.0,42.0,225.0,41.0,75.0,55.0,89.0,136.0,51.0
4812,3.0,4.0,13.0,16.0,165.0,68.0,35.0,5.0,32.0,44.0,58.0,0.0,10.0,50.0,70.0,46.0,25.0,42.0,2.0,14.0,36.0,7.0,91.0,28.0,1.0,278.0,84.0,53.0,98.0,15.0
4861,1.0,9.0,31.0,12.0,16.0,176.0,54.0,4.0,75.0,24.0,35.0,0.0,99.0,25.0,68.0,230.0,3.0,8.0,5.0,33.0,66.0,6.0,22.0,84.0,192.0,1407.0,57.0,258.0,242.0,11.0
