,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,BRAF.MC_MUT,OR2T34_AMP,DPP6_DEL,SORD_AMP,RHD_DEL,LOC100287534_AMP,OR51A2_DEL,ARHGEF5_AMP,ZBTB20_AMP,MAML3_MUT,AMY2A_DEL,HERC2P2_AMP,PTPRC_MUT,LOC284395_DEL,HLA-DQB1_DEL,GSTTP1_AMP,ZNF705G_AMP,ASAH2_DEL,NRXN3_DEL,PRSS3P2_DEL,OR2T29_AMP,PRSS2_DEL,LRP1_MUT,ADAMTSL3_MUT,BMPR2_AMP,CBR3-AS1_DEL,MUC20_AMP
666,0.0,2.0,1.0,7.0,22.0,4.0,3.0,6.0,11.0,5.0,17.0,15.0,10.0,20.0,95.0,32.0,18.0,23.0,39.0,90.0,68.0,56.0,8.0,19.0,9.0,25.0,42.0,13.0,78.0,16.0
715,0.0,2.0,1.0,7.0,20.0,5.0,19.0,4.0,6.0,10.0,17.0,15.0,21.0,53.0,757.0,18.0,42.0,3.0,14.0,16.0,184.0,83.0,12.0,49.0,11.0,34.0,28.0,8.0,58.0,32.0
764,0.0,1.0,2.0,13.0,12.0,4.0,3.0,7.0,9.0,5.0,6.0,18.0,10.0,27.0,40.0,16.0,20.0,8.0,33.0,29.0,87.0,43.0,14.0,32.0,15.0,25.0,35.0,19.0,69.0,11.0
813,0.0,1.0,3.0,7.0,18.0,8.0,2.0,6.0,9.0,12.0,15.0,20.0,13.0,57.0,25.0,24.0,26.0,10.0,87.0,42.0,16.0,79.0,4.0,48.0,5.0,41.0,76.0,14.0,89.0,33.0
862,0.0,2.0,1.0,7.0,10.0,5.0,6.0,3.0,4.0,9.0,16.0,27.0,11.0,25.0,2581.0,12.0,17.0,8.0,20.0,106.0,15.0,30.0,28.0,13.0,29.0,18.0,34.0,71.0,62.0,57.0
911,0.0,2.0,1.0,14.0,13.0,6.0,7.0,41.0,3.0,12.0,11.0,16.0,69.0,25.0,1125.0,37.0,18.0,10.0,61.0,62.0,27.0,96.0,5.0,35.0,4.0,19.0,29.0,15.0,273.0,17.0
960,1.0,3.0,0.0,18.0,7.0,2.0,4.0,36.0,23.0,27.0,72.0,10.0,22.0,25.0,124.0,16.0,31.0,6.0,236.0,35.0,5.0,54.0,12.0,15.0,11.0,149.0,45.0,29.0,69.0,30.0
1009,0.0,1.0,2.0,3.0,4.0,26.0,8.0,7.0,5.0,38.0,48.0,12.0,6.0,11.0,17.0,36.0,29.0,87.0,119.0,25.0,14.0,35.0,80.0,68.0,81.0,9.0,30.0,107.0,37.0,16.0
1058,0.0,1.0,2.0,3.0,5.0,411.0,32.0,11.0,4.0,51.0,41.0,17.0,8.0,35.0,64.0,60.0,18.0,43.0,237.0,44.0,13.0,14.0,78.0,19.0,77.0,15.0,34.0,130.0,31.0,58.0
1107,0.0,1.0,2.0,5.0,3.0,24.0,9.0,4.0,6.0,53.0,234.0,239.0,10.0,21.0,106.0,12.0,19.0,40.0,46.0,71.0,14.0,11.0,61.0,8.0,62.0,31.0,15.0,59.0,23.0,33.0
1156,0.0,1.0,2.0,4.0,3.0,375.0,36.0,5.0,6.0,20.0,22.0,114.0,9.0,10.0,536.0,19.0,14.0,37.0,76.0,21.0,7.0,35.0,357.0,18.0,358.0,8.0,43.0,63.0,39.0,73.0
1205,0.0,1.0,3.0,2.0,6.0,18.0,34.0,4.0,11.0,33.0,88.0,7.0,19.0,27.0,1718.0,85.0,2574.0,76.0,497.0,83.0,56.0,41.0,67.0,12.0,66.0,38.0,106.0,77.0,572.0,46.0
1254,0.0,1.0,2.0,3.0,4.0,42.0,37.0,5.0,10.0,57.0,87.0,7.0,8.0,11.0,13.0,23.0,53.0,45.0,266.0,21.0,20.0,47.0,55.0,22.0,56.0,12.0,43.0,166.0,68.0,79.0
1303,0.0,1.0,2.0,4.0,3.0,38.0,22.0,5.0,10.0,56.0,52.0,88.0,13.0,18.0,9.0,15.0,21.0,7.0,92.0,24.0,31.0,20.0,46.0,11.0,47.0,102.0,14.0,69.0,58.0,12.0
1352,0.0,1.0,2.0,5.0,3.0,62.0,10.0,12.0,4.0,136.0,41.0,58.0,9.0,18.0,11.0,27.0,34.0,32.0,101.0,104.0,13.0,35.0,40.0,22.0,39.0,16.0,33.0,17.0,45.0,6.0
1401,0.0,1.0,3.0,4.0,2.0,1396.0,20.0,6.0,5.0,35.0,34.0,11.0,10.0,19.0,81.0,21.0,12.0,9.0,53.0,73.0,14.0,36.0,180.0,7.0,179.0,15.0,22.0,93.0,25.0,13.0
1450,0.0,2.0,4.0,5.0,1.0,43.0,89.0,13.0,3.0,18.0,52.0,6412.0,16.0,50.0,39.0,38.0,12.0,7.0,48.0,91.0,6.0,14.0,23.0,9.0,24.0,35.0,17.0,8817.0,57.0,8.0
1499,0.0,1.0,3.0,6.0,11.0,4.0,2.0,47.0,8.0,57.0,7.0,24.0,9.0,70.0,25.0,19.0,46.0,10.0,5.0,29.0,49.0,45.0,28.0,85.0,27.0,12.0,75.0,13.0,38.0,21.0
1548,0.0,1.0,2.0,4.0,8.0,11.0,3.0,5.0,47.0,25.0,9.0,10.0,7.0,52.0,6.0,29.0,34.0,50.0,16.0,37.0,168.0,30.0,58.0,76.0,57.0,14.0,55.0,12.0,23.0,15.0
1597,0.0,1.0,2.0,4.0,6.0,5.0,3.0,22.0,8.0,35.0,26.0,9.0,7.0,33.0,15.0,27.0,30.0,208.0,21.0,34.0,40.0,24.0,47.0,56.0,46.0,14.0,71.0,12.0,13.0,103.0
1646,0.0,1.0,2.0,6.0,3.0,8.0,4.0,22.0,5.0,10.0,14.0,7.0,17.0,25.0,9.0,39.0,29.0,99.0,11.0,42.0,44.0,26.0,16.0,89.0,15.0,38.0,60.0,12.0,20.0,77.0
1695,0.0,1.0,5.0,3.0,4.0,72.0,2.0,17.0,235.0,20.0,7.0,26.0,19.0,47.0,34.0,61.0,714.0,142.0,22.0,27.0,54.0,30.0,718.0,48.0,719.0,35.0,592.0,87.0,109.0,23.0
1744,1.0,2.0,8.0,7.0,3.0,9.0,0.0,23.0,35.0,13.0,10.0,5.0,4.0,215.0,14.0,60.0,28.0,129.0,21.0,79.0,109.0,24.0,38.0,160.0,39.0,61.0,162.0,26.0,12.0,53.0
1793,0.0,2.0,3.0,6.0,10.0,4.0,1.0,14.0,53.0,16.0,11.0,5.0,9.0,30.0,52.0,20.0,41.0,25.0,46.0,17.0,94.0,23.0,7.0,24.0,8.0,54.0,58.0,33.0,80.0,50.0
1842,0.0,2.0,1.0,4.0,13.0,14.0,3.0,19.0,11.0,9.0,5.0,33.0,6.0,37.0,36.0,15.0,52.0,76.0,18.0,12.0,201.0,30.0,34.0,292.0,35.0,40.0,54.0,16.0,26.0,60.0
1891,0.0,1.0,5.0,6.0,4.0,7.0,2.0,80.0,3.0,79.0,22.0,46.0,9.0,107.0,62.0,17.0,47.0,31.0,20.0,43.0,8.0,55.0,36.0,69.0,37.0,23.0,49.0,21.0,24.0,56.0
1940,0.0,1.0,9.0,10.0,6.0,5.0,3.0,40.0,56.0,4.0,2.0,31.0,8.0,20.0,7.0,21.0,27.0,44.0,24.0,23.0,91.0,48.0,33.0,73.0,32.0,12.0,101.0,60.0,18.0,51.0
1989,2.0,1.0,5.0,10.0,12.0,0.0,13.0,17.0,4.0,25.0,39.0,7.0,19.0,11.0,3.0,74.0,30.0,27.0,48.0,70.0,21.0,14.0,8.0,57.0,9.0,120.0,22.0,16.0,37.0,117.0
2038,0.0,1.0,9.0,4.0,2.0,13.0,12.0,17.0,8.0,49.0,20.0,21.0,42.0,7.0,3.0,18.0,55.0,161.0,34.0,66.0,53.0,16.0,28.0,29.0,27.0,304.0,32.0,48.0,26.0,137.0
2087,0.0,1.0,19.0,6.0,9.0,3.0,10.0,12.0,45.0,7.0,5.0,17.0,18.0,4.0,2.0,25.0,26.0,43.0,15.0,8.0,16.0,76.0,47.0,78.0,46.0,94.0,44.0,14.0,31.0,30.0
2136,0.0,1.0,11.0,2.0,4.0,5.0,28.0,10.0,14.0,58.0,15.0,76.0,33.0,7.0,3.0,32.0,45.0,48.0,629.0,89.0,92.0,36.0,72.0,63.0,73.0,96.0,41.0,39.0,29.0,8.0
2185,0.0,1.0,7.0,9.0,4.0,2.0,84.0,5.0,69.0,6.0,10.0,8.0,72.0,11.0,3.0,117.0,118.0,49.0,63.0,54.0,25.0,15.0,307.0,26.0,308.0,912.0,86.0,28.0,623.0,33.0
2234,0.0,1.0,6.0,4.0,7.0,5.0,3.0,12.0,52.0,16.0,8.0,97.0,22.0,10.0,2.0,34.0,27.0,50.0,35.0,20.0,81.0,18.0,45.0,24.0,46.0,47.0,99.0,112.0,23.0,75.0
2283,0.0,1.0,2.0,5.0,11.0,4.0,8.0,10.0,6.0,101.0,30.0,17.0,25.0,46.0,3.0,37.0,60.0,31.0,123.0,20.0,69.0,38.0,57.0,100.0,58.0,277.0,40.0,32.0,33.0,7.0
2332,0.0,1.0,6.0,4.0,7.0,3.0,13.0,9.0,41.0,53.0,10.0,37.0,12.0,5.0,2.0,26.0,25.0,44.0,14.0,19.0,190.0,18.0,138.0,91.0,139.0,551.0,31.0,28.0,21.0,11.0
2381,0.0,1.0,4.0,5.0,3.0,2.0,41.0,14.0,8.0,6.0,11.0,39.0,105.0,16.0,7.0,21.0,22.0,37.0,19.0,36.0,9.0,27.0,118.0,61.0,117.0,145.0,23.0,34.0,42.0,12.0
2430,0.0,1.0,4.0,3.0,12.0,6.0,22.0,21.0,198.0,14.0,27.0,77.0,31.0,15.0,2.0,50.0,117.0,258.0,34.0,30.0,53.0,36.0,16306.0,88.0,16305.0,165.0,24.0,35.0,48.0,26.0
2479,0.0,1.0,6.0,3.0,9.0,55.0,54.0,57.0,119.0,4.0,2.0,24.0,18.0,20.0,22.0,29.0,21.0,45.0,63.0,5.0,47.0,33.0,3667.0,137.0,3668.0,42.0,38.0,186.0,66.0,122.0
2528,0.0,1.0,40.0,10.0,15.0,22.0,4.0,27.0,60.0,3.0,72.0,16.0,32.0,19.0,14.0,47.0,53.0,70.0,11.0,5.0,2.0,28.0,78.0,574.0,79.0,258.0,228.0,351.0,103.0,235.0
2577,0.0,1.0,4.0,2.0,3.0,19.0,21.0,11.0,10.0,7.0,8.0,5.0,12.0,32.0,9.0,16.0,27.0,31.0,29.0,6.0,20.0,60.0,591.0,36.0,590.0,98.0,25.0,57.0,24.0,14.0
2626,0.0,1.0,3.0,5.0,14.0,26.0,2.0,31.0,25.0,4.0,6.0,8.0,12.0,11.0,13.0,42.0,16.0,28.0,115.0,7.0,10.0,27.0,40.0,89.0,39.0,192.0,38.0,131.0,119.0,21.0
2675,0.0,1.0,11.0,4.0,5.0,22.0,233.0,9.0,66.0,3.0,6.0,2.0,16.0,8.0,46.0,23.0,38.0,251.0,40.0,10.0,17.0,57.0,190.0,48.0,191.0,86.0,39.0,209.0,31.0,82.0
2724,0.0,1.0,2.0,4.0,5.0,56.0,18.0,20.0,13.0,3.0,9.0,11.0,12.0,6.0,36.0,15.0,19.0,34.0,17.0,7.0,21.0,38.0,1020.0,61.0,1019.0,71.0,41.0,227.0,33.0,218.0
2773,0.0,1.0,5.0,3.0,2.0,87.0,39.0,13.0,22.0,8.0,7.0,19.0,11.0,38.0,64.0,9.0,16.0,36.0,66.0,6.0,34.0,63.0,1307.0,69.0,1306.0,107.0,114.0,112.0,29.0,126.0
2822,0.0,1.0,3.0,2.0,16.0,9.0,5.0,25.0,13.0,4.0,22.0,11.0,14.0,17.0,6.0,18.0,23.0,10.0,26.0,8.0,7.0,36.0,423.0,112.0,422.0,90.0,47.0,44.0,35.0,139.0
2871,0.0,1.0,5.0,7.0,3.0,28.0,11.0,47.0,8.0,2.0,4.0,18.0,27.0,24.0,20.0,33.0,17.0,21.0,23.0,10.0,30.0,105.0,56.0,83.0,55.0,38.0,68.0,181.0,25.0,65.0
2920,0.0,1.0,8.0,4.0,3.0,20.0,10.0,9.0,36.0,2.0,11.0,28.0,29.0,5.0,25.0,19.0,18.0,23.0,13.0,6.0,15.0,111.0,172.0,142.0,173.0,86.0,63.0,109.0,27.0,240.0
2969,0.0,1.0,4.0,5.0,2.0,7.0,3.0,36.0,26.0,6.0,16.0,43.0,8.0,32.0,56.0,14.0,9.0,19.0,45.0,30.0,22.0,33.0,232.0,13.0,231.0,44.0,17.0,31.0,41.0,186.0
3018,1.0,0.0,2.0,4.0,7.0,13.0,6.0,16.0,17.0,3.0,20.0,21.0,19.0,47.0,22.0,18.0,15.0,5.0,153.0,52.0,239.0,26.0,11.0,12.0,10.0,27.0,55.0,158.0,240.0,107.0
3067,0.0,1.0,3.0,4.0,2.0,17.0,9.0,33.0,55.0,11.0,24.0,32.0,13.0,15.0,46.0,8.0,31.0,21.0,23.0,56.0,199.0,26.0,76.0,30.0,75.0,44.0,28.0,40.0,39.0,41.0
3116,0.0,1.0,2.0,5.0,3.0,7.0,4.0,71.0,12.0,29.0,6.0,10.0,35.0,18.0,23.0,9.0,13.0,24.0,44.0,36.0,363.0,41.0,22.0,19.0,21.0,55.0,95.0,205.0,59.0,25.0
3165,0.0,2.0,6.0,20.0,3.0,46.0,1.0,448.0,19.0,7.0,10.0,42.0,17.0,22.0,30.0,24.0,13.0,15.0,14.0,18.0,31.0,45.0,4.0,49.0,5.0,56.0,63.0,74.0,76.0,16.0
3214,0.0,1.0,2.0,4.0,3.0,5.0,7.0,17.0,9.0,19.0,20.0,38.0,21.0,127.0,8.0,18.0,22.0,15.0,108.0,34.0,124.0,42.0,26.0,53.0,25.0,224.0,62.0,16.0,73.0,29.0
3263,0.0,1.0,2.0,7.0,5.0,4.0,6.0,38.0,29.0,10.0,22.0,54.0,17.0,14.0,13.0,15.0,8.0,9.0,32.0,16.0,20.0,31.0,34.0,23.0,35.0,96.0,56.0,110.0,64.0,27.0
3312,0.0,1.0,3.0,5.0,4.0,6.0,2.0,66.0,25.0,33.0,26.0,7.0,27.0,58.0,214.0,18.0,16.0,29.0,59.0,62.0,8.0,22.0,12.0,31.0,11.0,158.0,32.0,39.0,104.0,30.0
3361,0.0,2.0,1.0,5.0,4.0,6.0,8.0,80.0,24.0,27.0,3.0,21.0,16.0,50.0,14.0,29.0,25.0,7.0,34.0,81.0,60.0,33.0,19.0,23.0,20.0,13.0,59.0,115.0,78.0,26.0
3410,0.0,1.0,2.0,5.0,6.0,11.0,3.0,113.0,47.0,88.0,316.0,120.0,18.0,12.0,8.0,1003.0,35.0,7.0,58.0,44.0,22.0,16.0,268.0,17.0,269.0,324.0,219.0,76.0,215.0,40.0
3459,0.0,1.0,18.0,4.0,44.0,3.0,8.0,14.0,1553.0,11.0,15.0,2.0,61.0,28.0,5.0,789.0,67.0,163.0,73.0,68.0,39.0,117.0,379.0,89.0,380.0,154.0,188.0,46.0,174.0,91.0
3508,0.0,1.0,17.0,3.0,32.0,4.0,42.0,10.0,203.0,52.0,39.0,2.0,41.0,15.0,12.0,181.0,95.0,155.0,59.0,18.0,16.0,103.0,65.0,150.0,66.0,316.0,198.0,46.0,151.0,186.0
3557,0.0,1.0,8.0,4.0,15.0,3.0,9.0,5.0,986.0,19.0,25.0,2.0,13.0,17.0,131.0,700.0,492.0,360.0,83.0,819.0,87.0,82.0,362.0,27.0,361.0,61.0,214.0,94.0,92.0,141.0
3606,0.0,1.0,13.0,3.0,66.0,4.0,23.0,12.0,2417.0,68.0,8.0,2.0,54.0,7.0,16.0,152.0,52.0,1303.0,37.0,15.0,121.0,180.0,44.0,123.0,45.0,136.0,163.0,20.0,221.0,706.0
3655,0.0,1.0,5.0,3.0,29.0,4.0,6.0,7.0,404.0,15.0,14.0,2.0,27.0,8.0,9.0,302.0,127.0,43.0,72.0,53.0,33.0,88.0,37.0,74.0,38.0,162.0,158.0,84.0,170.0,113.0
3704,0.0,1.0,8.0,3.0,12.0,4.0,5.0,6.0,2554.0,20.0,13.0,2.0,32.0,7.0,9.0,251.0,59.0,128.0,489.0,39.0,51.0,49.0,34.0,27.0,35.0,305.0,886.0,18.0,135.0,109.0
3753,0.0,1.0,12.0,3.0,28.0,2.0,8.0,9.0,1180.0,568.0,41.0,4.0,15.0,43.0,181.0,114.0,99.0,569.0,72.0,226.0,488.0,52.0,75.0,42.0,74.0,357.0,589.0,53.0,147.0,487.0
3802,0.0,1.0,12.0,3.0,5.0,6.0,8.0,7.0,404.0,43.0,17.0,2.0,29.0,9.0,10.0,218.0,36.0,25.0,60.0,66.0,34.0,85.0,32.0,27.0,33.0,448.0,929.0,74.0,175.0,126.0
3851,0.0,1.0,7.0,2.0,45.0,3.0,19.0,6.0,347.0,8.0,29.0,4.0,14.0,10.0,85.0,423.0,43.0,103.0,239.0,36.0,57.0,67.0,50.0,65.0,51.0,83.0,143.0,117.0,360.0,474.0
3900,0.0,1.0,7.0,5.0,24.0,2.0,3.0,20.0,183.0,147.0,141.0,4.0,16.0,15.0,9.0,178.0,79.0,37.0,210.0,77.0,6.0,27.0,48.0,40.0,49.0,538.0,294.0,14.0,207.0,246.0
3949,0.0,1.0,4.0,2.0,9.0,6.0,3.0,13.0,10.0,46.0,31.0,54.0,15.0,16.0,7.0,61.0,30.0,36.0,89.0,14.0,159.0,120.0,66.0,86.0,67.0,43.0,37.0,42.0,28.0,17.0
3998,0.0,1.0,12.0,2.0,6.0,7.0,21.0,8.0,14.0,17.0,13.0,15.0,24.0,22.0,5.0,26.0,84.0,37.0,61.0,39.0,36.0,35.0,11.0,41.0,10.0,328.0,33.0,230.0,34.0,31.0
4047,0.0,1.0,2.0,4.0,16.0,3.0,5.0,7.0,15.0,38.0,8.0,11.0,27.0,13.0,31.0,23.0,28.0,6.0,85.0,29.0,243.0,151.0,9.0,20.0,10.0,69.0,74.0,18.0,64.0,70.0
4096,0.0,1.0,6.0,2.0,13.0,3.0,4.0,8.0,17.0,39.0,25.0,7.0,11.0,10.0,32.0,59.0,21.0,47.0,20.0,58.0,153.0,45.0,26.0,63.0,27.0,84.0,44.0,51.0,23.0,15.0
4145,0.0,1.0,2.0,5.0,10.0,4.0,3.0,9.0,52.0,50.0,16.0,23.0,35.0,55.0,12.0,93.0,220.0,6.0,54.0,71.0,61.0,33.0,8.0,21.0,7.0,173.0,135.0,74.0,174.0,20.0
4194,0.0,1.0,4.0,3.0,23.0,2.0,5.0,10.0,9.0,27.0,22.0,8.0,12.0,11.0,42.0,56.0,60.0,17.0,37.0,44.0,20.0,49.0,7.0,47.0,6.0,64.0,40.0,18.0,46.0,25.0
4243,0.0,1.0,3.0,4.0,6.0,8.0,2.0,5.0,7.0,12.0,11.0,28.0,10.0,31.0,36.0,29.0,32.0,9.0,17.0,51.0,151.0,57.0,14.0,25.0,15.0,50.0,120.0,78.0,33.0,26.0
4292,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,26.0,30.0,10.0,83.0,31.0,8.0,25.0,48.0,36.0,37.0,9.0,47.0,54.0,55.0,18.0,53.0,17.0,35.0,39.0,46.0,20.0,28.0
4341,0.0,1.0,2.0,5.0,48.0,4.0,3.0,12.0,16.0,17.0,10.0,7.0,11.0,25.0,9.0,39.0,36.0,30.0,18.0,22.0,143.0,89.0,13.0,277.0,14.0,26.0,63.0,72.0,41.0,8.0
4390,0.0,1.0,2.0,9.0,30.0,3.0,8.0,18.0,28.0,4.0,16.0,183.0,23.0,24.0,10.0,40.0,31.0,7.0,36.0,66.0,11.0,63.0,6.0,76.0,5.0,61.0,32.0,240.0,47.0,14.0
4439,0.0,1.0,2.0,4.0,5.0,69.0,22.0,27.0,3.0,15.0,12.0,10.0,18.0,6.0,188.0,11.0,17.0,16.0,23.0,20.0,186.0,205.0,59.0,26.0,58.0,14.0,34.0,30.0,31.0,36.0
4488,1.0,0.0,2.0,3.0,9.0,8.0,361.0,7.0,4.0,5.0,33.0,24.0,6.0,19.0,117.0,11.0,18.0,14.0,40.0,17.0,13.0,38.0,55.0,126.0,56.0,20.0,30.0,85.0,26.0,44.0
4537,0.0,1.0,2.0,3.0,4.0,22.0,35.0,5.0,10.0,6.0,40.0,7.0,65.0,8.0,37.0,41.0,51.0,21.0,16.0,11.0,175.0,54.0,56.0,33.0,57.0,202.0,148.0,44.0,77.0,501.0
4586,0.0,2.0,1.0,4.0,8.0,9.0,15.0,6.0,3.0,10.0,17.0,35.0,7.0,14.0,141.0,13.0,19.0,18.0,5.0,40.0,2097.0,48.0,24.0,73.0,25.0,30.0,62.0,39.0,47.0,123.0
4635,0.0,1.0,2.0,4.0,6.0,12.0,8.0,5.0,3.0,14.0,27.0,16.0,18.0,15.0,22.0,13.0,24.0,7.0,17.0,31.0,114.0,40.0,10.0,34.0,11.0,45.0,23.0,9.0,20.0,35.0
4684,0.0,2.0,1.0,5.0,18.0,8.0,60.0,30.0,3.0,7.0,9.0,4.0,15.0,44.0,1722.0,11.0,58.0,20.0,22.0,76.0,1533.0,61.0,13.0,54.0,14.0,42.0,26.0,32.0,75.0,164.0
4733,0.0,1.0,4.0,11.0,3.0,24.0,28.0,15.0,23.0,2.0,5.0,19.0,14.0,34.0,18.0,31.0,27.0,7.0,17.0,6.0,314.0,259.0,52.0,66.0,51.0,376.0,62.0,55.0,25.0,10.0
4782,0.0,1.0,3.0,2.0,9.0,8.0,21.0,6.0,4.0,15.0,46.0,5.0,14.0,10.0,110.0,18.0,28.0,26.0,19.0,24.0,20.0,52.0,17.0,41.0,16.0,77.0,47.0,44.0,25.0,188.0
4831,0.0,1.0,2.0,3.0,12.0,159.0,8.0,4.0,29.0,7.0,46.0,72.0,6.0,5.0,15.0,14.0,137.0,104.0,17.0,30.0,243.0,50.0,75.0,165.0,74.0,31.0,22.0,27.0,32.0,21.0
4880,0.0,1.0,6.0,3.0,2.0,18.0,30.0,7.0,15.0,14.0,9.0,12.0,11.0,13.0,126.0,10.0,20.0,17.0,23.0,27.0,3800.0,48.0,238.0,22.0,239.0,44.0,28.0,31.0,24.0,50.0
