,MEK1_pS217_S221,A-Raf_pS299,Akt_pS473,Annexin_VII,CDK1,SHP-2_pY542,GAPDH,VAV1,PDK1,Bcl-2,Src,Claudin-7,RAD51,PDK1_pS241,p70S6K_pT389,XBP1,p90RSK_pT359_S363,AR,GATA3,ACC1,Chk2,TIGAR,VEGFR2,Shc_pY317,Rab25,PRAS40_pT246,MIG-6,PI3K-p85,Rictor_pT1135,Caveolin-1
490,0.0,4.0,1.0,2.0,5.0,33.0,17.0,7.0,55.0,6.0,23.0,8.0,20.0,26.0,42.0,79.0,81.0,90.0,51.0,29.0,22.0,93.0,13.0,14.0,117.0,18.0,10.0,60.0,95.0,3.0
539,0.0,12.0,1.0,10.0,24.0,43.0,23.0,31.0,16.0,50.0,26.0,7.0,6.0,4.0,108.0,30.0,34.0,129.0,3.0,61.0,71.0,11.0,8.0,5.0,130.0,58.0,2.0,49.0,164.0,48.0
588,0.0,10.0,3.0,1.0,90.0,16.0,4.0,13.0,6.0,31.0,18.0,5.0,46.0,8.0,33.0,81.0,66.0,44.0,51.0,9.0,54.0,30.0,68.0,2.0,15.0,20.0,14.0,56.0,141.0,129.0
637,1.0,5.0,0.0,4.0,3.0,17.0,2.0,49.0,10.0,23.0,8.0,12.0,135.0,33.0,29.0,28.0,31.0,26.0,61.0,16.0,159.0,11.0,32.0,25.0,47.0,6.0,7.0,57.0,60.0,75.0
686,0.0,2.0,4.0,3.0,1.0,21.0,5.0,9.0,75.0,68.0,19.0,25.0,13.0,22.0,122.0,73.0,70.0,160.0,63.0,51.0,65.0,17.0,10.0,32.0,61.0,86.0,27.0,76.0,137.0,37.0
735,0.0,1.0,6.0,2.0,9.0,26.0,5.0,3.0,34.0,18.0,12.0,8.0,17.0,62.0,30.0,29.0,35.0,113.0,24.0,101.0,48.0,107.0,28.0,4.0,11.0,92.0,7.0,13.0,50.0,94.0
784,0.0,1.0,3.0,2.0,8.0,54.0,6.0,7.0,23.0,11.0,68.0,4.0,15.0,153.0,53.0,74.0,141.0,45.0,12.0,13.0,41.0,29.0,36.0,10.0,28.0,37.0,9.0,32.0,92.0,113.0
833,0.0,1.0,7.0,4.0,2.0,76.0,6.0,10.0,26.0,16.0,5.0,34.0,12.0,11.0,56.0,74.0,22.0,21.0,14.0,13.0,36.0,24.0,44.0,8.0,18.0,19.0,3.0,111.0,148.0,113.0
882,1.0,0.0,3.0,5.0,10.0,13.0,12.0,41.0,22.0,32.0,2.0,35.0,49.0,9.0,17.0,23.0,119.0,19.0,37.0,25.0,36.0,67.0,6.0,14.0,60.0,46.0,11.0,100.0,146.0,135.0
931,0.0,1.0,3.0,2.0,9.0,70.0,35.0,97.0,90.0,8.0,17.0,6.0,4.0,12.0,33.0,82.0,41.0,83.0,30.0,85.0,37.0,46.0,43.0,15.0,11.0,144.0,24.0,16.0,101.0,42.0
980,0.0,15.0,51.0,7.0,6.0,30.0,49.0,22.0,10.0,1.0,55.0,28.0,4.0,24.0,35.0,2.0,3.0,78.0,20.0,133.0,14.0,123.0,116.0,17.0,79.0,9.0,157.0,134.0,114.0,70.0
1029,0.0,1.0,6.0,33.0,14.0,17.0,10.0,67.0,4.0,77.0,81.0,24.0,79.0,11.0,32.0,2.0,3.0,136.0,78.0,133.0,27.0,54.0,44.0,31.0,138.0,23.0,71.0,52.0,38.0,42.0
1078,3.0,0.0,36.0,19.0,13.0,7.0,10.0,2.0,32.0,51.0,35.0,6.0,64.0,16.0,77.0,4.0,15.0,126.0,73.0,68.0,1.0,71.0,14.0,17.0,40.0,69.0,147.0,31.0,89.0,23.0
1127,2.0,0.0,13.0,6.0,4.0,3.0,26.0,12.0,57.0,14.0,31.0,19.0,18.0,7.0,25.0,1.0,8.0,54.0,43.0,143.0,38.0,61.0,5.0,16.0,55.0,9.0,101.0,62.0,112.0,91.0
1176,1.0,0.0,13.0,2.0,21.0,5.0,56.0,60.0,37.0,18.0,110.0,12.0,87.0,14.0,7.0,11.0,34.0,107.0,49.0,41.0,44.0,86.0,77.0,3.0,30.0,10.0,139.0,129.0,150.0,4.0
1225,0.0,4.0,3.0,5.0,13.0,1.0,23.0,67.0,38.0,22.0,148.0,63.0,52.0,61.0,16.0,9.0,7.0,8.0,11.0,97.0,28.0,113.0,57.0,2.0,85.0,14.0,51.0,81.0,99.0,17.0
1274,1.0,0.0,6.0,10.0,12.0,11.0,5.0,77.0,68.0,9.0,26.0,22.0,62.0,131.0,118.0,16.0,3.0,127.0,90.0,133.0,132.0,41.0,35.0,2.0,15.0,59.0,42.0,89.0,111.0,61.0
1323,10.0,0.0,13.0,2.0,7.0,3.0,5.0,1.0,8.0,29.0,14.0,6.0,15.0,30.0,25.0,21.0,20.0,47.0,23.0,149.0,63.0,52.0,4.0,16.0,19.0,49.0,50.0,126.0,34.0,75.0
1372,3.0,0.0,15.0,1.0,19.0,5.0,31.0,57.0,13.0,85.0,45.0,6.0,88.0,7.0,99.0,9.0,22.0,17.0,18.0,63.0,143.0,28.0,83.0,53.0,155.0,114.0,74.0,91.0,61.0,4.0
1421,1.0,2.0,28.0,0.0,7.0,3.0,79.0,8.0,20.0,35.0,19.0,11.0,22.0,66.0,117.0,16.0,26.0,58.0,127.0,91.0,32.0,37.0,18.0,10.0,144.0,6.0,57.0,151.0,115.0,83.0
1470,2.0,11.0,0.0,17.0,1.0,7.0,80.0,15.0,90.0,25.0,5.0,33.0,43.0,63.0,65.0,4.0,47.0,14.0,12.0,19.0,45.0,97.0,93.0,26.0,54.0,37.0,78.0,8.0,10.0,99.0
1519,2.0,5.0,1.0,4.0,0.0,7.0,37.0,6.0,138.0,16.0,33.0,30.0,14.0,28.0,106.0,59.0,43.0,111.0,61.0,86.0,92.0,77.0,64.0,124.0,66.0,19.0,110.0,8.0,9.0,20.0
1568,2.0,7.0,1.0,13.0,0.0,5.0,3.0,38.0,96.0,6.0,14.0,61.0,30.0,82.0,92.0,10.0,114.0,22.0,37.0,47.0,18.0,15.0,31.0,21.0,100.0,81.0,123.0,4.0,55.0,64.0
1617,1.0,9.0,21.0,43.0,0.0,5.0,6.0,11.0,3.0,10.0,20.0,77.0,27.0,7.0,23.0,8.0,100.0,67.0,68.0,162.0,2.0,4.0,13.0,35.0,34.0,12.0,62.0,73.0,45.0,25.0
1666,9.0,3.0,7.0,4.0,0.0,1.0,13.0,8.0,18.0,11.0,81.0,23.0,128.0,17.0,22.0,2.0,6.0,56.0,25.0,66.0,12.0,5.0,20.0,44.0,14.0,21.0,47.0,53.0,10.0,59.0
1715,4.0,0.0,34.0,3.0,1.0,26.0,5.0,6.0,40.0,63.0,90.0,136.0,158.0,83.0,39.0,2.0,64.0,75.0,9.0,149.0,76.0,12.0,56.0,38.0,20.0,16.0,111.0,99.0,52.0,8.0
1764,5.0,1.0,3.0,0.0,2.0,9.0,22.0,8.0,55.0,6.0,27.0,21.0,23.0,122.0,56.0,30.0,32.0,136.0,61.0,69.0,89.0,10.0,86.0,48.0,51.0,36.0,41.0,4.0,88.0,14.0
1813,0.0,21.0,4.0,1.0,2.0,3.0,93.0,57.0,18.0,87.0,34.0,68.0,116.0,48.0,56.0,5.0,28.0,66.0,37.0,162.0,133.0,8.0,59.0,83.0,86.0,61.0,13.0,11.0,19.0,6.0
1862,4.0,1.0,3.0,5.0,0.0,2.0,14.0,12.0,8.0,17.0,7.0,126.0,55.0,23.0,25.0,24.0,16.0,35.0,27.0,44.0,15.0,89.0,51.0,147.0,54.0,10.0,76.0,11.0,65.0,6.0
1911,3.0,12.0,1.0,4.0,2.0,0.0,8.0,10.0,11.0,9.0,15.0,33.0,96.0,65.0,13.0,49.0,28.0,117.0,47.0,25.0,114.0,17.0,70.0,31.0,23.0,6.0,75.0,101.0,82.0,91.0
1960,1.0,3.0,0.0,9.0,7.0,18.0,10.0,2.0,82.0,127.0,13.0,43.0,11.0,48.0,8.0,41.0,29.0,47.0,19.0,26.0,20.0,42.0,98.0,37.0,79.0,6.0,28.0,14.0,15.0,56.0
2009,0.0,3.0,1.0,2.0,6.0,4.0,27.0,19.0,84.0,65.0,10.0,80.0,20.0,50.0,5.0,15.0,67.0,49.0,8.0,41.0,13.0,14.0,95.0,121.0,37.0,53.0,9.0,94.0,40.0,36.0
2058,0.0,1.0,5.0,2.0,98.0,13.0,7.0,3.0,75.0,114.0,9.0,35.0,15.0,90.0,10.0,92.0,24.0,14.0,70.0,12.0,26.0,50.0,33.0,8.0,32.0,113.0,25.0,4.0,22.0,17.0
2107,2.0,0.0,3.0,1.0,55.0,7.0,4.0,5.0,30.0,93.0,37.0,21.0,6.0,19.0,22.0,14.0,23.0,80.0,112.0,130.0,35.0,17.0,42.0,8.0,53.0,106.0,60.0,78.0,15.0,16.0
2156,1.0,5.0,0.0,21.0,12.0,26.0,8.0,2.0,70.0,121.0,24.0,132.0,7.0,30.0,4.0,11.0,14.0,10.0,76.0,93.0,20.0,55.0,27.0,73.0,22.0,126.0,77.0,48.0,32.0,35.0
2205,0.0,4.0,1.0,2.0,20.0,128.0,5.0,12.0,8.0,81.0,75.0,73.0,6.0,46.0,17.0,35.0,27.0,13.0,90.0,22.0,70.0,57.0,68.0,28.0,45.0,14.0,61.0,7.0,16.0,29.0
2254,0.0,3.0,1.0,18.0,7.0,4.0,2.0,11.0,50.0,126.0,6.0,26.0,46.0,68.0,8.0,79.0,43.0,5.0,57.0,13.0,111.0,30.0,40.0,133.0,39.0,88.0,12.0,56.0,35.0,25.0
2303,0.0,2.0,1.0,7.0,5.0,41.0,26.0,4.0,18.0,101.0,23.0,27.0,11.0,47.0,3.0,92.0,71.0,17.0,13.0,55.0,31.0,70.0,104.0,115.0,14.0,24.0,9.0,42.0,21.0,8.0
2352,0.0,9.0,8.0,16.0,52.0,57.0,1.0,12.0,45.0,28.0,7.0,88.0,35.0,84.0,5.0,47.0,44.0,29.0,106.0,38.0,32.0,119.0,108.0,30.0,33.0,14.0,13.0,6.0,37.0,26.0
2401,0.0,1.0,4.0,3.0,59.0,14.0,17.0,5.0,16.0,55.0,21.0,78.0,22.0,82.0,2.0,31.0,63.0,27.0,12.0,106.0,35.0,100.0,28.0,25.0,29.0,11.0,19.0,56.0,20.0,120.0
2450,4.0,6.0,0.0,3.0,1.0,45.0,11.0,16.0,52.0,34.0,14.0,15.0,2.0,7.0,13.0,25.0,32.0,121.0,10.0,5.0,64.0,58.0,38.0,65.0,12.0,20.0,39.0,125.0,23.0,93.0
2499,3.0,28.0,1.0,11.0,0.0,18.0,4.0,33.0,2.0,57.0,13.0,138.0,14.0,9.0,10.0,8.0,6.0,152.0,56.0,110.0,55.0,23.0,129.0,29.0,16.0,5.0,71.0,148.0,34.0,12.0
2548,2.0,6.0,0.0,21.0,1.0,67.0,10.0,44.0,57.0,15.0,14.0,65.0,4.0,38.0,34.0,5.0,12.0,48.0,41.0,62.0,13.0,20.0,50.0,27.0,60.0,58.0,94.0,69.0,39.0,131.0
2597,4.0,9.0,1.0,5.0,0.0,3.0,15.0,29.0,73.0,57.0,26.0,33.0,17.0,23.0,2.0,19.0,10.0,16.0,48.0,37.0,74.0,8.0,65.0,144.0,128.0,45.0,154.0,58.0,11.0,70.0
2646,42.0,13.0,1.0,9.0,0.0,25.0,4.0,24.0,105.0,75.0,100.0,70.0,2.0,20.0,12.0,29.0,14.0,40.0,33.0,6.0,35.0,110.0,63.0,129.0,97.0,30.0,137.0,69.0,32.0,64.0
2695,29.0,3.0,1.0,36.0,0.0,75.0,11.0,26.0,20.0,108.0,10.0,16.0,2.0,18.0,12.0,19.0,25.0,15.0,13.0,8.0,150.0,58.0,90.0,69.0,5.0,6.0,34.0,91.0,96.0,95.0
2744,15.0,1.0,0.0,11.0,5.0,95.0,156.0,7.0,6.0,143.0,102.0,135.0,4.0,3.0,27.0,36.0,2.0,34.0,13.0,8.0,39.0,44.0,46.0,82.0,31.0,16.0,106.0,28.0,19.0,20.0
2793,3.0,1.0,0.0,5.0,2.0,130.0,8.0,25.0,33.0,73.0,20.0,69.0,4.0,9.0,24.0,7.0,10.0,48.0,22.0,35.0,90.0,70.0,102.0,144.0,65.0,6.0,118.0,11.0,16.0,129.0
2842,19.0,1.0,0.0,41.0,5.0,91.0,9.0,2.0,18.0,27.0,33.0,84.0,3.0,23.0,29.0,7.0,20.0,16.0,47.0,54.0,76.0,100.0,130.0,90.0,45.0,12.0,124.0,92.0,77.0,156.0
2891,0.0,15.0,2.0,3.0,7.0,25.0,22.0,58.0,113.0,17.0,26.0,50.0,6.0,35.0,34.0,5.0,4.0,136.0,109.0,79.0,62.0,137.0,33.0,30.0,1.0,37.0,69.0,10.0,16.0,139.0
2940,0.0,1.0,9.0,20.0,3.0,17.0,10.0,34.0,7.0,16.0,46.0,56.0,22.0,4.0,32.0,72.0,68.0,2.0,11.0,47.0,18.0,27.0,85.0,71.0,21.0,13.0,48.0,14.0,42.0,8.0
2989,0.0,1.0,3.0,7.0,10.0,4.0,44.0,45.0,28.0,82.0,83.0,122.0,59.0,24.0,48.0,62.0,112.0,12.0,5.0,97.0,13.0,35.0,18.0,76.0,14.0,8.0,34.0,19.0,9.0,40.0
3038,0.0,2.0,70.0,1.0,3.0,83.0,27.0,11.0,6.0,14.0,12.0,16.0,24.0,5.0,13.0,19.0,46.0,68.0,17.0,121.0,32.0,141.0,129.0,45.0,22.0,49.0,131.0,9.0,48.0,4.0
3087,0.0,11.0,3.0,2.0,12.0,45.0,106.0,17.0,7.0,10.0,15.0,35.0,13.0,6.0,52.0,8.0,126.0,4.0,5.0,78.0,53.0,79.0,48.0,134.0,42.0,114.0,117.0,95.0,97.0,38.0
3136,1.0,10.0,6.0,5.0,0.0,40.0,108.0,7.0,12.0,72.0,8.0,92.0,13.0,30.0,45.0,83.0,36.0,4.0,3.0,113.0,26.0,41.0,48.0,138.0,35.0,2.0,60.0,24.0,15.0,42.0
3185,1.0,0.0,31.0,3.0,22.0,33.0,58.0,9.0,43.0,57.0,103.0,17.0,23.0,15.0,6.0,39.0,106.0,28.0,5.0,19.0,158.0,10.0,13.0,44.0,32.0,77.0,8.0,47.0,71.0,4.0
3234,0.0,6.0,43.0,3.0,5.0,4.0,104.0,20.0,11.0,32.0,90.0,63.0,91.0,44.0,23.0,48.0,21.0,53.0,9.0,7.0,15.0,69.0,8.0,55.0,106.0,45.0,42.0,25.0,100.0,28.0
3283,0.0,2.0,48.0,4.0,7.0,20.0,75.0,8.0,21.0,5.0,86.0,73.0,22.0,44.0,25.0,30.0,52.0,61.0,3.0,53.0,36.0,69.0,11.0,79.0,71.0,56.0,15.0,60.0,80.0,1.0
3332,1.0,2.0,26.0,0.0,5.0,3.0,67.0,16.0,31.0,14.0,47.0,39.0,79.0,9.0,20.0,27.0,108.0,137.0,7.0,22.0,30.0,155.0,19.0,42.0,48.0,18.0,13.0,34.0,11.0,8.0
3381,0.0,11.0,2.0,1.0,40.0,26.0,65.0,27.0,10.0,129.0,64.0,60.0,53.0,20.0,5.0,16.0,32.0,9.0,14.0,13.0,38.0,94.0,58.0,102.0,98.0,4.0,75.0,7.0,22.0,36.0
3430,1.0,4.0,0.0,3.0,2.0,7.0,31.0,21.0,15.0,101.0,19.0,32.0,74.0,5.0,50.0,13.0,66.0,128.0,29.0,6.0,115.0,14.0,10.0,69.0,28.0,67.0,38.0,49.0,108.0,126.0
3479,1.0,2.0,0.0,3.0,4.0,6.0,22.0,14.0,7.0,69.0,37.0,18.0,107.0,23.0,32.0,31.0,77.0,89.0,21.0,25.0,64.0,114.0,38.0,26.0,10.0,17.0,112.0,15.0,62.0,51.0
3528,2.0,1.0,0.0,4.0,5.0,12.0,28.0,22.0,3.0,36.0,24.0,15.0,126.0,8.0,6.0,17.0,99.0,40.0,16.0,10.0,75.0,102.0,70.0,88.0,26.0,127.0,93.0,23.0,119.0,33.0
3577,3.0,1.0,0.0,5.0,10.0,2.0,30.0,17.0,21.0,116.0,25.0,13.0,22.0,18.0,72.0,89.0,56.0,12.0,7.0,4.0,9.0,57.0,27.0,68.0,6.0,115.0,144.0,101.0,114.0,50.0
3626,2.0,1.0,3.0,0.0,25.0,15.0,75.0,8.0,19.0,17.0,9.0,11.0,34.0,18.0,28.0,45.0,85.0,24.0,21.0,4.0,111.0,27.0,26.0,6.0,22.0,14.0,46.0,35.0,117.0,20.0
3675,1.0,2.0,0.0,3.0,14.0,4.0,118.0,5.0,7.0,10.0,16.0,23.0,93.0,9.0,68.0,154.0,24.0,36.0,17.0,97.0,82.0,58.0,27.0,92.0,52.0,43.0,29.0,50.0,103.0,35.0
3724,1.0,2.0,0.0,3.0,5.0,30.0,18.0,4.0,10.0,48.0,24.0,6.0,160.0,83.0,44.0,102.0,73.0,94.0,93.0,36.0,40.0,75.0,41.0,27.0,76.0,64.0,59.0,31.0,26.0,121.0
3773,0.0,1.0,2.0,3.0,5.0,29.0,10.0,6.0,129.0,116.0,51.0,4.0,44.0,73.0,21.0,97.0,162.0,105.0,9.0,93.0,23.0,152.0,123.0,95.0,132.0,15.0,66.0,13.0,26.0,17.0
3822,1.0,0.0,2.0,3.0,9.0,7.0,81.0,73.0,15.0,149.0,55.0,70.0,40.0,57.0,39.0,36.0,85.0,38.0,6.0,29.0,48.0,126.0,66.0,93.0,107.0,135.0,92.0,47.0,23.0,5.0
3871,0.0,3.0,2.0,1.0,5.0,86.0,104.0,45.0,100.0,36.0,131.0,8.0,67.0,157.0,23.0,155.0,92.0,68.0,49.0,7.0,28.0,120.0,26.0,88.0,52.0,109.0,33.0,34.0,9.0,59.0
3920,0.0,1.0,6.0,2.0,15.0,41.0,4.0,22.0,16.0,10.0,12.0,23.0,32.0,3.0,43.0,83.0,51.0,7.0,118.0,5.0,34.0,11.0,8.0,109.0,18.0,116.0,78.0,142.0,89.0,136.0
3969,3.0,15.0,44.0,51.0,2.0,19.0,6.0,10.0,20.0,9.0,12.0,4.0,23.0,16.0,21.0,54.0,32.0,1.0,56.0,0.0,87.0,31.0,45.0,120.0,64.0,138.0,46.0,148.0,69.0,93.0
4018,0.0,2.0,15.0,42.0,1.0,12.0,11.0,21.0,27.0,8.0,16.0,14.0,4.0,18.0,6.0,66.0,53.0,10.0,82.0,3.0,17.0,23.0,88.0,134.0,86.0,105.0,20.0,143.0,98.0,147.0
4067,0.0,1.0,29.0,4.0,11.0,24.0,3.0,16.0,5.0,2.0,22.0,33.0,26.0,37.0,51.0,115.0,55.0,18.0,110.0,39.0,63.0,6.0,15.0,41.0,36.0,74.0,8.0,112.0,50.0,30.0
4116,1.0,0.0,10.0,4.0,11.0,47.0,6.0,16.0,3.0,17.0,34.0,18.0,8.0,30.0,5.0,80.0,27.0,9.0,106.0,38.0,79.0,61.0,13.0,78.0,72.0,147.0,44.0,155.0,43.0,64.0
4165,1.0,0.0,23.0,4.0,7.0,35.0,5.0,48.0,27.0,8.0,34.0,25.0,32.0,13.0,84.0,91.0,11.0,2.0,16.0,12.0,6.0,15.0,116.0,95.0,120.0,121.0,9.0,30.0,17.0,66.0
4214,3.0,0.0,10.0,6.0,85.0,1.0,9.0,60.0,11.0,5.0,29.0,119.0,7.0,42.0,14.0,86.0,8.0,12.0,80.0,38.0,19.0,31.0,98.0,53.0,101.0,147.0,115.0,141.0,34.0,148.0
4263,1.0,2.0,25.0,22.0,0.0,4.0,30.0,59.0,9.0,8.0,7.0,32.0,92.0,16.0,73.0,55.0,18.0,17.0,124.0,3.0,93.0,45.0,42.0,91.0,20.0,130.0,36.0,96.0,89.0,154.0
4312,7.0,1.0,76.0,2.0,0.0,6.0,15.0,28.0,5.0,8.0,84.0,120.0,164.0,18.0,23.0,32.0,37.0,3.0,102.0,4.0,118.0,29.0,9.0,88.0,112.0,117.0,146.0,36.0,17.0,105.0
4361,11.0,0.0,13.0,1.0,26.0,8.0,2.0,110.0,5.0,4.0,9.0,7.0,144.0,79.0,20.0,75.0,21.0,6.0,88.0,10.0,23.0,58.0,51.0,69.0,19.0,101.0,29.0,48.0,87.0,41.0
4410,1.0,4.0,0.0,2.0,5.0,10.0,72.0,59.0,12.0,7.0,11.0,20.0,22.0,154.0,16.0,23.0,13.0,15.0,29.0,70.0,3.0,14.0,57.0,44.0,30.0,8.0,46.0,86.0,25.0,163.0
4459,0.0,3.0,1.0,70.0,2.0,118.0,47.0,22.0,5.0,20.0,9.0,29.0,43.0,131.0,35.0,16.0,30.0,25.0,33.0,51.0,7.0,14.0,84.0,19.0,132.0,17.0,74.0,36.0,27.0,57.0
4508,1.0,4.0,0.0,15.0,2.0,10.0,27.0,29.0,7.0,22.0,24.0,5.0,43.0,106.0,90.0,12.0,76.0,6.0,19.0,98.0,3.0,9.0,70.0,51.0,96.0,30.0,75.0,8.0,14.0,44.0
4557,0.0,2.0,1.0,19.0,3.0,61.0,10.0,6.0,31.0,91.0,8.0,79.0,30.0,87.0,27.0,7.0,45.0,21.0,104.0,39.0,11.0,13.0,54.0,106.0,36.0,12.0,80.0,46.0,9.0,26.0
4606,0.0,2.0,3.0,77.0,5.0,1.0,25.0,28.0,39.0,12.0,27.0,9.0,21.0,10.0,152.0,23.0,61.0,6.0,64.0,115.0,4.0,7.0,24.0,136.0,84.0,70.0,60.0,22.0,62.0,123.0
4655,2.0,4.0,1.0,14.0,0.0,11.0,8.0,134.0,12.0,58.0,49.0,79.0,31.0,39.0,116.0,33.0,47.0,9.0,141.0,64.0,3.0,7.0,35.0,76.0,71.0,83.0,17.0,23.0,10.0,151.0
4704,0.0,11.0,1.0,2.0,4.0,15.0,47.0,5.0,20.0,3.0,17.0,7.0,73.0,86.0,36.0,91.0,9.0,13.0,158.0,123.0,41.0,29.0,42.0,27.0,92.0,50.0,46.0,10.0,38.0,131.0
4753,1.0,3.0,0.0,28.0,2.0,20.0,4.0,7.0,8.0,9.0,74.0,12.0,6.0,103.0,89.0,32.0,5.0,26.0,90.0,139.0,10.0,37.0,83.0,34.0,100.0,137.0,17.0,13.0,104.0,119.0
4802,0.0,2.0,1.0,8.0,3.0,5.0,18.0,32.0,10.0,108.0,29.0,6.0,30.0,129.0,50.0,60.0,4.0,37.0,12.0,19.0,54.0,25.0,35.0,27.0,45.0,63.0,21.0,7.0,59.0,133.0
4851,0.0,1.0,4.0,5.0,3.0,23.0,73.0,52.0,48.0,7.0,40.0,38.0,29.0,14.0,26.0,8.0,32.0,17.0,55.0,43.0,6.0,12.0,28.0,33.0,76.0,11.0,13.0,15.0,19.0,77.0
