,GPR35,GNA12,ETV4,SYNC,ZNF793,VPS37B,EHF,MAGEE1,UCHL1,IL20RA,VILL,MLTK,MC5R,SH3TC2,RP11-114H23.1,TMEM132A,CD99L2,RAB30,DIAPH2-AS1,AC005624.2,PCDH1,S100A6,FAT4,ALG1L2,ARRDC1,SPECC1L,APLP1,DUSP6,RP11-366L5.1,TMC6
942,0.0,135.0,9.0,15.0,10.0,11.0,180.0,6.0,2.0,20.0,88.0,51.0,14.0,119.0,55.0,19.0,21.0,29.0,72.0,11391.0,5.0,44.0,12.0,27.0,60.0,157.0,7.0,166.0,22.0,109.0
991,89.0,2.0,10.0,7.0,5.0,21.0,181.0,4.0,39.0,58.0,505.0,0.0,14.0,21774.0,3.0,29.0,38.0,35.0,84.0,6.0,17.0,155.0,13.0,14710.0,1537.0,9086.0,163.0,15.0,13248.0,260.0
1040,7.0,8.0,0.0,5.0,136.0,3.0,4580.0,15.0,81.0,101.0,71.0,11.0,12459.0,6.0,43.0,14.0,206.0,36.0,94.0,1.0,70.0,19.0,67.0,108.0,52.0,104.0,27.0,30.0,57.0,250.0
1089,8.0,2.0,1.0,0.0,5.0,52.0,629.0,41.0,15.0,148.0,1346.0,19.0,18.0,4.0,51.0,40.0,29.0,27.0,46.0,57.0,44.0,21.0,16.0,23.0,126.0,30.0,14.0,89.0,64.0,10.0
1138,10.0,2.0,0.0,3.0,43.0,4.0,5064.0,9.0,82.0,27.0,71.0,70.0,14.0,68.0,8.0,59.0,304.0,63.0,15.0,53.0,186.0,251.0,14354.0,34.0,207.0,128.0,30.0,1.0,78.0,47.0
1187,7.0,260.0,0.0,8.0,120.0,15.0,1.0,14.0,26.0,10.0,242.0,13.0,193.0,27.0,5.0,49.0,61.0,2.0,52.0,6.0,9.0,118.0,69.0,59.0,78.0,11228.0,7866.0,41.0,151.0,25.0
1236,8.0,14.0,0.0,87.0,69.0,2.0,31.0,16.0,19.0,42.0,4.0,15.0,9.0,3.0,10.0,44.0,447.0,11.0,100.0,1.0,107.0,265.0,14399.0,25.0,71.0,142.0,231.0,148.0,13249.0,137.0
1285,3.0,10.0,7.0,6.0,9.0,0.0,67.0,5.0,2.0,53.0,12458.0,51.0,18.0,66.0,74.0,38.0,164.0,24.0,43.0,36.0,196.0,63.0,15.0,14704.0,77.0,84.0,19.0,1.0,13241.0,157.0
1334,5.0,2.0,0.0,50.0,168.0,23.0,4.0,9.0,15.0,13.0,1746.0,26.0,24.0,3.0,35.0,62.0,127.0,200.0,37.0,117.0,1.0,120.0,125.0,21.0,20590.0,187.0,12.0,31.0,424.0,1032.0
1383,9.0,1.0,12.0,8.0,9790.0,4.0,17.0,20.0,29.0,14.0,12486.0,10.0,24.0,0.0,5.0,59.0,236.0,48.0,73.0,7.0,2.0,100.0,135.0,134.0,20486.0,108.0,289.0,3.0,105.0,114.0
1432,7.0,4.0,2.0,33.0,7857.0,0.0,6.0,20.0,14.0,1.0,12471.0,12.0,23.0,5.0,18.0,37.0,205.0,15.0,17.0,3.0,13.0,149.0,81.0,14800.0,25.0,113.0,169.0,185.0,1645.0,8.0
1481,5.0,9.0,0.0,2.0,14.0,7.0,63.0,8.0,47.0,1.0,20.0,49.0,3.0,6.0,27.0,53.0,8656.0,35.0,151.0,16.0,4.0,56.0,80.0,24.0,92.0,110.0,18.0,11.0,54.0,11750.0
1530,1.0,28.0,7.0,12.0,15.0,26.0,6.0,0.0,47.0,29.0,266.0,203.0,32.0,21.0,50.0,34.0,8687.0,60.0,94.0,22.0,3.0,5.0,102.0,107.0,59.0,9024.0,104.0,6966.0,13677.0,254.0
1579,1.0,78.0,7.0,5.0,4.0,140.0,6.0,13.0,15.0,52.0,12516.0,9.0,33.0,936.0,12.0,30.0,448.0,42.0,60.0,46.0,2.0,96.0,3.0,54.0,43.0,56.0,64.0,0.0,28.0,20.0
1628,0.0,8.0,18.0,3.0,4.0,13.0,241.0,2.0,56.0,12.0,311.0,32.0,21.0,1.0,63.0,47.0,220.0,33.0,24.0,17.0,11.0,23.0,108.0,14795.0,103.0,75.0,7.0,9.0,50.0,66.0
1677,1.0,10.0,0.0,8.0,26.0,2.0,79.0,5.0,11.0,46.0,12474.0,17.0,195.0,12.0,63.0,19.0,564.0,3.0,93.0,21.0,7.0,4.0,14387.0,338.0,20617.0,9080.0,11565.0,31.0,56.0,480.0
1726,2.0,4.0,0.0,7.0,21.0,14.0,13.0,5.0,97.0,26.0,18.0,10.0,162.0,25.0,11.0,29.0,279.0,64.0,79.0,87.0,6.0,35.0,1.0,2576.0,124.0,170.0,168.0,20.0,13209.0,303.0
1775,1.0,44.0,4.0,5.0,180.0,22.0,7.0,3.0,12.0,31.0,32.0,13284.0,13.0,2.0,17.0,18.0,1061.0,35.0,6464.0,6.0,55.0,9.0,308.0,176.0,20377.0,77.0,136.0,54.0,21.0,11577.0
1824,12.0,15.0,6.0,57.0,9.0,2.0,4.0,13.0,1.0,0.0,360.0,1775.0,8.0,328.0,23.0,43.0,300.0,37.0,69.0,44.0,74.0,47.0,14351.0,217.0,20602.0,9075.0,17.0,14.0,13245.0,11903.0
1873,1.0,7.0,3.0,5.0,200.0,14.0,9.0,13.0,46.0,12.0,126.0,241.0,203.0,10.0,2.0,62.0,17.0,28.0,50.0,15.0,0.0,6.0,81.0,113.0,29.0,9085.0,16.0,24.0,21.0,242.0
1922,6.0,5.0,0.0,10.0,8.0,7.0,40.0,2.0,13978.0,23.0,12456.0,20.0,9.0,1.0,76.0,51.0,8745.0,62.0,92.0,17.0,4.0,15.0,2354.0,128.0,79.0,153.0,223.0,67.0,25.0,11789.0
1971,1.0,4.0,9.0,16.0,6.0,0.0,173.0,10.0,15.0,12.0,7.0,29.0,12355.0,3.0,5.0,26.0,41.0,70.0,28.0,11384.0,45.0,195.0,44.0,30.0,60.0,8.0,34.0,48.0,43.0,69.0
2020,12.0,1.0,13.0,3.0,10.0,2.0,60.0,27.0,16.0,28.0,5.0,6.0,191.0,112.0,68.0,36.0,202.0,59.0,7.0,11408.0,100.0,90.0,61.0,55.0,105.0,11.0,124.0,21.0,30.0,35.0
2069,6.0,7.0,13.0,25.0,35.0,2.0,15.0,8.0,38.0,12.0,16.0,5.0,12348.0,686.0,50.0,28.0,27.0,53.0,63.0,788.0,0.0,220.0,85.0,23.0,79.0,19.0,22.0,5147.0,41.0,67.0
2118,8.0,3.0,12.0,7.0,7928.0,680.0,67.0,48.0,5.0,28.0,21.0,87.0,12363.0,44.0,2.0,75.0,22.0,210.0,49.0,11408.0,0.0,188.0,753.0,27.0,6.0,556.0,96.0,468.0,1.0,95.0
2167,10.0,7.0,15.0,11.0,12.0,6.0,0.0,33.0,32.0,13.0,5.0,9.0,25.0,2.0,79.0,51.0,23.0,143.0,49.0,11402.0,4.0,163.0,21.0,14688.0,113.0,9064.0,36.0,6956.0,13226.0,81.0
2216,2.0,0.0,19.0,13.0,135.0,11.0,42.0,22.0,36.0,14.0,18.0,20.0,24.0,20885.0,4.0,28.0,10.0,37.0,26.0,34.0,50.0,71.0,47.0,40.0,39.0,96.0,3.0,279.0,51.0,29.0
2265,4.0,2.0,17.0,44.0,6.0,0.0,46.0,10.0,36.0,16.0,5.0,61.0,18.0,1.0,125.0,21.0,19.0,115.0,91.0,11303.0,15.0,196.0,52.0,77.0,114.0,58.0,110.0,213.0,1125.0,24.0
2314,7.0,6.0,0.0,9.0,10.0,23.0,4.0,16.0,1.0,17.0,8.0,2.0,163.0,227.0,24.0,47.0,206.0,86.0,70.0,11.0,3.0,175.0,33.0,38.0,49.0,12.0,15.0,443.0,13672.0,20.0
2363,2.0,42.0,8.0,3.0,1.0,15.0,117.0,13.0,7.0,4.0,6.0,23.0,206.0,26.0,19.0,41.0,260.0,127.0,9.0,61.0,66.0,84.0,18.0,28.0,45.0,10.0,86.0,0.0,5.0,64.0
2412,4.0,3.0,11876.0,7.0,624.0,5.0,12.0,52.0,0.0,1.0,23.0,75.0,88.0,64.0,10.0,18.0,30.0,73.0,14.0,8.0,2.0,15497.0,66.0,21.0,26.0,150.0,11.0,372.0,25.0,130.0
2461,6.0,0.0,54.0,56.0,4.0,38.0,1.0,17.0,51.0,173.0,2.0,49.0,5.0,15.0,88.0,65.0,16.0,58.0,10.0,3.0,103.0,171.0,29.0,62.0,35.0,12.0,135.0,6980.0,1548.0,108.0
2510,6.0,3.0,10.0,20.0,4.0,17.0,5.0,19.0,0.0,69.0,16.0,118.0,161.0,1140.0,33.0,51.0,110.0,59.0,53.0,2.0,155.0,54.0,39.0,43.0,56.0,21.0,44.0,125.0,13465.0,7.0
2559,2.0,0.0,25.0,36.0,3.0,21.0,26.0,19.0,1.0,174.0,16.0,15.0,12438.0,110.0,146.0,7.0,24.0,87.0,20.0,92.0,89.0,128.0,14342.0,14700.0,6.0,8.0,7920.0,141.0,13222.0,11786.0
2608,1.0,11.0,34.0,9.0,3.0,70.0,13.0,172.0,8.0,120.0,10.0,32.0,15.0,14.0,33.0,49.0,5.0,35.0,47.0,23.0,54.0,307.0,125.0,55.0,78.0,24.0,0.0,81.0,13251.0,183.0
2657,8.0,6.0,33.0,2.0,1.0,16.0,7.0,13.0,25.0,19.0,93.0,4.0,275.0,15.0,113.0,100.0,37.0,51.0,74.0,40.0,92.0,43.0,0.0,22.0,105.0,54.0,39.0,6861.0,13240.0,1358.0
2706,0.0,5.0,2.0,7.0,1.0,26.0,12.0,112.0,49.0,4.0,178.0,87.0,211.0,69.0,6.0,32.0,47.0,78.0,9.0,15.0,76.0,15537.0,103.0,33.0,85.0,27.0,99.0,42.0,13711.0,218.0
2755,12.0,32.0,0.0,49.0,6.0,3.0,7.0,31.0,85.0,9.0,4.0,11.0,8.0,948.0,97.0,16.0,8718.0,120.0,2.0,34.0,25.0,204.0,39.0,44.0,20365.0,23.0,1119.0,29.0,13231.0,51.0
2804,1.0,180.0,8.0,30.0,2.0,3.0,20.0,60.0,103.0,155.0,0.0,231.0,203.0,21792.0,6865.0,40.0,6.0,48.0,45.0,28.0,52.0,371.0,69.0,14698.0,20603.0,58.0,260.0,163.0,57.0,261.0
2853,1.0,37.0,0.0,2.0,9.0,10.0,15.0,18.0,73.0,128.0,26.0,24.0,12.0,91.0,117.0,4.0,267.0,48.0,5.0,11340.0,21782.0,99.0,42.0,46.0,20389.0,7.0,199.0,6.0,13215.0,3.0
2902,5.0,36.0,8.0,2.0,11.0,27.0,13.0,9.0,10.0,0.0,35.0,58.0,342.0,1549.0,6872.0,1.0,86.0,50.0,4.0,24.0,111.0,63.0,78.0,38.0,61.0,17.0,1908.0,141.0,13245.0,286.0
2951,2.0,3.0,17.0,6.0,140.0,18.0,8.0,56.0,45.0,22.0,9.0,0.0,16.0,116.0,34.0,20.0,33.0,35.0,1.0,74.0,26.0,133.0,53.0,11.0,66.0,88.0,103.0,164.0,70.0,91.0
3000,3.0,5.0,10.0,9.0,7.0,28.0,371.0,50.0,15.0,1.0,0.0,75.0,8.0,251.0,47.0,4.0,32.0,25.0,83.0,11383.0,70.0,16.0,14338.0,97.0,62.0,231.0,13.0,17.0,42.0,43.0
3049,11.0,0.0,29.0,12.0,7.0,3.0,47.0,19.0,1.0,174.0,10.0,4.0,15.0,20908.0,209.0,18.0,2.0,56.0,153.0,89.0,1075.0,15603.0,892.0,206.0,1588.0,13.0,130.0,6970.0,13713.0,44.0
3098,7.0,3.0,0.0,37.0,13.0,23.0,20.0,16.0,5.0,10.0,2.0,29.0,9.0,14.0,140.0,27.0,57.0,32.0,58.0,68.0,88.0,15544.0,65.0,84.0,2745.0,46.0,467.0,4.0,13227.0,30.0
3147,3.0,4.0,0.0,5.0,9.0,8.0,31.0,2.0,1.0,82.0,16.0,15.0,7.0,1463.0,17.0,22.0,21.0,26.0,20.0,11398.0,43.0,15535.0,23.0,69.0,60.0,72.0,10.0,110.0,18.0,55.0
3196,15.0,1.0,5.0,11.0,13.0,10.0,0.0,44.0,12.0,77.0,2.0,6.0,14.0,40.0,8.0,4.0,9.0,37.0,75.0,1993.0,24.0,15552.0,35.0,71.0,84.0,38.0,139.0,7.0,13689.0,109.0
3245,13.0,0.0,17.0,34.0,12.0,2.0,50.0,39.0,22.0,19.0,18.0,3.0,24.0,118.0,84.0,33.0,194.0,171.0,4.0,11431.0,80.0,106.0,1341.0,30.0,20608.0,104.0,98.0,44.0,76.0,190.0
3294,10.0,2.0,22.0,5.0,1.0,16.0,41.0,35.0,0.0,49.0,6.0,20.0,25.0,7.0,107.0,28.0,11.0,23.0,66.0,8.0,21843.0,231.0,17.0,38.0,67.0,39.0,97.0,1223.0,13209.0,3.0
3343,2.0,320.0,3.0,4.0,9.0,1.0,31.0,8.0,5.0,82.0,19.0,20.0,11.0,10.0,29.0,44.0,25.0,22.0,6.0,111.0,30.0,70.0,100.0,14.0,45.0,117.0,94.0,0.0,42.0,93.0
3392,5.0,4.0,51.0,1.0,8.0,0.0,17.0,54.0,14.0,2.0,3.0,10.0,9.0,24.0,7.0,41.0,6.0,15.0,148.0,97.0,94.0,69.0,74.0,13566.0,160.0,48.0,12.0,84.0,17567.0,136.0
3441,0.0,5.0,1.0,2.0,17.0,30.0,15.0,13.0,72.0,98.0,309.0,19.0,36.0,6.0,14.0,87.0,56.0,31.0,8.0,7.0,107.0,122.0,9.0,14769.0,69.0,108.0,136.0,4.0,13659.0,66.0
3490,5.0,1.0,2.0,17.0,19.0,9.0,8.0,55.0,15.0,118.0,13.0,7.0,37.0,11.0,3.0,57.0,28.0,33.0,52.0,84.0,21808.0,73.0,419.0,14825.0,44.0,75.0,71.0,6.0,13708.0,10.0
3539,6.0,24.0,16.0,1.0,11.0,34.0,7.0,5.0,9.0,121.0,119.0,38.0,29.0,79.0,132.0,30.0,10.0,70.0,19.0,878.0,1626.0,197.0,17.0,14687.0,35.0,125.0,21.0,314.0,104.0,0.0
3588,0.0,6.0,2.0,1.0,12.0,21.0,5.0,19.0,16.0,57.0,8.0,7.0,12368.0,51.0,14.0,55.0,70.0,107.0,9.0,68.0,13.0,15.0,53.0,43.0,401.0,81.0,9714.0,4.0,13683.0,22.0
3637,6.0,4.0,0.0,31.0,1.0,9.0,3.0,2.0,19.0,11.0,12470.0,17.0,167.0,45.0,66.0,55.0,249.0,126.0,26.0,5.0,67.0,63.0,7.0,40.0,30.0,79.0,11520.0,15.0,13680.0,139.0
3686,3.0,2.0,0.0,5.0,8.0,34.0,10.0,1.0,40.0,98.0,12448.0,20.0,11.0,4.0,19.0,41.0,24.0,54.0,64.0,77.0,21798.0,15532.0,14330.0,14798.0,185.0,103.0,51.0,75.0,13682.0,121.0
3735,7.0,3.0,1.0,0.0,12.0,4.0,9.0,10.0,20.0,15.0,12448.0,13226.0,30.0,35.0,54.0,36.0,253.0,85.0,28.0,11385.0,11.0,155.0,16.0,14729.0,52.0,78.0,32.0,197.0,29.0,23.0
3784,2.0,3.0,7.0,0.0,10.0,19.0,1.0,61.0,18.0,17.0,346.0,12.0,422.0,25.0,9.0,49.0,265.0,48.0,26.0,43.0,24.0,109.0,282.0,194.0,42.0,126.0,2412.0,4.0,454.0,120.0
3833,8.0,2.0,7.0,5.0,0.0,31.0,1.0,73.0,6.0,18.0,223.0,12.0,206.0,3.0,55.0,17.0,8707.0,40.0,58.0,4.0,21843.0,26.0,15.0,1633.0,57.0,224.0,7896.0,16.0,13220.0,53.0
3882,8.0,0.0,5.0,2.0,4.0,9.0,13.0,10.0,38.0,7.0,12423.0,74.0,26.0,306.0,17.0,27.0,204.0,60.0,11.0,581.0,12.0,77.0,14320.0,81.0,61.0,145.0,18.0,15.0,13661.0,28.0
3931,2.0,1.0,3.0,5.0,1626.0,4.0,7.0,48.0,19.0,6.0,14.0,60.0,20.0,69.0,83.0,41.0,8677.0,64.0,38.0,11319.0,126.0,31.0,21.0,18.0,16.0,57.0,91.0,157.0,52.0,11.0
3980,7.0,0.0,5.0,8.0,14.0,10.0,4.0,40.0,32.0,68.0,21.0,13262.0,12.0,3.0,19.0,16.0,48.0,51.0,26.0,1.0,186.0,74.0,1416.0,76.0,31.0,38.0,175.0,272.0,79.0,65.0
4029,0.0,9.0,3.0,6.0,201.0,36.0,15.0,105.0,1.0,47.0,17.0,13287.0,4.0,21784.0,59.0,8.0,176.0,57.0,30.0,180.0,170.0,23.0,282.0,29.0,142.0,24.0,172.0,124.0,68.0,1579.0
4078,9.0,3.0,8.0,17.0,7925.0,0.0,16.0,104.0,2.0,75.0,12.0,286.0,13.0,1.0,137.0,6.0,224.0,11.0,97.0,364.0,160.0,126.0,127.0,57.0,20598.0,430.0,447.0,19.0,13717.0,1192.0
4127,2.0,1.0,0.0,6.0,3.0,16.0,11.0,17.0,33.0,5.0,14.0,163.0,28.0,7.0,249.0,21.0,172.0,35.0,43.0,1615.0,310.0,31.0,36.0,99.0,559.0,19.0,15.0,84.0,100.0,25.0
4176,4.0,11.0,5.0,0.0,17.0,3.0,10.0,26.0,1.0,19.0,58.0,9.0,13.0,59.0,8.0,7.0,419.0,37.0,12.0,12707.0,163.0,56.0,142.0,62.0,20311.0,137.0,372.0,732.0,101.0,375.0
4225,0.0,124.0,8.0,4.0,170.0,18.0,28.0,98.0,22.0,68.0,65.0,13268.0,6.0,700.0,11.0,16.0,12.0,85.0,2.0,11383.0,222.0,105.0,88.0,47.0,168.0,56.0,1.0,1648.0,418.0,181.0
4274,4.0,3.0,2.0,31.0,9353.0,59.0,6.0,20.0,0.0,60.0,38.0,131.0,8200.0,20871.0,5.0,34.0,16.0,8.0,28.0,7787.0,7.0,73.0,18.0,62.0,124.0,114.0,211.0,6788.0,98.0,26.0
4323,1.0,2.0,4.0,3.0,216.0,7.0,16.0,18.0,0.0,38.0,43.0,1630.0,54.0,21790.0,47.0,24.0,15.0,57.0,51.0,6.0,91.0,196.0,181.0,75.0,157.0,11.0,20.0,6887.0,34.0,10.0
4372,9.0,11.0,3.0,30.0,6.0,15.0,204.0,5.0,1.0,26.0,8.0,49.0,0.0,81.0,71.0,28.0,85.0,60.0,16.0,10.0,106.0,39.0,464.0,74.0,172.0,68.0,18.0,22.0,57.0,199.0
4421,0.0,12.0,7.0,56.0,2.0,8.0,1.0,3.0,6.0,13.0,19.0,14.0,49.0,11.0,9.0,29.0,18.0,55.0,43.0,154.0,20.0,4.0,99.0,2606.0,114.0,70.0,576.0,6959.0,13223.0,32.0
4470,1.0,4.0,6.0,57.0,11.0,20.0,0.0,27.0,2.0,21.0,12423.0,73.0,18.0,5.0,54.0,75.0,300.0,39.0,94.0,7.0,3.0,60.0,85.0,45.0,56.0,32.0,61.0,255.0,13671.0,47.0
4519,3.0,4.0,38.0,23.0,18.0,36.0,1.0,44.0,9.0,5.0,53.0,51.0,17.0,15.0,0.0,64.0,29.0,56.0,10.0,6.0,43.0,30.0,227.0,77.0,37.0,14.0,132.0,291.0,13219.0,41.0
4568,2.0,0.0,3.0,70.0,13.0,20.0,36.0,10.0,26.0,12.0,75.0,14.0,15.0,1.0,39.0,45.0,27.0,9.0,2077.0,11359.0,64.0,25.0,44.0,38.0,65.0,29.0,47.0,101.0,41.0,4.0
4617,2.0,1.0,6.0,31.0,9.0,28.0,4.0,18.0,3.0,25.0,12430.0,5.0,7.0,8.0,30.0,21.0,26.0,53.0,60.0,94.0,39.0,13.0,32.0,55.0,46.0,43.0,10.0,6926.0,52.0,33.0
4666,0.0,3.0,5.0,50.0,8.0,28.0,37.0,2.0,1.0,14.0,12422.0,21.0,10.0,23.0,33.0,18.0,236.0,26.0,52.0,11.0,6.0,19.0,82.0,38.0,67.0,57.0,7.0,174.0,15.0,30.0
4715,2.0,95.0,0.0,90.0,10.0,12.0,29.0,42.0,3.0,119.0,1937.0,123.0,145.0,8.0,57.0,25.0,31.0,50.0,41.0,128.0,7.0,47.0,72.0,52.0,75.0,54.0,161.0,6967.0,19.0,9.0
4764,5.0,1.0,14.0,72.0,6.0,20.0,22.0,3.0,9.0,139.0,12470.0,11.0,30.0,12.0,19.0,27.0,25.0,16.0,18.0,11414.0,117.0,24.0,4.0,41.0,122.0,28.0,178.0,6626.0,1758.0,29.0
4813,3.0,2.0,0.0,48.0,1.0,4.0,7.0,6.0,43.0,11.0,12431.0,38.0,18.0,14.0,35.0,40.0,5.0,34.0,6372.0,8495.0,47.0,8.0,31.0,109.0,20390.0,26.0,24.0,238.0,22.0,33.0
4862,1.0,9.0,6.0,69.0,21.0,19.0,2.0,16.0,13.0,0.0,7.0,15.0,124.0,11.0,26.0,40.0,34.0,30.0,77.0,262.0,60.0,5.0,97.0,83.0,103.0,12.0,54.0,263.0,33.0,130.0
