,CARD8,LGR4,NPC2,ARHGAP23,RIOK1,SOX7,RP11-550I24.2,HECA,ARHGDIB,GPR128,PSMG4,IDE,HHEX,LRRC70,B3GALT4,AC092798.2,RP11-800A18.4,N4BP2L1,NUPR1,ALDH1L1,LCA5L,NR2C1,FGFR4,CCNDBP1,LINC00649,GNAZ,VWA7,RRP36,ACYP2,FOXA2
550,26.0,86.0,3524.0,39.0,116.0,18677.0,27.0,124.0,5361.0,5.0,573.0,1161.0,558.0,166.0,21093.0,59.0,2595.0,6952.0,65.0,13020.0,10058.0,28.0,22.0,288.0,1487.0,8733.0,683.0,250.0,1779.0,9113.0
599,81.0,17.0,70.0,206.0,148.0,18683.0,62.0,45.0,95.0,454.0,20823.0,584.0,19414.0,21650.0,190.0,134.0,470.0,749.0,10712.0,14806.0,774.0,25.0,5.0,513.0,1122.0,74.0,180.0,22971.0,1488.0,605.0
648,9.0,79.0,134.0,114.0,211.0,6.0,109.0,0.0,210.0,65.0,20827.0,89.0,529.0,991.0,21058.0,12827.0,361.0,246.0,411.0,155.0,1097.0,5127.0,1.0,395.0,442.0,42.0,43.0,22935.0,1920.0,7396.0
697,18.0,16.0,35.0,13.0,230.0,3.0,1020.0,71.0,83.0,2719.0,17.0,406.0,2.0,167.0,96.0,110.0,11448.0,20.0,10738.0,366.0,7606.0,587.0,7.0,287.0,1192.0,25.0,48.0,492.0,815.0,676.0
746,68.0,1.0,5.0,139.0,1006.0,311.0,44.0,0.0,803.0,49.0,13.0,651.0,72.0,637.0,193.0,83.0,815.0,6181.0,374.0,518.0,10.0,539.0,20986.0,584.0,7652.0,7.0,444.0,665.0,16748.0,412.0
795,8.0,93.0,16.0,14.0,38.0,149.0,451.0,201.0,562.0,22.0,1278.0,143.0,6.0,20.0,21052.0,97.0,649.0,78.0,31.0,28.0,7581.0,706.0,20965.0,200.0,1765.0,62.0,37.0,612.0,306.0,211.0
844,13.0,62.0,19.0,54.0,66.0,6.0,233.0,115.0,5717.0,1.0,26.0,19364.0,25.0,29.0,21039.0,127.0,1395.0,188.0,10768.0,1727.0,53.0,758.0,69.0,385.0,1489.0,18.0,206.0,279.0,16747.0,7489.0
893,91.0,51.0,40.0,108.0,246.0,186.0,735.0,23234.0,245.0,7.0,20687.0,917.0,1.0,16.0,21038.0,35.0,503.0,6805.0,269.0,197.0,7608.0,5811.0,49.0,3281.0,1156.0,1305.0,21080.0,5.0,16775.0,165.0
942,136.0,93.0,92.0,96.0,3.0,151.0,318.0,452.0,6924.0,179.0,16.0,66.0,19483.0,29.0,145.0,346.0,332.0,15.0,10690.0,1251.0,41.0,403.0,20953.0,1325.0,7629.0,50.0,254.0,2086.0,2982.0,650.0
991,39.0,661.0,45.0,10440.0,8.0,2.0,573.0,23302.0,4953.0,147.0,109.0,299.0,228.0,21621.0,100.0,12816.0,11440.0,6113.0,10776.0,30.0,380.0,630.0,1473.0,609.0,191.0,26.0,21303.0,392.0,288.0,748.0
1040,123.0,2493.0,105.0,31.0,321.0,263.0,303.0,23234.0,18.0,12878.0,20719.0,676.0,88.0,15.0,21035.0,155.0,64.0,25.0,298.0,27.0,7621.0,7023.0,20978.0,520.0,7635.0,714.0,21075.0,22039.0,707.0,963.0
1089,14.0,481.0,142.0,22.0,73.0,306.0,415.0,760.0,0.0,24.0,20769.0,439.0,383.0,416.0,221.0,885.0,11375.0,399.0,10703.0,467.0,103.0,225.0,20957.0,303.0,7587.0,256.0,707.0,22936.0,26.0,568.0
1138,14.0,5449.0,74.0,18.0,155.0,2.0,468.0,3015.0,20.0,121.0,20774.0,692.0,4.0,1002.0,247.0,330.0,1326.0,50.0,10775.0,42.0,407.0,80.0,21004.0,344.0,420.0,6.0,21295.0,21184.0,16762.0,2624.0
1187,79.0,12.0,3480.0,10453.0,38.0,18800.0,210.0,18.0,0.0,12920.0,176.0,1054.0,161.0,52.0,75.0,12859.0,1741.0,1692.0,10784.0,14817.0,469.0,308.0,21010.0,659.0,253.0,9237.0,899.0,21137.0,16777.0,451.0
1236,88.0,221.0,56.0,11633.0,129.0,54.0,45.0,737.0,293.0,12886.0,2.0,19460.0,19458.0,307.0,21024.0,336.0,53.0,150.0,10337.0,103.0,331.0,1361.0,73.0,158.0,211.0,1.0,952.0,602.0,16710.0,247.0
1285,1.0,919.0,8.0,174.0,141.0,0.0,610.0,23235.0,61.0,12914.0,20724.0,278.0,57.0,371.0,7.0,12853.0,1758.0,564.0,209.0,563.0,132.0,7109.0,20956.0,556.0,554.0,566.0,21080.0,21142.0,38.0,349.0
1334,81.0,35.0,115.0,401.0,266.0,872.0,169.0,2261.0,196.0,388.0,1595.0,763.0,70.0,59.0,146.0,951.0,263.0,538.0,661.0,49.0,408.0,5.0,393.0,788.0,7646.0,465.0,1002.0,21137.0,24.0,412.0
1383,2.0,398.0,4.0,73.0,20762.0,18766.0,150.0,23239.0,7049.0,622.0,20681.0,282.0,463.0,21649.0,198.0,194.0,977.0,5147.0,10729.0,51.0,537.0,1191.0,183.0,424.0,305.0,1.0,912.0,21130.0,16682.0,68.0
1432,75.0,5492.0,127.0,166.0,12.0,18727.0,243.0,11.0,1.0,12947.0,20701.0,19462.0,238.0,21680.0,165.0,483.0,140.0,6096.0,10731.0,540.0,162.0,156.0,1284.0,83.0,392.0,67.0,58.0,21143.0,16767.0,329.0
1481,7953.0,96.0,63.0,846.0,20847.0,369.0,54.0,23359.0,3151.0,6.0,4.0,303.0,19456.0,21617.0,21052.0,85.0,2.0,212.0,8.0,14794.0,302.0,7022.0,521.0,964.0,1110.0,564.0,21104.0,156.0,16709.0,384.0
1530,110.0,182.0,6422.0,2.0,20725.0,396.0,122.0,68.0,94.0,13001.0,8.0,186.0,19351.0,21631.0,21109.0,857.0,133.0,254.0,10803.0,13035.0,7628.0,2902.0,1201.0,92.0,1472.0,257.0,21316.0,36.0,856.0,103.0
1579,15.0,47.0,168.0,319.0,14462.0,23183.0,34.0,30.0,193.0,28.0,122.0,7.0,21.0,15213.0,14810.0,18112.0,0.0,311.0,895.0,17487.0,597.0,36.0,177.0,108.0,8427.0,890.0,725.0,35.0,55.0,277.0
1628,107.0,8.0,28.0,203.0,551.0,214.0,121.0,23233.0,487.0,2484.0,6.0,168.0,61.0,9.0,21040.0,81.0,21.0,11.0,247.0,14786.0,268.0,4941.0,821.0,64.0,7672.0,4.0,21068.0,22947.0,16713.0,60.0
1677,142.0,114.0,68.0,181.0,294.0,9.0,82.0,2.0,83.0,30.0,6.0,58.0,19363.0,763.0,21046.0,1028.0,74.0,249.0,363.0,1504.0,9203.0,341.0,21012.0,391.0,7687.0,9220.0,84.0,477.0,324.0,1136.0
1726,21.0,40.0,50.0,3.0,20695.0,266.0,94.0,23291.0,520.0,12950.0,84.0,376.0,19365.0,647.0,143.0,849.0,51.0,952.0,11188.0,13022.0,229.0,238.0,10.0,790.0,3159.0,11569.0,21290.0,2.0,16774.0,42.0
1775,123.0,145.0,11.0,13.0,20830.0,1.0,68.0,17.0,5183.0,34.0,229.0,101.0,19362.0,74.0,21033.0,71.0,3.0,197.0,43.0,748.0,20.0,224.0,2.0,150.0,527.0,0.0,21080.0,1112.0,16784.0,578.0
1824,9437.0,72.0,77.0,222.0,20711.0,23.0,93.0,1545.0,4.0,32.0,25.0,15.0,3122.0,551.0,21095.0,291.0,71.0,4244.0,7.0,656.0,583.0,53.0,40.0,1445.0,2016.0,1.0,608.0,8.0,547.0,472.0
1873,39.0,80.0,89.0,102.0,20717.0,18691.0,193.0,1762.0,1.0,105.0,351.0,33.0,19370.0,10.0,21045.0,12829.0,169.0,2129.0,332.0,2255.0,321.0,1223.0,4.0,320.0,273.0,28.0,1297.0,2.0,16770.0,2311.0
1922,207.0,33.0,49.0,8.0,20719.0,18789.0,50.0,23244.0,5198.0,12952.0,152.0,1.0,197.0,21691.0,21093.0,12812.0,423.0,937.0,10774.0,14808.0,7612.0,7083.0,21020.0,433.0,7643.0,53.0,21308.0,613.0,16758.0,938.0
1971,156.0,106.0,155.0,75.0,21.0,498.0,162.0,35.0,1507.0,170.0,5.0,19465.0,1287.0,231.0,21056.0,12808.0,1383.0,158.0,10318.0,50.0,7190.0,10.0,20973.0,980.0,263.0,10102.0,733.0,823.0,424.0,83.0
2020,7940.0,10.0,31.0,70.0,71.0,269.0,9.0,801.0,274.0,962.0,20697.0,285.0,19366.0,550.0,486.0,12824.0,11463.0,6187.0,1441.0,118.0,7604.0,7067.0,21010.0,384.0,277.0,841.0,738.0,21127.0,3.0,378.0
2069,9.0,7.0,4862.0,4.0,231.0,5.0,78.0,1.0,7269.0,314.0,907.0,19410.0,217.0,18.0,13.0,129.0,1110.0,0.0,10439.0,2508.0,745.0,7114.0,19.0,587.0,260.0,564.0,21095.0,106.0,16703.0,2120.0
2118,337.0,116.0,152.0,29.0,180.0,17.0,238.0,4.0,3.0,21.0,614.0,1777.0,14.0,11.0,1613.0,203.0,11389.0,1.0,10717.0,336.0,72.0,620.0,860.0,335.0,39.0,1087.0,644.0,342.0,232.0,149.0
2167,322.0,94.0,60.0,147.0,234.0,72.0,76.0,23299.0,52.0,12968.0,13.0,19359.0,19356.0,0.0,525.0,236.0,11423.0,4.0,10777.0,3.0,7610.0,763.0,21021.0,453.0,273.0,57.0,1488.0,321.0,315.0,7492.0
2216,161.0,4.0,28.0,65.0,356.0,8.0,61.0,23241.0,175.0,12916.0,20716.0,44.0,19478.0,157.0,1122.0,80.0,105.0,10.0,10782.0,3103.0,7586.0,1112.0,1.0,127.0,22.0,9232.0,21197.0,54.0,78.0,869.0
2265,9201.0,11.0,89.0,38.0,437.0,1.0,10.0,23297.0,2.0,28.0,873.0,29.0,128.0,42.0,302.0,147.0,391.0,19.0,15.0,81.0,716.0,303.0,21016.0,755.0,399.0,10324.0,595.0,463.0,2178.0,13.0
2314,263.0,18.0,3.0,82.0,14673.0,86.0,129.0,700.0,5755.0,461.0,2408.0,128.0,204.0,10.0,464.0,100.0,12737.0,1.0,20.0,47.0,8598.0,503.0,15471.0,4172.0,524.0,8518.0,1203.0,14838.0,5.0,9363.0
2363,291.0,8.0,95.0,2.0,64.0,0.0,200.0,14.0,7141.0,7.0,20850.0,954.0,542.0,320.0,21156.0,154.0,11453.0,89.0,227.0,16.0,7573.0,5739.0,60.0,664.0,7629.0,77.0,813.0,9.0,16730.0,7472.0
2412,21.0,5516.0,57.0,62.0,489.0,227.0,159.0,23281.0,5154.0,435.0,20700.0,788.0,424.0,49.0,8.0,163.0,10.0,2.0,45.0,0.0,576.0,2835.0,20981.0,881.0,84.0,821.0,21295.0,3049.0,16774.0,7484.0
2461,0.0,5517.0,96.0,197.0,42.0,377.0,361.0,9.0,351.0,10.0,20712.0,164.0,3042.0,360.0,21043.0,11.0,952.0,3.0,5.0,12992.0,266.0,50.0,1.0,35.0,7635.0,2766.0,21067.0,32.0,52.0,459.0
2510,7947.0,149.0,95.0,10369.0,1057.0,2.0,801.0,32.0,4.0,547.0,1151.0,314.0,50.0,493.0,77.0,35.0,11436.0,75.0,6.0,14829.0,163.0,122.0,20966.0,633.0,7623.0,201.0,21096.0,785.0,498.0,898.0
2559,116.0,19811.0,151.0,112.0,89.0,5.0,522.0,16.0,5423.0,10.0,21555.0,1492.0,38.0,819.0,362.0,468.0,777.0,766.0,401.0,13979.0,366.0,6256.0,21672.0,683.0,120.0,2975.0,346.0,358.0,488.0,8639.0
2608,1598.0,19826.0,177.0,12.0,132.0,0.0,17117.0,22024.0,264.0,57.0,2530.0,2332.0,109.0,6.0,14942.0,26.0,12705.0,2.0,4.0,3.0,78.0,413.0,15418.0,65.0,31.0,580.0,346.0,1558.0,16867.0,997.0
2657,162.0,4302.0,39.0,197.0,3.0,72.0,338.0,1294.0,5686.0,189.0,20719.0,283.0,113.0,234.0,321.0,49.0,844.0,654.0,444.0,12998.0,204.0,278.0,20954.0,1196.0,1133.0,510.0,21101.0,20.0,1151.0,663.0
2706,30.0,19883.0,139.0,271.0,40.0,1.0,20.0,0.0,1150.0,12923.0,21789.0,104.0,9.0,14589.0,20772.0,156.0,12424.0,87.0,4197.0,56.0,1270.0,230.0,3109.0,723.0,278.0,9646.0,387.0,12.0,22.0,7619.0
2755,5.0,4438.0,112.0,126.0,190.0,30.0,379.0,301.0,514.0,12983.0,20756.0,1.0,63.0,6.0,21095.0,24.0,2.0,9.0,37.0,13023.0,7617.0,183.0,20988.0,96.0,1145.0,9234.0,21309.0,446.0,402.0,311.0
2804,0.0,5460.0,3177.0,282.0,1.0,18700.0,614.0,285.0,383.0,180.0,249.0,19374.0,80.0,262.0,76.0,12887.0,187.0,42.0,105.0,84.0,364.0,133.0,293.0,202.0,89.0,402.0,21311.0,15.0,16767.0,190.0
2853,490.0,4451.0,115.0,299.0,71.0,7.0,14638.0,44.0,6878.0,624.0,26.0,19364.0,80.0,542.0,84.0,1556.0,1091.0,6.0,2.0,64.0,8526.0,5650.0,12.0,56.0,7676.0,9203.0,836.0,170.0,1.0,350.0
2902,332.0,606.0,309.0,64.0,66.0,40.0,14637.0,11.0,137.0,10.0,20762.0,278.0,67.0,310.0,238.0,163.0,933.0,463.0,4.0,552.0,7585.0,6984.0,241.0,449.0,587.0,2865.0,21098.0,18.0,955.0,7397.0
2951,2643.0,95.0,49.0,228.0,18.0,18684.0,378.0,23233.0,11.0,3.0,103.0,1811.0,1564.0,231.0,21062.0,1722.0,866.0,531.0,0.0,981.0,7646.0,506.0,20945.0,534.0,774.0,1325.0,427.0,22948.0,355.0,7416.0
3000,21.0,81.0,32.0,230.0,18.0,2.0,447.0,23234.0,427.0,755.0,20687.0,165.0,19356.0,7.0,21028.0,12817.0,0.0,39.0,289.0,13898.0,362.0,7020.0,20957.0,754.0,391.0,26.0,544.0,5.0,20.0,712.0
3049,148.0,141.0,7.0,226.0,67.0,0.0,14596.0,1727.0,5148.0,2.0,19.0,474.0,19353.0,604.0,21033.0,12843.0,11432.0,1490.0,10773.0,14816.0,7622.0,254.0,2919.0,4009.0,39.0,1.0,21078.0,21363.0,193.0,7494.0
3098,66.0,85.0,24.0,42.0,9.0,2613.0,137.0,1664.0,540.0,41.0,151.0,340.0,1141.0,142.0,21110.0,12903.0,11.0,176.0,254.0,1487.0,553.0,5851.0,28.0,40.0,525.0,406.0,903.0,2.0,532.0,7457.0
3147,3.0,129.0,57.0,63.0,185.0,411.0,723.0,566.0,421.0,12983.0,25.0,1419.0,19344.0,31.0,21033.0,2756.0,139.0,4.0,189.0,9.0,7595.0,452.0,20955.0,4044.0,44.0,9274.0,905.0,17.0,184.0,7486.0
3196,167.0,116.0,46.0,20.0,136.0,402.0,211.0,12.0,158.0,12879.0,20718.0,9.0,1031.0,377.0,21035.0,12816.0,1902.0,6110.0,940.0,14804.0,7598.0,124.0,20977.0,4118.0,297.0,1160.0,493.0,21130.0,40.0,1044.0
3245,26.0,193.0,223.0,3.0,7.0,18731.0,4.0,251.0,28.0,12965.0,103.0,20.0,134.0,1099.0,97.0,12899.0,2.0,1328.0,247.0,917.0,243.0,5198.0,111.0,4664.0,402.0,89.0,693.0,17.0,165.0,355.0
3294,101.0,613.0,45.0,213.0,20846.0,25.0,158.0,12.0,5706.0,19.0,20724.0,19355.0,513.0,575.0,21062.0,12821.0,185.0,67.0,405.0,5.0,410.0,4941.0,20944.0,1756.0,7633.0,9254.0,21085.0,924.0,16739.0,7423.0
3343,110.0,5.0,49.0,85.0,149.0,6.0,17.0,8.0,5151.0,45.0,46.0,31.0,96.0,21695.0,21099.0,12900.0,621.0,556.0,566.0,13000.0,7638.0,7059.0,0.0,4042.0,60.0,9275.0,1140.0,550.0,111.0,1730.0
3392,11.0,257.0,6403.0,229.0,170.0,16.0,32.0,23313.0,107.0,846.0,20818.0,318.0,569.0,60.0,258.0,12850.0,2884.0,31.0,10684.0,12990.0,7593.0,805.0,20965.0,1107.0,17.0,813.0,21086.0,15.0,16766.0,7468.0
3441,129.0,249.0,3442.0,54.0,44.0,131.0,65.0,3030.0,4931.0,808.0,10.0,19348.0,19407.0,38.0,21055.0,168.0,523.0,689.0,10697.0,13893.0,360.0,7042.0,20940.0,427.0,296.0,527.0,288.0,22937.0,2603.0,1295.0
3490,2.0,23.0,4671.0,16.0,160.0,18699.0,181.0,96.0,199.0,1736.0,20761.0,803.0,618.0,2873.0,21089.0,102.0,1098.0,611.0,826.0,86.0,9214.0,64.0,9.0,175.0,31.0,846.0,273.0,21126.0,557.0,1646.0
3539,2483.0,15.0,542.0,4.0,67.0,18784.0,184.0,29.0,1.0,6.0,20762.0,19449.0,19446.0,795.0,163.0,1814.0,11417.0,6652.0,2.0,1707.0,381.0,5332.0,869.0,164.0,378.0,79.0,19.0,22934.0,16733.0,540.0
3588,2.0,235.0,3289.0,6.0,176.0,18785.0,220.0,12.0,94.0,1.0,177.0,692.0,3.0,21655.0,2572.0,466.0,11414.0,6099.0,401.0,14581.0,415.0,141.0,20957.0,45.0,151.0,56.0,382.0,144.0,16766.0,472.0
3637,99.0,102.0,6644.0,6.0,297.0,4.0,59.0,1334.0,446.0,1.0,20707.0,1483.0,19467.0,0.0,21052.0,12700.0,11374.0,5403.0,10697.0,5.0,380.0,20.0,20960.0,157.0,752.0,1493.0,229.0,22951.0,572.0,7428.0
3686,151.0,26.0,3762.0,25.0,147.0,423.0,62.0,305.0,19.0,28.0,10.0,339.0,19374.0,21411.0,364.0,12619.0,148.0,476.0,10708.0,14779.0,9403.0,311.0,5.0,79.0,55.0,1341.0,99.0,1368.0,637.0,7411.0
3735,36.0,3.0,3164.0,67.0,309.0,18788.0,210.0,23299.0,117.0,5.0,0.0,364.0,50.0,745.0,21043.0,285.0,11406.0,6087.0,10748.0,1767.0,313.0,421.0,20980.0,178.0,203.0,12.0,979.0,21144.0,16715.0,620.0
3784,39.0,8.0,3607.0,957.0,106.0,2225.0,26.0,0.0,7.0,12987.0,2622.0,180.0,100.0,635.0,21112.0,222.0,4.0,397.0,280.0,1084.0,571.0,542.0,164.0,117.0,7551.0,9275.0,81.0,21129.0,709.0,256.0
3833,6.0,98.0,6466.0,172.0,2.0,11.0,7.0,5.0,351.0,355.0,187.0,901.0,4.0,851.0,0.0,12800.0,53.0,590.0,239.0,178.0,490.0,421.0,96.0,174.0,7649.0,417.0,503.0,19.0,16703.0,7412.0
3882,14.0,107.0,535.0,11.0,348.0,25.0,169.0,4.0,245.0,34.0,20.0,112.0,19378.0,21630.0,21063.0,495.0,272.0,6607.0,11215.0,1288.0,306.0,1334.0,59.0,228.0,391.0,9899.0,325.0,2045.0,648.0,9759.0
3931,9.0,64.0,137.0,10403.0,67.0,11.0,20.0,17.0,1.0,1152.0,92.0,317.0,6.0,21631.0,21064.0,185.0,199.0,74.0,2.0,236.0,7600.0,339.0,225.0,127.0,7630.0,9254.0,21300.0,21144.0,399.0,191.0
3980,103.0,14.0,992.0,143.0,9.0,101.0,380.0,23294.0,1285.0,45.0,56.0,18.0,19345.0,21626.0,112.0,12864.0,1065.0,1449.0,251.0,135.0,9630.0,6645.0,20986.0,900.0,10061.0,11776.0,300.0,306.0,625.0,8850.0
4029,12.0,14.0,82.0,10371.0,18.0,0.0,363.0,4.0,261.0,12894.0,34.0,504.0,19352.0,524.0,2.0,125.0,760.0,6130.0,929.0,381.0,7604.0,7055.0,129.0,2196.0,7633.0,117.0,21105.0,73.0,256.0,7473.0
4078,3.0,5.0,267.0,12069.0,2.0,18695.0,0.0,167.0,6.0,474.0,20724.0,433.0,19365.0,21634.0,118.0,12876.0,8169.0,6729.0,11156.0,81.0,539.0,6478.0,1.0,4201.0,9237.0,7873.0,68.0,287.0,16751.0,27.0
4127,0.0,77.0,476.0,10431.0,13.0,18675.0,734.0,23295.0,87.0,28.0,20693.0,556.0,275.0,64.0,9.0,464.0,858.0,242.0,232.0,352.0,74.0,401.0,1364.0,3546.0,499.0,9261.0,399.0,20.0,551.0,320.0
4176,7920.0,61.0,129.0,304.0,96.0,7.0,477.0,125.0,5011.0,1.0,20703.0,19348.0,636.0,21632.0,58.0,591.0,579.0,1666.0,2.0,821.0,523.0,5794.0,181.0,466.0,7619.0,140.0,409.0,15.0,585.0,698.0
4225,105.0,68.0,64.0,295.0,61.0,18688.0,470.0,12.0,29.0,52.0,355.0,162.0,796.0,1677.0,21075.0,12829.0,11439.0,770.0,0.0,13914.0,207.0,47.0,21004.0,954.0,956.0,1193.0,376.0,136.0,16779.0,184.0
4274,1.0,15.0,43.0,12463.0,203.0,156.0,60.0,207.0,120.0,12990.0,419.0,19.0,19371.0,5.0,21043.0,898.0,78.0,6780.0,549.0,3.0,9835.0,1135.0,9.0,4881.0,8896.0,8288.0,75.0,140.0,285.0,179.0
4323,84.0,8.0,72.0,139.0,1.0,51.0,646.0,73.0,55.0,38.0,20708.0,414.0,287.0,21.0,225.0,205.0,15.0,6105.0,212.0,33.0,752.0,7070.0,46.0,185.0,7630.0,9255.0,39.0,41.0,233.0,159.0
4372,7905.0,25.0,29.0,342.0,1.0,78.0,379.0,275.0,98.0,52.0,707.0,0.0,62.0,21650.0,19.0,12812.0,1104.0,413.0,10.0,14798.0,123.0,362.0,115.0,4093.0,7590.0,471.0,401.0,546.0,2120.0,539.0
4421,10.0,113.0,71.0,328.0,300.0,18784.0,122.0,9.0,5026.0,497.0,178.0,123.0,373.0,21616.0,3.0,859.0,53.0,6095.0,609.0,2135.0,7557.0,7006.0,136.0,4444.0,452.0,9198.0,406.0,1517.0,650.0,610.0
4470,63.0,124.0,41.0,108.0,20709.0,1.0,217.0,11.0,307.0,2464.0,64.0,79.0,19468.0,21621.0,49.0,730.0,3.0,5520.0,10767.0,177.0,12.0,98.0,315.0,3174.0,195.0,384.0,277.0,21140.0,16.0,1036.0
4519,14.0,2920.0,403.0,101.0,1823.0,18732.0,371.0,159.0,1219.0,2988.0,20.0,211.0,19350.0,887.0,35.0,12817.0,17.0,348.0,10741.0,582.0,7595.0,7041.0,1837.0,3758.0,238.0,1097.0,440.0,21110.0,212.0,7405.0
4568,129.0,228.0,11.0,7.0,779.0,1.0,288.0,23235.0,365.0,12868.0,2.0,185.0,19486.0,808.0,85.0,12813.0,354.0,1894.0,10743.0,217.0,335.0,5847.0,24.0,3244.0,65.0,9217.0,336.0,1066.0,390.0,7467.0
4617,21.0,5494.0,15.0,13.0,700.0,49.0,116.0,23314.0,4939.0,12919.0,629.0,1.0,128.0,21433.0,53.0,642.0,0.0,439.0,25.0,14759.0,41.0,647.0,20739.0,547.0,1256.0,615.0,653.0,676.0,14.0,7425.0
4666,18.0,91.0,44.0,5.0,20829.0,26.0,266.0,23250.0,1241.0,12863.0,262.0,162.0,19463.0,1658.0,109.0,757.0,115.0,55.0,17.0,29.0,240.0,6989.0,93.0,546.0,165.0,28.0,1169.0,549.0,296.0,1435.0
4715,117.0,257.0,53.0,119.0,20807.0,0.0,409.0,390.0,121.0,12909.0,10.0,76.0,19461.0,21436.0,11.0,810.0,172.0,107.0,10691.0,108.0,93.0,6971.0,671.0,287.0,160.0,1549.0,644.0,22940.0,385.0,7384.0
4764,86.0,363.0,51.0,274.0,20832.0,3087.0,2913.0,23314.0,461.0,2475.0,209.0,38.0,299.0,257.0,265.0,43.0,326.0,6721.0,365.0,14811.0,331.0,399.0,0.0,836.0,215.0,103.0,417.0,769.0,185.0,489.0
4813,360.0,180.0,78.0,284.0,54.0,18678.0,17.0,387.0,132.0,1111.0,103.0,19361.0,41.0,6.0,3.0,404.0,242.0,452.0,10750.0,11.0,173.0,85.0,246.0,3682.0,158.0,694.0,337.0,908.0,9.0,7395.0
4862,7909.0,119.0,1.0,2.0,1116.0,18780.0,8.0,476.0,575.0,13032.0,176.0,306.0,2826.0,21642.0,0.0,580.0,37.0,6093.0,480.0,14763.0,301.0,908.0,20972.0,585.0,173.0,202.0,303.0,22949.0,892.0,7453.0
