,DHAP/glyceraldehyde 3P,serotonin,inositol,C36:4 PC-B,C18:0 LPE,C22:6 LPC,C56:5 TAG,C20:4 CE,GABA,isocitrate,adenosine,taurodeoxycholate,butyrylcarnitine/isobutyrylcarnitine,putrescine,phosphocreatine,cotinine,NADP,glutamine,N-carbamoyl-beta-alanine,serine,beta-alanine,hypoxanthine,2-deoxyadenosine,alpha-glycerophosphocholine,valerylcarnitine,alpha-hydroxybutyrate,hippurate,uridine,palmitoylcarnitine,niacinamide
562,8.0,9.0,5.0,4.0,10.0,1.0,0.0,2.0,7.0,3.0,14.0,15.0,11.0,6.0,39.0,26.0,13.0,17.0,33.0,19.0,35.0,28.0,29.0,34.0,12.0,20.0,32.0,18.0,16.0,30.0
611,8.0,13.0,6.0,5.0,4.0,1.0,0.0,3.0,2.0,15.0,10.0,12.0,11.0,7.0,20.0,14.0,16.0,17.0,24.0,21.0,18.0,40.0,39.0,23.0,19.0,36.0,29.0,44.0,9.0,28.0
660,16.0,9.0,4.0,2.0,12.0,0.0,1.0,5.0,3.0,7.0,11.0,15.0,8.0,6.0,20.0,22.0,19.0,18.0,10.0,34.0,24.0,26.0,28.0,17.0,13.0,14.0,21.0,27.0,25.0,23.0
709,4.0,2.0,5.0,1.0,9.0,0.0,3.0,6.0,10.0,7.0,16.0,13.0,11.0,8.0,18.0,29.0,15.0,20.0,12.0,54.0,23.0,19.0,46.0,24.0,14.0,22.0,39.0,32.0,26.0,27.0
758,6.0,2.0,3.0,4.0,11.0,0.0,1.0,7.0,5.0,12.0,14.0,18.0,10.0,8.0,40.0,21.0,17.0,22.0,28.0,13.0,15.0,25.0,30.0,43.0,9.0,29.0,35.0,23.0,16.0,19.0
807,7.0,9.0,3.0,1.0,11.0,4.0,2.0,0.0,6.0,14.0,8.0,12.0,10.0,5.0,23.0,20.0,19.0,17.0,21.0,34.0,15.0,27.0,35.0,30.0,16.0,22.0,36.0,18.0,33.0,24.0
856,7.0,13.0,8.0,1.0,3.0,0.0,2.0,9.0,5.0,10.0,21.0,6.0,14.0,4.0,39.0,26.0,25.0,22.0,11.0,30.0,12.0,23.0,44.0,35.0,18.0,38.0,29.0,28.0,17.0,31.0
905,7.0,5.0,3.0,0.0,1.0,2.0,9.0,6.0,4.0,8.0,12.0,10.0,17.0,13.0,33.0,27.0,11.0,18.0,28.0,16.0,24.0,14.0,25.0,22.0,15.0,43.0,32.0,19.0,39.0,23.0
954,1.0,14.0,3.0,7.0,11.0,0.0,6.0,9.0,2.0,8.0,15.0,13.0,12.0,4.0,41.0,17.0,10.0,18.0,19.0,30.0,26.0,25.0,33.0,16.0,5.0,23.0,32.0,38.0,22.0,39.0
1003,0.0,1.0,4.0,7.0,2.0,3.0,10.0,12.0,5.0,19.0,6.0,21.0,11.0,22.0,14.0,9.0,17.0,8.0,24.0,28.0,35.0,16.0,15.0,30.0,34.0,27.0,18.0,37.0,26.0,20.0
1052,0.0,3.0,2.0,11.0,7.0,4.0,5.0,8.0,1.0,12.0,6.0,21.0,26.0,23.0,9.0,10.0,19.0,14.0,20.0,27.0,38.0,25.0,17.0,34.0,50.0,31.0,13.0,46.0,24.0,32.0
1101,0.0,1.0,2.0,7.0,6.0,5.0,4.0,11.0,8.0,26.0,10.0,31.0,16.0,19.0,12.0,34.0,23.0,13.0,9.0,3.0,39.0,25.0,29.0,17.0,49.0,14.0,21.0,37.0,33.0,28.0
1150,1.0,3.0,2.0,5.0,4.0,0.0,8.0,10.0,7.0,17.0,11.0,12.0,15.0,13.0,9.0,6.0,21.0,28.0,14.0,19.0,31.0,18.0,35.0,39.0,40.0,32.0,16.0,34.0,30.0,38.0
1199,2.0,0.0,5.0,10.0,3.0,1.0,7.0,11.0,4.0,8.0,15.0,9.0,29.0,6.0,13.0,16.0,20.0,14.0,30.0,34.0,35.0,19.0,26.0,21.0,32.0,27.0,17.0,38.0,24.0,25.0
1248,5.0,1.0,0.0,7.0,2.0,4.0,3.0,11.0,6.0,15.0,8.0,12.0,14.0,16.0,10.0,24.0,20.0,17.0,32.0,36.0,23.0,26.0,25.0,37.0,34.0,31.0,18.0,45.0,9.0,35.0
1297,0.0,4.0,1.0,6.0,3.0,5.0,7.0,8.0,2.0,10.0,9.0,14.0,21.0,20.0,11.0,17.0,35.0,13.0,24.0,12.0,34.0,19.0,27.0,43.0,38.0,30.0,15.0,25.0,36.0,31.0
1346,3.0,5.0,0.0,9.0,2.0,1.0,14.0,6.0,7.0,13.0,11.0,15.0,19.0,16.0,10.0,4.0,28.0,12.0,8.0,23.0,20.0,26.0,22.0,31.0,36.0,37.0,17.0,33.0,34.0,18.0
1395,0.0,5.0,1.0,6.0,10.0,3.0,2.0,7.0,8.0,17.0,4.0,13.0,11.0,37.0,9.0,16.0,26.0,12.0,15.0,19.0,48.0,41.0,33.0,18.0,25.0,39.0,28.0,35.0,27.0,23.0
1444,0.0,8.0,2.0,10.0,3.0,1.0,6.0,9.0,5.0,7.0,4.0,27.0,16.0,12.0,11.0,20.0,19.0,18.0,15.0,23.0,46.0,25.0,24.0,31.0,35.0,17.0,14.0,29.0,22.0,39.0
1493,0.0,4.0,1.0,2.0,5.0,3.0,7.0,16.0,8.0,10.0,6.0,9.0,18.0,32.0,27.0,15.0,11.0,25.0,22.0,13.0,17.0,14.0,24.0,29.0,19.0,12.0,28.0,23.0,48.0,21.0
1542,0.0,6.0,3.0,4.0,7.0,1.0,8.0,5.0,14.0,11.0,9.0,10.0,15.0,16.0,45.0,2.0,20.0,12.0,33.0,17.0,21.0,19.0,24.0,25.0,37.0,13.0,22.0,42.0,29.0,36.0
1591,0.0,8.0,1.0,10.0,2.0,5.0,6.0,15.0,3.0,13.0,9.0,12.0,24.0,20.0,30.0,4.0,17.0,18.0,35.0,32.0,14.0,11.0,26.0,16.0,25.0,22.0,7.0,56.0,21.0,19.0
1640,0.0,1.0,3.0,6.0,5.0,2.0,15.0,4.0,25.0,19.0,7.0,14.0,13.0,22.0,32.0,20.0,12.0,8.0,26.0,29.0,11.0,21.0,16.0,9.0,10.0,18.0,24.0,34.0,41.0,17.0
1689,0.0,8.0,1.0,3.0,4.0,6.0,2.0,5.0,13.0,12.0,7.0,11.0,32.0,14.0,29.0,10.0,18.0,15.0,38.0,30.0,9.0,16.0,22.0,20.0,37.0,24.0,23.0,25.0,35.0,34.0
1738,4.0,5.0,3.0,1.0,12.0,0.0,6.0,11.0,13.0,2.0,9.0,10.0,20.0,24.0,21.0,7.0,19.0,18.0,31.0,29.0,8.0,15.0,37.0,23.0,17.0,14.0,26.0,16.0,44.0,39.0
1787,0.0,2.0,7.0,4.0,5.0,1.0,8.0,15.0,9.0,10.0,16.0,12.0,13.0,14.0,22.0,18.0,27.0,11.0,17.0,24.0,20.0,3.0,19.0,6.0,23.0,28.0,32.0,30.0,41.0,26.0
1836,3.0,0.0,4.0,2.0,1.0,5.0,7.0,10.0,6.0,8.0,19.0,13.0,33.0,17.0,12.0,21.0,35.0,18.0,15.0,38.0,14.0,16.0,20.0,9.0,23.0,11.0,24.0,41.0,37.0,22.0
1885,1.0,7.0,0.0,6.0,4.0,3.0,11.0,9.0,5.0,8.0,15.0,21.0,19.0,38.0,20.0,18.0,17.0,2.0,28.0,16.0,14.0,12.0,36.0,25.0,22.0,13.0,31.0,10.0,34.0,24.0
1934,0.0,1.0,3.0,10.0,13.0,5.0,6.0,11.0,2.0,4.0,20.0,17.0,12.0,31.0,18.0,7.0,21.0,9.0,25.0,30.0,14.0,19.0,38.0,23.0,34.0,8.0,15.0,22.0,40.0,26.0
1983,0.0,4.0,2.0,10.0,14.0,1.0,5.0,6.0,9.0,3.0,23.0,11.0,21.0,8.0,27.0,17.0,33.0,22.0,13.0,15.0,29.0,20.0,7.0,16.0,18.0,41.0,19.0,34.0,31.0,25.0
2032,2.0,10.0,3.0,6.0,1.0,0.0,19.0,5.0,4.0,7.0,9.0,13.0,18.0,33.0,27.0,15.0,24.0,20.0,11.0,23.0,25.0,21.0,14.0,8.0,16.0,34.0,26.0,28.0,17.0,22.0
2081,0.0,2.0,1.0,5.0,4.0,3.0,8.0,6.0,12.0,7.0,10.0,21.0,31.0,16.0,40.0,17.0,23.0,15.0,9.0,22.0,29.0,13.0,11.0,19.0,14.0,33.0,28.0,44.0,25.0,24.0
2130,0.0,8.0,1.0,7.0,5.0,4.0,3.0,2.0,12.0,10.0,6.0,9.0,14.0,40.0,28.0,21.0,32.0,27.0,11.0,29.0,22.0,13.0,26.0,19.0,15.0,43.0,30.0,16.0,18.0,36.0
2179,0.0,2.0,1.0,13.0,7.0,3.0,14.0,5.0,11.0,4.0,6.0,8.0,28.0,26.0,19.0,16.0,23.0,24.0,10.0,22.0,40.0,12.0,18.0,15.0,29.0,35.0,9.0,52.0,17.0,33.0
2228,1.0,4.0,0.0,2.0,9.0,3.0,13.0,10.0,16.0,14.0,6.0,7.0,31.0,18.0,30.0,27.0,19.0,23.0,11.0,17.0,21.0,15.0,5.0,8.0,20.0,34.0,24.0,45.0,12.0,41.0
2277,0.0,5.0,2.0,9.0,8.0,1.0,10.0,3.0,7.0,6.0,12.0,26.0,29.0,13.0,22.0,27.0,34.0,23.0,4.0,20.0,16.0,25.0,11.0,21.0,24.0,32.0,17.0,19.0,18.0,28.0
2326,0.0,13.0,9.0,2.0,3.0,1.0,10.0,5.0,7.0,16.0,17.0,4.0,20.0,8.0,37.0,30.0,21.0,24.0,11.0,14.0,19.0,6.0,12.0,18.0,15.0,32.0,35.0,27.0,22.0,23.0
2375,0.0,9.0,8.0,6.0,10.0,7.0,16.0,1.0,14.0,5.0,13.0,3.0,15.0,18.0,31.0,19.0,17.0,40.0,2.0,20.0,22.0,12.0,11.0,4.0,21.0,27.0,25.0,23.0,28.0,24.0
2424,2.0,4.0,0.0,1.0,8.0,7.0,12.0,3.0,13.0,10.0,5.0,14.0,31.0,19.0,30.0,26.0,22.0,11.0,9.0,15.0,37.0,21.0,6.0,17.0,33.0,18.0,16.0,46.0,29.0,20.0
2473,17.0,3.0,7.0,4.0,0.0,5.0,2.0,1.0,6.0,8.0,11.0,27.0,10.0,18.0,15.0,28.0,14.0,20.0,21.0,22.0,9.0,41.0,13.0,31.0,42.0,33.0,26.0,29.0,34.0,38.0
2522,0.0,10.0,5.0,3.0,2.0,7.0,6.0,4.0,1.0,14.0,9.0,18.0,13.0,12.0,17.0,20.0,19.0,22.0,41.0,25.0,16.0,44.0,15.0,8.0,36.0,26.0,21.0,49.0,43.0,34.0
2571,10.0,0.0,8.0,2.0,1.0,12.0,4.0,13.0,6.0,5.0,9.0,27.0,28.0,14.0,19.0,23.0,32.0,20.0,22.0,16.0,11.0,36.0,15.0,7.0,35.0,18.0,21.0,34.0,24.0,37.0
2620,8.0,0.0,3.0,4.0,2.0,6.0,1.0,11.0,9.0,7.0,5.0,32.0,10.0,13.0,28.0,29.0,23.0,33.0,18.0,17.0,16.0,30.0,14.0,34.0,27.0,21.0,25.0,40.0,47.0,22.0
2669,10.0,0.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,3.0,12.0,29.0,16.0,13.0,14.0,17.0,19.0,20.0,18.0,26.0,15.0,40.0,6.0,21.0,30.0,22.0,28.0,34.0,42.0,36.0
2718,2.0,8.0,9.0,3.0,0.0,6.0,1.0,4.0,18.0,7.0,20.0,21.0,14.0,13.0,15.0,19.0,10.0,23.0,29.0,34.0,5.0,36.0,17.0,22.0,25.0,26.0,16.0,38.0,44.0,37.0
2767,9.0,2.0,0.0,4.0,1.0,6.0,3.0,12.0,7.0,11.0,17.0,36.0,27.0,5.0,26.0,21.0,20.0,15.0,24.0,22.0,10.0,30.0,8.0,34.0,19.0,37.0,18.0,43.0,32.0,14.0
2816,6.0,9.0,5.0,2.0,1.0,4.0,0.0,10.0,3.0,7.0,18.0,33.0,16.0,12.0,13.0,24.0,19.0,36.0,22.0,20.0,11.0,35.0,21.0,15.0,25.0,32.0,28.0,51.0,48.0,23.0
2865,6.0,2.0,3.0,0.0,4.0,5.0,1.0,8.0,7.0,11.0,9.0,40.0,17.0,18.0,12.0,31.0,15.0,19.0,34.0,14.0,13.0,48.0,24.0,33.0,25.0,22.0,28.0,29.0,32.0,27.0
2914,8.0,0.0,13.0,6.0,2.0,4.0,3.0,5.0,1.0,7.0,9.0,26.0,28.0,11.0,12.0,14.0,17.0,19.0,23.0,33.0,18.0,44.0,16.0,20.0,32.0,34.0,25.0,29.0,37.0,43.0
2963,4.0,1.0,5.0,3.0,8.0,2.0,12.0,11.0,7.0,17.0,10.0,14.0,0.0,9.0,30.0,19.0,15.0,6.0,24.0,32.0,34.0,27.0,23.0,28.0,16.0,13.0,25.0,22.0,38.0,36.0
3012,0.0,1.0,21.0,3.0,5.0,2.0,11.0,10.0,15.0,13.0,6.0,8.0,9.0,4.0,18.0,7.0,12.0,25.0,17.0,20.0,42.0,26.0,19.0,32.0,23.0,34.0,39.0,14.0,28.0,33.0
3061,2.0,1.0,10.0,6.0,0.0,3.0,7.0,15.0,29.0,4.0,16.0,11.0,20.0,22.0,18.0,9.0,14.0,13.0,8.0,31.0,30.0,28.0,27.0,5.0,19.0,33.0,43.0,12.0,44.0,21.0
3110,0.0,3.0,8.0,6.0,2.0,1.0,7.0,11.0,13.0,12.0,15.0,4.0,10.0,9.0,17.0,32.0,5.0,14.0,23.0,26.0,28.0,20.0,21.0,30.0,18.0,22.0,43.0,31.0,35.0,19.0
3159,1.0,0.0,7.0,9.0,3.0,2.0,6.0,21.0,10.0,15.0,16.0,13.0,24.0,8.0,34.0,14.0,5.0,12.0,19.0,33.0,38.0,32.0,17.0,22.0,11.0,25.0,27.0,23.0,29.0,30.0
3208,1.0,0.0,4.0,6.0,3.0,2.0,18.0,12.0,9.0,26.0,8.0,7.0,5.0,11.0,22.0,16.0,17.0,13.0,40.0,27.0,34.0,30.0,10.0,20.0,19.0,36.0,41.0,23.0,14.0,28.0
3257,2.0,1.0,6.0,3.0,4.0,0.0,5.0,19.0,11.0,21.0,8.0,7.0,18.0,9.0,50.0,13.0,25.0,26.0,20.0,22.0,15.0,24.0,10.0,16.0,27.0,39.0,41.0,36.0,12.0,23.0
3306,1.0,0.0,19.0,4.0,2.0,3.0,6.0,16.0,30.0,12.0,9.0,11.0,18.0,8.0,24.0,5.0,7.0,13.0,22.0,14.0,28.0,21.0,10.0,35.0,15.0,26.0,34.0,17.0,23.0,25.0
3355,1.0,2.0,5.0,3.0,4.0,0.0,7.0,6.0,27.0,12.0,14.0,19.0,10.0,16.0,24.0,11.0,8.0,17.0,25.0,26.0,40.0,31.0,18.0,9.0,15.0,23.0,42.0,21.0,13.0,41.0
3404,1.0,0.0,10.0,3.0,6.0,2.0,13.0,4.0,18.0,11.0,12.0,14.0,7.0,19.0,27.0,5.0,9.0,8.0,15.0,20.0,35.0,32.0,39.0,23.0,17.0,26.0,30.0,24.0,21.0,38.0
3453,8.0,3.0,1.0,4.0,0.0,5.0,12.0,2.0,10.0,11.0,7.0,19.0,9.0,14.0,13.0,15.0,18.0,17.0,34.0,36.0,6.0,24.0,23.0,38.0,43.0,40.0,30.0,16.0,29.0,22.0
3502,0.0,3.0,1.0,2.0,5.0,12.0,9.0,6.0,11.0,7.0,8.0,16.0,10.0,17.0,15.0,4.0,19.0,14.0,33.0,21.0,24.0,25.0,18.0,20.0,26.0,28.0,32.0,13.0,22.0,23.0
3551,0.0,5.0,6.0,1.0,3.0,7.0,10.0,4.0,11.0,2.0,9.0,20.0,16.0,13.0,17.0,8.0,19.0,25.0,24.0,30.0,15.0,36.0,32.0,12.0,44.0,21.0,18.0,14.0,22.0,26.0
3600,0.0,2.0,4.0,10.0,1.0,3.0,12.0,7.0,6.0,11.0,18.0,13.0,5.0,8.0,14.0,15.0,25.0,29.0,31.0,17.0,9.0,21.0,43.0,42.0,28.0,19.0,32.0,24.0,38.0,20.0
3649,3.0,0.0,4.0,12.0,1.0,14.0,6.0,8.0,10.0,2.0,13.0,19.0,28.0,5.0,15.0,9.0,17.0,16.0,32.0,11.0,7.0,27.0,18.0,23.0,40.0,42.0,29.0,22.0,21.0,26.0
3698,2.0,5.0,6.0,4.0,1.0,8.0,9.0,7.0,14.0,0.0,15.0,11.0,13.0,19.0,10.0,3.0,26.0,21.0,20.0,33.0,18.0,17.0,16.0,31.0,35.0,24.0,32.0,23.0,25.0,12.0
3747,1.0,5.0,14.0,4.0,0.0,6.0,9.0,3.0,11.0,2.0,7.0,12.0,10.0,21.0,16.0,13.0,15.0,25.0,51.0,32.0,8.0,20.0,19.0,31.0,24.0,38.0,22.0,26.0,18.0,23.0
3796,1.0,2.0,5.0,6.0,0.0,4.0,10.0,7.0,8.0,3.0,13.0,9.0,21.0,16.0,14.0,11.0,20.0,23.0,38.0,28.0,17.0,12.0,15.0,36.0,26.0,40.0,25.0,19.0,24.0,18.0
3845,4.0,2.0,0.0,5.0,7.0,8.0,3.0,6.0,11.0,10.0,13.0,12.0,23.0,18.0,24.0,1.0,33.0,20.0,31.0,19.0,9.0,26.0,17.0,28.0,35.0,39.0,29.0,21.0,15.0,14.0
3894,4.0,12.0,5.0,7.0,3.0,9.0,16.0,2.0,0.0,1.0,13.0,18.0,20.0,11.0,8.0,6.0,25.0,15.0,23.0,19.0,21.0,14.0,17.0,27.0,32.0,39.0,22.0,10.0,34.0,30.0
3943,5.0,0.0,4.0,1.0,3.0,2.0,17.0,8.0,25.0,7.0,6.0,9.0,13.0,10.0,18.0,16.0,11.0,14.0,26.0,23.0,35.0,20.0,15.0,32.0,27.0,22.0,24.0,41.0,29.0,38.0
3992,4.0,2.0,1.0,5.0,0.0,3.0,14.0,8.0,13.0,6.0,7.0,10.0,20.0,11.0,19.0,36.0,30.0,40.0,17.0,24.0,26.0,12.0,9.0,15.0,34.0,31.0,28.0,21.0,44.0,45.0
4041,0.0,4.0,3.0,6.0,2.0,1.0,9.0,5.0,17.0,10.0,12.0,7.0,19.0,21.0,16.0,13.0,32.0,46.0,25.0,11.0,24.0,14.0,8.0,35.0,23.0,36.0,26.0,28.0,37.0,22.0
4090,4.0,7.0,1.0,2.0,0.0,3.0,6.0,8.0,18.0,12.0,14.0,5.0,10.0,15.0,35.0,26.0,20.0,37.0,33.0,23.0,30.0,9.0,13.0,11.0,28.0,38.0,21.0,32.0,19.0,41.0
4139,1.0,6.0,11.0,2.0,15.0,0.0,10.0,5.0,20.0,4.0,13.0,7.0,3.0,31.0,14.0,37.0,28.0,29.0,16.0,23.0,18.0,12.0,8.0,9.0,21.0,17.0,26.0,34.0,44.0,30.0
4188,3.0,1.0,0.0,5.0,7.0,4.0,11.0,6.0,22.0,16.0,2.0,9.0,10.0,29.0,8.0,17.0,24.0,33.0,28.0,12.0,47.0,14.0,34.0,41.0,19.0,13.0,27.0,21.0,30.0,40.0
4237,6.0,5.0,0.0,8.0,3.0,1.0,7.0,12.0,13.0,2.0,14.0,11.0,15.0,19.0,24.0,22.0,21.0,25.0,20.0,16.0,36.0,18.0,23.0,33.0,9.0,10.0,32.0,4.0,27.0,46.0
4286,1.0,0.0,2.0,4.0,3.0,10.0,9.0,7.0,18.0,6.0,19.0,15.0,8.0,24.0,31.0,13.0,25.0,20.0,17.0,40.0,29.0,14.0,27.0,37.0,28.0,23.0,12.0,11.0,30.0,57.0
4335,7.0,4.0,5.0,6.0,1.0,3.0,10.0,0.0,22.0,2.0,15.0,9.0,8.0,34.0,11.0,24.0,14.0,21.0,23.0,16.0,29.0,13.0,18.0,19.0,25.0,33.0,26.0,12.0,32.0,43.0
4384,0.0,8.0,2.0,10.0,6.0,1.0,14.0,3.0,18.0,7.0,11.0,9.0,13.0,34.0,26.0,4.0,19.0,29.0,28.0,16.0,30.0,5.0,32.0,12.0,22.0,20.0,25.0,42.0,23.0,50.0
4433,0.0,1.0,4.0,2.0,5.0,7.0,6.0,9.0,10.0,20.0,11.0,8.0,22.0,15.0,21.0,25.0,29.0,24.0,17.0,3.0,27.0,16.0,36.0,35.0,14.0,26.0,12.0,23.0,39.0,46.0
4482,2.0,0.0,1.0,4.0,3.0,10.0,13.0,17.0,19.0,12.0,6.0,5.0,14.0,38.0,18.0,23.0,20.0,16.0,15.0,7.0,22.0,41.0,35.0,26.0,9.0,11.0,8.0,24.0,40.0,32.0
4531,1.0,0.0,3.0,11.0,2.0,22.0,4.0,7.0,23.0,10.0,14.0,6.0,17.0,15.0,13.0,20.0,19.0,34.0,9.0,5.0,31.0,26.0,21.0,40.0,16.0,12.0,8.0,18.0,38.0,39.0
4580,16.0,1.0,0.0,3.0,10.0,9.0,5.0,2.0,14.0,7.0,8.0,11.0,13.0,18.0,12.0,27.0,24.0,29.0,6.0,4.0,25.0,33.0,22.0,19.0,26.0,31.0,20.0,21.0,38.0,47.0
4629,3.0,1.0,2.0,9.0,6.0,8.0,7.0,5.0,4.0,11.0,0.0,10.0,15.0,13.0,29.0,20.0,18.0,30.0,42.0,12.0,14.0,43.0,23.0,52.0,22.0,24.0,17.0,21.0,58.0,38.0
4678,1.0,0.0,3.0,2.0,5.0,8.0,10.0,4.0,13.0,21.0,9.0,7.0,15.0,17.0,19.0,20.0,16.0,31.0,18.0,11.0,14.0,26.0,27.0,34.0,44.0,12.0,6.0,24.0,38.0,25.0
4727,2.0,1.0,0.0,8.0,25.0,12.0,4.0,6.0,5.0,9.0,11.0,7.0,14.0,15.0,13.0,17.0,22.0,31.0,16.0,3.0,20.0,28.0,27.0,21.0,18.0,19.0,10.0,24.0,47.0,45.0
4776,2.0,0.0,6.0,11.0,1.0,7.0,4.0,8.0,17.0,12.0,14.0,3.0,21.0,16.0,25.0,23.0,40.0,20.0,10.0,13.0,5.0,30.0,32.0,22.0,9.0,19.0,15.0,27.0,33.0,38.0
4825,2.0,0.0,3.0,4.0,6.0,5.0,17.0,1.0,7.0,19.0,18.0,12.0,8.0,21.0,30.0,20.0,24.0,23.0,9.0,11.0,15.0,10.0,32.0,36.0,22.0,39.0,16.0,44.0,41.0,13.0
4874,8.0,1.0,0.0,3.0,5.0,6.0,13.0,4.0,7.0,2.0,9.0,11.0,27.0,23.0,12.0,29.0,40.0,33.0,14.0,10.0,30.0,22.0,19.0,43.0,24.0,15.0,16.0,25.0,45.0,35.0
