,IFI27,PRICKLE1,SULF2,PREX2,PLAGL1,GSTT1,CALB1,RP11-98I9.4,KCNK1,PTPN13,PRTFDC1,IQCA1,ZNF69,SYTL1,KRT6A,KCTD14,AC016683.6,MBOAT1,RP11-390F4.3,LAMB3,FRYL,MFAP5,EMID1,S100A2,RP11-73M18.7,RP11-259P15.1,ZNF334,RP11-477N3.1,DZIP1,FAM83A
2558,0.0,5.0,14.0,3.0,1.0,13.0,20.0,12.0,2.0,16.0,26.0,15.0,37.0,6.0,116.0,32.0,29.0,7.0,10.0,55.0,9.0,11.0,90.0,49.0,40.0,86.0,84.0,21.0,18.0,79.0
2607,1.0,4.0,7.0,2.0,0.0,26.0,8.0,21.0,14.0,3.0,33.0,12.0,27.0,15.0,100.0,34.0,44.0,17.0,30.0,58.0,6.0,349.0,11.0,50.0,9.0,135.0,20.0,157.0,59.0,24.0
2656,0.0,4.0,7.0,2.0,1.0,59.0,8.0,6.0,3.0,5.0,153.0,53.0,21.0,22.0,45.0,108.0,19.0,29.0,146.0,43.0,11.0,25.0,17.0,14.0,109.0,171.0,68.0,58.0,16.0,350.0
2705,0.0,17.0,1.0,3.0,2.0,7.0,4.0,107.0,6.0,11.0,151.0,19.0,18.0,5.0,26.0,25.0,23.0,12.0,8.0,13.0,10.0,24.0,29.0,16.0,34.0,44.0,14.0,512.0,27.0,80.0
2754,0.0,4.0,5.0,11.0,3.0,10.0,9.0,53.0,2.0,6.0,173.0,92.0,7.0,1.0,21.0,27.0,85.0,8.0,93.0,22.0,13.0,72.0,12.0,18.0,102.0,82.0,162.0,40.0,42.0,109.0
2803,2.0,10.0,8.0,11.0,0.0,3.0,12.0,14.0,1.0,4.0,7.0,5.0,20.0,6.0,49.0,29.0,38.0,16.0,22.0,41.0,9.0,321.0,57.0,13.0,18.0,184.0,52.0,47.0,36.0,124.0
2852,1.0,20.0,5.0,13.0,0.0,2.0,6.0,12.0,8.0,4.0,86.0,62.0,32.0,9.0,14.0,117.0,3.0,11.0,61.0,24.0,7.0,25.0,16.0,56.0,30.0,112.0,149.0,248.0,10.0,143.0
2901,1.0,9.0,3.0,6.0,0.0,8.0,10.0,102.0,4.0,21.0,26.0,22.0,85.0,7.0,50.0,15.0,2.0,24.0,28.0,104.0,5.0,33.0,16.0,54.0,18.0,120.0,162.0,29.0,13.0,172.0
2950,1.0,0.0,2.0,16.0,26.0,7.0,36.0,53.0,6.0,94.0,38.0,31.0,51.0,69.0,18.0,8.0,88.0,29.0,37.0,154.0,202.0,17.0,12.0,22.0,75.0,137.0,395.0,34.0,30.0,28.0
2999,0.0,5.0,1.0,14.0,24.0,2.0,47.0,42.0,16.0,64.0,272.0,22.0,131.0,128.0,50.0,3.0,4.0,65.0,18.0,216.0,71.0,21.0,28.0,27.0,797.0,12.0,38.0,46.0,8.0,49.0
3048,0.0,3.0,18.0,8.0,31.0,40.0,9.0,7.0,2.0,13.0,56.0,12.0,91.0,44.0,11.0,5.0,22.0,14.0,38.0,58.0,50.0,46.0,147.0,23.0,1041.0,55.0,83.0,15.0,19.0,35.0
3097,0.0,7.0,29.0,15.0,10.0,55.0,20.0,18.0,35.0,128.0,772.0,6.0,139.0,31.0,46.0,9.0,16.0,22.0,27.0,48.0,12.0,24.0,5.0,45.0,216.0,52.0,32.0,36.0,58.0,3.0
3146,0.0,6.0,4.0,52.0,1.0,16.0,5.0,83.0,2.0,7.0,202.0,146.0,41.0,44.0,9.0,32.0,63.0,3.0,14.0,21.0,36.0,35.0,23.0,74.0,90.0,62.0,45.0,42.0,8.0,131.0
