,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
717,0.0,14.0,15.0,199.0,21.0,58.0,3.0,16.0,2.0,4.0,31.0,517.0,9.0,25.0,27.0,26.0,7.0,144.0,145.0,5.0,38.0,42.0,17.0,20.0,1.0,100.0,41.0,8.0,53.0,19.0
766,1.0,7.0,45.0,57.0,160.0,212.0,6.0,8.0,0.0,11.0,154.0,10.0,5.0,4.0,64.0,63.0,28.0,3.0,2.0,22.0,35.0,51.0,24.0,26.0,31.0,89.0,21.0,30.0,27.0,70.0
815,1.0,19.0,30.0,66.0,9.0,77.0,16.0,39.0,8.0,3.0,11.0,68.0,15.0,2.0,26.0,25.0,5.0,35.0,36.0,45.0,23.0,32.0,275.0,37.0,6.0,674.0,110.0,24.0,129.0,42.0
864,0.0,5.0,1.0,200.0,30.0,164.0,8.0,79.0,3.0,81.0,62.0,307.0,20.0,32.0,116.0,117.0,9.0,11.0,10.0,17.0,7.0,6.0,4.0,34.0,83.0,84.0,156.0,153.0,206.0,49.0
913,0.0,21.0,74.0,77.0,14.0,83.0,7.0,12.0,15.0,11.0,25.0,205.0,13.0,28.0,9.0,10.0,5.0,73.0,72.0,50.0,22.0,71.0,16.0,35.0,2.0,29.0,26.0,17.0,27.0,4.0
962,0.0,14.0,24.0,358.0,6.0,478.0,17.0,33.0,5.0,9.0,7.0,23.0,12.0,13.0,16.0,15.0,11.0,40.0,39.0,28.0,21.0,27.0,62.0,51.0,18.0,87.0,93.0,36.0,130.0,22.0
1011,3.0,6.0,0.0,9.0,10.0,2.0,20.0,45.0,99.0,15.0,8.0,11.0,40.0,13.0,17.0,18.0,7.0,4.0,5.0,16.0,39.0,27.0,14.0,33.0,22.0,44.0,57.0,164.0,64.0,36.0
1060,0.0,19.0,6.0,11.0,4.0,2.0,23.0,69.0,7220.0,15.0,1.0,3.0,35.0,61.0,8.0,7.0,13.0,10.0,9.0,131.0,32.0,62.0,58.0,42.0,5.0,18.0,109.0,64.0,110.0,22.0
1109,4.0,9.0,20.0,3.0,5.0,1.0,21.0,13.0,1011.0,0.0,2.0,55.0,18.0,332.0,11.0,12.0,68.0,15.0,14.0,31.0,168.0,109.0,26.0,53.0,33.0,25.0,19.0,38.0,24.0,56.0
1158,154.0,8.0,7.0,1.0,26.0,11.0,2.0,17.0,108.0,14.0,15.0,0.0,36.0,162.0,4.0,3.0,43.0,6.0,5.0,12.0,381.0,49.0,40.0,48.0,18.0,13.0,22.0,95.0,25.0,51.0
