,putrescine,inositol,beta-alanine,DHAP/glyceraldehyde 3P,butyrylcarnitine/isobutyrylcarnitine,creatine,GABA,niacinamide,adenosine,pyroglutamic acid,glutamine,C56:5 TAG,C36:4 PC-B,C34:2 DAG,C20:4 CE,valerylcarnitine,C18:0 LPC,isocitrate,C22:6 LPC,hypoxanthine,serine,serotonin,C18:0 LPE,dCMP,NADP,5-HIAA,alpha-hydroxybutyrate,2-deoxyadenosine,C34:4 PC,palmitoylcarnitine
708,11.0,1.0,2.0,0.0,4.0,19.0,21.0,7.0,16.0,17.0,13.0,3.0,10.0,20.0,9.0,8.0,12.0,26.0,14.0,35.0,6.0,22.0,36.0,39.0,5.0,29.0,25.0,23.0,15.0,31.0
757,2.0,1.0,0.0,4.0,7.0,8.0,12.0,3.0,5.0,11.0,10.0,16.0,18.0,6.0,9.0,15.0,21.0,27.0,44.0,34.0,13.0,25.0,19.0,49.0,20.0,38.0,29.0,23.0,28.0,22.0
806,3.0,4.0,7.0,2.0,1.0,12.0,5.0,6.0,0.0,8.0,19.0,10.0,17.0,9.0,11.0,31.0,45.0,20.0,18.0,26.0,16.0,22.0,25.0,29.0,13.0,33.0,23.0,28.0,36.0,30.0
855,1.0,0.0,3.0,2.0,7.0,6.0,23.0,4.0,10.0,12.0,17.0,5.0,26.0,13.0,9.0,20.0,28.0,11.0,32.0,36.0,8.0,18.0,14.0,44.0,15.0,22.0,30.0,33.0,37.0,21.0
904,12.0,1.0,0.0,3.0,2.0,9.0,4.0,6.0,8.0,5.0,22.0,18.0,26.0,11.0,15.0,17.0,19.0,24.0,20.0,33.0,13.0,21.0,44.0,32.0,23.0,10.0,7.0,25.0,28.0,31.0
953,7.0,0.0,3.0,1.0,9.0,24.0,11.0,6.0,4.0,13.0,26.0,10.0,14.0,23.0,5.0,2.0,16.0,25.0,8.0,21.0,19.0,41.0,30.0,12.0,28.0,34.0,33.0,17.0,15.0,53.0
1002,0.0,1.0,4.0,2.0,21.0,6.0,15.0,16.0,3.0,27.0,40.0,11.0,24.0,25.0,20.0,26.0,36.0,30.0,14.0,10.0,46.0,31.0,13.0,58.0,32.0,5.0,37.0,49.0,8.0,9.0
1051,0.0,6.0,5.0,4.0,2.0,11.0,7.0,18.0,10.0,3.0,19.0,1.0,27.0,8.0,12.0,17.0,25.0,23.0,43.0,26.0,22.0,16.0,20.0,24.0,9.0,29.0,36.0,39.0,40.0,30.0
1100,10.0,4.0,2.0,0.0,18.0,7.0,1.0,8.0,5.0,12.0,6.0,11.0,26.0,15.0,9.0,20.0,46.0,23.0,35.0,13.0,48.0,40.0,41.0,14.0,22.0,27.0,32.0,36.0,17.0,30.0
1149,0.0,8.0,6.0,1.0,23.0,7.0,5.0,15.0,3.0,13.0,25.0,2.0,20.0,12.0,28.0,19.0,27.0,34.0,31.0,16.0,24.0,37.0,36.0,30.0,29.0,17.0,18.0,46.0,39.0,26.0
1198,5.0,0.0,1.0,4.0,10.0,7.0,8.0,11.0,12.0,15.0,14.0,16.0,23.0,2.0,9.0,21.0,41.0,22.0,57.0,33.0,18.0,19.0,26.0,30.0,31.0,20.0,39.0,24.0,35.0,13.0
1247,0.0,7.0,12.0,5.0,1.0,8.0,2.0,11.0,4.0,24.0,20.0,15.0,16.0,3.0,10.0,13.0,25.0,22.0,37.0,14.0,36.0,30.0,17.0,23.0,18.0,19.0,46.0,45.0,43.0,38.0
1296,5.0,1.0,15.0,0.0,45.0,3.0,6.0,14.0,13.0,9.0,4.0,2.0,48.0,8.0,12.0,10.0,24.0,37.0,19.0,23.0,43.0,18.0,34.0,25.0,32.0,16.0,20.0,27.0,42.0,28.0
1345,2.0,10.0,3.0,0.0,1.0,7.0,14.0,4.0,28.0,22.0,16.0,5.0,13.0,17.0,6.0,12.0,32.0,11.0,31.0,20.0,46.0,15.0,21.0,57.0,27.0,9.0,26.0,29.0,24.0,30.0
1394,2.0,0.0,6.0,4.0,23.0,8.0,7.0,9.0,3.0,11.0,14.0,5.0,15.0,1.0,17.0,12.0,16.0,19.0,41.0,18.0,30.0,28.0,36.0,48.0,35.0,37.0,40.0,46.0,26.0,24.0
1443,1.0,3.0,0.0,2.0,7.0,37.0,6.0,13.0,21.0,17.0,15.0,10.0,11.0,23.0,20.0,5.0,32.0,53.0,26.0,18.0,33.0,22.0,31.0,14.0,9.0,25.0,19.0,52.0,51.0,12.0
1492,1.0,0.0,4.0,8.0,6.0,3.0,21.0,12.0,36.0,10.0,15.0,39.0,2.0,5.0,18.0,26.0,20.0,37.0,16.0,17.0,34.0,27.0,11.0,7.0,44.0,45.0,30.0,9.0,43.0,13.0
1541,2.0,5.0,3.0,9.0,0.0,1.0,8.0,7.0,31.0,14.0,24.0,27.0,4.0,6.0,20.0,11.0,12.0,29.0,22.0,19.0,32.0,13.0,17.0,10.0,46.0,25.0,49.0,21.0,41.0,15.0
1590,0.0,1.0,2.0,5.0,12.0,3.0,19.0,11.0,22.0,10.0,35.0,28.0,4.0,9.0,18.0,20.0,8.0,15.0,27.0,14.0,21.0,32.0,40.0,7.0,57.0,39.0,29.0,26.0,45.0,6.0
1639,1.0,0.0,6.0,2.0,5.0,4.0,24.0,3.0,28.0,25.0,22.0,39.0,13.0,32.0,20.0,9.0,10.0,18.0,11.0,33.0,31.0,23.0,29.0,14.0,54.0,8.0,16.0,12.0,45.0,7.0
1688,1.0,4.0,3.0,0.0,7.0,2.0,5.0,8.0,13.0,11.0,9.0,31.0,6.0,14.0,37.0,16.0,17.0,18.0,34.0,10.0,36.0,29.0,24.0,21.0,46.0,30.0,28.0,22.0,23.0,19.0
1737,1.0,0.0,3.0,6.0,2.0,4.0,12.0,8.0,20.0,11.0,10.0,19.0,9.0,13.0,31.0,28.0,18.0,41.0,17.0,26.0,23.0,32.0,51.0,16.0,43.0,35.0,15.0,24.0,36.0,14.0
1786,0.0,1.0,4.0,5.0,6.0,2.0,22.0,9.0,33.0,11.0,13.0,41.0,7.0,8.0,27.0,25.0,10.0,34.0,19.0,15.0,39.0,35.0,18.0,3.0,46.0,38.0,30.0,16.0,24.0,20.0
1835,4.0,3.0,0.0,1.0,2.0,11.0,13.0,9.0,48.0,16.0,19.0,24.0,5.0,10.0,15.0,22.0,17.0,51.0,39.0,6.0,41.0,47.0,31.0,21.0,52.0,32.0,29.0,18.0,46.0,12.0
1884,0.0,5.0,2.0,9.0,3.0,10.0,21.0,11.0,15.0,12.0,18.0,46.0,1.0,6.0,8.0,7.0,4.0,31.0,24.0,17.0,29.0,19.0,23.0,13.0,38.0,27.0,44.0,20.0,34.0,14.0
1933,0.0,1.0,3.0,11.0,5.0,4.0,8.0,6.0,19.0,20.0,28.0,35.0,10.0,21.0,29.0,7.0,9.0,44.0,13.0,17.0,22.0,24.0,32.0,14.0,39.0,33.0,38.0,31.0,47.0,16.0
1982,3.0,0.0,6.0,1.0,5.0,14.0,2.0,4.0,17.0,13.0,25.0,12.0,23.0,28.0,10.0,21.0,8.0,20.0,30.0,16.0,22.0,26.0,7.0,24.0,47.0,9.0,53.0,27.0,41.0,34.0
2031,5.0,0.0,1.0,11.0,9.0,7.0,6.0,13.0,8.0,12.0,27.0,14.0,22.0,19.0,18.0,32.0,20.0,21.0,17.0,15.0,28.0,24.0,2.0,3.0,40.0,4.0,52.0,16.0,10.0,25.0
2080,9.0,1.0,2.0,0.0,19.0,17.0,8.0,6.0,4.0,5.0,16.0,13.0,21.0,3.0,26.0,15.0,22.0,14.0,41.0,28.0,20.0,7.0,29.0,11.0,39.0,27.0,40.0,10.0,18.0,37.0
2129,5.0,0.0,3.0,2.0,10.0,1.0,7.0,9.0,15.0,16.0,4.0,11.0,23.0,17.0,18.0,27.0,39.0,22.0,48.0,14.0,38.0,8.0,12.0,6.0,47.0,31.0,30.0,13.0,20.0,28.0
2178,17.0,1.0,0.0,14.0,5.0,4.0,3.0,10.0,27.0,18.0,11.0,26.0,16.0,2.0,9.0,23.0,7.0,30.0,42.0,33.0,20.0,24.0,8.0,13.0,32.0,12.0,46.0,6.0,15.0,35.0
2227,3.0,0.0,1.0,12.0,2.0,11.0,6.0,7.0,8.0,13.0,17.0,9.0,21.0,14.0,25.0,22.0,24.0,19.0,26.0,28.0,32.0,31.0,5.0,4.0,36.0,39.0,48.0,18.0,10.0,41.0
2276,4.0,0.0,2.0,10.0,8.0,1.0,17.0,9.0,13.0,20.0,11.0,5.0,21.0,23.0,24.0,42.0,19.0,14.0,22.0,29.0,28.0,25.0,3.0,7.0,44.0,16.0,38.0,6.0,18.0,27.0
2325,19.0,0.0,5.0,4.0,11.0,1.0,2.0,6.0,15.0,20.0,16.0,9.0,44.0,30.0,18.0,23.0,27.0,14.0,22.0,17.0,37.0,26.0,21.0,3.0,33.0,8.0,31.0,12.0,7.0,29.0
2374,0.0,1.0,19.0,5.0,9.0,8.0,3.0,7.0,12.0,17.0,4.0,16.0,15.0,28.0,25.0,24.0,23.0,46.0,44.0,11.0,14.0,22.0,30.0,2.0,48.0,21.0,40.0,18.0,10.0,38.0
2423,4.0,1.0,8.0,5.0,0.0,3.0,13.0,11.0,34.0,28.0,9.0,26.0,30.0,6.0,18.0,22.0,15.0,14.0,37.0,24.0,20.0,16.0,21.0,12.0,57.0,10.0,31.0,2.0,19.0,36.0
2472,8.0,1.0,0.0,2.0,11.0,5.0,18.0,12.0,10.0,7.0,9.0,27.0,3.0,14.0,4.0,21.0,13.0,6.0,15.0,23.0,46.0,22.0,26.0,16.0,19.0,31.0,38.0,17.0,36.0,34.0
2521,23.0,5.0,1.0,0.0,9.0,2.0,3.0,14.0,12.0,6.0,8.0,30.0,19.0,13.0,18.0,38.0,4.0,25.0,33.0,15.0,47.0,35.0,26.0,29.0,10.0,60.0,7.0,32.0,22.0,21.0
2570,32.0,3.0,0.0,2.0,10.0,4.0,8.0,9.0,11.0,6.0,1.0,7.0,15.0,16.0,12.0,30.0,26.0,20.0,50.0,18.0,36.0,23.0,22.0,33.0,19.0,25.0,21.0,29.0,35.0,28.0
2619,9.0,1.0,4.0,0.0,14.0,2.0,30.0,19.0,3.0,5.0,11.0,8.0,6.0,7.0,12.0,39.0,13.0,23.0,22.0,40.0,34.0,17.0,31.0,33.0,10.0,41.0,29.0,18.0,48.0,25.0
2668,7.0,0.0,1.0,11.0,20.0,3.0,25.0,2.0,30.0,6.0,13.0,14.0,5.0,16.0,18.0,17.0,10.0,8.0,29.0,19.0,34.0,12.0,9.0,28.0,22.0,43.0,24.0,32.0,38.0,15.0
2717,4.0,3.0,10.0,0.0,9.0,5.0,8.0,13.0,15.0,2.0,7.0,21.0,1.0,6.0,12.0,18.0,17.0,11.0,16.0,22.0,40.0,28.0,20.0,36.0,25.0,24.0,31.0,19.0,32.0,26.0
2766,15.0,5.0,0.0,6.0,10.0,1.0,21.0,3.0,24.0,4.0,7.0,26.0,2.0,28.0,12.0,14.0,18.0,13.0,27.0,34.0,42.0,19.0,11.0,30.0,8.0,32.0,23.0,17.0,46.0,29.0
2815,3.0,2.0,1.0,0.0,13.0,5.0,23.0,9.0,15.0,11.0,6.0,10.0,7.0,35.0,8.0,16.0,4.0,18.0,36.0,38.0,33.0,25.0,21.0,37.0,31.0,34.0,22.0,20.0,19.0,14.0
2864,4.0,0.0,7.0,8.0,14.0,1.0,9.0,5.0,3.0,11.0,6.0,17.0,2.0,10.0,15.0,39.0,21.0,31.0,20.0,43.0,29.0,27.0,23.0,28.0,12.0,36.0,13.0,22.0,35.0,18.0
2913,17.0,0.0,6.0,11.0,16.0,19.0,28.0,13.0,30.0,2.0,3.0,27.0,1.0,9.0,14.0,20.0,10.0,23.0,4.0,35.0,32.0,21.0,22.0,40.0,8.0,12.0,7.0,18.0,50.0,36.0
2962,3.0,1.0,0.0,4.0,11.0,15.0,18.0,8.0,6.0,7.0,14.0,21.0,20.0,10.0,5.0,13.0,33.0,19.0,16.0,17.0,24.0,9.0,25.0,38.0,12.0,28.0,2.0,42.0,22.0,23.0
3011,1.0,2.0,0.0,19.0,7.0,5.0,10.0,3.0,18.0,9.0,24.0,28.0,6.0,8.0,4.0,14.0,20.0,11.0,12.0,36.0,25.0,22.0,27.0,42.0,31.0,16.0,15.0,41.0,13.0,17.0
3060,0.0,2.0,1.0,9.0,20.0,4.0,29.0,11.0,16.0,5.0,7.0,35.0,6.0,3.0,8.0,19.0,24.0,41.0,18.0,21.0,39.0,17.0,23.0,14.0,10.0,12.0,13.0,34.0,38.0,25.0
3109,2.0,0.0,5.0,4.0,27.0,9.0,29.0,1.0,12.0,13.0,3.0,16.0,25.0,22.0,7.0,17.0,15.0,41.0,19.0,53.0,6.0,14.0,26.0,8.0,10.0,21.0,11.0,20.0,35.0,28.0
3158,3.0,0.0,2.0,6.0,31.0,11.0,9.0,5.0,1.0,14.0,19.0,22.0,13.0,12.0,4.0,30.0,21.0,8.0,16.0,45.0,7.0,18.0,33.0,17.0,10.0,24.0,20.0,39.0,15.0,29.0
3207,4.0,1.0,0.0,5.0,19.0,10.0,2.0,3.0,9.0,6.0,20.0,28.0,18.0,11.0,7.0,12.0,22.0,25.0,17.0,35.0,13.0,23.0,51.0,16.0,26.0,14.0,8.0,21.0,27.0,47.0
3256,7.0,0.0,1.0,8.0,16.0,3.0,2.0,10.0,6.0,14.0,4.0,24.0,20.0,12.0,9.0,5.0,21.0,23.0,35.0,37.0,19.0,11.0,29.0,25.0,17.0,32.0,13.0,34.0,26.0,30.0
3305,1.0,0.0,3.0,20.0,28.0,7.0,19.0,6.0,18.0,22.0,15.0,38.0,10.0,8.0,4.0,5.0,12.0,26.0,14.0,52.0,27.0,9.0,29.0,30.0,21.0,24.0,2.0,32.0,44.0,16.0
3354,1.0,2.0,0.0,10.0,11.0,5.0,16.0,6.0,4.0,13.0,12.0,15.0,14.0,21.0,3.0,8.0,32.0,22.0,19.0,31.0,28.0,9.0,24.0,26.0,7.0,17.0,18.0,33.0,23.0,30.0
3403,2.0,1.0,4.0,17.0,0.0,5.0,7.0,22.0,13.0,12.0,9.0,3.0,21.0,24.0,18.0,27.0,38.0,20.0,11.0,19.0,37.0,23.0,31.0,10.0,15.0,14.0,8.0,41.0,29.0,26.0
3452,2.0,16.0,3.0,1.0,0.0,8.0,7.0,26.0,10.0,12.0,4.0,6.0,30.0,24.0,31.0,5.0,15.0,23.0,45.0,9.0,21.0,11.0,20.0,17.0,19.0,42.0,32.0,48.0,14.0,35.0
3501,0.0,23.0,5.0,13.0,10.0,1.0,3.0,25.0,2.0,7.0,11.0,31.0,20.0,8.0,47.0,4.0,22.0,21.0,45.0,12.0,18.0,29.0,14.0,6.0,15.0,48.0,30.0,26.0,41.0,36.0
3550,3.0,0.0,10.0,8.0,1.0,4.0,5.0,13.0,2.0,7.0,11.0,9.0,24.0,15.0,36.0,17.0,21.0,20.0,34.0,25.0,18.0,27.0,28.0,31.0,6.0,47.0,22.0,41.0,19.0,23.0
3599,0.0,11.0,1.0,2.0,3.0,4.0,9.0,13.0,6.0,8.0,15.0,17.0,5.0,12.0,29.0,16.0,7.0,26.0,43.0,23.0,28.0,49.0,19.0,14.0,24.0,45.0,27.0,31.0,39.0,38.0
3648,0.0,3.0,7.0,2.0,15.0,13.0,11.0,19.0,4.0,9.0,25.0,10.0,26.0,16.0,30.0,6.0,20.0,22.0,8.0,24.0,27.0,12.0,1.0,36.0,5.0,46.0,29.0,23.0,17.0,42.0
3697,1.0,6.0,8.0,0.0,3.0,4.0,14.0,10.0,5.0,13.0,11.0,18.0,17.0,16.0,21.0,12.0,20.0,9.0,32.0,23.0,33.0,28.0,19.0,15.0,2.0,47.0,24.0,35.0,27.0,30.0
3746,4.0,5.0,2.0,1.0,0.0,19.0,8.0,32.0,13.0,3.0,10.0,12.0,11.0,16.0,35.0,7.0,6.0,20.0,50.0,9.0,26.0,29.0,17.0,36.0,15.0,44.0,41.0,34.0,14.0,27.0
3795,2.0,3.0,5.0,4.0,0.0,6.0,14.0,10.0,1.0,7.0,15.0,16.0,12.0,8.0,34.0,19.0,9.0,26.0,31.0,20.0,18.0,25.0,13.0,45.0,11.0,51.0,24.0,36.0,40.0,49.0
3844,0.0,4.0,3.0,1.0,2.0,12.0,6.0,27.0,15.0,11.0,18.0,10.0,26.0,34.0,39.0,8.0,5.0,7.0,19.0,23.0,21.0,36.0,16.0,28.0,13.0,20.0,48.0,42.0,9.0,31.0
3893,0.0,16.0,1.0,2.0,4.0,3.0,6.0,21.0,9.0,28.0,8.0,20.0,35.0,10.0,27.0,37.0,19.0,13.0,38.0,7.0,42.0,12.0,14.0,11.0,22.0,57.0,26.0,46.0,25.0,34.0
3942,0.0,3.0,4.0,1.0,5.0,18.0,46.0,6.0,12.0,22.0,9.0,23.0,10.0,32.0,45.0,20.0,30.0,7.0,13.0,47.0,11.0,17.0,2.0,39.0,26.0,8.0,14.0,38.0,16.0,55.0
3991,1.0,2.0,5.0,0.0,14.0,10.0,26.0,6.0,12.0,25.0,3.0,11.0,4.0,36.0,49.0,39.0,21.0,8.0,17.0,37.0,13.0,20.0,15.0,24.0,35.0,7.0,9.0,19.0,31.0,33.0
4040,0.0,1.0,12.0,2.0,6.0,17.0,51.0,9.0,4.0,8.0,3.0,15.0,11.0,29.0,27.0,46.0,25.0,41.0,28.0,30.0,5.0,24.0,13.0,31.0,37.0,22.0,7.0,19.0,38.0,43.0
4089,0.0,1.0,3.0,2.0,10.0,20.0,8.0,21.0,12.0,4.0,5.0,18.0,23.0,44.0,33.0,26.0,36.0,13.0,47.0,32.0,25.0,11.0,24.0,16.0,29.0,14.0,9.0,51.0,19.0,37.0
4138,4.0,0.0,12.0,2.0,27.0,3.0,26.0,7.0,17.0,6.0,1.0,35.0,23.0,19.0,47.0,33.0,21.0,20.0,31.0,30.0,14.0,11.0,8.0,28.0,44.0,25.0,5.0,15.0,18.0,55.0
4187,0.0,1.0,7.0,5.0,4.0,6.0,21.0,18.0,2.0,16.0,3.0,25.0,27.0,9.0,43.0,52.0,20.0,41.0,23.0,36.0,8.0,11.0,24.0,57.0,15.0,40.0,14.0,45.0,19.0,13.0
4236,0.0,3.0,32.0,1.0,25.0,6.0,16.0,15.0,4.0,12.0,2.0,18.0,29.0,30.0,28.0,33.0,24.0,31.0,11.0,26.0,5.0,10.0,22.0,49.0,20.0,19.0,21.0,27.0,13.0,39.0
4285,0.0,1.0,9.0,2.0,26.0,23.0,42.0,3.0,15.0,14.0,5.0,16.0,13.0,29.0,39.0,37.0,28.0,11.0,21.0,30.0,10.0,6.0,12.0,52.0,19.0,17.0,8.0,25.0,31.0,24.0
4334,1.0,2.0,9.0,0.0,27.0,14.0,21.0,3.0,6.0,32.0,4.0,10.0,12.0,33.0,26.0,40.0,45.0,11.0,13.0,30.0,17.0,19.0,5.0,37.0,28.0,8.0,15.0,22.0,18.0,43.0
4383,0.0,1.0,8.0,3.0,40.0,27.0,9.0,2.0,4.0,13.0,5.0,10.0,18.0,36.0,54.0,42.0,21.0,14.0,26.0,15.0,11.0,12.0,16.0,24.0,50.0,30.0,7.0,23.0,34.0,52.0
4432,0.0,2.0,3.0,1.0,9.0,16.0,25.0,12.0,5.0,8.0,13.0,10.0,27.0,6.0,20.0,7.0,30.0,4.0,15.0,11.0,14.0,18.0,38.0,17.0,54.0,19.0,46.0,23.0,21.0,29.0
4481,1.0,2.0,22.0,6.0,5.0,21.0,0.0,14.0,10.0,4.0,18.0,3.0,24.0,23.0,7.0,39.0,36.0,16.0,26.0,13.0,37.0,32.0,27.0,8.0,19.0,33.0,45.0,25.0,11.0,31.0
4530,2.0,0.0,12.0,6.0,5.0,4.0,7.0,20.0,10.0,1.0,13.0,3.0,9.0,16.0,14.0,15.0,27.0,8.0,19.0,11.0,35.0,18.0,23.0,26.0,46.0,29.0,48.0,28.0,24.0,25.0
4579,0.0,2.0,4.0,1.0,3.0,16.0,6.0,19.0,9.0,14.0,15.0,5.0,13.0,10.0,28.0,8.0,29.0,12.0,7.0,11.0,22.0,26.0,24.0,50.0,20.0,55.0,23.0,33.0,54.0,18.0
4628,0.0,1.0,6.0,3.0,14.0,7.0,4.0,18.0,19.0,10.0,33.0,2.0,11.0,26.0,9.0,15.0,16.0,5.0,8.0,13.0,41.0,30.0,36.0,35.0,46.0,17.0,53.0,23.0,20.0,12.0
4677,1.0,4.0,3.0,2.0,12.0,19.0,10.0,0.0,17.0,9.0,14.0,6.0,11.0,8.0,22.0,15.0,29.0,13.0,23.0,7.0,35.0,21.0,26.0,30.0,58.0,28.0,31.0,25.0,18.0,24.0
4726,0.0,1.0,17.0,13.0,10.0,7.0,4.0,8.0,14.0,22.0,25.0,12.0,27.0,16.0,32.0,9.0,29.0,2.0,5.0,19.0,20.0,35.0,21.0,3.0,53.0,30.0,48.0,18.0,11.0,24.0
4775,2.0,4.0,5.0,1.0,9.0,10.0,3.0,6.0,25.0,7.0,24.0,23.0,8.0,0.0,22.0,14.0,43.0,21.0,16.0,26.0,12.0,33.0,19.0,30.0,36.0,28.0,41.0,32.0,45.0,13.0
4824,6.0,16.0,1.0,8.0,2.0,18.0,0.0,12.0,5.0,4.0,27.0,3.0,10.0,24.0,15.0,14.0,37.0,13.0,9.0,26.0,21.0,31.0,30.0,29.0,39.0,11.0,33.0,36.0,20.0,28.0
4873,0.0,7.0,4.0,10.0,13.0,18.0,2.0,11.0,12.0,3.0,31.0,1.0,6.0,16.0,32.0,27.0,37.0,5.0,29.0,15.0,33.0,35.0,9.0,23.0,36.0,19.0,43.0,21.0,22.0,17.0
