,hsa-miR-548d-3p,hsa-miR-892a,hsa-miR-508-3p,hsa-miR-574-5p,hsa-miR-921,hsa-miR-223,hsa-miR-590-5p,hsa-miR-1245,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-222,hsa-miR-186,hsa-miR-548c-5p,hsa-miR-27b,hsa-miR-765,hsa-miR-31,hsa-miR-597,hsa-miR-135b,hsa-miR-323-5p,hsa-miR-711,hsa-miR-33b,hsa-miR-645,hsa-miR-296-5p,hsa-miR-658,hsa-miR-155,hsa-miR-508-5p,hsa-miR-556-3p,hsa-miR-320c,hsa-miR-596,hsa-miR-1233
2319,0.0,1.0,2.0,11.0,9.0,4.0,7.0,20.0,40.0,14.0,13.0,6.0,8.0,12.0,46.0,5.0,22.0,49.0,29.0,24.0,69.0,52.0,17.0,21.0,28.0,25.0,3.0,32.0,65.0,66.0
2368,0.0,1.0,4.0,11.0,14.0,8.0,7.0,22.0,12.0,3.0,39.0,15.0,10.0,9.0,16.0,13.0,52.0,44.0,17.0,6.0,41.0,5.0,29.0,32.0,21.0,18.0,2.0,33.0,50.0,322.0
2417,0.0,2.0,4.0,19.0,11.0,6.0,28.0,48.0,7.0,16.0,31.0,3.0,12.0,5.0,22.0,9.0,27.0,59.0,18.0,37.0,41.0,8.0,34.0,21.0,57.0,20.0,1.0,40.0,64.0,286.0
2466,0.0,4.0,2.0,8.0,1.0,13.0,10.0,20.0,11.0,9.0,7.0,5.0,35.0,3.0,125.0,37.0,18.0,6.0,42.0,89.0,23.0,14.0,27.0,17.0,62.0,44.0,30.0,47.0,114.0,36.0
2515,0.0,6.0,2.0,18.0,1.0,3.0,7.0,12.0,9.0,5.0,10.0,8.0,15.0,13.0,41.0,38.0,19.0,64.0,21.0,63.0,11.0,26.0,16.0,25.0,52.0,71.0,4.0,56.0,17.0,14.0
2564,1.0,3.0,2.0,6.0,0.0,96.0,8.0,19.0,22.0,7.0,24.0,4.0,10.0,14.0,16.0,15.0,11.0,45.0,58.0,93.0,25.0,55.0,9.0,34.0,108.0,44.0,17.0,32.0,47.0,28.0
2613,0.0,4.0,1.0,9.0,2.0,8.0,5.0,31.0,19.0,7.0,17.0,6.0,3.0,15.0,37.0,122.0,102.0,101.0,60.0,42.0,22.0,27.0,36.0,12.0,215.0,11.0,10.0,51.0,82.0,24.0
2662,0.0,11.0,3.0,6.0,1.0,4.0,18.0,10.0,24.0,5.0,26.0,13.0,16.0,9.0,29.0,53.0,33.0,21.0,39.0,50.0,22.0,19.0,131.0,7.0,60.0,17.0,2.0,27.0,58.0,49.0
2711,0.0,11.0,1.0,10.0,2.0,9.0,74.0,4.0,46.0,12.0,49.0,8.0,6.0,3.0,33.0,47.0,7.0,35.0,38.0,85.0,28.0,18.0,5.0,17.0,13.0,34.0,19.0,25.0,76.0,40.0
2760,1.0,3.0,2.0,8.0,0.0,17.0,7.0,5.0,4.0,11.0,68.0,13.0,9.0,6.0,12.0,30.0,10.0,107.0,27.0,51.0,14.0,26.0,55.0,15.0,40.0,28.0,52.0,41.0,84.0,22.0
2809,0.0,7.0,2.0,18.0,1.0,3.0,6.0,9.0,22.0,10.0,11.0,12.0,4.0,24.0,105.0,61.0,34.0,31.0,15.0,121.0,17.0,16.0,26.0,32.0,81.0,13.0,5.0,51.0,19.0,20.0
2858,0.0,10.0,3.0,19.0,1.0,9.0,4.0,7.0,18.0,24.0,23.0,12.0,5.0,2.0,53.0,79.0,33.0,11.0,35.0,141.0,17.0,6.0,8.0,21.0,81.0,16.0,13.0,38.0,15.0,26.0
2907,0.0,9.0,8.0,12.0,1.0,4.0,28.0,7.0,6.0,3.0,36.0,13.0,20.0,5.0,93.0,113.0,17.0,10.0,14.0,44.0,16.0,2.0,56.0,23.0,252.0,15.0,11.0,21.0,40.0,70.0
2956,9.0,3.0,11.0,1.0,7.0,14.0,13.0,123.0,4.0,2.0,8.0,5.0,105.0,16.0,6.0,42.0,60.0,12.0,87.0,41.0,21.0,32.0,20.0,15.0,44.0,66.0,204.0,49.0,39.0,36.0
3005,1.0,5.0,6.0,0.0,40.0,2.0,4.0,12.0,3.0,7.0,8.0,21.0,20.0,59.0,9.0,28.0,10.0,19.0,25.0,16.0,54.0,24.0,11.0,22.0,42.0,56.0,46.0,43.0,79.0,76.0
3054,0.0,9.0,5.0,1.0,25.0,4.0,3.0,10.0,8.0,2.0,17.0,16.0,6.0,11.0,7.0,88.0,31.0,45.0,18.0,60.0,24.0,20.0,23.0,37.0,32.0,61.0,163.0,40.0,21.0,151.0
3103,1.0,13.0,4.0,0.0,44.0,3.0,2.0,14.0,10.0,6.0,9.0,7.0,121.0,50.0,8.0,204.0,22.0,47.0,5.0,28.0,101.0,12.0,32.0,36.0,21.0,25.0,69.0,78.0,136.0,104.0
3152,1.0,2.0,4.0,0.0,47.0,7.0,3.0,52.0,6.0,10.0,8.0,16.0,9.0,21.0,15.0,13.0,22.0,26.0,11.0,73.0,65.0,27.0,107.0,19.0,53.0,58.0,60.0,17.0,36.0,31.0
3201,9.0,1.0,7.0,0.0,28.0,3.0,2.0,61.0,6.0,8.0,5.0,12.0,27.0,21.0,4.0,34.0,13.0,51.0,10.0,36.0,53.0,15.0,74.0,46.0,71.0,40.0,115.0,39.0,25.0,73.0
3250,0.0,1.0,3.0,5.0,34.0,7.0,47.0,56.0,183.0,4.0,6.0,9.0,16.0,39.0,29.0,98.0,14.0,27.0,2.0,81.0,30.0,20.0,12.0,50.0,25.0,26.0,18.0,61.0,74.0,10.0
3299,0.0,2.0,12.0,5.0,1.0,6.0,21.0,34.0,10.0,11.0,17.0,19.0,30.0,40.0,4.0,20.0,26.0,24.0,7.0,3.0,41.0,28.0,178.0,101.0,14.0,25.0,77.0,56.0,97.0,50.0
3348,1.0,2.0,10.0,0.0,17.0,11.0,4.0,26.0,14.0,3.0,16.0,19.0,102.0,24.0,20.0,38.0,21.0,30.0,6.0,29.0,39.0,55.0,58.0,27.0,8.0,33.0,149.0,82.0,35.0,22.0
3397,5.0,0.0,6.0,2.0,76.0,10.0,7.0,16.0,8.0,9.0,3.0,42.0,19.0,27.0,12.0,37.0,29.0,26.0,24.0,11.0,104.0,4.0,20.0,43.0,18.0,14.0,39.0,33.0,40.0,46.0
3446,0.0,4.0,1.0,13.0,3.0,7.0,6.0,8.0,5.0,17.0,2.0,12.0,57.0,23.0,46.0,204.0,58.0,36.0,21.0,32.0,28.0,10.0,11.0,22.0,85.0,15.0,25.0,34.0,70.0,30.0
3495,0.0,13.0,2.0,9.0,1.0,8.0,10.0,4.0,3.0,7.0,12.0,37.0,53.0,21.0,5.0,41.0,36.0,24.0,11.0,103.0,16.0,20.0,83.0,35.0,39.0,25.0,29.0,50.0,66.0,56.0
3544,1.0,3.0,2.0,0.0,5.0,10.0,38.0,8.0,6.0,13.0,4.0,25.0,66.0,22.0,11.0,30.0,96.0,73.0,33.0,16.0,9.0,113.0,61.0,31.0,15.0,23.0,14.0,154.0,119.0,19.0
3593,8.0,0.0,7.0,4.0,1.0,6.0,10.0,2.0,3.0,13.0,11.0,53.0,44.0,15.0,5.0,86.0,27.0,72.0,21.0,16.0,41.0,12.0,54.0,69.0,34.0,19.0,18.0,38.0,102.0,29.0
3642,0.0,4.0,2.0,1.0,3.0,7.0,14.0,6.0,13.0,24.0,10.0,19.0,8.0,73.0,5.0,33.0,53.0,92.0,30.0,28.0,15.0,23.0,64.0,46.0,57.0,18.0,40.0,42.0,142.0,86.0
3691,3.0,14.0,0.0,2.0,16.0,4.0,7.0,8.0,5.0,10.0,1.0,13.0,180.0,68.0,15.0,29.0,78.0,39.0,72.0,24.0,27.0,22.0,169.0,35.0,65.0,12.0,47.0,49.0,85.0,80.0
3740,1.0,3.0,0.0,6.0,9.0,5.0,24.0,7.0,4.0,20.0,2.0,42.0,67.0,26.0,15.0,61.0,50.0,16.0,41.0,13.0,10.0,73.0,8.0,80.0,12.0,39.0,36.0,40.0,155.0,110.0
3789,7.0,1.0,0.0,2.0,6.0,4.0,13.0,10.0,3.0,17.0,12.0,39.0,62.0,138.0,8.0,42.0,24.0,65.0,18.0,11.0,16.0,61.0,5.0,31.0,9.0,52.0,95.0,32.0,58.0,15.0
3838,2.0,5.0,4.0,1.0,0.0,6.0,27.0,8.0,10.0,23.0,3.0,16.0,22.0,15.0,12.0,215.0,24.0,9.0,75.0,28.0,11.0,35.0,122.0,31.0,61.0,32.0,17.0,30.0,65.0,7.0
3887,1.0,0.0,4.0,6.0,3.0,7.0,9.0,16.0,5.0,11.0,2.0,65.0,54.0,239.0,22.0,32.0,36.0,80.0,146.0,14.0,12.0,38.0,31.0,47.0,15.0,27.0,13.0,90.0,49.0,70.0
3936,7.0,1.0,4.0,8.0,0.0,19.0,10.0,3.0,12.0,23.0,2.0,15.0,38.0,13.0,42.0,28.0,11.0,6.0,16.0,30.0,75.0,27.0,17.0,90.0,47.0,39.0,359.0,36.0,5.0,29.0
3985,1.0,3.0,4.0,11.0,0.0,5.0,15.0,7.0,2.0,19.0,14.0,51.0,17.0,20.0,9.0,35.0,6.0,69.0,10.0,18.0,30.0,25.0,108.0,38.0,36.0,80.0,115.0,29.0,8.0,13.0
4034,4.0,1.0,2.0,5.0,8.0,0.0,9.0,3.0,12.0,51.0,11.0,30.0,24.0,81.0,26.0,16.0,13.0,20.0,18.0,136.0,31.0,15.0,6.0,96.0,33.0,58.0,115.0,39.0,14.0,29.0
4083,1.0,7.0,0.0,17.0,4.0,9.0,20.0,11.0,23.0,14.0,6.0,28.0,27.0,29.0,32.0,10.0,8.0,3.0,5.0,65.0,22.0,21.0,2.0,85.0,15.0,91.0,128.0,30.0,13.0,19.0
4132,3.0,1.0,2.0,9.0,0.0,11.0,10.0,4.0,6.0,26.0,5.0,25.0,16.0,12.0,34.0,23.0,13.0,15.0,29.0,14.0,42.0,30.0,17.0,45.0,33.0,73.0,78.0,27.0,21.0,8.0
4181,3.0,1.0,8.0,55.0,0.0,12.0,13.0,10.0,9.0,30.0,16.0,34.0,4.0,2.0,11.0,5.0,39.0,6.0,15.0,20.0,28.0,7.0,19.0,90.0,76.0,119.0,68.0,27.0,14.0,21.0
4230,2.0,5.0,8.0,24.0,0.0,3.0,10.0,4.0,23.0,22.0,17.0,21.0,13.0,16.0,19.0,7.0,6.0,9.0,1.0,30.0,43.0,11.0,29.0,63.0,20.0,103.0,67.0,34.0,28.0,64.0
4279,0.0,3.0,4.0,20.0,2.0,5.0,13.0,9.0,39.0,19.0,10.0,24.0,6.0,11.0,17.0,23.0,12.0,8.0,7.0,21.0,62.0,1.0,16.0,99.0,69.0,58.0,30.0,31.0,45.0,34.0
4328,1.0,3.0,0.0,26.0,6.0,2.0,8.0,12.0,15.0,10.0,5.0,30.0,22.0,14.0,20.0,4.0,37.0,17.0,16.0,24.0,42.0,54.0,27.0,21.0,114.0,29.0,155.0,35.0,19.0,41.0
4377,1.0,4.0,2.0,22.0,0.0,10.0,53.0,6.0,8.0,16.0,9.0,5.0,11.0,41.0,14.0,12.0,13.0,20.0,3.0,142.0,17.0,21.0,42.0,51.0,18.0,67.0,124.0,85.0,7.0,25.0
4426,22.0,2.0,6.0,1.0,4.0,8.0,11.0,3.0,26.0,7.0,94.0,24.0,5.0,0.0,16.0,31.0,28.0,38.0,54.0,13.0,30.0,71.0,86.0,9.0,45.0,37.0,21.0,41.0,15.0,25.0
4475,4.0,1.0,8.0,11.0,17.0,7.0,10.0,5.0,73.0,3.0,69.0,35.0,9.0,0.0,14.0,18.0,30.0,20.0,23.0,16.0,12.0,214.0,41.0,15.0,21.0,94.0,2.0,40.0,27.0,55.0
4524,14.0,5.0,0.0,1.0,7.0,3.0,10.0,4.0,16.0,9.0,13.0,12.0,25.0,34.0,15.0,30.0,41.0,31.0,49.0,11.0,17.0,47.0,24.0,19.0,42.0,133.0,6.0,28.0,32.0,51.0
4573,13.0,2.0,5.0,0.0,16.0,3.0,76.0,1.0,55.0,6.0,30.0,11.0,12.0,7.0,8.0,17.0,65.0,40.0,29.0,14.0,9.0,140.0,26.0,23.0,27.0,105.0,10.0,51.0,48.0,31.0
4622,14.0,4.0,1.0,2.0,8.0,0.0,16.0,37.0,68.0,9.0,7.0,17.0,12.0,3.0,11.0,5.0,123.0,21.0,65.0,22.0,38.0,106.0,112.0,6.0,96.0,20.0,57.0,19.0,43.0,51.0
4671,17.0,1.0,5.0,2.0,11.0,0.0,15.0,4.0,78.0,10.0,32.0,16.0,25.0,18.0,26.0,63.0,53.0,23.0,39.0,9.0,20.0,123.0,30.0,13.0,57.0,74.0,3.0,28.0,12.0,22.0
4720,0.0,14.0,6.0,7.0,4.0,1.0,5.0,13.0,65.0,2.0,30.0,16.0,9.0,23.0,17.0,18.0,38.0,29.0,28.0,36.0,19.0,99.0,150.0,8.0,114.0,49.0,3.0,33.0,10.0,75.0
4769,8.0,1.0,5.0,3.0,13.0,10.0,20.0,11.0,15.0,7.0,14.0,31.0,4.0,6.0,2.0,71.0,192.0,12.0,23.0,29.0,16.0,51.0,78.0,21.0,83.0,45.0,0.0,54.0,18.0,33.0
4818,15.0,0.0,4.0,3.0,10.0,9.0,18.0,8.0,58.0,7.0,16.0,19.0,5.0,1.0,2.0,20.0,27.0,17.0,31.0,14.0,12.0,262.0,143.0,29.0,51.0,86.0,11.0,57.0,22.0,43.0
4867,22.0,4.0,2.0,3.0,18.0,1.0,14.0,9.0,26.0,5.0,24.0,7.0,8.0,0.0,17.0,41.0,28.0,20.0,36.0,11.0,19.0,181.0,53.0,15.0,32.0,35.0,13.0,27.0,25.0,55.0
