, IL-1, JAK-STAT, Wnt, H2O2, MAPK_PI3K, PI3K_only, MAPK_only, TLR, TGFB, TNFa, VEGF
2344,2.0,8.0,0.0,1.0,4.0,6.0,3.0,5.0,9.0,10.0,7.0
2393,0.0,2.0,4.0,1.0,5.0,7.0,3.0,10.0,8.0,9.0,6.0
2442,0.0,3.0,10.0,9.0,6.0,4.0,5.0,1.0,7.0,8.0,2.0
2491,0.0,8.0,4.0,1.0,5.0,6.0,9.0,2.0,7.0,3.0,10.0
2540,5.0,1.0,3.0,0.0,6.0,7.0,2.0,4.0,8.0,9.0,10.0
2589,1.0,4.0,0.0,3.0,9.0,5.0,7.0,8.0,6.0,2.0,10.0
2638,2.0,9.0,4.0,0.0,3.0,6.0,5.0,10.0,1.0,7.0,8.0
2687,0.0,1.0,3.0,5.0,10.0,6.0,9.0,7.0,8.0,4.0,2.0
2736,4.0,5.0,7.0,3.0,1.0,0.0,9.0,2.0,8.0,6.0,10.0
2785,0.0,3.0,5.0,2.0,9.0,4.0,1.0,6.0,7.0,8.0,10.0
2834,5.0,1.0,9.0,0.0,2.0,3.0,7.0,10.0,4.0,8.0,6.0
2883,0.0,5.0,1.0,2.0,3.0,4.0,9.0,6.0,8.0,7.0,10.0
2932,0.0,4.0,8.0,3.0,5.0,2.0,6.0,1.0,9.0,7.0,10.0
2981,0.0,1.0,8.0,4.0,5.0,6.0,9.0,2.0,3.0,7.0,10.0
3030,0.0,1.0,9.0,10.0,2.0,8.0,7.0,4.0,3.0,5.0,6.0
3079,4.0,5.0,2.0,6.0,1.0,0.0,7.0,3.0,8.0,9.0,10.0
3128,5.0,6.0,4.0,0.0,3.0,7.0,2.0,1.0,8.0,10.0,9.0
3177,10.0,4.0,3.0,9.0,5.0,1.0,8.0,6.0,2.0,0.0,7.0
3226,2.0,4.0,1.0,0.0,6.0,8.0,5.0,7.0,9.0,3.0,10.0
3275,4.0,0.0,6.0,7.0,10.0,2.0,8.0,9.0,3.0,1.0,5.0
3324,0.0,5.0,1.0,10.0,4.0,6.0,3.0,8.0,7.0,9.0,2.0
3373,0.0,5.0,4.0,10.0,1.0,2.0,9.0,6.0,8.0,7.0,3.0
3422,0.0,1.0,5.0,7.0,8.0,2.0,4.0,9.0,10.0,6.0,3.0
3471,0.0,2.0,9.0,6.0,5.0,1.0,3.0,7.0,8.0,4.0,10.0
3520,7.0,3.0,8.0,2.0,5.0,10.0,4.0,1.0,0.0,6.0,9.0
3569,7.0,2.0,9.0,6.0,8.0,3.0,0.0,1.0,4.0,5.0,10.0
3618,9.0,2.0,4.0,0.0,10.0,6.0,3.0,5.0,1.0,7.0,8.0
