,ABCA12,ENPP1,DSG2,RP11-902B17.1,TSTD1,ELF3,NRSN2,IL18,PRSS16,DAPP1,GALNT3,TUBA1A,STXBP2,PCDHGC3,EVPL,DDR2,ALS2CL,COPS8,DLG4,PCDH9,SPARC,IL1RN,SLFN13,RP11-44F14.2,TNFAIP8,AC002128.5,ARMCX1,MCOLN1,CNRIP1,ANO9
501,2.0,23230.0,0.0,1.0,15.0,8.0,9.0,6.0,19.0,7.0,3.0,4.0,5.0,20.0,41.0,10.0,32.0,78.0,30.0,11.0,14.0,38.0,26.0,44.0,24.0,95.0,8944.0,66.0,17108.0,19762.0
550,2.0,69.0,0.0,4.0,5.0,6.0,8.0,1.0,10.0,15.0,7.0,49.0,9.0,12.0,3.0,14.0,30.0,25.0,9936.0,37.0,16.0,24.0,47.0,13.0,35.0,53.0,362.0,43.0,78.0,70.0
599,0.0,10.0,5.0,2.0,7.0,12.0,9.0,4.0,8.0,11.0,3.0,6.0,63.0,13.0,1.0,32.0,53.0,86.0,27.0,22.0,31.0,18.0,75.0,26.0,51.0,67.0,42.0,56.0,84.0,19746.0
648,1.0,604.0,9.0,2.0,3.0,0.0,13.0,5.0,4.0,12.0,6.0,8.0,19.0,18.0,23.0,46.0,29.0,51.0,10.0,6705.0,43.0,21.0,15.0,14.0,20.0,48.0,1374.0,59.0,54.0,25.0
697,1.0,5.0,4.0,0.0,12.0,2.0,10.0,6.0,7.0,8.0,18.0,21.0,11.0,17.0,3.0,39.0,26.0,207.0,15.0,417.0,20.0,22.0,24.0,23.0,32.0,36.0,31.0,29.0,2126.0,9.0
746,0.0,27.0,4.0,1.0,10.0,8.0,9.0,5.0,39.0,14.0,3.0,6.0,766.0,19.0,53.0,7.0,63.0,13.0,2.0,1553.0,61.0,81.0,144.0,21.0,42.0,35.0,16.0,47.0,72.0,46.0
795,0.0,117.0,7.0,3.0,11.0,5.0,10.0,2.0,12.0,15.0,4.0,1.0,27.0,33.0,6.0,9.0,16.0,19.0,13.0,29.0,18.0,17.0,44.0,22.0,30.0,69.0,46.0,62.0,1861.0,47.0
844,2.0,23235.0,0.0,6.0,8.0,5.0,11.0,1.0,18.0,12.0,4.0,3.0,9.0,17.0,19.0,7.0,28.0,13649.0,37.0,6964.0,29.0,23.0,14.0,24.0,53.0,68.0,593.0,11107.0,63.0,88.0
893,0.0,11.0,1.0,3.0,5.0,2.0,6.0,10.0,13.0,19.0,4.0,12.0,22.0,23.0,150.0,31.0,37.0,21.0,15.0,6962.0,8.0,26.0,17.0,25.0,45.0,20.0,9.0,115.0,58.0,76.0
942,7.0,16.0,4.0,0.0,2.0,15.0,12.0,6.0,3.0,5.0,1.0,8.0,40.0,20.0,663.0,45.0,19.0,18.0,10.0,105.0,37.0,22.0,116.0,28.0,42.0,81.0,26.0,65.0,106.0,34.0
991,1.0,0.0,11.0,5.0,2.0,10.0,4.0,24.0,12.0,14.0,13216.0,8.0,37.0,13.0,3.0,43.0,51.0,73.0,10913.0,6307.0,16.0,144.0,55.0,61.0,28.0,85.0,34.0,36.0,72.0,19791.0
1040,1.0,4.0,6.0,60.0,0.0,15.0,3.0,31.0,10.0,17.0,41.0,68.0,34.0,29.0,22.0,25.0,18.0,13.0,8.0,5980.0,32.0,91.0,2.0,509.0,21.0,49.0,54.0,152.0,11.0,137.0
1089,2.0,0.0,1.0,11.0,7.0,8.0,4.0,14.0,79.0,18.0,46.0,6.0,3.0,16.0,39.0,9.0,22.0,10.0,289.0,6219.0,35.0,29.0,60.0,86.0,13.0,24.0,8916.0,32.0,699.0,133.0
1138,8.0,3.0,6.0,1.0,0.0,36.0,5.0,20.0,21185.0,22.0,13240.0,5175.0,23.0,2.0,340.0,7.0,31.0,17.0,10905.0,127.0,27.0,115.0,15.0,172.0,37.0,79.0,73.0,57.0,72.0,19779.0
1187,4.0,10.0,21.0,7.0,1.0,33.0,2.0,5.0,73.0,3.0,2614.0,13.0,17.0,12.0,11.0,8.0,26.0,9.0,296.0,6545.0,14.0,6.0,0.0,57.0,16.0,36.0,41.0,24.0,39.0,133.0
1236,4.0,1.0,5.0,9.0,3.0,34.0,6.0,14.0,17.0,21.0,13145.0,58.0,2.0,16.0,29.0,33.0,32.0,13.0,40.0,6251.0,15.0,7.0,0.0,83.0,11.0,56.0,243.0,37.0,20.0,42.0
1285,1.0,2.0,4.0,6.0,0.0,23.0,5.0,11.0,123.0,10.0,25.0,8.0,9.0,18.0,68.0,13.0,47.0,20.0,7.0,6749.0,27.0,82.0,80.0,114.0,17.0,75.0,8941.0,53.0,22.0,1338.0
1334,2.0,3.0,7.0,4.0,0.0,5.0,1.0,26.0,11.0,17.0,8.0,42.0,13.0,14.0,204.0,20.0,37.0,106.0,58.0,3800.0,25.0,22.0,9.0,75.0,63.0,54.0,60.0,18.0,144.0,111.0
1383,0.0,2.0,13.0,11.0,1.0,12.0,5.0,41.0,8.0,22.0,7.0,3.0,9.0,15.0,18.0,40.0,20.0,10.0,80.0,6292.0,16.0,1028.0,36.0,37.0,6.0,39.0,4.0,24.0,17102.0,44.0
1432,0.0,25.0,2.0,10.0,1.0,3.0,9.0,5.0,12.0,24.0,77.0,11.0,4.0,26.0,14.0,8.0,17.0,18.0,21.0,6166.0,23.0,19.0,38.0,52.0,49.0,36.0,419.0,44.0,17130.0,6.0
1481,2.0,18.0,1.0,6.0,0.0,5.0,3.0,10.0,11.0,9.0,4.0,13.0,16.0,45.0,7.0,17448.0,28.0,24.0,141.0,26.0,49.0,100.0,70.0,22.0,43.0,29.0,54.0,51.0,81.0,62.0
1530,0.0,1.0,8.0,2.0,14.0,34.0,3.0,4.0,82.0,9.0,5.0,11.0,11119.0,65.0,151.0,51.0,40.0,16.0,18.0,6838.0,45.0,67.0,10.0,30.0,22000.0,42.0,12.0,33.0,26.0,81.0
1579,0.0,15.0,8.0,3.0,7.0,5.0,4.0,2.0,6.0,13.0,1.0,9.0,184.0,42.0,86.0,1215.0,12.0,13596.0,39.0,6792.0,11.0,30.0,18.0,23.0,52.0,29.0,8925.0,36.0,63.0,41.0
1628,0.0,8.0,3.0,7.0,4.0,2.0,1.0,10.0,13.0,9.0,15.0,11.0,11144.0,34.0,27.0,5.0,23.0,83.0,10438.0,6328.0,17.0,24.0,12.0,37.0,38.0,36.0,8979.0,174.0,105.0,87.0
1677,0.0,1.0,20.0,4.0,12.0,8.0,5.0,2.0,18.0,9.0,3.0,6.0,19.0,76.0,10.0,17440.0,46.0,37.0,64.0,6229.0,63.0,31.0,16.0,35.0,34.0,39.0,8900.0,65.0,17136.0,13.0
1726,0.0,541.0,9.0,5.0,3.0,1.0,7.0,31.0,13.0,14.0,2.0,8.0,15.0,21712.0,39.0,1747.0,42.0,59.0,12.0,79.0,44.0,70.0,74.0,29.0,41.0,49.0,8933.0,47.0,46.0,23.0
1775,0.0,11.0,8.0,7.0,4.0,3.0,10.0,9.0,5.0,15.0,6.0,12.0,49.0,27.0,24.0,1.0,32.0,19.0,71.0,1486.0,67.0,113.0,22.0,29.0,47.0,38.0,21.0,11121.0,74.0,86.0
1824,1.0,3.0,14.0,4.0,16.0,24.0,2.0,11.0,6.0,12.0,475.0,8.0,20.0,37.0,0.0,17439.0,7.0,35.0,10885.0,6296.0,18.0,167.0,23.0,49.0,26.0,32.0,8961.0,36.0,76.0,5.0
1873,0.0,1.0,6.0,9.0,11.0,2.0,21.0,7.0,5.0,8.0,23.0,13.0,11179.0,44.0,3.0,14.0,30.0,442.0,35.0,6267.0,48.0,146.0,17.0,31.0,21885.0,24.0,50.0,46.0,17150.0,77.0
1922,0.0,2.0,3.0,8.0,21.0,1.0,5.0,4.0,13.0,12.0,9.0,10.0,20.0,50.0,25.0,19.0,23.0,17.0,74.0,361.0,64.0,93.0,15.0,30.0,14.0,31.0,207.0,61.0,17089.0,60.0
1971,0.0,4.0,1.0,2.0,3.0,5.0,12.0,7.0,55.0,16.0,10.0,6.0,17.0,24.0,28.0,44.0,33.0,14.0,9.0,21.0,11.0,27.0,13.0,37.0,41.0,56.0,95.0,52.0,15.0,32.0
2020,4.0,2.0,0.0,11.0,1.0,7.0,6.0,8.0,15.0,14.0,18.0,3.0,5.0,9.0,10.0,2106.0,25.0,37.0,21.0,12.0,19.0,47.0,39.0,46.0,27.0,17.0,53.0,41.0,48.0,69.0
