,DDB2,EDA2R,EMB,NDN,ZMAT3,PHLDA3,LINC01021,FDXR,SNX18P16,DGKA,TLE4,PTPN13,CFH,TRIM22,BHLHE41,FOXJ1,CITED4,FAM101A,PRKX,CD70,B4GALT6,FRYL,BAX,ERAP1,EVC2,CMTM7,MDM2,DOCK5,FAS,PCDHB17
2509,0.0,1.0,15.0,21.0,2.0,7.0,8.0,4.0,10.0,12.0,14.0,40.0,48.0,70.0,9.0,62.0,43.0,6.0,13.0,17.0,11.0,50.0,39.0,56.0,142.0,164.0,18.0,36.0,16.0,111.0
2558,0.0,2.0,4.0,64.0,3.0,1.0,13.0,11.0,6.0,9.0,8.0,15.0,16.0,50.0,21.0,20.0,27.0,126.0,53.0,228.0,7.0,203.0,23.0,36.0,102.0,17.0,94.0,316.0,136.0,19.0
2607,0.0,7.0,4.0,79.0,8.0,9.0,2.0,18.0,10.0,14.0,22.0,12.0,3.0,39.0,1.0,26.0,42.0,11.0,6.0,32.0,21.0,155.0,36.0,27.0,35.0,161.0,52.0,77.0,289.0,43.0
2656,2.0,0.0,5.0,1.0,4.0,8.0,10.0,27.0,6.0,3.0,7.0,16.0,13.0,22.0,20.0,148.0,14.0,55.0,19.0,57.0,45.0,87.0,30.0,28.0,133.0,90.0,73.0,46.0,50.0,24.0
2705,0.0,2.0,1.0,66.0,5.0,7.0,39.0,12.0,3.0,13.0,19.0,9.0,27.0,6.0,22.0,18.0,15.0,14.0,17.0,364.0,20.0,266.0,50.0,26.0,78.0,79.0,68.0,24.0,72.0,11.0
2754,0.0,3.0,4.0,15.0,2.0,5.0,1.0,43.0,7.0,10.0,37.0,12.0,14.0,6.0,8.0,48.0,11.0,69.0,16.0,51.0,19.0,87.0,47.0,25.0,54.0,68.0,42.0,66.0,84.0,17.0
2803,1.0,4.0,0.0,2.0,10.0,3.0,6.0,29.0,49.0,7.0,229.0,55.0,17.0,81.0,87.0,23.0,80.0,8.0,14.0,54.0,26.0,22.0,16.0,33.0,478.0,179.0,37.0,15.0,195.0,9.0
2852,0.0,2.0,1.0,4.0,7.0,6.0,12.0,43.0,5.0,10.0,51.0,11.0,45.0,13.0,26.0,62.0,3.0,67.0,9.0,158.0,8.0,151.0,37.0,44.0,602.0,88.0,20.0,66.0,119.0,18.0
2901,1.0,4.0,10.0,3.0,2.0,5.0,0.0,36.0,7.0,6.0,219.0,9.0,15.0,13.0,11.0,35.0,28.0,37.0,23.0,280.0,12.0,55.0,52.0,39.0,24.0,16.0,26.0,206.0,131.0,44.0
2950,1.0,2.0,21.0,6.0,3.0,4.0,8.0,13.0,40.0,20.0,11.0,0.0,7.0,5.0,9.0,48.0,19.0,34.0,26.0,62.0,42.0,17.0,61.0,15.0,39.0,49.0,94.0,119.0,162.0,96.0
2999,6.0,3.0,12.0,0.0,7.0,2.0,41.0,14.0,30.0,13.0,8.0,1.0,54.0,32.0,24.0,161.0,28.0,9.0,61.0,18.0,23.0,35.0,72.0,19.0,4.0,46.0,139.0,60.0,98.0,173.0
3048,1.0,3.0,0.0,12.0,2.0,4.0,19.0,26.0,30.0,8.0,43.0,7.0,98.0,6.0,38.0,44.0,13.0,10.0,22.0,16.0,49.0,241.0,133.0,15.0,21.0,29.0,118.0,337.0,56.0,219.0
3097,3.0,1.0,6.0,0.0,2.0,5.0,10.0,11.0,4.0,38.0,12.0,9.0,7.0,8.0,33.0,42.0,21.0,17.0,20.0,45.0,71.0,103.0,26.0,29.0,39.0,54.0,37.0,108.0,75.0,204.0
3146,9.0,0.0,2.0,1.0,14.0,4.0,33.0,7.0,19.0,10.0,6.0,3.0,8.0,12.0,15.0,44.0,16.0,11.0,26.0,53.0,140.0,58.0,92.0,13.0,37.0,17.0,108.0,102.0,155.0,431.0
3195,0.0,3.0,5.0,12.0,10.0,2.0,1.0,6.0,38.0,11.0,14.0,4.0,59.0,7.0,21.0,78.0,8.0,15.0,22.0,88.0,18.0,37.0,52.0,20.0,42.0,40.0,218.0,93.0,48.0,126.0
3244,2.0,0.0,17.0,32.0,12.0,1.0,9.0,3.0,13.0,5.0,40.0,10.0,38.0,24.0,36.0,35.0,53.0,14.0,19.0,25.0,200.0,57.0,30.0,71.0,75.0,70.0,22.0,98.0,8.0,647.0
3293,1.0,0.0,94.0,12.0,6.0,3.0,8.0,7.0,22.0,17.0,11.0,2.0,9.0,4.0,67.0,30.0,40.0,5.0,15.0,183.0,99.0,27.0,34.0,14.0,24.0,39.0,48.0,65.0,38.0,434.0
3342,8.0,2.0,7.0,21.0,0.0,6.0,3.0,4.0,25.0,1.0,47.0,9.0,5.0,10.0,114.0,46.0,20.0,24.0,22.0,28.0,97.0,119.0,45.0,11.0,33.0,17.0,59.0,107.0,187.0,173.0
3391,2.0,0.0,4.0,1.0,8.0,7.0,3.0,24.0,28.0,6.0,50.0,11.0,16.0,5.0,19.0,395.0,55.0,33.0,93.0,56.0,243.0,9.0,62.0,23.0,14.0,38.0,185.0,660.0,22.0,500.0
3440,0.0,7.0,50.0,4.0,18.0,38.0,39.0,70.0,235.0,2.0,11.0,8.0,5.0,28.0,20.0,6.0,71.0,22.0,49.0,64.0,15.0,31.0,45.0,10.0,999.0,42.0,75.0,9.0,113.0,29.0
3489,9.0,0.0,2.0,14.0,5.0,38.0,16.0,10.0,11.0,1.0,3.0,12.0,90.0,36.0,46.0,33.0,50.0,105.0,49.0,37.0,35.0,64.0,146.0,42.0,15.0,18.0,68.0,22.0,31.0,7.0
3538,2.0,0.0,3.0,5.0,30.0,9.0,10.0,7.0,84.0,1.0,6.0,13.0,11.0,158.0,142.0,25.0,47.0,4.0,71.0,14.0,36.0,43.0,81.0,63.0,41.0,153.0,141.0,18.0,8.0,23.0
3587,7.0,1.0,3.0,0.0,5.0,9.0,48.0,18.0,57.0,2.0,13.0,22.0,21.0,35.0,16.0,12.0,55.0,8.0,61.0,19.0,14.0,37.0,31.0,36.0,17.0,80.0,44.0,11.0,38.0,10.0
3636,2.0,0.0,6.0,3.0,12.0,28.0,20.0,17.0,39.0,7.0,33.0,8.0,4.0,18.0,15.0,10.0,154.0,23.0,36.0,1.0,14.0,149.0,24.0,34.0,54.0,165.0,59.0,19.0,41.0,11.0
3685,1.0,5.0,7.0,12.0,36.0,38.0,267.0,27.0,215.0,0.0,3.0,24.0,15.0,77.0,17.0,14.0,6.0,22.0,46.0,13.0,4.0,79.0,102.0,43.0,155.0,28.0,75.0,23.0,63.0,9.0
3734,6.0,9.0,0.0,1.0,23.0,16.0,482.0,51.0,108.0,4.0,20.0,14.0,3.0,77.0,58.0,15.0,38.0,221.0,59.0,2.0,12.0,92.0,143.0,32.0,161.0,227.0,127.0,10.0,26.0,13.0
3783,4.0,2.0,5.0,1.0,10.0,3.0,66.0,15.0,41.0,0.0,20.0,6.0,8.0,9.0,64.0,23.0,11.0,17.0,133.0,7.0,39.0,58.0,34.0,28.0,42.0,291.0,44.0,63.0,13.0,14.0
3832,6.0,3.0,0.0,1.0,7.0,11.0,20.0,30.0,76.0,5.0,69.0,39.0,26.0,12.0,67.0,51.0,40.0,350.0,80.0,2.0,33.0,57.0,50.0,22.0,29.0,45.0,118.0,99.0,10.0,9.0
3881,1.0,4.0,0.0,6.0,25.0,14.0,7.0,3.0,96.0,15.0,13.0,19.0,11.0,42.0,110.0,34.0,10.0,90.0,87.0,9.0,21.0,23.0,36.0,32.0,564.0,47.0,64.0,8.0,2.0,5.0
3930,1.0,3.0,8.0,12.0,6.0,13.0,9.0,2.0,5.0,0.0,41.0,158.0,28.0,22.0,92.0,11.0,21.0,37.0,48.0,138.0,4.0,31.0,40.0,108.0,10.0,95.0,17.0,14.0,43.0,29.0
3979,0.0,2.0,7.0,20.0,5.0,11.0,8.0,9.0,6.0,1.0,17.0,23.0,49.0,10.0,71.0,14.0,45.0,319.0,27.0,39.0,4.0,34.0,239.0,86.0,3.0,43.0,29.0,13.0,73.0,42.0
4028,3.0,10.0,2.0,4.0,11.0,26.0,8.0,7.0,5.0,1.0,18.0,42.0,51.0,22.0,224.0,13.0,66.0,20.0,16.0,9.0,34.0,27.0,131.0,125.0,0.0,72.0,41.0,12.0,62.0,32.0
4077,1.0,8.0,5.0,9.0,7.0,21.0,6.0,13.0,3.0,2.0,10.0,26.0,84.0,11.0,16.0,33.0,4.0,105.0,45.0,50.0,22.0,27.0,180.0,52.0,0.0,12.0,30.0,15.0,104.0,31.0
4126,0.0,20.0,5.0,22.0,7.0,6.0,21.0,8.0,4.0,2.0,52.0,67.0,76.0,32.0,282.0,17.0,9.0,102.0,15.0,13.0,1.0,16.0,72.0,101.0,3.0,118.0,27.0,12.0,10.0,39.0
4175,1.0,2.0,5.0,32.0,6.0,8.0,7.0,10.0,0.0,3.0,19.0,37.0,75.0,22.0,170.0,25.0,18.0,57.0,21.0,88.0,9.0,17.0,248.0,79.0,4.0,30.0,27.0,14.0,31.0,96.0
4224,0.0,7.0,69.0,21.0,4.0,8.0,10.0,9.0,3.0,1.0,112.0,6.0,25.0,26.0,68.0,2.0,23.0,30.0,11.0,72.0,17.0,20.0,149.0,244.0,5.0,29.0,32.0,119.0,45.0,91.0
4273,2.0,12.0,5.0,33.0,7.0,13.0,4.0,8.0,6.0,0.0,11.0,20.0,54.0,14.0,121.0,26.0,18.0,126.0,10.0,59.0,3.0,63.0,385.0,29.0,1.0,21.0,49.0,32.0,28.0,101.0
4322,10.0,12.0,3.0,2.0,13.0,23.0,5.0,54.0,4.0,0.0,22.0,27.0,7.0,45.0,161.0,36.0,9.0,100.0,34.0,118.0,11.0,18.0,502.0,73.0,1.0,15.0,62.0,14.0,48.0,227.0
4371,1.0,18.0,6.0,28.0,25.0,15.0,5.0,13.0,12.0,2.0,27.0,36.0,48.0,75.0,108.0,14.0,0.0,336.0,22.0,80.0,4.0,67.0,163.0,85.0,37.0,47.0,91.0,7.0,72.0,30.0
4420,2.0,0.0,6.0,1.0,20.0,11.0,5.0,7.0,4.0,12.0,58.0,13.0,67.0,52.0,15.0,16.0,30.0,3.0,53.0,43.0,277.0,59.0,29.0,36.0,45.0,22.0,46.0,24.0,27.0,452.0
4469,3.0,0.0,9.0,1.0,18.0,61.0,5.0,30.0,2.0,38.0,75.0,4.0,149.0,31.0,22.0,57.0,65.0,8.0,10.0,19.0,298.0,619.0,49.0,78.0,7.0,13.0,35.0,53.0,80.0,196.0
4518,3.0,2.0,0.0,1.0,13.0,9.0,81.0,24.0,18.0,5.0,8.0,4.0,122.0,29.0,16.0,10.0,28.0,57.0,6.0,36.0,424.0,125.0,94.0,103.0,20.0,62.0,47.0,70.0,59.0,19584.0
4567,1.0,0.0,4.0,3.0,13.0,6.0,2.0,18.0,7.0,5.0,47.0,11.0,178.0,20.0,68.0,17.0,21.0,27.0,10.0,34.0,1304.0,348.0,26.0,84.0,124.0,251.0,31.0,71.0,39.0,160.0
4616,1.0,0.0,3.0,5.0,8.0,9.0,12.0,18.0,6.0,2.0,4.0,25.0,90.0,27.0,51.0,20.0,30.0,26.0,28.0,13.0,480.0,129.0,72.0,48.0,15.0,101.0,49.0,140.0,59.0,299.0
4665,1.0,0.0,8.0,5.0,23.0,21.0,3.0,11.0,4.0,19.0,14.0,7.0,148.0,22.0,10.0,49.0,2.0,6.0,29.0,26.0,59.0,112.0,36.0,17.0,58.0,42.0,38.0,60.0,180.0,756.0
4714,3.0,0.0,20.0,7.0,15.0,6.0,9.0,11.0,2.0,5.0,27.0,25.0,31.0,77.0,29.0,36.0,21.0,1.0,18.0,74.0,220.0,191.0,57.0,114.0,54.0,85.0,45.0,19.0,49.0,127.0
4763,1.0,3.0,2.0,0.0,6.0,13.0,30.0,20.0,4.0,12.0,32.0,19.0,130.0,65.0,15.0,77.0,17.0,8.0,11.0,274.0,63.0,39.0,46.0,68.0,209.0,5.0,126.0,22.0,93.0,572.0
4812,1.0,0.0,25.0,4.0,21.0,3.0,20.0,19.0,2.0,6.0,41.0,44.0,537.0,35.0,11.0,7.0,24.0,9.0,5.0,117.0,779.0,101.0,32.0,58.0,15.0,17.0,43.0,30.0,52.0,268.0
4861,5.0,2.0,1.0,0.0,63.0,27.0,4.0,83.0,17.0,14.0,223.0,18.0,135.0,15.0,29.0,103.0,198.0,3.0,37.0,60.0,1127.0,78.0,69.0,31.0,25.0,61.0,127.0,84.0,48.0,453.0
