,pantothenate,cytidine,niacinamide,adenosine,alpha-glycerophosphocholine,leucine,hypoxanthine,beta-alanine,valerylcarnitine,serine,GABA,C56:5 TAG,putrescine,DHAP/glyceraldehyde 3P,C22:6 LPC,2-deoxyadenosine,glutamine,uridine,oxalate,C18:0 LPC,taurodeoxycholate,C16:0 LPE,N-carbamoyl-beta-alanine,butyrylcarnitine/isobutyrylcarnitine,pyroglutamic acid,creatinine,palmitoylcarnitine,C22:6 LPE,3-phosphoglycerate,sarcosine
514,0.0,15.0,2.0,1.0,31.0,7.0,17.0,27.0,3.0,9.0,36.0,8.0,33.0,12.0,4.0,20.0,13.0,43.0,5.0,11.0,6.0,10.0,21.0,25.0,23.0,30.0,26.0,18.0,35.0,34.0
563,0.0,8.0,2.0,1.0,21.0,3.0,6.0,31.0,5.0,16.0,36.0,15.0,29.0,4.0,17.0,27.0,7.0,39.0,18.0,30.0,11.0,10.0,19.0,9.0,28.0,25.0,32.0,23.0,33.0,49.0
612,0.0,10.0,1.0,2.0,13.0,4.0,7.0,34.0,11.0,45.0,40.0,16.0,30.0,3.0,14.0,27.0,6.0,19.0,5.0,33.0,9.0,8.0,20.0,32.0,22.0,26.0,36.0,35.0,18.0,52.0
661,2.0,4.0,0.0,1.0,30.0,3.0,12.0,25.0,8.0,13.0,35.0,19.0,21.0,7.0,5.0,18.0,14.0,42.0,6.0,10.0,11.0,17.0,24.0,32.0,22.0,29.0,20.0,27.0,34.0,33.0
710,0.0,32.0,1.0,4.0,12.0,2.0,17.0,31.0,8.0,42.0,51.0,10.0,27.0,3.0,9.0,18.0,6.0,46.0,19.0,20.0,7.0,5.0,47.0,13.0,26.0,50.0,23.0,11.0,22.0,29.0
759,0.0,5.0,1.0,2.0,12.0,4.0,15.0,17.0,6.0,50.0,42.0,8.0,22.0,7.0,3.0,19.0,9.0,43.0,11.0,24.0,10.0,25.0,14.0,23.0,30.0,18.0,16.0,27.0,21.0,31.0
808,0.0,9.0,1.0,2.0,14.0,3.0,22.0,31.0,8.0,26.0,27.0,10.0,24.0,6.0,12.0,5.0,17.0,16.0,25.0,15.0,23.0,13.0,11.0,19.0,34.0,29.0,4.0,18.0,30.0,35.0
857,0.0,23.0,2.0,1.0,18.0,3.0,14.0,30.0,5.0,21.0,22.0,8.0,11.0,13.0,19.0,25.0,50.0,41.0,17.0,31.0,4.0,6.0,42.0,37.0,36.0,24.0,15.0,34.0,10.0,29.0
906,1.0,6.0,0.0,9.0,11.0,4.0,5.0,27.0,2.0,48.0,31.0,17.0,25.0,10.0,12.0,16.0,7.0,43.0,41.0,18.0,8.0,3.0,21.0,13.0,24.0,20.0,23.0,19.0,22.0,26.0
955,0.0,14.0,1.0,7.0,11.0,3.0,8.0,31.0,2.0,48.0,42.0,13.0,15.0,4.0,16.0,6.0,5.0,33.0,19.0,25.0,9.0,26.0,23.0,22.0,24.0,27.0,18.0,10.0,32.0,21.0
1004,0.0,4.0,5.0,1.0,6.0,9.0,3.0,28.0,26.0,48.0,2.0,42.0,13.0,12.0,16.0,18.0,15.0,47.0,35.0,29.0,7.0,19.0,21.0,20.0,25.0,24.0,27.0,30.0,23.0,59.0
1053,0.0,1.0,18.0,6.0,4.0,7.0,3.0,8.0,10.0,11.0,2.0,41.0,15.0,14.0,17.0,13.0,47.0,5.0,34.0,28.0,12.0,27.0,21.0,31.0,30.0,26.0,29.0,23.0,32.0,49.0
1102,0.0,2.0,10.0,6.0,4.0,1.0,9.0,26.0,7.0,13.0,3.0,23.0,12.0,8.0,28.0,15.0,17.0,5.0,16.0,27.0,14.0,29.0,19.0,24.0,32.0,31.0,25.0,30.0,22.0,53.0
1151,0.0,2.0,7.0,1.0,3.0,4.0,5.0,6.0,13.0,18.0,9.0,23.0,10.0,37.0,26.0,16.0,47.0,8.0,17.0,25.0,14.0,11.0,49.0,31.0,30.0,20.0,24.0,28.0,22.0,54.0
1200,0.0,3.0,33.0,5.0,2.0,8.0,4.0,17.0,12.0,6.0,1.0,45.0,14.0,11.0,18.0,15.0,20.0,10.0,13.0,16.0,9.0,28.0,49.0,26.0,25.0,32.0,27.0,30.0,24.0,50.0
1249,0.0,2.0,8.0,10.0,5.0,6.0,1.0,7.0,23.0,4.0,3.0,35.0,12.0,37.0,28.0,32.0,47.0,9.0,41.0,27.0,14.0,13.0,33.0,25.0,24.0,20.0,26.0,30.0,22.0,56.0
1298,0.0,1.0,15.0,3.0,4.0,2.0,5.0,12.0,26.0,7.0,8.0,31.0,9.0,17.0,11.0,19.0,46.0,6.0,34.0,21.0,13.0,24.0,29.0,20.0,18.0,22.0,27.0,25.0,32.0,50.0
1347,0.0,1.0,15.0,4.0,5.0,2.0,3.0,21.0,9.0,7.0,6.0,18.0,17.0,36.0,25.0,12.0,46.0,13.0,33.0,24.0,8.0,26.0,49.0,19.0,30.0,22.0,20.0,27.0,31.0,51.0
1396,0.0,1.0,4.0,10.0,2.0,9.0,8.0,26.0,11.0,7.0,3.0,23.0,5.0,37.0,18.0,16.0,13.0,6.0,43.0,27.0,14.0,28.0,53.0,24.0,31.0,20.0,25.0,30.0,22.0,60.0
1445,1.0,5.0,9.0,2.0,4.0,0.0,8.0,14.0,15.0,6.0,7.0,22.0,11.0,3.0,25.0,30.0,17.0,10.0,44.0,16.0,12.0,26.0,49.0,23.0,21.0,19.0,24.0,28.0,20.0,52.0
1494,0.0,4.0,3.0,2.0,6.0,14.0,8.0,5.0,7.0,16.0,1.0,11.0,24.0,15.0,27.0,22.0,48.0,18.0,43.0,12.0,40.0,28.0,19.0,26.0,32.0,21.0,52.0,29.0,23.0,33.0
1543,0.0,6.0,5.0,1.0,11.0,38.0,17.0,4.0,9.0,46.0,2.0,3.0,7.0,32.0,18.0,12.0,29.0,10.0,37.0,8.0,56.0,42.0,16.0,49.0,25.0,21.0,24.0,40.0,50.0,23.0
1592,0.0,6.0,2.0,1.0,19.0,5.0,4.0,3.0,10.0,13.0,7.0,9.0,8.0,12.0,16.0,21.0,31.0,38.0,34.0,14.0,40.0,37.0,24.0,27.0,20.0,22.0,46.0,53.0,30.0,23.0
1641,0.0,6.0,4.0,1.0,7.0,48.0,11.0,5.0,15.0,8.0,2.0,3.0,14.0,13.0,19.0,21.0,49.0,10.0,41.0,9.0,50.0,22.0,28.0,16.0,20.0,23.0,30.0,56.0,31.0,18.0
1690,1.0,4.0,10.0,0.0,9.0,17.0,40.0,8.0,16.0,6.0,7.0,2.0,5.0,20.0,29.0,33.0,45.0,38.0,18.0,12.0,14.0,30.0,34.0,52.0,26.0,23.0,25.0,56.0,24.0,28.0
1739,2.0,7.0,1.0,0.0,6.0,44.0,11.0,8.0,10.0,12.0,3.0,14.0,9.0,16.0,31.0,32.0,47.0,19.0,38.0,5.0,41.0,28.0,22.0,30.0,27.0,26.0,20.0,49.0,33.0,55.0
1788,0.0,2.0,5.0,1.0,8.0,12.0,9.0,6.0,13.0,11.0,3.0,4.0,27.0,15.0,17.0,14.0,18.0,39.0,36.0,23.0,40.0,25.0,22.0,28.0,26.0,24.0,29.0,48.0,30.0,50.0
1837,2.0,4.0,9.0,0.0,1.0,15.0,50.0,10.0,5.0,6.0,8.0,3.0,23.0,11.0,13.0,12.0,47.0,39.0,36.0,27.0,40.0,17.0,19.0,25.0,32.0,21.0,33.0,28.0,22.0,26.0
1886,2.0,3.0,5.0,0.0,1.0,10.0,14.0,4.0,13.0,12.0,11.0,6.0,16.0,8.0,17.0,20.0,43.0,40.0,36.0,9.0,41.0,39.0,23.0,45.0,24.0,26.0,22.0,44.0,30.0,27.0
1935,1.0,5.0,3.0,0.0,2.0,44.0,18.0,4.0,10.0,7.0,11.0,6.0,13.0,9.0,26.0,23.0,43.0,36.0,15.0,16.0,39.0,27.0,20.0,54.0,24.0,29.0,30.0,58.0,22.0,50.0
1984,0.0,4.0,1.0,3.0,11.0,12.0,10.0,2.0,16.0,14.0,5.0,9.0,19.0,38.0,15.0,18.0,46.0,7.0,13.0,27.0,20.0,28.0,21.0,32.0,31.0,22.0,8.0,29.0,24.0,26.0
2033,0.0,1.0,2.0,4.0,3.0,11.0,16.0,9.0,6.0,7.0,5.0,8.0,26.0,10.0,14.0,31.0,13.0,19.0,18.0,12.0,15.0,24.0,21.0,27.0,25.0,54.0,28.0,23.0,32.0,30.0
2082,0.0,2.0,3.0,4.0,14.0,18.0,13.0,6.0,5.0,15.0,1.0,17.0,25.0,11.0,7.0,23.0,34.0,12.0,46.0,10.0,9.0,19.0,16.0,30.0,24.0,29.0,20.0,27.0,22.0,26.0
2131,0.0,11.0,4.0,1.0,5.0,8.0,6.0,3.0,9.0,10.0,2.0,22.0,12.0,13.0,16.0,23.0,47.0,17.0,18.0,27.0,15.0,21.0,30.0,20.0,32.0,26.0,14.0,28.0,33.0,25.0
2180,4.0,2.0,0.0,9.0,14.0,5.0,41.0,7.0,1.0,16.0,3.0,10.0,26.0,11.0,6.0,18.0,12.0,15.0,13.0,29.0,20.0,17.0,22.0,33.0,25.0,55.0,27.0,30.0,24.0,28.0
2229,0.0,1.0,3.0,14.0,6.0,8.0,41.0,9.0,7.0,4.0,2.0,5.0,31.0,10.0,11.0,28.0,20.0,12.0,17.0,24.0,16.0,30.0,21.0,26.0,29.0,27.0,32.0,23.0,33.0,25.0
2278,1.0,5.0,0.0,6.0,4.0,7.0,9.0,10.0,2.0,8.0,11.0,36.0,23.0,43.0,26.0,18.0,17.0,14.0,15.0,13.0,39.0,19.0,21.0,16.0,31.0,20.0,32.0,27.0,22.0,25.0
2327,4.0,5.0,3.0,1.0,0.0,7.0,40.0,2.0,9.0,14.0,11.0,10.0,22.0,12.0,6.0,30.0,48.0,16.0,15.0,26.0,49.0,27.0,17.0,31.0,21.0,19.0,24.0,28.0,20.0,25.0
2376,0.0,3.0,4.0,1.0,15.0,20.0,10.0,17.0,11.0,2.0,5.0,7.0,27.0,12.0,8.0,32.0,19.0,22.0,13.0,16.0,44.0,18.0,23.0,9.0,26.0,50.0,33.0,30.0,25.0,29.0
2425,0.0,3.0,1.0,7.0,2.0,12.0,38.0,6.0,4.0,9.0,5.0,20.0,18.0,16.0,10.0,24.0,47.0,42.0,8.0,13.0,17.0,25.0,52.0,22.0,23.0,26.0,14.0,27.0,30.0,21.0
2474,0.0,7.0,6.0,16.0,8.0,19.0,3.0,9.0,2.0,20.0,11.0,10.0,1.0,14.0,25.0,4.0,13.0,38.0,15.0,5.0,39.0,18.0,57.0,23.0,22.0,26.0,34.0,28.0,53.0,24.0
2523,0.0,3.0,2.0,20.0,23.0,11.0,4.0,5.0,16.0,10.0,6.0,9.0,1.0,35.0,12.0,26.0,38.0,14.0,8.0,24.0,43.0,13.0,21.0,48.0,18.0,27.0,19.0,42.0,52.0,22.0
2572,0.0,12.0,2.0,24.0,10.0,33.0,6.0,3.0,5.0,35.0,8.0,14.0,1.0,19.0,13.0,25.0,15.0,41.0,11.0,7.0,40.0,4.0,18.0,27.0,28.0,23.0,61.0,43.0,55.0,50.0
2621,0.0,3.0,2.0,12.0,4.0,18.0,8.0,10.0,9.0,7.0,15.0,5.0,1.0,16.0,11.0,19.0,48.0,13.0,40.0,30.0,43.0,6.0,28.0,22.0,24.0,50.0,20.0,23.0,32.0,31.0
2670,0.0,2.0,1.0,16.0,10.0,7.0,4.0,25.0,13.0,15.0,5.0,38.0,3.0,40.0,8.0,20.0,17.0,39.0,12.0,26.0,53.0,14.0,57.0,11.0,32.0,18.0,22.0,28.0,21.0,24.0
2719,0.0,6.0,2.0,28.0,7.0,41.0,4.0,13.0,12.0,8.0,17.0,9.0,1.0,3.0,11.0,5.0,10.0,49.0,16.0,23.0,15.0,19.0,51.0,22.0,25.0,29.0,34.0,26.0,35.0,33.0
2768,0.0,3.0,1.0,22.0,9.0,16.0,6.0,13.0,4.0,5.0,18.0,12.0,2.0,34.0,14.0,21.0,11.0,40.0,8.0,7.0,44.0,15.0,49.0,19.0,20.0,58.0,54.0,23.0,28.0,50.0
2817,0.0,2.0,9.0,18.0,12.0,17.0,4.0,8.0,3.0,5.0,13.0,6.0,1.0,10.0,7.0,16.0,46.0,37.0,38.0,15.0,39.0,24.0,30.0,23.0,31.0,25.0,51.0,26.0,33.0,32.0
2866,0.0,9.0,2.0,23.0,21.0,8.0,1.0,5.0,4.0,6.0,11.0,18.0,3.0,16.0,15.0,24.0,14.0,41.0,7.0,13.0,46.0,12.0,19.0,31.0,25.0,30.0,47.0,27.0,22.0,48.0
2915,0.0,7.0,3.0,30.0,10.0,6.0,1.0,5.0,14.0,44.0,4.0,19.0,2.0,11.0,17.0,16.0,18.0,40.0,8.0,20.0,41.0,13.0,23.0,31.0,25.0,48.0,28.0,29.0,32.0,47.0
2964,1.0,2.0,8.0,3.0,5.0,0.0,11.0,4.0,9.0,12.0,47.0,18.0,7.0,6.0,15.0,23.0,13.0,17.0,43.0,28.0,16.0,29.0,44.0,34.0,33.0,22.0,26.0,31.0,24.0,27.0
3013,3.0,2.0,4.0,1.0,7.0,0.0,6.0,19.0,8.0,11.0,9.0,16.0,5.0,10.0,28.0,17.0,12.0,40.0,44.0,18.0,42.0,29.0,34.0,24.0,33.0,20.0,26.0,31.0,23.0,27.0
3062,1.0,0.0,10.0,6.0,8.0,2.0,4.0,9.0,14.0,7.0,18.0,35.0,5.0,3.0,27.0,12.0,15.0,16.0,17.0,26.0,43.0,28.0,33.0,23.0,21.0,19.0,24.0,30.0,22.0,25.0
3111,1.0,5.0,6.0,3.0,10.0,0.0,7.0,15.0,4.0,9.0,16.0,17.0,2.0,8.0,13.0,18.0,45.0,39.0,12.0,28.0,40.0,19.0,20.0,32.0,24.0,31.0,26.0,29.0,23.0,27.0
3160,0.0,1.0,4.0,2.0,9.0,3.0,11.0,12.0,7.0,6.0,35.0,15.0,5.0,10.0,8.0,19.0,16.0,18.0,44.0,20.0,46.0,28.0,26.0,25.0,32.0,21.0,33.0,29.0,23.0,27.0
3209,2.0,0.0,1.0,6.0,8.0,4.0,9.0,14.0,7.0,3.0,35.0,43.0,5.0,12.0,16.0,32.0,11.0,13.0,42.0,28.0,48.0,29.0,25.0,22.0,23.0,20.0,26.0,53.0,21.0,27.0
3258,0.0,2.0,1.0,4.0,12.0,3.0,5.0,18.0,8.0,11.0,16.0,21.0,9.0,10.0,17.0,26.0,7.0,46.0,43.0,15.0,22.0,20.0,45.0,27.0,25.0,31.0,30.0,28.0,35.0,34.0
3307,0.0,3.0,2.0,1.0,8.0,4.0,6.0,5.0,11.0,10.0,12.0,27.0,9.0,7.0,23.0,15.0,43.0,40.0,16.0,17.0,44.0,24.0,26.0,18.0,19.0,29.0,21.0,48.0,14.0,20.0
3356,3.0,1.0,0.0,5.0,10.0,2.0,6.0,9.0,15.0,11.0,16.0,13.0,4.0,7.0,8.0,31.0,18.0,43.0,14.0,26.0,44.0,27.0,20.0,24.0,23.0,19.0,32.0,28.0,22.0,25.0
3405,0.0,2.0,8.0,1.0,3.0,5.0,7.0,16.0,4.0,12.0,42.0,14.0,9.0,6.0,13.0,31.0,11.0,46.0,44.0,26.0,47.0,27.0,17.0,24.0,22.0,20.0,55.0,29.0,21.0,25.0
3454,0.0,6.0,1.0,17.0,4.0,5.0,16.0,15.0,2.0,7.0,10.0,11.0,3.0,14.0,12.0,9.0,33.0,45.0,41.0,13.0,42.0,8.0,26.0,28.0,20.0,49.0,22.0,24.0,29.0,27.0
3503,5.0,3.0,0.0,22.0,1.0,4.0,17.0,11.0,15.0,47.0,7.0,10.0,2.0,9.0,19.0,12.0,13.0,14.0,40.0,25.0,18.0,8.0,20.0,24.0,30.0,50.0,31.0,27.0,23.0,55.0
3552,0.0,3.0,2.0,15.0,5.0,8.0,1.0,25.0,13.0,14.0,4.0,7.0,6.0,36.0,18.0,9.0,44.0,46.0,40.0,11.0,10.0,12.0,19.0,22.0,28.0,20.0,54.0,26.0,30.0,23.0
3601,3.0,7.0,1.0,16.0,8.0,6.0,2.0,21.0,0.0,17.0,15.0,11.0,5.0,10.0,9.0,13.0,12.0,14.0,41.0,19.0,44.0,30.0,43.0,25.0,33.0,24.0,28.0,32.0,34.0,29.0
3650,0.0,1.0,3.0,13.0,4.0,5.0,11.0,17.0,10.0,2.0,12.0,7.0,8.0,9.0,24.0,16.0,49.0,6.0,40.0,18.0,44.0,25.0,19.0,23.0,30.0,54.0,31.0,27.0,21.0,59.0
3699,0.0,7.0,1.0,24.0,2.0,5.0,10.0,4.0,28.0,45.0,12.0,8.0,6.0,14.0,11.0,9.0,46.0,19.0,20.0,18.0,41.0,31.0,16.0,27.0,25.0,23.0,29.0,32.0,34.0,33.0
3748,8.0,2.0,0.0,10.0,1.0,4.0,33.0,15.0,5.0,6.0,24.0,3.0,7.0,13.0,17.0,9.0,14.0,11.0,39.0,18.0,42.0,20.0,22.0,27.0,16.0,50.0,19.0,23.0,28.0,26.0
3797,1.0,2.0,0.0,3.0,4.0,9.0,15.0,10.0,27.0,17.0,20.0,6.0,11.0,13.0,19.0,7.0,48.0,14.0,35.0,8.0,12.0,5.0,22.0,26.0,25.0,32.0,28.0,30.0,24.0,55.0
3846,0.0,2.0,12.0,20.0,1.0,6.0,10.0,7.0,15.0,8.0,18.0,9.0,3.0,5.0,13.0,25.0,19.0,4.0,35.0,11.0,14.0,16.0,22.0,27.0,26.0,32.0,28.0,30.0,24.0,56.0
3895,2.0,0.0,4.0,9.0,1.0,10.0,17.0,24.0,11.0,12.0,13.0,8.0,3.0,19.0,29.0,14.0,16.0,6.0,42.0,26.0,18.0,23.0,20.0,30.0,27.0,25.0,31.0,52.0,33.0,60.0
3944,0.0,19.0,5.0,6.0,3.0,48.0,4.0,7.0,8.0,9.0,2.0,35.0,27.0,10.0,14.0,13.0,23.0,43.0,16.0,15.0,20.0,12.0,33.0,25.0,28.0,30.0,32.0,21.0,34.0,24.0
3993,0.0,3.0,4.0,11.0,10.0,6.0,12.0,1.0,30.0,8.0,7.0,15.0,5.0,39.0,2.0,19.0,21.0,43.0,17.0,13.0,44.0,16.0,50.0,18.0,28.0,26.0,35.0,9.0,27.0,31.0
4042,0.0,12.0,9.0,10.0,6.0,5.0,7.0,3.0,19.0,13.0,16.0,4.0,8.0,2.0,1.0,22.0,39.0,47.0,42.0,11.0,45.0,24.0,31.0,32.0,25.0,29.0,27.0,18.0,49.0,33.0
4091,0.0,14.0,1.0,10.0,4.0,7.0,2.0,9.0,27.0,13.0,3.0,38.0,19.0,40.0,5.0,17.0,46.0,39.0,12.0,29.0,18.0,15.0,22.0,11.0,26.0,24.0,25.0,21.0,51.0,28.0
4140,0.0,4.0,7.0,1.0,5.0,10.0,3.0,6.0,9.0,2.0,12.0,35.0,8.0,39.0,15.0,21.0,13.0,22.0,14.0,17.0,44.0,24.0,33.0,27.0,23.0,32.0,20.0,29.0,52.0,48.0
4189,0.0,2.0,4.0,7.0,1.0,12.0,16.0,11.0,9.0,15.0,5.0,20.0,18.0,36.0,6.0,3.0,45.0,39.0,10.0,8.0,40.0,30.0,22.0,28.0,26.0,31.0,48.0,24.0,32.0,29.0
4238,0.0,10.0,12.0,4.0,9.0,5.0,8.0,6.0,26.0,16.0,3.0,14.0,2.0,43.0,1.0,19.0,45.0,41.0,7.0,17.0,42.0,13.0,31.0,25.0,23.0,27.0,33.0,18.0,34.0,28.0
4287,0.0,7.0,3.0,15.0,1.0,5.0,9.0,8.0,13.0,2.0,12.0,14.0,20.0,10.0,4.0,18.0,6.0,38.0,11.0,28.0,39.0,29.0,21.0,26.0,32.0,23.0,33.0,17.0,24.0,27.0
4336,1.0,11.0,6.0,24.0,12.0,8.0,9.0,0.0,33.0,10.0,4.0,20.0,17.0,38.0,2.0,23.0,5.0,42.0,3.0,16.0,51.0,14.0,30.0,13.0,32.0,25.0,27.0,15.0,34.0,28.0
4385,0.0,3.0,14.0,16.0,2.0,19.0,6.0,11.0,5.0,7.0,4.0,18.0,12.0,9.0,15.0,13.0,17.0,43.0,40.0,8.0,44.0,22.0,34.0,21.0,29.0,33.0,30.0,24.0,28.0,31.0
4434,0.0,6.0,1.0,11.0,13.0,15.0,3.0,2.0,16.0,7.0,5.0,4.0,29.0,10.0,17.0,27.0,46.0,8.0,42.0,9.0,14.0,26.0,19.0,25.0,28.0,24.0,32.0,21.0,33.0,30.0
4483,0.0,2.0,8.0,7.0,18.0,12.0,6.0,1.0,3.0,5.0,14.0,4.0,23.0,37.0,26.0,15.0,10.0,13.0,34.0,25.0,44.0,27.0,47.0,9.0,31.0,19.0,24.0,29.0,22.0,51.0
4532,0.0,8.0,6.0,5.0,23.0,49.0,4.0,2.0,13.0,7.0,3.0,1.0,15.0,17.0,30.0,11.0,16.0,46.0,43.0,19.0,9.0,29.0,21.0,14.0,28.0,32.0,31.0,25.0,33.0,26.0
4581,0.0,8.0,14.0,5.0,13.0,12.0,11.0,10.0,15.0,4.0,6.0,2.0,18.0,37.0,17.0,19.0,46.0,3.0,9.0,22.0,41.0,1.0,57.0,20.0,23.0,24.0,30.0,27.0,31.0,51.0
4630,0.0,4.0,12.0,8.0,40.0,48.0,1.0,15.0,14.0,2.0,20.0,6.0,24.0,27.0,31.0,7.0,44.0,21.0,50.0,30.0,19.0,3.0,54.0,5.0,23.0,37.0,28.0,34.0,18.0,53.0
4679,1.0,11.0,3.0,0.0,13.0,18.0,6.0,2.0,4.0,9.0,7.0,5.0,14.0,37.0,29.0,19.0,12.0,8.0,41.0,15.0,17.0,26.0,55.0,10.0,27.0,30.0,25.0,24.0,31.0,48.0
4728,0.0,5.0,1.0,3.0,17.0,13.0,8.0,14.0,4.0,10.0,11.0,2.0,9.0,39.0,27.0,12.0,46.0,7.0,50.0,26.0,16.0,28.0,52.0,33.0,32.0,20.0,24.0,30.0,22.0,25.0
4777,0.0,4.0,12.0,1.0,16.0,10.0,5.0,3.0,14.0,7.0,19.0,13.0,32.0,37.0,26.0,8.0,11.0,2.0,41.0,25.0,17.0,15.0,55.0,18.0,24.0,27.0,23.0,28.0,33.0,52.0
4826,0.0,2.0,13.0,32.0,17.0,8.0,4.0,1.0,7.0,10.0,18.0,3.0,29.0,39.0,28.0,33.0,9.0,6.0,42.0,31.0,14.0,5.0,57.0,12.0,27.0,22.0,24.0,23.0,34.0,25.0
4875,0.0,3.0,5.0,4.0,18.0,13.0,7.0,1.0,6.0,10.0,14.0,2.0,12.0,38.0,26.0,16.0,8.0,9.0,42.0,25.0,47.0,11.0,52.0,15.0,22.0,23.0,30.0,27.0,31.0,21.0
