,CORO2A,AKR1E2,TSTD1,OCIAD2,SLFN13,RP11-2B6.3,LXN,ZBED6CL,RP11-390F4.3,C1orf186,PLAGL1,RAB3D,S100A2,FZD6,RP11-330L19.1,ADRB2,LAMB3,ZDHHC12,CCDC120,XDH,ANKS6,SYTL1,ZNF185,APOL1,PTPN3,RIN2,GALNT14,GPX3,ZNF876P,PRSS16
3536,1.0,0.0,3.0,6.0,12.0,2.0,25.0,96.0,13.0,20.0,32.0,46.0,52.0,8.0,18.0,7.0,418.0,132.0,24.0,14.0,5.0,28.0,80.0,186.0,83.0,42.0,53.0,79.0,15.0,61.0
3585,0.0,1.0,5.0,3.0,20.0,27.0,10.0,4.0,2.0,46.0,7.0,8.0,21.0,29.0,6.0,9.0,52.0,17.0,12.0,189.0,28.0,22.0,11.0,102.0,36.0,58.0,139.0,57.0,14.0,18.0
3634,0.0,2.0,6.0,5.0,11.0,28.0,1.0,4.0,3.0,32.0,14.0,17.0,41.0,63.0,16.0,36.0,342.0,64.0,10.0,34.0,27.0,46.0,44.0,68.0,57.0,7.0,35.0,498.0,53.0,40.0
3683,0.0,22.0,1.0,18.0,15.0,28.0,10.0,5.0,2.0,92.0,21.0,76.0,335.0,7.0,12.0,41.0,66.0,19.0,17.0,123.0,13.0,32.0,156.0,53.0,20.0,24.0,599.0,447.0,6.0,40.0
3732,1.0,0.0,6.0,11.0,192.0,4.0,15.0,23.0,14.0,32.0,7.0,13.0,43.0,9.0,10.0,5.0,134.0,31.0,12.0,65.0,8.0,115.0,24.0,143.0,76.0,51.0,29.0,33.0,25.0,21.0
3781,2.0,1.0,8.0,7.0,11.0,15.0,30.0,9.0,3.0,19.0,0.0,64.0,97.0,42.0,4.0,71.0,294.0,47.0,23.0,82.0,40.0,26.0,12.0,136.0,117.0,14.0,138.0,10.0,29.0,13.0
3830,1.0,2.0,0.0,8.0,20.0,47.0,16.0,4.0,5.0,17.0,3.0,21.0,86.0,6.0,24.0,25.0,95.0,26.0,44.0,68.0,62.0,117.0,58.0,54.0,137.0,63.0,27.0,226.0,10.0,13.0
3879,2.0,1.0,5.0,4.0,9.0,8.0,3.0,7.0,15.0,49.0,0.0,12.0,11.0,39.0,17.0,19.0,20.0,28.0,56.0,13.0,22.0,98.0,18.0,86.0,35.0,36.0,21.0,76.0,27.0,10.0
3928,2.0,1.0,0.0,28.0,113.0,37.0,4.0,13.0,3.0,8.0,14.0,18.0,5.0,94.0,23.0,51.0,80.0,226.0,29.0,30.0,107.0,137.0,22.0,143.0,10.0,6.0,291.0,76.0,157.0,33.0
3977,3.0,2.0,0.0,8.0,16.0,35.0,1.0,18.0,9.0,14.0,6.0,77.0,17.0,51.0,78.0,53.0,169.0,114.0,7.0,55.0,41.0,193.0,90.0,159.0,5.0,25.0,347.0,349.0,10.0,11.0
4026,1.0,3.0,0.0,23.0,31.0,5.0,2.0,15.0,21.0,9.0,46.0,107.0,4.0,32.0,332.0,40.0,511.0,94.0,12.0,16.0,71.0,155.0,14.0,96.0,18.0,22.0,51.0,30.0,59.0,70.0
4075,1.0,3.0,0.0,54.0,8.0,4.0,2.0,28.0,12.0,11.0,64.0,126.0,17.0,13.0,34.0,37.0,133.0,63.0,7.0,41.0,58.0,300.0,35.0,45.0,6.0,19.0,181.0,61.0,23.0,24.0
4124,2.0,0.0,1.0,28.0,12.0,10.0,4.0,55.0,20.0,9.0,14.0,100.0,45.0,34.0,98.0,40.0,383.0,90.0,3.0,37.0,15.0,303.0,54.0,176.0,19.0,280.0,29.0,38.0,13.0,58.0
4173,2.0,1.0,0.0,24.0,12.0,7.0,90.0,13.0,4.0,25.0,33.0,131.0,20.0,36.0,51.0,5.0,269.0,53.0,6.0,21.0,60.0,185.0,26.0,201.0,32.0,42.0,284.0,19.0,65.0,80.0
4222,0.0,13.0,1.0,203.0,2.0,59.0,68.0,3.0,11.0,72.0,38.0,60.0,80.0,21.0,25.0,41.0,8.0,54.0,28.0,263.0,18.0,184.0,95.0,17.0,24.0,88.0,695.0,508.0,19.0,7.0
4271,1.0,6.0,0.0,129.0,7.0,8.0,4.0,14.0,45.0,3.0,188.0,72.0,12.0,68.0,30.0,9.0,185.0,36.0,17.0,80.0,10.0,433.0,19.0,52.0,58.0,23.0,39.0,57.0,107.0,76.0
4320,1.0,22.0,0.0,35.0,56.0,8.0,15.0,16.0,18.0,9.0,129.0,71.0,7.0,39.0,70.0,59.0,160.0,14.0,3.0,30.0,72.0,387.0,93.0,34.0,6.0,53.0,44.0,101.0,41.0,54.0
4369,0.0,2.0,1.0,15.0,4.0,10.0,3.0,14.0,9.0,19.0,146.0,37.0,8.0,208.0,170.0,27.0,118.0,73.0,6.0,39.0,90.0,186.0,31.0,128.0,18.0,25.0,130.0,38.0,11.0,94.0
4418,0.0,1.0,16.0,3.0,7.0,10.0,6.0,8.0,205.0,24.0,59.0,20.0,9.0,109.0,86.0,39.0,61.0,238.0,105.0,38.0,67.0,42.0,12.0,150.0,54.0,14.0,4.0,15.0,147.0,28.0
4467,0.0,4.0,5.0,9.0,2.0,6.0,61.0,1.0,72.0,40.0,30.0,20.0,33.0,3.0,38.0,13.0,29.0,105.0,122.0,534.0,23.0,140.0,147.0,45.0,51.0,82.0,49.0,18.0,293.0,41.0
4516,2.0,0.0,6.0,9.0,3.0,11.0,7.0,1.0,17.0,14.0,52.0,12.0,5.0,18.0,198.0,61.0,15.0,107.0,196.0,63.0,57.0,233.0,10.0,44.0,255.0,41.0,145.0,28.0,166.0,42.0
4565,1.0,2.0,24.0,9.0,0.0,12.0,7.0,3.0,676.0,13.0,102.0,31.0,75.0,4.0,14.0,5.0,61.0,100.0,64.0,17.0,11.0,49.0,82.0,28.0,40.0,48.0,26.0,21.0,244.0,42.0
4614,2.0,3.0,11.0,6.0,0.0,1.0,18.0,13.0,76.0,8.0,15.0,86.0,4.0,23.0,26.0,16.0,38.0,145.0,131.0,7.0,42.0,27.0,24.0,49.0,192.0,44.0,12.0,5.0,403.0,47.0
4663,0.0,56.0,15.0,12.0,3.0,52.0,8.0,1.0,65.0,5.0,50.0,10.0,2.0,24.0,73.0,31.0,9.0,48.0,225.0,21.0,30.0,103.0,25.0,14.0,309.0,34.0,4.0,66.0,150.0,109.0
4712,0.0,7.0,11.0,4.0,1.0,8.0,67.0,2.0,26.0,10.0,47.0,52.0,6.0,27.0,101.0,5.0,33.0,111.0,120.0,49.0,37.0,14.0,13.0,56.0,316.0,15.0,40.0,23.0,373.0,39.0
4761,1.0,0.0,14.0,9.0,13.0,15.0,4.0,7.0,127.0,19.0,18.0,20.0,12.0,28.0,32.0,49.0,16.0,240.0,39.0,171.0,11.0,54.0,313.0,200.0,131.0,83.0,3.0,10.0,210.0,60.0
4810,1.0,0.0,15.0,4.0,8.0,18.0,43.0,6.0,65.0,3.0,5.0,14.0,16.0,11.0,37.0,46.0,38.0,330.0,121.0,27.0,10.0,47.0,40.0,100.0,82.0,125.0,2.0,19.0,93.0,17.0
4859,0.0,6.0,5.0,9.0,1.0,17.0,12.0,3.0,105.0,4.0,1073.0,39.0,10.0,7.0,98.0,82.0,138.0,79.0,47.0,19.0,48.0,143.0,25.0,28.0,142.0,59.0,20.0,198.0,410.0,63.0
