,FRA1,MEK1_pS217_S221,Src_pY527,CDK1,CD49b,Annexin 1,HER3,Bax,Src,Src_pY416,YB-1_pS102,Gab2,Transglutaminase,PKC-pan_BetaII_pS660,TIGAR,Smac,Rab25,Raptor,E-Cadherin,Smad3,14-3-3_zeta,HSP70,Notch1,p53,XBP1,VAV1,Cyclin_E1,Rb,p90RSK_pT573,MIG-6
2648,8.0,1.0,3.0,2.0,0.0,19.0,10.0,14.0,4.0,7.0,12.0,15.0,21.0,35.0,11.0,6.0,16.0,17.0,20.0,36.0,24.0,13.0,5.0,29.0,37.0,47.0,9.0,27.0,22.0,30.0
2697,4.0,0.0,21.0,8.0,5.0,3.0,2.0,19.0,14.0,6.0,10.0,26.0,1.0,18.0,20.0,11.0,7.0,35.0,17.0,15.0,41.0,45.0,9.0,31.0,47.0,12.0,13.0,24.0,22.0,39.0
2746,2.0,1.0,3.0,8.0,0.0,7.0,11.0,32.0,10.0,9.0,4.0,37.0,15.0,20.0,27.0,6.0,5.0,14.0,26.0,53.0,24.0,25.0,13.0,60.0,39.0,16.0,12.0,35.0,30.0,61.0
2795,1.0,0.0,3.0,9.0,2.0,6.0,5.0,12.0,15.0,11.0,19.0,36.0,7.0,42.0,20.0,4.0,18.0,17.0,14.0,53.0,13.0,21.0,10.0,24.0,39.0,27.0,8.0,22.0,55.0,34.0
2844,3.0,2.0,1.0,4.0,0.0,5.0,7.0,18.0,6.0,14.0,16.0,27.0,17.0,25.0,11.0,13.0,8.0,32.0,10.0,39.0,19.0,15.0,24.0,43.0,52.0,21.0,12.0,9.0,20.0,47.0
2893,3.0,1.0,2.0,6.0,0.0,9.0,11.0,19.0,17.0,8.0,5.0,24.0,10.0,21.0,22.0,14.0,4.0,18.0,12.0,54.0,20.0,13.0,15.0,40.0,44.0,7.0,16.0,35.0,32.0,28.0
2942,0.0,1.0,7.0,3.0,5.0,2.0,8.0,23.0,15.0,10.0,9.0,4.0,12.0,14.0,6.0,18.0,19.0,20.0,17.0,11.0,13.0,21.0,39.0,22.0,31.0,27.0,40.0,16.0,45.0,28.0
2991,0.0,6.0,2.0,3.0,7.0,1.0,10.0,13.0,9.0,19.0,5.0,4.0,37.0,15.0,8.0,20.0,30.0,12.0,11.0,23.0,21.0,22.0,26.0,14.0,40.0,18.0,27.0,16.0,44.0,39.0
3040,0.0,2.0,5.0,10.0,1.0,3.0,7.0,15.0,33.0,12.0,6.0,14.0,13.0,20.0,22.0,9.0,16.0,11.0,28.0,30.0,4.0,18.0,32.0,21.0,26.0,24.0,8.0,23.0,70.0,47.0
3089,0.0,3.0,2.0,8.0,1.0,9.0,5.0,6.0,12.0,11.0,10.0,7.0,20.0,16.0,19.0,21.0,18.0,28.0,43.0,4.0,13.0,24.0,22.0,14.0,26.0,17.0,15.0,31.0,33.0,32.0
3138,1.0,7.0,2.0,6.0,0.0,3.0,12.0,8.0,9.0,15.0,4.0,5.0,19.0,11.0,18.0,16.0,21.0,20.0,13.0,27.0,10.0,30.0,72.0,14.0,17.0,31.0,29.0,25.0,33.0,56.0
3187,1.0,0.0,5.0,9.0,3.0,2.0,4.0,7.0,21.0,15.0,8.0,6.0,19.0,11.0,26.0,25.0,16.0,30.0,23.0,28.0,10.0,34.0,41.0,12.0,20.0,27.0,18.0,14.0,24.0,17.0
3236,4.0,0.0,7.0,3.0,1.0,5.0,2.0,12.0,22.0,8.0,6.0,20.0,16.0,21.0,15.0,11.0,9.0,13.0,35.0,18.0,17.0,40.0,26.0,14.0,49.0,23.0,47.0,32.0,19.0,39.0
3285,3.0,4.0,0.0,6.0,1.0,2.0,9.0,10.0,27.0,5.0,8.0,14.0,22.0,21.0,18.0,19.0,11.0,15.0,17.0,28.0,7.0,13.0,12.0,16.0,26.0,20.0,24.0,25.0,33.0,32.0
3334,1.0,3.0,4.0,7.0,2.0,0.0,13.0,5.0,28.0,11.0,8.0,14.0,32.0,12.0,26.0,20.0,22.0,10.0,30.0,17.0,9.0,23.0,42.0,6.0,21.0,37.0,27.0,18.0,33.0,35.0
3383,2.0,1.0,9.0,3.0,5.0,0.0,8.0,10.0,13.0,11.0,12.0,7.0,4.0,21.0,15.0,14.0,19.0,23.0,32.0,28.0,22.0,43.0,29.0,6.0,17.0,18.0,30.0,16.0,39.0,71.0
3432,0.0,1.0,3.0,8.0,4.0,6.0,7.0,5.0,9.0,12.0,17.0,2.0,11.0,15.0,16.0,14.0,10.0,26.0,13.0,35.0,19.0,28.0,27.0,18.0,31.0,25.0,24.0,22.0,21.0,20.0
3481,0.0,1.0,3.0,7.0,2.0,5.0,8.0,4.0,13.0,16.0,12.0,10.0,6.0,9.0,24.0,14.0,17.0,21.0,27.0,32.0,15.0,19.0,22.0,18.0,54.0,23.0,29.0,20.0,52.0,11.0
3530,1.0,0.0,2.0,10.0,9.0,4.0,3.0,5.0,6.0,15.0,19.0,8.0,14.0,16.0,18.0,12.0,7.0,29.0,11.0,22.0,30.0,24.0,21.0,17.0,37.0,20.0,34.0,13.0,39.0,25.0
3579,0.0,1.0,10.0,2.0,4.0,6.0,7.0,5.0,17.0,18.0,15.0,3.0,20.0,14.0,11.0,28.0,8.0,12.0,9.0,25.0,32.0,13.0,29.0,22.0,34.0,16.0,23.0,21.0,24.0,19.0
3628,2.0,3.0,11.0,6.0,5.0,0.0,1.0,4.0,14.0,12.0,18.0,7.0,20.0,13.0,22.0,30.0,9.0,8.0,10.0,32.0,17.0,28.0,29.0,63.0,27.0,48.0,16.0,39.0,55.0,31.0
3677,0.0,1.0,2.0,3.0,4.0,5.0,11.0,8.0,13.0,16.0,7.0,17.0,26.0,15.0,14.0,10.0,9.0,18.0,12.0,28.0,22.0,6.0,45.0,27.0,30.0,42.0,19.0,25.0,21.0,20.0
3726,0.0,9.0,10.0,12.0,4.0,7.0,5.0,1.0,8.0,3.0,15.0,2.0,6.0,16.0,18.0,17.0,11.0,22.0,14.0,23.0,25.0,34.0,79.0,33.0,27.0,13.0,37.0,19.0,26.0,29.0
3775,1.0,0.0,2.0,7.0,3.0,6.0,5.0,18.0,15.0,13.0,25.0,4.0,10.0,8.0,24.0,11.0,9.0,23.0,12.0,22.0,17.0,30.0,16.0,33.0,44.0,36.0,26.0,14.0,20.0,19.0
3824,4.0,0.0,6.0,9.0,2.0,8.0,1.0,5.0,20.0,12.0,15.0,3.0,13.0,10.0,25.0,14.0,7.0,18.0,21.0,17.0,30.0,23.0,28.0,11.0,19.0,31.0,22.0,16.0,26.0,34.0
3873,0.0,2.0,7.0,13.0,5.0,3.0,1.0,9.0,24.0,17.0,15.0,8.0,11.0,10.0,35.0,12.0,4.0,18.0,6.0,25.0,26.0,14.0,37.0,19.0,50.0,21.0,20.0,16.0,28.0,38.0
3922,0.0,3.0,41.0,10.0,4.0,6.0,8.0,11.0,38.0,1.0,7.0,20.0,2.0,9.0,14.0,18.0,19.0,16.0,13.0,5.0,15.0,29.0,37.0,12.0,68.0,17.0,64.0,34.0,33.0,24.0
3971,0.0,1.0,13.0,19.0,4.0,15.0,7.0,9.0,8.0,5.0,3.0,6.0,10.0,2.0,12.0,23.0,14.0,11.0,17.0,21.0,28.0,20.0,64.0,16.0,52.0,33.0,32.0,41.0,18.0,25.0
4020,0.0,1.0,19.0,9.0,2.0,5.0,16.0,3.0,8.0,7.0,4.0,14.0,10.0,6.0,11.0,18.0,13.0,22.0,15.0,17.0,21.0,29.0,20.0,26.0,52.0,31.0,57.0,30.0,24.0,23.0
4069,3.0,2.0,14.0,16.0,0.0,7.0,9.0,6.0,4.0,1.0,5.0,25.0,12.0,22.0,20.0,10.0,17.0,24.0,19.0,13.0,11.0,21.0,40.0,15.0,39.0,27.0,23.0,32.0,26.0,29.0
4118,0.0,1.0,15.0,2.0,4.0,6.0,3.0,7.0,14.0,8.0,5.0,25.0,13.0,16.0,9.0,27.0,30.0,41.0,12.0,11.0,10.0,19.0,17.0,18.0,51.0,43.0,22.0,29.0,26.0,24.0
4167,0.0,1.0,16.0,10.0,6.0,9.0,8.0,4.0,7.0,5.0,2.0,22.0,12.0,11.0,15.0,17.0,20.0,19.0,18.0,3.0,13.0,21.0,29.0,14.0,45.0,27.0,31.0,28.0,25.0,26.0
4216,0.0,2.0,9.0,8.0,23.0,5.0,14.0,1.0,6.0,3.0,4.0,27.0,11.0,16.0,17.0,18.0,7.0,12.0,13.0,10.0,15.0,50.0,22.0,25.0,49.0,20.0,55.0,47.0,19.0,37.0
4265,0.0,1.0,23.0,5.0,10.0,8.0,16.0,2.0,9.0,3.0,4.0,12.0,14.0,11.0,6.0,20.0,15.0,19.0,13.0,7.0,24.0,43.0,21.0,17.0,27.0,26.0,38.0,29.0,25.0,18.0
4314,0.0,11.0,7.0,9.0,19.0,3.0,15.0,5.0,1.0,6.0,2.0,21.0,4.0,18.0,16.0,10.0,8.0,14.0,20.0,12.0,17.0,42.0,13.0,22.0,54.0,25.0,28.0,32.0,38.0,23.0
4363,0.0,2.0,23.0,6.0,1.0,8.0,9.0,5.0,11.0,20.0,4.0,21.0,10.0,7.0,16.0,13.0,17.0,3.0,18.0,19.0,24.0,26.0,33.0,29.0,35.0,27.0,54.0,51.0,40.0,38.0
4412,3.0,16.0,0.0,5.0,1.0,2.0,8.0,4.0,6.0,9.0,11.0,7.0,36.0,26.0,18.0,20.0,23.0,10.0,24.0,27.0,19.0,80.0,15.0,17.0,12.0,21.0,14.0,33.0,53.0,22.0
4461,2.0,7.0,0.0,12.0,1.0,3.0,5.0,9.0,6.0,10.0,14.0,4.0,17.0,13.0,15.0,22.0,18.0,19.0,30.0,8.0,20.0,58.0,26.0,11.0,28.0,23.0,21.0,40.0,35.0,34.0
4510,0.0,5.0,1.0,3.0,15.0,2.0,4.0,22.0,10.0,14.0,12.0,9.0,32.0,18.0,6.0,34.0,11.0,13.0,19.0,7.0,27.0,49.0,29.0,26.0,8.0,23.0,25.0,53.0,51.0,17.0
4559,1.0,7.0,0.0,5.0,4.0,9.0,2.0,6.0,8.0,22.0,29.0,3.0,30.0,17.0,14.0,26.0,16.0,11.0,27.0,12.0,13.0,67.0,20.0,15.0,35.0,24.0,18.0,31.0,57.0,34.0
4608,0.0,11.0,2.0,10.0,1.0,6.0,3.0,4.0,8.0,13.0,30.0,5.0,15.0,12.0,17.0,21.0,7.0,19.0,18.0,16.0,14.0,45.0,35.0,25.0,26.0,20.0,24.0,47.0,33.0,32.0
4657,3.0,13.0,0.0,9.0,22.0,1.0,4.0,6.0,5.0,20.0,18.0,7.0,12.0,15.0,10.0,23.0,27.0,16.0,8.0,2.0,21.0,40.0,28.0,11.0,14.0,30.0,29.0,41.0,51.0,38.0
4706,0.0,4.0,1.0,6.0,3.0,5.0,2.0,8.0,22.0,30.0,19.0,9.0,13.0,29.0,10.0,25.0,20.0,7.0,16.0,12.0,17.0,35.0,23.0,49.0,18.0,24.0,27.0,41.0,56.0,37.0
4755,1.0,4.0,0.0,12.0,5.0,2.0,3.0,15.0,8.0,17.0,18.0,25.0,24.0,23.0,22.0,20.0,14.0,7.0,28.0,9.0,21.0,27.0,31.0,11.0,13.0,26.0,16.0,39.0,44.0,37.0
4804,0.0,7.0,1.0,12.0,8.0,2.0,14.0,9.0,3.0,4.0,17.0,19.0,27.0,13.0,18.0,25.0,26.0,10.0,21.0,24.0,11.0,29.0,22.0,5.0,15.0,44.0,20.0,38.0,39.0,41.0
4853,1.0,2.0,0.0,6.0,7.0,3.0,4.0,10.0,8.0,11.0,26.0,5.0,15.0,22.0,12.0,17.0,14.0,9.0,24.0,19.0,20.0,42.0,21.0,13.0,23.0,30.0,18.0,44.0,53.0,28.0
