,hsa-miR-22,hsa-miR-210,hsa-miR-216a,hsa-miR-890,hsa-miR-135b,hsa-miR-142-5p,hsa-miR-193b,hsa-miR-1308,hsa-miR-24,hsa-miR-888,hsa-miR-137,hsa-miR-378,hsa-miR-148a,ebv-miR-BART7,hcmv-miR-US5-1,hsa-miR-186,hsa-miR-151-3p,hsa-miR-597,hsa-miR-485-3p,ebv-miR-BART2-5p,hsa-miR-2116,hsa-miR-7,hsa-miR-10a,hsa-miR-553,hsa-miR-1247,kshv-miR-K12-9,hsa-miR-541,hsa-miR-486-3p,hsa-let-7e,hsa-miR-300
852,0.0,29.0,26.0,23.0,80.0,22.0,48.0,6.0,16.0,61.0,379.0,599.0,368.0,66.0,98.0,58.0,83.0,40.0,59.0,234.0,86.0,326.0,142.0,97.0,63.0,260.0,113.0,121.0,46.0,99.0
901,411.0,5.0,33.0,74.0,21.0,67.0,127.0,1.0,12.0,30.0,57.0,608.0,469.0,88.0,81.0,26.0,66.0,125.0,103.0,243.0,34.0,306.0,94.0,82.0,383.0,263.0,362.0,98.0,37.0,24.0
950,588.0,21.0,35.0,26.0,72.0,63.0,7.0,387.0,46.0,287.0,376.0,38.0,22.0,118.0,176.0,34.0,9.0,12.0,82.0,333.0,62.0,57.0,36.0,226.0,11.0,204.0,121.0,500.0,107.0,15.0
999,90.0,26.0,117.0,33.0,89.0,5.0,46.0,43.0,17.0,55.0,31.0,13.0,482.0,74.0,295.0,42.0,66.0,115.0,68.0,92.0,429.0,19.0,212.0,100.0,48.0,80.0,121.0,91.0,72.0,501.0
1048,138.0,6.0,8.0,29.0,64.0,16.0,43.0,33.0,90.0,28.0,379.0,34.0,370.0,95.0,283.0,423.0,120.0,92.0,56.0,4.0,49.0,20.0,452.0,171.0,430.0,50.0,87.0,31.0,23.0,576.0
1097,592.0,14.0,18.0,338.0,61.0,35.0,28.0,5.0,9.0,51.0,34.0,12.0,3.0,24.0,69.0,362.0,130.0,62.0,52.0,16.0,47.0,20.0,43.0,146.0,433.0,86.0,106.0,85.0,95.0,79.0
1146,0.0,37.0,39.0,25.0,95.0,63.0,415.0,410.0,40.0,55.0,124.0,599.0,23.0,73.0,327.0,393.0,60.0,64.0,74.0,24.0,79.0,339.0,71.0,116.0,435.0,21.0,113.0,47.0,129.0,575.0
1195,591.0,9.0,35.0,50.0,8.0,19.0,45.0,464.0,44.0,6.0,15.0,37.0,4.0,33.0,286.0,76.0,20.0,104.0,73.0,81.0,43.0,17.0,56.0,211.0,145.0,78.0,88.0,125.0,457.0,573.0
1244,87.0,20.0,31.0,19.0,14.0,26.0,412.0,47.0,62.0,84.0,73.0,8.0,371.0,63.0,76.0,373.0,11.0,78.0,50.0,35.0,95.0,325.0,451.0,91.0,432.0,90.0,51.0,44.0,80.0,576.0
1293,104.0,16.0,128.0,47.0,487.0,13.0,9.0,385.0,129.0,56.0,19.0,573.0,95.0,78.0,90.0,17.0,75.0,121.0,83.0,38.0,438.0,249.0,69.0,120.0,11.0,282.0,111.0,76.0,59.0,91.0
1342,112.0,3.0,25.0,85.0,13.0,17.0,416.0,383.0,63.0,27.0,10.0,74.0,41.0,76.0,47.0,405.0,56.0,89.0,91.0,328.0,135.0,259.0,75.0,126.0,118.0,84.0,104.0,121.0,23.0,569.0
1391,9.0,7.0,25.0,81.0,10.0,2.0,57.0,53.0,63.0,65.0,35.0,15.0,19.0,33.0,286.0,11.0,90.0,62.0,105.0,233.0,89.0,12.0,450.0,106.0,429.0,125.0,139.0,109.0,94.0,66.0
1440,18.0,7.0,58.0,6.0,33.0,14.0,414.0,44.0,98.0,19.0,380.0,8.0,88.0,80.0,285.0,91.0,116.0,86.0,51.0,241.0,32.0,27.0,65.0,174.0,126.0,114.0,138.0,76.0,458.0,573.0
1489,590.0,24.0,120.0,36.0,95.0,123.0,32.0,11.0,48.0,133.0,35.0,125.0,369.0,106.0,27.0,54.0,102.0,103.0,124.0,319.0,55.0,78.0,110.0,37.0,432.0,80.0,113.0,502.0,458.0,31.0
1538,3.0,80.0,29.0,92.0,20.0,93.0,42.0,409.0,84.0,18.0,16.0,98.0,129.0,79.0,99.0,7.0,30.0,69.0,86.0,236.0,95.0,326.0,452.0,101.0,430.0,260.0,68.0,62.0,48.0,105.0
1587,0.0,21.0,53.0,45.0,73.0,27.0,28.0,25.0,68.0,335.0,24.0,11.0,371.0,75.0,77.0,29.0,12.0,65.0,97.0,46.0,37.0,113.0,35.0,44.0,115.0,67.0,129.0,131.0,114.0,124.0
1636,0.0,113.0,7.0,59.0,42.0,122.0,14.0,416.0,121.0,328.0,116.0,47.0,74.0,58.0,69.0,3.0,97.0,83.0,62.0,287.0,15.0,25.0,41.0,226.0,21.0,94.0,66.0,108.0,294.0,395.0
1685,62.0,17.0,9.0,8.0,18.0,40.0,4.0,67.0,57.0,88.0,95.0,10.0,379.0,81.0,134.0,56.0,22.0,97.0,102.0,343.0,75.0,33.0,457.0,105.0,126.0,212.0,122.0,512.0,460.0,131.0
1734,496.0,43.0,96.0,56.0,57.0,386.0,24.0,47.0,136.0,137.0,84.0,528.0,28.0,53.0,72.0,44.0,6.0,55.0,65.0,71.0,400.0,81.0,104.0,112.0,434.0,262.0,124.0,119.0,458.0,575.0
1783,5.0,31.0,19.0,9.0,22.0,84.0,27.0,65.0,118.0,61.0,17.0,565.0,23.0,72.0,90.0,40.0,75.0,81.0,70.0,239.0,77.0,47.0,454.0,56.0,432.0,87.0,130.0,509.0,39.0,94.0
1832,29.0,7.0,83.0,12.0,73.0,383.0,17.0,20.0,61.0,339.0,116.0,2.0,74.0,53.0,27.0,429.0,88.0,59.0,122.0,8.0,132.0,39.0,453.0,99.0,50.0,263.0,497.0,514.0,460.0,10.0
1881,2.0,45.0,142.0,57.0,30.0,55.0,10.0,5.0,77.0,118.0,442.0,88.0,75.0,48.0,42.0,479.0,14.0,110.0,113.0,98.0,50.0,361.0,295.0,29.0,617.0,222.0,80.0,529.0,105.0,408.0
1930,421.0,16.0,14.0,37.0,102.0,35.0,11.0,28.0,134.0,366.0,13.0,22.0,52.0,58.0,38.0,4.0,27.0,59.0,96.0,53.0,15.0,327.0,250.0,62.0,99.0,114.0,82.0,566.0,63.0,113.0
1979,487.0,7.0,14.0,72.0,88.0,12.0,67.0,430.0,10.0,60.0,22.0,115.0,91.0,118.0,28.0,41.0,21.0,97.0,92.0,290.0,498.0,177.0,270.0,130.0,56.0,297.0,62.0,621.0,129.0,77.0
2028,580.0,8.0,20.0,15.0,107.0,26.0,6.0,467.0,589.0,25.0,482.0,561.0,60.0,73.0,172.0,365.0,69.0,51.0,65.0,80.0,67.0,262.0,222.0,109.0,36.0,205.0,59.0,501.0,320.0,33.0
2077,8.0,14.0,20.0,325.0,40.0,66.0,35.0,425.0,75.0,34.0,29.0,118.0,65.0,103.0,90.0,358.0,36.0,62.0,111.0,228.0,483.0,116.0,449.0,99.0,53.0,155.0,120.0,501.0,0.0,571.0
2126,589.0,13.0,16.0,10.0,28.0,42.0,73.0,387.0,63.0,62.0,48.0,29.0,21.0,233.0,97.0,59.0,85.0,32.0,35.0,43.0,55.0,71.0,452.0,81.0,37.0,261.0,58.0,84.0,456.0,139.0
2175,592.0,18.0,40.0,59.0,84.0,15.0,88.0,380.0,116.0,75.0,371.0,514.0,35.0,97.0,71.0,22.0,101.0,81.0,83.0,42.0,54.0,339.0,73.0,12.0,78.0,104.0,62.0,86.0,441.0,126.0
2224,15.0,21.0,70.0,52.0,123.0,16.0,111.0,18.0,142.0,79.0,387.0,599.0,102.0,108.0,147.0,78.0,20.0,95.0,77.0,334.0,101.0,265.0,452.0,45.0,7.0,116.0,43.0,509.0,103.0,113.0
2273,584.0,32.0,56.0,19.0,103.0,24.0,3.0,380.0,575.0,89.0,30.0,69.0,57.0,77.0,75.0,99.0,54.0,59.0,108.0,224.0,84.0,320.0,10.0,22.0,68.0,105.0,79.0,504.0,455.0,96.0
2322,589.0,35.0,111.0,2.0,112.0,18.0,117.0,385.0,582.0,151.0,57.0,528.0,115.0,100.0,63.0,51.0,22.0,86.0,49.0,241.0,133.0,122.0,452.0,161.0,98.0,264.0,25.0,503.0,70.0,66.0
2371,64.0,34.0,45.0,0.0,77.0,10.0,130.0,386.0,122.0,76.0,136.0,58.0,59.0,80.0,89.0,421.0,54.0,51.0,115.0,29.0,98.0,118.0,100.0,67.0,94.0,259.0,88.0,102.0,456.0,125.0
2420,105.0,27.0,21.0,2.0,58.0,14.0,24.0,463.0,115.0,47.0,22.0,35.0,43.0,33.0,112.0,488.0,78.0,135.0,100.0,259.0,380.0,121.0,371.0,107.0,30.0,99.0,56.0,566.0,32.0,98.0
2469,10.0,30.0,5.0,51.0,47.0,117.0,415.0,387.0,16.0,84.0,124.0,53.0,19.0,105.0,50.0,6.0,126.0,15.0,107.0,14.0,494.0,71.0,76.0,27.0,58.0,62.0,157.0,508.0,136.0,134.0
2518,0.0,18.0,16.0,11.0,69.0,83.0,49.0,43.0,580.0,90.0,376.0,96.0,366.0,120.0,95.0,70.0,94.0,34.0,71.0,241.0,493.0,80.0,451.0,78.0,52.0,40.0,106.0,111.0,21.0,67.0
2567,0.0,24.0,11.0,14.0,469.0,23.0,35.0,41.0,76.0,347.0,468.0,601.0,391.0,99.0,40.0,377.0,61.0,102.0,107.0,57.0,66.0,73.0,170.0,88.0,58.0,83.0,90.0,98.0,360.0,39.0
2616,92.0,10.0,3.0,27.0,33.0,51.0,417.0,31.0,584.0,55.0,386.0,564.0,8.0,81.0,82.0,4.0,78.0,50.0,509.0,285.0,30.0,34.0,121.0,15.0,54.0,41.0,110.0,101.0,458.0,71.0
2665,50.0,20.0,23.0,4.0,381.0,9.0,63.0,48.0,580.0,129.0,73.0,102.0,42.0,67.0,55.0,13.0,100.0,103.0,101.0,16.0,7.0,17.0,44.0,64.0,431.0,114.0,84.0,93.0,131.0,96.0
2714,0.0,14.0,24.0,42.0,130.0,37.0,15.0,396.0,587.0,59.0,389.0,2.0,57.0,131.0,93.0,36.0,145.0,49.0,106.0,19.0,115.0,267.0,457.0,226.0,40.0,70.0,118.0,94.0,151.0,74.0
2763,589.0,15.0,12.0,20.0,74.0,32.0,16.0,27.0,22.0,86.0,379.0,601.0,103.0,56.0,29.0,13.0,365.0,44.0,126.0,237.0,93.0,71.0,453.0,79.0,430.0,88.0,179.0,76.0,107.0,87.0
2812,31.0,59.0,16.0,13.0,23.0,93.0,20.0,24.0,592.0,52.0,378.0,523.0,50.0,76.0,42.0,43.0,112.0,22.0,26.0,7.0,422.0,83.0,51.0,64.0,88.0,101.0,32.0,119.0,135.0,569.0
2861,8.0,21.0,15.0,3.0,94.0,378.0,13.0,424.0,134.0,45.0,48.0,525.0,75.0,63.0,47.0,391.0,36.0,40.0,132.0,24.0,16.0,323.0,118.0,120.0,73.0,119.0,184.0,95.0,455.0,109.0
2910,590.0,57.0,7.0,12.0,75.0,23.0,6.0,388.0,128.0,25.0,60.0,562.0,51.0,64.0,102.0,391.0,39.0,27.0,114.0,11.0,484.0,256.0,120.0,18.0,48.0,209.0,115.0,108.0,455.0,573.0
2959,3.0,41.0,36.0,64.0,28.0,19.0,405.0,55.0,576.0,115.0,100.0,517.0,83.0,66.0,60.0,412.0,124.0,164.0,44.0,156.0,17.0,47.0,88.0,24.0,428.0,199.0,116.0,50.0,455.0,566.0
3008,586.0,14.0,46.0,23.0,45.0,7.0,112.0,10.0,27.0,117.0,11.0,51.0,54.0,70.0,29.0,421.0,367.0,149.0,35.0,240.0,83.0,109.0,40.0,68.0,432.0,75.0,196.0,500.0,32.0,564.0
3057,85.0,24.0,51.0,62.0,57.0,373.0,32.0,2.0,49.0,93.0,27.0,44.0,366.0,101.0,61.0,387.0,29.0,164.0,68.0,227.0,493.0,100.0,16.0,89.0,59.0,96.0,113.0,497.0,442.0,48.0
3106,36.0,49.0,37.0,4.0,63.0,2.0,415.0,17.0,7.0,252.0,51.0,9.0,12.0,59.0,6.0,358.0,91.0,92.0,25.0,26.0,113.0,21.0,57.0,105.0,428.0,111.0,43.0,501.0,455.0,80.0
3155,582.0,6.0,39.0,50.0,63.0,374.0,90.0,383.0,43.0,74.0,120.0,561.0,126.0,99.0,38.0,68.0,114.0,156.0,56.0,8.0,388.0,316.0,71.0,118.0,2.0,54.0,175.0,98.0,69.0,572.0
3204,583.0,119.0,27.0,18.0,36.0,372.0,15.0,384.0,64.0,323.0,41.0,22.0,32.0,63.0,43.0,8.0,85.0,65.0,50.0,58.0,103.0,347.0,44.0,215.0,118.0,51.0,86.0,497.0,55.0,578.0
3253,10.0,19.0,61.0,9.0,46.0,7.0,411.0,63.0,102.0,255.0,382.0,21.0,371.0,71.0,107.0,392.0,40.0,15.0,64.0,36.0,131.0,347.0,128.0,78.0,121.0,25.0,100.0,501.0,31.0,572.0
3302,71.0,24.0,32.0,81.0,39.0,1.0,8.0,388.0,93.0,75.0,19.0,117.0,103.0,74.0,29.0,424.0,79.0,189.0,41.0,46.0,497.0,255.0,50.0,104.0,434.0,98.0,119.0,512.0,45.0,130.0
3351,74.0,16.0,7.0,62.0,29.0,65.0,417.0,26.0,72.0,55.0,125.0,60.0,53.0,114.0,49.0,78.0,122.0,112.0,96.0,229.0,394.0,100.0,80.0,212.0,432.0,41.0,165.0,502.0,456.0,574.0
3400,3.0,494.0,48.0,70.0,29.0,92.0,422.0,385.0,13.0,94.0,14.0,524.0,76.0,89.0,30.0,20.0,366.0,163.0,52.0,46.0,588.0,97.0,105.0,96.0,64.0,192.0,190.0,500.0,454.0,566.0
3449,1.0,32.0,101.0,12.0,107.0,15.0,125.0,457.0,30.0,54.0,57.0,29.0,14.0,89.0,55.0,482.0,5.0,38.0,90.0,256.0,78.0,319.0,46.0,106.0,20.0,86.0,537.0,80.0,278.0,79.0
3498,592.0,1.0,588.0,42.0,117.0,19.0,80.0,380.0,15.0,39.0,370.0,27.0,88.0,67.0,34.0,94.0,37.0,69.0,82.0,81.0,85.0,40.0,22.0,125.0,426.0,71.0,64.0,59.0,89.0,77.0
3547,0.0,22.0,494.0,17.0,44.0,114.0,52.0,18.0,6.0,101.0,385.0,12.0,34.0,66.0,63.0,361.0,373.0,43.0,37.0,332.0,27.0,329.0,41.0,91.0,26.0,77.0,90.0,104.0,108.0,87.0
3596,1.0,73.0,52.0,18.0,96.0,29.0,70.0,389.0,583.0,59.0,32.0,86.0,21.0,62.0,74.0,424.0,131.0,25.0,105.0,22.0,31.0,30.0,5.0,129.0,81.0,188.0,116.0,87.0,459.0,572.0
3645,0.0,32.0,498.0,31.0,96.0,126.0,78.0,7.0,8.0,59.0,128.0,602.0,58.0,65.0,137.0,373.0,11.0,49.0,108.0,47.0,72.0,263.0,53.0,127.0,450.0,39.0,141.0,106.0,135.0,84.0
3694,0.0,23.0,34.0,4.0,18.0,37.0,405.0,44.0,45.0,59.0,57.0,8.0,2.0,50.0,92.0,419.0,125.0,62.0,121.0,21.0,89.0,38.0,36.0,232.0,29.0,83.0,47.0,78.0,455.0,565.0
3743,0.0,9.0,16.0,21.0,36.0,40.0,52.0,27.0,39.0,84.0,124.0,601.0,49.0,92.0,37.0,67.0,6.0,29.0,104.0,239.0,77.0,64.0,99.0,93.0,438.0,72.0,563.0,96.0,142.0,577.0
3792,0.0,62.0,69.0,10.0,46.0,56.0,416.0,61.0,38.0,93.0,28.0,8.0,104.0,103.0,83.0,363.0,16.0,60.0,52.0,105.0,35.0,326.0,455.0,154.0,433.0,87.0,36.0,88.0,459.0,47.0
3841,0.0,43.0,44.0,18.0,28.0,116.0,56.0,14.0,591.0,106.0,100.0,4.0,58.0,78.0,118.0,389.0,22.0,42.0,107.0,66.0,83.0,64.0,549.0,96.0,29.0,49.0,61.0,69.0,87.0,59.0
3890,1.0,59.0,25.0,7.0,14.0,11.0,417.0,98.0,13.0,68.0,95.0,19.0,18.0,75.0,234.0,35.0,367.0,71.0,94.0,268.0,76.0,41.0,449.0,60.0,43.0,70.0,117.0,91.0,51.0,568.0
3939,13.0,46.0,81.0,12.0,39.0,22.0,9.0,382.0,35.0,123.0,48.0,522.0,92.0,94.0,103.0,417.0,364.0,107.0,105.0,263.0,118.0,8.0,449.0,63.0,111.0,191.0,99.0,498.0,60.0,108.0
3988,1.0,105.0,48.0,30.0,37.0,36.0,378.0,489.0,145.0,139.0,481.0,0.0,471.0,108.0,81.0,115.0,75.0,134.0,107.0,278.0,127.0,21.0,66.0,71.0,457.0,225.0,69.0,128.0,38.0,590.0
4037,0.0,34.0,18.0,26.0,102.0,30.0,31.0,371.0,118.0,46.0,45.0,52.0,89.0,49.0,90.0,24.0,33.0,35.0,91.0,231.0,93.0,43.0,444.0,113.0,48.0,254.0,76.0,496.0,125.0,122.0
4086,2.0,28.0,51.0,36.0,34.0,96.0,409.0,385.0,575.0,107.0,69.0,1.0,74.0,81.0,267.0,35.0,57.0,66.0,53.0,54.0,129.0,77.0,450.0,182.0,429.0,106.0,119.0,65.0,131.0,43.0
4135,587.0,32.0,18.0,13.0,6.0,21.0,418.0,55.0,133.0,96.0,128.0,11.0,91.0,104.0,41.0,2.0,35.0,9.0,50.0,0.0,130.0,27.0,446.0,64.0,82.0,141.0,102.0,106.0,17.0,16.0
4184,2.0,31.0,20.0,54.0,22.0,132.0,37.0,18.0,14.0,23.0,21.0,511.0,45.0,114.0,94.0,13.0,135.0,92.0,40.0,93.0,118.0,12.0,126.0,86.0,426.0,254.0,26.0,107.0,113.0,564.0
4233,1.0,31.0,25.0,56.0,23.0,50.0,121.0,445.0,41.0,45.0,464.0,75.0,80.0,76.0,113.0,22.0,78.0,214.0,527.0,253.0,48.0,317.0,356.0,197.0,572.0,271.0,92.0,525.0,70.0,89.0
4282,424.0,71.0,27.0,22.0,14.0,8.0,391.0,446.0,414.0,115.0,437.0,53.0,64.0,82.0,50.0,9.0,48.0,94.0,57.0,21.0,95.0,6.0,100.0,110.0,612.0,271.0,112.0,526.0,42.0,402.0
4331,99.0,101.0,59.0,23.0,39.0,9.0,52.0,379.0,115.0,68.0,54.0,22.0,362.0,73.0,37.0,43.0,94.0,26.0,56.0,76.0,107.0,320.0,447.0,104.0,425.0,252.0,116.0,30.0,3.0,75.0
4380,0.0,27.0,29.0,43.0,22.0,111.0,134.0,478.0,62.0,94.0,42.0,599.0,85.0,83.0,54.0,441.0,456.0,98.0,99.0,268.0,48.0,331.0,130.0,198.0,542.0,100.0,115.0,601.0,25.0,106.0
4429,8.0,10.0,41.0,117.0,23.0,462.0,37.0,20.0,58.0,15.0,501.0,577.0,62.0,53.0,286.0,454.0,3.0,103.0,88.0,278.0,18.0,74.0,351.0,212.0,150.0,94.0,92.0,609.0,288.0,440.0
4478,25.0,22.0,30.0,237.0,9.0,75.0,73.0,59.0,591.0,55.0,377.0,525.0,16.0,48.0,43.0,355.0,57.0,98.0,102.0,74.0,115.0,78.0,101.0,222.0,14.0,52.0,40.0,47.0,108.0,110.0
4527,11.0,28.0,38.0,93.0,8.0,368.0,52.0,375.0,63.0,22.0,20.0,85.0,37.0,57.0,276.0,407.0,41.0,198.0,45.0,23.0,69.0,285.0,33.0,211.0,72.0,100.0,154.0,48.0,440.0,569.0
4576,9.0,17.0,32.0,243.0,16.0,385.0,403.0,382.0,81.0,43.0,35.0,1.0,94.0,109.0,108.0,406.0,123.0,88.0,85.0,13.0,69.0,79.0,40.0,115.0,15.0,67.0,80.0,96.0,34.0,56.0
4625,2.0,39.0,53.0,357.0,27.0,489.0,36.0,26.0,81.0,45.0,42.0,0.0,40.0,82.0,135.0,80.0,73.0,100.0,99.0,139.0,79.0,97.0,368.0,127.0,125.0,41.0,50.0,106.0,24.0,18.0
4674,3.0,45.0,27.0,60.0,12.0,109.0,23.0,33.0,35.0,11.0,44.0,13.0,20.0,82.0,90.0,25.0,111.0,92.0,65.0,239.0,117.0,79.0,83.0,161.0,432.0,32.0,67.0,508.0,21.0,571.0
4723,0.0,10.0,34.0,33.0,14.0,41.0,45.0,31.0,51.0,43.0,5.0,514.0,24.0,81.0,59.0,387.0,117.0,127.0,57.0,231.0,118.0,60.0,94.0,173.0,32.0,87.0,164.0,129.0,440.0,92.0
4772,11.0,20.0,40.0,36.0,24.0,108.0,400.0,380.0,570.0,29.0,69.0,520.0,56.0,30.0,88.0,412.0,76.0,95.0,45.0,33.0,588.0,103.0,448.0,211.0,21.0,83.0,168.0,18.0,453.0,105.0
4821,7.0,22.0,74.0,59.0,24.0,53.0,94.0,12.0,29.0,64.0,14.0,28.0,83.0,82.0,66.0,388.0,132.0,102.0,101.0,55.0,105.0,51.0,449.0,125.0,68.0,67.0,44.0,502.0,97.0,58.0
4870,124.0,92.0,37.0,3.0,14.0,17.0,41.0,384.0,83.0,35.0,0.0,523.0,366.0,79.0,45.0,421.0,55.0,139.0,117.0,59.0,589.0,71.0,453.0,154.0,88.0,73.0,176.0,82.0,81.0,78.0
