,DYRK4_MUT,VAT1L_DEL,OR4C11_DEL,FBXO31_DEL,THSD7B_AMP,SCYL2_MUT,FAM153C_AMP,RPL23AP82_DEL,PTEN_DEL,SELT_DEL,ETS1_DEL,ADM2_DEL,DBF4_MUT,BANP_DEL,OSGIN1_DEL,PIK3R4_MUT,IRF8_DEL,KLLN_DEL,PLXNB2_DEL,TBC1D3C_DEL,NHP2_AMP,ATAD1_DEL,CFL1P1_DEL,TTTY16_DEL,RAPGEF2_MUT,PCF11_AMP,DPP10_DEL,RP11-165H20.1_DEL,TTTY12_DEL,SGMS1_DEL
3168,292.0,2.0,32.0,4.0,1.0,9.0,20.0,289.0,18.0,103.0,130.0,60.0,567.0,10.0,22.0,5.0,12.0,18817.0,96.0,34.0,420.0,33.0,3750.0,312.0,1249.0,430.0,115.0,54.0,50.0,239.0
3217,11974.0,5.0,1.0,18.0,134.0,99.0,37.0,63.0,12.0,14.0,753.0,24.0,103.0,57.0,28.0,703.0,29.0,42.0,23.0,120.0,9.0,15.0,494.0,215.0,660.0,32.0,26.0,43.0,338.0,242.0
3266,46.0,61.0,48.0,5.0,11.0,47.0,80.0,5230.0,145.0,1230.0,57.0,244.0,162.0,3.0,30.0,65.0,87.0,243.0,7699.0,3508.0,740.0,920.0,17.0,23.0,35.0,259.0,2.0,75.0,49.0,108.0
3315,40.0,1.0,15.0,6.0,24.0,297.0,683.0,49.0,3.0,13.0,7881.0,35.0,54.0,61.0,10.0,0.0,67.0,18809.0,204.0,81.0,502.0,88.0,2308.0,92.0,95.0,36.0,63.0,109.0,446.0,69.0
3364,827.0,4.0,11.0,6.0,227.0,135.0,26.0,9.0,21.0,36.0,1889.0,659.0,111.0,20.0,28.0,1.0,4261.0,48.0,926.0,5035.0,140.0,31.0,60.0,245.0,1074.0,14829.0,0.0,3907.0,193.0,775.0
3413,7.0,81.0,0.0,11.0,2.0,139.0,237.0,9.0,16.0,533.0,59.0,8171.0,191.0,11003.0,39.0,629.0,269.0,18789.0,5624.0,90.0,856.0,40.0,131.0,21.0,1511.0,12.0,4.0,23.0,58.0,216.0
3462,119.0,23.0,2.0,15.0,47.0,484.0,6.0,10.0,14.0,362.0,9.0,12900.0,127.0,667.0,45.0,56.0,5956.0,18.0,121.0,391.0,50.0,0.0,46.0,13.0,648.0,795.0,16.0,123.0,269.0,1539.0
3511,8.0,5.0,27.0,23.0,11.0,84.0,53.0,6.0,0.0,19.0,233.0,24.0,147.0,167.0,48.0,32.0,259.0,7.0,268.0,45.0,9.0,65.0,3.0,37.0,16989.0,344.0,86.0,250.0,41.0,54.0
3560,12.0,8.0,292.0,64.0,17.0,289.0,28.0,55.0,146.0,80.0,37.0,8200.0,179.0,307.0,48.0,155.0,6996.0,1.0,6025.0,33.0,5.0,104.0,3.0,27.0,1410.0,278.0,499.0,358.0,7.0,4.0
3609,379.0,13.0,16.0,39.0,3.0,109.0,37.0,21.0,11.0,94.0,4.0,8173.0,472.0,218.0,44.0,257.0,396.0,0.0,219.0,3328.0,76.0,5.0,7.0,108.0,345.0,900.0,12780.0,5724.0,88.0,73.0
3658,20.0,12225.0,0.0,9486.0,56.0,30.0,306.0,4151.0,1.0,2431.0,2907.0,54.0,69.0,1667.0,4103.0,7.0,448.0,3.0,123.0,4.0,90.0,68.0,32.0,314.0,2314.0,15132.0,88.0,6164.0,1312.0,116.0
3707,14.0,32.0,19.0,95.0,488.0,3.0,4.0,9.0,142.0,409.0,22.0,7.0,1537.0,37.0,929.0,86.0,529.0,110.0,17.0,259.0,78.0,0.0,30.0,31.0,553.0,14909.0,1637.0,3193.0,74.0,62.0
3756,6.0,10.0,18.0,597.0,17.0,85.0,173.0,11.0,0.0,3282.0,160.0,542.0,7.0,515.0,192.0,3.0,4976.0,1.0,1013.0,92.0,104.0,26.0,8.0,20.0,2450.0,1061.0,168.0,1493.0,482.0,4.0
