,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
1601,31.0,103.0,21466.0,3.0,54.0,37.0,22.0,125.0,44.0,48.0,3830.0,34.0,77.0,35.0,52.0,168.0,80.0,24.0,63.0,126.0,79.0,9393.0,56.0,160.0,86.0,19175.0,88.0,12110.0,18674.0,87.0
1650,3.0,82.0,21474.0,0.0,20881.0,74.0,3992.0,156.0,65.0,98.0,41.0,25.0,113.0,80.0,17.0,47.0,10421.0,50.0,131.0,52.0,105.0,9393.0,64.0,112.0,87.0,146.0,21422.0,12107.0,18683.0,123.0
1699,8.0,53.0,97.0,18.0,62.0,2059.0,34.0,67.0,22304.0,58.0,59.0,48.0,141.0,95.0,2363.0,151.0,10429.0,16570.0,131.0,90.0,107.0,73.0,32.0,212.0,66.0,180.0,13.0,12110.0,160.0,122.0
1748,13730.0,72.0,19.0,3.0,113.0,2062.0,58.0,55.0,82.0,6.0,3830.0,34.0,155.0,10.0,81.0,194.0,10423.0,102.0,154.0,122.0,50.0,9396.0,13.0,87.0,100.0,86.0,54.0,12110.0,70.0,115.0
1797,26.0,54.0,97.0,21.0,20880.0,2053.0,27.0,43.0,70.0,22736.0,72.0,73.0,153.0,84.0,47.0,17.0,10420.0,22.0,124.0,60.0,62.0,49.0,40.0,154.0,147.0,33.0,21418.0,91.0,95.0,83.0
1846,3.0,18.0,84.0,44.0,9.0,2292.0,19.0,88.0,59.0,31.0,24.0,27.0,73.0,16210.0,71.0,176.0,10425.0,16573.0,93.0,61.0,147.0,9371.0,14470.0,58.0,4171.0,125.0,21421.0,29.0,129.0,104.0
1895,25.0,24.0,18.0,49.0,95.0,78.0,3990.0,47.0,90.0,22737.0,3815.0,79.0,140.0,58.0,6.0,18030.0,98.0,42.0,138.0,89.0,133.0,9352.0,65.0,76.0,4170.0,19177.0,21423.0,12115.0,124.0,70.0
1944,7.0,134.0,31.0,4.0,112.0,2295.0,12.0,69.0,67.0,22741.0,28.0,82.0,148.0,27.0,59.0,70.0,10428.0,97.0,73.0,58.0,79.0,9374.0,107.0,119.0,55.0,100.0,20.0,12118.0,78.0,114.0
1993,18.0,17.0,4.0,22.0,75.0,57.0,3980.0,111.0,78.0,23.0,16.0,13732.0,109.0,89.0,101.0,71.0,58.0,16573.0,69.0,67.0,102.0,9370.0,100.0,70.0,4044.0,141.0,106.0,12107.0,104.0,81.0
2042,13.0,16538.0,50.0,139.0,32.0,46.0,4002.0,113.0,69.0,10.0,3.0,13723.0,48.0,16210.0,2349.0,220.0,10427.0,81.0,51.0,78.0,176.0,9400.0,14488.0,84.0,4184.0,19232.0,98.0,12120.0,125.0,72.0
2091,13.0,50.0,81.0,1418.0,74.0,2052.0,43.0,63.0,121.0,39.0,16.0,13758.0,14668.0,16209.0,4.0,24.0,88.0,16563.0,82.0,108.0,146.0,98.0,75.0,148.0,58.0,114.0,21418.0,12105.0,122.0,130.0
2140,20.0,125.0,57.0,1376.0,52.0,123.0,3992.0,67.0,22275.0,27.0,14.0,106.0,97.0,95.0,74.0,122.0,48.0,46.0,70.0,23.0,85.0,9391.0,35.0,101.0,4174.0,54.0,96.0,12103.0,29.0,89.0
2189,7.0,31.0,14.0,36.0,37.0,2059.0,3993.0,113.0,114.0,35.0,16.0,13736.0,158.0,84.0,44.0,18007.0,10424.0,16576.0,79.0,134.0,21508.0,86.0,74.0,129.0,99.0,191.0,21420.0,12111.0,18684.0,81.0
2238,12.0,84.0,58.0,70.0,29.0,82.0,3998.0,44.0,37.0,15.0,20.0,13754.0,86.0,91.0,56.0,69.0,72.0,46.0,95.0,131.0,117.0,124.0,14503.0,198.0,4169.0,189.0,30.0,12116.0,128.0,32.0
2287,3.0,17.0,20.0,77.0,68.0,23.0,46.0,84.0,74.0,2.0,10.0,41.0,112.0,72.0,2358.0,91.0,65.0,130.0,82.0,189.0,134.0,7.0,48.0,110.0,31.0,16.0,115.0,12108.0,211.0,52.0
