,DHAP/glyceraldehyde 3P,3-phosphoglycerate,1-methylnicotinamide,inosine,beta-alanine,homocysteine,carnitine,inositol,pantothenate,C22:6 LPC,SDMA/ADMA,2-deoxyadenosine,C34:4 PC,oxalate,phosphocreatine,leucine,NADP,serotonin,2-deoxycytidine,C56:5 TAG,C36:1 DAG,PEP,uridine,pyroglutamic acid,niacinamide,acetylcholine,alpha-glycerophosphocholine,cotinine,alpha-hydroxybutyrate,UMP
952,0.0,5.0,10.0,7.0,28.0,1.0,14.0,2.0,42.0,18.0,11.0,33.0,27.0,6.0,64.0,15.0,50.0,23.0,34.0,13.0,16.0,37.0,60.0,3.0,38.0,35.0,39.0,36.0,8.0,31.0
1001,0.0,6.0,1.0,16.0,18.0,9.0,26.0,21.0,13.0,10.0,11.0,17.0,2.0,30.0,23.0,3.0,8.0,38.0,4.0,31.0,43.0,15.0,41.0,32.0,34.0,59.0,19.0,25.0,5.0,24.0
1050,2.0,49.0,0.0,22.0,1.0,21.0,20.0,3.0,18.0,7.0,24.0,13.0,6.0,10.0,47.0,35.0,4.0,36.0,27.0,28.0,59.0,37.0,38.0,9.0,55.0,14.0,5.0,34.0,15.0,11.0
1099,1.0,9.0,2.0,7.0,0.0,11.0,33.0,41.0,20.0,18.0,27.0,5.0,3.0,24.0,10.0,30.0,21.0,51.0,42.0,4.0,56.0,40.0,48.0,43.0,35.0,64.0,8.0,29.0,19.0,6.0
1148,1.0,2.0,0.0,22.0,17.0,16.0,29.0,7.0,10.0,37.0,47.0,3.0,12.0,36.0,28.0,19.0,66.0,27.0,13.0,38.0,60.0,6.0,40.0,41.0,14.0,25.0,63.0,59.0,5.0,4.0
1197,1.0,10.0,2.0,5.0,14.0,6.0,58.0,27.0,4.0,31.0,66.0,24.0,3.0,18.0,53.0,54.0,20.0,35.0,38.0,30.0,43.0,28.0,8.0,9.0,25.0,34.0,15.0,22.0,0.0,7.0
1246,2.0,4.0,1.0,47.0,0.0,3.0,25.0,19.0,21.0,7.0,58.0,15.0,38.0,50.0,64.0,8.0,10.0,18.0,13.0,46.0,60.0,40.0,61.0,42.0,32.0,55.0,11.0,53.0,9.0,34.0
1295,4.0,7.0,0.0,2.0,1.0,17.0,54.0,26.0,12.0,19.0,30.0,14.0,5.0,58.0,66.0,8.0,24.0,38.0,11.0,42.0,59.0,13.0,20.0,52.0,64.0,47.0,3.0,10.0,23.0,22.0
1344,0.0,2.0,29.0,36.0,1.0,22.0,17.0,37.0,4.0,20.0,11.0,14.0,10.0,13.0,31.0,3.0,55.0,25.0,28.0,19.0,45.0,35.0,43.0,54.0,49.0,32.0,6.0,39.0,12.0,52.0
1393,2.0,1.0,11.0,0.0,3.0,58.0,26.0,27.0,12.0,31.0,39.0,25.0,7.0,48.0,21.0,49.0,8.0,32.0,5.0,29.0,52.0,10.0,53.0,37.0,41.0,43.0,4.0,63.0,62.0,59.0
1442,0.0,48.0,1.0,24.0,4.0,11.0,19.0,5.0,7.0,23.0,39.0,45.0,3.0,30.0,31.0,25.0,32.0,9.0,21.0,2.0,16.0,46.0,41.0,40.0,14.0,18.0,38.0,64.0,15.0,28.0
1491,0.0,3.0,7.0,4.0,9.0,2.0,1.0,5.0,12.0,25.0,61.0,10.0,43.0,57.0,46.0,14.0,48.0,19.0,62.0,28.0,11.0,38.0,6.0,33.0,21.0,8.0,37.0,40.0,24.0,50.0
1540,19.0,31.0,16.0,30.0,5.0,0.0,2.0,1.0,27.0,20.0,60.0,9.0,21.0,49.0,17.0,12.0,47.0,10.0,62.0,13.0,6.0,34.0,36.0,3.0,14.0,24.0,56.0,7.0,41.0,42.0
1589,2.0,3.0,35.0,6.0,11.0,0.0,1.0,13.0,8.0,4.0,20.0,34.0,17.0,58.0,65.0,27.0,25.0,26.0,50.0,7.0,22.0,19.0,29.0,39.0,10.0,21.0,32.0,49.0,9.0,18.0
1638,0.0,2.0,16.0,4.0,5.0,1.0,7.0,11.0,17.0,3.0,45.0,9.0,10.0,31.0,46.0,12.0,34.0,29.0,57.0,6.0,20.0,22.0,47.0,18.0,21.0,14.0,43.0,25.0,15.0,37.0
1687,0.0,1.0,22.0,6.0,18.0,4.0,5.0,3.0,12.0,8.0,7.0,44.0,11.0,55.0,14.0,21.0,32.0,26.0,46.0,10.0,9.0,17.0,24.0,49.0,19.0,2.0,20.0,27.0,42.0,34.0
1736,6.0,1.0,8.0,30.0,11.0,0.0,5.0,16.0,49.0,17.0,21.0,23.0,18.0,27.0,42.0,52.0,66.0,26.0,55.0,29.0,9.0,14.0,46.0,2.0,3.0,10.0,28.0,4.0,15.0,24.0
1785,0.0,3.0,37.0,6.0,13.0,1.0,2.0,18.0,41.0,46.0,28.0,5.0,8.0,45.0,63.0,44.0,43.0,12.0,54.0,17.0,21.0,7.0,20.0,4.0,25.0,15.0,40.0,26.0,34.0,23.0
1834,2.0,1.0,7.0,5.0,3.0,0.0,6.0,13.0,12.0,30.0,15.0,20.0,25.0,8.0,11.0,18.0,29.0,19.0,61.0,21.0,63.0,39.0,22.0,10.0,14.0,42.0,23.0,17.0,36.0,33.0
1883,8.0,3.0,14.0,4.0,36.0,0.0,5.0,6.0,28.0,19.0,33.0,50.0,1.0,52.0,7.0,12.0,18.0,23.0,66.0,22.0,42.0,13.0,9.0,15.0,2.0,26.0,41.0,21.0,35.0,10.0
1932,1.0,2.0,7.0,3.0,39.0,0.0,12.0,4.0,19.0,8.0,18.0,14.0,17.0,9.0,26.0,20.0,15.0,34.0,29.0,16.0,23.0,41.0,32.0,6.0,37.0,27.0,49.0,24.0,51.0,10.0
1981,0.0,1.0,3.0,30.0,10.0,4.0,20.0,12.0,6.0,58.0,13.0,14.0,9.0,55.0,33.0,32.0,15.0,19.0,48.0,21.0,2.0,47.0,38.0,11.0,26.0,5.0,66.0,25.0,40.0,29.0
2030,0.0,5.0,1.0,3.0,19.0,32.0,2.0,25.0,8.0,20.0,10.0,14.0,36.0,12.0,29.0,18.0,47.0,39.0,55.0,6.0,7.0,37.0,23.0,15.0,48.0,9.0,30.0,35.0,38.0,16.0
2079,0.0,2.0,4.0,7.0,22.0,8.0,6.0,33.0,5.0,24.0,25.0,1.0,38.0,20.0,21.0,12.0,50.0,35.0,62.0,16.0,39.0,53.0,13.0,26.0,45.0,19.0,46.0,60.0,18.0,11.0
2128,0.0,1.0,2.0,33.0,30.0,18.0,6.0,3.0,17.0,20.0,10.0,13.0,4.0,31.0,28.0,21.0,35.0,25.0,53.0,7.0,5.0,15.0,11.0,23.0,36.0,27.0,40.0,52.0,43.0,24.0
2177,0.0,9.0,1.0,8.0,13.0,2.0,5.0,7.0,34.0,4.0,17.0,3.0,37.0,15.0,38.0,28.0,57.0,16.0,18.0,10.0,6.0,22.0,25.0,14.0,42.0,12.0,56.0,20.0,19.0,63.0
2226,0.0,6.0,2.0,4.0,5.0,13.0,22.0,8.0,3.0,15.0,1.0,7.0,39.0,21.0,14.0,18.0,60.0,19.0,61.0,33.0,11.0,34.0,12.0,31.0,17.0,43.0,51.0,36.0,55.0,25.0
2275,0.0,3.0,1.0,20.0,7.0,10.0,40.0,22.0,34.0,5.0,4.0,8.0,31.0,6.0,16.0,12.0,48.0,39.0,23.0,11.0,21.0,41.0,35.0,49.0,51.0,2.0,28.0,59.0,50.0,19.0
2324,0.0,2.0,1.0,25.0,21.0,26.0,13.0,8.0,7.0,3.0,4.0,5.0,36.0,14.0,28.0,18.0,40.0,15.0,27.0,10.0,11.0,9.0,43.0,61.0,45.0,6.0,33.0,17.0,56.0,23.0
2373,0.0,1.0,4.0,6.0,2.0,8.0,28.0,7.0,10.0,11.0,3.0,46.0,21.0,12.0,9.0,33.0,32.0,39.0,45.0,49.0,30.0,50.0,25.0,24.0,57.0,14.0,5.0,27.0,31.0,13.0
2422,0.0,8.0,2.0,6.0,9.0,1.0,4.0,3.0,12.0,27.0,19.0,18.0,13.0,10.0,16.0,50.0,40.0,39.0,38.0,43.0,5.0,58.0,15.0,65.0,22.0,46.0,20.0,25.0,47.0,21.0
2471,0.0,12.0,1.0,6.0,22.0,10.0,4.0,28.0,13.0,20.0,7.0,21.0,36.0,42.0,52.0,40.0,2.0,23.0,19.0,51.0,37.0,30.0,25.0,5.0,65.0,8.0,15.0,32.0,44.0,29.0
2520,0.0,2.0,6.0,26.0,5.0,8.0,48.0,17.0,16.0,41.0,3.0,46.0,25.0,31.0,11.0,29.0,10.0,9.0,52.0,33.0,13.0,43.0,21.0,1.0,54.0,4.0,19.0,20.0,23.0,12.0
2569,2.0,15.0,14.0,1.0,5.0,3.0,13.0,12.0,0.0,46.0,10.0,28.0,20.0,42.0,26.0,32.0,31.0,24.0,50.0,38.0,6.0,57.0,17.0,19.0,55.0,44.0,56.0,33.0,51.0,29.0
2618,0.0,5.0,6.0,13.0,7.0,1.0,25.0,3.0,9.0,14.0,11.0,23.0,27.0,10.0,18.0,39.0,22.0,59.0,16.0,56.0,50.0,21.0,8.0,54.0,30.0,36.0,65.0,46.0,32.0,61.0
2667,0.0,5.0,7.0,2.0,3.0,4.0,26.0,17.0,6.0,1.0,9.0,40.0,18.0,50.0,11.0,14.0,16.0,13.0,15.0,24.0,35.0,59.0,25.0,44.0,62.0,21.0,57.0,45.0,22.0,27.0
2716,0.0,27.0,36.0,10.0,16.0,1.0,2.0,6.0,48.0,29.0,3.0,42.0,14.0,13.0,5.0,26.0,11.0,47.0,39.0,8.0,4.0,40.0,49.0,22.0,55.0,21.0,41.0,31.0,12.0,43.0
2765,0.0,4.0,2.0,14.0,9.0,7.0,61.0,1.0,6.0,12.0,3.0,46.0,22.0,31.0,47.0,64.0,59.0,20.0,8.0,24.0,18.0,17.0,51.0,5.0,27.0,30.0,39.0,26.0,10.0,32.0
2814,0.0,2.0,36.0,22.0,9.0,1.0,12.0,6.0,20.0,23.0,3.0,39.0,29.0,30.0,10.0,66.0,18.0,4.0,63.0,19.0,41.0,7.0,24.0,11.0,32.0,5.0,33.0,17.0,16.0,37.0
2863,0.0,17.0,2.0,9.0,50.0,4.0,3.0,5.0,13.0,14.0,1.0,41.0,12.0,42.0,40.0,48.0,38.0,10.0,19.0,8.0,28.0,20.0,7.0,6.0,37.0,52.0,30.0,46.0,16.0,21.0
2912,0.0,1.0,2.0,9.0,17.0,11.0,5.0,10.0,20.0,28.0,12.0,22.0,7.0,24.0,4.0,25.0,14.0,32.0,21.0,33.0,30.0,15.0,51.0,23.0,8.0,26.0,29.0,36.0,40.0,18.0
2961,0.0,4.0,3.0,25.0,6.0,1.0,5.0,7.0,35.0,16.0,17.0,21.0,10.0,12.0,29.0,30.0,19.0,2.0,15.0,55.0,14.0,18.0,9.0,51.0,24.0,59.0,27.0,31.0,8.0,20.0
3010,1.0,14.0,7.0,13.0,4.0,0.0,2.0,6.0,9.0,17.0,21.0,12.0,33.0,47.0,39.0,24.0,34.0,10.0,49.0,43.0,36.0,8.0,27.0,18.0,5.0,65.0,11.0,25.0,16.0,35.0
3059,0.0,9.0,2.0,3.0,24.0,1.0,28.0,6.0,22.0,17.0,18.0,12.0,32.0,36.0,46.0,16.0,5.0,7.0,50.0,25.0,44.0,8.0,15.0,4.0,27.0,20.0,59.0,29.0,10.0,51.0
3108,0.0,4.0,1.0,37.0,8.0,7.0,33.0,26.0,17.0,23.0,2.0,5.0,35.0,18.0,16.0,11.0,6.0,10.0,64.0,43.0,15.0,21.0,3.0,34.0,27.0,46.0,54.0,12.0,9.0,45.0
3157,0.0,2.0,14.0,6.0,10.0,7.0,13.0,3.0,18.0,55.0,4.0,5.0,32.0,22.0,19.0,23.0,40.0,28.0,16.0,35.0,27.0,21.0,1.0,12.0,33.0,54.0,34.0,9.0,36.0,30.0
3206,0.0,29.0,14.0,24.0,26.0,2.0,32.0,4.0,23.0,40.0,8.0,43.0,10.0,9.0,3.0,20.0,25.0,12.0,19.0,15.0,6.0,35.0,27.0,33.0,7.0,36.0,45.0,13.0,18.0,53.0
3255,0.0,1.0,5.0,16.0,9.0,6.0,7.0,24.0,17.0,43.0,4.0,31.0,21.0,36.0,18.0,3.0,12.0,10.0,27.0,30.0,42.0,23.0,34.0,13.0,32.0,8.0,19.0,15.0,2.0,39.0
3304,0.0,5.0,6.0,24.0,1.0,2.0,54.0,23.0,25.0,19.0,22.0,11.0,50.0,18.0,30.0,10.0,15.0,8.0,16.0,7.0,9.0,37.0,4.0,35.0,12.0,21.0,34.0,13.0,28.0,42.0
3353,0.0,4.0,2.0,13.0,7.0,1.0,38.0,26.0,42.0,10.0,3.0,22.0,21.0,29.0,28.0,15.0,32.0,18.0,9.0,48.0,8.0,17.0,5.0,19.0,16.0,49.0,59.0,30.0,39.0,24.0
3402,0.0,2.0,1.0,9.0,14.0,18.0,8.0,38.0,11.0,42.0,3.0,19.0,26.0,21.0,59.0,20.0,45.0,33.0,51.0,17.0,16.0,6.0,4.0,7.0,49.0,25.0,13.0,27.0,31.0,39.0
3451,0.0,41.0,2.0,7.0,1.0,11.0,3.0,34.0,39.0,16.0,5.0,28.0,4.0,10.0,6.0,52.0,8.0,37.0,12.0,20.0,24.0,23.0,51.0,45.0,30.0,15.0,14.0,25.0,47.0,9.0
3500,0.0,12.0,3.0,1.0,11.0,54.0,5.0,15.0,14.0,13.0,21.0,10.0,2.0,9.0,4.0,53.0,6.0,61.0,25.0,31.0,39.0,27.0,35.0,19.0,62.0,36.0,30.0,28.0,8.0,22.0
3549,5.0,7.0,13.0,3.0,2.0,57.0,1.0,26.0,34.0,20.0,38.0,9.0,18.0,0.0,6.0,44.0,4.0,52.0,22.0,39.0,51.0,40.0,25.0,14.0,46.0,41.0,28.0,15.0,11.0,19.0
3598,0.0,3.0,7.0,2.0,5.0,58.0,10.0,17.0,29.0,6.0,1.0,9.0,13.0,12.0,8.0,42.0,4.0,21.0,46.0,24.0,26.0,14.0,55.0,38.0,22.0,37.0,19.0,25.0,16.0,31.0
3647,0.0,4.0,9.0,1.0,8.0,12.0,6.0,30.0,15.0,20.0,3.0,13.0,18.0,32.0,2.0,54.0,31.0,52.0,5.0,49.0,23.0,39.0,27.0,36.0,48.0,33.0,26.0,40.0,55.0,7.0
3696,6.0,0.0,18.0,1.0,2.0,27.0,3.0,4.0,5.0,51.0,8.0,21.0,22.0,12.0,20.0,53.0,7.0,41.0,9.0,54.0,26.0,34.0,44.0,29.0,31.0,49.0,32.0,45.0,28.0,13.0
3745,11.0,0.0,22.0,3.0,5.0,65.0,1.0,53.0,4.0,16.0,20.0,31.0,12.0,17.0,48.0,49.0,7.0,36.0,15.0,25.0,39.0,47.0,42.0,62.0,9.0,34.0,14.0,29.0,33.0,6.0
3794,0.0,29.0,26.0,7.0,1.0,53.0,6.0,9.0,15.0,16.0,20.0,12.0,13.0,5.0,3.0,57.0,2.0,17.0,19.0,27.0,4.0,11.0,44.0,32.0,21.0,22.0,35.0,8.0,63.0,59.0
3843,2.0,6.0,10.0,12.0,0.0,25.0,19.0,14.0,18.0,8.0,59.0,41.0,33.0,1.0,3.0,42.0,36.0,56.0,21.0,13.0,35.0,53.0,47.0,31.0,48.0,30.0,29.0,16.0,65.0,27.0
3892,0.0,40.0,3.0,5.0,50.0,15.0,13.0,8.0,41.0,42.0,59.0,35.0,6.0,1.0,7.0,52.0,26.0,19.0,63.0,17.0,36.0,4.0,51.0,64.0,29.0,27.0,9.0,24.0,25.0,46.0
3941,2.0,1.0,7.0,0.0,5.0,10.0,12.0,11.0,4.0,63.0,8.0,9.0,19.0,3.0,6.0,35.0,24.0,18.0,21.0,22.0,25.0,51.0,15.0,39.0,48.0,52.0,38.0,53.0,37.0,41.0
3990,2.0,1.0,29.0,22.0,0.0,32.0,7.0,28.0,30.0,16.0,3.0,19.0,4.0,5.0,13.0,6.0,63.0,27.0,8.0,17.0,48.0,51.0,44.0,33.0,12.0,31.0,11.0,52.0,35.0,20.0
4039,1.0,9.0,28.0,17.0,4.0,2.0,8.0,38.0,23.0,47.0,0.0,5.0,7.0,3.0,14.0,26.0,55.0,10.0,39.0,18.0,13.0,41.0,6.0,50.0,29.0,43.0,24.0,45.0,22.0,31.0
4088,0.0,2.0,30.0,29.0,18.0,11.0,15.0,17.0,7.0,14.0,3.0,38.0,9.0,10.0,12.0,50.0,46.0,19.0,1.0,37.0,47.0,20.0,24.0,26.0,8.0,42.0,16.0,4.0,34.0,49.0
4137,3.0,14.0,24.0,15.0,0.0,52.0,50.0,40.0,10.0,6.0,35.0,1.0,20.0,27.0,4.0,25.0,2.0,55.0,29.0,19.0,60.0,13.0,49.0,9.0,42.0,7.0,11.0,41.0,30.0,16.0
4186,4.0,11.0,5.0,1.0,2.0,3.0,59.0,9.0,6.0,23.0,10.0,16.0,7.0,13.0,0.0,26.0,14.0,15.0,17.0,55.0,41.0,18.0,63.0,48.0,38.0,43.0,61.0,12.0,36.0,20.0
4235,1.0,5.0,11.0,4.0,0.0,19.0,10.0,27.0,3.0,33.0,17.0,7.0,20.0,6.0,29.0,53.0,2.0,15.0,48.0,32.0,16.0,31.0,58.0,23.0,24.0,30.0,8.0,42.0,40.0,44.0
4284,2.0,1.0,5.0,4.0,0.0,44.0,22.0,32.0,9.0,45.0,35.0,7.0,41.0,6.0,34.0,37.0,3.0,8.0,17.0,16.0,52.0,25.0,51.0,21.0,19.0,10.0,14.0,49.0,65.0,15.0
4333,1.0,10.0,9.0,2.0,8.0,11.0,22.0,4.0,0.0,12.0,17.0,13.0,3.0,6.0,35.0,19.0,5.0,56.0,33.0,38.0,53.0,27.0,37.0,16.0,14.0,26.0,23.0,51.0,59.0,31.0
4382,3.0,4.0,5.0,0.0,1.0,2.0,15.0,12.0,13.0,16.0,8.0,11.0,31.0,22.0,9.0,32.0,10.0,7.0,19.0,29.0,47.0,25.0,59.0,26.0,40.0,60.0,17.0,37.0,21.0,23.0
4431,2.0,1.0,0.0,21.0,39.0,8.0,55.0,28.0,15.0,7.0,13.0,6.0,9.0,37.0,35.0,10.0,45.0,42.0,12.0,26.0,59.0,11.0,5.0,17.0,34.0,27.0,3.0,20.0,60.0,44.0
4480,0.0,5.0,9.0,20.0,12.0,34.0,22.0,24.0,15.0,4.0,14.0,6.0,25.0,30.0,54.0,1.0,23.0,28.0,10.0,29.0,27.0,17.0,2.0,37.0,13.0,51.0,11.0,40.0,43.0,55.0
4529,0.0,28.0,1.0,10.0,3.0,45.0,27.0,54.0,16.0,7.0,50.0,42.0,17.0,32.0,9.0,12.0,26.0,5.0,2.0,39.0,15.0,43.0,25.0,47.0,13.0,40.0,19.0,31.0,14.0,51.0
4578,0.0,1.0,4.0,22.0,25.0,14.0,20.0,43.0,13.0,3.0,23.0,62.0,11.0,5.0,10.0,17.0,38.0,31.0,2.0,27.0,56.0,26.0,44.0,46.0,33.0,48.0,9.0,55.0,34.0,36.0
4627,0.0,5.0,1.0,4.0,45.0,50.0,16.0,14.0,8.0,2.0,49.0,39.0,10.0,20.0,19.0,24.0,6.0,11.0,7.0,46.0,58.0,37.0,62.0,51.0,54.0,15.0,25.0,30.0,18.0,9.0
4676,0.0,6.0,1.0,4.0,9.0,19.0,17.0,12.0,13.0,8.0,40.0,16.0,15.0,20.0,29.0,3.0,25.0,36.0,2.0,58.0,50.0,54.0,7.0,53.0,31.0,24.0,10.0,21.0,14.0,61.0
4725,3.0,8.0,18.0,2.0,1.0,12.0,42.0,24.0,16.0,21.0,20.0,10.0,33.0,28.0,9.0,41.0,14.0,17.0,0.0,7.0,63.0,4.0,23.0,35.0,44.0,30.0,11.0,31.0,6.0,36.0
4774,1.0,2.0,4.0,0.0,13.0,3.0,36.0,30.0,33.0,11.0,28.0,9.0,29.0,17.0,19.0,15.0,7.0,8.0,14.0,32.0,54.0,42.0,16.0,39.0,37.0,23.0,53.0,60.0,6.0,34.0
4823,1.0,6.0,16.0,4.0,2.0,5.0,3.0,44.0,23.0,0.0,66.0,10.0,46.0,21.0,14.0,26.0,42.0,7.0,12.0,40.0,17.0,29.0,28.0,52.0,38.0,41.0,20.0,57.0,22.0,39.0
4872,2.0,22.0,1.0,0.0,4.0,37.0,9.0,28.0,27.0,5.0,54.0,45.0,56.0,15.0,8.0,39.0,36.0,55.0,24.0,13.0,16.0,57.0,7.0,30.0,19.0,53.0,35.0,59.0,49.0,6.0
