,STOMACH,PROSTATE,OESOPHAGUS,HAEMATOPOIETIC,LARGE_INTESTINE,URINARY,GANGLIA,KIDNEY,AERODIGESTIVE,ENDOMETRIUM,PLEURA,BILIARY,SALIVARY,BONE,SOFT_TISSUE,BREAST,LIVER,PANCREAS,SKIN,THYROID,OVARY,NERVOUS,LUNG
1023,1.0,0.0,2.0,5.0,4.0,15.0,3.0,6.0,7.0,8.0,9.0,12.0,13.0,11.0,16.0,21.0,17.0,10.0,18.0,19.0,14.0,22.0,20.0
1072,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,17.0,22.0,18.0,19.0,20.0,15.0,21.0,16.0
1121,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,10.0,11.0,12.0,9.0,14.0,18.0,21.0,19.0,17.0,15.0,16.0,20.0,22.0
1170,1.0,0.0,2.0,5.0,4.0,20.0,3.0,6.0,7.0,8.0,10.0,11.0,12.0,9.0,13.0,15.0,21.0,16.0,14.0,17.0,18.0,19.0,22.0
1219,3.0,0.0,4.0,5.0,7.0,1.0,2.0,6.0,8.0,9.0,10.0,12.0,13.0,11.0,15.0,16.0,14.0,17.0,22.0,18.0,19.0,20.0,21.0
1268,0.0,7.0,1.0,3.0,2.0,11.0,8.0,4.0,5.0,6.0,9.0,10.0,12.0,15.0,16.0,18.0,14.0,13.0,17.0,19.0,20.0,21.0,22.0
1317,0.0,7.0,1.0,3.0,2.0,11.0,8.0,4.0,5.0,6.0,9.0,10.0,12.0,15.0,16.0,18.0,14.0,13.0,17.0,19.0,20.0,21.0,22.0
1366,1.0,7.0,2.0,4.0,3.0,22.0,8.0,0.0,5.0,6.0,13.0,10.0,11.0,9.0,12.0,15.0,21.0,16.0,14.0,17.0,18.0,19.0,20.0
1415,0.0,5.0,15.0,3.0,1.0,12.0,6.0,7.0,2.0,4.0,8.0,10.0,13.0,9.0,11.0,19.0,16.0,14.0,17.0,18.0,20.0,21.0,22.0
1464,1.0,0.0,2.0,5.0,4.0,15.0,3.0,6.0,7.0,8.0,12.0,16.0,10.0,11.0,17.0,20.0,18.0,13.0,19.0,21.0,14.0,22.0,9.0
1513,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
1562,1.0,0.0,2.0,4.0,3.0,16.0,10.0,5.0,6.0,7.0,9.0,12.0,13.0,11.0,8.0,18.0,21.0,19.0,17.0,14.0,15.0,20.0,22.0
1611,0.0,6.0,9.0,2.0,1.0,11.0,7.0,3.0,4.0,5.0,8.0,10.0,12.0,14.0,15.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
1660,1.0,0.0,2.0,5.0,4.0,12.0,3.0,6.0,7.0,8.0,9.0,10.0,13.0,14.0,15.0,19.0,17.0,20.0,18.0,16.0,11.0,21.0,22.0
1709,0.0,6.0,7.0,2.0,1.0,11.0,9.0,3.0,4.0,5.0,8.0,10.0,12.0,14.0,15.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
1758,0.0,7.0,1.0,3.0,2.0,19.0,8.0,4.0,5.0,6.0,9.0,10.0,11.0,13.0,21.0,15.0,12.0,16.0,14.0,22.0,17.0,18.0,20.0
1807,0.0,8.0,20.0,3.0,1.0,12.0,6.0,4.0,2.0,5.0,7.0,10.0,9.0,14.0,21.0,17.0,13.0,18.0,15.0,16.0,11.0,19.0,22.0
1856,1.0,0.0,2.0,5.0,4.0,11.0,3.0,6.0,7.0,8.0,9.0,10.0,12.0,14.0,15.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
1905,1.0,0.0,10.0,7.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,12.0,13.0,11.0,14.0,16.0,22.0,17.0,18.0,19.0,15.0,20.0,21.0
1954,0.0,5.0,6.0,2.0,1.0,11.0,7.0,8.0,3.0,4.0,9.0,10.0,12.0,13.0,15.0,17.0,14.0,18.0,16.0,19.0,20.0,21.0,22.0
2003,0.0,4.0,6.0,7.0,8.0,5.0,1.0,2.0,9.0,3.0,10.0,11.0,12.0,14.0,15.0,17.0,21.0,18.0,19.0,16.0,13.0,20.0,22.0
2052,1.0,0.0,3.0,4.0,6.0,2.0,10.0,5.0,7.0,8.0,9.0,12.0,13.0,11.0,14.0,17.0,16.0,18.0,19.0,20.0,15.0,21.0,22.0
2101,3.0,2.0,5.0,0.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,18.0,17.0,19.0,20.0,16.0,15.0,21.0,22.0
2150,1.0,0.0,3.0,5.0,6.0,2.0,4.0,13.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,19.0,21.0,15.0,18.0,16.0,17.0,20.0,22.0
2199,3.0,2.0,5.0,0.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,18.0,17.0,19.0,20.0,16.0,15.0,21.0,22.0
2248,3.0,2.0,5.0,0.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,18.0,22.0,19.0,20.0,16.0,15.0,21.0,17.0
2297,3.0,2.0,5.0,0.0,1.0,4.0,11.0,6.0,7.0,8.0,9.0,12.0,13.0,10.0,14.0,18.0,17.0,19.0,20.0,16.0,15.0,21.0,22.0
2346,4.0,3.0,0.0,7.0,1.0,5.0,6.0,8.0,9.0,10.0,2.0,12.0,13.0,11.0,14.0,16.0,21.0,17.0,18.0,15.0,19.0,20.0,22.0
2395,0.0,10.0,1.0,4.0,3.0,15.0,2.0,5.0,6.0,8.0,9.0,12.0,13.0,11.0,16.0,17.0,21.0,7.0,18.0,19.0,14.0,20.0,22.0
2444,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,12.0,13.0,11.0,15.0,17.0,21.0,18.0,19.0,16.0,14.0,20.0,22.0
2493,1.0,0.0,2.0,5.0,4.0,12.0,3.0,6.0,7.0,8.0,16.0,10.0,13.0,9.0,15.0,18.0,14.0,19.0,17.0,20.0,11.0,21.0,22.0
2542,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,16.0,21.0,17.0,15.0,18.0,19.0,20.0,22.0
2591,0.0,6.0,1.0,3.0,2.0,20.0,7.0,8.0,4.0,5.0,9.0,11.0,12.0,10.0,13.0,15.0,21.0,16.0,14.0,17.0,18.0,19.0,22.0
2640,0.0,9.0,1.0,3.0,2.0,13.0,10.0,4.0,5.0,6.0,7.0,11.0,12.0,8.0,14.0,16.0,21.0,17.0,15.0,18.0,19.0,20.0,22.0
2689,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,16.0,21.0,17.0,15.0,18.0,19.0,20.0,22.0
2738,3.0,2.0,5.0,0.0,8.0,4.0,6.0,7.0,9.0,1.0,11.0,12.0,13.0,10.0,14.0,18.0,22.0,16.0,19.0,20.0,15.0,21.0,17.0
2787,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,16.0,21.0,17.0,15.0,18.0,19.0,20.0,22.0
2836,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,16.0,21.0,17.0,15.0,18.0,19.0,20.0,22.0
2885,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,9.0,10.0,14.0,15.0,11.0,18.0,16.0,19.0,17.0,20.0,12.0,21.0,22.0
2934,0.0,6.0,8.0,1.0,3.0,7.0,9.0,2.0,4.0,5.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2983,10.0,3.0,4.0,1.0,0.0,9.0,5.0,2.0,6.0,7.0,12.0,13.0,11.0,18.0,16.0,20.0,17.0,15.0,22.0,19.0,14.0,21.0,8.0
3032,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3081,2.0,0.0,1.0,5.0,7.0,3.0,4.0,6.0,8.0,10.0,11.0,14.0,13.0,19.0,15.0,21.0,20.0,9.0,22.0,17.0,16.0,18.0,12.0
3130,3.0,9.0,8.0,0.0,2.0,7.0,4.0,1.0,5.0,6.0,10.0,11.0,12.0,14.0,15.0,16.0,22.0,17.0,18.0,19.0,20.0,21.0,13.0
3179,1.0,0.0,2.0,5.0,4.0,11.0,3.0,6.0,7.0,8.0,9.0,13.0,12.0,15.0,16.0,18.0,14.0,19.0,17.0,20.0,21.0,22.0,10.0
3228,8.0,0.0,13.0,9.0,2.0,7.0,1.0,5.0,3.0,4.0,12.0,14.0,11.0,19.0,10.0,20.0,18.0,21.0,17.0,15.0,16.0,22.0,6.0
3277,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3326,3.0,0.0,1.0,6.0,8.0,13.0,4.0,7.0,2.0,9.0,10.0,11.0,12.0,16.0,15.0,17.0,14.0,22.0,18.0,19.0,5.0,20.0,21.0
3375,1.0,0.0,3.0,4.0,6.0,2.0,10.0,5.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3424,0.0,6.0,1.0,2.0,3.0,7.0,8.0,11.0,4.0,5.0,15.0,10.0,9.0,14.0,12.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
3473,0.0,6.0,1.0,3.0,2.0,11.0,7.0,8.0,4.0,5.0,9.0,10.0,12.0,14.0,15.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
3522,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3571,7.0,0.0,2.0,3.0,9.0,1.0,8.0,4.0,5.0,6.0,10.0,13.0,12.0,14.0,16.0,17.0,15.0,18.0,19.0,20.0,22.0,21.0,11.0
3620,7.0,0.0,13.0,8.0,2.0,12.0,1.0,5.0,3.0,4.0,11.0,14.0,10.0,15.0,9.0,20.0,18.0,21.0,17.0,16.0,19.0,22.0,6.0
3669,6.0,0.0,1.0,2.0,9.0,7.0,8.0,3.0,4.0,5.0,10.0,13.0,12.0,14.0,15.0,18.0,17.0,19.0,20.0,16.0,21.0,22.0,11.0
3718,0.0,6.0,1.0,2.0,3.0,7.0,8.0,11.0,4.0,5.0,9.0,10.0,12.0,14.0,15.0,17.0,13.0,18.0,16.0,19.0,20.0,21.0,22.0
3767,0.0,2.0,4.0,5.0,7.0,3.0,1.0,6.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,18.0,15.0,16.0,19.0,17.0,20.0,21.0,22.0
3816,0.0,8.0,9.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,10.0,13.0,12.0,14.0,16.0,17.0,22.0,15.0,18.0,19.0,20.0,21.0,11.0
3865,0.0,5.0,1.0,2.0,3.0,6.0,8.0,7.0,4.0,9.0,18.0,13.0,12.0,17.0,11.0,14.0,16.0,15.0,19.0,20.0,21.0,22.0,10.0
3914,8.0,0.0,1.0,9.0,2.0,7.0,13.0,5.0,3.0,4.0,12.0,14.0,10.0,11.0,15.0,20.0,16.0,21.0,18.0,17.0,19.0,22.0,6.0
3963,0.0,7.0,8.0,1.0,2.0,3.0,9.0,4.0,5.0,6.0,15.0,10.0,12.0,13.0,11.0,16.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
4012,1.0,0.0,3.0,4.0,6.0,2.0,9.0,5.0,7.0,8.0,14.0,11.0,12.0,10.0,13.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4061,0.0,6.0,13.0,2.0,1.0,7.0,8.0,3.0,4.0,5.0,16.0,10.0,9.0,15.0,11.0,18.0,14.0,12.0,17.0,19.0,20.0,21.0,22.0
4110,1.0,0.0,2.0,5.0,4.0,13.0,3.0,6.0,7.0,8.0,15.0,10.0,14.0,9.0,11.0,18.0,16.0,19.0,17.0,20.0,12.0,21.0,22.0
4159,0.0,10.0,2.0,4.0,6.0,1.0,3.0,5.0,7.0,9.0,14.0,11.0,12.0,13.0,8.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4208,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,16.0,15.0,14.0,18.0,12.0,19.0,10.0,20.0,21.0,17.0,13.0,22.0,11.0
4257,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,17.0,16.0,18.0,19.0,20.0,15.0,21.0,22.0
4306,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,15.0,10.0,12.0,14.0,16.0,17.0,13.0,18.0,19.0,20.0,11.0,21.0,22.0
4355,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,15.0,10.0,12.0,14.0,11.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
4404,0.0,6.0,9.0,2.0,3.0,1.0,7.0,8.0,4.0,5.0,15.0,10.0,12.0,14.0,11.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
4453,13.0,0.0,1.0,4.0,3.0,2.0,8.0,5.0,6.0,7.0,9.0,10.0,14.0,16.0,17.0,19.0,15.0,20.0,18.0,11.0,12.0,21.0,22.0
4502,1.0,0.0,3.0,5.0,7.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4551,3.0,8.0,7.0,0.0,4.0,6.0,20.0,1.0,2.0,5.0,9.0,10.0,13.0,16.0,11.0,18.0,15.0,19.0,17.0,14.0,12.0,21.0,22.0
4600,0.0,2.0,13.0,7.0,3.0,1.0,12.0,8.0,4.0,5.0,10.0,14.0,9.0,18.0,16.0,21.0,17.0,19.0,20.0,15.0,11.0,22.0,6.0
4649,0.0,6.0,7.0,1.0,3.0,20.0,9.0,2.0,4.0,5.0,13.0,11.0,12.0,10.0,14.0,15.0,21.0,16.0,17.0,18.0,8.0,19.0,22.0
4698,3.0,7.0,0.0,1.0,5.0,8.0,9.0,4.0,2.0,6.0,16.0,10.0,12.0,15.0,17.0,18.0,14.0,19.0,20.0,13.0,11.0,21.0,22.0
4747,0.0,5.0,6.0,7.0,3.0,1.0,9.0,2.0,8.0,4.0,10.0,12.0,13.0,11.0,15.0,17.0,21.0,18.0,19.0,16.0,14.0,20.0,22.0
4796,1.0,0.0,7.0,8.0,4.0,2.0,10.0,3.0,9.0,5.0,6.0,11.0,12.0,16.0,13.0,17.0,20.0,22.0,18.0,14.0,15.0,19.0,21.0
4845,5.0,0.0,6.0,7.0,3.0,1.0,9.0,2.0,8.0,4.0,10.0,12.0,13.0,11.0,15.0,17.0,21.0,18.0,19.0,16.0,14.0,20.0,22.0
4894,1.0,0.0,10.0,4.0,6.0,2.0,11.0,5.0,7.0,8.0,9.0,12.0,13.0,16.0,14.0,18.0,17.0,19.0,20.0,15.0,3.0,21.0,22.0
