,niacinamide,C18:0 LPC,serine,guanosine,dCMP,isocitrate,N-carbamoyl-beta-alanine,cotinine,uracil,valerylcarnitine,glutamine,palmitoylcarnitine,phosphocreatine,1-methylnicotinamide,serotonin,C36:4 PC-B,adenosine,inositol,2-deoxyadenosine,C16:0 LPE,UMP,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,asparagine,C22:6 LPC,C22:6 LPE,C56:5 TAG,creatinine,GABA,C36:1 DAG
1051,0.0,20.0,5.0,1.0,4.0,9.0,3.0,8.0,12.0,2.0,23.0,19.0,21.0,13.0,14.0,18.0,26.0,6.0,41.0,27.0,30.0,53.0,57.0,32.0,15.0,24.0,52.0,46.0,11.0,25.0
1100,0.0,9.0,10.0,2.0,1.0,5.0,7.0,6.0,4.0,3.0,8.0,26.0,21.0,22.0,23.0,40.0,12.0,15.0,30.0,45.0,39.0,48.0,19.0,16.0,11.0,41.0,32.0,42.0,18.0,13.0
1149,0.0,14.0,2.0,6.0,3.0,7.0,28.0,16.0,5.0,1.0,13.0,8.0,17.0,4.0,10.0,29.0,9.0,12.0,40.0,47.0,27.0,25.0,41.0,36.0,11.0,43.0,51.0,55.0,21.0,24.0
1198,0.0,14.0,15.0,1.0,2.0,3.0,13.0,4.0,10.0,11.0,5.0,18.0,28.0,12.0,31.0,19.0,8.0,25.0,33.0,35.0,9.0,41.0,7.0,20.0,6.0,21.0,46.0,51.0,26.0,38.0
1247,0.0,6.0,4.0,1.0,7.0,5.0,12.0,2.0,15.0,3.0,10.0,8.0,24.0,19.0,18.0,44.0,9.0,29.0,25.0,31.0,13.0,40.0,17.0,16.0,11.0,23.0,35.0,30.0,36.0,20.0
1296,0.0,14.0,3.0,12.0,5.0,4.0,11.0,1.0,13.0,2.0,9.0,25.0,19.0,15.0,18.0,28.0,6.0,7.0,36.0,32.0,35.0,53.0,16.0,33.0,8.0,22.0,42.0,44.0,20.0,23.0
1345,1.0,10.0,7.0,8.0,0.0,4.0,18.0,6.0,3.0,5.0,33.0,27.0,17.0,2.0,16.0,24.0,15.0,11.0,35.0,14.0,34.0,40.0,30.0,31.0,29.0,45.0,43.0,38.0,20.0,9.0
1394,4.0,21.0,1.0,5.0,17.0,6.0,0.0,15.0,14.0,3.0,7.0,11.0,13.0,22.0,18.0,25.0,20.0,28.0,12.0,19.0,8.0,46.0,2.0,31.0,16.0,26.0,43.0,36.0,23.0,24.0
1443,0.0,11.0,13.0,9.0,3.0,1.0,16.0,15.0,2.0,6.0,20.0,7.0,19.0,5.0,31.0,36.0,8.0,4.0,32.0,25.0,23.0,29.0,45.0,44.0,12.0,43.0,28.0,51.0,22.0,14.0
1492,1.0,5.0,14.0,0.0,27.0,38.0,13.0,20.0,9.0,7.0,2.0,3.0,8.0,23.0,19.0,6.0,35.0,17.0,11.0,4.0,32.0,29.0,25.0,10.0,15.0,46.0,21.0,28.0,44.0,45.0
1541,6.0,0.0,7.0,3.0,8.0,13.0,2.0,12.0,4.0,9.0,1.0,14.0,17.0,20.0,5.0,19.0,31.0,25.0,43.0,21.0,22.0,10.0,40.0,18.0,41.0,49.0,35.0,36.0,23.0,44.0
1590,2.0,0.0,4.0,6.0,5.0,17.0,19.0,9.0,10.0,29.0,7.0,14.0,3.0,11.0,1.0,38.0,8.0,23.0,12.0,15.0,27.0,26.0,22.0,13.0,34.0,52.0,18.0,21.0,31.0,24.0
1639,0.0,3.0,5.0,1.0,18.0,11.0,2.0,19.0,7.0,10.0,12.0,15.0,8.0,38.0,6.0,4.0,27.0,16.0,32.0,22.0,23.0,29.0,37.0,13.0,34.0,60.0,28.0,24.0,9.0,14.0
1688,2.0,0.0,24.0,1.0,7.0,3.0,9.0,12.0,32.0,34.0,6.0,5.0,23.0,18.0,4.0,13.0,20.0,29.0,31.0,16.0,15.0,40.0,35.0,10.0,21.0,42.0,11.0,37.0,28.0,39.0
1737,1.0,0.0,11.0,5.0,21.0,3.0,4.0,24.0,15.0,6.0,10.0,2.0,8.0,37.0,7.0,20.0,14.0,18.0,35.0,31.0,12.0,19.0,17.0,23.0,28.0,42.0,13.0,27.0,38.0,32.0
1786,1.0,4.0,6.0,7.0,8.0,15.0,0.0,43.0,19.0,14.0,2.0,3.0,11.0,31.0,18.0,5.0,32.0,26.0,36.0,23.0,16.0,47.0,20.0,12.0,22.0,49.0,13.0,25.0,37.0,24.0
1835,2.0,5.0,1.0,7.0,28.0,11.0,0.0,38.0,12.0,14.0,3.0,6.0,10.0,33.0,16.0,4.0,15.0,19.0,9.0,36.0,42.0,31.0,39.0,8.0,29.0,30.0,20.0,27.0,17.0,21.0
1884,0.0,1.0,12.0,4.0,11.0,9.0,3.0,6.0,2.0,13.0,5.0,8.0,7.0,36.0,28.0,35.0,17.0,27.0,18.0,15.0,14.0,20.0,34.0,21.0,37.0,23.0,19.0,47.0,16.0,32.0
1933,1.0,3.0,7.0,5.0,41.0,14.0,0.0,20.0,21.0,19.0,2.0,6.0,13.0,24.0,9.0,4.0,33.0,26.0,40.0,8.0,31.0,35.0,22.0,10.0,32.0,42.0,29.0,30.0,23.0,17.0
1982,0.0,4.0,7.0,6.0,1.0,2.0,13.0,14.0,9.0,5.0,33.0,12.0,34.0,8.0,3.0,38.0,19.0,16.0,37.0,26.0,41.0,22.0,32.0,11.0,23.0,25.0,28.0,27.0,29.0,21.0
2031,0.0,19.0,1.0,3.0,4.0,12.0,15.0,8.0,5.0,6.0,33.0,7.0,26.0,14.0,2.0,25.0,28.0,18.0,20.0,16.0,10.0,17.0,21.0,32.0,34.0,11.0,31.0,22.0,38.0,51.0
2080,0.0,9.0,5.0,10.0,12.0,2.0,20.0,4.0,13.0,1.0,31.0,16.0,6.0,8.0,18.0,21.0,32.0,15.0,17.0,3.0,30.0,11.0,27.0,37.0,35.0,23.0,42.0,26.0,40.0,48.0
2129,3.0,8.0,1.0,6.0,0.0,2.0,7.0,25.0,9.0,10.0,26.0,19.0,36.0,4.0,43.0,12.0,14.0,21.0,11.0,5.0,16.0,38.0,29.0,30.0,50.0,18.0,15.0,17.0,39.0,34.0
2178,1.0,0.0,2.0,6.0,5.0,4.0,18.0,23.0,12.0,3.0,30.0,17.0,15.0,7.0,9.0,16.0,13.0,8.0,11.0,26.0,25.0,35.0,28.0,21.0,19.0,20.0,43.0,33.0,49.0,42.0
2227,0.0,3.0,16.0,6.0,5.0,1.0,2.0,7.0,4.0,11.0,17.0,8.0,40.0,15.0,10.0,19.0,22.0,28.0,9.0,13.0,12.0,35.0,25.0,32.0,34.0,21.0,42.0,23.0,29.0,52.0
2276,3.0,6.0,5.0,13.0,7.0,16.0,2.0,38.0,8.0,1.0,22.0,30.0,25.0,20.0,0.0,24.0,11.0,18.0,17.0,15.0,19.0,32.0,29.0,35.0,39.0,23.0,34.0,26.0,46.0,31.0
2325,1.0,9.0,0.0,7.0,6.0,13.0,16.0,44.0,18.0,17.0,52.0,4.0,21.0,8.0,5.0,23.0,10.0,11.0,27.0,2.0,19.0,20.0,31.0,28.0,33.0,15.0,37.0,22.0,36.0,51.0
2374,1.0,0.0,2.0,7.0,10.0,8.0,4.0,23.0,15.0,3.0,31.0,5.0,12.0,21.0,9.0,13.0,18.0,11.0,16.0,17.0,29.0,22.0,36.0,25.0,20.0,40.0,46.0,30.0,35.0,33.0
2423,0.0,4.0,5.0,2.0,6.0,3.0,13.0,11.0,7.0,1.0,29.0,10.0,8.0,17.0,19.0,20.0,15.0,18.0,9.0,12.0,24.0,35.0,30.0,36.0,34.0,21.0,40.0,45.0,43.0,33.0
2472,5.0,1.0,0.0,39.0,35.0,3.0,4.0,13.0,26.0,2.0,23.0,14.0,16.0,29.0,9.0,10.0,22.0,6.0,7.0,11.0,20.0,25.0,27.0,33.0,31.0,19.0,37.0,15.0,42.0,38.0
2521,1.0,0.0,3.0,22.0,2.0,4.0,9.0,23.0,19.0,25.0,29.0,8.0,13.0,28.0,12.0,35.0,30.0,10.0,5.0,24.0,38.0,33.0,7.0,42.0,18.0,36.0,6.0,20.0,37.0,17.0
2570,19.0,0.0,5.0,18.0,6.0,7.0,1.0,11.0,8.0,13.0,37.0,48.0,3.0,14.0,4.0,15.0,40.0,31.0,24.0,9.0,46.0,20.0,23.0,33.0,17.0,34.0,30.0,16.0,32.0,21.0
2619,2.0,1.0,6.0,9.0,8.0,0.0,5.0,10.0,4.0,38.0,26.0,45.0,3.0,15.0,20.0,30.0,39.0,22.0,13.0,17.0,19.0,35.0,12.0,41.0,34.0,48.0,21.0,29.0,23.0,16.0
2668,2.0,1.0,15.0,4.0,3.0,7.0,0.0,11.0,5.0,21.0,12.0,41.0,9.0,38.0,27.0,19.0,14.0,35.0,6.0,16.0,29.0,34.0,8.0,39.0,28.0,49.0,23.0,18.0,37.0,32.0
2717,2.0,1.0,0.0,14.0,7.0,5.0,11.0,12.0,3.0,15.0,33.0,4.0,22.0,24.0,6.0,17.0,36.0,8.0,10.0,45.0,38.0,20.0,21.0,40.0,32.0,23.0,31.0,28.0,13.0,16.0
2766,4.0,2.0,18.0,5.0,3.0,1.0,0.0,22.0,10.0,7.0,15.0,8.0,12.0,37.0,16.0,9.0,39.0,20.0,29.0,6.0,58.0,26.0,11.0,35.0,24.0,34.0,31.0,23.0,46.0,13.0
2815,1.0,3.0,24.0,9.0,2.0,10.0,29.0,0.0,4.0,5.0,35.0,14.0,21.0,13.0,15.0,20.0,27.0,40.0,7.0,25.0,34.0,12.0,11.0,23.0,36.0,26.0,17.0,19.0,8.0,46.0
2864,0.0,1.0,3.0,7.0,14.0,2.0,4.0,15.0,21.0,25.0,20.0,38.0,22.0,40.0,10.0,12.0,29.0,5.0,24.0,27.0,36.0,30.0,9.0,39.0,26.0,33.0,6.0,19.0,11.0,43.0
2913,11.0,3.0,12.0,5.0,6.0,9.0,0.0,32.0,1.0,18.0,21.0,8.0,4.0,40.0,13.0,16.0,20.0,27.0,15.0,17.0,50.0,22.0,2.0,35.0,25.0,24.0,7.0,23.0,36.0,30.0
2962,2.0,17.0,0.0,5.0,3.0,6.0,4.0,1.0,15.0,14.0,9.0,22.0,19.0,12.0,16.0,7.0,49.0,35.0,25.0,26.0,27.0,43.0,10.0,8.0,36.0,21.0,24.0,31.0,39.0,13.0
3011,0.0,12.0,3.0,4.0,1.0,5.0,2.0,9.0,14.0,8.0,10.0,33.0,7.0,25.0,6.0,15.0,36.0,13.0,41.0,32.0,39.0,47.0,26.0,17.0,21.0,23.0,16.0,19.0,22.0,18.0
3060,0.0,16.0,1.0,7.0,2.0,6.0,5.0,3.0,19.0,17.0,9.0,32.0,14.0,22.0,15.0,18.0,37.0,44.0,12.0,28.0,48.0,47.0,13.0,10.0,21.0,56.0,30.0,20.0,31.0,4.0
3109,4.0,8.0,2.0,1.0,0.0,9.0,13.0,6.0,15.0,31.0,7.0,23.0,30.0,35.0,10.0,3.0,43.0,37.0,39.0,26.0,48.0,51.0,24.0,32.0,18.0,36.0,45.0,21.0,12.0,14.0
3158,3.0,2.0,16.0,8.0,4.0,1.0,0.0,12.0,20.0,18.0,22.0,34.0,17.0,31.0,5.0,6.0,52.0,30.0,41.0,40.0,43.0,37.0,29.0,13.0,33.0,23.0,7.0,27.0,26.0,9.0
3207,1.0,0.0,2.0,4.0,8.0,5.0,3.0,15.0,10.0,9.0,12.0,19.0,6.0,13.0,22.0,26.0,46.0,20.0,29.0,30.0,41.0,47.0,21.0,18.0,14.0,24.0,16.0,42.0,31.0,7.0
3256,0.0,12.0,10.0,2.0,1.0,5.0,8.0,9.0,21.0,3.0,6.0,14.0,15.0,20.0,23.0,17.0,36.0,30.0,25.0,42.0,56.0,44.0,34.0,7.0,22.0,11.0,27.0,29.0,26.0,16.0
3305,1.0,10.0,0.0,6.0,3.0,5.0,9.0,22.0,18.0,11.0,8.0,23.0,19.0,13.0,2.0,4.0,32.0,15.0,7.0,28.0,46.0,39.0,33.0,14.0,35.0,34.0,36.0,25.0,20.0,21.0
3354,0.0,10.0,3.0,6.0,1.0,5.0,2.0,11.0,8.0,21.0,9.0,16.0,14.0,15.0,4.0,12.0,45.0,17.0,28.0,29.0,41.0,46.0,22.0,25.0,30.0,20.0,35.0,40.0,18.0,7.0
3403,1.0,4.0,3.0,2.0,5.0,13.0,14.0,12.0,40.0,21.0,6.0,19.0,11.0,0.0,20.0,7.0,38.0,34.0,30.0,17.0,46.0,26.0,15.0,24.0,45.0,23.0,25.0,16.0,29.0,8.0
3452,5.0,3.0,1.0,2.0,0.0,22.0,7.0,8.0,12.0,9.0,15.0,10.0,24.0,4.0,20.0,14.0,29.0,23.0,27.0,36.0,28.0,11.0,16.0,21.0,26.0,42.0,17.0,18.0,19.0,6.0
3501,3.0,7.0,2.0,5.0,0.0,4.0,37.0,12.0,14.0,15.0,31.0,30.0,35.0,8.0,1.0,13.0,26.0,6.0,23.0,19.0,27.0,10.0,38.0,25.0,32.0,47.0,29.0,21.0,11.0,33.0
3550,4.0,27.0,0.0,2.0,1.0,6.0,9.0,7.0,21.0,36.0,19.0,40.0,14.0,12.0,8.0,13.0,32.0,28.0,15.0,20.0,16.0,31.0,3.0,11.0,23.0,39.0,5.0,26.0,29.0,30.0
3599,17.0,4.0,0.0,5.0,3.0,2.0,6.0,10.0,1.0,15.0,16.0,12.0,39.0,7.0,13.0,11.0,23.0,18.0,37.0,35.0,24.0,8.0,14.0,19.0,20.0,38.0,9.0,28.0,30.0,34.0
3648,5.0,23.0,0.0,1.0,3.0,13.0,4.0,2.0,10.0,9.0,35.0,15.0,31.0,12.0,17.0,6.0,44.0,26.0,22.0,20.0,25.0,11.0,21.0,38.0,18.0,19.0,24.0,8.0,16.0,14.0
3697,5.0,40.0,0.0,3.0,7.0,9.0,4.0,23.0,1.0,26.0,30.0,8.0,31.0,2.0,10.0,21.0,25.0,13.0,15.0,27.0,22.0,18.0,14.0,28.0,11.0,38.0,12.0,45.0,20.0,36.0
3746,10.0,7.0,0.0,1.0,15.0,6.0,5.0,8.0,17.0,13.0,2.0,11.0,22.0,3.0,12.0,4.0,18.0,35.0,36.0,23.0,27.0,9.0,20.0,19.0,28.0,41.0,25.0,21.0,40.0,14.0
3795,11.0,20.0,2.0,1.0,8.0,4.0,15.0,0.0,13.0,23.0,21.0,36.0,24.0,3.0,12.0,9.0,14.0,19.0,6.0,17.0,7.0,5.0,29.0,28.0,45.0,18.0,27.0,22.0,32.0,10.0
3844,4.0,24.0,1.0,0.0,3.0,6.0,9.0,2.0,12.0,21.0,22.0,26.0,39.0,11.0,10.0,16.0,29.0,23.0,27.0,19.0,5.0,31.0,18.0,20.0,35.0,32.0,25.0,8.0,17.0,38.0
3893,2.0,6.0,1.0,7.0,0.0,5.0,4.0,11.0,10.0,15.0,31.0,22.0,9.0,3.0,12.0,28.0,20.0,44.0,27.0,18.0,17.0,8.0,42.0,30.0,24.0,39.0,23.0,19.0,14.0,25.0
3942,0.0,1.0,2.0,7.0,6.0,3.0,4.0,10.0,15.0,27.0,26.0,8.0,5.0,11.0,22.0,20.0,36.0,9.0,16.0,13.0,14.0,34.0,25.0,28.0,18.0,21.0,19.0,31.0,23.0,40.0
3991,0.0,3.0,1.0,16.0,6.0,4.0,9.0,10.0,20.0,52.0,18.0,17.0,27.0,5.0,22.0,30.0,2.0,11.0,26.0,13.0,19.0,8.0,47.0,34.0,31.0,21.0,29.0,12.0,14.0,41.0
4040,3.0,4.0,0.0,7.0,1.0,2.0,26.0,12.0,21.0,43.0,38.0,9.0,10.0,8.0,28.0,37.0,5.0,19.0,13.0,11.0,14.0,35.0,32.0,34.0,15.0,33.0,24.0,18.0,17.0,42.0
4089,1.0,0.0,10.0,24.0,15.0,2.0,27.0,5.0,13.0,41.0,34.0,6.0,4.0,17.0,20.0,42.0,3.0,23.0,14.0,30.0,8.0,19.0,29.0,38.0,22.0,25.0,7.0,18.0,33.0,31.0
4138,2.0,0.0,1.0,4.0,10.0,6.0,33.0,9.0,25.0,53.0,38.0,7.0,3.0,14.0,27.0,24.0,5.0,19.0,12.0,21.0,8.0,11.0,22.0,30.0,26.0,17.0,13.0,15.0,20.0,36.0
4187,2.0,3.0,0.0,24.0,27.0,4.0,8.0,17.0,36.0,38.0,13.0,6.0,1.0,19.0,22.0,46.0,16.0,18.0,14.0,29.0,10.0,5.0,31.0,37.0,30.0,9.0,23.0,21.0,32.0,43.0
4236,8.0,0.0,1.0,21.0,10.0,4.0,3.0,23.0,46.0,37.0,12.0,28.0,5.0,7.0,32.0,19.0,9.0,18.0,14.0,35.0,15.0,2.0,13.0,34.0,24.0,6.0,29.0,11.0,30.0,27.0
4285,5.0,0.0,6.0,14.0,4.0,12.0,1.0,10.0,15.0,17.0,18.0,3.0,30.0,7.0,41.0,29.0,2.0,23.0,13.0,35.0,19.0,24.0,38.0,36.0,20.0,9.0,37.0,28.0,11.0,42.0
4334,1.0,0.0,17.0,4.0,7.0,2.0,9.0,18.0,40.0,44.0,13.0,8.0,22.0,3.0,37.0,10.0,5.0,27.0,15.0,35.0,23.0,19.0,21.0,32.0,20.0,14.0,16.0,34.0,36.0,31.0
4383,1.0,2.0,12.0,9.0,3.0,0.0,6.0,23.0,38.0,34.0,19.0,14.0,13.0,5.0,45.0,26.0,4.0,11.0,25.0,16.0,28.0,39.0,18.0,22.0,15.0,37.0,8.0,20.0,27.0,10.0
4432,11.0,5.0,6.0,1.0,4.0,3.0,10.0,7.0,0.0,8.0,14.0,19.0,16.0,15.0,47.0,18.0,13.0,33.0,35.0,28.0,12.0,9.0,23.0,34.0,29.0,20.0,24.0,31.0,2.0,30.0
4481,5.0,9.0,7.0,3.0,0.0,1.0,2.0,14.0,11.0,8.0,4.0,26.0,6.0,15.0,35.0,33.0,13.0,39.0,40.0,31.0,38.0,25.0,10.0,24.0,28.0,36.0,44.0,37.0,16.0,30.0
4530,12.0,6.0,1.0,0.0,4.0,2.0,9.0,19.0,3.0,7.0,15.0,13.0,10.0,5.0,23.0,27.0,22.0,17.0,18.0,20.0,8.0,14.0,16.0,39.0,40.0,35.0,45.0,41.0,26.0,37.0
4579,20.0,2.0,0.0,1.0,7.0,11.0,5.0,13.0,8.0,23.0,3.0,4.0,30.0,15.0,16.0,24.0,9.0,22.0,21.0,36.0,29.0,14.0,28.0,26.0,27.0,47.0,32.0,40.0,6.0,18.0
4628,3.0,4.0,5.0,2.0,15.0,0.0,1.0,6.0,14.0,9.0,12.0,22.0,10.0,17.0,20.0,28.0,7.0,53.0,8.0,31.0,16.0,29.0,39.0,27.0,26.0,30.0,41.0,34.0,18.0,25.0
4677,7.0,3.0,20.0,0.0,4.0,1.0,10.0,17.0,16.0,9.0,2.0,11.0,8.0,6.0,15.0,14.0,12.0,26.0,39.0,43.0,22.0,5.0,13.0,41.0,35.0,38.0,54.0,36.0,25.0,29.0
4726,5.0,6.0,7.0,1.0,0.0,3.0,9.0,17.0,4.0,19.0,11.0,8.0,12.0,18.0,30.0,16.0,13.0,20.0,10.0,14.0,27.0,33.0,23.0,39.0,43.0,36.0,46.0,41.0,25.0,26.0
4775,5.0,6.0,4.0,1.0,0.0,2.0,3.0,20.0,8.0,18.0,9.0,7.0,10.0,15.0,40.0,31.0,16.0,36.0,11.0,21.0,14.0,32.0,13.0,29.0,33.0,53.0,25.0,39.0,27.0,24.0
4824,3.0,2.0,9.0,0.0,7.0,8.0,18.0,12.0,1.0,19.0,10.0,6.0,13.0,26.0,37.0,22.0,14.0,20.0,11.0,4.0,32.0,5.0,39.0,24.0,21.0,34.0,45.0,38.0,28.0,40.0
4873,8.0,6.0,3.0,22.0,7.0,0.0,2.0,44.0,4.0,17.0,1.0,23.0,10.0,15.0,41.0,27.0,5.0,19.0,9.0,39.0,12.0,20.0,48.0,11.0,13.0,42.0,37.0,45.0,25.0,29.0
