, JAK-STAT, MAPK_PI3K, TGFB, VEGF, Wnt, IL-1, MAPK_only, PI3K_only, H2O2, TLR, TNFa
2588,5.0,0.0,4.0,3.0,1.0,2.0,7.0,10.0,6.0,8.0,9.0
2637,7.0,1.0,4.0,6.0,0.0,8.0,9.0,3.0,5.0,10.0,2.0
2686,8.0,1.0,0.0,2.0,6.0,9.0,4.0,5.0,3.0,10.0,7.0
2735,6.0,0.0,1.0,2.0,3.0,8.0,5.0,9.0,4.0,10.0,7.0
2784,2.0,1.0,0.0,3.0,4.0,9.0,5.0,8.0,6.0,10.0,7.0
2833,5.0,0.0,2.0,8.0,4.0,6.0,7.0,1.0,3.0,9.0,10.0
2882,3.0,0.0,1.0,4.0,9.0,2.0,8.0,6.0,7.0,10.0,5.0
2931,4.0,0.0,8.0,2.0,9.0,3.0,1.0,7.0,5.0,10.0,6.0
2980,5.0,0.0,1.0,3.0,2.0,4.0,8.0,10.0,7.0,9.0,6.0
3029,0.0,1.0,4.0,5.0,9.0,3.0,8.0,10.0,6.0,7.0,2.0
3078,7.0,0.0,3.0,2.0,4.0,9.0,8.0,1.0,5.0,6.0,10.0
3127,0.0,4.0,7.0,2.0,6.0,1.0,8.0,10.0,9.0,3.0,5.0
3176,1.0,2.0,9.0,6.0,5.0,0.0,7.0,10.0,4.0,8.0,3.0
3225,0.0,6.0,1.0,3.0,2.0,5.0,10.0,7.0,9.0,4.0,8.0
3274,0.0,1.0,2.0,4.0,3.0,7.0,10.0,6.0,9.0,8.0,5.0
3323,4.0,0.0,1.0,8.0,2.0,5.0,3.0,6.0,10.0,7.0,9.0
3372,1.0,0.0,9.0,7.0,2.0,6.0,4.0,8.0,3.0,10.0,5.0
3421,3.0,0.0,1.0,8.0,2.0,4.0,9.0,5.0,7.0,10.0,6.0
3470,0.0,3.0,2.0,1.0,10.0,7.0,8.0,5.0,6.0,4.0,9.0
3519,1.0,0.0,4.0,2.0,10.0,7.0,9.0,6.0,3.0,5.0,8.0
3568,0.0,1.0,8.0,2.0,9.0,6.0,7.0,10.0,5.0,3.0,4.0
3617,4.0,0.0,8.0,1.0,5.0,10.0,7.0,6.0,9.0,3.0,2.0
3666,0.0,5.0,7.0,3.0,4.0,1.0,10.0,8.0,9.0,2.0,6.0
3715,1.0,0.0,8.0,10.0,9.0,5.0,7.0,3.0,2.0,4.0,6.0
3764,0.0,1.0,4.0,3.0,10.0,9.0,8.0,5.0,7.0,2.0,6.0
3813,0.0,6.0,8.0,4.0,3.0,5.0,9.0,1.0,10.0,2.0,7.0
3862,1.0,4.0,2.0,0.0,7.0,3.0,8.0,5.0,10.0,9.0,6.0
3911,0.0,1.0,2.0,3.0,7.0,10.0,8.0,9.0,6.0,5.0,4.0
3960,8.0,0.0,1.0,4.0,5.0,7.0,2.0,6.0,10.0,3.0,9.0
4009,3.0,0.0,1.0,2.0,10.0,6.0,9.0,7.0,4.0,8.0,5.0
4058,3.0,2.0,0.0,1.0,10.0,6.0,7.0,9.0,8.0,4.0,5.0
4107,8.0,0.0,9.0,4.0,7.0,1.0,5.0,6.0,3.0,10.0,2.0
4156,1.0,0.0,9.0,8.0,2.0,10.0,5.0,7.0,6.0,4.0,3.0
4205,1.0,0.0,2.0,4.0,5.0,6.0,10.0,9.0,7.0,8.0,3.0
4254,1.0,0.0,3.0,5.0,6.0,7.0,4.0,2.0,9.0,10.0,8.0
4303,5.0,0.0,9.0,2.0,8.0,3.0,1.0,10.0,7.0,4.0,6.0
4352,1.0,3.0,0.0,10.0,4.0,8.0,5.0,7.0,6.0,9.0,2.0
4401,2.0,0.0,1.0,5.0,9.0,8.0,4.0,6.0,10.0,7.0,3.0
4450,1.0,0.0,4.0,3.0,5.0,7.0,2.0,6.0,10.0,9.0,8.0
4499,6.0,8.0,10.0,0.0,7.0,2.0,3.0,4.0,9.0,1.0,5.0
4548,9.0,1.0,7.0,3.0,0.0,8.0,2.0,10.0,5.0,4.0,6.0
4597,3.0,7.0,9.0,6.0,2.0,5.0,0.0,4.0,10.0,1.0,8.0
4646,4.0,2.0,7.0,5.0,10.0,6.0,1.0,9.0,0.0,3.0,8.0
4695,2.0,1.0,7.0,0.0,8.0,4.0,3.0,10.0,9.0,6.0,5.0
4744,0.0,1.0,8.0,2.0,9.0,4.0,5.0,10.0,7.0,6.0,3.0
4793,8.0,3.0,10.0,5.0,2.0,1.0,4.0,0.0,9.0,7.0,6.0
4842,7.0,1.0,8.0,6.0,3.0,9.0,0.0,5.0,2.0,4.0,10.0
4891,8.0,0.0,10.0,4.0,7.0,2.0,5.0,9.0,1.0,6.0,3.0
