,XBP1,RSK1-2-3,4E-BP1,AMPK_pT172,PRDX1,p38_pT180_Y182,Caveolin-1,Bcl-2,Cyclin_D1,CD31,SHP-2_pY542,c-Kit,Bax,beta Actin,C-Raf_pS338,4E-BP1_pT70,Cyclin_E1,Src_pY416,STAT5-alpha,Annexin 1,Bad_pS112,EGFR_pY1068,Cyclin_B1,JNK2,p62 Lck ligand,MDMX_MDM4(BetIHC-00108),p27_pT157,p38_MAPK,MSH6,Lck
493,0.0,1.0,2.0,3.0,4.0,11.0,7.0,17.0,6.0,9.0,19.0,14.0,10.0,15.0,8.0,5.0,12.0,40.0,44.0,16.0,84.0,102.0,116.0,39.0,61.0,35.0,66.0,65.0,25.0,38.0
542,2.0,0.0,1.0,4.0,9.0,8.0,3.0,14.0,13.0,6.0,15.0,16.0,86.0,5.0,7.0,22.0,11.0,44.0,33.0,92.0,18.0,31.0,26.0,45.0,47.0,10.0,61.0,48.0,43.0,23.0
591,1.0,3.0,2.0,0.0,14.0,5.0,4.0,7.0,11.0,9.0,15.0,16.0,17.0,10.0,12.0,6.0,112.0,103.0,13.0,88.0,84.0,98.0,113.0,35.0,135.0,31.0,45.0,22.0,43.0,34.0
640,1.0,0.0,2.0,4.0,13.0,12.0,6.0,7.0,5.0,10.0,16.0,21.0,24.0,8.0,3.0,9.0,18.0,74.0,28.0,96.0,17.0,19.0,121.0,26.0,35.0,27.0,30.0,11.0,37.0,42.0
689,3.0,0.0,1.0,2.0,6.0,9.0,4.0,10.0,12.0,5.0,64.0,7.0,11.0,15.0,14.0,19.0,8.0,60.0,58.0,116.0,17.0,82.0,16.0,33.0,37.0,36.0,46.0,13.0,41.0,34.0
738,1.0,0.0,3.0,2.0,10.0,4.0,8.0,6.0,16.0,5.0,15.0,13.0,11.0,7.0,12.0,102.0,9.0,25.0,71.0,17.0,21.0,14.0,125.0,32.0,46.0,47.0,37.0,26.0,43.0,33.0
787,0.0,2.0,3.0,1.0,13.0,11.0,4.0,26.0,7.0,8.0,12.0,9.0,17.0,5.0,6.0,14.0,20.0,21.0,113.0,99.0,10.0,22.0,18.0,47.0,66.0,42.0,69.0,68.0,44.0,39.0
836,3.0,0.0,1.0,2.0,5.0,4.0,7.0,13.0,16.0,6.0,56.0,80.0,9.0,11.0,14.0,18.0,12.0,46.0,20.0,91.0,19.0,127.0,126.0,30.0,21.0,22.0,27.0,61.0,44.0,34.0
885,0.0,1.0,5.0,2.0,11.0,8.0,4.0,9.0,3.0,7.0,20.0,12.0,24.0,6.0,10.0,16.0,14.0,59.0,22.0,96.0,26.0,17.0,25.0,80.0,38.0,39.0,49.0,48.0,29.0,30.0
934,1.0,0.0,3.0,2.0,12.0,7.0,6.0,10.0,4.0,5.0,8.0,18.0,16.0,20.0,29.0,14.0,22.0,25.0,101.0,32.0,83.0,28.0,30.0,42.0,62.0,9.0,54.0,11.0,71.0,19.0
983,2.0,0.0,1.0,4.0,9.0,8.0,14.0,13.0,5.0,3.0,12.0,21.0,82.0,15.0,6.0,16.0,112.0,17.0,10.0,23.0,19.0,107.0,113.0,18.0,65.0,35.0,11.0,67.0,32.0,7.0
1032,0.0,1.0,2.0,6.0,8.0,4.0,23.0,91.0,12.0,3.0,9.0,7.0,92.0,86.0,14.0,17.0,122.0,10.0,5.0,21.0,22.0,26.0,27.0,19.0,73.0,20.0,61.0,49.0,40.0,11.0
1081,0.0,2.0,1.0,3.0,4.0,7.0,26.0,9.0,31.0,8.0,5.0,12.0,104.0,98.0,14.0,15.0,29.0,20.0,18.0,17.0,13.0,22.0,84.0,10.0,41.0,38.0,46.0,45.0,42.0,6.0
1130,0.0,2.0,1.0,3.0,4.0,6.0,13.0,8.0,9.0,5.0,7.0,12.0,20.0,74.0,15.0,14.0,25.0,18.0,10.0,85.0,16.0,108.0,100.0,11.0,51.0,29.0,56.0,55.0,58.0,28.0
1179,2.0,1.0,0.0,5.0,4.0,9.0,13.0,7.0,14.0,10.0,3.0,25.0,81.0,12.0,21.0,6.0,108.0,11.0,16.0,23.0,83.0,18.0,109.0,19.0,66.0,45.0,28.0,46.0,39.0,40.0
1228,2.0,1.0,0.0,10.0,6.0,11.0,18.0,21.0,9.0,5.0,3.0,25.0,98.0,94.0,12.0,14.0,23.0,8.0,4.0,27.0,19.0,7.0,16.0,62.0,35.0,17.0,39.0,38.0,46.0,31.0
1277,0.0,1.0,2.0,3.0,4.0,6.0,16.0,7.0,9.0,8.0,5.0,14.0,28.0,12.0,122.0,29.0,114.0,11.0,20.0,89.0,83.0,23.0,21.0,36.0,24.0,10.0,44.0,66.0,30.0,13.0
1326,1.0,0.0,2.0,3.0,4.0,6.0,12.0,19.0,10.0,5.0,7.0,24.0,80.0,22.0,13.0,17.0,115.0,9.0,16.0,25.0,28.0,23.0,117.0,11.0,15.0,37.0,21.0,71.0,31.0,18.0
1375,0.0,2.0,1.0,3.0,7.0,6.0,21.0,24.0,16.0,4.0,5.0,14.0,92.0,23.0,13.0,20.0,117.0,8.0,26.0,17.0,18.0,115.0,101.0,15.0,46.0,30.0,25.0,29.0,33.0,12.0
1424,0.0,2.0,1.0,9.0,3.0,4.0,7.0,91.0,10.0,11.0,6.0,8.0,92.0,12.0,15.0,5.0,117.0,16.0,26.0,19.0,13.0,18.0,118.0,25.0,29.0,24.0,27.0,31.0,37.0,22.0
1473,0.0,1.0,2.0,5.0,8.0,3.0,9.0,14.0,12.0,10.0,11.0,7.0,20.0,4.0,6.0,15.0,26.0,16.0,24.0,28.0,97.0,21.0,17.0,81.0,33.0,27.0,37.0,36.0,44.0,74.0
1522,0.0,1.0,7.0,3.0,5.0,4.0,6.0,2.0,15.0,9.0,20.0,83.0,8.0,18.0,10.0,11.0,14.0,16.0,54.0,94.0,89.0,13.0,12.0,43.0,27.0,40.0,25.0,26.0,37.0,42.0
1571,0.0,2.0,3.0,1.0,11.0,4.0,10.0,6.0,8.0,5.0,9.0,7.0,24.0,17.0,14.0,16.0,26.0,29.0,15.0,123.0,101.0,28.0,13.0,23.0,54.0,25.0,35.0,19.0,46.0,50.0
1620,1.0,0.0,2.0,11.0,3.0,4.0,16.0,5.0,7.0,14.0,9.0,13.0,8.0,15.0,25.0,6.0,10.0,12.0,28.0,27.0,100.0,17.0,18.0,81.0,49.0,34.0,43.0,42.0,39.0,74.0
1669,0.0,1.0,7.0,9.0,4.0,2.0,8.0,3.0,14.0,6.0,17.0,5.0,12.0,10.0,11.0,19.0,13.0,16.0,55.0,98.0,107.0,23.0,21.0,45.0,29.0,41.0,33.0,31.0,39.0,44.0
1718,4.0,0.0,2.0,8.0,9.0,1.0,7.0,5.0,3.0,10.0,12.0,18.0,13.0,11.0,6.0,16.0,19.0,15.0,51.0,95.0,102.0,14.0,17.0,21.0,30.0,44.0,23.0,32.0,43.0,47.0
1767,1.0,0.0,3.0,5.0,12.0,10.0,8.0,4.0,2.0,7.0,11.0,6.0,9.0,21.0,14.0,13.0,17.0,16.0,26.0,86.0,117.0,82.0,15.0,79.0,40.0,32.0,43.0,30.0,31.0,72.0
1816,0.0,1.0,3.0,2.0,7.0,8.0,13.0,4.0,6.0,9.0,12.0,11.0,5.0,21.0,10.0,22.0,15.0,23.0,58.0,24.0,111.0,19.0,17.0,73.0,34.0,45.0,36.0,33.0,42.0,46.0
1865,1.0,0.0,2.0,3.0,5.0,6.0,19.0,7.0,11.0,8.0,10.0,16.0,4.0,15.0,9.0,12.0,20.0,14.0,21.0,97.0,95.0,118.0,123.0,26.0,42.0,25.0,31.0,29.0,44.0,40.0
1914,0.0,1.0,5.0,4.0,14.0,2.0,9.0,7.0,3.0,10.0,13.0,18.0,19.0,8.0,6.0,12.0,20.0,11.0,58.0,86.0,96.0,25.0,15.0,101.0,33.0,46.0,24.0,48.0,44.0,82.0
1963,0.0,1.0,2.0,4.0,3.0,9.0,5.0,12.0,8.0,10.0,6.0,13.0,93.0,90.0,28.0,14.0,21.0,19.0,22.0,7.0,95.0,24.0,91.0,27.0,46.0,15.0,34.0,18.0,26.0,43.0
2012,0.0,1.0,2.0,7.0,11.0,5.0,4.0,13.0,6.0,8.0,3.0,9.0,21.0,12.0,28.0,10.0,91.0,20.0,62.0,19.0,99.0,18.0,82.0,51.0,32.0,47.0,37.0,16.0,45.0,50.0
2061,1.0,0.0,4.0,5.0,2.0,14.0,6.0,22.0,9.0,8.0,3.0,7.0,17.0,87.0,16.0,19.0,20.0,15.0,25.0,27.0,88.0,13.0,24.0,46.0,35.0,42.0,29.0,26.0,40.0,45.0
2110,1.0,0.0,3.0,2.0,11.0,9.0,5.0,14.0,7.0,6.0,4.0,16.0,20.0,101.0,27.0,13.0,80.0,67.0,17.0,18.0,93.0,21.0,83.0,48.0,33.0,44.0,37.0,10.0,23.0,47.0
2159,0.0,1.0,4.0,11.0,5.0,6.0,3.0,24.0,7.0,8.0,2.0,10.0,13.0,31.0,15.0,21.0,17.0,23.0,19.0,9.0,103.0,26.0,34.0,52.0,38.0,49.0,42.0,14.0,47.0,51.0
2208,1.0,0.0,2.0,7.0,5.0,4.0,8.0,22.0,12.0,6.0,3.0,15.0,11.0,96.0,88.0,20.0,101.0,18.0,30.0,9.0,93.0,32.0,100.0,46.0,34.0,43.0,19.0,27.0,29.0,45.0
2257,0.0,1.0,4.0,8.0,5.0,10.0,7.0,16.0,6.0,17.0,3.0,2.0,20.0,30.0,29.0,14.0,22.0,67.0,19.0,28.0,98.0,13.0,103.0,47.0,64.0,25.0,34.0,18.0,43.0,46.0
2306,0.0,1.0,2.0,4.0,3.0,5.0,9.0,14.0,20.0,6.0,8.0,13.0,117.0,100.0,89.0,11.0,104.0,15.0,56.0,12.0,99.0,10.0,18.0,44.0,30.0,19.0,28.0,21.0,39.0,24.0
2355,0.0,1.0,3.0,8.0,5.0,6.0,10.0,7.0,9.0,4.0,2.0,12.0,14.0,31.0,18.0,22.0,32.0,37.0,13.0,26.0,97.0,15.0,30.0,101.0,19.0,57.0,29.0,24.0,54.0,83.0
2404,0.0,2.0,1.0,6.0,7.0,8.0,4.0,10.0,13.0,9.0,3.0,12.0,96.0,91.0,20.0,5.0,16.0,25.0,17.0,11.0,98.0,27.0,107.0,49.0,33.0,31.0,37.0,24.0,44.0,14.0
2453,0.0,3.0,1.0,4.0,8.0,11.0,7.0,6.0,2.0,9.0,14.0,5.0,15.0,27.0,12.0,17.0,22.0,105.0,24.0,10.0,86.0,117.0,28.0,30.0,68.0,38.0,71.0,48.0,25.0,41.0
2502,1.0,0.0,2.0,5.0,11.0,13.0,121.0,3.0,6.0,10.0,4.0,32.0,20.0,77.0,24.0,97.0,15.0,19.0,18.0,7.0,83.0,102.0,12.0,23.0,22.0,8.0,68.0,29.0,45.0,16.0
2551,0.0,1.0,2.0,4.0,3.0,15.0,12.0,7.0,5.0,10.0,16.0,6.0,11.0,97.0,96.0,8.0,25.0,56.0,17.0,14.0,9.0,102.0,85.0,71.0,27.0,23.0,22.0,46.0,41.0,45.0
2600,3.0,0.0,2.0,4.0,8.0,9.0,11.0,6.0,1.0,5.0,14.0,7.0,13.0,95.0,12.0,15.0,24.0,20.0,55.0,10.0,101.0,115.0,16.0,43.0,29.0,40.0,30.0,27.0,37.0,21.0
2649,2.0,0.0,1.0,7.0,5.0,11.0,6.0,3.0,4.0,10.0,13.0,12.0,21.0,90.0,8.0,15.0,16.0,20.0,58.0,9.0,94.0,26.0,19.0,18.0,43.0,33.0,46.0,47.0,36.0,31.0
2698,2.0,0.0,1.0,9.0,7.0,4.0,8.0,5.0,3.0,10.0,18.0,12.0,17.0,95.0,24.0,6.0,78.0,53.0,51.0,21.0,79.0,117.0,14.0,20.0,28.0,40.0,44.0,31.0,38.0,22.0
2747,3.0,0.0,5.0,2.0,1.0,12.0,8.0,4.0,7.0,14.0,13.0,6.0,11.0,92.0,21.0,101.0,10.0,60.0,24.0,16.0,22.0,86.0,23.0,81.0,26.0,32.0,39.0,48.0,36.0,76.0
2796,1.0,0.0,3.0,4.0,8.0,13.0,7.0,6.0,2.0,9.0,14.0,5.0,18.0,24.0,22.0,12.0,108.0,16.0,53.0,96.0,23.0,125.0,10.0,33.0,29.0,36.0,38.0,27.0,46.0,34.0
2845,1.0,0.0,2.0,3.0,4.0,8.0,10.0,7.0,5.0,6.0,16.0,11.0,9.0,87.0,12.0,13.0,103.0,23.0,18.0,15.0,24.0,119.0,21.0,26.0,31.0,43.0,47.0,28.0,40.0,45.0
2894,2.0,0.0,1.0,4.0,5.0,6.0,14.0,9.0,3.0,7.0,20.0,19.0,10.0,93.0,8.0,12.0,84.0,29.0,32.0,11.0,13.0,80.0,16.0,70.0,40.0,46.0,48.0,31.0,43.0,25.0
2943,0.0,3.0,1.0,4.0,2.0,16.0,5.0,9.0,7.0,19.0,8.0,11.0,6.0,10.0,13.0,107.0,17.0,20.0,18.0,24.0,27.0,14.0,86.0,45.0,31.0,41.0,47.0,32.0,22.0,44.0
2992,3.0,2.0,1.0,5.0,0.0,11.0,8.0,14.0,4.0,10.0,6.0,15.0,18.0,7.0,9.0,21.0,107.0,19.0,16.0,17.0,20.0,103.0,108.0,22.0,59.0,32.0,30.0,60.0,69.0,35.0
3041,0.0,2.0,1.0,5.0,4.0,13.0,7.0,25.0,8.0,18.0,11.0,9.0,6.0,10.0,3.0,21.0,20.0,117.0,22.0,16.0,14.0,103.0,116.0,37.0,63.0,44.0,46.0,65.0,29.0,120.0
3090,0.0,1.0,2.0,3.0,10.0,7.0,4.0,18.0,8.0,17.0,5.0,16.0,9.0,24.0,6.0,112.0,11.0,13.0,15.0,25.0,19.0,26.0,83.0,48.0,34.0,45.0,50.0,37.0,22.0,47.0
3139,0.0,1.0,3.0,7.0,4.0,66.0,8.0,5.0,2.0,6.0,20.0,17.0,11.0,13.0,16.0,97.0,21.0,10.0,14.0,15.0,87.0,109.0,114.0,38.0,25.0,34.0,24.0,67.0,26.0,37.0
3188,0.0,2.0,1.0,5.0,4.0,15.0,3.0,11.0,6.0,8.0,13.0,10.0,9.0,12.0,7.0,108.0,16.0,14.0,53.0,100.0,94.0,109.0,106.0,22.0,31.0,37.0,21.0,44.0,24.0,33.0
3237,0.0,2.0,4.0,1.0,3.0,24.0,10.0,8.0,9.0,5.0,14.0,18.0,6.0,17.0,19.0,95.0,11.0,46.0,26.0,7.0,16.0,111.0,118.0,23.0,29.0,39.0,15.0,49.0,36.0,42.0
3286,0.0,1.0,2.0,4.0,3.0,16.0,8.0,17.0,5.0,11.0,14.0,6.0,12.0,13.0,10.0,28.0,7.0,22.0,19.0,9.0,96.0,83.0,88.0,23.0,37.0,47.0,20.0,38.0,45.0,67.0
3335,0.0,2.0,3.0,4.0,1.0,42.0,5.0,22.0,10.0,9.0,11.0,8.0,7.0,13.0,6.0,101.0,106.0,56.0,26.0,16.0,27.0,113.0,105.0,14.0,12.0,34.0,19.0,44.0,18.0,31.0
3384,0.0,1.0,3.0,5.0,4.0,15.0,10.0,6.0,8.0,12.0,9.0,92.0,2.0,20.0,7.0,112.0,14.0,25.0,16.0,22.0,26.0,104.0,79.0,29.0,34.0,36.0,11.0,40.0,18.0,30.0
3433,1.0,0.0,2.0,3.0,6.0,4.0,7.0,14.0,15.0,9.0,5.0,17.0,13.0,26.0,11.0,10.0,16.0,8.0,24.0,95.0,25.0,19.0,20.0,48.0,18.0,45.0,35.0,28.0,43.0,47.0
3482,1.0,0.0,2.0,3.0,5.0,4.0,11.0,9.0,17.0,6.0,16.0,18.0,13.0,10.0,23.0,114.0,19.0,14.0,15.0,8.0,12.0,126.0,83.0,79.0,47.0,30.0,40.0,38.0,39.0,24.0
3531,1.0,0.0,4.0,3.0,5.0,2.0,6.0,8.0,14.0,9.0,10.0,21.0,17.0,7.0,13.0,26.0,15.0,25.0,12.0,83.0,11.0,18.0,22.0,19.0,16.0,47.0,38.0,37.0,45.0,49.0
3580,2.0,0.0,1.0,3.0,8.0,4.0,10.0,6.0,7.0,5.0,15.0,17.0,14.0,18.0,23.0,106.0,11.0,62.0,9.0,100.0,19.0,16.0,24.0,90.0,50.0,30.0,47.0,48.0,34.0,82.0
3629,0.0,1.0,2.0,3.0,12.0,9.0,4.0,5.0,7.0,6.0,16.0,95.0,8.0,15.0,17.0,112.0,10.0,24.0,14.0,78.0,91.0,120.0,21.0,22.0,27.0,18.0,45.0,29.0,38.0,23.0
3678,0.0,3.0,1.0,2.0,6.0,4.0,5.0,7.0,9.0,13.0,10.0,12.0,19.0,16.0,26.0,11.0,86.0,22.0,23.0,104.0,8.0,32.0,17.0,30.0,47.0,43.0,33.0,52.0,53.0,25.0
3727,0.0,1.0,3.0,2.0,4.0,6.0,8.0,9.0,13.0,7.0,10.0,11.0,14.0,5.0,15.0,101.0,112.0,12.0,26.0,20.0,16.0,22.0,21.0,18.0,29.0,43.0,32.0,27.0,41.0,46.0
3776,1.0,2.0,0.0,6.0,3.0,4.0,7.0,23.0,5.0,13.0,25.0,14.0,19.0,8.0,18.0,20.0,12.0,29.0,11.0,32.0,9.0,26.0,30.0,79.0,16.0,35.0,28.0,42.0,39.0,72.0
3825,1.0,0.0,2.0,5.0,3.0,4.0,7.0,6.0,10.0,12.0,14.0,13.0,8.0,9.0,15.0,102.0,18.0,16.0,19.0,96.0,11.0,20.0,107.0,32.0,21.0,35.0,30.0,46.0,37.0,33.0
3874,2.0,0.0,4.0,3.0,1.0,5.0,11.0,86.0,6.0,7.0,9.0,14.0,20.0,17.0,10.0,111.0,91.0,18.0,13.0,21.0,84.0,24.0,25.0,29.0,22.0,32.0,26.0,36.0,34.0,30.0
3923,0.0,2.0,1.0,5.0,9.0,10.0,22.0,13.0,15.0,16.0,7.0,4.0,3.0,6.0,31.0,17.0,87.0,14.0,8.0,11.0,125.0,81.0,28.0,64.0,39.0,49.0,27.0,21.0,47.0,24.0
3972,0.0,1.0,2.0,4.0,13.0,6.0,28.0,11.0,27.0,9.0,16.0,3.0,18.0,5.0,26.0,22.0,12.0,58.0,7.0,10.0,20.0,88.0,29.0,34.0,45.0,23.0,25.0,15.0,39.0,17.0
4021,0.0,1.0,6.0,3.0,2.0,5.0,24.0,10.0,124.0,22.0,21.0,7.0,12.0,4.0,8.0,13.0,130.0,18.0,9.0,99.0,95.0,28.0,17.0,46.0,19.0,42.0,47.0,31.0,39.0,45.0
4070,0.0,3.0,1.0,7.0,4.0,2.0,15.0,12.0,20.0,119.0,26.0,5.0,9.0,6.0,11.0,23.0,16.0,118.0,17.0,25.0,22.0,24.0,121.0,29.0,70.0,31.0,62.0,61.0,8.0,36.0
4119,2.0,0.0,1.0,4.0,3.0,7.0,8.0,5.0,14.0,25.0,13.0,6.0,9.0,12.0,10.0,15.0,119.0,56.0,16.0,21.0,22.0,118.0,107.0,28.0,30.0,42.0,26.0,32.0,18.0,45.0
4168,0.0,4.0,1.0,5.0,6.0,2.0,92.0,9.0,7.0,17.0,14.0,13.0,10.0,3.0,25.0,8.0,80.0,21.0,11.0,27.0,15.0,122.0,29.0,20.0,30.0,42.0,28.0,32.0,26.0,18.0
4217,0.0,5.0,1.0,2.0,9.0,3.0,29.0,7.0,28.0,12.0,15.0,6.0,19.0,4.0,23.0,8.0,22.0,20.0,21.0,11.0,30.0,25.0,16.0,81.0,39.0,18.0,44.0,41.0,49.0,74.0
4266,0.0,2.0,4.0,3.0,1.0,6.0,9.0,11.0,16.0,24.0,15.0,5.0,20.0,8.0,19.0,14.0,7.0,21.0,13.0,22.0,81.0,17.0,29.0,40.0,55.0,12.0,59.0,58.0,10.0,39.0
4315,3.0,2.0,0.0,1.0,10.0,7.0,29.0,14.0,11.0,17.0,12.0,6.0,8.0,4.0,20.0,18.0,28.0,25.0,5.0,13.0,24.0,23.0,27.0,21.0,62.0,35.0,66.0,65.0,19.0,38.0
4364,2.0,1.0,0.0,3.0,8.0,4.0,100.0,9.0,7.0,29.0,46.0,10.0,13.0,6.0,19.0,12.0,11.0,122.0,5.0,26.0,14.0,110.0,115.0,16.0,62.0,38.0,65.0,24.0,18.0,41.0
4413,0.0,2.0,1.0,3.0,7.0,14.0,5.0,8.0,6.0,4.0,18.0,23.0,21.0,11.0,16.0,29.0,9.0,19.0,17.0,22.0,104.0,13.0,27.0,34.0,40.0,12.0,45.0,44.0,39.0,30.0
4462,1.0,0.0,3.0,2.0,4.0,15.0,5.0,16.0,6.0,7.0,21.0,23.0,18.0,71.0,114.0,22.0,14.0,25.0,11.0,26.0,76.0,10.0,24.0,9.0,65.0,8.0,49.0,67.0,61.0,47.0
4511,0.0,3.0,2.0,1.0,9.0,52.0,4.0,7.0,6.0,5.0,13.0,100.0,21.0,12.0,15.0,29.0,95.0,62.0,17.0,8.0,85.0,22.0,25.0,20.0,41.0,31.0,44.0,42.0,33.0,73.0
4560,0.0,1.0,4.0,3.0,5.0,12.0,8.0,7.0,2.0,6.0,9.0,75.0,29.0,16.0,116.0,13.0,10.0,101.0,21.0,14.0,27.0,11.0,22.0,41.0,20.0,17.0,73.0,66.0,32.0,35.0
4609,0.0,2.0,3.0,1.0,4.0,7.0,5.0,6.0,21.0,11.0,9.0,92.0,8.0,13.0,28.0,104.0,16.0,60.0,19.0,12.0,22.0,14.0,107.0,74.0,30.0,44.0,35.0,48.0,27.0,47.0
4658,0.0,1.0,2.0,3.0,5.0,8.0,4.0,11.0,6.0,10.0,15.0,97.0,14.0,12.0,31.0,28.0,7.0,62.0,13.0,9.0,23.0,18.0,21.0,29.0,47.0,40.0,49.0,51.0,27.0,77.0
4707,0.0,1.0,3.0,2.0,7.0,16.0,8.0,5.0,11.0,9.0,6.0,104.0,14.0,25.0,23.0,26.0,19.0,60.0,18.0,12.0,100.0,4.0,13.0,33.0,34.0,22.0,45.0,55.0,53.0,113.0
4756,0.0,1.0,3.0,2.0,7.0,8.0,5.0,6.0,9.0,4.0,20.0,88.0,18.0,17.0,21.0,23.0,25.0,58.0,14.0,19.0,95.0,22.0,16.0,44.0,46.0,40.0,47.0,33.0,38.0,43.0
4805,0.0,1.0,2.0,3.0,4.0,13.0,9.0,6.0,5.0,7.0,104.0,106.0,8.0,11.0,113.0,14.0,27.0,74.0,15.0,12.0,21.0,16.0,20.0,28.0,54.0,25.0,56.0,55.0,42.0,39.0
4854,0.0,1.0,3.0,2.0,4.0,14.0,8.0,9.0,6.0,5.0,12.0,113.0,82.0,19.0,95.0,18.0,85.0,57.0,26.0,13.0,10.0,88.0,86.0,22.0,21.0,15.0,33.0,39.0,28.0,42.0
