,hsa-miR-574-5p,hsa-miR-1245,hsa-miR-1307,hsa-miR-744,hsa-miR-769-5p,hsa-miR-1197,hsa-miR-642,hsa-miR-944,hsa-miR-762,hsa-miR-425,hsa-miR-1248,ebv-miR-BART18-3p,hsa-miR-581,hsa-miR-155,hsa-miR-551b,hsa-miR-582-5p,hsa-miR-142-5p,hsa-miR-133b,hsa-miR-885-3p,hsa-miR-630,hsa-miR-330-3p,hsa-miR-223,hsa-miR-579,hsa-miR-34c-5p,hsa-miR-601,hsa-miR-584,hsa-miR-34c-3p,hsa-miR-1301,hsa-miR-1226,hsa-miR-125a-3p
2172,0.0,1.0,7.0,2.0,27.0,37.0,19.0,8.0,4.0,28.0,14.0,16.0,6.0,12.0,5.0,23.0,54.0,65.0,15.0,35.0,33.0,24.0,3.0,50.0,13.0,10.0,61.0,20.0,49.0,26.0
2221,0.0,1.0,2.0,7.0,18.0,24.0,10.0,11.0,4.0,35.0,12.0,8.0,5.0,14.0,3.0,17.0,29.0,69.0,9.0,54.0,50.0,70.0,6.0,37.0,13.0,15.0,51.0,20.0,40.0,47.0
2270,1.0,0.0,3.0,12.0,21.0,18.0,24.0,5.0,8.0,25.0,9.0,10.0,6.0,53.0,2.0,16.0,28.0,27.0,4.0,36.0,29.0,57.0,7.0,136.0,15.0,13.0,47.0,35.0,14.0,22.0
2319,1.0,0.0,9.0,7.0,37.0,2.0,13.0,30.0,3.0,27.0,15.0,25.0,12.0,23.0,4.0,53.0,45.0,41.0,18.0,22.0,26.0,48.0,8.0,32.0,31.0,24.0,73.0,11.0,39.0,76.0
2368,0.0,1.0,2.0,53.0,43.0,6.0,23.0,12.0,3.0,17.0,46.0,4.0,32.0,15.0,21.0,8.0,11.0,22.0,30.0,31.0,69.0,10.0,5.0,7.0,75.0,35.0,26.0,33.0,50.0,27.0
2417,0.0,1.0,18.0,157.0,35.0,123.0,27.0,10.0,6.0,40.0,2.0,19.0,32.0,9.0,13.0,42.0,23.0,39.0,8.0,20.0,57.0,22.0,3.0,7.0,21.0,12.0,118.0,14.0,44.0,38.0
2466,0.0,19.0,30.0,8.0,3.0,2.0,13.0,16.0,24.0,6.0,1.0,28.0,36.0,10.0,29.0,9.0,39.0,34.0,15.0,41.0,62.0,5.0,4.0,11.0,23.0,14.0,50.0,26.0,104.0,17.0
2515,0.0,6.0,37.0,57.0,16.0,4.0,18.0,19.0,29.0,9.0,3.0,12.0,21.0,5.0,26.0,48.0,2.0,60.0,1.0,52.0,115.0,43.0,34.0,30.0,8.0,40.0,36.0,10.0,53.0,39.0
2564,0.0,20.0,19.0,27.0,7.0,53.0,40.0,24.0,18.0,13.0,9.0,1.0,28.0,5.0,16.0,35.0,2.0,44.0,4.0,47.0,15.0,3.0,21.0,11.0,39.0,42.0,32.0,22.0,51.0,45.0
2613,2.0,18.0,42.0,62.0,1.0,11.0,16.0,17.0,12.0,4.0,3.0,9.0,39.0,13.0,27.0,21.0,0.0,30.0,7.0,19.0,36.0,6.0,22.0,23.0,70.0,14.0,40.0,8.0,51.0,71.0
