,XBP1,VAV1,HER3,alpha-Catenin,VEGFR2,Bcl-xL,PEA15,Src_pY416,beta-Catenin,YAP_pS127,Chk1_pS345,AMPK_alpha,SETD2,Chk2,Claudin-7,Gab2,Caspase-7_cleavedD198,Lck,Cyclin_B1,Rb,P-Cadherin,Stathmin,BRCA2,MSH6,SF2,eEF2,C-Raf(BD610151),14-3-3_beta,MDMX_MDM4(BetIHC-00108),Syk
494,0.0,8.0,10.0,1.0,2.0,11.0,3.0,4.0,44.0,26.0,17.0,5.0,16.0,12.0,40.0,34.0,23.0,30.0,33.0,6.0,18.0,37.0,7.0,97.0,73.0,9.0,85.0,54.0,25.0,13.0
543,3.0,0.0,2.0,1.0,5.0,12.0,34.0,6.0,4.0,8.0,10.0,7.0,18.0,19.0,63.0,11.0,64.0,9.0,13.0,15.0,20.0,57.0,17.0,37.0,28.0,30.0,44.0,46.0,26.0,54.0
592,1.0,2.0,0.0,4.0,3.0,26.0,10.0,6.0,9.0,34.0,7.0,15.0,21.0,29.0,58.0,5.0,35.0,24.0,8.0,13.0,14.0,28.0,11.0,25.0,115.0,16.0,96.0,99.0,91.0,12.0
641,1.0,0.0,3.0,2.0,5.0,16.0,8.0,10.0,6.0,69.0,17.0,7.0,36.0,4.0,46.0,19.0,15.0,20.0,25.0,30.0,29.0,50.0,12.0,41.0,44.0,77.0,154.0,88.0,11.0,9.0
690,2.0,4.0,1.0,0.0,3.0,15.0,53.0,7.0,18.0,81.0,28.0,5.0,13.0,23.0,55.0,11.0,12.0,14.0,9.0,10.0,20.0,101.0,6.0,26.0,100.0,8.0,51.0,104.0,19.0,69.0
739,3.0,1.0,0.0,2.0,6.0,25.0,9.0,4.0,8.0,21.0,22.0,5.0,18.0,10.0,42.0,40.0,31.0,7.0,90.0,19.0,55.0,35.0,20.0,71.0,122.0,12.0,114.0,56.0,11.0,38.0
788,1.0,0.0,2.0,4.0,3.0,23.0,32.0,5.0,20.0,8.0,6.0,7.0,12.0,16.0,31.0,18.0,22.0,9.0,28.0,33.0,135.0,46.0,39.0,15.0,158.0,25.0,96.0,10.0,42.0,14.0
837,2.0,3.0,1.0,0.0,5.0,59.0,15.0,18.0,12.0,51.0,6.0,31.0,7.0,16.0,11.0,82.0,4.0,14.0,8.0,10.0,27.0,60.0,30.0,13.0,78.0,9.0,57.0,53.0,63.0,19.0
886,5.0,2.0,4.0,1.0,0.0,19.0,6.0,3.0,27.0,8.0,11.0,82.0,29.0,34.0,25.0,17.0,21.0,33.0,9.0,7.0,15.0,56.0,32.0,22.0,47.0,12.0,64.0,18.0,24.0,41.0
935,1.0,2.0,4.0,7.0,0.0,26.0,15.0,12.0,11.0,28.0,3.0,20.0,13.0,8.0,39.0,14.0,35.0,37.0,94.0,5.0,16.0,21.0,6.0,88.0,9.0,19.0,30.0,32.0,38.0,25.0
984,6.0,0.0,4.0,1.0,5.0,8.0,7.0,36.0,2.0,31.0,9.0,22.0,10.0,15.0,12.0,18.0,13.0,39.0,21.0,26.0,50.0,11.0,48.0,29.0,3.0,101.0,30.0,19.0,14.0,27.0
1033,4.0,2.0,3.0,0.0,14.0,1.0,6.0,22.0,9.0,13.0,31.0,41.0,21.0,10.0,5.0,85.0,23.0,27.0,32.0,24.0,15.0,30.0,19.0,25.0,17.0,98.0,18.0,11.0,29.0,63.0
1082,3.0,5.0,16.0,6.0,1.0,9.0,0.0,15.0,2.0,4.0,19.0,36.0,7.0,26.0,13.0,58.0,14.0,20.0,21.0,22.0,46.0,8.0,25.0,23.0,37.0,66.0,41.0,11.0,24.0,53.0
1131,1.0,2.0,3.0,0.0,11.0,4.0,5.0,49.0,18.0,17.0,10.0,15.0,13.0,8.0,6.0,9.0,63.0,20.0,12.0,7.0,37.0,32.0,14.0,23.0,70.0,121.0,19.0,22.0,48.0,30.0
1180,0.0,3.0,4.0,2.0,6.0,1.0,16.0,26.0,9.0,5.0,10.0,20.0,18.0,12.0,8.0,35.0,31.0,22.0,7.0,40.0,59.0,27.0,32.0,13.0,17.0,36.0,52.0,14.0,11.0,96.0
1229,4.0,0.0,12.0,2.0,15.0,3.0,5.0,41.0,1.0,8.0,10.0,25.0,27.0,18.0,16.0,24.0,21.0,30.0,14.0,22.0,19.0,23.0,35.0,40.0,33.0,43.0,9.0,7.0,55.0,47.0
1278,3.0,0.0,32.0,1.0,5.0,9.0,14.0,7.0,4.0,8.0,24.0,16.0,37.0,21.0,6.0,11.0,56.0,73.0,53.0,17.0,19.0,30.0,38.0,54.0,22.0,23.0,29.0,2.0,112.0,10.0
1327,7.0,1.0,21.0,0.0,4.0,2.0,13.0,23.0,3.0,10.0,33.0,19.0,53.0,9.0,22.0,20.0,6.0,26.0,17.0,18.0,15.0,5.0,50.0,29.0,39.0,25.0,32.0,8.0,16.0,54.0
1376,3.0,2.0,24.0,0.0,6.0,1.0,4.0,27.0,5.0,59.0,15.0,8.0,9.0,51.0,23.0,7.0,76.0,45.0,13.0,28.0,147.0,10.0,11.0,77.0,18.0,19.0,30.0,14.0,12.0,69.0
1425,2.0,0.0,7.0,9.0,1.0,10.0,3.0,29.0,8.0,22.0,12.0,49.0,39.0,16.0,11.0,19.0,30.0,23.0,5.0,36.0,34.0,18.0,24.0,35.0,14.0,81.0,20.0,6.0,41.0,31.0
1474,0.0,4.0,1.0,13.0,21.0,2.0,97.0,32.0,8.0,9.0,10.0,3.0,29.0,15.0,6.0,24.0,16.0,27.0,148.0,38.0,44.0,25.0,23.0,43.0,7.0,36.0,22.0,19.0,31.0,34.0
1523,2.0,4.0,1.0,21.0,3.0,0.0,8.0,10.0,17.0,14.0,23.0,15.0,30.0,11.0,39.0,19.0,6.0,36.0,5.0,86.0,18.0,26.0,7.0,66.0,12.0,43.0,13.0,25.0,51.0,28.0
1572,0.0,1.0,2.0,12.0,37.0,4.0,8.0,29.0,24.0,49.0,6.0,16.0,34.0,40.0,23.0,5.0,26.0,7.0,71.0,88.0,18.0,42.0,25.0,27.0,3.0,19.0,13.0,38.0,141.0,53.0
1621,0.0,4.0,1.0,2.0,12.0,3.0,10.0,29.0,8.0,66.0,14.0,7.0,56.0,17.0,13.0,31.0,5.0,23.0,39.0,60.0,50.0,6.0,25.0,118.0,28.0,18.0,24.0,9.0,46.0,15.0
1670,1.0,0.0,5.0,3.0,6.0,18.0,36.0,8.0,12.0,4.0,17.0,19.0,43.0,14.0,2.0,53.0,23.0,13.0,34.0,48.0,93.0,16.0,11.0,59.0,15.0,30.0,7.0,69.0,29.0,44.0
1719,0.0,1.0,18.0,43.0,13.0,2.0,33.0,25.0,9.0,12.0,40.0,24.0,58.0,15.0,14.0,57.0,6.0,21.0,65.0,38.0,3.0,7.0,16.0,63.0,8.0,44.0,22.0,5.0,60.0,17.0
1768,1.0,7.0,2.0,13.0,37.0,0.0,5.0,18.0,17.0,9.0,120.0,15.0,29.0,35.0,26.0,4.0,3.0,30.0,72.0,14.0,24.0,45.0,11.0,67.0,39.0,74.0,6.0,20.0,85.0,41.0
1817,0.0,2.0,5.0,32.0,6.0,3.0,19.0,16.0,36.0,4.0,30.0,50.0,18.0,14.0,9.0,15.0,17.0,37.0,35.0,8.0,25.0,29.0,24.0,43.0,10.0,83.0,60.0,20.0,41.0,7.0
1866,0.0,1.0,9.0,5.0,3.0,2.0,19.0,22.0,4.0,11.0,13.0,8.0,58.0,16.0,12.0,7.0,57.0,79.0,121.0,30.0,10.0,18.0,14.0,70.0,44.0,74.0,23.0,27.0,59.0,65.0
1915,0.0,1.0,6.0,13.0,16.0,7.0,23.0,3.0,41.0,2.0,42.0,9.0,40.0,29.0,12.0,28.0,21.0,10.0,31.0,57.0,17.0,26.0,15.0,20.0,5.0,8.0,78.0,4.0,45.0,18.0
1964,1.0,5.0,0.0,2.0,8.0,6.0,33.0,3.0,25.0,26.0,13.0,28.0,61.0,16.0,9.0,10.0,7.0,11.0,4.0,32.0,54.0,12.0,20.0,24.0,45.0,47.0,71.0,21.0,17.0,14.0
2013,0.0,13.0,3.0,9.0,19.0,2.0,7.0,1.0,102.0,11.0,20.0,14.0,12.0,72.0,6.0,143.0,57.0,24.0,16.0,18.0,15.0,29.0,40.0,8.0,33.0,32.0,4.0,27.0,5.0,58.0
2062,2.0,1.0,3.0,27.0,7.0,5.0,8.0,0.0,81.0,72.0,13.0,11.0,18.0,24.0,23.0,43.0,4.0,15.0,6.0,20.0,87.0,106.0,57.0,47.0,67.0,19.0,10.0,14.0,9.0,30.0
2111,0.0,4.0,9.0,2.0,14.0,1.0,6.0,3.0,15.0,23.0,10.0,47.0,40.0,13.0,5.0,26.0,42.0,7.0,76.0,17.0,30.0,27.0,20.0,97.0,19.0,56.0,8.0,34.0,11.0,49.0
2160,3.0,0.0,2.0,6.0,7.0,5.0,27.0,4.0,15.0,25.0,13.0,20.0,32.0,60.0,1.0,12.0,17.0,10.0,30.0,51.0,47.0,34.0,45.0,21.0,9.0,29.0,11.0,22.0,18.0,19.0
2209,0.0,9.0,1.0,16.0,6.0,2.0,3.0,4.0,109.0,53.0,13.0,40.0,38.0,50.0,11.0,5.0,7.0,22.0,14.0,21.0,12.0,39.0,98.0,62.0,32.0,29.0,10.0,18.0,56.0,20.0
2258,0.0,1.0,2.0,7.0,12.0,10.0,16.0,3.0,21.0,5.0,20.0,40.0,6.0,92.0,11.0,15.0,29.0,4.0,8.0,39.0,28.0,30.0,18.0,32.0,22.0,25.0,26.0,19.0,24.0,9.0
2307,3.0,7.0,5.0,0.0,6.0,15.0,14.0,2.0,18.0,4.0,9.0,116.0,70.0,19.0,13.0,11.0,87.0,10.0,1.0,26.0,73.0,20.0,91.0,12.0,54.0,33.0,8.0,25.0,22.0,21.0
2356,0.0,2.0,7.0,1.0,4.0,8.0,3.0,5.0,48.0,44.0,34.0,46.0,98.0,123.0,11.0,9.0,30.0,13.0,14.0,19.0,23.0,6.0,59.0,68.0,12.0,25.0,18.0,57.0,28.0,10.0
2405,0.0,2.0,3.0,4.0,7.0,1.0,11.0,6.0,26.0,9.0,18.0,10.0,40.0,16.0,152.0,17.0,23.0,14.0,5.0,90.0,20.0,13.0,28.0,79.0,48.0,32.0,19.0,36.0,27.0,31.0
2454,3.0,0.0,1.0,2.0,4.0,42.0,31.0,41.0,10.0,9.0,28.0,45.0,12.0,47.0,18.0,32.0,7.0,24.0,6.0,5.0,11.0,29.0,20.0,27.0,30.0,15.0,39.0,117.0,83.0,61.0
2503,0.0,1.0,10.0,2.0,5.0,9.0,12.0,14.0,11.0,4.0,8.0,35.0,17.0,31.0,21.0,24.0,29.0,76.0,3.0,36.0,13.0,26.0,102.0,39.0,43.0,19.0,6.0,22.0,49.0,64.0
2552,3.0,1.0,2.0,0.0,4.0,17.0,12.0,119.0,5.0,9.0,7.0,18.0,28.0,6.0,79.0,42.0,11.0,63.0,8.0,27.0,20.0,16.0,62.0,23.0,108.0,60.0,15.0,56.0,32.0,72.0
2601,4.0,1.0,2.0,0.0,16.0,90.0,22.0,14.0,5.0,18.0,3.0,24.0,76.0,15.0,8.0,21.0,11.0,25.0,10.0,41.0,26.0,17.0,91.0,13.0,108.0,7.0,30.0,51.0,28.0,57.0
2650,0.0,1.0,3.0,7.0,6.0,15.0,2.0,31.0,4.0,11.0,5.0,51.0,20.0,30.0,26.0,45.0,8.0,99.0,13.0,16.0,29.0,80.0,85.0,19.0,108.0,40.0,17.0,14.0,132.0,62.0
2699,0.0,1.0,4.0,8.0,23.0,11.0,2.0,17.0,25.0,6.0,9.0,36.0,14.0,18.0,29.0,30.0,15.0,24.0,3.0,33.0,10.0,90.0,78.0,32.0,47.0,58.0,19.0,41.0,39.0,28.0
2748,0.0,1.0,2.0,3.0,9.0,12.0,7.0,51.0,13.0,31.0,24.0,61.0,10.0,11.0,22.0,21.0,15.0,46.0,6.0,44.0,55.0,87.0,92.0,17.0,60.0,34.0,28.0,64.0,73.0,96.0
2797,0.0,1.0,2.0,11.0,3.0,5.0,8.0,13.0,43.0,28.0,17.0,23.0,35.0,4.0,95.0,57.0,6.0,7.0,10.0,60.0,49.0,20.0,45.0,31.0,71.0,12.0,18.0,74.0,9.0,78.0
2846,0.0,1.0,10.0,3.0,2.0,16.0,15.0,34.0,6.0,5.0,9.0,11.0,38.0,28.0,4.0,53.0,17.0,25.0,14.0,49.0,23.0,42.0,89.0,26.0,33.0,75.0,8.0,41.0,27.0,68.0
2895,0.0,1.0,2.0,3.0,5.0,17.0,9.0,26.0,10.0,7.0,6.0,34.0,28.0,37.0,18.0,31.0,15.0,22.0,4.0,48.0,59.0,30.0,42.0,11.0,46.0,21.0,23.0,95.0,41.0,13.0
2944,7.0,0.0,1.0,9.0,4.0,2.0,5.0,16.0,3.0,21.0,8.0,23.0,12.0,22.0,20.0,6.0,27.0,13.0,47.0,32.0,45.0,35.0,31.0,62.0,19.0,37.0,68.0,82.0,29.0,48.0
2993,1.0,0.0,4.0,12.0,3.0,2.0,14.0,10.0,5.0,64.0,18.0,11.0,7.0,17.0,9.0,15.0,50.0,31.0,100.0,23.0,70.0,6.0,29.0,46.0,28.0,56.0,55.0,27.0,13.0,25.0
3042,3.0,0.0,1.0,4.0,29.0,8.0,7.0,12.0,2.0,6.0,50.0,5.0,17.0,22.0,10.0,9.0,14.0,11.0,51.0,76.0,63.0,148.0,35.0,59.0,39.0,23.0,18.0,34.0,26.0,44.0
3091,1.0,6.0,3.0,11.0,2.0,0.0,4.0,14.0,9.0,5.0,27.0,19.0,10.0,7.0,25.0,20.0,8.0,15.0,16.0,85.0,30.0,34.0,37.0,63.0,12.0,136.0,155.0,62.0,31.0,64.0
3140,1.0,0.0,3.0,8.0,25.0,9.0,6.0,5.0,7.0,27.0,2.0,10.0,18.0,20.0,14.0,66.0,4.0,16.0,84.0,67.0,30.0,54.0,86.0,81.0,17.0,39.0,64.0,37.0,38.0,40.0
3189,2.0,0.0,1.0,13.0,4.0,9.0,19.0,3.0,7.0,32.0,12.0,5.0,17.0,73.0,16.0,28.0,18.0,8.0,14.0,35.0,63.0,54.0,15.0,157.0,21.0,34.0,71.0,48.0,31.0,100.0
3238,2.0,1.0,0.0,3.0,7.0,6.0,8.0,4.0,5.0,9.0,34.0,10.0,21.0,20.0,38.0,14.0,13.0,12.0,25.0,66.0,15.0,70.0,19.0,26.0,31.0,51.0,78.0,143.0,32.0,132.0
3287,0.0,1.0,2.0,3.0,6.0,10.0,16.0,4.0,5.0,17.0,14.0,22.0,88.0,8.0,7.0,9.0,12.0,40.0,11.0,34.0,28.0,82.0,31.0,60.0,84.0,61.0,38.0,25.0,53.0,57.0
3336,2.0,0.0,3.0,1.0,75.0,7.0,5.0,4.0,9.0,25.0,11.0,14.0,18.0,20.0,26.0,10.0,16.0,8.0,23.0,57.0,41.0,19.0,98.0,34.0,69.0,13.0,76.0,30.0,61.0,130.0
3385,0.0,1.0,4.0,2.0,5.0,11.0,6.0,8.0,3.0,22.0,7.0,20.0,23.0,16.0,21.0,17.0,55.0,26.0,27.0,45.0,30.0,38.0,32.0,9.0,18.0,29.0,79.0,59.0,39.0,57.0
3434,0.0,10.0,5.0,3.0,6.0,9.0,16.0,4.0,42.0,7.0,39.0,8.0,79.0,51.0,19.0,1.0,14.0,2.0,34.0,17.0,27.0,24.0,20.0,43.0,46.0,11.0,12.0,41.0,23.0,26.0
3483,0.0,2.0,1.0,5.0,3.0,21.0,24.0,8.0,20.0,7.0,106.0,41.0,19.0,45.0,13.0,37.0,12.0,26.0,27.0,16.0,6.0,25.0,14.0,11.0,10.0,18.0,9.0,95.0,59.0,29.0
3532,0.0,3.0,2.0,43.0,1.0,21.0,4.0,10.0,45.0,9.0,17.0,6.0,23.0,51.0,30.0,5.0,46.0,94.0,8.0,27.0,75.0,13.0,29.0,25.0,70.0,16.0,7.0,14.0,108.0,36.0
3581,0.0,2.0,8.0,4.0,28.0,24.0,12.0,1.0,43.0,9.0,10.0,20.0,11.0,69.0,38.0,39.0,21.0,18.0,7.0,6.0,5.0,55.0,34.0,16.0,17.0,13.0,44.0,36.0,94.0,19.0
3630,7.0,0.0,1.0,39.0,11.0,6.0,20.0,13.0,30.0,2.0,17.0,31.0,34.0,99.0,26.0,4.0,22.0,24.0,16.0,18.0,9.0,5.0,59.0,28.0,47.0,10.0,12.0,37.0,25.0,27.0
3679,0.0,16.0,3.0,5.0,10.0,7.0,29.0,9.0,11.0,15.0,18.0,6.0,32.0,105.0,44.0,8.0,22.0,23.0,4.0,13.0,30.0,17.0,2.0,1.0,35.0,28.0,21.0,20.0,38.0,50.0
3728,0.0,6.0,2.0,5.0,15.0,4.0,8.0,1.0,34.0,30.0,27.0,7.0,16.0,75.0,18.0,12.0,50.0,17.0,3.0,48.0,46.0,14.0,42.0,22.0,11.0,58.0,51.0,28.0,36.0,29.0
3777,1.0,3.0,14.0,11.0,17.0,2.0,10.0,0.0,5.0,6.0,60.0,4.0,16.0,135.0,19.0,33.0,21.0,35.0,41.0,8.0,7.0,23.0,15.0,28.0,50.0,18.0,68.0,37.0,71.0,31.0
3826,0.0,7.0,1.0,4.0,5.0,2.0,30.0,6.0,52.0,18.0,15.0,46.0,13.0,42.0,8.0,3.0,57.0,45.0,17.0,12.0,9.0,19.0,14.0,54.0,39.0,25.0,24.0,37.0,60.0,26.0
3875,0.0,1.0,13.0,5.0,23.0,7.0,29.0,2.0,10.0,15.0,91.0,12.0,27.0,97.0,18.0,21.0,32.0,3.0,9.0,25.0,6.0,11.0,14.0,36.0,66.0,17.0,53.0,127.0,26.0,34.0
3924,0.0,1.0,6.0,14.0,5.0,3.0,2.0,21.0,19.0,4.0,37.0,28.0,11.0,7.0,15.0,16.0,10.0,9.0,31.0,56.0,33.0,17.0,34.0,153.0,12.0,108.0,35.0,46.0,26.0,42.0
3973,0.0,1.0,7.0,19.0,20.0,8.0,5.0,22.0,21.0,14.0,15.0,17.0,29.0,4.0,78.0,9.0,3.0,2.0,54.0,41.0,12.0,13.0,11.0,23.0,16.0,53.0,55.0,63.0,73.0,24.0
4022,1.0,0.0,10.0,2.0,7.0,13.0,5.0,6.0,23.0,12.0,24.0,3.0,19.0,9.0,68.0,22.0,27.0,18.0,8.0,15.0,43.0,20.0,30.0,45.0,14.0,25.0,46.0,16.0,54.0,17.0
4071,1.0,0.0,5.0,17.0,15.0,7.0,21.0,12.0,76.0,28.0,9.0,18.0,2.0,10.0,49.0,39.0,11.0,3.0,26.0,36.0,40.0,6.0,102.0,74.0,22.0,24.0,35.0,69.0,31.0,34.0
4120,1.0,5.0,0.0,38.0,8.0,4.0,7.0,10.0,75.0,3.0,22.0,31.0,33.0,2.0,9.0,26.0,15.0,65.0,12.0,23.0,25.0,6.0,14.0,11.0,17.0,32.0,39.0,18.0,47.0,13.0
4169,2.0,1.0,0.0,18.0,12.0,4.0,17.0,9.0,109.0,3.0,42.0,22.0,8.0,10.0,93.0,13.0,7.0,6.0,32.0,40.0,29.0,5.0,28.0,31.0,26.0,25.0,46.0,20.0,45.0,16.0
4218,0.0,1.0,6.0,3.0,2.0,7.0,8.0,25.0,9.0,4.0,12.0,16.0,10.0,5.0,44.0,29.0,11.0,43.0,17.0,32.0,58.0,23.0,24.0,15.0,21.0,13.0,71.0,51.0,103.0,116.0
4267,1.0,0.0,14.0,13.0,5.0,12.0,53.0,19.0,26.0,6.0,42.0,24.0,9.0,4.0,143.0,18.0,17.0,3.0,111.0,7.0,20.0,2.0,38.0,16.0,84.0,64.0,29.0,67.0,21.0,8.0
4316,6.0,1.0,3.0,10.0,0.0,4.0,7.0,22.0,37.0,2.0,18.0,16.0,8.0,9.0,14.0,66.0,20.0,35.0,27.0,28.0,5.0,38.0,21.0,19.0,15.0,11.0,40.0,52.0,65.0,54.0
4365,10.0,3.0,2.0,8.0,12.0,6.0,4.0,7.0,38.0,36.0,5.0,17.0,11.0,1.0,29.0,19.0,0.0,16.0,18.0,28.0,13.0,76.0,30.0,21.0,41.0,37.0,35.0,40.0,14.0,42.0
4414,0.0,2.0,7.0,12.0,1.0,3.0,44.0,8.0,4.0,13.0,33.0,6.0,9.0,26.0,18.0,58.0,5.0,47.0,15.0,37.0,22.0,78.0,11.0,36.0,10.0,42.0,17.0,101.0,16.0,34.0
4463,2.0,5.0,37.0,7.0,0.0,1.0,17.0,11.0,8.0,9.0,22.0,6.0,3.0,14.0,39.0,18.0,32.0,4.0,31.0,12.0,42.0,10.0,140.0,33.0,43.0,36.0,13.0,23.0,49.0,24.0
4512,1.0,5.0,8.0,2.0,0.0,6.0,16.0,12.0,13.0,19.0,3.0,10.0,4.0,20.0,11.0,73.0,32.0,18.0,49.0,7.0,139.0,81.0,52.0,15.0,9.0,94.0,130.0,28.0,34.0,44.0
4561,0.0,3.0,8.0,2.0,1.0,18.0,95.0,25.0,4.0,17.0,9.0,13.0,5.0,46.0,10.0,28.0,11.0,14.0,37.0,23.0,58.0,30.0,19.0,47.0,7.0,21.0,84.0,27.0,15.0,16.0
4610,1.0,2.0,5.0,3.0,0.0,12.0,86.0,21.0,4.0,17.0,10.0,24.0,9.0,7.0,73.0,22.0,44.0,41.0,53.0,6.0,78.0,15.0,28.0,8.0,14.0,23.0,113.0,48.0,60.0,11.0
4659,3.0,5.0,1.0,4.0,0.0,18.0,21.0,28.0,6.0,9.0,2.0,10.0,8.0,92.0,7.0,30.0,33.0,31.0,29.0,12.0,44.0,14.0,72.0,19.0,25.0,17.0,83.0,26.0,27.0,15.0
4708,0.0,6.0,4.0,2.0,1.0,16.0,9.0,47.0,18.0,56.0,3.0,7.0,12.0,15.0,11.0,38.0,17.0,31.0,97.0,22.0,20.0,21.0,5.0,30.0,26.0,14.0,82.0,13.0,72.0,10.0
4757,1.0,2.0,3.0,7.0,0.0,33.0,35.0,6.0,11.0,26.0,10.0,42.0,14.0,48.0,8.0,39.0,18.0,25.0,45.0,13.0,20.0,19.0,15.0,23.0,5.0,12.0,76.0,17.0,4.0,36.0
4806,2.0,1.0,8.0,22.0,0.0,5.0,11.0,7.0,3.0,6.0,38.0,15.0,4.0,25.0,23.0,14.0,28.0,26.0,81.0,35.0,61.0,16.0,46.0,18.0,34.0,40.0,13.0,30.0,20.0,36.0
4855,0.0,7.0,5.0,8.0,1.0,24.0,59.0,2.0,9.0,4.0,22.0,12.0,6.0,44.0,17.0,10.0,16.0,19.0,60.0,20.0,11.0,3.0,36.0,37.0,13.0,96.0,73.0,23.0,25.0,26.0
