,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
1685,14.0,12.0,15.0,66.0,116.0,42.0,43.0,86.0,406.0,57.0,464.0,61.0,73.0,121.0,23.0,266.0,126.0,39.0,41.0,84.0,83.0,526.0,74.0,100.0,120.0,92.0,4.0,598.0,146.0,89.0
1734,25.0,27.0,10.0,82.0,69.0,105.0,86.0,110.0,148.0,80.0,1.0,370.0,123.0,32.0,41.0,260.0,99.0,120.0,112.0,84.0,107.0,33.0,116.0,75.0,93.0,453.0,22.0,30.0,20.0,318.0
1783,8.0,18.0,23.0,15.0,90.0,99.0,45.0,31.0,119.0,38.0,3.0,115.0,66.0,54.0,16.0,11.0,106.0,122.0,75.0,431.0,96.0,523.0,190.0,70.0,65.0,450.0,540.0,565.0,24.0,323.0
1832,39.0,37.0,12.0,21.0,132.0,24.0,57.0,91.0,36.0,89.0,1.0,40.0,101.0,115.0,61.0,337.0,46.0,88.0,34.0,128.0,96.0,564.0,124.0,102.0,66.0,98.0,541.0,569.0,15.0,50.0
1881,2.0,14.0,12.0,65.0,263.0,410.0,94.0,68.0,3.0,118.0,4.0,29.0,35.0,1.0,63.0,6.0,31.0,93.0,49.0,145.0,113.0,103.0,87.0,97.0,36.0,454.0,46.0,55.0,101.0,322.0
1930,8.0,18.0,13.0,66.0,9.0,415.0,55.0,90.0,49.0,40.0,0.0,114.0,100.0,3.0,27.0,266.0,51.0,117.0,32.0,95.0,123.0,602.0,70.0,146.0,62.0,456.0,110.0,24.0,14.0,91.0
1979,7.0,53.0,11.0,39.0,51.0,46.0,84.0,67.0,2.0,118.0,123.0,386.0,575.0,33.0,57.0,271.0,31.0,97.0,515.0,125.0,121.0,600.0,228.0,87.0,307.0,90.0,548.0,572.0,100.0,303.0
2028,8.0,43.0,6.0,68.0,16.0,82.0,65.0,62.0,7.0,104.0,596.0,12.0,31.0,509.0,347.0,245.0,13.0,91.0,128.0,71.0,98.0,66.0,113.0,106.0,39.0,125.0,148.0,17.0,112.0,76.0
2077,4.0,20.0,13.0,30.0,63.0,424.0,49.0,53.0,28.0,50.0,489.0,15.0,47.0,36.0,265.0,246.0,37.0,46.0,554.0,128.0,80.0,10.0,58.0,83.0,340.0,54.0,24.0,596.0,238.0,312.0
2126,78.0,35.0,9.0,53.0,14.0,64.0,6.0,94.0,0.0,73.0,493.0,105.0,81.0,61.0,7.0,21.0,42.0,118.0,83.0,139.0,103.0,566.0,86.0,95.0,89.0,80.0,130.0,76.0,92.0,109.0
