,ZNF705G_AMP,DEFB130_DEL,USP17L7_DEL,LOC392196_DEL,LOC100133267_DEL,LPA_AMP,ZNF705B_DEL,MYH9_MUT,FAM90A7P_DEL,ZNF705D_DEL,MUC20_AMP,RNF103-CHMP3_DEL,RB1_MUT,FAM66D_DEL,DAP3_AMP,UPK3B_AMP,RGPD4_AMP,CDC73_AMP,OR2T11_AMP,FAM90A2P_DEL,CHD1_MUT,LRRK2_MUT,MSTO2P_AMP,FLNB_MUT,LMTK2_MUT,ZFY_DEL,AFF2_DEL,USP17L4_AMP,LOC100506776_DEL,TSPY8_DEL
1841,67.0,6739.0,120.0,46.0,18557.0,7.0,5.0,2.0,37.0,69.0,262.0,41.0,59.0,18563.0,0.0,1508.0,82.0,1.0,231.0,720.0,306.0,63.0,14.0,222.0,1335.0,8256.0,18.0,1255.0,640.0,19.0
1890,13.0,205.0,4198.0,487.0,19010.0,320.0,6.0,16430.0,262.0,1613.0,13692.0,5.0,145.0,19027.0,3.0,1391.0,592.0,39.0,391.0,1175.0,213.0,17.0,16.0,8.0,109.0,56.0,1.0,23674.0,1284.0,8447.0
1939,5.0,6727.0,3818.0,16.0,160.0,35.0,14.0,16439.0,235.0,8376.0,1578.0,3.0,129.0,1992.0,63.0,23256.0,70.0,2351.0,11.0,8155.0,16541.0,467.0,218.0,16562.0,408.0,332.0,1498.0,833.0,1.0,8450.0
1988,1079.0,9.0,0.0,4.0,193.0,14333.0,37.0,133.0,84.0,8169.0,2467.0,584.0,162.0,1271.0,492.0,392.0,2237.0,28.0,18190.0,8123.0,769.0,16539.0,5.0,319.0,16632.0,896.0,345.0,23603.0,20916.0,1648.0
2037,2.0,5.0,33.0,152.0,169.0,60.0,1991.0,65.0,1.0,9175.0,274.0,20875.0,1607.0,17.0,2230.0,93.0,38.0,22787.0,22.0,1936.0,1624.0,16542.0,422.0,149.0,16638.0,549.0,240.0,674.0,40.0,4.0
2086,15.0,27.0,2324.0,306.0,97.0,240.0,1076.0,178.0,249.0,26.0,521.0,20866.0,645.0,18549.0,1275.0,1.0,1106.0,22761.0,18173.0,47.0,530.0,397.0,326.0,492.0,1372.0,414.0,2.0,46.0,155.0,7.0
2135,0.0,12.0,9.0,45.0,1439.0,1839.0,18549.0,1150.0,20.0,651.0,13683.0,161.0,60.0,71.0,1185.0,1.0,10.0,22792.0,18251.0,6.0,308.0,16544.0,16782.0,951.0,16641.0,27.0,1015.0,23673.0,13.0,23.0
2184,0.0,5203.0,4346.0,4348.0,18549.0,106.0,18527.0,961.0,1010.0,824.0,2.0,1522.0,40.0,39.0,1259.0,22.0,1890.0,59.0,18242.0,135.0,1329.0,16545.0,16742.0,206.0,1826.0,61.0,4641.0,113.0,20890.0,11.0
2233,2.0,5.0,44.0,4315.0,19028.0,0.0,80.0,273.0,576.0,7936.0,1070.0,86.0,369.0,1.0,22996.0,474.0,12.0,22788.0,107.0,131.0,93.0,16541.0,97.0,1662.0,1118.0,7786.0,11.0,23644.0,570.0,59.0
2282,0.0,6746.0,488.0,2347.0,339.0,14390.0,326.0,16.0,20.0,272.0,152.0,13.0,15.0,39.0,311.0,2359.0,8.0,51.0,506.0,8125.0,714.0,451.0,263.0,1237.0,92.0,7293.0,312.0,122.0,4.0,8421.0
2331,2.0,912.0,21.0,35.0,38.0,83.0,2395.0,55.0,10838.0,1.0,13639.0,5.0,13.0,17.0,23004.0,415.0,49.0,22709.0,131.0,8168.0,464.0,16529.0,15811.0,480.0,16630.0,8221.0,167.0,23609.0,0.0,37.0
2380,13.0,30.0,2399.0,57.0,190.0,14415.0,2404.0,16.0,10859.0,10.0,76.0,409.0,43.0,1.0,1400.0,8.0,13317.0,337.0,18195.0,26.0,69.0,79.0,34.0,1551.0,16658.0,170.0,23.0,392.0,350.0,7.0
2429,1.0,7.0,58.0,9.0,2.0,39.0,292.0,91.0,160.0,16.0,13686.0,20627.0,159.0,0.0,23009.0,3.0,67.0,22712.0,18231.0,708.0,771.0,16544.0,176.0,16604.0,16644.0,8243.0,554.0,25.0,18.0,291.0
2478,15845.0,850.0,15.0,241.0,77.0,8.0,295.0,48.0,4.0,263.0,1557.0,88.0,455.0,444.0,3.0,946.0,54.0,625.0,0.0,18.0,114.0,72.0,2444.0,248.0,852.0,305.0,6971.0,19.0,20794.0,300.0
2527,1255.0,1.0,15.0,280.0,31.0,19.0,192.0,1207.0,585.0,670.0,420.0,20865.0,16850.0,65.0,133.0,66.0,74.0,269.0,18250.0,601.0,0.0,77.0,2381.0,16578.0,16638.0,128.0,1171.0,9.0,20888.0,207.0
2576,80.0,1.0,0.0,4576.0,285.0,85.0,57.0,16425.0,2012.0,376.0,271.0,122.0,366.0,226.0,23.0,1289.0,156.0,48.0,611.0,8181.0,16548.0,16537.0,16757.0,1321.0,2.0,26.0,4669.0,5.0,872.0,8.0
2625,0.0,237.0,11.0,8.0,777.0,31.0,4.0,85.0,3.0,8424.0,93.0,157.0,885.0,1705.0,23030.0,90.0,13302.0,1.0,131.0,8240.0,76.0,16563.0,202.0,232.0,16.0,19.0,5813.0,613.0,22.0,1220.0
2674,947.0,109.0,41.0,24.0,99.0,2421.0,122.0,130.0,528.0,8198.0,102.0,12.0,168.0,1252.0,2366.0,0.0,2048.0,1232.0,10.0,2280.0,16562.0,832.0,241.0,643.0,42.0,8402.0,2045.0,23669.0,147.0,8407.0
2723,33.0,348.0,3.0,6.0,22.0,2073.0,0.0,1308.0,1.0,19.0,9.0,24.0,16852.0,203.0,287.0,235.0,13.0,2275.0,123.0,2350.0,45.0,1269.0,16776.0,10.0,31.0,135.0,53.0,23665.0,20897.0,8476.0
2772,20.0,84.0,0.0,3318.0,7.0,23.0,8.0,899.0,49.0,704.0,14.0,20866.0,1616.0,6.0,18.0,36.0,1.0,780.0,747.0,8212.0,450.0,16543.0,489.0,38.0,192.0,8256.0,6937.0,23647.0,2343.0,8421.0
2821,737.0,4.0,92.0,5.0,17.0,16.0,420.0,11.0,10805.0,111.0,45.0,2480.0,43.0,22.0,1177.0,3.0,51.0,6.0,29.0,8162.0,50.0,76.0,372.0,1494.0,1287.0,7335.0,541.0,819.0,20916.0,870.0
2870,2.0,23.0,214.0,3450.0,5.0,2444.0,1926.0,1389.0,10829.0,21.0,249.0,574.0,910.0,350.0,196.0,7.0,41.0,172.0,22.0,524.0,1989.0,1233.0,433.0,169.0,16644.0,202.0,744.0,676.0,319.0,8406.0
2919,10.0,791.0,45.0,1113.0,946.0,559.0,247.0,3.0,184.0,1203.0,73.0,20864.0,562.0,18554.0,18.0,0.0,145.0,188.0,181.0,6.0,2406.0,123.0,2430.0,29.0,16660.0,2422.0,6972.0,23652.0,480.0,8483.0
2968,2.0,56.0,3259.0,350.0,23.0,14.0,805.0,47.0,30.0,18.0,0.0,76.0,16898.0,1109.0,22.0,64.0,271.0,35.0,5.0,8194.0,55.0,427.0,16781.0,640.0,16640.0,11.0,2336.0,472.0,764.0,67.0
3017,15834.0,14.0,28.0,3168.0,300.0,36.0,2331.0,1341.0,8.0,0.0,2.0,4.0,311.0,18608.0,23033.0,19.0,22.0,267.0,18267.0,180.0,13.0,3.0,70.0,16623.0,791.0,408.0,50.0,2052.0,242.0,2175.0
3066,13.0,6820.0,8.0,477.0,297.0,28.0,24.0,197.0,11136.0,6.0,4.0,361.0,16881.0,84.0,150.0,555.0,23.0,31.0,11.0,299.0,99.0,169.0,16743.0,16618.0,858.0,8899.0,1319.0,23643.0,208.0,1151.0
3115,15769.0,996.0,54.0,3116.0,17.0,110.0,13.0,22.0,1649.0,1862.0,1.0,20875.0,0.0,18527.0,225.0,33.0,587.0,5.0,461.0,233.0,92.0,16547.0,15827.0,16573.0,115.0,8215.0,8.0,23656.0,20899.0,369.0
3164,208.0,3.0,39.0,4181.0,2.0,120.0,284.0,459.0,9.0,4.0,78.0,730.0,28.0,686.0,35.0,12.0,5.0,1291.0,29.0,51.0,2161.0,16547.0,30.0,87.0,178.0,7786.0,315.0,21760.0,349.0,8414.0
3213,127.0,0.0,5.0,636.0,116.0,655.0,18.0,3.0,7.0,161.0,49.0,36.0,58.0,19031.0,100.0,73.0,9.0,498.0,522.0,441.0,104.0,48.0,341.0,93.0,758.0,1527.0,6374.0,23613.0,2.0,9891.0
3262,15809.0,4.0,62.0,0.0,1.0,2359.0,87.0,16444.0,6.0,10.0,13653.0,525.0,2.0,8.0,2495.0,229.0,29.0,1435.0,18184.0,15.0,3.0,16557.0,1466.0,16589.0,627.0,57.0,6547.0,266.0,20899.0,8423.0
3311,919.0,38.0,4.0,49.0,79.0,68.0,494.0,3.0,26.0,108.0,0.0,23.0,51.0,18546.0,7.0,23246.0,13412.0,463.0,600.0,169.0,13.0,102.0,16.0,479.0,1410.0,8201.0,232.0,23610.0,15.0,8455.0
3360,2.0,2356.0,367.0,15.0,1730.0,29.0,109.0,25.0,3939.0,4.0,12.0,529.0,17.0,43.0,71.0,23791.0,0.0,983.0,348.0,2304.0,659.0,9022.0,41.0,8682.0,922.0,1767.0,74.0,9.0,174.0,8254.0
3409,3.0,13.0,627.0,1.0,280.0,26.0,121.0,82.0,89.0,5.0,6.0,1975.0,724.0,167.0,263.0,12.0,45.0,51.0,0.0,19.0,78.0,1427.0,66.0,461.0,894.0,8208.0,6876.0,11.0,676.0,8374.0
3458,217.0,18.0,258.0,387.0,2320.0,965.0,131.0,1768.0,110.0,378.0,0.0,20614.0,6.0,19005.0,3.0,2050.0,13263.0,126.0,166.0,37.0,16534.0,16522.0,314.0,295.0,693.0,8202.0,2245.0,95.0,1467.0,292.0
3507,2319.0,127.0,3.0,86.0,476.0,14370.0,18547.0,470.0,10827.0,8400.0,13669.0,1242.0,661.0,412.0,23.0,1.0,218.0,253.0,796.0,234.0,16542.0,16529.0,16726.0,0.0,811.0,29.0,6895.0,135.0,191.0,501.0
3556,308.0,186.0,7.0,1.0,600.0,1224.0,2298.0,1543.0,208.0,8349.0,2.0,335.0,8.0,29.0,155.0,23243.0,13281.0,430.0,18227.0,1196.0,399.0,2094.0,818.0,17.0,16622.0,2169.0,215.0,12.0,20906.0,8422.0
3605,504.0,554.0,19.0,9.0,42.0,14861.0,18552.0,16.0,244.0,1212.0,0.0,15.0,16873.0,18785.0,374.0,358.0,266.0,1022.0,12.0,243.0,194.0,163.0,16806.0,16628.0,11.0,20.0,6208.0,336.0,20916.0,22.0
3654,16.0,653.0,142.0,49.0,175.0,2365.0,18542.0,337.0,33.0,2178.0,140.0,208.0,16913.0,18530.0,5.0,14.0,844.0,848.0,28.0,42.0,481.0,491.0,16754.0,16608.0,13.0,8241.0,375.0,1106.0,20836.0,1554.0
3703,12.0,7352.0,37.0,5.0,9.0,13674.0,25.0,55.0,921.0,8346.0,1.0,33.0,4671.0,373.0,2330.0,35.0,121.0,23594.0,49.0,8772.0,497.0,8.0,135.0,48.0,234.0,575.0,6844.0,42.0,94.0,437.0
3752,12.0,4968.0,25.0,2.0,19027.0,106.0,34.0,9.0,69.0,182.0,179.0,3.0,82.0,383.0,452.0,10.0,2302.0,269.0,0.0,281.0,18.0,16550.0,187.0,58.0,16647.0,8211.0,5833.0,13.0,26.0,8449.0
3801,6.0,67.0,1.0,0.0,9.0,52.0,1095.0,1464.0,14.0,432.0,2333.0,911.0,101.0,19030.0,22987.0,632.0,42.0,2088.0,2034.0,1673.0,16548.0,5.0,16736.0,1428.0,197.0,450.0,1010.0,23674.0,11.0,8452.0
3850,15839.0,548.0,32.0,2296.0,77.0,421.0,18545.0,133.0,22.0,8281.0,2.0,51.0,205.0,30.0,185.0,23274.0,580.0,22778.0,2310.0,82.0,16534.0,96.0,16750.0,676.0,685.0,67.0,165.0,405.0,10.0,600.0
3899,948.0,411.0,4161.0,39.0,482.0,803.0,1267.0,97.0,10803.0,159.0,1.0,20859.0,19.0,143.0,1663.0,23254.0,0.0,1298.0,8.0,993.0,318.0,13.0,16798.0,673.0,484.0,63.0,6980.0,23668.0,20881.0,851.0
3948,3.0,608.0,7.0,946.0,231.0,308.0,27.0,4.0,21.0,1117.0,284.0,20631.0,93.0,31.0,1139.0,282.0,495.0,171.0,1234.0,41.0,165.0,294.0,80.0,20.0,62.0,43.0,6.0,23674.0,24.0,8397.0
3997,19.0,3.0,651.0,54.0,398.0,14393.0,126.0,0.0,9.0,89.0,406.0,20869.0,78.0,24.0,127.0,62.0,2360.0,1832.0,18217.0,59.0,433.0,16550.0,93.0,509.0,712.0,8246.0,46.0,8.0,1147.0,8419.0
4046,15.0,729.0,3558.0,25.0,6.0,46.0,5.0,1.0,172.0,462.0,12.0,20613.0,33.0,1699.0,32.0,737.0,163.0,2.0,18210.0,426.0,59.0,450.0,10.0,1457.0,511.0,199.0,477.0,188.0,547.0,174.0
4095,341.0,241.0,6.0,2.0,159.0,15343.0,69.0,8.0,187.0,0.0,292.0,1.0,60.0,2065.0,23018.0,121.0,1454.0,22791.0,306.0,3.0,63.0,136.0,205.0,120.0,314.0,9397.0,6255.0,9.0,92.0,867.0
4144,3.0,0.0,15.0,1.0,2406.0,1615.0,10.0,16331.0,293.0,2.0,9.0,20878.0,98.0,79.0,1306.0,45.0,261.0,102.0,18240.0,1821.0,1804.0,63.0,20.0,2266.0,16652.0,1962.0,1149.0,7.0,86.0,218.0
4193,3.0,14.0,100.0,212.0,2.0,1233.0,9.0,205.0,5.0,22.0,90.0,1518.0,16894.0,210.0,121.0,1.0,202.0,31.0,1658.0,10.0,78.0,16546.0,762.0,1090.0,330.0,1236.0,23.0,19.0,206.0,598.0
4242,74.0,37.0,1088.0,77.0,2.0,1074.0,19.0,13.0,18.0,527.0,367.0,317.0,1579.0,141.0,2408.0,25.0,2375.0,463.0,538.0,1.0,94.0,16551.0,73.0,16591.0,299.0,494.0,819.0,4.0,1770.0,384.0
4291,23.0,2405.0,261.0,18.0,204.0,1700.0,17.0,1071.0,1246.0,122.0,97.0,58.0,1696.0,6.0,5.0,12.0,13312.0,1307.0,18245.0,417.0,68.0,14.0,347.0,16650.0,69.0,7797.0,314.0,1.0,445.0,8424.0
4340,8.0,1.0,1736.0,169.0,572.0,15357.0,81.0,4.0,170.0,61.0,47.0,695.0,72.0,1984.0,220.0,23266.0,39.0,93.0,18261.0,66.0,1552.0,94.0,30.0,96.0,12.0,8257.0,247.0,542.0,125.0,1421.0
4389,0.0,64.0,447.0,40.0,82.0,707.0,34.0,29.0,25.0,228.0,8.0,113.0,333.0,28.0,18.0,43.0,405.0,1196.0,18228.0,6.0,97.0,206.0,16741.0,462.0,786.0,757.0,1799.0,15.0,967.0,727.0
4438,450.0,8.0,2.0,12.0,104.0,14381.0,611.0,114.0,1067.0,4.0,582.0,138.0,1652.0,180.0,761.0,96.0,51.0,899.0,1133.0,20.0,90.0,37.0,627.0,341.0,657.0,8245.0,1.0,23684.0,245.0,139.0
4487,12.0,5.0,7.0,40.0,19387.0,14360.0,14.0,35.0,19.0,2.0,346.0,9.0,368.0,1043.0,1282.0,23659.0,11.0,733.0,770.0,8.0,67.0,158.0,2457.0,8197.0,70.0,126.0,500.0,10.0,916.0,1621.0
