,HLA-DRB6_AMP,CDC73_AMP,ADAM5_DEL,ADAM3A_DEL,ASAH2_DEL,KRTAP9-3_AMP,ZBTB20_AMP,LGALS9C_DEL,GSTTP2_DEL,FAM21A_DEL,CES1P1_DEL,KALRN_MUT,HLA-DRB1_AMP,PTCH1_AMP,MCEE_AMP,KRTAP9-8_AMP,POM121L8P_DEL,LRP1_MUT,LCE3C_DEL,RBFOX3_DEL,GSTT1_DEL,CADM2_DEL,CREBBP_MUT,LOC391322_DEL,HLA-DRB5_AMP,ACOT1_AMP,ATM_MUT,EEF1DP3_DEL,EP300_MUT,PCDH15_MUT
911,0.0,1.0,2.0,3.0,17.0,5.0,6.0,26.0,9.0,14.0,21.0,4.0,7.0,13.0,36.0,22.0,18.0,15.0,10.0,40.0,24.0,33.0,31.0,25.0,20.0,27.0,11.0,37.0,35.0,32.0
960,0.0,1.0,4.0,5.0,6.0,2.0,9.0,66.0,32.0,14.0,20.0,11.0,3.0,12.0,18.0,7.0,23.0,8.0,15.0,19.0,93.0,68.0,31.0,94.0,16.0,121.0,39.0,25.0,59.0,123.0
1009,6.0,0.0,1.0,2.0,52.0,19.0,5.0,17.0,30.0,3.0,445.0,32.0,35.0,10.0,31.0,65.0,206.0,12.0,29.0,92.0,104.0,8.0,11.0,103.0,175.0,39.0,149.0,57.0,26.0,7.0
1058,5.0,4.0,2.0,1.0,8.0,6.0,36.0,31.0,37.0,0.0,4857.0,15.0,49.0,12.0,3.0,14.0,2702.0,34.0,174.0,59.0,116.0,13.0,22.0,115.0,129.0,19.0,226.0,25.0,145.0,41.0
1107,1.0,2.0,3.0,5.0,7.0,18.0,21.0,29.0,38.0,0.0,507.0,34.0,17.0,8.0,102.0,60.0,59.0,37.0,6.0,39.0,110.0,12.0,9.0,111.0,28.0,4.0,86.0,46.0,64.0,20.0
1156,4.0,2.0,0.0,1.0,5.0,10.0,63.0,31.0,8.0,3.0,4920.0,39.0,20.0,12.0,66.0,24.0,162.0,21.0,18.0,111.0,16.0,6.0,29.0,17.0,53.0,15.0,229.0,43.0,45.0,41.0
1205,3.0,12.0,32.0,38.0,30.0,41.0,4.0,22.0,19.0,5.0,68.0,36.0,11.0,15.0,66.0,40.0,176.0,14.0,23.0,148.0,44.0,7.0,48.0,45.0,78.0,90.0,221.0,27.0,52.0,267.0
1254,1.0,2.0,3.0,5.0,7.0,28.0,12.0,36.0,21.0,0.0,99.0,6.0,29.0,8.0,30.0,54.0,102.0,33.0,31.0,73.0,56.0,17.0,13.0,57.0,24.0,10.0,280.0,42.0,48.0,34.0
1303,4.0,2.0,0.0,1.0,85.0,6.0,29.0,243.0,14.0,23.0,714.0,19.0,21.0,7.0,78.0,32.0,143.0,15.0,27.0,71.0,42.0,11.0,12.0,43.0,36.0,37.0,223.0,28.0,16.0,205.0
1352,8.0,11.0,0.0,2.0,5.0,6.0,68.0,34.0,10.0,1.0,904.0,16.0,24.0,17.0,35.0,28.0,86.0,7.0,20.0,79.0,27.0,18.0,3.0,26.0,234.0,9.0,194.0,22.0,42.0,44.0
1401,0.0,2.0,4.0,5.0,70.0,3.0,22.0,31.0,34.0,1.0,597.0,38.0,6.0,7.0,21.0,10.0,65.0,35.0,29.0,188.0,88.0,12.0,14.0,87.0,20.0,11.0,205.0,126.0,36.0,19.0
1450,2.0,0.0,4.0,9.0,8.0,3.0,24.0,83.0,13.0,5.0,239.0,20.0,42.0,10.0,19.0,17.0,138.0,23.0,78.0,48.0,29.0,7.0,6.0,30.0,58.0,22.0,97.0,70.0,86.0,27.0
1499,2.0,16.0,0.0,1.0,10.0,6.0,3.0,37.0,4.0,8.0,9.0,27.0,20.0,133.0,17.0,5.0,39.0,28.0,21.0,15.0,12.0,24.0,62.0,11.0,93.0,41.0,40.0,58.0,13.0,33.0
1548,4.0,0.0,24.0,32.0,5.0,9.0,2.0,59.0,3.0,6.0,52.0,17.0,76.0,10.0,11.0,8.0,62.0,49.0,35.0,30.0,13.0,38.0,19.0,12.0,48.0,50.0,56.0,71.0,53.0,15.0
1597,5.0,1.0,12.0,16.0,2.0,20.0,9.0,67.0,0.0,10.0,17.0,51.0,99.0,33.0,89.0,19.0,122.0,18.0,3.0,26.0,6.0,31.0,35.0,7.0,117.0,50.0,54.0,142.0,8.0,44.0
1646,0.0,1.0,7.0,14.0,33.0,19.0,3.0,29.0,2.0,5.0,27.0,23.0,12.0,21.0,20.0,18.0,37.0,28.0,9.0,26.0,11.0,55.0,25.0,10.0,4.0,42.0,34.0,99.0,31.0,53.0
1695,0.0,3.0,5.0,9.0,2.0,6.0,8.0,64.0,1.0,4.0,16.0,14.0,22.0,12.0,29.0,7.0,42.0,17.0,32.0,18.0,10.0,59.0,27.0,11.0,50.0,109.0,38.0,36.0,56.0,37.0
1744,0.0,3.0,1.0,2.0,24.0,93.0,18.0,48.0,5.0,6.0,14.0,45.0,36.0,4.0,15.0,92.0,271.0,27.0,19.0,88.0,8.0,25.0,30.0,7.0,9.0,85.0,79.0,28.0,49.0,43.0
1793,0.0,1.0,8.0,11.0,3.0,33.0,18.0,45.0,13.0,15.0,21.0,17.0,56.0,4.0,9.0,32.0,51.0,67.0,5.0,59.0,37.0,99.0,54.0,36.0,6.0,68.0,57.0,80.0,10.0,26.0
1842,1.0,2.0,22.0,23.0,10.0,7.0,4.0,28.0,9.0,0.0,29.0,19.0,14.0,38.0,8.0,6.0,36.0,20.0,105.0,21.0,16.0,50.0,144.0,15.0,11.0,89.0,91.0,66.0,57.0,40.0
1891,14.0,6.0,24.0,31.0,18.0,9.0,5.0,38.0,0.0,7.0,11.0,15.0,172.0,25.0,12.0,10.0,89.0,34.0,17.0,32.0,1.0,30.0,65.0,2.0,396.0,126.0,35.0,131.0,23.0,27.0
1940,0.0,5.0,2.0,4.0,10.0,31.0,8.0,14.0,12.0,1.0,9.0,17.0,16.0,11.0,3.0,32.0,92.0,46.0,57.0,36.0,23.0,73.0,78.0,22.0,19.0,51.0,59.0,30.0,18.0,74.0
1989,9.0,0.0,18.0,28.0,15.0,2.0,1.0,3.0,95.0,14.0,22.0,4.0,25.0,29.0,32.0,6.0,17.0,42.0,90.0,16.0,93.0,27.0,12.0,92.0,11.0,35.0,37.0,34.0,46.0,21.0
2038,7.0,3.0,5.0,6.0,0.0,8.0,4.0,2.0,52.0,1.0,10.0,23.0,87.0,37.0,24.0,19.0,15.0,94.0,31.0,13.0,122.0,9.0,38.0,123.0,18.0,21.0,40.0,99.0,74.0,14.0
2087,3.0,0.0,2.0,4.0,42.0,16.0,12.0,7.0,21.0,13.0,28.0,6.0,37.0,18.0,30.0,49.0,20.0,111.0,38.0,120.0,54.0,8.0,14.0,53.0,1.0,19.0,48.0,359.0,5.0,22.0
2136,7.0,3.0,8.0,13.0,9.0,1.0,0.0,11.0,16.0,20.0,40.0,4.0,37.0,35.0,10.0,2.0,17.0,51.0,26.0,23.0,29.0,5.0,56.0,28.0,18.0,30.0,72.0,50.0,244.0,55.0
2185,1.0,0.0,8.0,14.0,6.0,10.0,4.0,7.0,32.0,26.0,2.0,25.0,13.0,54.0,70.0,27.0,17.0,45.0,12.0,19.0,61.0,9.0,69.0,60.0,5.0,30.0,24.0,91.0,31.0,75.0
2234,0.0,3.0,1.0,2.0,8.0,7.0,12.0,4.0,14.0,45.0,32.0,5.0,15.0,19.0,17.0,26.0,20.0,37.0,6.0,44.0,41.0,11.0,23.0,40.0,10.0,33.0,42.0,46.0,16.0,50.0
2283,6.0,9.0,1.0,3.0,2.0,4.0,44.0,0.0,13.0,12.0,25.0,15.0,7.0,277.0,22.0,18.0,87.0,32.0,23.0,48.0,41.0,8.0,21.0,40.0,50.0,11.0,71.0,26.0,47.0,46.0
2332,8.0,1.0,5.0,7.0,16.0,13.0,6.0,0.0,15.0,4.0,11.0,2.0,60.0,14.0,3.0,27.0,12.0,59.0,28.0,19.0,48.0,44.0,39.0,49.0,33.0,24.0,32.0,101.0,46.0,36.0
2381,6.0,3.0,48.0,58.0,14.0,13.0,2.0,0.0,19.0,15.0,1.0,24.0,53.0,39.0,17.0,38.0,9.0,47.0,5.0,32.0,51.0,8.0,16.0,50.0,45.0,207.0,22.0,210.0,52.0,34.0
2430,16.0,1.0,10.0,18.0,46.0,0.0,5.0,11.0,33.0,26.0,8.0,7.0,77.0,64.0,29.0,6.0,20.0,34.0,14.0,12.0,136.0,3.0,13.0,135.0,21.0,27.0,36.0,181.0,25.0,41.0
2479,6.0,5.0,1.0,2.0,0.0,13.0,48.0,11.0,29.0,14.0,19.0,20.0,8.0,33.0,75.0,39.0,21.0,38.0,54.0,9.0,46.0,28.0,15.0,47.0,34.0,7.0,10.0,45.0,35.0,32.0
2528,1.0,12.0,3.0,4.0,5.0,33.0,42.0,29.0,72.0,58.0,16.0,10.0,2.0,78.0,56.0,113.0,21.0,19.0,64.0,15.0,215.0,51.0,7.0,214.0,22.0,17.0,11.0,24.0,34.0,44.0
2577,5.0,6.0,0.0,1.0,2.0,49.0,12.0,18.0,7.0,31.0,24.0,57.0,15.0,103.0,4.0,111.0,3.0,41.0,54.0,39.0,28.0,89.0,10.0,27.0,76.0,14.0,9.0,21.0,36.0,30.0
2626,2.0,40.0,0.0,1.0,3.0,73.0,89.0,15.0,30.0,27.0,72.0,5.0,4.0,113.0,12.0,74.0,24.0,25.0,80.0,23.0,52.0,18.0,46.0,53.0,10.0,49.0,39.0,13.0,58.0,208.0
2675,17.0,19.0,1.0,2.0,3.0,32.0,107.0,14.0,16.0,46.0,4.0,5.0,13.0,96.0,87.0,90.0,9.0,23.0,50.0,12.0,79.0,29.0,15.0,78.0,127.0,44.0,6.0,21.0,11.0,133.0
2724,2.0,36.0,1.0,5.0,0.0,9.0,371.0,71.0,6.0,35.0,61.0,3.0,4.0,54.0,93.0,25.0,22.0,13.0,77.0,40.0,17.0,18.0,8.0,16.0,67.0,19.0,47.0,21.0,170.0,122.0
2773,2.0,10.0,6.0,8.0,0.0,34.0,62.0,17.0,12.0,70.0,130.0,1.0,4.0,27.0,23.0,73.0,16.0,9.0,37.0,19.0,26.0,21.0,18.0,25.0,161.0,20.0,7.0,33.0,51.0,53.0
2822,1.0,5.0,3.0,4.0,0.0,21.0,144.0,56.0,7.0,10.0,36.0,6.0,2.0,122.0,43.0,50.0,20.0,15.0,216.0,29.0,12.0,35.0,63.0,11.0,22.0,26.0,8.0,19.0,14.0,23.0
2871,3.0,16.0,1.0,2.0,0.0,45.0,46.0,17.0,7.0,12.0,140.0,5.0,4.0,44.0,112.0,122.0,18.0,10.0,38.0,8.0,23.0,37.0,9.0,22.0,49.0,25.0,6.0,14.0,28.0,34.0
2920,9.0,10.0,1.0,2.0,0.0,19.0,13.0,7.0,12.0,8.0,21.0,5.0,6.0,30.0,27.0,52.0,22.0,35.0,140.0,11.0,42.0,38.0,17.0,41.0,310.0,14.0,16.0,43.0,206.0,32.0
2969,3.0,1.0,2.0,6.0,5.0,11.0,4.0,51.0,10.0,42.0,0.0,53.0,34.0,15.0,70.0,25.0,13.0,8.0,31.0,9.0,18.0,65.0,72.0,17.0,29.0,199.0,12.0,23.0,19.0,28.0
3018,0.0,4.0,1.0,2.0,24.0,13.0,6.0,26.0,17.0,84.0,3.0,22.0,15.0,21.0,121.0,39.0,76.0,8.0,92.0,48.0,99.0,12.0,43.0,98.0,31.0,71.0,32.0,9.0,81.0,36.0
3067,1.0,4.0,16.0,23.0,2.0,21.0,12.0,68.0,7.0,134.0,0.0,32.0,13.0,18.0,34.0,70.0,11.0,9.0,67.0,45.0,29.0,8.0,37.0,30.0,36.0,224.0,3.0,25.0,19.0,35.0
3116,4.0,2.0,10.0,12.0,8.0,28.0,9.0,58.0,1.0,176.0,0.0,102.0,55.0,22.0,24.0,83.0,7.0,19.0,18.0,23.0,6.0,15.0,47.0,5.0,32.0,136.0,13.0,510.0,3.0,14.0
3165,1.0,2.0,4.0,6.0,11.0,5.0,7.0,15.0,38.0,248.0,0.0,24.0,3.0,20.0,75.0,18.0,9.0,37.0,42.0,14.0,62.0,21.0,56.0,63.0,54.0,316.0,8.0,113.0,31.0,69.0
3214,1.0,6.0,15.0,14.0,27.0,8.0,4.0,16.0,5.0,33.0,0.0,46.0,20.0,17.0,92.0,21.0,24.0,12.0,30.0,18.0,2.0,25.0,66.0,3.0,19.0,131.0,9.0,36.0,40.0,28.0
3263,3.0,12.0,1.0,2.0,7.0,16.0,128.0,4.0,8.0,121.0,0.0,65.0,5.0,89.0,14.0,34.0,17.0,11.0,37.0,6.0,27.0,18.0,28.0,26.0,29.0,194.0,9.0,39.0,19.0,42.0
3312,3.0,6.0,5.0,8.0,2.0,36.0,25.0,50.0,7.0,18.0,0.0,42.0,27.0,12.0,34.0,35.0,10.0,11.0,4.0,15.0,14.0,37.0,107.0,13.0,30.0,176.0,17.0,62.0,23.0,142.0
3361,2.0,1.0,4.0,7.0,6.0,19.0,35.0,17.0,3.0,723.0,0.0,27.0,49.0,21.0,48.0,39.0,22.0,5.0,15.0,12.0,10.0,11.0,30.0,9.0,92.0,154.0,13.0,109.0,77.0,102.0
3410,9.0,3.0,2.0,4.0,5.0,29.0,8.0,32.0,7.0,300.0,0.0,20.0,86.0,17.0,61.0,59.0,15.0,14.0,16.0,10.0,12.0,18.0,40.0,11.0,24.0,280.0,6.0,27.0,47.0,89.0
3459,1.0,14.0,13.0,17.0,57.0,44.0,52.0,3.0,8.0,97.0,2.0,0.0,7.0,50.0,9.0,100.0,10.0,24.0,18.0,16.0,22.0,27.0,12.0,21.0,6.0,23.0,33.0,71.0,82.0,67.0
3508,3.0,4.0,1.0,2.0,25.0,6.0,29.0,7.0,80.0,18.0,0.0,10.0,12.0,32.0,64.0,16.0,13.0,41.0,14.0,9.0,201.0,27.0,21.0,200.0,57.0,66.0,46.0,92.0,31.0,95.0
3557,3.0,1.0,6.0,8.0,19.0,7.0,31.0,0.0,37.0,36.0,2.0,4.0,30.0,43.0,26.0,24.0,12.0,15.0,27.0,13.0,68.0,9.0,10.0,67.0,145.0,54.0,20.0,35.0,17.0,206.0
3606,0.0,3.0,5.0,7.0,24.0,38.0,17.0,2.0,21.0,81.0,1.0,4.0,10.0,11.0,26.0,90.0,6.0,27.0,9.0,13.0,41.0,14.0,12.0,40.0,32.0,20.0,16.0,60.0,30.0,116.0
3655,2.0,11.0,5.0,6.0,52.0,16.0,48.0,3.0,51.0,31.0,8.0,0.0,30.0,38.0,21.0,36.0,18.0,10.0,4.0,17.0,87.0,1.0,14.0,86.0,26.0,62.0,12.0,49.0,27.0,100.0
3704,3.0,2.0,0.0,1.0,72.0,6.0,174.0,7.0,48.0,62.0,5.0,15.0,14.0,20.0,4.0,13.0,23.0,50.0,16.0,25.0,74.0,9.0,17.0,73.0,10.0,18.0,45.0,698.0,28.0,65.0
3753,2.0,0.0,4.0,7.0,85.0,15.0,6.0,3.0,32.0,51.0,1.0,12.0,10.0,8.0,42.0,30.0,9.0,11.0,19.0,5.0,37.0,53.0,148.0,36.0,31.0,13.0,40.0,27.0,104.0,232.0
3802,3.0,17.0,1.0,4.0,18.0,11.0,253.0,0.0,6.0,21.0,5.0,2.0,16.0,44.0,25.0,30.0,31.0,15.0,20.0,7.0,28.0,23.0,26.0,29.0,62.0,13.0,10.0,53.0,41.0,65.0
3851,0.0,4.0,39.0,49.0,62.0,19.0,157.0,2.0,6.0,33.0,3.0,1.0,25.0,27.0,76.0,18.0,14.0,31.0,71.0,17.0,8.0,35.0,32.0,7.0,21.0,96.0,24.0,102.0,9.0,135.0
3900,8.0,4.0,6.0,7.0,129.0,29.0,108.0,2.0,34.0,91.0,1.0,3.0,64.0,15.0,13.0,57.0,44.0,16.0,5.0,149.0,52.0,9.0,24.0,51.0,139.0,50.0,65.0,166.0,18.0,46.0
3949,2.0,1.0,8.0,7.0,0.0,13.0,10.0,4.0,22.0,5.0,16.0,25.0,29.0,15.0,143.0,30.0,51.0,39.0,6.0,40.0,17.0,95.0,11.0,18.0,66.0,50.0,34.0,42.0,31.0,49.0
3998,0.0,2.0,5.0,6.0,4.0,1.0,17.0,7.0,18.0,3.0,22.0,21.0,16.0,44.0,27.0,8.0,185.0,20.0,19.0,50.0,33.0,41.0,28.0,34.0,65.0,9.0,57.0,35.0,105.0,31.0
4047,8.0,4.0,28.0,27.0,9.0,11.0,5.0,0.0,16.0,12.0,1.0,18.0,14.0,109.0,29.0,21.0,45.0,10.0,108.0,50.0,22.0,57.0,13.0,23.0,482.0,26.0,30.0,19.0,34.0,20.0
4096,7.0,0.0,100.0,101.0,15.0,38.0,16.0,9.0,3.0,1.0,18.0,5.0,70.0,20.0,40.0,105.0,87.0,24.0,145.0,73.0,13.0,61.0,10.0,12.0,200.0,27.0,42.0,21.0,28.0,19.0
4145,5.0,3.0,48.0,47.0,4.0,21.0,9.0,0.0,11.0,6.0,14.0,72.0,23.0,25.0,75.0,20.0,41.0,44.0,45.0,66.0,15.0,38.0,95.0,16.0,28.0,36.0,32.0,113.0,160.0,50.0
4194,2.0,0.0,16.0,15.0,1.0,9.0,8.0,5.0,7.0,10.0,6.0,44.0,33.0,20.0,58.0,21.0,42.0,22.0,24.0,32.0,13.0,73.0,30.0,12.0,117.0,18.0,34.0,40.0,163.0,56.0
4243,0.0,1.0,13.0,12.0,3.0,16.0,21.0,11.0,53.0,5.0,27.0,10.0,4.0,15.0,48.0,44.0,100.0,6.0,95.0,36.0,87.0,261.0,28.0,88.0,22.0,25.0,61.0,38.0,40.0,67.0
4292,8.0,3.0,6.0,7.0,40.0,4.0,26.0,0.0,10.0,21.0,2.0,9.0,51.0,31.0,12.0,14.0,49.0,24.0,17.0,34.0,27.0,137.0,25.0,28.0,124.0,41.0,19.0,65.0,23.0,50.0
4341,1.0,2.0,7.0,8.0,0.0,6.0,10.0,4.0,9.0,11.0,5.0,25.0,16.0,30.0,126.0,21.0,42.0,17.0,26.0,31.0,19.0,102.0,18.0,20.0,80.0,23.0,29.0,36.0,43.0,15.0
4390,1.0,3.0,6.0,7.0,4.0,10.0,30.0,0.0,5.0,22.0,15.0,23.0,27.0,19.0,58.0,34.0,41.0,18.0,20.0,31.0,13.0,192.0,21.0,12.0,146.0,25.0,38.0,29.0,65.0,57.0
4439,0.0,9.0,2.0,4.0,16.0,3.0,1.0,11.0,32.0,36.0,13.0,30.0,5.0,38.0,20.0,7.0,55.0,12.0,15.0,22.0,28.0,39.0,61.0,27.0,10.0,26.0,131.0,23.0,34.0,199.0
4488,4.0,6.0,0.0,1.0,10.0,2.0,3.0,11.0,21.0,9.0,13.0,7.0,5.0,33.0,12.0,8.0,16.0,27.0,45.0,20.0,14.0,119.0,32.0,15.0,99.0,56.0,43.0,22.0,18.0,35.0
4537,0.0,2.0,38.0,53.0,23.0,10.0,1.0,11.0,21.0,12.0,5.0,73.0,6.0,4.0,8.0,20.0,14.0,101.0,7.0,44.0,15.0,25.0,9.0,16.0,3.0,33.0,19.0,227.0,66.0,17.0
4586,0.0,8.0,5.0,6.0,31.0,1.0,4.0,14.0,97.0,59.0,3.0,19.0,2.0,12.0,20.0,9.0,39.0,27.0,55.0,85.0,81.0,30.0,16.0,80.0,15.0,53.0,125.0,35.0,46.0,57.0
4635,5.0,6.0,1.0,2.0,14.0,0.0,4.0,13.0,15.0,54.0,27.0,24.0,45.0,18.0,10.0,3.0,30.0,77.0,46.0,39.0,11.0,16.0,7.0,12.0,58.0,42.0,35.0,47.0,28.0,38.0
4684,1.0,4.0,6.0,7.0,5.0,3.0,0.0,31.0,44.0,19.0,14.0,15.0,17.0,30.0,51.0,8.0,46.0,16.0,13.0,18.0,23.0,27.0,43.0,24.0,25.0,66.0,84.0,9.0,38.0,81.0
4733,2.0,4.0,3.0,5.0,9.0,6.0,0.0,38.0,16.0,14.0,8.0,20.0,10.0,15.0,22.0,7.0,24.0,13.0,1.0,21.0,18.0,41.0,32.0,17.0,12.0,66.0,97.0,30.0,55.0,92.0
4782,0.0,5.0,4.0,8.0,13.0,2.0,1.0,17.0,18.0,19.0,7.0,12.0,15.0,25.0,11.0,14.0,24.0,23.0,31.0,34.0,22.0,74.0,16.0,21.0,30.0,45.0,72.0,27.0,10.0,39.0
4831,5.0,10.0,0.0,1.0,2.0,8.0,4.0,12.0,13.0,7.0,9.0,28.0,27.0,26.0,51.0,24.0,35.0,49.0,3.0,36.0,21.0,108.0,17.0,22.0,30.0,23.0,43.0,44.0,60.0,20.0
4880,3.0,5.0,0.0,2.0,8.0,4.0,20.0,13.0,46.0,15.0,1.0,18.0,10.0,16.0,6.0,7.0,48.0,19.0,25.0,21.0,67.0,114.0,22.0,66.0,12.0,59.0,99.0,35.0,72.0,204.0
