,STOMACH,HAEMATOPOIETIC,LUNG,GANGLIA,THYROID,SOFT_TISSUE,BONE,OVARY,AERODIGESTIVE,PLEURA,LARGE_INTESTINE,PROSTATE,SALIVARY,SKIN,OESOPHAGUS,ENDOMETRIUM,BREAST,PANCREAS,LIVER,KIDNEY,NERVOUS,URINARY,BILIARY
1170,1.0,2.0,0.0,10.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,15.0,12.0,17.0,9.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
1219,0.0,1.0,15.0,8.0,2.0,3.0,4.0,9.0,5.0,6.0,10.0,12.0,11.0,17.0,7.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
1268,1.0,2.0,0.0,9.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,22.0,10.0,18.0,21.0,16.0,13.0,12.0,17.0,19.0,15.0,20.0,14.0
1317,4.0,0.0,8.0,10.0,2.0,3.0,1.0,5.0,6.0,7.0,11.0,22.0,12.0,17.0,9.0,21.0,13.0,16.0,15.0,18.0,19.0,20.0,14.0
1366,0.0,3.0,10.0,11.0,5.0,7.0,8.0,2.0,6.0,9.0,4.0,15.0,12.0,17.0,1.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
1415,1.0,2.0,0.0,9.0,3.0,4.0,5.0,6.0,11.0,7.0,10.0,15.0,12.0,17.0,8.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
1464,1.0,3.0,0.0,10.0,4.0,6.0,8.0,2.0,5.0,7.0,11.0,12.0,13.0,17.0,9.0,14.0,15.0,16.0,21.0,18.0,19.0,20.0,22.0
1513,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,7.0,10.0,5.0,15.0,11.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
1562,13.0,3.0,0.0,1.0,5.0,7.0,6.0,12.0,2.0,4.0,9.0,10.0,14.0,11.0,8.0,17.0,18.0,19.0,15.0,16.0,20.0,21.0,22.0
1611,2.0,1.0,0.0,3.0,6.0,8.0,7.0,14.0,4.0,5.0,9.0,10.0,12.0,11.0,21.0,19.0,20.0,13.0,17.0,18.0,15.0,16.0,22.0
1660,4.0,1.0,0.0,5.0,11.0,3.0,2.0,12.0,8.0,6.0,7.0,10.0,9.0,18.0,17.0,13.0,14.0,15.0,19.0,20.0,16.0,21.0,22.0
1709,3.0,1.0,0.0,5.0,8.0,2.0,4.0,11.0,6.0,7.0,9.0,10.0,12.0,13.0,21.0,16.0,17.0,18.0,14.0,15.0,19.0,20.0,22.0
1758,4.0,1.0,0.0,8.0,7.0,3.0,2.0,11.0,5.0,6.0,9.0,10.0,12.0,14.0,19.0,15.0,16.0,17.0,20.0,21.0,18.0,22.0,13.0
1807,4.0,0.0,10.0,5.0,8.0,2.0,1.0,11.0,6.0,7.0,9.0,3.0,12.0,14.0,19.0,16.0,17.0,18.0,13.0,15.0,20.0,21.0,22.0
1856,12.0,1.0,0.0,4.0,7.0,3.0,2.0,6.0,5.0,9.0,8.0,10.0,13.0,11.0,19.0,16.0,17.0,18.0,14.0,15.0,20.0,21.0,22.0
1905,4.0,1.0,0.0,5.0,8.0,3.0,2.0,11.0,6.0,7.0,9.0,10.0,12.0,13.0,21.0,17.0,18.0,19.0,15.0,16.0,20.0,14.0,22.0
1954,3.0,1.0,0.0,4.0,7.0,8.0,2.0,16.0,5.0,6.0,17.0,10.0,12.0,14.0,9.0,20.0,15.0,21.0,13.0,11.0,18.0,22.0,19.0
2003,1.0,4.0,11.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,0.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
2052,7.0,8.0,5.0,1.0,4.0,9.0,3.0,6.0,2.0,12.0,11.0,0.0,10.0,20.0,15.0,16.0,17.0,21.0,19.0,14.0,18.0,13.0,22.0
2101,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
2150,1.0,4.0,11.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,0.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
2199,9.0,8.0,7.0,1.0,10.0,6.0,5.0,15.0,3.0,4.0,2.0,0.0,11.0,12.0,21.0,16.0,17.0,18.0,14.0,13.0,19.0,20.0,22.0
2248,7.0,8.0,6.0,1.0,5.0,4.0,10.0,9.0,2.0,3.0,14.0,0.0,11.0,17.0,15.0,20.0,13.0,21.0,18.0,22.0,19.0,12.0,16.0
2297,1.0,4.0,12.0,2.0,5.0,6.0,8.0,3.0,11.0,7.0,10.0,0.0,13.0,17.0,9.0,14.0,15.0,16.0,21.0,18.0,19.0,20.0,22.0
2346,9.0,7.0,6.0,12.0,5.0,4.0,3.0,8.0,1.0,2.0,11.0,0.0,10.0,13.0,20.0,17.0,18.0,19.0,14.0,21.0,15.0,16.0,22.0
2395,1.0,4.0,11.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,0.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
2444,10.0,4.0,0.0,1.0,5.0,7.0,3.0,9.0,2.0,6.0,13.0,8.0,11.0,22.0,14.0,20.0,17.0,21.0,16.0,18.0,19.0,12.0,15.0
2493,0.0,1.0,11.0,5.0,2.0,3.0,4.0,8.0,9.0,7.0,6.0,22.0,10.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,15.0
2542,0.0,1.0,10.0,5.0,2.0,4.0,3.0,11.0,7.0,9.0,6.0,8.0,12.0,14.0,21.0,17.0,18.0,19.0,13.0,16.0,15.0,20.0,22.0
2591,0.0,1.0,15.0,5.0,2.0,3.0,4.0,6.0,8.0,9.0,7.0,10.0,11.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
2640,10.0,1.0,16.0,2.0,3.0,4.0,6.0,11.0,8.0,7.0,5.0,9.0,13.0,12.0,14.0,17.0,21.0,15.0,18.0,19.0,20.0,0.0,22.0
2689,3.0,0.0,14.0,4.0,1.0,7.0,8.0,21.0,6.0,9.0,5.0,2.0,11.0,16.0,10.0,19.0,13.0,12.0,15.0,20.0,17.0,18.0,22.0
2738,0.0,1.0,14.0,4.0,6.0,2.0,3.0,10.0,5.0,7.0,9.0,8.0,11.0,16.0,21.0,19.0,13.0,12.0,15.0,17.0,18.0,20.0,22.0
2787,0.0,1.0,22.0,5.0,2.0,4.0,3.0,18.0,6.0,7.0,9.0,8.0,11.0,13.0,21.0,15.0,16.0,17.0,12.0,14.0,19.0,20.0,10.0
2836,0.0,1.0,14.0,5.0,2.0,3.0,4.0,18.0,7.0,8.0,6.0,9.0,11.0,16.0,10.0,21.0,13.0,12.0,15.0,17.0,19.0,20.0,22.0
2885,0.0,2.0,15.0,3.0,4.0,6.0,8.0,1.0,7.0,9.0,5.0,10.0,12.0,18.0,13.0,16.0,21.0,14.0,17.0,19.0,20.0,11.0,22.0
2934,0.0,1.0,15.0,10.0,3.0,7.0,4.0,5.0,6.0,8.0,2.0,9.0,11.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
2983,1.0,4.0,0.0,2.0,5.0,7.0,8.0,3.0,10.0,6.0,9.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,22.0,18.0,19.0,20.0,13.0
3032,1.0,2.0,0.0,4.0,5.0,3.0,7.0,13.0,10.0,6.0,9.0,11.0,12.0,14.0,8.0,15.0,16.0,20.0,18.0,21.0,22.0,17.0,19.0
3081,4.0,1.0,0.0,5.0,7.0,2.0,3.0,6.0,10.0,8.0,9.0,11.0,12.0,15.0,20.0,16.0,17.0,18.0,21.0,13.0,14.0,19.0,22.0
3130,1.0,4.0,0.0,2.0,5.0,7.0,9.0,3.0,12.0,8.0,11.0,13.0,14.0,6.0,10.0,17.0,15.0,18.0,22.0,19.0,20.0,21.0,16.0
3179,1.0,2.0,0.0,6.0,3.0,5.0,4.0,21.0,9.0,7.0,8.0,10.0,11.0,18.0,16.0,13.0,20.0,14.0,12.0,19.0,15.0,22.0,17.0
3228,0.0,1.0,4.0,5.0,2.0,8.0,3.0,6.0,10.0,7.0,9.0,11.0,12.0,15.0,21.0,16.0,17.0,18.0,22.0,19.0,13.0,20.0,14.0
3277,1.0,2.0,0.0,5.0,3.0,7.0,4.0,13.0,8.0,10.0,6.0,11.0,12.0,16.0,21.0,17.0,9.0,14.0,22.0,18.0,19.0,20.0,15.0
3326,0.0,2.0,6.0,7.0,3.0,4.0,5.0,1.0,10.0,8.0,9.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
3375,1.0,3.0,0.0,8.0,4.0,5.0,6.0,2.0,10.0,7.0,9.0,11.0,12.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
3424,3.0,0.0,11.0,4.0,1.0,2.0,7.0,5.0,9.0,6.0,18.0,8.0,10.0,12.0,20.0,14.0,15.0,16.0,21.0,13.0,17.0,19.0,22.0
3473,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0,13.0,14.0
3522,1.0,6.0,0.0,2.0,7.0,8.0,5.0,13.0,3.0,4.0,10.0,11.0,12.0,15.0,9.0,16.0,17.0,18.0,21.0,19.0,20.0,22.0,14.0
3571,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,17.0,14.0,18.0,15.0,19.0,22.0,20.0,21.0,16.0,13.0
3620,1.0,4.0,0.0,2.0,5.0,7.0,8.0,3.0,10.0,6.0,9.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,22.0,18.0,19.0,20.0,13.0
3669,1.0,7.0,0.0,2.0,8.0,9.0,6.0,3.0,4.0,5.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,21.0,19.0,22.0,20.0,13.0
3718,2.0,0.0,10.0,9.0,7.0,1.0,3.0,5.0,4.0,6.0,22.0,8.0,11.0,16.0,14.0,18.0,19.0,20.0,15.0,17.0,21.0,13.0,12.0
3767,1.0,7.0,0.0,2.0,8.0,9.0,6.0,11.0,4.0,5.0,3.0,10.0,12.0,17.0,15.0,19.0,20.0,21.0,16.0,18.0,22.0,14.0,13.0
3816,1.0,4.0,0.0,2.0,6.0,8.0,9.0,3.0,5.0,7.0,10.0,11.0,12.0,14.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0,15.0,13.0
3865,1.0,4.0,0.0,2.0,6.0,7.0,8.0,3.0,5.0,10.0,9.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,22.0,18.0,19.0,20.0,13.0
3914,1.0,4.0,0.0,2.0,11.0,8.0,7.0,3.0,5.0,6.0,9.0,10.0,12.0,15.0,22.0,16.0,17.0,18.0,14.0,19.0,20.0,21.0,13.0
3963,1.0,3.0,0.0,2.0,5.0,6.0,7.0,14.0,4.0,10.0,9.0,11.0,12.0,13.0,8.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0,22.0
4012,1.0,2.0,0.0,5.0,3.0,6.0,4.0,8.0,10.0,12.0,9.0,14.0,11.0,15.0,7.0,19.0,20.0,13.0,21.0,16.0,17.0,18.0,22.0
4061,0.0,4.0,12.0,2.0,5.0,7.0,8.0,3.0,6.0,11.0,10.0,9.0,13.0,17.0,1.0,14.0,15.0,16.0,21.0,18.0,19.0,20.0,22.0
4110,1.0,4.0,0.0,3.0,6.0,8.0,9.0,14.0,7.0,11.0,5.0,12.0,13.0,15.0,10.0,17.0,18.0,19.0,22.0,20.0,21.0,2.0,16.0
4159,1.0,4.0,0.0,2.0,5.0,7.0,8.0,3.0,6.0,11.0,10.0,12.0,13.0,17.0,9.0,14.0,15.0,16.0,21.0,18.0,19.0,20.0,22.0
4208,0.0,1.0,15.0,5.0,2.0,3.0,4.0,9.0,6.0,11.0,12.0,7.0,10.0,17.0,8.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
4257,0.0,1.0,4.0,5.0,11.0,3.0,2.0,17.0,6.0,9.0,8.0,10.0,12.0,14.0,7.0,19.0,15.0,16.0,13.0,20.0,18.0,21.0,22.0
4306,0.0,1.0,11.0,5.0,2.0,3.0,4.0,14.0,6.0,10.0,9.0,7.0,12.0,13.0,8.0,20.0,21.0,15.0,18.0,22.0,16.0,17.0,19.0
4355,0.0,1.0,11.0,8.0,2.0,5.0,3.0,13.0,4.0,10.0,9.0,6.0,12.0,16.0,7.0,17.0,18.0,19.0,22.0,20.0,21.0,14.0,15.0
4404,11.0,2.0,7.0,5.0,3.0,1.0,0.0,13.0,6.0,9.0,10.0,4.0,8.0,12.0,22.0,21.0,15.0,16.0,20.0,18.0,14.0,17.0,19.0
4453,3.0,1.0,12.0,4.0,6.0,2.0,8.0,0.0,5.0,7.0,10.0,9.0,11.0,14.0,20.0,15.0,16.0,17.0,21.0,18.0,19.0,13.0,22.0
4502,0.0,2.0,15.0,5.0,3.0,4.0,7.0,1.0,10.0,8.0,6.0,9.0,11.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
4551,3.0,0.0,13.0,4.0,1.0,2.0,7.0,10.0,5.0,6.0,9.0,8.0,11.0,14.0,22.0,18.0,12.0,19.0,16.0,20.0,21.0,15.0,17.0
4600,0.0,2.0,8.0,10.0,3.0,4.0,7.0,1.0,5.0,6.0,11.0,13.0,12.0,19.0,20.0,16.0,17.0,18.0,21.0,14.0,15.0,9.0,22.0
4649,0.0,2.0,10.0,4.0,3.0,11.0,7.0,1.0,5.0,6.0,17.0,8.0,9.0,20.0,22.0,21.0,14.0,15.0,12.0,13.0,16.0,18.0,19.0
4698,0.0,1.0,12.0,5.0,2.0,3.0,9.0,6.0,7.0,8.0,10.0,4.0,11.0,13.0,20.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0
4747,0.0,1.0,10.0,3.0,7.0,2.0,8.0,5.0,4.0,6.0,12.0,9.0,11.0,15.0,21.0,17.0,18.0,19.0,14.0,16.0,20.0,13.0,22.0
4796,0.0,2.0,15.0,5.0,3.0,4.0,11.0,1.0,6.0,7.0,9.0,8.0,10.0,17.0,12.0,21.0,14.0,13.0,16.0,18.0,19.0,20.0,22.0
4845,0.0,2.0,15.0,3.0,4.0,6.0,8.0,1.0,7.0,9.0,5.0,10.0,12.0,18.0,13.0,16.0,21.0,14.0,17.0,19.0,20.0,11.0,22.0
4894,0.0,2.0,22.0,5.0,3.0,4.0,7.0,1.0,6.0,10.0,9.0,8.0,12.0,13.0,20.0,16.0,17.0,14.0,21.0,18.0,19.0,15.0,11.0
