,GATA3,FOXO3a,4E-BP1_pT37_T46,Heregulin,4E-BP1_pT70,4E-BP1,Cyclin_D1,Bim(EP1036),Akt_pS473,Cyclin_E1,ASNS,14-3-3_zeta,RSK1-2-3,MEK1_pS217_S221,XBP1,PRAS40_pT246,Bax,Src_pY416,A-Raf_pS299,p21,STAT5-alpha,Shc_pY317,4E-BP1_pS65,PDK1,Transglutaminase,ADAR1,Porin,beta-Catenin,PRDX1,Acetyl-a-Tubulin (Lys40)
1524,21.0,12.0,22.0,15.0,58.0,7.0,125.0,8.0,33.0,20.0,29.0,87.0,18.0,59.0,36.0,43.0,131.0,38.0,56.0,45.0,113.0,27.0,68.0,146.0,61.0,138.0,153.0,129.0,96.0,11.0
1573,21.0,22.0,17.0,155.0,48.0,11.0,114.0,81.0,47.0,13.0,6.0,130.0,73.0,24.0,102.0,29.0,70.0,26.0,63.0,135.0,0.0,12.0,57.0,147.0,85.0,60.0,25.0,39.0,157.0,129.0
1622,10.0,0.0,20.0,4.0,70.0,3.0,82.0,109.0,23.0,40.0,25.0,132.0,69.0,67.0,43.0,29.0,8.0,53.0,86.0,102.0,124.0,85.0,105.0,145.0,49.0,38.0,7.0,72.0,46.0,19.0
1671,8.0,12.0,70.0,13.0,47.0,6.0,11.0,135.0,98.0,88.0,16.0,18.0,34.0,86.0,90.0,55.0,58.0,27.0,74.0,155.0,23.0,33.0,104.0,138.0,52.0,56.0,20.0,164.0,150.0,22.0
1720,4.0,36.0,87.0,8.0,33.0,42.0,30.0,81.0,72.0,61.0,52.0,70.0,56.0,86.0,50.0,68.0,26.0,23.0,40.0,83.0,117.0,109.0,13.0,164.0,101.0,20.0,47.0,18.0,76.0,17.0
1769,158.0,8.0,31.0,18.0,45.0,81.0,29.0,89.0,84.0,38.0,50.0,48.0,22.0,33.0,34.0,30.0,125.0,25.0,79.0,73.0,69.0,21.0,4.0,108.0,3.0,20.0,110.0,11.0,90.0,105.0
1818,2.0,15.0,43.0,30.0,70.0,132.0,90.0,73.0,33.0,28.0,25.0,96.0,52.0,92.0,60.0,48.0,64.0,45.0,84.0,162.0,134.0,109.0,13.0,148.0,91.0,0.0,97.0,56.0,71.0,49.0
1867,50.0,14.0,36.0,143.0,11.0,40.0,60.0,2.0,24.0,27.0,32.0,95.0,110.0,75.0,47.0,18.0,120.0,28.0,21.0,19.0,124.0,67.0,58.0,149.0,20.0,6.0,92.0,22.0,158.0,57.0
1916,0.0,13.0,33.0,106.0,21.0,70.0,15.0,115.0,16.0,28.0,24.0,50.0,54.0,31.0,49.0,42.0,44.0,75.0,132.0,81.0,119.0,64.0,99.0,142.0,41.0,11.0,29.0,66.0,27.0,131.0
1965,7.0,23.0,14.0,63.0,109.0,30.0,111.0,46.0,22.0,41.0,12.0,110.0,5.0,44.0,91.0,74.0,6.0,80.0,129.0,56.0,75.0,114.0,60.0,96.0,71.0,76.0,57.0,135.0,153.0,19.0
2014,29.0,33.0,22.0,46.0,35.0,28.0,11.0,92.0,63.0,69.0,52.0,8.0,66.0,105.0,78.0,79.0,15.0,49.0,9.0,76.0,71.0,20.0,81.0,90.0,23.0,13.0,48.0,12.0,89.0,108.0
2063,13.0,7.0,51.0,21.0,58.0,142.0,6.0,41.0,74.0,72.0,65.0,98.0,28.0,106.0,68.0,45.0,22.0,34.0,14.0,78.0,20.0,18.0,39.0,81.0,50.0,140.0,75.0,4.0,8.0,141.0
2112,108.0,20.0,23.0,22.0,106.0,17.0,58.0,80.0,49.0,60.0,66.0,63.0,37.0,39.0,50.0,65.0,0.0,52.0,124.0,28.0,121.0,41.0,114.0,152.0,30.0,24.0,42.0,77.0,4.0,75.0
2161,123.0,12.0,95.0,40.0,37.0,44.0,4.0,16.0,33.0,57.0,21.0,80.0,7.0,41.0,24.0,84.0,6.0,72.0,43.0,79.0,122.0,77.0,25.0,69.0,92.0,97.0,63.0,136.0,18.0,26.0
2210,11.0,132.0,5.0,149.0,79.0,37.0,25.0,140.0,55.0,70.0,56.0,19.0,1.0,71.0,35.0,51.0,38.0,82.0,50.0,83.0,14.0,28.0,24.0,31.0,128.0,21.0,3.0,141.0,15.0,73.0
2259,104.0,5.0,15.0,158.0,96.0,0.0,79.0,51.0,6.0,41.0,49.0,134.0,63.0,95.0,40.0,84.0,143.0,88.0,60.0,25.0,23.0,7.0,16.0,62.0,46.0,4.0,32.0,54.0,155.0,13.0
2308,100.0,49.0,6.0,51.0,85.0,101.0,161.0,53.0,38.0,36.0,9.0,32.0,59.0,154.0,119.0,54.0,99.0,22.0,19.0,55.0,118.0,31.0,40.0,71.0,98.0,107.0,82.0,65.0,50.0,88.0
2357,6.0,30.0,22.0,34.0,18.0,15.0,5.0,97.0,65.0,19.0,118.0,74.0,0.0,50.0,79.0,72.0,10.0,53.0,9.0,75.0,32.0,54.0,66.0,87.0,82.0,33.0,150.0,57.0,91.0,43.0
2406,10.0,40.0,57.0,73.0,139.0,140.0,64.0,31.0,36.0,44.0,9.0,14.0,1.0,107.0,80.0,92.0,11.0,96.0,35.0,52.0,115.0,7.0,50.0,147.0,109.0,68.0,48.0,133.0,13.0,89.0
2455,61.0,150.0,38.0,10.0,12.0,46.0,37.0,80.0,27.0,68.0,3.0,4.0,109.0,28.0,29.0,72.0,92.0,77.0,53.0,26.0,74.0,60.0,76.0,75.0,42.0,43.0,34.0,96.0,47.0,52.0
2504,6.0,32.0,55.0,3.0,57.0,16.0,11.0,130.0,39.0,79.0,44.0,94.0,13.0,69.0,83.0,26.0,61.0,28.0,22.0,143.0,71.0,30.0,108.0,48.0,95.0,7.0,158.0,127.0,42.0,84.0
2553,102.0,6.0,42.0,19.0,5.0,13.0,142.0,58.0,18.0,36.0,46.0,4.0,89.0,69.0,80.0,71.0,45.0,81.0,68.0,3.0,11.0,57.0,43.0,22.0,52.0,141.0,8.0,103.0,56.0,70.0
2602,92.0,1.0,10.0,18.0,75.0,16.0,15.0,59.0,35.0,27.0,24.0,105.0,69.0,39.0,45.0,29.0,51.0,41.0,33.0,65.0,25.0,14.0,68.0,21.0,54.0,133.0,153.0,63.0,61.0,87.0
2651,98.0,58.0,18.0,3.0,96.0,29.0,99.0,35.0,39.0,19.0,46.0,53.0,61.0,54.0,41.0,68.0,37.0,85.0,124.0,81.0,11.0,76.0,69.0,13.0,64.0,117.0,80.0,12.0,60.0,45.0
2700,23.0,5.0,19.0,21.0,31.0,11.0,29.0,74.0,42.0,86.0,34.0,9.0,33.0,65.0,79.0,3.0,46.0,35.0,17.0,0.0,87.0,57.0,48.0,47.0,85.0,18.0,158.0,70.0,30.0,7.0
2749,14.0,8.0,24.0,51.0,41.0,33.0,89.0,104.0,55.0,50.0,74.0,135.0,70.0,20.0,78.0,19.0,67.0,84.0,32.0,23.0,129.0,85.0,40.0,29.0,57.0,131.0,60.0,58.0,47.0,127.0
2798,78.0,0.0,41.0,29.0,66.0,4.0,31.0,30.0,34.0,88.0,37.0,32.0,52.0,21.0,50.0,13.0,25.0,26.0,54.0,23.0,16.0,59.0,60.0,15.0,92.0,126.0,39.0,51.0,46.0,104.0
2847,129.0,41.0,4.0,126.0,76.0,102.0,5.0,80.0,55.0,43.0,88.0,0.0,19.0,86.0,57.0,70.0,11.0,54.0,15.0,22.0,118.0,81.0,58.0,45.0,71.0,101.0,90.0,25.0,65.0,79.0
2896,84.0,45.0,62.0,17.0,16.0,127.0,153.0,9.0,98.0,73.0,23.0,1.0,68.0,75.0,13.0,38.0,53.0,52.0,44.0,95.0,103.0,129.0,58.0,74.0,14.0,125.0,86.0,118.0,8.0,42.0
2945,5.0,16.0,26.0,12.0,79.0,13.0,110.0,19.0,22.0,34.0,92.0,59.0,20.0,51.0,17.0,68.0,80.0,29.0,88.0,56.0,128.0,81.0,63.0,65.0,113.0,91.0,58.0,31.0,35.0,39.0
2994,94.0,13.0,31.0,49.0,15.0,119.0,36.0,12.0,66.0,26.0,14.0,18.0,3.0,141.0,20.0,43.0,95.0,64.0,121.0,17.0,6.0,68.0,34.0,41.0,10.0,93.0,69.0,51.0,67.0,57.0
3043,2.0,13.0,17.0,45.0,39.0,9.0,139.0,5.0,27.0,26.0,84.0,59.0,86.0,90.0,55.0,4.0,41.0,31.0,0.0,61.0,56.0,100.0,7.0,75.0,16.0,114.0,30.0,129.0,14.0,78.0
3092,19.0,4.0,56.0,40.0,66.0,118.0,2.0,29.0,7.0,47.0,64.0,49.0,55.0,86.0,84.0,76.0,59.0,24.0,42.0,69.0,31.0,17.0,58.0,8.0,26.0,108.0,15.0,116.0,54.0,125.0
3141,4.0,16.0,27.0,32.0,44.0,8.0,12.0,102.0,45.0,53.0,66.0,105.0,30.0,57.0,85.0,81.0,52.0,38.0,56.0,99.0,18.0,65.0,20.0,155.0,63.0,104.0,71.0,135.0,160.0,91.0
3190,95.0,57.0,25.0,17.0,36.0,19.0,6.0,34.0,44.0,24.0,123.0,0.0,11.0,136.0,116.0,31.0,30.0,18.0,43.0,33.0,85.0,59.0,39.0,150.0,64.0,103.0,46.0,52.0,74.0,56.0
3239,16.0,96.0,69.0,58.0,79.0,14.0,83.0,33.0,30.0,71.0,51.0,108.0,39.0,46.0,35.0,42.0,72.0,80.0,11.0,22.0,32.0,117.0,23.0,31.0,44.0,95.0,56.0,21.0,158.0,47.0
3288,4.0,15.0,48.0,58.0,37.0,12.0,9.0,42.0,57.0,85.0,56.0,2.0,14.0,83.0,39.0,55.0,76.0,72.0,101.0,24.0,25.0,3.0,66.0,16.0,26.0,51.0,100.0,19.0,89.0,81.0
3337,33.0,45.0,94.0,21.0,78.0,112.0,34.0,32.0,26.0,44.0,133.0,13.0,20.0,61.0,14.0,90.0,10.0,83.0,27.0,24.0,23.0,71.0,99.0,15.0,128.0,37.0,19.0,50.0,54.0,31.0
3386,25.0,27.0,12.0,144.0,39.0,40.0,45.0,50.0,19.0,30.0,57.0,0.0,43.0,26.0,76.0,21.0,62.0,48.0,29.0,60.0,108.0,23.0,79.0,151.0,13.0,82.0,17.0,128.0,1.0,34.0
3435,8.0,26.0,22.0,156.0,15.0,82.0,40.0,33.0,94.0,56.0,70.0,106.0,20.0,3.0,39.0,65.0,139.0,67.0,50.0,48.0,41.0,57.0,93.0,74.0,54.0,34.0,71.0,97.0,37.0,66.0
3484,96.0,7.0,104.0,31.0,52.0,14.0,4.0,21.0,40.0,51.0,78.0,130.0,89.0,28.0,64.0,15.0,20.0,36.0,62.0,63.0,45.0,35.0,23.0,47.0,16.0,59.0,18.0,54.0,60.0,30.0
3533,28.0,27.0,9.0,61.0,39.0,38.0,66.0,40.0,70.0,82.0,57.0,7.0,56.0,41.0,55.0,11.0,69.0,50.0,30.0,36.0,89.0,49.0,31.0,78.0,42.0,107.0,22.0,12.0,94.0,91.0
3582,142.0,5.0,89.0,129.0,7.0,34.0,2.0,43.0,9.0,46.0,61.0,58.0,56.0,83.0,73.0,14.0,157.0,87.0,103.0,41.0,114.0,40.0,18.0,35.0,96.0,6.0,125.0,53.0,97.0,117.0
3631,2.0,44.0,92.0,9.0,32.0,91.0,0.0,107.0,47.0,76.0,57.0,43.0,73.0,21.0,62.0,63.0,127.0,18.0,29.0,90.0,7.0,25.0,33.0,48.0,70.0,52.0,1.0,17.0,86.0,78.0
3680,9.0,142.0,44.0,35.0,6.0,33.0,139.0,48.0,21.0,27.0,70.0,95.0,96.0,45.0,92.0,23.0,16.0,81.0,52.0,43.0,41.0,39.0,26.0,78.0,83.0,17.0,59.0,61.0,36.0,38.0
3729,24.0,31.0,68.0,160.0,22.0,7.0,28.0,27.0,64.0,103.0,61.0,21.0,96.0,50.0,89.0,32.0,26.0,82.0,83.0,29.0,69.0,1.0,54.0,114.0,100.0,45.0,51.0,93.0,37.0,73.0
3778,7.0,32.0,128.0,83.0,27.0,129.0,20.0,85.0,107.0,47.0,34.0,131.0,39.0,147.0,64.0,25.0,9.0,60.0,18.0,33.0,92.0,114.0,31.0,144.0,96.0,26.0,65.0,84.0,46.0,14.0
3827,23.0,80.0,105.0,65.0,13.0,130.0,3.0,78.0,43.0,91.0,17.0,2.0,24.0,66.0,56.0,11.0,38.0,68.0,47.0,30.0,40.0,8.0,73.0,18.0,20.0,31.0,112.0,33.0,39.0,82.0
3876,1.0,10.0,52.0,3.0,38.0,76.0,29.0,113.0,80.0,57.0,98.0,95.0,47.0,81.0,61.0,48.0,49.0,130.0,78.0,75.0,54.0,108.0,13.0,149.0,128.0,36.0,156.0,132.0,15.0,87.0
3925,26.0,11.0,50.0,22.0,59.0,82.0,36.0,80.0,75.0,14.0,19.0,76.0,25.0,17.0,100.0,30.0,61.0,77.0,18.0,42.0,28.0,110.0,40.0,4.0,2.0,41.0,45.0,7.0,52.0,127.0
3974,17.0,132.0,61.0,5.0,18.0,11.0,140.0,94.0,50.0,70.0,31.0,111.0,66.0,23.0,35.0,32.0,105.0,56.0,48.0,40.0,110.0,125.0,108.0,54.0,123.0,20.0,3.0,98.0,13.0,99.0
4023,16.0,57.0,30.0,14.0,3.0,5.0,134.0,8.0,42.0,19.0,114.0,18.0,29.0,12.0,36.0,47.0,130.0,33.0,37.0,27.0,2.0,124.0,71.0,61.0,113.0,122.0,96.0,154.0,88.0,87.0
4072,19.0,24.0,27.0,41.0,81.0,49.0,113.0,48.0,71.0,11.0,50.0,18.0,43.0,102.0,47.0,85.0,52.0,54.0,144.0,57.0,12.0,90.0,53.0,46.0,36.0,9.0,99.0,116.0,44.0,25.0
4121,52.0,17.0,35.0,3.0,5.0,24.0,160.0,7.0,19.0,45.0,127.0,50.0,91.0,139.0,42.0,62.0,23.0,113.0,55.0,26.0,12.0,27.0,83.0,33.0,74.0,85.0,36.0,106.0,63.0,107.0
4170,24.0,21.0,43.0,83.0,13.0,0.0,53.0,47.0,54.0,31.0,75.0,3.0,71.0,68.0,10.0,157.0,64.0,50.0,127.0,56.0,41.0,108.0,128.0,57.0,102.0,89.0,156.0,62.0,11.0,125.0
4219,30.0,22.0,82.0,5.0,8.0,126.0,158.0,19.0,57.0,68.0,43.0,26.0,1.0,23.0,39.0,153.0,32.0,87.0,3.0,24.0,77.0,111.0,86.0,44.0,33.0,131.0,91.0,48.0,54.0,132.0
4268,17.0,120.0,16.0,29.0,23.0,32.0,106.0,9.0,99.0,21.0,119.0,1.0,25.0,76.0,14.0,73.0,74.0,56.0,89.0,46.0,0.0,78.0,13.0,33.0,122.0,44.0,55.0,40.0,50.0,34.0
4317,7.0,35.0,39.0,4.0,32.0,46.0,20.0,91.0,98.0,57.0,25.0,22.0,73.0,49.0,41.0,27.0,82.0,21.0,74.0,53.0,8.0,122.0,99.0,17.0,1.0,80.0,157.0,112.0,15.0,47.0
4366,112.0,4.0,30.0,6.0,10.0,40.0,160.0,19.0,32.0,56.0,24.0,92.0,2.0,21.0,46.0,105.0,35.0,51.0,62.0,43.0,122.0,86.0,31.0,44.0,50.0,135.0,39.0,99.0,150.0,93.0
4415,12.0,74.0,88.0,41.0,26.0,27.0,118.0,8.0,44.0,58.0,57.0,67.0,91.0,47.0,37.0,30.0,159.0,46.0,100.0,10.0,114.0,40.0,63.0,0.0,45.0,19.0,110.0,23.0,81.0,28.0
4464,24.0,54.0,89.0,41.0,16.0,135.0,86.0,37.0,25.0,31.0,88.0,4.0,65.0,32.0,67.0,92.0,36.0,43.0,9.0,30.0,45.0,10.0,69.0,142.0,79.0,105.0,150.0,5.0,70.0,28.0
4513,147.0,95.0,46.0,5.0,32.0,13.0,14.0,24.0,19.0,82.0,37.0,26.0,104.0,28.0,41.0,159.0,29.0,51.0,57.0,87.0,116.0,2.0,115.0,1.0,92.0,135.0,20.0,48.0,112.0,111.0
4562,19.0,129.0,61.0,87.0,20.0,12.0,1.0,98.0,23.0,36.0,59.0,40.0,73.0,48.0,30.0,55.0,38.0,53.0,16.0,45.0,11.0,70.0,89.0,41.0,58.0,123.0,163.0,5.0,17.0,86.0
4611,76.0,68.0,36.0,35.0,48.0,13.0,33.0,81.0,50.0,64.0,75.0,133.0,108.0,20.0,10.0,25.0,117.0,67.0,41.0,44.0,127.0,4.0,39.0,31.0,87.0,135.0,93.0,7.0,82.0,56.0
4660,57.0,48.0,91.0,41.0,9.0,6.0,18.0,37.0,79.0,49.0,86.0,44.0,46.0,34.0,19.0,24.0,104.0,32.0,25.0,42.0,15.0,2.0,103.0,13.0,105.0,62.0,10.0,110.0,55.0,74.0
4709,6.0,19.0,69.0,14.0,49.0,53.0,163.0,23.0,57.0,52.0,136.0,141.0,22.0,92.0,70.0,16.0,48.0,77.0,2.0,45.0,28.0,36.0,27.0,61.0,33.0,89.0,143.0,83.0,18.0,55.0
4758,27.0,33.0,51.0,69.0,19.0,12.0,35.0,25.0,59.0,0.0,135.0,140.0,45.0,87.0,39.0,81.0,84.0,85.0,86.0,28.0,32.0,41.0,50.0,15.0,48.0,46.0,153.0,42.0,18.0,22.0
4807,15.0,136.0,90.0,50.0,71.0,127.0,16.0,33.0,21.0,66.0,2.0,8.0,20.0,27.0,89.0,43.0,107.0,81.0,110.0,79.0,122.0,3.0,52.0,157.0,64.0,39.0,104.0,7.0,18.0,38.0
4856,2.0,32.0,21.0,28.0,50.0,66.0,26.0,85.0,31.0,20.0,83.0,1.0,13.0,44.0,55.0,62.0,76.0,33.0,67.0,57.0,124.0,102.0,43.0,154.0,19.0,131.0,12.0,93.0,114.0,34.0
