,HER2_pY1248,Shc_pY317,EGFR_pY1068,B-Raf,Annexin 1,SHP-2_pY542,VHL,Akt,Claudin-7,RSK1-2-3,EGFR,P-Cadherin,Src,Syk,p38_pT180_Y182,E-Cadherin,alpha-Catenin,Rb,C-Raf_pS338,PEA15,eEF2,Smac,B-Raf_pS445,MIG-6,RAD51,C-Raf(BD610151),p21,MDMX_MDM4(BetIHC-00108),PKC-pan_BetaII_pS660,Cyclin_E2
690,3.0,0.0,2.0,8.0,9.0,15.0,4.0,1.0,5.0,10.0,12.0,6.0,55.0,49.0,11.0,25.0,56.0,19.0,7.0,29.0,60.0,24.0,30.0,40.0,43.0,87.0,27.0,112.0,20.0,79.0
739,2.0,1.0,0.0,11.0,15.0,5.0,8.0,12.0,10.0,6.0,20.0,3.0,16.0,14.0,4.0,26.0,25.0,30.0,38.0,121.0,7.0,41.0,77.0,80.0,18.0,108.0,73.0,52.0,114.0,95.0
788,3.0,5.0,0.0,6.0,21.0,78.0,13.0,4.0,16.0,14.0,10.0,1.0,11.0,15.0,2.0,9.0,17.0,12.0,7.0,54.0,37.0,41.0,61.0,45.0,44.0,34.0,32.0,129.0,20.0,49.0
837,3.0,2.0,0.0,15.0,22.0,1.0,118.0,6.0,55.0,11.0,8.0,5.0,14.0,46.0,4.0,12.0,56.0,16.0,7.0,23.0,17.0,24.0,117.0,19.0,41.0,67.0,60.0,104.0,28.0,38.0
886,3.0,2.0,6.0,7.0,25.0,40.0,15.0,1.0,4.0,134.0,77.0,10.0,22.0,0.0,44.0,12.0,98.0,17.0,8.0,27.0,42.0,94.0,101.0,21.0,13.0,65.0,33.0,113.0,144.0,11.0
935,4.0,0.0,10.0,9.0,5.0,2.0,3.0,13.0,18.0,15.0,12.0,6.0,11.0,17.0,14.0,1.0,143.0,53.0,23.0,41.0,42.0,46.0,49.0,50.0,33.0,35.0,26.0,58.0,7.0,59.0
984,9.0,4.0,1.0,28.0,2.0,31.0,10.0,6.0,0.0,19.0,49.0,3.0,20.0,5.0,21.0,25.0,53.0,24.0,14.0,37.0,78.0,7.0,18.0,16.0,39.0,38.0,17.0,26.0,23.0,108.0
1033,2.0,0.0,8.0,5.0,6.0,32.0,13.0,3.0,1.0,138.0,18.0,9.0,12.0,4.0,10.0,33.0,7.0,45.0,101.0,15.0,11.0,16.0,42.0,58.0,87.0,60.0,73.0,31.0,68.0,23.0
1082,2.0,0.0,7.0,50.0,14.0,6.0,3.0,13.0,17.0,27.0,15.0,5.0,4.0,10.0,31.0,1.0,18.0,36.0,25.0,37.0,9.0,11.0,30.0,91.0,24.0,35.0,77.0,68.0,19.0,67.0
1131,0.0,2.0,3.0,10.0,19.0,27.0,1.0,5.0,4.0,16.0,15.0,46.0,12.0,9.0,6.0,52.0,48.0,30.0,98.0,23.0,8.0,7.0,24.0,56.0,75.0,31.0,123.0,134.0,13.0,41.0
1180,0.0,2.0,1.0,4.0,26.0,8.0,21.0,9.0,7.0,114.0,25.0,15.0,10.0,103.0,11.0,105.0,80.0,24.0,83.0,64.0,53.0,5.0,16.0,46.0,18.0,13.0,132.0,20.0,14.0,17.0
1229,3.0,1.0,4.0,11.0,7.0,31.0,5.0,0.0,12.0,23.0,15.0,2.0,10.0,62.0,19.0,8.0,6.0,33.0,38.0,56.0,25.0,9.0,13.0,98.0,106.0,18.0,54.0,85.0,32.0,37.0
1278,0.0,2.0,8.0,1.0,15.0,7.0,51.0,17.0,9.0,39.0,24.0,6.0,12.0,18.0,5.0,22.0,16.0,3.0,4.0,11.0,13.0,49.0,45.0,33.0,98.0,37.0,114.0,43.0,10.0,85.0
1327,6.0,21.0,1.0,19.0,0.0,32.0,50.0,2.0,8.0,16.0,4.0,10.0,15.0,5.0,9.0,3.0,20.0,33.0,25.0,13.0,12.0,7.0,88.0,29.0,72.0,11.0,37.0,40.0,43.0,54.0
1376,1.0,0.0,4.0,30.0,7.0,26.0,5.0,6.0,2.0,12.0,18.0,8.0,3.0,17.0,9.0,10.0,20.0,39.0,79.0,13.0,45.0,49.0,57.0,35.0,101.0,11.0,48.0,88.0,16.0,27.0
1425,2.0,20.0,15.0,3.0,7.0,14.0,0.0,12.0,8.0,48.0,6.0,9.0,11.0,29.0,19.0,21.0,13.0,118.0,17.0,4.0,56.0,1.0,16.0,36.0,66.0,47.0,45.0,76.0,24.0,95.0
1474,1.0,0.0,4.0,2.0,6.0,11.0,18.0,12.0,17.0,3.0,23.0,8.0,16.0,9.0,15.0,31.0,36.0,5.0,41.0,48.0,107.0,7.0,34.0,24.0,43.0,49.0,38.0,10.0,56.0,80.0
1523,2.0,8.0,1.0,6.0,0.0,28.0,12.0,3.0,64.0,5.0,4.0,15.0,41.0,62.0,9.0,50.0,144.0,10.0,35.0,14.0,74.0,132.0,19.0,20.0,71.0,115.0,13.0,11.0,77.0,31.0
1572,1.0,2.0,3.0,0.0,6.0,13.0,8.0,12.0,7.0,14.0,24.0,15.0,21.0,25.0,9.0,45.0,48.0,20.0,61.0,16.0,86.0,35.0,23.0,106.0,4.0,5.0,66.0,11.0,70.0,95.0
1621,2.0,4.0,3.0,22.0,0.0,8.0,56.0,20.0,159.0,5.0,6.0,97.0,21.0,15.0,11.0,25.0,9.0,12.0,34.0,38.0,10.0,7.0,55.0,49.0,19.0,32.0,31.0,1.0,24.0,33.0
1670,2.0,3.0,0.0,6.0,1.0,7.0,14.0,9.0,19.0,39.0,10.0,102.0,18.0,22.0,63.0,147.0,41.0,11.0,55.0,5.0,77.0,20.0,60.0,23.0,4.0,36.0,37.0,12.0,49.0,40.0
1719,9.0,0.0,4.0,1.0,5.0,11.0,27.0,8.0,24.0,12.0,3.0,33.0,6.0,76.0,39.0,75.0,7.0,14.0,15.0,73.0,55.0,40.0,51.0,2.0,50.0,63.0,32.0,10.0,13.0,150.0
1768,0.0,2.0,1.0,5.0,3.0,33.0,9.0,4.0,12.0,8.0,14.0,19.0,17.0,43.0,23.0,18.0,54.0,11.0,21.0,58.0,62.0,10.0,20.0,66.0,56.0,94.0,104.0,34.0,59.0,39.0
1817,0.0,2.0,1.0,21.0,3.0,24.0,13.0,29.0,4.0,9.0,15.0,8.0,98.0,46.0,6.0,31.0,18.0,36.0,89.0,54.0,121.0,17.0,33.0,12.0,35.0,26.0,49.0,14.0,5.0,112.0
1866,1.0,0.0,2.0,8.0,3.0,4.0,27.0,15.0,56.0,6.0,35.0,12.0,5.0,7.0,40.0,33.0,9.0,19.0,36.0,18.0,21.0,17.0,34.0,30.0,38.0,49.0,11.0,42.0,63.0,14.0
1915,0.0,1.0,2.0,3.0,14.0,11.0,12.0,25.0,56.0,39.0,7.0,13.0,36.0,10.0,17.0,75.0,24.0,6.0,9.0,8.0,110.0,20.0,42.0,19.0,38.0,15.0,57.0,4.0,107.0,81.0
1964,0.0,3.0,4.0,1.0,5.0,2.0,22.0,9.0,36.0,15.0,13.0,14.0,19.0,31.0,50.0,6.0,11.0,27.0,103.0,83.0,10.0,39.0,37.0,34.0,66.0,89.0,47.0,77.0,42.0,26.0
2013,0.0,2.0,35.0,1.0,3.0,28.0,8.0,62.0,12.0,9.0,5.0,13.0,6.0,94.0,54.0,18.0,10.0,67.0,16.0,23.0,29.0,74.0,32.0,59.0,31.0,7.0,25.0,36.0,34.0,42.0
2062,2.0,4.0,32.0,0.0,1.0,17.0,87.0,68.0,25.0,21.0,13.0,9.0,14.0,61.0,27.0,20.0,81.0,71.0,29.0,55.0,11.0,50.0,7.0,52.0,48.0,47.0,45.0,114.0,46.0,18.0
2111,2.0,0.0,3.0,5.0,23.0,1.0,13.0,9.0,6.0,30.0,25.0,37.0,7.0,35.0,21.0,8.0,4.0,26.0,121.0,42.0,16.0,15.0,12.0,22.0,28.0,51.0,60.0,36.0,123.0,18.0
2160,1.0,4.0,2.0,3.0,0.0,15.0,30.0,65.0,14.0,6.0,7.0,26.0,77.0,5.0,56.0,43.0,35.0,37.0,47.0,12.0,31.0,120.0,18.0,45.0,33.0,29.0,36.0,9.0,60.0,21.0
2209,6.0,0.0,5.0,14.0,3.0,2.0,23.0,32.0,29.0,39.0,12.0,13.0,15.0,19.0,22.0,8.0,10.0,1.0,40.0,16.0,7.0,18.0,4.0,34.0,83.0,33.0,156.0,17.0,142.0,63.0
2258,6.0,1.0,4.0,14.0,0.0,2.0,35.0,76.0,36.0,92.0,12.0,5.0,3.0,70.0,27.0,13.0,19.0,11.0,8.0,18.0,7.0,23.0,62.0,20.0,10.0,69.0,21.0,41.0,72.0,22.0
2307,11.0,1.0,43.0,4.0,0.0,8.0,5.0,38.0,60.0,16.0,32.0,17.0,18.0,13.0,27.0,26.0,9.0,24.0,20.0,19.0,12.0,14.0,63.0,110.0,2.0,36.0,73.0,109.0,45.0,7.0
2356,9.0,2.0,4.0,13.0,0.0,1.0,14.0,18.0,3.0,34.0,11.0,8.0,41.0,26.0,12.0,40.0,6.0,7.0,88.0,27.0,30.0,38.0,125.0,23.0,37.0,35.0,140.0,52.0,51.0,76.0
2405,8.0,7.0,2.0,4.0,0.0,5.0,27.0,54.0,30.0,24.0,35.0,6.0,1.0,31.0,39.0,52.0,21.0,23.0,41.0,11.0,45.0,36.0,38.0,101.0,26.0,118.0,53.0,15.0,65.0,113.0
2454,17.0,1.0,5.0,0.0,2.0,6.0,32.0,12.0,25.0,8.0,7.0,3.0,4.0,28.0,19.0,26.0,11.0,47.0,41.0,10.0,22.0,45.0,35.0,104.0,71.0,105.0,20.0,31.0,55.0,51.0
2503,0.0,2.0,4.0,7.0,5.0,1.0,3.0,17.0,23.0,19.0,32.0,89.0,6.0,11.0,9.0,90.0,15.0,31.0,16.0,48.0,87.0,57.0,93.0,20.0,24.0,25.0,12.0,8.0,36.0,27.0
2552,2.0,4.0,1.0,11.0,8.0,6.0,5.0,36.0,28.0,13.0,55.0,20.0,10.0,9.0,60.0,76.0,67.0,0.0,14.0,17.0,24.0,49.0,21.0,121.0,18.0,150.0,19.0,77.0,145.0,69.0
2601,0.0,1.0,3.0,5.0,8.0,2.0,7.0,18.0,58.0,22.0,10.0,15.0,24.0,55.0,14.0,75.0,82.0,17.0,86.0,49.0,42.0,31.0,9.0,12.0,26.0,27.0,20.0,38.0,110.0,126.0
2650,1.0,2.0,7.0,0.0,3.0,5.0,4.0,6.0,62.0,11.0,22.0,118.0,52.0,91.0,12.0,82.0,15.0,9.0,19.0,20.0,46.0,88.0,14.0,13.0,156.0,80.0,28.0,39.0,85.0,59.0
2699,16.0,2.0,5.0,3.0,1.0,10.0,0.0,18.0,11.0,4.0,15.0,34.0,7.0,9.0,29.0,8.0,23.0,88.0,61.0,17.0,28.0,12.0,14.0,21.0,57.0,56.0,13.0,81.0,26.0,20.0
2748,2.0,3.0,5.0,8.0,0.0,1.0,26.0,64.0,41.0,9.0,19.0,57.0,58.0,11.0,38.0,68.0,82.0,4.0,18.0,39.0,77.0,27.0,54.0,6.0,32.0,28.0,16.0,130.0,43.0,116.0
2797,3.0,2.0,4.0,0.0,9.0,5.0,15.0,129.0,124.0,59.0,54.0,71.0,25.0,10.0,19.0,18.0,65.0,8.0,21.0,22.0,30.0,51.0,29.0,23.0,84.0,6.0,1.0,42.0,46.0,49.0
2846,1.0,0.0,6.0,2.0,4.0,3.0,5.0,10.0,13.0,66.0,96.0,11.0,8.0,17.0,33.0,27.0,26.0,9.0,21.0,51.0,25.0,28.0,7.0,30.0,48.0,16.0,69.0,36.0,23.0,31.0
2895,1.0,4.0,2.0,0.0,3.0,31.0,11.0,100.0,9.0,17.0,5.0,131.0,8.0,82.0,7.0,124.0,96.0,15.0,23.0,10.0,19.0,72.0,18.0,14.0,49.0,156.0,81.0,16.0,39.0,43.0
2944,2.0,10.0,5.0,14.0,1.0,92.0,0.0,3.0,17.0,20.0,13.0,4.0,110.0,6.0,15.0,39.0,8.0,18.0,12.0,28.0,148.0,7.0,24.0,9.0,40.0,25.0,26.0,19.0,22.0,50.0
2993,1.0,6.0,2.0,5.0,0.0,39.0,140.0,25.0,46.0,7.0,8.0,4.0,61.0,148.0,3.0,16.0,26.0,11.0,22.0,19.0,88.0,87.0,23.0,15.0,32.0,20.0,28.0,18.0,30.0,59.0
3042,1.0,5.0,3.0,6.0,2.0,11.0,21.0,0.0,10.0,4.0,7.0,16.0,19.0,104.0,18.0,8.0,25.0,15.0,91.0,28.0,13.0,46.0,9.0,23.0,24.0,48.0,17.0,29.0,119.0,55.0
3091,2.0,0.0,8.0,13.0,1.0,3.0,4.0,14.0,19.0,5.0,38.0,7.0,33.0,12.0,28.0,15.0,24.0,50.0,6.0,84.0,9.0,49.0,91.0,65.0,22.0,76.0,86.0,43.0,17.0,31.0
3140,8.0,0.0,6.0,4.0,37.0,29.0,2.0,1.0,13.0,10.0,11.0,3.0,112.0,27.0,30.0,34.0,16.0,12.0,15.0,72.0,89.0,94.0,7.0,46.0,18.0,9.0,25.0,71.0,24.0,58.0
3189,9.0,0.0,3.0,5.0,2.0,29.0,1.0,7.0,6.0,11.0,4.0,22.0,46.0,14.0,12.0,8.0,32.0,111.0,15.0,54.0,36.0,19.0,50.0,31.0,20.0,131.0,27.0,57.0,138.0,113.0
3238,10.0,1.0,3.0,17.0,0.0,16.0,19.0,7.0,49.0,13.0,5.0,8.0,52.0,20.0,23.0,56.0,9.0,11.0,4.0,18.0,134.0,35.0,28.0,21.0,12.0,54.0,30.0,24.0,78.0,86.0
3287,18.0,5.0,7.0,17.0,1.0,11.0,3.0,15.0,52.0,14.0,27.0,0.0,22.0,20.0,45.0,72.0,16.0,21.0,10.0,30.0,9.0,4.0,8.0,25.0,34.0,55.0,28.0,19.0,26.0,24.0
3336,5.0,0.0,2.0,1.0,3.0,18.0,31.0,7.0,42.0,8.0,6.0,4.0,24.0,50.0,20.0,47.0,26.0,34.0,16.0,53.0,76.0,28.0,11.0,9.0,67.0,61.0,32.0,13.0,27.0,21.0
3385,2.0,0.0,5.0,29.0,3.0,85.0,8.0,1.0,15.0,10.0,11.0,4.0,134.0,12.0,116.0,45.0,26.0,21.0,16.0,67.0,52.0,13.0,105.0,32.0,18.0,27.0,41.0,17.0,75.0,23.0
3434,5.0,6.0,1.0,30.0,12.0,0.0,11.0,10.0,3.0,14.0,13.0,18.0,2.0,7.0,35.0,100.0,9.0,28.0,17.0,21.0,4.0,55.0,15.0,81.0,71.0,87.0,72.0,111.0,107.0,95.0
3483,0.0,6.0,1.0,43.0,16.0,4.0,8.0,17.0,2.0,11.0,25.0,49.0,7.0,5.0,15.0,3.0,14.0,71.0,23.0,45.0,31.0,12.0,83.0,34.0,10.0,137.0,26.0,44.0,100.0,22.0
3532,0.0,2.0,1.0,7.0,9.0,6.0,5.0,26.0,15.0,18.0,12.0,90.0,16.0,17.0,10.0,3.0,11.0,24.0,58.0,34.0,13.0,14.0,23.0,61.0,57.0,32.0,25.0,65.0,48.0,22.0
3581,4.0,1.0,9.0,6.0,16.0,0.0,29.0,13.0,7.0,10.0,12.0,109.0,3.0,2.0,47.0,77.0,8.0,15.0,44.0,11.0,5.0,17.0,106.0,53.0,59.0,98.0,32.0,136.0,38.0,33.0
3630,0.0,10.0,1.0,43.0,12.0,3.0,7.0,5.0,2.0,4.0,41.0,27.0,77.0,11.0,6.0,30.0,65.0,13.0,38.0,19.0,21.0,66.0,23.0,45.0,35.0,32.0,73.0,9.0,18.0,25.0
3679,2.0,10.0,0.0,4.0,11.0,1.0,68.0,35.0,3.0,76.0,25.0,47.0,7.0,5.0,51.0,8.0,17.0,24.0,15.0,14.0,6.0,12.0,33.0,143.0,45.0,53.0,48.0,107.0,34.0,21.0
3728,5.0,0.0,2.0,11.0,17.0,3.0,1.0,33.0,8.0,6.0,14.0,37.0,39.0,18.0,10.0,4.0,34.0,23.0,41.0,7.0,12.0,91.0,16.0,95.0,137.0,88.0,53.0,40.0,77.0,26.0
3777,0.0,4.0,1.0,9.0,15.0,3.0,5.0,18.0,6.0,7.0,25.0,38.0,2.0,8.0,12.0,20.0,11.0,33.0,30.0,22.0,13.0,37.0,95.0,75.0,34.0,78.0,116.0,29.0,45.0,21.0
3826,3.0,1.0,0.0,81.0,4.0,2.0,69.0,18.0,5.0,32.0,13.0,27.0,7.0,15.0,14.0,8.0,6.0,71.0,53.0,11.0,12.0,21.0,37.0,49.0,44.0,22.0,46.0,28.0,16.0,30.0
3875,5.0,3.0,9.0,13.0,1.0,12.0,40.0,8.0,4.0,11.0,7.0,147.0,30.0,6.0,47.0,2.0,10.0,25.0,56.0,17.0,0.0,26.0,60.0,32.0,160.0,127.0,68.0,22.0,21.0,110.0
3924,1.0,0.0,5.0,13.0,55.0,11.0,7.0,4.0,26.0,3.0,24.0,28.0,17.0,23.0,8.0,21.0,39.0,9.0,10.0,48.0,14.0,53.0,20.0,29.0,76.0,6.0,19.0,2.0,15.0,22.0
3973,0.0,2.0,1.0,3.0,10.0,4.0,9.0,5.0,19.0,6.0,32.0,31.0,7.0,68.0,8.0,29.0,154.0,67.0,47.0,110.0,18.0,15.0,11.0,40.0,122.0,16.0,26.0,99.0,25.0,27.0
4022,2.0,5.0,0.0,16.0,17.0,8.0,3.0,7.0,4.0,1.0,12.0,42.0,24.0,25.0,38.0,9.0,35.0,80.0,18.0,29.0,13.0,27.0,21.0,14.0,78.0,22.0,31.0,90.0,85.0,69.0
4071,0.0,4.0,1.0,46.0,2.0,8.0,3.0,7.0,13.0,6.0,32.0,153.0,5.0,36.0,17.0,28.0,78.0,18.0,11.0,52.0,31.0,83.0,24.0,34.0,15.0,29.0,92.0,53.0,74.0,47.0
4120,1.0,0.0,2.0,3.0,18.0,15.0,6.0,12.0,31.0,37.0,23.0,43.0,21.0,16.0,11.0,22.0,17.0,60.0,4.0,35.0,20.0,30.0,13.0,89.0,51.0,9.0,65.0,25.0,94.0,5.0
4169,4.0,0.0,3.0,12.0,26.0,11.0,1.0,5.0,6.0,2.0,50.0,51.0,30.0,10.0,32.0,43.0,52.0,29.0,25.0,39.0,86.0,27.0,63.0,35.0,92.0,9.0,49.0,15.0,21.0,14.0
4218,14.0,0.0,2.0,5.0,13.0,8.0,4.0,1.0,6.0,3.0,38.0,26.0,11.0,40.0,12.0,19.0,87.0,15.0,20.0,28.0,9.0,42.0,18.0,153.0,142.0,7.0,48.0,76.0,52.0,67.0
4267,7.0,0.0,6.0,3.0,18.0,2.0,27.0,19.0,5.0,4.0,20.0,72.0,32.0,35.0,1.0,14.0,21.0,24.0,50.0,54.0,11.0,82.0,10.0,68.0,85.0,12.0,128.0,71.0,46.0,45.0
4316,3.0,4.0,1.0,5.0,6.0,0.0,36.0,10.0,9.0,23.0,11.0,50.0,2.0,65.0,13.0,14.0,41.0,61.0,52.0,18.0,22.0,97.0,8.0,28.0,35.0,15.0,27.0,93.0,21.0,29.0
4365,4.0,1.0,2.0,5.0,0.0,15.0,11.0,8.0,23.0,9.0,18.0,56.0,12.0,40.0,21.0,20.0,63.0,17.0,44.0,37.0,41.0,85.0,28.0,7.0,6.0,38.0,22.0,10.0,54.0,27.0
4414,0.0,7.0,20.0,1.0,22.0,65.0,10.0,2.0,21.0,14.0,55.0,4.0,77.0,74.0,12.0,9.0,28.0,41.0,16.0,18.0,59.0,63.0,17.0,101.0,44.0,13.0,128.0,111.0,27.0,61.0
4463,2.0,0.0,3.0,10.0,30.0,16.0,1.0,9.0,5.0,42.0,79.0,56.0,31.0,26.0,17.0,4.0,11.0,15.0,21.0,14.0,20.0,32.0,12.0,25.0,24.0,35.0,128.0,82.0,29.0,43.0
4512,9.0,1.0,0.0,4.0,35.0,7.0,19.0,6.0,5.0,21.0,2.0,32.0,13.0,29.0,3.0,16.0,11.0,43.0,58.0,23.0,50.0,8.0,10.0,22.0,25.0,26.0,112.0,81.0,37.0,59.0
4561,1.0,3.0,10.0,7.0,5.0,20.0,16.0,25.0,0.0,21.0,4.0,8.0,42.0,34.0,23.0,19.0,94.0,12.0,29.0,2.0,44.0,17.0,14.0,13.0,96.0,60.0,103.0,63.0,43.0,80.0
4610,3.0,0.0,7.0,1.0,17.0,5.0,18.0,4.0,2.0,10.0,25.0,9.0,28.0,65.0,38.0,21.0,73.0,6.0,36.0,22.0,27.0,101.0,26.0,13.0,81.0,12.0,93.0,80.0,42.0,69.0
4659,1.0,0.0,5.0,33.0,8.0,27.0,4.0,3.0,2.0,36.0,23.0,9.0,29.0,44.0,6.0,7.0,17.0,32.0,14.0,11.0,38.0,47.0,60.0,10.0,62.0,128.0,68.0,30.0,18.0,16.0
4708,1.0,3.0,2.0,6.0,59.0,7.0,4.0,34.0,0.0,24.0,15.0,21.0,16.0,19.0,12.0,8.0,60.0,18.0,22.0,55.0,5.0,28.0,54.0,93.0,9.0,86.0,51.0,83.0,80.0,10.0
4757,2.0,0.0,1.0,4.0,7.0,8.0,5.0,13.0,6.0,36.0,26.0,9.0,28.0,20.0,21.0,3.0,10.0,82.0,86.0,66.0,51.0,35.0,34.0,106.0,11.0,12.0,144.0,112.0,17.0,19.0
4806,14.0,0.0,21.0,5.0,2.0,12.0,7.0,18.0,9.0,81.0,1.0,22.0,28.0,44.0,26.0,11.0,6.0,3.0,20.0,47.0,75.0,31.0,39.0,17.0,4.0,30.0,49.0,101.0,15.0,51.0
4855,3.0,0.0,4.0,2.0,10.0,1.0,6.0,11.0,14.0,5.0,17.0,13.0,30.0,88.0,22.0,52.0,8.0,26.0,9.0,7.0,73.0,36.0,15.0,28.0,49.0,108.0,59.0,65.0,56.0,64.0
