,hsa-miR-924,hsa-miR-556-3p,hsa-miR-26a,hsa-miR-892a,hsa-miR-27b,hsa-miR-296-5p,hsa-miR-711,hsa-miR-331-5p,hsa-miR-105,hsa-miR-1307,bkv-miR-B1-5p,hsa-miR-504,hsa-miR-574-5p,hsa-miR-578,hsa-miR-616,hsa-miR-222,hsa-miR-361-5p,hsa-miR-483-3p,hsa-miR-143,hsa-miR-550,hsa-miR-548b-3p,hsa-miR-220b,hsa-miR-1236,hsa-miR-323-5p,kshv-miR-K12-5,hsa-miR-1977,hsa-miR-223,hsa-miR-489,hsa-miR-632,hsa-miR-581
1093,16.0,1.0,18.0,23.0,0.0,3.0,36.0,4.0,44.0,25.0,12.0,21.0,7.0,14.0,65.0,2.0,38.0,10.0,15.0,89.0,9.0,24.0,34.0,136.0,13.0,28.0,69.0,40.0,41.0,8.0
1142,3.0,1.0,30.0,60.0,33.0,10.0,2.0,17.0,32.0,0.0,5.0,13.0,15.0,14.0,171.0,4.0,16.0,11.0,8.0,49.0,27.0,37.0,9.0,66.0,36.0,38.0,41.0,62.0,23.0,7.0
1191,5.0,2.0,18.0,11.0,0.0,9.0,31.0,56.0,106.0,4.0,7.0,17.0,3.0,30.0,21.0,6.0,48.0,12.0,1.0,10.0,43.0,25.0,19.0,131.0,47.0,35.0,22.0,127.0,16.0,8.0
1240,7.0,9.0,5.0,3.0,0.0,1.0,2.0,4.0,38.0,8.0,6.0,12.0,29.0,77.0,107.0,13.0,11.0,21.0,14.0,51.0,25.0,55.0,31.0,47.0,30.0,19.0,28.0,26.0,82.0,120.0
1289,4.0,0.0,13.0,2.0,6.0,1.0,3.0,26.0,28.0,34.0,24.0,8.0,46.0,31.0,36.0,29.0,17.0,30.0,39.0,113.0,19.0,25.0,5.0,64.0,9.0,18.0,20.0,56.0,69.0,41.0
1338,5.0,1.0,11.0,52.0,3.0,2.0,22.0,21.0,19.0,0.0,4.0,14.0,26.0,78.0,43.0,6.0,53.0,29.0,38.0,15.0,59.0,58.0,33.0,45.0,194.0,17.0,13.0,23.0,104.0,16.0
1387,6.0,9.0,54.0,0.0,1.0,2.0,5.0,47.0,38.0,3.0,45.0,31.0,7.0,59.0,166.0,27.0,20.0,48.0,22.0,4.0,13.0,29.0,25.0,78.0,10.0,8.0,40.0,12.0,57.0,11.0
1436,1.0,4.0,6.0,5.0,18.0,0.0,29.0,38.0,40.0,2.0,3.0,20.0,15.0,63.0,113.0,11.0,46.0,14.0,13.0,117.0,24.0,37.0,12.0,60.0,22.0,45.0,23.0,33.0,68.0,34.0
1485,26.0,0.0,40.0,16.0,4.0,30.0,5.0,17.0,6.0,14.0,19.0,15.0,38.0,46.0,25.0,83.0,10.0,18.0,31.0,8.0,59.0,21.0,172.0,34.0,20.0,43.0,51.0,70.0,42.0,9.0
1534,10.0,2.0,43.0,13.0,3.0,39.0,7.0,6.0,93.0,16.0,40.0,24.0,11.0,9.0,5.0,42.0,25.0,49.0,12.0,19.0,45.0,26.0,103.0,76.0,21.0,0.0,96.0,94.0,28.0,92.0
1583,44.0,0.0,5.0,9.0,3.0,49.0,10.0,6.0,26.0,35.0,28.0,16.0,43.0,24.0,79.0,14.0,1.0,31.0,18.0,12.0,34.0,4.0,71.0,37.0,48.0,8.0,25.0,159.0,15.0,38.0
1632,9.0,0.0,100.0,1.0,13.0,3.0,5.0,2.0,12.0,29.0,45.0,18.0,15.0,119.0,61.0,40.0,6.0,20.0,23.0,19.0,37.0,22.0,251.0,63.0,21.0,11.0,30.0,66.0,34.0,69.0
1681,96.0,1.0,62.0,5.0,0.0,27.0,10.0,2.0,24.0,8.0,4.0,7.0,32.0,20.0,116.0,85.0,14.0,35.0,23.0,9.0,61.0,11.0,199.0,3.0,53.0,64.0,13.0,86.0,73.0,71.0
1730,42.0,0.0,8.0,1.0,2.0,13.0,6.0,4.0,34.0,22.0,12.0,7.0,3.0,95.0,9.0,29.0,18.0,26.0,58.0,134.0,25.0,33.0,225.0,180.0,5.0,14.0,11.0,197.0,75.0,74.0
1779,4.0,0.0,46.0,8.0,7.0,10.0,13.0,2.0,23.0,17.0,19.0,36.0,5.0,11.0,57.0,145.0,25.0,35.0,1.0,43.0,32.0,3.0,112.0,49.0,12.0,27.0,44.0,100.0,15.0,38.0
1828,23.0,4.0,26.0,2.0,20.0,19.0,27.0,1.0,32.0,30.0,17.0,38.0,13.0,10.0,9.0,11.0,7.0,21.0,25.0,0.0,3.0,8.0,66.0,43.0,55.0,33.0,133.0,72.0,15.0,22.0
1877,6.0,0.0,13.0,1.0,11.0,50.0,30.0,3.0,9.0,24.0,14.0,10.0,25.0,34.0,19.0,48.0,5.0,41.0,29.0,2.0,27.0,28.0,248.0,37.0,51.0,39.0,18.0,67.0,20.0,22.0
1926,4.0,0.0,21.0,2.0,7.0,48.0,15.0,43.0,13.0,1.0,210.0,11.0,17.0,12.0,45.0,72.0,10.0,37.0,36.0,29.0,81.0,28.0,156.0,6.0,91.0,46.0,32.0,115.0,9.0,157.0
1975,10.0,1.0,7.0,66.0,12.0,2.0,3.0,51.0,17.0,21.0,14.0,15.0,50.0,0.0,59.0,11.0,27.0,29.0,18.0,5.0,9.0,16.0,44.0,28.0,76.0,37.0,38.0,6.0,33.0,130.0
2024,11.0,9.0,8.0,43.0,0.0,2.0,12.0,57.0,29.0,15.0,1.0,3.0,35.0,6.0,41.0,28.0,18.0,22.0,19.0,7.0,30.0,16.0,73.0,65.0,10.0,17.0,26.0,5.0,126.0,34.0
2073,20.0,11.0,0.0,21.0,5.0,60.0,27.0,79.0,22.0,4.0,8.0,2.0,3.0,7.0,16.0,14.0,48.0,37.0,13.0,15.0,39.0,33.0,91.0,45.0,24.0,17.0,9.0,50.0,95.0,72.0
2122,38.0,3.0,2.0,35.0,0.0,33.0,13.0,53.0,4.0,6.0,17.0,1.0,30.0,12.0,75.0,5.0,26.0,11.0,31.0,19.0,40.0,39.0,48.0,27.0,64.0,55.0,23.0,25.0,36.0,83.0
2171,9.0,2.0,3.0,29.0,6.0,14.0,21.0,23.0,30.0,0.0,1.0,8.0,61.0,15.0,27.0,13.0,25.0,18.0,10.0,5.0,32.0,43.0,50.0,37.0,35.0,68.0,4.0,12.0,38.0,49.0
2220,36.0,14.0,35.0,9.0,0.0,65.0,63.0,29.0,48.0,3.0,16.0,2.0,40.0,4.0,24.0,66.0,47.0,122.0,93.0,19.0,15.0,11.0,176.0,1.0,119.0,50.0,6.0,8.0,45.0,51.0
2269,3.0,10.0,0.0,15.0,11.0,86.0,18.0,17.0,2.0,6.0,28.0,1.0,5.0,32.0,16.0,26.0,4.0,8.0,14.0,30.0,24.0,39.0,105.0,21.0,25.0,84.0,12.0,9.0,36.0,91.0
2318,17.0,34.0,6.0,23.0,80.0,2.0,13.0,33.0,3.0,0.0,9.0,57.0,4.0,7.0,8.0,11.0,135.0,53.0,181.0,40.0,29.0,215.0,60.0,50.0,87.0,127.0,18.0,10.0,61.0,366.0
2367,1.0,30.0,0.0,31.0,5.0,7.0,184.0,67.0,20.0,3.0,4.0,2.0,8.0,86.0,97.0,13.0,49.0,17.0,21.0,23.0,69.0,22.0,112.0,9.0,28.0,18.0,16.0,11.0,45.0,48.0
2416,4.0,3.0,10.0,34.0,1.0,5.0,59.0,78.0,11.0,0.0,23.0,7.0,75.0,27.0,24.0,43.0,14.0,20.0,9.0,8.0,25.0,21.0,135.0,42.0,28.0,17.0,13.0,12.0,37.0,69.0
2465,11.0,1.0,32.0,8.0,3.0,10.0,114.0,14.0,17.0,7.0,0.0,64.0,33.0,6.0,117.0,87.0,15.0,43.0,152.0,39.0,108.0,5.0,46.0,23.0,82.0,89.0,44.0,16.0,9.0,4.0
2514,3.0,17.0,68.0,6.0,2.0,5.0,4.0,18.0,89.0,1.0,0.0,85.0,61.0,14.0,226.0,41.0,130.0,8.0,136.0,25.0,21.0,74.0,20.0,31.0,15.0,37.0,22.0,19.0,54.0,27.0
2563,8.0,9.0,55.0,57.0,22.0,3.0,13.0,93.0,0.0,1.0,2.0,17.0,27.0,6.0,142.0,33.0,15.0,29.0,53.0,11.0,62.0,5.0,78.0,7.0,43.0,54.0,28.0,10.0,49.0,12.0
2612,2.0,11.0,41.0,13.0,12.0,4.0,1.0,8.0,6.0,0.0,3.0,28.0,25.0,14.0,57.0,7.0,38.0,20.0,27.0,9.0,35.0,60.0,52.0,18.0,54.0,71.0,53.0,26.0,17.0,63.0
2661,0.0,3.0,13.0,79.0,109.0,12.0,4.0,72.0,2.0,1.0,15.0,47.0,23.0,30.0,11.0,38.0,56.0,60.0,130.0,179.0,34.0,29.0,43.0,5.0,8.0,17.0,7.0,6.0,9.0,32.0
2710,0.0,11.0,93.0,26.0,12.0,57.0,27.0,72.0,14.0,2.0,4.0,15.0,8.0,5.0,69.0,16.0,62.0,7.0,28.0,1.0,36.0,23.0,43.0,21.0,17.0,18.0,59.0,35.0,3.0,31.0
2759,6.0,17.0,28.0,36.0,12.0,33.0,3.0,14.0,5.0,1.0,0.0,16.0,29.0,25.0,102.0,10.0,19.0,22.0,61.0,2.0,20.0,24.0,111.0,80.0,8.0,31.0,13.0,4.0,9.0,30.0
2808,3.0,5.0,65.0,10.0,1.0,24.0,9.0,6.0,7.0,0.0,2.0,13.0,41.0,11.0,75.0,18.0,20.0,39.0,45.0,14.0,28.0,31.0,107.0,62.0,16.0,30.0,8.0,4.0,19.0,12.0
2857,2.0,7.0,19.0,46.0,6.0,5.0,1.0,25.0,0.0,3.0,4.0,98.0,104.0,27.0,242.0,26.0,92.0,18.0,56.0,30.0,9.0,15.0,37.0,43.0,24.0,51.0,23.0,13.0,82.0,14.0
2906,13.0,22.0,112.0,52.0,19.0,9.0,17.0,14.0,10.0,12.0,1.0,46.0,88.0,4.0,28.0,20.0,27.0,26.0,65.0,48.0,16.0,8.0,55.0,70.0,2.0,54.0,59.0,15.0,29.0,11.0
2955,10.0,18.0,1.0,6.0,17.0,43.0,27.0,4.0,3.0,31.0,77.0,16.0,26.0,11.0,0.0,60.0,87.0,57.0,8.0,94.0,22.0,73.0,13.0,50.0,25.0,78.0,29.0,19.0,95.0,12.0
3004,10.0,8.0,4.0,11.0,7.0,135.0,30.0,3.0,1.0,23.0,0.0,9.0,18.0,24.0,34.0,56.0,110.0,223.0,50.0,61.0,14.0,42.0,2.0,12.0,55.0,43.0,28.0,17.0,26.0,5.0
3053,7.0,2.0,1.0,8.0,6.0,15.0,42.0,4.0,0.0,81.0,34.0,37.0,19.0,5.0,22.0,49.0,3.0,94.0,104.0,176.0,9.0,65.0,13.0,58.0,11.0,20.0,35.0,41.0,40.0,21.0
3102,24.0,9.0,0.0,7.0,1.0,67.0,41.0,4.0,2.0,36.0,20.0,6.0,18.0,12.0,13.0,48.0,25.0,112.0,68.0,26.0,23.0,40.0,45.0,58.0,19.0,35.0,5.0,3.0,77.0,17.0
3151,2.0,0.0,1.0,12.0,6.0,44.0,8.0,37.0,5.0,38.0,4.0,31.0,18.0,53.0,19.0,29.0,24.0,95.0,98.0,101.0,9.0,92.0,23.0,14.0,15.0,22.0,45.0,13.0,69.0,40.0
3200,20.0,2.0,0.0,3.0,5.0,18.0,23.0,1.0,19.0,9.0,26.0,127.0,28.0,102.0,32.0,55.0,25.0,27.0,202.0,40.0,6.0,77.0,11.0,83.0,174.0,46.0,63.0,14.0,213.0,133.0
3249,5.0,1.0,0.0,2.0,24.0,174.0,14.0,44.0,18.0,55.0,9.0,29.0,8.0,87.0,4.0,76.0,22.0,114.0,78.0,250.0,12.0,28.0,19.0,21.0,11.0,16.0,27.0,7.0,39.0,33.0
3298,1.0,2.0,0.0,4.0,6.0,89.0,48.0,12.0,27.0,54.0,17.0,30.0,3.0,79.0,7.0,8.0,24.0,137.0,49.0,65.0,16.0,106.0,21.0,9.0,22.0,13.0,23.0,63.0,56.0,45.0
3347,0.0,9.0,2.0,65.0,23.0,278.0,93.0,8.0,14.0,85.0,1.0,7.0,10.0,52.0,21.0,73.0,35.0,103.0,105.0,218.0,15.0,41.0,19.0,53.0,32.0,18.0,74.0,37.0,12.0,49.0
3396,21.0,5.0,6.0,13.0,95.0,265.0,14.0,79.0,12.0,27.0,66.0,31.0,0.0,29.0,4.0,28.0,137.0,182.0,77.0,64.0,16.0,96.0,7.0,44.0,38.0,2.0,50.0,3.0,8.0,53.0
3445,7.0,38.0,4.0,0.0,1.0,12.0,15.0,43.0,64.0,31.0,34.0,18.0,2.0,46.0,17.0,36.0,14.0,173.0,11.0,226.0,150.0,19.0,33.0,9.0,32.0,100.0,58.0,70.0,10.0,169.0
3494,10.0,6.0,2.0,0.0,5.0,104.0,28.0,24.0,22.0,61.0,56.0,21.0,1.0,32.0,7.0,18.0,11.0,42.0,14.0,186.0,30.0,69.0,29.0,49.0,26.0,35.0,71.0,25.0,3.0,23.0
3543,8.0,45.0,30.0,0.0,7.0,33.0,11.0,75.0,20.0,34.0,56.0,9.0,1.0,61.0,15.0,42.0,14.0,74.0,29.0,84.0,16.0,49.0,116.0,18.0,19.0,28.0,92.0,46.0,5.0,32.0
3592,21.0,7.0,2.0,1.0,4.0,18.0,54.0,32.0,8.0,104.0,76.0,11.0,0.0,39.0,9.0,25.0,12.0,92.0,31.0,179.0,16.0,44.0,41.0,6.0,71.0,52.0,124.0,14.0,10.0,143.0
3641,3.0,5.0,6.0,4.0,69.0,54.0,178.0,22.0,8.0,94.0,86.0,15.0,0.0,141.0,35.0,12.0,9.0,48.0,23.0,139.0,42.0,14.0,59.0,19.0,38.0,70.0,174.0,46.0,2.0,11.0
3690,5.0,28.0,4.0,9.0,22.0,134.0,11.0,43.0,13.0,107.0,87.0,14.0,0.0,17.0,8.0,29.0,16.0,102.0,3.0,64.0,62.0,34.0,56.0,32.0,48.0,20.0,127.0,144.0,1.0,116.0
3739,100.0,31.0,1.0,11.0,3.0,18.0,15.0,2.0,5.0,95.0,26.0,25.0,0.0,39.0,4.0,10.0,21.0,132.0,114.0,29.0,163.0,66.0,16.0,61.0,30.0,35.0,67.0,58.0,12.0,72.0
3788,63.0,35.0,3.0,0.0,7.0,86.0,32.0,13.0,19.0,29.0,37.0,2.0,1.0,96.0,4.0,18.0,6.0,87.0,11.0,198.0,38.0,78.0,132.0,16.0,50.0,15.0,150.0,60.0,10.0,27.0
3837,14.0,8.0,4.0,3.0,6.0,66.0,16.0,9.0,31.0,69.0,79.0,1.0,0.0,12.0,15.0,34.0,5.0,53.0,29.0,93.0,45.0,43.0,169.0,7.0,75.0,41.0,60.0,67.0,2.0,25.0
3886,14.0,5.0,16.0,0.0,4.0,53.0,32.0,12.0,85.0,48.0,38.0,6.0,1.0,11.0,13.0,35.0,3.0,93.0,17.0,64.0,15.0,18.0,27.0,74.0,33.0,39.0,71.0,28.0,20.0,68.0
3935,0.0,116.0,11.0,2.0,14.0,98.0,6.0,27.0,12.0,70.0,55.0,35.0,80.0,8.0,34.0,72.0,108.0,17.0,15.0,23.0,30.0,10.0,18.0,3.0,112.0,36.0,38.0,90.0,28.0,22.0
3984,1.0,39.0,17.0,8.0,13.0,25.0,22.0,100.0,7.0,6.0,239.0,45.0,10.0,36.0,19.0,28.0,56.0,11.0,42.0,0.0,5.0,20.0,2.0,4.0,334.0,84.0,31.0,41.0,14.0,12.0
4033,1.0,53.0,129.0,10.0,17.0,3.0,6.0,30.0,9.0,33.0,57.0,7.0,80.0,4.0,19.0,31.0,124.0,11.0,15.0,2.0,34.0,8.0,25.0,18.0,49.0,38.0,51.0,20.0,16.0,39.0
4082,1.0,82.0,55.0,46.0,49.0,47.0,0.0,20.0,2.0,3.0,42.0,6.0,50.0,25.0,4.0,17.0,193.0,22.0,15.0,7.0,13.0,64.0,52.0,9.0,26.0,66.0,37.0,21.0,38.0,45.0
4131,3.0,35.0,12.0,14.0,34.0,15.0,0.0,6.0,1.0,45.0,65.0,9.0,20.0,23.0,25.0,21.0,66.0,4.0,8.0,2.0,11.0,60.0,31.0,39.0,32.0,46.0,38.0,58.0,62.0,16.0
4180,5.0,23.0,44.0,34.0,68.0,6.0,4.0,13.0,12.0,89.0,250.0,33.0,116.0,11.0,25.0,47.0,91.0,46.0,9.0,27.0,1.0,22.0,17.0,39.0,15.0,32.0,53.0,20.0,37.0,8.0
4229,0.0,6.0,19.0,59.0,22.0,5.0,18.0,26.0,1.0,17.0,93.0,3.0,76.0,40.0,10.0,39.0,88.0,44.0,62.0,24.0,52.0,23.0,11.0,67.0,15.0,7.0,57.0,69.0,31.0,29.0
4278,2.0,16.0,9.0,10.0,75.0,24.0,3.0,29.0,0.0,39.0,106.0,13.0,191.0,7.0,25.0,15.0,61.0,53.0,17.0,6.0,21.0,19.0,18.0,4.0,64.0,30.0,26.0,36.0,117.0,27.0
4327,4.0,34.0,14.0,6.0,40.0,3.0,5.0,1.0,0.0,9.0,55.0,37.0,56.0,2.0,16.0,26.0,147.0,17.0,43.0,10.0,20.0,28.0,29.0,31.0,99.0,27.0,47.0,32.0,83.0,30.0
4376,18.0,11.0,21.0,0.0,26.0,35.0,4.0,7.0,3.0,16.0,100.0,31.0,14.0,17.0,54.0,44.0,102.0,68.0,34.0,1.0,10.0,36.0,23.0,15.0,84.0,43.0,12.0,13.0,61.0,8.0
4425,0.0,8.0,1.0,2.0,3.0,17.0,11.0,5.0,93.0,64.0,34.0,70.0,9.0,57.0,15.0,24.0,12.0,4.0,56.0,48.0,33.0,146.0,7.0,14.0,32.0,83.0,31.0,110.0,155.0,346.0
4474,5.0,7.0,0.0,4.0,11.0,8.0,1.0,14.0,15.0,9.0,24.0,30.0,77.0,66.0,12.0,6.0,37.0,29.0,38.0,43.0,84.0,160.0,10.0,2.0,98.0,28.0,26.0,50.0,180.0,118.0
4523,0.0,12.0,1.0,28.0,6.0,4.0,9.0,5.0,16.0,11.0,14.0,34.0,234.0,55.0,68.0,33.0,22.0,25.0,35.0,90.0,83.0,32.0,7.0,3.0,104.0,39.0,38.0,31.0,125.0,161.0
4572,2.0,4.0,7.0,3.0,23.0,1.0,0.0,8.0,25.0,24.0,43.0,84.0,26.0,31.0,5.0,6.0,73.0,11.0,15.0,53.0,22.0,137.0,18.0,21.0,70.0,50.0,41.0,40.0,95.0,361.0
4621,1.0,16.0,2.0,3.0,15.0,0.0,4.0,6.0,79.0,37.0,14.0,50.0,19.0,11.0,27.0,10.0,12.0,20.0,25.0,77.0,36.0,160.0,9.0,8.0,40.0,56.0,117.0,78.0,62.0,202.0
4670,1.0,17.0,3.0,6.0,11.0,2.0,0.0,9.0,13.0,42.0,16.0,59.0,168.0,20.0,36.0,28.0,5.0,8.0,49.0,65.0,26.0,85.0,24.0,10.0,18.0,63.0,33.0,45.0,190.0,220.0
4719,0.0,15.0,2.0,8.0,31.0,4.0,1.0,6.0,20.0,19.0,41.0,131.0,63.0,13.0,11.0,10.0,18.0,12.0,7.0,77.0,37.0,82.0,9.0,24.0,46.0,55.0,35.0,100.0,200.0,151.0
4768,1.0,0.0,2.0,3.0,52.0,8.0,9.0,22.0,10.0,6.0,29.0,11.0,19.0,26.0,16.0,18.0,32.0,12.0,165.0,279.0,119.0,211.0,13.0,20.0,127.0,44.0,23.0,67.0,72.0,459.0
4817,0.0,1.0,57.0,5.0,13.0,2.0,7.0,4.0,37.0,12.0,11.0,14.0,18.0,17.0,52.0,27.0,35.0,6.0,172.0,215.0,81.0,45.0,48.0,9.0,34.0,60.0,58.0,42.0,110.0,124.0
4866,1.0,14.0,2.0,0.0,10.0,4.0,3.0,22.0,101.0,5.0,8.0,20.0,66.0,50.0,31.0,18.0,9.0,15.0,107.0,56.0,25.0,71.0,11.0,7.0,19.0,137.0,16.0,46.0,166.0,174.0
