,hsa-miR-548d-3p,hsa-miR-508-3p,hsa-miR-223,hsa-miR-590-5p,hsa-miR-921,hsa-miR-222,hsa-miR-574-5p,hsa-miR-892a,hsa-miR-320c,hsa-miR-135b,hsa-miR-186,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-1245,hsa-miR-188-3p,hsa-miR-140-5p,hsa-miR-155,hsa-miR-27b,hsa-miR-711,hsa-miR-765,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-133b,hsa-miR-645,hsa-miR-1308,hsa-miR-548c-5p,hsa-miR-582-5p,hsa-miR-340,hsa-miR-323-5p,hsa-miR-296-5p
3055,0.0,6.0,1.0,3.0,18.0,5.0,2.0,14.0,8.0,12.0,15.0,7.0,4.0,20.0,22.0,10.0,11.0,28.0,27.0,9.0,32.0,23.0,13.0,21.0,36.0,17.0,107.0,16.0,25.0,19.0
3104,5.0,4.0,0.0,2.0,18.0,3.0,1.0,30.0,13.0,17.0,11.0,10.0,6.0,21.0,20.0,19.0,14.0,41.0,15.0,8.0,24.0,28.0,37.0,12.0,74.0,182.0,94.0,16.0,7.0,33.0
3153,1.0,8.0,2.0,5.0,24.0,4.0,0.0,9.0,3.0,11.0,16.0,7.0,13.0,40.0,20.0,6.0,25.0,23.0,31.0,14.0,17.0,15.0,12.0,19.0,334.0,34.0,33.0,27.0,10.0,93.0
3202,11.0,5.0,2.0,0.0,16.0,1.0,4.0,6.0,3.0,21.0,15.0,8.0,9.0,68.0,26.0,61.0,27.0,22.0,19.0,7.0,10.0,29.0,18.0,14.0,368.0,78.0,76.0,17.0,12.0,91.0
3251,1.0,4.0,5.0,20.0,23.0,0.0,7.0,2.0,16.0,10.0,9.0,101.0,6.0,67.0,17.0,27.0,12.0,61.0,38.0,33.0,18.0,8.0,26.0,14.0,333.0,52.0,37.0,22.0,3.0,15.0
3300,1.0,15.0,0.0,16.0,2.0,4.0,3.0,6.0,11.0,12.0,18.0,14.0,13.0,37.0,20.0,9.0,10.0,46.0,5.0,7.0,23.0,17.0,19.0,24.0,27.0,57.0,52.0,30.0,8.0,499.0
3349,2.0,8.0,1.0,3.0,12.0,4.0,0.0,7.0,16.0,10.0,21.0,11.0,6.0,29.0,19.0,24.0,5.0,47.0,22.0,28.0,25.0,18.0,26.0,58.0,366.0,171.0,128.0,81.0,9.0,59.0
3398,8.0,4.0,5.0,6.0,67.0,0.0,2.0,1.0,12.0,18.0,32.0,9.0,14.0,25.0,20.0,11.0,13.0,39.0,10.0,15.0,31.0,30.0,26.0,3.0,330.0,42.0,45.0,19.0,23.0,33.0
3447,0.0,2.0,8.0,3.0,4.0,1.0,17.0,11.0,5.0,9.0,16.0,10.0,20.0,13.0,7.0,6.0,72.0,23.0,49.0,56.0,28.0,19.0,12.0,18.0,41.0,100.0,15.0,42.0,37.0,14.0
3496,2.0,1.0,4.0,0.0,5.0,8.0,13.0,18.0,11.0,14.0,41.0,3.0,6.0,9.0,22.0,12.0,36.0,17.0,85.0,7.0,20.0,10.0,15.0,49.0,26.0,135.0,38.0,25.0,16.0,71.0
3545,1.0,3.0,7.0,9.0,4.0,2.0,0.0,5.0,21.0,19.0,20.0,8.0,11.0,15.0,22.0,6.0,16.0,25.0,17.0,24.0,58.0,18.0,10.0,249.0,26.0,69.0,12.0,35.0,36.0,49.0
3594,10.0,8.0,5.0,3.0,1.0,4.0,0.0,7.0,11.0,18.0,59.0,6.0,13.0,9.0,14.0,26.0,28.0,16.0,20.0,12.0,23.0,21.0,2.0,17.0,25.0,55.0,15.0,42.0,31.0,61.0
3643,0.0,2.0,8.0,5.0,3.0,4.0,1.0,15.0,9.0,23.0,16.0,17.0,20.0,12.0,21.0,6.0,45.0,61.0,32.0,13.0,38.0,40.0,10.0,25.0,7.0,22.0,90.0,82.0,33.0,54.0
3692,7.0,1.0,5.0,2.0,12.0,0.0,4.0,33.0,8.0,13.0,15.0,9.0,10.0,11.0,3.0,40.0,35.0,45.0,23.0,28.0,42.0,18.0,16.0,27.0,29.0,139.0,20.0,17.0,72.0,108.0
3741,2.0,1.0,6.0,11.0,14.0,0.0,5.0,7.0,4.0,3.0,26.0,8.0,19.0,17.0,10.0,13.0,9.0,28.0,25.0,29.0,27.0,16.0,20.0,75.0,15.0,101.0,24.0,38.0,39.0,12.0
3790,11.0,0.0,1.0,4.0,7.0,5.0,3.0,6.0,10.0,12.0,43.0,2.0,14.0,16.0,30.0,15.0,9.0,341.0,18.0,13.0,28.0,19.0,26.0,67.0,17.0,143.0,42.0,53.0,25.0,8.0
3839,3.0,6.0,4.0,10.0,2.0,0.0,1.0,8.0,9.0,5.0,16.0,25.0,23.0,28.0,24.0,7.0,58.0,22.0,33.0,29.0,14.0,27.0,12.0,43.0,13.0,48.0,40.0,11.0,87.0,485.0
3888,4.0,3.0,6.0,9.0,2.0,0.0,7.0,1.0,16.0,17.0,46.0,5.0,11.0,37.0,10.0,12.0,26.0,412.0,22.0,36.0,21.0,24.0,8.0,29.0,28.0,92.0,23.0,18.0,500.0,38.0
3937,9.0,3.0,10.0,7.0,0.0,1.0,14.0,2.0,8.0,4.0,11.0,13.0,28.0,5.0,26.0,6.0,30.0,18.0,31.0,39.0,19.0,79.0,41.0,21.0,46.0,80.0,17.0,49.0,24.0,12.0
3986,1.0,2.0,4.0,7.0,0.0,6.0,13.0,5.0,9.0,31.0,51.0,3.0,17.0,11.0,28.0,46.0,35.0,23.0,22.0,10.0,8.0,423.0,33.0,21.0,12.0,38.0,14.0,18.0,16.0,85.0
4035,9.0,2.0,0.0,6.0,10.0,1.0,11.0,5.0,7.0,8.0,27.0,12.0,37.0,4.0,20.0,22.0,17.0,485.0,288.0,19.0,18.0,77.0,23.0,14.0,31.0,65.0,15.0,55.0,25.0,3.0
4084,3.0,1.0,6.0,11.0,4.0,0.0,15.0,13.0,8.0,2.0,16.0,20.0,21.0,18.0,17.0,7.0,14.0,27.0,54.0,28.0,12.0,350.0,22.0,23.0,19.0,56.0,36.0,25.0,9.0,5.0
4133,3.0,1.0,11.0,6.0,2.0,0.0,10.0,5.0,9.0,8.0,25.0,4.0,19.0,7.0,32.0,26.0,22.0,18.0,12.0,24.0,14.0,312.0,43.0,27.0,23.0,21.0,30.0,13.0,41.0,15.0
4182,2.0,5.0,6.0,9.0,0.0,11.0,31.0,4.0,12.0,1.0,29.0,7.0,27.0,14.0,34.0,19.0,41.0,8.0,23.0,13.0,40.0,74.0,24.0,10.0,16.0,15.0,36.0,18.0,20.0,26.0
4231,3.0,8.0,1.0,6.0,0.0,7.0,20.0,19.0,9.0,4.0,17.0,15.0,23.0,2.0,35.0,14.0,16.0,30.0,26.0,25.0,11.0,431.0,37.0,12.0,28.0,40.0,10.0,13.0,5.0,31.0
4280,0.0,2.0,7.0,5.0,4.0,3.0,17.0,11.0,8.0,6.0,26.0,24.0,18.0,10.0,15.0,22.0,50.0,19.0,23.0,16.0,12.0,69.0,27.0,1.0,61.0,21.0,25.0,30.0,13.0,14.0
4329,2.0,0.0,1.0,3.0,6.0,4.0,17.0,9.0,7.0,5.0,40.0,15.0,13.0,11.0,12.0,14.0,57.0,16.0,23.0,20.0,32.0,93.0,41.0,36.0,25.0,42.0,29.0,8.0,18.0,22.0
4378,1.0,2.0,6.0,21.0,0.0,3.0,26.0,11.0,27.0,9.0,5.0,8.0,22.0,14.0,34.0,7.0,10.0,54.0,97.0,19.0,15.0,522.0,20.0,18.0,33.0,29.0,24.0,28.0,4.0,36.0
