,C16:0 LPE,C22:6 CE,1-methylnicotinamide,C34:2 DAG,guanosine,pantothenate,C18:0 LPE,creatine,alpha-glycerophosphocholine,carnitine,N-carbamoyl-beta-alanine,2-deoxycytidine,GABA,putrescine,alpha-hydroxybutyrate,creatinine,niacinamide,C18:0 LPC,DHAP/glyceraldehyde 3P,cytidine,NADP,C36:1 DAG,C20:4 CE,hypoxanthine,C22:6 LPE,acetylcholine,cotinine,oxalate,UMP,inositol
517,1.0,0.0,18.0,11.0,26.0,3.0,2.0,25.0,12.0,7.0,6.0,41.0,63.0,33.0,15.0,4.0,16.0,29.0,8.0,46.0,50.0,9.0,28.0,49.0,22.0,19.0,30.0,21.0,52.0,5.0
566,2.0,0.0,27.0,4.0,6.0,8.0,1.0,5.0,9.0,18.0,14.0,28.0,62.0,39.0,56.0,53.0,15.0,7.0,10.0,25.0,21.0,3.0,11.0,23.0,20.0,42.0,29.0,49.0,51.0,13.0
615,1.0,0.0,5.0,2.0,12.0,24.0,3.0,10.0,26.0,6.0,7.0,28.0,15.0,32.0,58.0,20.0,23.0,22.0,11.0,46.0,25.0,16.0,4.0,8.0,37.0,27.0,29.0,51.0,53.0,18.0
664,1.0,0.0,6.0,3.0,29.0,23.0,8.0,10.0,43.0,7.0,9.0,31.0,63.0,12.0,55.0,16.0,13.0,2.0,30.0,25.0,46.0,4.0,5.0,27.0,28.0,14.0,32.0,47.0,49.0,56.0
713,1.0,0.0,48.0,3.0,7.0,27.0,6.0,21.0,12.0,10.0,8.0,63.0,13.0,56.0,2.0,11.0,15.0,18.0,5.0,45.0,31.0,38.0,40.0,28.0,19.0,60.0,64.0,26.0,58.0,29.0
762,2.0,0.0,11.0,1.0,9.0,50.0,29.0,10.0,6.0,13.0,17.0,20.0,64.0,36.0,21.0,53.0,18.0,24.0,8.0,26.0,49.0,7.0,32.0,4.0,39.0,42.0,34.0,3.0,27.0,56.0
811,0.0,10.0,19.0,5.0,21.0,49.0,26.0,1.0,8.0,2.0,14.0,28.0,63.0,40.0,54.0,17.0,7.0,12.0,22.0,23.0,3.0,9.0,4.0,6.0,37.0,43.0,29.0,48.0,11.0,55.0
860,6.0,1.0,5.0,10.0,48.0,7.0,29.0,2.0,63.0,34.0,62.0,25.0,60.0,20.0,55.0,43.0,12.0,3.0,4.0,30.0,8.0,11.0,31.0,0.0,35.0,64.0,19.0,51.0,28.0,21.0
909,2.0,0.0,10.0,5.0,48.0,6.0,38.0,8.0,3.0,13.0,14.0,41.0,20.0,40.0,17.0,19.0,15.0,21.0,9.0,27.0,50.0,1.0,11.0,4.0,7.0,64.0,30.0,51.0,52.0,56.0
958,0.0,3.0,8.0,5.0,9.0,13.0,12.0,6.0,23.0,10.0,20.0,31.0,63.0,16.0,17.0,30.0,22.0,37.0,7.0,47.0,11.0,4.0,1.0,2.0,28.0,29.0,40.0,51.0,52.0,58.0
1007,0.0,3.0,1.0,5.0,28.0,10.0,33.0,54.0,18.0,9.0,16.0,6.0,8.0,22.0,65.0,20.0,64.0,2.0,49.0,48.0,30.0,4.0,41.0,29.0,36.0,44.0,19.0,35.0,32.0,56.0
1056,3.0,0.0,13.0,37.0,4.0,9.0,10.0,65.0,17.0,16.0,12.0,36.0,62.0,30.0,55.0,26.0,41.0,2.0,6.0,45.0,1.0,8.0,23.0,5.0,25.0,27.0,35.0,48.0,50.0,56.0
1105,3.0,0.0,2.0,7.0,27.0,9.0,4.0,26.0,22.0,40.0,62.0,41.0,30.0,31.0,18.0,11.0,63.0,1.0,28.0,21.0,24.0,5.0,14.0,48.0,37.0,64.0,23.0,49.0,51.0,17.0
1154,4.0,0.0,1.0,10.0,2.0,30.0,31.0,52.0,64.0,13.0,17.0,18.0,60.0,38.0,53.0,3.0,63.0,9.0,23.0,43.0,47.0,11.0,12.0,7.0,32.0,40.0,35.0,29.0,5.0,65.0
1203,17.0,0.0,3.0,29.0,5.0,27.0,18.0,16.0,11.0,24.0,35.0,65.0,8.0,14.0,52.0,12.0,63.0,4.0,10.0,32.0,1.0,2.0,33.0,30.0,40.0,64.0,43.0,28.0,50.0,19.0
1252,3.0,2.0,12.0,0.0,11.0,26.0,6.0,53.0,10.0,14.0,17.0,19.0,15.0,36.0,21.0,1.0,64.0,4.0,46.0,44.0,7.0,9.0,33.0,8.0,28.0,42.0,39.0,50.0,52.0,13.0
1301,0.0,12.0,3.0,27.0,11.0,1.0,2.0,14.0,7.0,17.0,20.0,16.0,64.0,33.0,57.0,5.0,24.0,36.0,47.0,46.0,8.0,13.0,39.0,9.0,15.0,29.0,30.0,51.0,53.0,58.0
1350,2.0,1.0,11.0,29.0,30.0,5.0,26.0,12.0,18.0,14.0,15.0,4.0,59.0,21.0,7.0,64.0,62.0,0.0,9.0,28.0,50.0,10.0,31.0,8.0,35.0,63.0,34.0,3.0,52.0,54.0
1399,5.0,0.0,7.0,28.0,10.0,6.0,2.0,27.0,17.0,20.0,64.0,14.0,21.0,37.0,56.0,3.0,16.0,1.0,47.0,11.0,31.0,12.0,25.0,8.0,36.0,42.0,39.0,49.0,51.0,57.0
1448,12.0,0.0,1.0,7.0,23.0,20.0,8.0,6.0,13.0,40.0,63.0,38.0,60.0,19.0,54.0,43.0,16.0,2.0,25.0,46.0,49.0,11.0,27.0,3.0,4.0,64.0,31.0,21.0,18.0,55.0
1497,1.0,3.0,6.0,0.0,9.0,30.0,13.0,7.0,64.0,37.0,12.0,11.0,18.0,36.0,24.0,46.0,16.0,34.0,48.0,5.0,51.0,32.0,35.0,10.0,28.0,8.0,2.0,31.0,53.0,58.0
1546,4.0,2.0,1.0,3.0,0.0,10.0,5.0,15.0,58.0,18.0,14.0,16.0,6.0,49.0,7.0,22.0,9.0,35.0,46.0,39.0,62.0,21.0,44.0,64.0,20.0,59.0,63.0,30.0,60.0,52.0
1595,8.0,1.0,3.0,28.0,4.0,11.0,22.0,5.0,17.0,36.0,16.0,21.0,61.0,7.0,20.0,64.0,63.0,14.0,32.0,47.0,24.0,35.0,25.0,0.0,9.0,18.0,29.0,50.0,23.0,12.0
1644,9.0,2.0,1.0,8.0,22.0,28.0,0.0,64.0,63.0,34.0,61.0,13.0,14.0,33.0,3.0,44.0,62.0,29.0,4.0,11.0,24.0,20.0,32.0,19.0,42.0,12.0,30.0,5.0,27.0,55.0
1693,3.0,22.0,0.0,21.0,9.0,27.0,7.0,11.0,58.0,37.0,56.0,15.0,1.0,45.0,53.0,14.0,13.0,39.0,29.0,32.0,63.0,2.0,5.0,46.0,35.0,10.0,18.0,62.0,4.0,50.0
1742,0.0,22.0,16.0,1.0,47.0,3.0,2.0,21.0,4.0,6.0,41.0,34.0,11.0,13.0,20.0,18.0,65.0,24.0,8.0,7.0,12.0,28.0,5.0,27.0,29.0,23.0,33.0,50.0,25.0,56.0
1791,0.0,12.0,1.0,13.0,3.0,7.0,2.0,4.0,43.0,15.0,18.0,5.0,16.0,21.0,19.0,65.0,64.0,35.0,27.0,22.0,8.0,28.0,37.0,9.0,23.0,26.0,31.0,48.0,25.0,54.0
1840,0.0,23.0,8.0,26.0,28.0,7.0,1.0,18.0,4.0,6.0,5.0,17.0,63.0,40.0,20.0,65.0,64.0,38.0,48.0,25.0,31.0,3.0,24.0,51.0,22.0,43.0,16.0,10.0,54.0,58.0
1889,0.0,31.0,10.0,11.0,2.0,51.0,6.0,3.0,8.0,1.0,65.0,7.0,32.0,35.0,15.0,21.0,9.0,43.0,48.0,28.0,23.0,26.0,29.0,5.0,20.0,13.0,16.0,22.0,19.0,57.0
1938,0.0,23.0,2.0,9.0,7.0,3.0,30.0,29.0,16.0,6.0,64.0,14.0,1.0,13.0,12.0,65.0,41.0,37.0,27.0,26.0,49.0,25.0,24.0,32.0,33.0,22.0,19.0,50.0,4.0,55.0
1987,1.0,0.0,8.0,10.0,12.0,28.0,2.0,4.0,64.0,14.0,63.0,42.0,61.0,26.0,5.0,44.0,15.0,39.0,27.0,47.0,30.0,9.0,11.0,31.0,7.0,18.0,34.0,29.0,6.0,65.0
2036,1.0,5.0,32.0,9.0,0.0,2.0,25.0,12.0,3.0,41.0,44.0,42.0,24.0,19.0,21.0,28.0,17.0,7.0,8.0,30.0,50.0,29.0,6.0,27.0,39.0,23.0,18.0,51.0,22.0,13.0
2085,0.0,11.0,1.0,7.0,49.0,4.0,3.0,10.0,16.0,5.0,13.0,23.0,15.0,43.0,32.0,19.0,12.0,20.0,31.0,29.0,6.0,34.0,28.0,51.0,37.0,17.0,36.0,30.0,27.0,8.0
2134,0.0,5.0,3.0,8.0,26.0,9.0,1.0,7.0,17.0,34.0,15.0,22.0,20.0,10.0,55.0,19.0,16.0,14.0,25.0,48.0,30.0,41.0,6.0,28.0,40.0,18.0,29.0,33.0,2.0,56.0
2183,5.0,1.0,11.0,12.0,47.0,3.0,6.0,53.0,42.0,15.0,18.0,16.0,62.0,14.0,55.0,0.0,19.0,40.0,27.0,13.0,26.0,2.0,32.0,48.0,24.0,20.0,39.0,8.0,7.0,22.0
2232,1.0,0.0,11.0,2.0,9.0,3.0,8.0,4.0,18.0,20.0,63.0,22.0,61.0,34.0,21.0,23.0,64.0,32.0,7.0,5.0,31.0,28.0,27.0,29.0,10.0,19.0,15.0,12.0,26.0,54.0
2281,1.0,2.0,20.0,0.0,4.0,24.0,6.0,28.0,31.0,41.0,64.0,42.0,23.0,10.0,12.0,11.0,19.0,22.0,9.0,48.0,25.0,30.0,3.0,27.0,26.0,5.0,36.0,7.0,53.0,18.0
2330,0.0,2.0,3.0,4.0,13.0,8.0,1.0,20.0,11.0,15.0,43.0,16.0,62.0,40.0,19.0,28.0,7.0,5.0,12.0,22.0,9.0,18.0,14.0,48.0,37.0,10.0,30.0,27.0,24.0,56.0
2379,0.0,1.0,9.0,3.0,47.0,7.0,2.0,53.0,42.0,40.0,63.0,30.0,61.0,34.0,4.0,5.0,64.0,13.0,10.0,44.0,50.0,11.0,12.0,8.0,27.0,18.0,31.0,26.0,24.0,6.0
2428,1.0,3.0,6.0,7.0,0.0,23.0,22.0,18.0,20.0,16.0,14.0,15.0,62.0,2.0,11.0,53.0,42.0,30.0,46.0,45.0,24.0,5.0,38.0,49.0,25.0,29.0,39.0,10.0,51.0,12.0
2477,2.0,15.0,7.0,11.0,3.0,8.0,26.0,4.0,1.0,19.0,14.0,13.0,20.0,0.0,10.0,22.0,53.0,6.0,12.0,25.0,49.0,28.0,30.0,5.0,27.0,18.0,9.0,50.0,24.0,57.0
2526,0.0,13.0,2.0,26.0,50.0,5.0,6.0,15.0,11.0,34.0,1.0,22.0,4.0,3.0,9.0,16.0,20.0,33.0,10.0,47.0,52.0,25.0,40.0,27.0,7.0,12.0,28.0,53.0,55.0,14.0
2575,1.0,3.0,29.0,0.0,2.0,50.0,19.0,14.0,23.0,16.0,63.0,27.0,10.0,5.0,9.0,42.0,17.0,18.0,7.0,26.0,21.0,6.0,38.0,48.0,22.0,64.0,30.0,20.0,4.0,13.0
2624,1.0,2.0,6.0,0.0,25.0,7.0,37.0,28.0,9.0,16.0,13.0,41.0,31.0,17.0,8.0,10.0,12.0,21.0,27.0,47.0,3.0,29.0,11.0,50.0,23.0,64.0,24.0,22.0,20.0,18.0
2673,1.0,0.0,4.0,2.0,9.0,53.0,38.0,24.0,31.0,5.0,64.0,19.0,61.0,33.0,6.0,25.0,45.0,8.0,26.0,49.0,7.0,28.0,29.0,23.0,39.0,20.0,27.0,21.0,55.0,14.0
2722,0.0,1.0,6.0,3.0,27.0,32.0,5.0,45.0,16.0,36.0,63.0,22.0,14.0,7.0,21.0,18.0,64.0,10.0,4.0,25.0,30.0,40.0,24.0,31.0,33.0,17.0,29.0,51.0,53.0,15.0
2771,0.0,22.0,8.0,9.0,11.0,6.0,25.0,10.0,28.0,14.0,15.0,1.0,2.0,4.0,33.0,24.0,21.0,3.0,48.0,27.0,30.0,39.0,40.0,32.0,26.0,64.0,12.0,29.0,5.0,65.0
2820,0.0,11.0,1.0,25.0,26.0,2.0,22.0,7.0,20.0,19.0,64.0,12.0,61.0,13.0,52.0,18.0,39.0,8.0,10.0,41.0,45.0,9.0,36.0,24.0,5.0,65.0,3.0,46.0,27.0,53.0
2869,0.0,10.0,5.0,9.0,7.0,29.0,20.0,3.0,2.0,46.0,57.0,17.0,53.0,24.0,33.0,16.0,14.0,23.0,12.0,32.0,1.0,15.0,41.0,30.0,11.0,58.0,4.0,6.0,27.0,52.0
2918,0.0,9.0,4.0,3.0,27.0,26.0,28.0,8.0,64.0,35.0,13.0,33.0,61.0,10.0,54.0,19.0,63.0,6.0,30.0,31.0,2.0,29.0,40.0,5.0,22.0,43.0,14.0,48.0,24.0,55.0
2967,2.0,6.0,3.0,1.0,9.0,25.0,11.0,5.0,62.0,4.0,61.0,42.0,23.0,17.0,14.0,64.0,8.0,21.0,0.0,7.0,48.0,27.0,10.0,47.0,39.0,63.0,38.0,49.0,22.0,15.0
3016,0.0,2.0,6.0,1.0,7.0,11.0,30.0,18.0,63.0,36.0,62.0,54.0,15.0,41.0,55.0,3.0,17.0,40.0,48.0,4.0,29.0,33.0,23.0,31.0,35.0,64.0,21.0,28.0,25.0,65.0
3065,0.0,2.0,1.0,4.0,5.0,24.0,25.0,22.0,13.0,9.0,64.0,3.0,61.0,15.0,19.0,26.0,41.0,32.0,11.0,12.0,49.0,29.0,23.0,10.0,39.0,65.0,16.0,8.0,51.0,18.0
3114,3.0,12.0,13.0,4.0,29.0,22.0,7.0,2.0,43.0,15.0,10.0,18.0,14.0,35.0,17.0,9.0,11.0,5.0,47.0,45.0,25.0,31.0,26.0,0.0,24.0,65.0,33.0,50.0,52.0,55.0
3163,7.0,11.0,4.0,2.0,6.0,31.0,21.0,0.0,64.0,16.0,63.0,10.0,15.0,14.0,53.0,23.0,1.0,5.0,12.0,9.0,33.0,40.0,26.0,47.0,25.0,43.0,8.0,48.0,29.0,54.0
3212,3.0,0.0,1.0,2.0,7.0,11.0,4.0,20.0,19.0,15.0,63.0,25.0,14.0,18.0,27.0,21.0,8.0,16.0,29.0,6.0,5.0,34.0,33.0,31.0,30.0,64.0,65.0,10.0,52.0,26.0
3261,0.0,11.0,3.0,1.0,27.0,8.0,23.0,42.0,26.0,2.0,63.0,20.0,14.0,13.0,4.0,53.0,7.0,30.0,9.0,10.0,5.0,38.0,17.0,49.0,36.0,64.0,19.0,25.0,22.0,16.0
3310,0.0,6.0,4.0,9.0,47.0,18.0,1.0,42.0,7.0,2.0,63.0,28.0,3.0,39.0,58.0,53.0,22.0,25.0,46.0,24.0,50.0,37.0,38.0,20.0,35.0,64.0,27.0,19.0,52.0,13.0
3359,3.0,2.0,6.0,1.0,8.0,49.0,9.0,15.0,25.0,0.0,14.0,39.0,63.0,16.0,65.0,13.0,4.0,40.0,7.0,28.0,24.0,38.0,29.0,26.0,22.0,53.0,21.0,23.0,20.0,55.0
3408,0.0,11.0,5.0,2.0,29.0,1.0,7.0,9.0,13.0,12.0,63.0,21.0,20.0,33.0,17.0,10.0,19.0,3.0,8.0,4.0,25.0,41.0,32.0,22.0,6.0,64.0,18.0,48.0,23.0,16.0
3457,9.0,0.0,1.0,5.0,6.0,8.0,28.0,24.0,16.0,40.0,63.0,29.0,61.0,7.0,15.0,17.0,64.0,37.0,25.0,10.0,3.0,26.0,27.0,23.0,20.0,43.0,14.0,22.0,21.0,12.0
3506,7.0,25.0,2.0,0.0,8.0,11.0,37.0,64.0,5.0,9.0,19.0,33.0,16.0,21.0,24.0,4.0,20.0,31.0,28.0,6.0,49.0,29.0,39.0,30.0,32.0,1.0,40.0,10.0,51.0,56.0
3555,0.0,5.0,3.0,1.0,2.0,26.0,25.0,4.0,17.0,10.0,64.0,7.0,15.0,18.0,19.0,22.0,41.0,24.0,45.0,6.0,29.0,28.0,32.0,30.0,11.0,65.0,12.0,27.0,50.0,56.0
3604,0.0,1.0,5.0,2.0,17.0,28.0,7.0,27.0,18.0,34.0,64.0,10.0,62.0,13.0,20.0,22.0,4.0,21.0,24.0,11.0,30.0,25.0,23.0,9.0,8.0,19.0,15.0,29.0,49.0,6.0
3653,4.0,0.0,7.0,3.0,13.0,26.0,31.0,44.0,16.0,8.0,63.0,32.0,60.0,35.0,24.0,5.0,64.0,40.0,46.0,12.0,25.0,11.0,19.0,49.0,41.0,6.0,39.0,1.0,28.0,29.0
3702,0.0,1.0,4.0,2.0,7.0,33.0,22.0,63.0,6.0,43.0,15.0,65.0,62.0,39.0,20.0,18.0,16.0,10.0,27.0,25.0,3.0,34.0,24.0,30.0,41.0,17.0,31.0,32.0,49.0,19.0
3751,1.0,6.0,11.0,2.0,0.0,48.0,9.0,19.0,4.0,3.0,64.0,17.0,62.0,18.0,12.0,28.0,8.0,20.0,23.0,7.0,21.0,24.0,38.0,47.0,30.0,42.0,16.0,27.0,49.0,55.0
3800,0.0,1.0,6.0,2.0,3.0,28.0,35.0,19.0,23.0,12.0,65.0,15.0,10.0,13.0,17.0,9.0,22.0,27.0,24.0,11.0,8.0,25.0,26.0,48.0,21.0,18.0,4.0,20.0,5.0,56.0
3849,0.0,6.0,1.0,12.0,10.0,25.0,5.0,3.0,14.0,2.0,64.0,11.0,61.0,7.0,17.0,9.0,42.0,16.0,26.0,4.0,29.0,27.0,31.0,30.0,39.0,8.0,13.0,28.0,22.0,54.0
3898,0.0,13.0,1.0,10.0,14.0,52.0,4.0,16.0,8.0,36.0,23.0,6.0,17.0,7.0,3.0,46.0,64.0,21.0,28.0,11.0,5.0,35.0,34.0,30.0,32.0,15.0,24.0,51.0,2.0,9.0
3947,0.0,23.0,17.0,3.0,6.0,9.0,41.0,7.0,5.0,50.0,12.0,63.0,8.0,18.0,34.0,61.0,58.0,19.0,4.0,44.0,35.0,2.0,1.0,42.0,20.0,13.0,24.0,36.0,30.0,32.0
3996,4.0,12.0,0.0,24.0,2.0,5.0,36.0,11.0,15.0,41.0,10.0,9.0,19.0,20.0,8.0,44.0,64.0,22.0,49.0,23.0,51.0,38.0,39.0,28.0,29.0,16.0,40.0,52.0,31.0,18.0
4045,0.0,1.0,8.0,6.0,7.0,4.0,25.0,44.0,11.0,17.0,10.0,3.0,62.0,14.0,21.0,15.0,64.0,35.0,9.0,46.0,5.0,34.0,32.0,31.0,37.0,2.0,13.0,23.0,28.0,65.0
4094,0.0,17.0,6.0,5.0,4.0,35.0,27.0,13.0,15.0,39.0,64.0,10.0,3.0,11.0,25.0,48.0,16.0,20.0,7.0,51.0,1.0,38.0,26.0,32.0,28.0,14.0,9.0,36.0,31.0,2.0
4143,1.0,2.0,16.0,4.0,5.0,22.0,6.0,26.0,0.0,17.0,64.0,8.0,3.0,42.0,10.0,45.0,15.0,43.0,28.0,49.0,7.0,41.0,31.0,25.0,24.0,32.0,9.0,23.0,20.0,11.0
4192,0.0,44.0,3.0,5.0,7.0,30.0,43.0,11.0,2.0,45.0,63.0,18.0,1.0,56.0,10.0,64.0,8.0,37.0,26.0,9.0,28.0,41.0,25.0,27.0,21.0,20.0,48.0,29.0,32.0,55.0
4241,0.0,12.0,2.0,8.0,14.0,51.0,26.0,3.0,19.0,15.0,63.0,11.0,5.0,20.0,21.0,53.0,64.0,30.0,46.0,45.0,50.0,10.0,37.0,49.0,7.0,42.0,36.0,4.0,54.0,16.0
4290,2.0,0.0,1.0,13.0,30.0,51.0,38.0,43.0,5.0,22.0,18.0,4.0,6.0,35.0,58.0,8.0,17.0,28.0,48.0,47.0,15.0,16.0,40.0,14.0,12.0,64.0,39.0,9.0,53.0,26.0
4339,0.0,24.0,2.0,35.0,3.0,53.0,26.0,5.0,15.0,38.0,64.0,4.0,6.0,11.0,19.0,45.0,14.0,23.0,50.0,48.0,27.0,33.0,30.0,21.0,28.0,16.0,37.0,1.0,25.0,58.0
4388,0.0,23.0,7.0,5.0,1.0,33.0,4.0,12.0,9.0,20.0,8.0,6.0,3.0,10.0,18.0,17.0,64.0,15.0,27.0,26.0,31.0,38.0,24.0,28.0,29.0,11.0,19.0,32.0,2.0,55.0
4437,0.0,11.0,14.0,9.0,12.0,1.0,6.0,28.0,53.0,32.0,27.0,29.0,16.0,15.0,19.0,3.0,21.0,5.0,8.0,46.0,26.0,38.0,10.0,2.0,35.0,25.0,24.0,51.0,54.0,18.0
4486,1.0,9.0,0.0,16.0,11.0,61.0,24.0,17.0,6.0,65.0,5.0,20.0,14.0,49.0,4.0,7.0,57.0,38.0,33.0,10.0,48.0,13.0,45.0,29.0,41.0,58.0,63.0,62.0,59.0,31.0
4535,2.0,0.0,1.0,5.0,20.0,3.0,18.0,25.0,63.0,40.0,8.0,16.0,15.0,28.0,9.0,43.0,62.0,41.0,21.0,23.0,11.0,24.0,39.0,6.0,37.0,64.0,30.0,50.0,26.0,17.0
4584,1.0,0.0,28.0,24.0,27.0,2.0,3.0,9.0,62.0,41.0,8.0,20.0,60.0,42.0,54.0,63.0,17.0,15.0,25.0,23.0,6.0,40.0,43.0,7.0,44.0,19.0,46.0,29.0,5.0,14.0
4633,0.0,2.0,6.0,23.0,26.0,1.0,3.0,42.0,24.0,39.0,5.0,29.0,60.0,31.0,21.0,12.0,63.0,10.0,22.0,14.0,17.0,13.0,30.0,27.0,11.0,64.0,28.0,49.0,51.0,8.0
4682,2.0,31.0,6.0,9.0,49.0,28.0,4.0,1.0,19.0,14.0,3.0,23.0,15.0,20.0,58.0,53.0,18.0,7.0,47.0,30.0,29.0,38.0,10.0,51.0,35.0,11.0,17.0,52.0,27.0,12.0
4731,0.0,1.0,11.0,2.0,26.0,10.0,9.0,41.0,6.0,14.0,3.0,19.0,20.0,30.0,21.0,65.0,63.0,31.0,25.0,24.0,49.0,37.0,5.0,23.0,8.0,64.0,17.0,50.0,52.0,7.0
4780,0.0,3.0,6.0,4.0,20.0,1.0,10.0,63.0,13.0,17.0,15.0,2.0,60.0,40.0,28.0,64.0,62.0,7.0,23.0,21.0,24.0,39.0,11.0,9.0,32.0,5.0,37.0,48.0,50.0,53.0
4829,0.0,1.0,2.0,12.0,11.0,10.0,24.0,21.0,42.0,31.0,6.0,14.0,16.0,39.0,3.0,26.0,64.0,34.0,5.0,4.0,8.0,23.0,38.0,13.0,9.0,53.0,17.0,50.0,7.0,19.0
4878,1.0,13.0,5.0,11.0,14.0,30.0,31.0,0.0,8.0,18.0,2.0,23.0,3.0,39.0,24.0,17.0,45.0,38.0,10.0,12.0,6.0,29.0,33.0,52.0,7.0,15.0,32.0,54.0,56.0,59.0
