,C2CD4D_AMP,PRKD1_MUT,LOC439994_DEL,RBM34_AMP,BRAF.MC_MUT,ZAN_DEL,RBFOX1_AMP,SNORA14B_AMP,LINGO4_AMP,FAM189B_AMP,RGPD4_AMP,DIAPH2_DEL,OR2T27_DEL,TOMM20_AMP,LOC100505679_DEL,SNX29_DEL,SCNM1_AMP,JAK1_DEL,LOC440300_DEL,FAM22D_DEL,MRPL9_AMP,FGF1_AMP,IGFBP1_AMP,RABGAP1L_DEL,ECM1_AMP,TCHHL1_AMP,GOLPH3L_AMP,IGFBP3_AMP,LOC388152_DEL,RAB13_AMP
1061,35.0,29.0,11.0,6.0,12.0,1075.0,0.0,74.0,8.0,265.0,63.0,181.0,182.0,23.0,1.0,69.0,25.0,2.0,3.0,244.0,10.0,24.0,9.0,88.0,97.0,186.0,43.0,26.0,13.0,72.0
1110,16076.0,12.0,21.0,29.0,41.0,1296.0,20.0,107.0,13603.0,299.0,78.0,24.0,10.0,38.0,136.0,60.0,17.0,6.0,33.0,659.0,26.0,40.0,14.0,220.0,15.0,351.0,4.0,18.0,122.0,336.0
1159,15993.0,56.0,35.0,28.0,63.0,472.0,59.0,2.0,13505.0,43.0,196.0,8.0,158.0,4.0,26.0,24.0,96.0,22.0,71.0,80.0,22052.0,321.0,380.0,141.0,17549.0,18309.0,948.0,463.0,130.0,111.0
1208,42.0,16651.0,300.0,2.0,6411.0,258.0,33.0,1.0,663.0,312.0,137.0,1116.0,16.0,0.0,37.0,186.0,30.0,5.0,3.0,643.0,17.0,133.0,20.0,301.0,50.0,278.0,150.0,10.0,90.0,313.0
1257,376.0,40.0,407.0,1.0,23.0,76.0,0.0,6.0,158.0,18112.0,14.0,7496.0,3.0,29.0,386.0,7.0,109.0,244.0,106.0,11.0,87.0,339.0,58.0,95.0,50.0,214.0,41.0,48.0,82.0,21426.0
1306,61.0,116.0,3819.0,20.0,15.0,8811.0,16.0,42.0,13614.0,281.0,213.0,26.0,91.0,44.0,31.0,151.0,14.0,49.0,10.0,850.0,60.0,344.0,45.0,166.0,13.0,18334.0,58.0,7.0,327.0,21689.0
1355,230.0,2.0,9.0,10.0,28.0,12.0,599.0,71.0,228.0,139.0,418.0,45.0,31.0,23.0,141.0,41.0,29.0,1.0,166.0,3.0,13.0,864.0,68.0,393.0,110.0,288.0,39.0,24.0,474.0,342.0
1404,16072.0,20.0,91.0,3.0,43.0,389.0,11.0,27.0,13536.0,357.0,16.0,10.0,50.0,2.0,26.0,867.0,398.0,276.0,190.0,25.0,21879.0,14058.0,444.0,102.0,703.0,18304.0,103.0,53.0,1216.0,64.0
1453,89.0,506.0,4.0,14.0,205.0,2677.0,8.0,17.0,296.0,309.0,571.0,112.0,10.0,2.0,40.0,119.0,24.0,150.0,1.0,7.0,16.0,2805.0,15.0,23.0,567.0,390.0,175.0,56.0,277.0,21670.0
1502,1.0,103.0,123.0,14099.0,2.0,8.0,174.0,7.0,63.0,44.0,61.0,52.0,3150.0,39.0,10.0,107.0,104.0,4.0,50.0,65.0,14.0,22.0,49.0,70.0,197.0,108.0,58.0,992.0,2326.0,6.0
1551,5.0,0.0,123.0,14092.0,23.0,13.0,505.0,165.0,31.0,271.0,4.0,21.0,79.0,2410.0,127.0,78.0,24.0,65.0,228.0,14.0,33.0,6.0,29.0,10.0,182.0,149.0,183.0,85.0,541.0,268.0
1600,1.0,29.0,33.0,1305.0,31.0,48.0,92.0,131.0,233.0,258.0,0.0,2260.0,42.0,265.0,15.0,19.0,3301.0,2.0,6.0,12951.0,15235.0,4.0,712.0,10.0,67.0,300.0,172.0,56.0,198.0,11.0
1649,29.0,1.0,2.0,60.0,4.0,12.0,13.0,6.0,23.0,44.0,0.0,43.0,30.0,7.0,1793.0,34.0,74.0,55.0,255.0,8971.0,52.0,151.0,21.0,14.0,80.0,205.0,41.0,257.0,374.0,33.0
1698,6.0,1508.0,4.0,676.0,101.0,20.0,90.0,28.0,33.0,35.0,3.0,1.0,136.0,74.0,113.0,351.0,155.0,66.0,1843.0,798.0,42.0,14153.0,15387.0,24.0,44.0,150.0,75.0,273.0,4626.0,36.0
1747,15.0,43.0,61.0,31.0,9461.0,78.0,114.0,67.0,6.0,38.0,0.0,142.0,27.0,21.0,209.0,4.0,169.0,14.0,138.0,104.0,37.0,11.0,234.0,50.0,136.0,156.0,71.0,229.0,2292.0,7.0
1796,3.0,22.0,8.0,14062.0,6594.0,236.0,747.0,23642.0,35.0,418.0,5.0,28.0,68.0,210.0,19144.0,4.0,9.0,443.0,888.0,2.0,33.0,1.0,25.0,239.0,128.0,109.0,127.0,264.0,146.0,48.0
1845,6.0,4.0,15.0,14129.0,789.0,67.0,266.0,1415.0,154.0,37.0,1.0,190.0,363.0,111.0,416.0,124.0,273.0,3.0,1350.0,35.0,48.0,2.0,73.0,13.0,220.0,195.0,99.0,145.0,5.0,7.0
1894,0.0,2.0,190.0,69.0,48.0,5.0,72.0,6.0,12.0,38.0,185.0,7.0,4355.0,314.0,19179.0,41.0,102.0,39.0,29.0,8960.0,251.0,20.0,154.0,61.0,84.0,180.0,179.0,151.0,107.0,8.0
1943,1.0,8.0,11.0,238.0,2.0,26.0,568.0,34.0,50.0,263.0,43.0,192.0,0.0,220.0,60.0,5.0,22.0,16.0,81.0,600.0,41.0,179.0,95.0,122.0,159.0,187.0,40.0,283.0,19.0,48.0
1992,12.0,166.0,29.0,74.0,399.0,331.0,14932.0,22.0,13530.0,30.0,42.0,119.0,1224.0,4.0,75.0,1.0,23808.0,9.0,100.0,1153.0,21761.0,23.0,527.0,70.0,20.0,145.0,41.0,15351.0,25.0,3.0
2041,39.0,904.0,8.0,237.0,90.0,0.0,43.0,21528.0,14322.0,27.0,2.0,3.0,2104.0,136.0,49.0,10.0,167.0,1136.0,37.0,42.0,227.0,9.0,173.0,2611.0,72.0,16099.0,4.0,307.0,11.0,31.0
2090,0.0,4.0,50.0,35.0,25.0,29.0,145.0,23748.0,56.0,26.0,75.0,108.0,4244.0,81.0,27.0,8.0,23797.0,586.0,424.0,872.0,13.0,14042.0,115.0,9457.0,74.0,20.0,198.0,120.0,203.0,33.0
2139,6.0,44.0,9.0,19.0,47.0,4.0,35.0,60.0,13532.0,41.0,36.0,1.0,4799.0,0.0,19166.0,31.0,239.0,30.0,49.0,69.0,331.0,625.0,61.0,1866.0,216.0,258.0,217.0,203.0,2118.0,7.0
2188,6.0,113.0,51.0,17.0,82.0,120.0,33.0,13.0,67.0,286.0,3.0,1.0,11827.0,9.0,8.0,0.0,331.0,27.0,63.0,10528.0,538.0,315.0,668.0,61.0,17679.0,117.0,536.0,5.0,1853.0,21713.0
2237,1.0,73.0,0.0,94.0,357.0,9258.0,341.0,25.0,14661.0,263.0,21.0,3.0,361.0,45.0,17.0,9.0,66.0,555.0,38.0,49.0,28.0,209.0,36.0,9811.0,46.0,114.0,99.0,42.0,566.0,4.0
2286,1.0,4.0,87.0,65.0,358.0,6.0,13.0,344.0,120.0,22.0,15.0,81.0,11469.0,97.0,2922.0,0.0,231.0,821.0,11768.0,10400.0,30.0,69.0,63.0,6687.0,109.0,176.0,215.0,15460.0,7.0,2.0
2335,2.0,37.0,28.0,39.0,88.0,0.0,15789.0,13.0,18100.0,17.0,3563.0,27.0,422.0,19.0,417.0,210.0,83.0,5.0,32.0,1916.0,35.0,2001.0,140.0,10133.0,205.0,222.0,74.0,8.0,148.0,15.0
2384,2.0,7.0,0.0,399.0,20.0,441.0,22.0,115.0,13648.0,21.0,51.0,145.0,751.0,1366.0,363.0,13.0,196.0,29.0,765.0,63.0,19.0,124.0,1196.0,530.0,149.0,157.0,35.0,15393.0,169.0,6.0
2433,1.0,39.0,70.0,7.0,47.0,44.0,400.0,22.0,13615.0,34.0,48.0,5.0,52.0,3.0,18.0,179.0,102.0,89.0,94.0,8823.0,25.0,61.0,15481.0,62.0,31.0,233.0,140.0,78.0,171.0,41.0
2482,8.0,147.0,5.0,50.0,0.0,6.0,498.0,2.0,14.0,158.0,1.0,295.0,291.0,1181.0,112.0,17.0,32.0,2188.0,9.0,121.0,191.0,7.0,78.0,16.0,19.0,70.0,29.0,796.0,24.0,11.0
2531,10.0,84.0,196.0,5.0,0.0,17.0,4.0,8.0,13494.0,187.0,18.0,23.0,562.0,2.0,2295.0,32.0,76.0,4162.0,160.0,120.0,290.0,14.0,87.0,246.0,266.0,47.0,42.0,28.0,16.0,272.0
2580,9.0,11.0,552.0,199.0,107.0,8813.0,31.0,894.0,13621.0,220.0,7.0,67.0,308.0,169.0,22.0,3.0,23863.0,1000.0,6.0,8957.0,1011.0,0.0,15404.0,96.0,84.0,110.0,90.0,1112.0,21.0,250.0
2629,13.0,112.0,14.0,128.0,51.0,4.0,11.0,12.0,38.0,298.0,68.0,7.0,11272.0,20.0,2.0,7466.0,106.0,1164.0,142.0,57.0,353.0,3.0,357.0,423.0,119.0,224.0,212.0,326.0,1.0,64.0
2678,11.0,17.0,1.0,40.0,48.0,0.0,92.0,10.0,13626.0,226.0,3.0,144.0,1531.0,19.0,42.0,5.0,4.0,2558.0,63.0,8971.0,104.0,2.0,377.0,118.0,185.0,37.0,6.0,680.0,32.0,56.0
2727,10.0,48.0,486.0,32.0,18.0,29.0,922.0,380.0,236.0,232.0,20.0,3099.0,8.0,62.0,19173.0,3.0,297.0,110.0,832.0,718.0,369.0,59.0,50.0,64.0,294.0,57.0,88.0,53.0,245.0,12.0
2776,3.0,36.0,19.0,28.0,1.0,43.0,6.0,44.0,9.0,18270.0,13.0,1058.0,105.0,5.0,336.0,40.0,14.0,4981.0,277.0,34.0,138.0,0.0,126.0,124.0,148.0,7.0,149.0,15392.0,330.0,22.0
2825,54.0,12.0,111.0,18.0,17.0,2.0,223.0,23684.0,227.0,307.0,46.0,9.0,114.0,73.0,57.0,24.0,136.0,274.0,23.0,153.0,21813.0,40.0,59.0,243.0,13.0,45.0,14.0,6.0,37.0,78.0
2874,1.0,1293.0,20.0,11.0,105.0,1167.0,78.0,27.0,140.0,171.0,697.0,26.0,16.0,62.0,13.0,43.0,227.0,35.0,52.0,25.0,21746.0,6.0,146.0,2424.0,170.0,23.0,169.0,113.0,32.0,2.0
2923,11.0,793.0,1.0,89.0,1448.0,38.0,189.0,32.0,1412.0,236.0,13307.0,4.0,5457.0,165.0,294.0,19.0,315.0,35.0,50.0,3.0,170.0,0.0,82.0,2481.0,63.0,25.0,309.0,88.0,372.0,72.0
2972,24.0,5.0,4.0,950.0,33.0,3.0,7.0,282.0,365.0,165.0,225.0,6.0,15.0,231.0,25.0,9564.0,242.0,772.0,12.0,14.0,22673.0,111.0,56.0,0.0,359.0,367.0,153.0,2.0,26.0,15214.0
3021,19.0,72.0,10.0,221.0,711.0,60.0,1352.0,149.0,55.0,18246.0,16.0,17.0,5.0,116.0,41.0,54.0,30.0,4268.0,7.0,0.0,20.0,14057.0,154.0,223.0,882.0,92.0,81.0,375.0,29.0,21634.0
3070,3.0,387.0,53.0,285.0,2832.0,29.0,114.0,6.0,21.0,60.0,0.0,75.0,1231.0,11.0,96.0,614.0,82.0,4328.0,8.0,33.0,21809.0,28.0,20.0,18.0,17594.0,46.0,86.0,12.0,37.0,258.0
3119,6.0,1.0,29.0,388.0,230.0,17.0,3275.0,69.0,50.0,72.0,0.0,1047.0,5.0,317.0,45.0,820.0,52.0,3685.0,119.0,127.0,293.0,407.0,176.0,77.0,173.0,27.0,91.0,15493.0,24.0,287.0
3168,3.0,10.0,62.0,30.0,12.0,24.0,1720.0,55.0,1.0,640.0,0.0,174.0,49.0,66.0,58.0,362.0,829.0,4199.0,34.0,80.0,8.0,1229.0,13.0,3535.0,3364.0,19.0,259.0,20.0,11.0,21592.0
3217,10.0,20.0,28.0,55.0,18.0,342.0,996.0,5.0,41.0,293.0,30.0,74.0,316.0,31.0,68.0,1218.0,22.0,1056.0,144.0,3.0,58.0,335.0,46.0,3296.0,59.0,19.0,76.0,646.0,108.0,21693.0
3266,24.0,285.0,27.0,4.0,1020.0,3.0,1662.0,227.0,323.0,18258.0,2.0,95.0,1088.0,118.0,14.0,8984.0,43.0,4341.0,380.0,1.0,924.0,76.0,277.0,20.0,215.0,179.0,77.0,58.0,112.0,417.0
3315,4.0,89.0,1.0,928.0,20.0,9.0,64.0,23639.0,13.0,357.0,6.0,32.0,175.0,93.0,30.0,68.0,77.0,85.0,380.0,7.0,48.0,79.0,254.0,52.0,2079.0,17.0,22357.0,425.0,488.0,165.0
3364,74.0,16.0,20.0,21.0,182.0,10.0,71.0,1.0,51.0,78.0,77.0,577.0,27.0,2.0,82.0,437.0,373.0,4817.0,225.0,9.0,21805.0,237.0,472.0,4.0,2234.0,102.0,22136.0,244.0,354.0,48.0
3413,16.0,12.0,13.0,54.0,562.0,585.0,266.0,827.0,6.0,43.0,4.0,1.0,4874.0,450.0,233.0,809.0,109.0,1155.0,15.0,95.0,21750.0,7.0,10.0,1467.0,17642.0,63.0,55.0,909.0,33.0,21676.0
3462,6.0,17.0,0.0,34.0,2.0,54.0,67.0,44.0,3.0,42.0,82.0,266.0,1.0,126.0,14.0,63.0,106.0,25.0,12.0,24.0,37.0,171.0,15353.0,29.0,135.0,20.0,65.0,150.0,160.0,28.0
3511,1.0,12.0,19.0,63.0,10.0,466.0,44.0,461.0,21.0,31.0,1052.0,483.0,174.0,120.0,253.0,1257.0,27.0,91.0,2294.0,89.0,26.0,20.0,18152.0,45.0,17330.0,28.0,15849.0,1196.0,237.0,213.0
3560,5.0,22.0,8.0,26.0,1.0,12.0,3.0,30.0,54.0,208.0,132.0,133.0,9.0,730.0,239.0,99.0,34.0,11.0,42.0,474.0,7.0,97.0,2936.0,122.0,32.0,128.0,102.0,601.0,288.0,228.0
3609,3.0,0.0,22.0,65.0,7.0,5.0,17.0,421.0,8.0,33.0,13255.0,24.0,604.0,362.0,57.0,1341.0,27.0,61.0,35.0,450.0,154.0,113.0,474.0,213.0,17645.0,18.0,30.0,187.0,524.0,21720.0
3658,2.0,0.0,4.0,594.0,1044.0,76.0,468.0,24.0,37.0,26.0,147.0,5360.0,4566.0,38.0,80.0,761.0,23834.0,98.0,455.0,195.0,23.0,140.0,15381.0,22.0,113.0,70.0,1731.0,15380.0,50.0,251.0
3707,3.0,1.0,577.0,17.0,353.0,13.0,6.0,342.0,5.0,209.0,258.0,3689.0,313.0,35.0,19157.0,49.0,114.0,4517.0,11269.0,8964.0,26.0,246.0,9.0,2988.0,51.0,34.0,80.0,151.0,4009.0,4.0
3756,1.0,215.0,8.0,91.0,67.0,46.0,0.0,149.0,117.0,159.0,115.0,1410.0,80.0,195.0,19146.0,161.0,97.0,101.0,13.0,7.0,188.0,43.0,119.0,145.0,30.0,21.0,238.0,274.0,78.0,9.0
3805,5.0,12.0,8.0,13867.0,4.0,13.0,102.0,708.0,19.0,43.0,131.0,121.0,18.0,263.0,94.0,217.0,184.0,6.0,108.0,34.0,182.0,0.0,31.0,7.0,282.0,61.0,281.0,32.0,4993.0,17.0
3854,3.0,21.0,73.0,2659.0,0.0,24.0,668.0,114.0,131.0,18.0,13266.0,17.0,88.0,113.0,57.0,9024.0,226.0,110.0,242.0,63.0,41.0,209.0,15377.0,13.0,212.0,130.0,211.0,15376.0,79.0,8.0
3903,0.0,7.0,5.0,17.0,3.0,28.0,6.0,79.0,128.0,227.0,13169.0,1036.0,290.0,170.0,29.0,165.0,78.0,239.0,80.0,84.0,38.0,4.0,15375.0,31.0,113.0,86.0,101.0,15374.0,22.0,9.0
3952,1.0,359.0,36.0,15.0,1313.0,362.0,48.0,323.0,37.0,28.0,252.0,80.0,30.0,10.0,302.0,181.0,7.0,162.0,95.0,454.0,21861.0,2.0,4.0,1085.0,43.0,450.0,908.0,33.0,23.0,108.0
4001,13.0,2.0,67.0,24.0,73.0,1.0,163.0,9.0,25.0,44.0,14.0,21.0,63.0,40.0,30.0,9009.0,17.0,384.0,117.0,16.0,70.0,6.0,58.0,9431.0,298.0,260.0,299.0,28.0,97.0,20.0
4050,8.0,2297.0,10.0,91.0,59.0,26.0,281.0,195.0,21.0,3.0,718.0,14.0,1325.0,1304.0,19176.0,189.0,295.0,608.0,796.0,11.0,76.0,1.0,218.0,0.0,132.0,107.0,2905.0,30.0,4963.0,13.0
4099,2.0,45.0,37.0,31.0,65.0,95.0,372.0,232.0,22.0,18247.0,2736.0,2987.0,351.0,2998.0,76.0,326.0,20.0,385.0,3.0,410.0,21727.0,0.0,16.0,35.0,160.0,320.0,33.0,18.0,118.0,411.0
4148,6.0,18.0,49.0,20.0,43.0,37.0,1060.0,90.0,1.0,14.0,954.0,67.0,0.0,156.0,326.0,1009.0,28.0,10.0,57.0,12.0,356.0,5.0,16.0,357.0,421.0,72.0,22149.0,4.0,372.0,74.0
4197,9.0,2.0,12.0,4.0,129.0,92.0,293.0,0.0,25.0,10.0,377.0,56.0,28.0,3.0,21.0,93.0,22046.0,110.0,4443.0,87.0,57.0,1.0,116.0,132.0,90.0,45.0,215.0,38.0,130.0,150.0
4246,65.0,28.0,69.0,172.0,29.0,173.0,2.0,41.0,25.0,26.0,466.0,6.0,10.0,257.0,162.0,47.0,88.0,1072.0,79.0,165.0,15400.0,34.0,55.0,10475.0,103.0,43.0,14058.0,11.0,9.0,419.0
4295,14.0,5.0,84.0,14094.0,9472.0,1094.0,6.0,23644.0,29.0,46.0,13156.0,36.0,17.0,394.0,15.0,154.0,297.0,4132.0,117.0,427.0,32.0,2.0,1494.0,113.0,349.0,19.0,3265.0,7.0,63.0,51.0
4344,14.0,20.0,0.0,97.0,89.0,45.0,3.0,63.0,8.0,271.0,18593.0,1643.0,1.0,23954.0,1039.0,2.0,43.0,4140.0,31.0,9413.0,195.0,22.0,25.0,10309.0,50.0,48.0,175.0,6.0,15.0,10.0
4393,15.0,1670.0,22.0,148.0,334.0,0.0,489.0,2.0,4.0,35.0,1231.0,8.0,40.0,93.0,7.0,9042.0,36.0,48.0,252.0,5.0,26.0,1.0,6.0,250.0,157.0,319.0,67.0,66.0,94.0,23.0
4442,14.0,55.0,3513.0,13839.0,1042.0,2858.0,1.0,24.0,13502.0,9.0,11.0,1282.0,739.0,291.0,148.0,380.0,209.0,4097.0,243.0,8886.0,42.0,755.0,28.0,107.0,119.0,211.0,22113.0,35.0,147.0,197.0
4491,8.0,187.0,938.0,156.0,59.0,2315.0,70.0,0.0,13557.0,12.0,917.0,110.0,51.0,1.0,1916.0,2988.0,23806.0,908.0,11249.0,8915.0,308.0,1803.0,15359.0,2997.0,296.0,301.0,22357.0,166.0,743.0,276.0
4540,36.0,313.0,4227.0,668.0,11.0,597.0,40.0,503.0,13561.0,7.0,1.0,0.0,1050.0,488.0,19151.0,870.0,23795.0,958.0,576.0,8925.0,21853.0,219.0,916.0,149.0,192.0,239.0,3118.0,15363.0,1814.0,31.0
4589,12.0,188.0,237.0,189.0,54.0,460.0,75.0,113.0,13577.0,40.0,0.0,82.0,15.0,99.0,5.0,441.0,23808.0,5149.0,88.0,747.0,21862.0,2743.0,585.0,215.0,290.0,68.0,22118.0,109.0,333.0,34.0
4638,11.0,17105.0,67.0,3.0,989.0,181.0,5.0,20.0,13563.0,7.0,949.0,4386.0,4557.0,147.0,1008.0,1547.0,23800.0,3673.0,2047.0,8968.0,21863.0,744.0,545.0,9446.0,148.0,49.0,388.0,74.0,4449.0,32.0
4687,72.0,19.0,50.0,18.0,12.0,30.0,82.0,42.0,13593.0,22.0,8.0,15.0,584.0,13.0,907.0,795.0,23856.0,328.0,11266.0,114.0,2004.0,87.0,596.0,33.0,17638.0,325.0,22351.0,446.0,1897.0,317.0
4736,3.0,16602.0,76.0,17.0,2.0,87.0,200.0,11.0,35.0,84.0,31.0,6273.0,85.0,135.0,40.0,152.0,309.0,893.0,67.0,125.0,21837.0,595.0,175.0,804.0,181.0,210.0,22333.0,222.0,45.0,272.0
4785,30.0,562.0,3637.0,43.0,149.0,8739.0,118.0,1.0,321.0,34.0,65.0,105.0,15.0,9.0,99.0,8988.0,23868.0,541.0,100.0,8971.0,21761.0,13993.0,530.0,891.0,46.0,59.0,1476.0,15351.0,2104.0,21687.0
4834,266.0,93.0,1.0,2256.0,273.0,0.0,43.0,1911.0,13618.0,11.0,151.0,419.0,5091.0,2484.0,2246.0,182.0,23875.0,5380.0,240.0,963.0,21762.0,14080.0,15.0,2432.0,198.0,58.0,55.0,40.0,5672.0,21.0
4883,15.0,16696.0,575.0,2.0,9464.0,71.0,105.0,10.0,13507.0,9.0,1.0,415.0,481.0,4.0,26.0,556.0,24078.0,1018.0,55.0,8996.0,21749.0,14020.0,15391.0,96.0,263.0,34.0,22334.0,49.0,1871.0,13.0
