,STOMACH,GANGLIA,NERVOUS,HAEMATOPOIETIC,LIVER,OESOPHAGUS,BONE,LUNG,LARGE_INTESTINE,PANCREAS,SKIN,SOFT_TISSUE,BREAST,OVARY,ENDOMETRIUM,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
782,20.0,12.0,1.0,0.0,2.0,3.0,15.0,4.0,6.0,5.0,11.0,7.0,10.0,9.0,8.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
831,20.0,0.0,3.0,1.0,4.0,6.0,2.0,7.0,5.0,8.0,12.0,9.0,10.0,11.0,21.0,13.0,14.0,16.0,17.0,18.0,19.0,15.0,22.0
880,20.0,13.0,0.0,1.0,2.0,3.0,5.0,7.0,8.0,4.0,10.0,6.0,9.0,12.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
929,0.0,13.0,1.0,2.0,3.0,4.0,16.0,6.0,7.0,5.0,11.0,9.0,8.0,12.0,10.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
978,20.0,1.0,2.0,0.0,3.0,5.0,4.0,6.0,7.0,8.0,11.0,9.0,10.0,12.0,21.0,13.0,14.0,16.0,17.0,18.0,19.0,15.0,22.0
1027,0.0,1.0,3.0,2.0,4.0,6.0,5.0,8.0,10.0,9.0,7.0,17.0,11.0,13.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1076,0.0,1.0,3.0,2.0,4.0,6.0,5.0,10.0,9.0,8.0,7.0,17.0,11.0,13.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1125,0.0,1.0,2.0,3.0,4.0,6.0,5.0,11.0,10.0,8.0,7.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,1.0,0.0,3.0,2.0,4.0,7.0,5.0,8.0,13.0,9.0,10.0,6.0,11.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1223,0.0,1.0,2.0,3.0,4.0,6.0,5.0,10.0,12.0,8.0,7.0,11.0,14.0,9.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1272,20.0,0.0,2.0,1.0,3.0,6.0,4.0,8.0,10.0,5.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1321,2.0,1.0,4.0,0.0,3.0,5.0,16.0,8.0,12.0,6.0,7.0,9.0,10.0,13.0,11.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,0.0,1.0,2.0,3.0,4.0,6.0,5.0,9.0,10.0,7.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,1.0,0.0,3.0,2.0,4.0,6.0,5.0,9.0,13.0,7.0,8.0,11.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1468,0.0,2.0,4.0,3.0,5.0,6.0,1.0,8.0,12.0,7.0,11.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,1.0,0.0,3.0,2.0,4.0,6.0,17.0,8.0,7.0,9.0,10.0,5.0,11.0,14.0,13.0,15.0,16.0,18.0,19.0,20.0,12.0,21.0,22.0
1566,0.0,2.0,1.0,3.0,4.0,5.0,6.0,9.0,7.0,8.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,0.0,3.0,1.0,2.0,4.0,7.0,8.0,10.0,9.0,11.0,5.0,6.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
1664,20.0,3.0,0.0,1.0,2.0,14.0,4.0,5.0,7.0,6.0,8.0,10.0,13.0,9.0,11.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
1713,1.0,2.0,0.0,3.0,4.0,5.0,16.0,7.0,6.0,9.0,8.0,11.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,0.0,1.0,2.0,4.0,3.0,6.0,17.0,7.0,8.0,5.0,9.0,12.0,13.0,10.0,14.0,15.0,16.0,18.0,19.0,20.0,11.0,21.0,22.0
1811,1.0,2.0,0.0,4.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1860,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,11.0,16.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
1909,1.0,2.0,3.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,17.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1958,0.0,1.0,4.0,2.0,3.0,5.0,17.0,7.0,8.0,6.0,9.0,10.0,11.0,14.0,13.0,15.0,16.0,18.0,19.0,20.0,12.0,21.0,22.0
2007,1.0,2.0,5.0,0.0,3.0,4.0,6.0,8.0,9.0,7.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
